U' B' U' L R'
U' B' U' R' L
D L U' B' U' R'
D L' U F U R
U2 L' U' B' U L
D' R U F' B U
D' R U B F' U
R U B U' R' U2
R' U' F' B' U' L
L' U' B' U' L R'
L' U' B' U' R' L
D' R' U' F' B U'
D' R' U' B F' U'
R' U' B' F' U' L
L2 U' B' U' L R'
L2 U' B' U' R' L
L U' B' U' L R'
L U' B' U' R' L
B R' B' U' F' U'
D2 U F U L' R
D2 U F U R L'
U D2 F U L' R
U D2 F U R L'
U' F B' U' L R'
U' F B' U' R' L
U F B' U L R
U F B' U R L
U' F' B' U' L R'
U' F' B' U' R' L
U' F2 B' U' L R'
U' F2 B' U' R' L
U' B U L R' U2
U' B U R' L U2
U' B' U' L R' D
U' B' U' L R' D'
U' B' U' L R' D2
U' B' U' L D R'
U' B' U' L D' R'
U' B' U' L D' R'
U' B' U' L D2 R'
U' B' U' R' L D
U' B' U' R' L D'
U' B' U' R' L D2
U' B' U' R' D L
U' B' U' R' D' L
U' B' U' R' D2 L
U' B' U' D L R'
U' B' U' D R' L
U' B' U' D' L R'
U' B' U' D' R' L
U' B' U' D2 L R'
U' B' U' D2 R' L
U' B' D U' L R'
U' B' D U' R' L
U' B' D U' R' L
U' B' D' U' L R'
U' B' D' U' R' L
U' B' D2 U' L R'
U' B' D2 U' R' L
U' B' F U' L R'
U' B' F U' R' L
U' B' F' U' L R'
U' B' F' U' R' L
U' B' F2 U' L R'
U' B' F2 U' R' L
U B' F U L R
U B' F U R L
U' B' F U' D' L R'
U' B' F U' D' R' L
U' B' F U' D2 L R'
U' B' F U' D2 R' L
U' B' F D U' L R'
U' B' F D U' R' L
U' B' F D' U' L R'
U' B' F D' U' R' L
U' B' F D2 U' L R'
U' B' F D2 U' R' L
U B' D' F U L R
U B' D' F U R L
U' B' F' U' L R' D
U' B' F' U' L R' D'
U' B' F' U' L R' D2
U' B' F' U' L D R'
U' B' F' U' L D' R'
U' B' F' U' L D2 R'
U' B' F' U' R' L D
U' B' F' U' R' L D'
U' B' F' U' R' L D2
U' B' F' U' R' D L
U' B' F' U' R' D' L
U' B' F' U' R' D2 L
U' B' F' U' D L R'
U' B' F' U' D R' L
U' B' F' U' D' L R'
U' B' F' U' D' R' L
U' B' F' U' D2 L R'
U' B' F' U' D2 R' L
U' B' F' D U' L R'
U' B' F' D U' R' L
U' B' F' D' U' L R'
U' B' F' D' U' R' L
U' B' F' D2 U' L R'
U' B' F' D2 U' R' L
R B' D' U2 L R2 F'
R B' D' U2 R2 L F'
R B' D' U2 R2 F' L
U' B' F2 U' L R' D
U' B' F2 U' L R' D'
U' B' F2 U' L R' D2
U' B' F2 U' L D R'
U' B' F2 U' L D' R'
U' B' F2 U' L D2 R'
U' B' F2 U' R' L D
U' B' F2 U' R' L D'
U' B' F2 U' R' L D2
U' B' F2 U' R' D L
U' B' F2 U' R' D' L
U' B' F2 U' R' D2 L
U' B' F2 U' D L R'
U' B' F2 U' D R' L
U' B' F2 U' D' L R'
U' B' F2 U' D' R' L
U' B' F2 U' D2 L R'
U' B' F2 U' D2 R' L
U B' D2 F U L R
U B' D2 F U R L
U' B' F2 D U' L R'
U' B' F2 D U' R' L
U' B' F2 D' U' L R'
U' B' F2 D' U' R' L
U' B' F2 D2 U' L R'
U' B' F2 D2 U' R' L
U B' F U L R D
U B' F U L R D'
U B' F U L R D2
U B' F U L D R
U B' F U L D' R
U B' F U L D2 R
U B' F U R L D
U B' F U R L D'
U B' F U R L D2
U B' F U R D L
U B' F U R D' L
U B' F U R D2 L
U B' F U D L R
U B' F U D R L
U B' F U D' L R
U B' F U D' R L
U B' F U D2 L R
U B' F U D2 R L
U B' F D U L R
U B' F D U R L
U B' F D' U L R
U B' F D' U R L
U B' F D2 U L R
U B' F D2 U R L
U B' F' U L D2 R2
U B' F' U' L' U2 L2
