F' L' D' F2 B'
F' L' D' B' F2
F' L' D' B' F2
F' L' B' D' F2
D' F' L' F' B'
D' F' L' B' F'
F' D' L' F2 B'
F' D' L' B' F2
F' D' L' B' F2
F D' F2 L' B'
L' F B' D' L F2 L'
L' F B' D' L' F2 L'
L' F B' D' L2 F2 L'
L' F B' D' F2 L' D
L' F B' D' F2 L' D'
L' F B' D' F2 L' D2
L' F B' D' F2 D L'
L' F B' D' F2 D' L'
L' F B' D' F2 D2 L'
D2 F B2 D F2 L' B'
L' F B2 D' F2 L' B
L' F B2 D' F2 B L'
L' F B2 D' B F2 L'
D' F' L F' L2 D2 B2
D' F' L B L2 F' B'
D' F' L B L2 B' F'
U' F' L' R' F' R' U
D' F' L B' L2 F' B'
D' F' L B' L2 B' F'
D' F' L B2 L2 F' B'
D' F' L B2 L2 B' F'
D' F' L' R' B' R F'
R2 F' L U L2 R2 B'
R2 F' L U L2 B' R2
R2 F' L U R2 L2 B'
D' F' L' D F' D B'
D' F' L' D F' D' B'
D' F' L' D F' D2 B'
D' F' L' D F' B' D
D' F' L' D F' B' D'
D' F' L' D F' B' D2
D' F' L' D B' D F'
D' F' L' D B' D' F'
D' F' L' D B' D2 F'
D' F' L' D B' F' D
D' F' L' D B' F' D'
D' F' L' D B' F' D2
D' F' L' D' F' D B'
D' F' L' D' F' D' B'
D' F' L' D' F' D2 B'
D' F' L' D' F' B' D
D' F' L' D' F' B' D'
D' F' L' D' F' B' D2
D' F' L' D' B' D F'
D' F' L' D' B' D' F'
D' F' L' D' B' D2 F'
D' F' L' D' B' F' D
D' F' L' D' B' F' D'
D' F' L' D' B' F' D2
D' F' L' D2 F' D B'
D' F' L' D2 F' D' B'
D' F' L' D2 F' D2 B'
D' F' L' D2 F' B' D
D' F' L' D2 F' B' D'
D' F' L' D2 F' B' D2
D' F' L' D2 B' D F'
D' F' L' D2 B' D' F'
D' F' L' D2 B' D2 F'
D' F' L' D2 B' F' D
D' F' L' D2 B' F' D'
D' F' L' D2 B' F' D2
L2 F' L B' L2 D' F2
F' D U2 B2 U2 L' B'
D' F' L' F' R' B' R
D' F' L' F' R2 B' R2
D' F' L' F' D B' D
D' F' L' F' D B' D'
D' F' L' F' D B' D2
D' F' L' F' D' B' D
D' F' L' F' D' B' D'
D' F' L' F' D' B' D2
D' F' L' F' D2 B' D
D' F' L' F' D2 B' D'
D' F' L' F' D2 B' D2
D' F' L' F' B2 D B
D' F' L' F' B2 D' B
D' F' L' F' B2 D2 B
D' F' L' F2 D F B'
D' F' L' F2 D B' F
D' F' L' F2 D' F B'
D' F' L' F2 D' B' F
D' F' L' F2 D2 F B'
D' F' L' F2 D2 B' F
D' F' L' F2 B' D F
D' F' L' F2 B' D' F
D' F' L' F2 B' D2 F
D' F' L' B' L' F' L
D' F' L' B' L2 F' L2
D2 F' L' B' U L' U'
D' F' L' B' D F' D
D' F' L' B' D F' D'
D' F' L' B' D F' D2
D' F' L' B' D' F' D
D' F' L' B' D' F' D'
D' F' L' B' D' F' D2
D' F' L' B' D2 F' D
D' F' L' B' D2 F' D'
D' F' L' B' D2 F' D2
D' F' L' B' F2 D F
D' F' L' B' F2 D' F
D' F' L' B' F2 D2 F
D' F' L' B2 D F' B
D' F' L' B2 D B F'
D' F' L' B2 D' F' B
D' F' L' B2 D' B F'
D' F' L' B2 D2 F' B
D' F' L' B2 D2 B F'
D' F' L' B2 F' D B
D' F' L' B2 F' D' B
D' F' L' B2 F' D2 B
D F' L B' L2 F B'
D F' L B' L2 B' F
R2 F' L' R2 D' F2 B'
R2 F' L' R2 D' B' F2
B' D F D2 F2 L' B'
R2 F' L' R2 B' D' F2
B' D F' L' D2 F2 B'
B' D F' L' D2 B' F2
D' F' L2 F L F2 B'
D' F' L2 F L B' F2
D' F' L2 F' L D B'
D' F' L2 F' L D' B'
D' F' L2 F' L D2 B'
F D U2 R B2 U2 B'
D' F' L2 F' L B' D
D' F' L2 F' L B' D'
D' F' L2 F' L B' D2
B2 D F D2 F2 L' B'
D F' L' U2 B2 U2 B
D F' L' D B' D F2
D F' L' D' B' D' F2
D F' L' D2 F2 D B'
D F' L' D2 F2 D' B'
D F' L' D2 F2 D2 B'
D F' L' D2 F2 B' D
D F' L' D2 F2 B' D'
D F' L' D2 F2 B' D2
D F' L' D2 B' F2 D
D F' L' D2 B' F2 D'
D F' L' D2 B' F2 D2
R2 F' L' B' R2 D' F2
D F' L' F D2 F2 B'
D F' L' F D2 B' F2
B2 D F' L' D2 F2 B'
B2 D F' L' D2 B' F2
D F' L' F' D2 F2 B'
D F' L' F' D2 B' F2
D F' L' F2 D2 F2 B'
D F' L' F2 D2 B' F2
F D U2 B2 R U2 B
B' D F' D2 L' F2 B'
B' D F' D2 L' B' F2
D F' L' B' L2 F L2
D F' L' B' U2 B' U2
R2 F' L2 U L R2 B'
R2 F' L2 U L B' R2
R2 F' L2 U R2 L B'
L F' L' D' F2 D' B2
L F' L' D2 B2 D F2
B D F D2 F2 L' B'
B2 D F' D2 L' F2 B'
B2 D F' D2 L' B' F2
U' F' R' L' F' R' U
B D F' L' D2 F2 B'
B D F' L' D2 B' F2
D' F' R' L' B' R F'
F' D F2 D2 F2 L' B'
B D F' D2 L' F2 B'
B D F' D2 L' B' F2
F' D B L' B' D2 F2
U' F' R2 D2 L' F U
F D F2 L' D2 F2 B'
F D F2 L' D2 B' F2
L' F' R2 U R2 B' L'
L' F' R2 U B' L' R2
L' F' R2 U B' R2 L'
F' D B' L2 F L B'
F D F2 D2 L' F2 B'
F D F2 D2 L' B' F2
R2 F' R2 L' D' F2 B'
R2 F' R2 L' D' B' F2
R2 F' R2 L' B' D' F2
R2 F' R2 D' L' F2 B'
R2 F' R2 D' L' B' F2
L' F' U' R2 U B' L'
F' D' L B L2 F2 B'
F' D' L B L2 B' F2
F' D' L B' L2 F2 B'
F' D' L B' L2 B' F2
F' D' L B2 L2 F2 B'
F' D' L B2 L2 B' F2
F' D' L' R F2 R' B'
F' D' L' R' B' R F2
F' D' L' R2 F2 R2 B'
F' D' L' R2 F2 B' R2
F' D' L' R2 B' R2 F2
F' D' L' R2 B' F2 R2
D' F' D L' D F' B'
D' F' D L' D B' F'
D2 F' D L' F2 D B'
D2 F' D L' F2 D' B'
D' F' D L' D' F' B'
D2 F' D L' F2 D2 B'
D2 F' D L' F2 B' D
D2 F' D L' F2 B' D'
D2 F' D L' F2 B' D2
D' F' D L' D' B' F'
D' F' D L' D2 F' B'
D' F' D L' D2 B' F'
D2 F' D L' B' F2 D
D2 F' D L' B' F2 D'
D2 F' D L' B' F2 D2
D' F' D L' F' D B'
D' F' D L' F' D' B'
D' F' D L' F' D2 B'
D' F' D L' F' B' D
D' F' D L' F' B' D'
D' F' D L' F' B' D2
D' F' D L' B' D F'
D' F' D L' B' D' F'
D' F' D L' B' D2 F'
D' F' D L' B' F' D
D' F' D L' B' F' D'
D' F' D L' B' F' D2
D2 F' D L2 F2 L B'
D' F' D L2 F' L B'
F' D' L' D B' D' F2
B' D' L' F' B' L' F'
F' D' L' D' B' D F2
B' D' L' F2 D2 B' L
F' D' L' F D F B'
F' D' L' F D B' F
F' D' L' F D' F B'
F' D' L' F D' B' F
F' D' L' F D2 F B'
F' D' L' F D2 B' F
F' D' L' F B' D F
F' D' L' F B' D' F
F' D' L' F B' D2 F
B' D' L' B' F' L' F'
F' D' L' F' D F' B'
F' D' L' F' D B' F'
F' D' L' F' D' F' B'
F' D' L' F' D' B' F'
F' D' L' F' D2 F' B'
F' D' L' F' D2 B' F'
F' D' L' F' B' D F'
F' D' L' F' B' D' F'
F' D' L' F' B' D2 F'
F' D' L' F2 R' B' R
F' D' L' F2 R2 B' R2
F' D' L' F2 D B' D
F' D' L' F2 D B' D'
F' D' L' F2 D B' D2
F' D' L' F2 D' B' D
F' D' L' F2 D' B' D'
F' D' L' F2 D' B' D2
F' D' L' F2 D2 B' D
F' D' L' F2 D2 B' D'
F' D' L' F2 D2 B' D2
F' D' L' F2 B2 D B
F' D' L' F2 B2 D' B
F' D' L' F2 B2 D2 B
F' D' L' B' L' F2 L
F' D' L' B' L2 F2 L2
F' D' L' B' R F2 R'
F' D' L' B' R2 F2 R2
F' D' L' B' F D F
F' D' L' B' F D' F
F' D' L' B' F D2 F
B2 D' L' F' B' L' F'
F' D' L' B' F' D F'
F' D' L' B' F' D' F'
F' D' L' B' F' D2 F'
B2 D' L' F2 D2 B' L
F' D' L' B2 F2 D B
F' D' L' B2 F2 D' B
F' D' L' B2 F2 D2 B
D2 F' D B L' F2 B'
D2 F' D B L' B' F2
D' F' D B L' F' B'
D' F' D B L' B' F'
D2 F' D B' L' F2 B'
D2 F' D B' L' B' F2
B2 D' L' B' F' L' F'
D' F' D B' L' F' B'
D' F' D B' L' B' F'
D2 F' D B2 L' F2 B'
D2 F' D B2 L' B' F2
D' F' D B2 L' F' B'
D' F' D B2 L' B' F'
L' F' D B' L2 F L
D2 F' D' L' D2 F2 B'
D2 F' D' L' D2 B' F2
D' F' D' L' D F' B'
D' F' D' L' D B' F'
D' F' D' L' D' F' B'
D' F' D' L' D' B' F'
D' F' D' L' D2 F' B'
D' F' D' L' D2 B' F'
D' F' D' L' F' D B'
D' F' D' L' F' D' B'
D' F' D' L' F' D2 B'
D' F' D' L' F' B' D
D' F' D' L' F' B' D'
D' F' D' L' F' B' D2
D' F' D' L' B' D F'
D' F' D' L' B' D' F'
D' F' D' L' B' D2 F'
D' F' D' L' B' F' D
D' F' D' L' B' F' D'
D' F' D' L' B' F' D2
D' F' D' L2 F' L B'
D F' U2 B2 U2 L' B'
F' D' L2 F' L F' B'
F' D' L2 F' L B' F'
F' D' L2 F2 L D B'
F' D' L2 F2 L D' B'
F' D' L2 F2 L D2 B'
F' D' L2 F2 L B' D
F' D' L2 F2 L B' D'
F' D' L2 F2 L B' D2
B D' L' F' B' L' F'
B D' L' F2 D2 B' L
D' F' D' B L' F' B'
D' F' D' B L' B' F'
B D' L' B' F' L' F'
F' D' R L' F2 R' B'
D' F' D' B' L' F' B'
D' F' D' B' L' B' F'
D' F' D' B2 L' F' B'
D' F' D' B2 L' B' F'
L' F' D' B L' F2 B2
L' F' D' B L' B2 F2
L' F' D' B' L F2 L2
L' F' D' B' L' F2 D
L' F' D' B' L' F2 D'
L' F' D' B' L' F2 D2
L' F' D' B' L2 F2 L
D2 F' D2 L' D' F2 B'
D2 F' D2 L' D' B' F2
F D' L' F2 D B' L'
D' F' D2 L' D F' B'
D' F' D2 L' D B' F'
F D' L' F2 D' B' L'
D' F' D2 L' D' F' B'
D' F' D2 L' D' B' F'
D2 F' D2 L' B' D' F2
F D' L' F2 D2 B' L'
F D' L' F2 B L' B2
D' F' D2 L' D2 F' B'
D' F' D2 L' D2 B' F'
F D' L' F2 B' L' D
F D' L' F2 B' L' D'
F D' L' F2 B' L' D2
F D' L' F2 B' D L'
F D' L' F2 B' D' L'
F D' L' F2 B' D2 L'
F D' L' F2 B2 L' B
D' F' D2 L' F' D B'
D' F' D2 L' F' D' B'
D' F' D2 L' F' D2 B'
D' F' D2 L' F' B' D
D' F' D2 L' F' B' D'
D' F' D2 L' F' B' D2
L' F' D' B2 L' F2 B
L' F' D' B2 L' B F2
D' F' D2 L' B' D F'
D' F' D2 L' B' D' F'
D' F' D2 L' B' D2 F'
D' F' D2 L' B' F' D
D' F' D2 L' B' F' D'
D' F' D2 L' B' F' D2
D' F' D2 L2 F' L B'
F D' L' B F2 L' B2
F D' L' B' L F2 L'
F D' L' B' L' F2 L'
F D' L' B' L2 F2 L'
F D' L' B' F2 L' D
F D' L' B' F2 L' D'
F D' L' B' F2 L' D2
F D' L' B' F2 D L'
F D' L' B' F2 D' L'
F D' L' B' F2 D2 L'
F D' L' B2 F2 L' B
D F' D' L' D' F2 B'
D F' D' L' D' B' F2
D F' D' L' B' D' F2
D' F' D2 B L' F' B'
D' F' D2 B L' B' F'
F' D' R' L' B' R F2
D' F' D2 B' L' F' B'
D' F' D2 B' L' B' F'
D' F' D2 B2 L' F' B'
D' F' D2 B2 L' B' F'
F D' L2 F2 L B' L2
L' F' D2 B' D L' F2
D' F' B L' D F' B'
D' F' B L' D B' F'
D' F' B L' D' F' B'
D' F' B L' D' B' F'
D' F' B L' D2 F' B'
D' F' B L' D2 B' F'
D' F' B L' F' D B'
D' F' B L' F' D' B'
D' F' B L' F' D2 B'
D' F' B L' F' B' D
D' F' B L' F' B' D'
D' F' B L' F' B' D2
D' F' B L' B' D F'
D' F' B L' B' D' F'
D' F' B L' B' D2 F'
D' F' B L' B' F' D
D' F' B L' B' F' D'
D' F' B L' B' F' D2
D' F' B L2 F' L B'
L' F' B L' B2 D' F2
D F' D2 L' F2 D B'
D F' D2 L' F2 D' B'
D F' D2 L' F2 D2 B'
D F' D2 L' F2 B' D
D F' D2 L' F2 B' D'
D F' D2 L' F2 B' D2
D F' D2 L' B' F2 D
D F' D2 L' B' F2 D'
D F' D2 L' B' F2 D2
D F' D2 L2 F2 L B'
D2 F' B D L' F2 B'
D2 F' B D L' B' F2
D' F' B D L' F' B'
D' F' B D L' B' F'
D' F' B D' L' F' B'
D' F' B D' L' B' F'
D' F' B D2 L' F' B'
D' F' B D2 L' B' F'
F' D' R2 L' F2 R2 B'
F' D' R2 L' F2 B' R2
F' D' R2 L' B' R2 F2
F' D' R2 L' B' F2 R2
D' F' B' L' D F' B'
D' F' B' L' D B' F'
D' F' B' L' D' F' B'
D' F' B' L' D' B' F'
D' F' B' L' D2 F' B'
D' F' B' L' D2 B' F'
D' F' B' L' F' D B'
D' F' B' L' F' D' B'
D' F' B' L' F' D2 B'
D' F' B' L' F' B' D
D' F' B' L' F' B' D'
D' F' B' L' F' B' D2
D' F' B' L' B' D F'
D' F' B' L' B' D' F'
D' F' B' L' B' D2 F'
D' F' B' L' B' F' D
D' F' B' L' B' F' D'
D' F' B' L' B' F' D2
D' F' B' L2 F' L B'
L' F' B' L' U' R2 U
L' F' B' L' D' F2 D
L' F' B' L' D' F2 D'
L' F' B' L' D' F2 D2
L' F' B' L' F D' F2
L' F' B' L' F' D' F2
L' F' B' L' F2 D' F2
L' F' B' L2 D' L F2
L' F' B' L2 D' F2 L
D F' D2 B L' F2 B'
D F' D2 B L' B' F2
D F' D2 B' L' F2 B'
D F' D2 B' L' B' F2
D F' D2 B2 L' F2 B'
D F' D2 B2 L' B' F2
D2 F' B' D L' F2 B'
D2 F' B' D L' B' F2
D' F' B' D L' F' B'
D' F' B' D L' B' F'
L' F' B' U' R2 U L'
D F' B L' B' D2 F2
D' F' B' D' L' F' B'
D' F' B' D' L' B' F'
D' F' B' D2 L' F' B'
D' F' B' D2 L' B' F'
L' F' B' D L' D2 F2
L' F' B' D' L F2 L2
L' F' B' D' L' F2 D
L' F' B' D' L' F2 D'
L' F' B' D' L' F2 D2
L' F' B' D' L2 F2 L
D' F' B2 L' D F' B'
D' F' B2 L' D B' F'
D' F' B2 L' D' F' B'
D' F' B2 L' D' B' F'
D' F' B2 L' D2 F' B'
D' F' B2 L' D2 B' F'
D' F' B2 L' F' D B'
D' F' B2 L' F' D' B'
D' F' B2 L' F' D2 B'
D' F' B2 L' F' B' D
D' F' B2 L' F' B' D'
D' F' B2 L' F' B' D2
D' F' B2 L' B' D F'
D' F' B2 L' B' D' F'
D' F' B2 L' B' D2 F'
D' F' B2 L' B' F' D
D' F' B2 L' B' F' D'
D' F' B2 L' B' F' D2
D' F' B2 L2 F' L B'
L' F' B2 L' D' F2 B
L' F' B2 L' D' B F2
L' F' B2 L' B D' F2
L F' D2 B2 D L' F2
D2 F' B2 D L' F2 B'
D2 F' B2 D L' B' F2
D' F' B2 D L' F' B'
D' F' B2 D L' B' F'
D' F' B2 D' L' F' B'
D' F' B2 D' L' B' F'
D' F' B2 D2 L' F' B'
D' F' B2 D2 L' B' F'
D F' B' L2 F L B'
L' F' B2 D' L' F2 B
L' F' B2 D' L' B F2
L' F' B2 D' B L' F2
D' F2 L U2 F U2 L'
D' F2 L D2 L2 B' L
D' F2 L' D2 B' L D
D' F2 L' D2 B' L D'
D' F2 L' D2 B' L D2
D' F2 L' D2 B' D L
D' F2 L' D2 B' D' L
D' F2 L' D2 B' D2 L
D' F2 L' F B' L' F'
D' F2 L' B' F L' F'
B' D' F' L' D F' B'
B' D' F' L' D B' F'
B' D' F' L' D' F' B'
B' D' F' L' D' B' F'
B' D' F' L' D2 F' B'
B' D' F' L' D2 B' F'
B' D' F' L' F' D B'
B' D' F' L' F' D' B'
B' D' F' L' F' D2 B'
B' D' F' L' F' B' D
B' D' F' L' F' B' D'
B' D' F' L' F' B' D2
B' D' F' L' B' D F'
B' D' F' L' B' D' F'
B' D' F' L' B' D2 F'
B' D' F' L' B' F' D
B' D' F' L' B' F' D'
B' D' F' L' B' F' D2
B' D' F' L2 F' L B'
F D' U2 R U2 F2 B
F D' U2 R U2 B F2
F2 D' F D F L' B'
D F2 L' D2 F2 B' L
D F2 L' D2 B' L F2
D F2 L' D2 B' F2 L
B2 D' F' L' D F' B'
B2 D' F' L' D B' F'
B2 D' F' L' D' F' B'
B2 D' F' L' D' B' F'
B2 D' F' L' D2 F' B'
B2 D' F' L' D2 B' F'
B2 D' F' L' F' D B'
B2 D' F' L' F' D' B'
B2 D' F' L' F' D2 B'
B2 D' F' L' F' B' D
B2 D' F' L' F' B' D'
B2 D' F' L' F' B' D2
B2 D' F' L' B' D F'
B2 D' F' L' B' D' F'
B2 D' F' L' B' D2 F'
B2 D' F' L' B' F' D
B2 D' F' L' B' F' D'
B2 D' F' L' B' F' D2
B' D' F' D L' F' B'
B' D' F' D L' B' F'
B2 D' F' L2 F' L B'
B' D' F' D' L' F' B'
B' D' F' D' L' B' F'
B' D' F' D2 L' F' B'
B' D' F' D2 L' B' F'
D F2 L' B' L2 F L'
B' D' F' B L' F' B'
B' D' F' B L' B' F'
B' D' F' B' L' F' B'
B' D' F' B' L' B' F'
B' D' F' B2 L' F' B'
B' D' F' B2 L' B' F'
B' D' F2 L' D2 B' L
B2 D' F' D L' F' B'
B2 D' F' D L' B' F'
B2 D' F' D' L' F' B'
B2 D' F' D' L' B' F'
B2 D' F' D2 L' F' B'
B2 D' F' D2 L' B' F'
B2 D' F' B L' F' B'
B2 D' F' B L' B' F'
B2 D' F' B' L' F' B'
B2 D' F' B' L' B' F'
B2 D' F' B2 L' F' B'
B2 D' F' B2 L' B' F'
B D' F' L' D F' B'
B D' F' L' D B' F'
B D' F' L' D' F' B'
B D' F' L' D' B' F'
B D' F' L' D2 F' B'
B D' F' L' D2 B' F'
B D' F' L' F' D B'
B D' F' L' F' D' B'
B D' F' L' F' D2 B'
B D' F' L' F' B' D
B D' F' L' F' B' D'
B D' F' L' F' B' D2
B D' F' L' B' D F'
B D' F' L' B' D' F'
B D' F' L' B' D2 F'
B D' F' L' B' F' D
B D' F' L' B' F' D'
B D' F' L' B' F' D2
B2 D' F2 L' D2 B' L
B D' F' L2 F' L B'
B' D' F2 D2 L' B' L
F' D' F2 U2 R U2 B
F D' F' L' F' B' L'
F D' F' L' B' F' L'
B D' F' D L' F' B'
B D' F' D L' B' F'
B D' F' D' L' F' B'
B D' F' D' L' B' F'
B D' F' D2 L' F' B'
B D' F' D2 L' B' F'
B2 D' F2 D2 L' B' L
B D' F' B L' F' B'
B D' F' B L' B' F'
F2 D' F2 D' L' B' L
B D' F' B' L' F' B'
B D' F' B' L' B' F'
F' D' B L' F2 D B'
F' D' B L' F2 D' B'
F' D' B L' F2 D2 B'
F' D' B L' F2 B' D
F' D' B L' F2 B' D'
F' D' B L' F2 B' D2
F' D' B L' B' F2 D
F' D' B L' B' F2 D'
F' D' B L' B' F2 D2
B D' F' B2 L' F' B'
B D' F' B2 L' B' F'
F' D' B L2 F2 L B'
F D' F' D F' L' B'
B D' F2 L' D2 B' L
F D' F' D' F' L' B'
F D' F' D2 F' L' B'
B' D' B F' L' F' B'
B' D' B F' L' B' F'
F D' F2 L B L2 B'
F D' F2 L B' L2 B'
F D' F2 L B2 L2 B'
F D' F2 L' R' B' R
F D' F2 L' R2 B' R2
F D' F2 L' D B' D
F D' F2 L' D B' D'
F D' F2 L' D B' D2
F D' F2 L' D' B' D
F D' F2 L' D' B' D'
F D' F2 L' D' B' D2
F D' F2 L' D2 B' D
F D' F2 L' D2 B' D'
F D' F2 L' D2 B' D2
F D' F2 L' B2 D B
F D' F2 L' B2 D' B
F D' F2 L' B2 D2 B
F D' F2 R' L' B' R
B D' F2 D2 L' B' L
F D' F2 R2 L' B' R2
B2 D' B F' L' F' B'
B2 D' B F' L' B' F'
F' D' B' L' F2 D B'
F' D' B' L' F2 D' B'
F' D' B' L' F2 D2 B'
F' D' B' L' F2 B' D
F' D' B' L' F2 B' D'
F' D' B' L' F2 B' D2
F' D' B' L' B' F2 D
F' D' B' L' B' F2 D'
F' D' B' L' B' F2 D2
F' D' B' L2 F2 L B'
F D' F2 D L' D B'
F D' F2 D L' D' B'
F D' F2 D L' D2 B'
F D' F2 D L' B' D
F D' F2 D L' B' D'
F D' F2 D L' B' D2
F D' F2 D B L' B'
F D' F2 D B' L' B'
F D' F2 D B2 L' B'
F D' F2 D' L' D B'
F D' F2 D' L' D' B'
F D' F2 D' L' D2 B'
F D' F2 D' L' B' D
F D' F2 D' L' B' D'
F D' F2 D' L' B' D2
F D' F2 D' B L' B'
F D' F2 D' B' L' B'
F D' F2 D' B2 L' B'
F D' F2 D2 L' D B'
F D' F2 D2 L' D' B'
F D' F2 D2 L' D2 B'
F D' F2 D2 L' B' D
F D' F2 D2 L' B' D'
F D' F2 D2 L' B' D2
F D' F2 D2 B L' B'
F D' F2 D2 B' L' B'
F D' F2 D2 B2 L' B'
F D' F2 B L' D B'
F D' F2 B L' D' B'
F D' F2 B L' D2 B'
F D' F2 B L' B' D
F D' F2 B L' B' D'
F D' F2 B L' B' D2
F D' F2 B D L' B'
F D' F2 B D' L' B'
F D' F2 B D2 L' B'
F D' F2 B' L' D B'
F D' F2 B' L' D' B'
F D' F2 B' L' D2 B'
F D' F2 B' L' B' D
F D' F2 B' L' B' D'
F D' F2 B' L' B' D2
F D' F2 B' D L' B'
F D' F2 B' D' L' B'
F D' F2 B' D2 L' B'
F D' F2 B2 L' D B'
F D' F2 B2 L' D' B'
F D' F2 B2 L' D2 B'
F D' F2 B2 L' B' D
F D' F2 B2 L' B' D'
F D' F2 B2 L' B' D2
B' D' B' F' L' F' B'
B' D' B' F' L' B' F'
F D' F2 B2 D L' B'
F D' F2 B2 D' L' B'
F D' F2 B2 D2 L' B'
F D' B L' F2 B' L'
F D' B L' B' F2 L'
B D' B F' L' F' B'
B D' B F' L' B' F'
B2 D' B' F' L' F' B'
B2 D' B' F' L' B' F'
F' D' B2 L' F2 D B'
F' D' B2 L' F2 D' B'
F' D' B2 L' F2 D2 B'
F' D' B2 L' F2 B' D
F' D' B2 L' F2 B' D'
F' D' B2 L' F2 B' D2
F' D' B2 L' B' F2 D
F' D' B2 L' B' F2 D'
F' D' B2 L' B' F2 D2
F' D' B2 L2 F2 L B'
F D' B F2 L' D B'
F D' B F2 L' D' B'
F D' B F2 L' D2 B'
F D' B F2 L' B' D
F D' B F2 L' B' D'
F D' B F2 L' B' D2
B' D' B2 F' L' F' B'
B' D' B2 F' L' B' F'
F D' B F2 D L' B'
F D' B F2 D' L' B'
F D' B F2 D2 L' B'
F D' B' L' F2 B' L'
F D' B' L' B' F2 L'
B D' B' F' L' F' B'
B D' B' F' L' B' F'
B2 D' B2 F' L' F' B'
B2 D' B2 F' L' B' F'
F D' B' F2 L' D B'
F D' B' F2 L' D' B'
F D' B' F2 L' D2 B'
F D' B' F2 L' B' D
F D' B' F2 L' B' D'
F D' B' F2 L' B' D2
D' F2 U2 R' F' R U2
F D' B' F2 D L' B'
F D' B' F2 D' L' B'
F D' B' F2 D2 L' B'
F D' B2 L' F2 B' L'
F D' B2 L' B' F2 L'
D' F2 U2 F U2 L' B'
D' F2 U2 F' R U2 B
B D' B2 F' L' F' B'
B D' B2 F' L' B' F'
D' F2 D L' D B' L
F D' B2 F2 L' D B'
F D' B2 F2 L' D' B'
F D' B2 F2 L' D2 B'
F D' B2 F2 L' B' D
F D' B2 F2 L' B' D'
F D' B2 F2 L' B' D2
F D' B2 F2 D L' B'
F D' B2 F2 D' L' B'
F D' B2 F2 D2 L' B'
F' D2 L' B' U L' U'
F2 D2 L' B' L D F2
L' F2 D' F2 D' B' L
D' F2 D2 L' B' L D
D' F2 D2 L' B' L D'
D' F2 D2 L' B' L D2
D' F2 D2 L' B' D L
D' F2 D2 L' B' D' L
D' F2 D2 L' B' D2 L
D' F2 D2 L2 B' L B'
D' F2 D2 B' L' B' L2
L' F2 D2 B' D L F2
L' F2 D2 B' D F2 L
D' F2 B L' D2 B' L
D F2 D2 L' F2 B' L
D F2 D2 L' B' L F2
D F2 D2 L' B' F2 L
D' F2 B D2 L' B' L
D' F2 B' L' D2 B' L
D F2 D2 F2 L' B' L
D' F2 B' D2 L' B' L
D' F2 B2 L' D2 B' L
D' F2 B2 D2 L' B' L
U2 B L D' F2 R B
D' B L' F' B' L' F'
D' B L' F2 D2 B' L
D' B L' B' F' L' F'
B' D2 F D F2 L' B'
B2 D2 F D F2 L' B'
U B L F R2 B U
B' D2 F' D L' F2 B'
B' D2 F' D L' B' F2
B2 D2 F' D L' F2 B'
B2 D2 F' D L' B' F2
B D2 F D F2 L' B'
F' D2 F2 D F2 L' B'
B D2 F' D L' F2 B'
B D2 F' D L' B' F2
F' D2 B D L' F2 B'
F' D2 B D L' B' F2
F D2 F2 D L' F2 B'
F D2 F2 D L' B' F2
F' D2 B' D L' F2 B'
F' D2 B' D L' B' F2
F D2 B D F2 L' B'
D B R2 F' L' R2 B'
D B R2 F' L' B' R2
D B R2 F' R2 L' B'
F' D2 B2 D L' F2 B'
F' D2 B2 D L' B' F2
F D2 B' D F2 L' B'
B' F L' D' F2 B' L'
B' F L' D' B' F2 L'
F' B L' U' R2 U B'
F D2 B2 D F2 L' B'
F' B L' D' F2 D B'
F' B L' D' F2 D' B'
F' B L' D' F2 D2 B'
F' B L' D' F2 B' D
F' B L' D' F2 B' D'
F' B L' D' F2 B' D2
F' B L' D' B' F2 D
F' B L' D' B' F2 D'
F' B L' D' B' F2 D2
B' F L' B' D' F2 L'
F' B L' D2 B' D F2
F' B L' F D' F2 B'
F' B L' F D' B' F2
F' B L' F B' D' F2
F' B L' F' D' F2 B'
F' B L' F' D' B' F2
B2 F L' D' F2 B' L'
F' B L' F' B' D' F2
B2 F L' D' B' F2 L'
F' B L' F2 D' F2 B'
F' B L' F2 D' B' F2
F' B L' F2 B' D' F2
F' B L' B' U' R2 U
D2 B D F' L' F' B'
D2 B D F' L' B' F'
F' B L' B' D' F2 D
F' B L' B' D' F2 D'
F' B L' B' D' F2 D2
F' B L' B' F D' F2
F' B L' B' F' D' F2
F' B L' B' F2 D' F2
F' B L' B2 D' F2 B
F' B L' B2 D' B F2
B2 F L' B' D' F2 L'
B F L' D' F2 B' L'
B F L' D' B' F2 L'
U2 B D B2 R' F' U2
B F L' B' D' F2 L'
U2 B D' L F2 R B
F B L' D' F2 B' L'
F B L' D' B' F2 L'
F B L' B' D' F2 L'
D2 B F D F2 L' B'
D' B F' L' D F' B'
D' B F' L' D B' F'
D' B F' L' D' F' B'
D' B F' L' D' B' F'
D' B F' L' D2 F' B'
D' B F' L' D2 B' F'
D' B F' L' F' D B'
D' B F' L' F' D' B'
D' B F' L' F' D2 B'
D' B F' L' F' B' D
D' B F' L' F' B' D'
D' B F' L' F' B' D2
D' B F' L' B' D F'
D' B F' L' B' D' F'
D' B F' L' B' D2 F'
D' B F' L' B' F' D
D' B F' L' B' F' D'
D' B F' L' B' F' D2
