R2 F2 L' U
R2 L F2 L' U
R2 L' F2 L' U
L' R2 F2 L' U
L R2 F2 L' U
R2 L2 F2 L' U
L2 R2 F2 L' U
F2 R2 U2 R U'
R2 F2 L' U D
R2 F2 L' U D'
R2 F2 L' U D2
R2 F2 L' D U
R2 F2 L' D' U
R2 F2 L' D2 U
R2 F2 D L' U
R2 F2 D' L' U
R2 F2 D2 L' U
U2 R' U2 R' F2 U D'
U2 R' U2 R' F2 U D2
U2 R' U2 R' F2 D U
U2 R' U2 R' F2 D' U
U2 R' U2 R' F2 D2 U
U' R' U2 F2 R' U R
U2 R' U2 D' R' U L2
U2 R' U2 F R' F U
U2 R' U2 F2 R' U D
U2 R' U2 F2 R' U D'
U2 R' U2 F2 R' U D2
U2 R' U2 F2 R' D U
U2 R' U2 F2 R' D' U
U2 R' U2 F2 R' D2 U
U2 R' U2 F2 D R' U
U2 R' U2 F2 D' R' U
U2 R' U2 F2 D2 R' U
U R' U2 R' F2 U R2
F2 R' D R' U2 R U'
F2 R' D' R' U2 R U'
U2 R' D' U2 R' U L2
U2 R' D' B2 L U' L
U2 R' D2 L B2 L U'
U2 R' D2 L' B2 L U'
U2 R' D2 L2 B2 L U'
F2 R' D2 R' U2 R U'
U2 R' D2 B2 L U' D
U2 R' D2 B2 L U' D'
U2 R' D2 B2 L U' D2
U2 R' D2 B2 L D U'
U2 R' D2 B2 L D' U'
U2 R' D2 B2 L D2 U'
U2 R' D2 B2 D L U'
U2 R' D2 B2 D' L U'
U2 R' D2 B2 D2 L U'
U R' D2 B2 L U' R
F R' F R' U2 R U'
D' R' F' U F' L2 B'
F R' F' R' F2 L' U
B2 R' F2 L R' B2 U
R2 U2 R U D R2 U2
R2 U2 R U' L D' L2
R2 U2 R U' L' D' L2
R2 U2 R U' L2 D' L2
R2 U2 R U' D' L2 D
R2 U2 R U' D' L2 D'
R2 U2 R U' D' L2 D2
R2 U2 R U2 F2 U D
R2 U2 R U2 F2 U D'
R2 U2 R U2 F2 U D2
R2 U2 R U2 F2 D U
R2 U2 R U2 F2 D' U
R2 U2 R U2 F2 D2 U
R2 U2 R D U R2 U2
B2 R' F2 R' L B2 U
R2 U2 R D' U' L2 D
R2 U2 R D' U' L2 D'
R2 U2 R D' U' L2 D2
R2 U2 R D' B U' L2
R2 U2 R D' B' U' L2
R2 U2 R D' B2 U' L2
F2 R' F2 R' F2 L' U
R2 U2 R D2 B2 U' D
R2 U2 R D2 B2 U' D'
R2 U2 R D2 B2 U' D2
R2 U2 R D2 B2 D U'
R2 U2 R D2 B2 D' U'
R2 U2 R D2 B2 D2 U'
L' U2 R' U2 R' F2 U
L' U2 R' U2 F2 R' U
R2 U2 R B U' D' L2
R2 U2 R B U2 F2 U
R2 U2 R B D' U' L2
R2 U2 R B D2 B2 U'
R2 U2 R B' U' D' L2
R2 U2 R B' U2 F2 U
R2 U2 R B' D' U' L2
R2 U2 R B' D2 B2 U'
R' U2 R' F2 U D R2
R' U2 R' F2 U2 F2 U'
R' U2 R' F2 D U R2
R2 U2 R B2 U' D' L2
R2 U2 R B2 U2 F2 U
R' U2 R' F2 D2 B2 U
R2 U2 R B2 D' U' L2
R2 U2 R B2 D2 B2 U'
D2 R' B L2 F B U'
L' U2 R' D2 B2 L U'
D2 R' B L2 B F U'
L2 U2 R' U2 R' F2 U
L2 U2 R' U2 F2 R' U
L2 U2 R' D2 B2 L U'
L U2 R' U2 R' F2 U
L U2 R' U2 F2 R' U
L U2 R' D2 B2 L U'
R2 U2 R2 D' R' U' L2
R2 U2 R2 D2 R' B2 U'
R U2 R2 U2 R' F2 U
R U2 R2 U2 F2 R' U
D2 R' B2 L2 U' D' R2
D2 R' B2 L2 U2 B2 U
D2 R' B2 L2 D' U' R2
D2 R' B2 L2 D2 F2 U'
R U2 R2 D2 B2 L U'
R2 U2 D R U R U2
U2 R' B2 L U' D' L2
U2 R' B2 L U2 F2 U
U2 R' B2 L D' U' L2
U2 R' B2 L D2 B2 U'
L' U2 D' R' U' L2 F2
L' U2 D' R' U' F2 L2
L2 U2 D' R' U' L2 F2
L2 U2 D' R' U' F2 L2
U2 R' B2 D' L U' L
U2 R' B2 D2 L B2 U'
R2 U2 D' R U' L2 D
R2 U2 D' R U' L2 D'
R2 U2 D' R U' L2 D2
R2 U2 D' R D' B2 U'
F' R2 L U2 B R U'
R2 U2 D' R B U' L2
R2 U2 D' R B' U' L2
R2 U2 D' R B2 U' L2
B2 R2 L U D' L2 R2
B2 R2 L U D' R2 L2
L' U2 D2 L2 R' B2 U'
F2 R2 L U2 R U' D
F2 R2 L U2 R U' D'
F2 R2 L U2 R U' D2
F2 R2 L U2 R D U'
F2 R2 L U2 R D' U'
F2 R2 L U2 R D2 U'
F2 R2 L U2 D R U'
L' U2 D2 R' L2 B2 U'
F2 R2 L U2 D' R U'
F2 R2 L U2 D2 R U'
L' U2 D2 R' B2 L2 U'
F2 R2 L D U2 R U'
B2 R2 L D' U L2 R2
B2 R2 L D' U R2 L2
R2 U2 D' B R U' L2
L U2 D' R' U' L2 F2
L U2 D' R' U' F2 L2
U' R2 L F2 L' U R
F2 R2 L D' U2 R U'
R2 U2 D' B' R U' L2
F2 R2 L D2 U2 R U'
R2 U2 D' B2 R U' L2
L2 U2 D2 L2 R' B2 U'
B2 R2 L F2 U D' R2
L2 U2 D2 R' L2 B2 U'
B2 R2 L F2 D' U R2
F2 R2 L F2 L' F2 U
B2 R2 L F2 B2 U D
B2 R2 L F2 B2 U D'
B2 R2 L F2 B2 U D2
B2 R2 L F2 B2 D U
B2 R2 L F2 B2 D' U
B2 R2 L F2 B2 D2 U
L2 U2 D2 R' B2 L2 U'
R2 U2 D2 R U' D L2
R2 U2 D2 R D U' L2
R2 U2 D2 R B2 U' D
R2 U2 D2 R B2 U' D'
R2 U2 D2 R B2 U' D2
R2 U2 D2 R B2 D U'
R2 U2 D2 R B2 D' U'
R2 U2 D2 R B2 D2 U'
B2 R2 L B2 U D' L2
F' R2 L' U2 B R U'
B2 R2 L B2 D' U L2
B2 R2 L B2 F2 U D
B2 R2 L B2 F2 U D'
B2 R2 L B2 F2 U D2
B2 R2 L B2 F2 D U
B2 R2 L B2 F2 D' U
B2 R2 L B2 F2 D2 U
R2 U2 D2 R' B2 R2 U'
L U2 D2 L2 R' B2 U'
F2 R2 L' U2 R U' D
F2 R2 L' U2 R U' D'
F2 R2 L' U2 R U' D2
F2 R2 L' U2 R D U'
F2 R2 L' U2 R D' U'
F2 R2 L' U2 R D2 U'
F2 R2 L' U2 D R U'
F2 R2 L' U2 D' R U'
F2 R2 L' U2 D2 R U'
F2 R2 L' D U2 R U'
L U2 D2 R' L2 B2 U'
F2 R2 L' D' U2 R U'
L U2 D2 R' B2 L2 U'
R2 U2 D2 B' R B' U'
F R2 L F2 L' F U
F2 R2 L' D2 U2 R U'
R2 U2 D2 B2 R U' D
R2 U2 D2 B2 R U' D'
R2 U2 D2 B2 R U' D2
R2 U2 D2 B2 R D U'
R2 U2 D2 B2 R D' U'
R2 U2 D2 B2 R D2 U'
R2 U2 D2 B2 D R U'
R2 U2 D2 B2 D' R U'
R2 U2 D2 B2 D2 R U'
U R2 L F2 L' U R2
B2 R2 L' F2 L2 B2 U
F2 R2 L' F2 L' F2 U
B2 R2 L' F2 B2 L2 U
B2 R2 L' B2 L2 F2 U
F' R2 L2 U2 B R U'
B2 R2 L' B2 F2 L2 U
F R2 L' U2 R B U'
F2 R2 L2 U2 R U' D
F2 R2 L2 U2 R U' D'
F2 R2 L2 U2 R U' D2
F2 R2 L2 U2 R D U'
F2 R2 L2 U2 R D' U'
F2 R2 L2 U2 R D2 U'
F2 R2 L2 U2 D R U'
F2 R2 L2 U2 D' R U'
F2 R2 L2 U2 D2 R U'
F2 R2 L2 D U2 R U'
F2 R2 L2 D' U2 R U'
F2 R2 L2 D2 U2 R U'
U R2 L' F2 L' U R2
F2 R2 L2 F2 L' F2 U
B2 R2 L2 B2 L' F2 U
F R2 L2 U2 R B' U'
F R2 L2 U2 B' R U'
R' U2 F2 R' U D R2
R' U2 F2 R' U2 F2 U'
R' U2 F2 R' D U R2
R' U2 F2 R' D2 B2 U
F2 R2 U R' D R B2
F2 R2 U R' D B2 R
U' R2 U F2 L' U F2
U R2 L2 F2 L' U R2
R' U2 F2 D R' U R'
R' U2 F2 D2 R' B2 U
F2 R2 U B U R U'
F2 R2 U B' U R U'
F2 R2 U B2 U R U'
F2 R2 U' F2 U L' U
D2 R2 U2 L2 R B2 U'
D2 R2 U2 L2 B2 R U'
D2 R2 U2 R L2 B2 U'
D' R2 U2 R U' L2 F2
D' R2 U2 R U' F2 L2
D2 R2 U2 R B2 L2 U'
R2 U2 B R U' D' L2
R2 U2 B R U2 F2 U
R2 U2 B R D' U' L2
R2 U2 B R D2 B2 U'
F' R2 U2 D B R U'
F' R2 U2 D' B R U'
F2 R2 U2 R' U' D B2
F2 R2 U2 R' D U' B2
F' R2 U2 D2 B R U'
F2 R2 U2 R2 D R' U'
F2 R2 U2 R2 D' R' U'
F2 R2 U2 R2 D2 R' U'
F2 R2 U2 D R U' D
F2 R2 U2 D R U' D'
F2 R2 U2 D R U' D2
F2 R2 U2 D R D U'
F2 R2 U2 D R D' U'
F2 R2 U2 D R D2 U'
R2 U2 B U2 F2 L' U
F2 R2 U2 D' R U' D
F2 R2 U2 D' R U' D'
F2 R2 U2 D' R U' D2
F2 R2 U2 D' R D U'
F2 R2 U2 D' R D' U'
F2 R2 U2 D' R D2 U'
F2 R2 U2 D2 R U' D
F2 R2 U2 D2 R U' D'
F2 R2 U2 D2 R U' D2
F2 R2 U2 D2 R D U'
F2 R2 U2 D2 R D' U'
F2 R2 U2 D2 R D2 U'
R2 U2 B D' R U' L2
F' R2 U2 B R U' D
F' R2 U2 B R U' D'
F' R2 U2 B R U' D2
F' R2 U2 B R D U'
F' R2 U2 B R D' U'
F' R2 U2 B R D2 U'
D2 R2 U2 B2 L2 R U'
D2 R2 U2 B2 R L2 U'
F' R2 U2 B D R U'
F' R2 U2 B D' R U'
F' R2 U2 B D2 R U'
R2 U2 B D2 R B2 U'
F' R2 U2 B' R B2 U'
R2 U2 B D2 B2 R U'
F' R2 U2 B2 R B' U'
F2 R2 U2 B R B' U'
F R2 U2 R U2 F U
F2 R2 U2 B2 R B2 U'
F2 R2 D L U2 R U'
R2 U2 B' R U' D' L2
R2 U2 B' R U2 F2 U
R2 U2 B' R D' U' L2
R2 U2 B' R D2 B2 U'
F2 R2 D L' U2 R U'
F2 R2 D L2 U2 R U'
F' R2 D U2 B R U'
D' R2 D F2 L' R2 U
D' R2 D F2 R2 L' U
R2 U2 B' U2 F2 L' U
R2 U2 B' D' R U' L2
F2 R2 D U2 R U' D
F2 R2 D U2 R U' D'
F2 R2 D U2 R U' D2
F2 R2 D U2 R D U'
F2 R2 D U2 R D' U'
F2 R2 D U2 R D2 U'
R2 U2 B' D2 R B2 U'
R2 U2 B' D2 B2 R U'
F2 R2 D F2 L' F2 U
B2 R2 D' L U L R2
B2 R2 D' L U R2 L
F2 R2 D' L U2 R U'
R2 U2 B2 R U' D' L2
R2 U2 B2 R U2 F2 U
R2 U2 B2 R D' U' L2
R2 U2 B2 R D2 B2 U'
F2 R2 D' L' U2 R U'
F2 R2 D' L2 U2 R U'
F' R2 D' U2 B R U'
R2 U2 B2 U2 F2 L' U
F R2 D F2 L' F' U
R2 U2 B2 D' R U' L2
F2 R2 D' U2 R U' D
F2 R2 D' U2 R U' D'
F2 R2 D' U2 R U' D2
F2 R2 D' U2 R D U'
F2 R2 D' U2 R D' U'
F2 R2 D' U2 R D2 U'
R2 U2 B2 D2 R B2 U'
R2 U2 B2 D2 B2 R U'
F2 R2 D' F2 L' F2 U
F2 R2 D2 L U2 R U'
F2 R2 D2 L' U2 R U'
F2 R2 D2 L2 U2 R U'
F' R2 D2 U2 B R U'
R2 D L D' F2 L' U
D2 R2 D2 F2 L' R2 U
D2 R2 D2 F2 R2 L' U
U2 R2 D2 R B2 L U'
F R2 D' F2 L' F' U
F2 R2 D2 U2 R U' D
F2 R2 D2 U2 R U' D'
F2 R2 D2 U2 R U' D2
F2 R2 D2 U2 R D U'
F2 R2 D2 U2 R D' U'
F2 R2 D2 U2 R D2 U'
F2 R2 D2 F2 L' F2 U
R2 D L' D' F2 L' U
F R2 D2 F2 L' F' U
B2 R2 F' L F' B2 U
B2 R2 F' L B2 F' U
R2 D L2 D' F2 L' U
F R2 F D' L U B'
U' R2 F2 L' U' L U2
F' R2 F2 L' U2 B U'
U' R2 F2 L' B2 U R'
B' R2 F2 L2 B' L U
B2 R2 F2 L U D' R2
B2 R2 F2 L D' U R2
B2 R2 F2 L B2 U D
B2 R2 F2 L B2 U D'
B2 R2 F2 L B2 U D2
B2 R2 F2 L B2 D U
B2 R2 F2 L B2 D' U
B2 R2 F2 L B2 D2 U
F2 R2 F2 L F2 L2 U
B2 R2 F2 L' B2 L2 U
F2 R2 F2 L' U D' L2
F2 R2 F2 L' D' U L2
F2 R2 F2 L' F2 U D
F2 R2 F2 L' F2 U D'
F2 R2 F2 L' F2 U D2
F2 R2 F2 L' F2 D U
F2 R2 F2 L' F2 D' U
F2 R2 F2 L' F2 D2 U
B2 R2 F2 L2 B2 L' U
F2 R2 F2 L2 F2 L U
U2 R2 F2 L' U D R2
U2 R2 F2 L' U2 F2 U'
U2 R2 F2 L' D U R2
U2 R2 F2 L' D2 B2 U
B2 R2 F2 D' L U R2
F2 R2 F2 D' L' U L'
R D R U' R U2 B2
U2 R2 F2 U2 F2 R U'
U2 R2 F2 D L' U R2
F R2 F2 L F' L2 U
F R2 F2 L' D F' U
F R2 F2 L' D' F' U
F R2 F2 L' D2 F' U
F R2 F2 L' F' U D
F R2 F2 L' F' U D'
F R2 F2 L' F' U D2
F R2 F2 L' F' D U
F R2 F2 L' F' D' U
F R2 F2 L' F' D2 U
U2 R2 F2 D2 L' B2 U
B2 R2 F2 B2 U2 R' U'
F R2 F2 L2 F' L U
U2 R2 F2 D2 B2 L' U
U R2 F2 L' U R2 D
U R2 F2 L' U R2 D'
U R2 F2 L' U R2 D2
U R2 F2 L' D B2 U
U R2 F2 L' B U R2
U R2 F2 L' B' U R2
U R2 F2 L' B2 U R2
R D R F2 U L' B2
R D R F2 U B2 L'
B R2 F2 B L B2 U
F R2 F2 D L' F' U
B R2 F2 B' U2 R' U'
F R2 F2 D' L' F' U
F R2 F2 D2 L' F' U
B R2 B L F2 B2 U
U R2 F2 D L' B2 U
B R2 B L B2 F2 U
U R2 F2 D B2 L' U
U R2 F2 B L' U R2
U R2 F2 B' L' U R2
U R2 F2 B2 L' U R2
B R2 B F2 L B2 U
U R2 B F2 L' U R2
B R2 B' F2 U2 R' U'
U R2 B' F2 L' U R2
B2 R2 B2 F2 U2 R' U'
R2 D U' R2 U' R' U'
B2 U L R2 F2 B2 U
B2 U L R2 B2 F2 U
B2 U L F2 R2 B2 U
B2 U L F2 B2 R2 U
R2 D U2 R U R U2
U R2 B2 F2 L' U R2
B2 U L B2 R2 F2 U
B2 U L B2 F2 R2 U
D2 U L2 R' B2 U' R
D' U L2 U R' U' F2
D' U L2 F2 U R' U'
R2 D F2 L' U D2 L2
R2 D F2 L' U' R2 U2
R2 D F2 L' D' F2 U
R2 D F2 L' D2 U L2
D2 U R' L2 B2 U' R
D' U R' U' L2 R F2
D' U R' U' R L2 F2
D' U R' U' R F2 L2
R2 D F2 D' L' F2 U
R2 D F2 D2 L' U L'
U2 D R' U R' B2 U2
U2 D R' U B2 U2 L
D2 U R' B2 L2 U' R
B2 U R2 L F2 B2 U
B2 U R2 L B2 F2 U
U' D R2 B2 U' R U'
B2 U R2 F2 L B2 U
F2 U D' F2 U R' U'
D' U F2 L2 U R' U'
R2 D' L U2 R U' L
D' U F2 U R' U' L2
R2 D' L F2 L' U L2
R2 D' L' U2 R U' L'
R2 D' L2 F2 L' U L
B2 U F2 L R2 B2 U
B2 U F2 L B2 R2 U
R' D' R' U2 R U' L2
B2 U F2 R2 L B2 U
R' D' R' D F2 L' U
U' D B2 R2 U L U
R' D' R' F2 L' U L'
R D' R U L2 D2 B2
R D' R U' F2 U2 L2
B' U B R2 F2 L' U
R D' R F U L2 B'
U2 D' L R' U' L F2
U2 D' L R' U' F2 L
U2 D' L' R' U' L' F2
R2 D' U L2 U R U'
B2 U B2 R2 F2 L' U
F2 U B2 U' L R2 U
F2 U B2 U' R2 L U
B2 U' L R2 F2 B2 U
L' D' U2 R' U' L2 F2
L' D' U2 R' U' F2 L2
B2 U' L R2 B2 F2 U
L2 D' U2 R' U' L2 F2
L2 D' U2 R' U' F2 L2
B2 U' L F2 R2 B2 U
U D' L2 U R' U' F2
B2 U' L F2 B2 R2 U
R2 D' U2 R U' L2 D
R2 D' U2 R U' L2 D'
R2 D' U2 R U' L2 D2
R2 D' U2 R D' B2 U'
R2 D' U2 R B U' L2
R2 D' U2 R B' U' L2
R2 D' U2 R B2 U' L2
B2 U' L B2 R2 F2 U
B2 U' L B2 F2 R2 U
R2 D' U2 B R U' L2
U D' L2 F2 U R' U'
R2 D' U2 B' R U' L2
R2 D' U2 B2 R U' L2
L D' U2 R' U' L2 F2
L D' U2 R' U' F2 L2
U2 D' R' L U' L F2
U2 D' R' L U' F2 L
U2 D' R' L' U' L' F2
U2 D' R' U' L F2 L
U2 D' R' U' L2 F2 D
U2 D' R' U' L2 F2 D'
U2 D' R' U' L2 F2 D2
U2 D' R' U' F' L2 F'
U2 D' R' U' F2 L2 D
U2 D' R' U' F2 L2 D'
U2 D' R' U' F2 L2 D2
U2 D' R' D' L2 B2 U'
U2 D' R' D' B2 L2 U'
R2 D' F' L' U L' B'
U2 D' R' B U' L2 F2
U2 D' R' B U' F2 L2
U2 D' R' B' U' L2 F2
U2 D' R' B' U' F2 L2
U2 D' R' B2 U' L2 F2
U2 D' R' B2 U' F2 L2
U D' R' U' L2 R F2
U D' R' U' R L2 F2
U D' R' U' R F2 L2
R2 D' F' U L' B' L'
R2 D' F2 L' U L' D
R2 D' F2 L' U L' D'
R2 D' F2 L' U L' D2
R2 D' F2 L' U D L'
R2 D' F2 L' U D' L'
R2 D' F2 L' U D2 L'
R2 D' F2 L' D U L'
R2 D' F2 L' D' U L'
R2 D' F2 L' D2 U L'
R2 D' F2 D L' F2 U
D U' R2 B2 U' R U'
B2 U' R2 L F2 B2 U
B2 U' R2 L B2 F2 U
B2 U' R2 F2 L B2 U
U D' F2 L2 U R' U'
F2 U' D B2 U L U
U D' F2 U R' U' L2
R2 D2 L U2 R B2 U'
R2 D2 L U2 B2 R U'
R2 D2 L D2 F2 L' U
R2 D2 L' U2 R B2 U'
R2 D2 L' U2 B2 R U'
D' U2 L R' U' L F2
D' U2 L R' U' F2 L
R2 D2 L' D2 F2 L' U
D U' B2 R2 U L U
R2 D2 L2 U2 R B2 U'
R2 D2 L2 U2 B2 R U'
D' U2 L' R' U' L' F2
R2 D2 L2 D2 F2 L' U
D2 U2 L' R' B2 L' U'
R D2 L2 R U D L2
R D2 L2 R U2 B2 U'
R D2 L2 R D U L2
B2 U' F2 L R2 B2 U
R D2 L2 R D2 F2 U
B2 U' F2 L B2 R2 U
B2 U' F2 R2 L B2 U
R D2 L2 D R U L2
R' D2 R' U2 R B2 U'
R' D2 R' U2 B2 R U'
U2 D2 L' R' B2 L' U'
R D2 L2 D2 R F2 U
R' D2 R' D2 F2 L' U
D2 U2 L2 R B2 R2 U'
D2 U2 L2 R' U' D L2
D2 U2 L2 R' D U' L2
D2 U2 L2 R' B2 U' D
D2 U2 L2 R' B2 U' D'
D2 U2 L2 R' B2 U' D2
D2 U2 L2 R' B2 D U'
D2 U2 L2 R' B2 D' U'
D2 U2 L2 R' B2 D2 U'
D2 U2 L2 R2 B2 R U'
D2 U2 L2 D R' U' L2
R D2 R L2 U D L2
R D2 R L2 U2 B2 U'
R D2 R L2 D U L2
R D2 R L2 D2 F2 U
B' U' B R2 F2 L' U
U2 D2 L2 R B2 R2 U'
U2 D2 L2 R' U' D L2
U2 D2 L2 R' D U' L2
U2 D2 L2 R' B2 U' D
U2 D2 L2 R' B2 U' D'
U2 D2 L2 R' B2 U' D2
U2 D2 L2 R' B2 D U'
U2 D2 L2 R' B2 D' U'
U2 D2 L2 R' B2 D2 U'
U2 D2 L2 R2 B2 R U'
D2 U2 L2 B2 U2 L U
U2 D2 L2 D R' U' L2
D2 U2 R L2 B2 R2 U'
U2 D2 L2 B2 U2 L U
U D2 L2 R' B2 U' R
U2 D2 R L2 B2 R2 U'
D' U2 R' L U' L F2
D' U2 R' L U' F2 L
D' U2 R' L' U' L' F2
D2 U2 R B2 L2 R2 U'
D2 U2 R B2 R2 L2 U'
D' U2 R' U' L F2 L
D' U2 R' U' L2 F2 D
D' U2 R' U' L2 F2 D'
D' U2 R' U' L2 F2 D2
D' U2 R' U' F' L2 F'
D' U2 R' U' F2 L2 D
D' U2 R' U' F2 L2 D'
D' U2 R' U' F2 L2 D2
D2 U2 R' L' B2 L' U'
D2 U2 R' L2 U' D L2
D2 U2 R' L2 D U' L2
D2 U2 R' L2 B2 U' D
D2 U2 R' L2 B2 U' D'
D2 U2 R' L2 B2 U' D2
D2 U2 R' L2 B2 D U'
D2 U2 R' L2 B2 D' U'
D2 U2 R' L2 B2 D2 U'
D' U2 R' D' L2 B2 U'
D2 U2 R' U' D L2 F2
D2 U2 R' U' D F2 L2
D' U2 R' D' B2 L2 U'
D2 U2 R' D U' L2 F2
D2 U2 R' D U' F2 L2
U2 D2 R B2 L2 R2 U'
U2 D2 R B2 R2 L2 U'
D' U2 R' B U' L2 F2
D' U2 R' B U' F2 L2
B2 U' B2 R2 F2 L' U
D' U2 R' B' U' L2 F2
D' U2 R' B' U' F2 L2
U2 D2 R' L' B2 L' U'
U2 D2 R' L2 U' D L2
U2 D2 R' L2 D U' L2
D' U2 R' B2 U' L2 F2
D' U2 R' B2 U' F2 L2
U2 D2 R' L2 B2 U' D
U2 D2 R' L2 B2 U' D'
U2 D2 R' L2 B2 U' D2
U2 D2 R' L2 B2 D U'
U2 D2 R' L2 B2 D' U'
U2 D2 R' L2 B2 D2 U'
D2 U2 R' B L2 B U'
F2 U' B2 U L R2 U
F2 U' B2 U R2 L U
U2 D2 R' U' D L2 F2
U2 D2 R' U' D F2 L2
D2 U2 R' B2 L2 U' D
D2 U2 R' B2 L2 U' D'
D2 U2 R' B2 L2 U' D2
D2 U2 R' B2 L2 D U'
D2 U2 R' B2 L2 D' U'
D2 U2 R' B2 L2 D2 U'
D2 U2 R' B2 U' D F2
D2 U2 R' B2 D U' F2
U2 D2 R' D U' L2 F2
U2 D2 R' D U' F2 L2
D2 U2 R2 L2 B2 R U'
D U2 R' U R' B2 U2
D U2 R' U B2 U2 L
U2 D2 R' B L2 B U'
L' D2 U2 L2 R' B2 U'
B2 U2 L R2 F2 B2 U
B2 U2 L R2 B2 F2 U
F2 U2 L R' U2 R' U
U2 D2 R' B2 L2 U' D
U2 D2 R' B2 L2 U' D'
U2 D2 R' B2 L2 U' D2
U2 D2 R' B2 L2 D U'
U2 D2 R' B2 L2 D' U'
U2 D2 R' B2 L2 D2 U'
L' D2 U2 R' L2 B2 U'
U2 D2 R' B2 U' D F2
U2 D2 R' B2 D U' F2
L' D2 U2 R' B2 L2 U'
U D2 R' L2 B2 U' R
U2 D2 R2 L2 B2 R U'
D2 U2 R2 B2 L2 R U'
F2 U2 L D' R' U' F2
D2 U2 R2 B2 R L2 U'
F2 U2 L D2 L2 R' U'
L2 D2 U2 L2 R' B2 U'
F2 U2 L D2 R' L2 U'
B2 U2 L F2 R2 B2 U
B2 U2 L F2 B2 R2 U
L2 D2 U2 R' L2 B2 U'
L2 D2 U2 R' B2 L2 U'
B2 U2 L B2 R2 F2 U
B2 U2 L B2 F2 R2 U
R2 D2 U2 R U' D L2
R2 D2 U2 R D U' L2
R2 D2 U2 R B2 U' D
R2 D2 U2 R B2 U' D'
R2 D2 U2 R B2 U' D2
R2 D2 U2 R B2 D U'
R2 D2 U2 R B2 D' U'
R2 D2 U2 R B2 D2 U'
R2 D2 U2 R' B2 R2 U'
U D2 R' B2 L2 U' R
F2 U2 L' R' U2 R' U
U2 D2 R2 B2 L2 R U'
U2 D2 R2 B2 R L2 U'
R2 D2 U2 B' R B' U'
R2 D2 U2 B2 R U' D
R2 D2 U2 B2 R U' D'
R2 D2 U2 B2 R U' D2
R2 D2 U2 B2 R D U'
R2 D2 U2 B2 R D' U'
R2 D2 U2 B2 R D2 U'
F2 U2 L' D' R' U' F2
R2 D2 U2 B2 D R U'
R2 D2 U2 B2 D' R U'
R2 D2 U2 B2 D2 R U'
F2 U2 L' D2 L2 R' U'
F2 U2 L' D2 R' L2 U'
L D2 U2 L2 R' B2 U'
L D2 U2 R' L2 B2 U'
L D2 U2 R' B2 L2 U'
F2 U2 L2 R' U2 R' U
F2 U2 L2 D' R' U' F2
F2 U2 L2 D2 L2 R' U'
F2 U2 L2 D2 R' L2 U'
R2 D2 F2 L' U D L2
R2 D2 F2 L' U2 B2 U'
R2 D2 F2 L' D U L2
R2 D2 F2 L' D2 F2 U
F2 U2 R' L U2 R' U
F2 U2 R' L' U2 R' U
R2 D2 F2 D L' U L'
F2 U2 R' L2 U2 R' U
R2 D2 F2 D2 L' F2 U
F2 U2 R' U2 R' U D
F2 U2 R' U2 R' U D'
F2 U2 R' U2 R' U D2
F2 U2 R' U2 R' D U
F2 U2 R' U2 R' D' U
F2 U2 R' U2 R' D2 U
F2 U2 R' U2 D R' U
F2 U2 R' U2 D' R' U
F2 U2 R' U2 D2 R' U
F2 U2 R' D U2 R' U
F2 U2 R' D' U2 R' U
F2 U2 R' D2 U2 R' U
B2 U2 R2 L F2 B2 U
B2 U2 R2 L B2 F2 U
F2 U2 R' B2 L B2 U'
R' D2 B2 L U' D' R2
R' D2 B2 L U2 B2 U
R' D2 B2 L D' U' R2
R' D2 B2 L D2 F2 U'
F U2 R' U2 R' F U
F U2 R' U2 F R' U
B2 U2 R2 F2 L B2 U
D2 U2 B2 L2 U2 L' U
R' D2 B2 U2 B2 R' U
R' D2 B2 D' L U' R2
R' D2 B2 D2 L F2 U'
R' D2 B2 D2 F2 L U'
F2 U2 D R' U B2 U2
F2 U2 D R' U' D2 F2
F2 U2 D R' D L2 U'
F2 U2 D R' D2 U' F2
U2 D2 B2 L2 U2 L' U
F2 U2 D' L R' U' F2
F2 U2 D' L' R' U' F2
F2 U2 D' L2 R' U' F2
F2 U2 D' R' L U' F2
F2 U2 D' R' L' U' F2
F2 U2 D' R' L2 U' F2
F2 U2 D' R' U' F2 D
F2 U2 D' R' U' F2 D'
F2 U2 D' R' U' F2 D2
F2 U2 D' R' D' L2 U'
F2 U2 D2 L2 R' U' D
F2 U2 D2 L2 R' U' D'
F2 U2 D2 L2 R' U' D2
F2 U2 D2 L2 R' D U'
F2 U2 D2 L2 R' D' U'
F2 U2 D2 L2 R' D2 U'
F2 U2 D2 L2 D R' U'
F2 U2 D2 L2 D' R' U'
F2 U2 D2 L2 D2 R' U'
F2 U2 D2 R' L2 U' D
F2 U2 D2 R' L2 U' D'
F2 U2 D2 R' L2 U' D2
F2 U2 D2 R' L2 D U'
F2 U2 D2 R' L2 D' U'
F2 U2 D2 R' L2 D2 U'
F2 U2 D2 R' U' D F2
F2 U2 D2 R' D U' F2
R2 F L F L' F U
F U2 D2 L2 R' B' U'
F U2 D2 R' L2 B' U'
B2 U2 F2 L R2 B2 U
B2 U2 F2 L B2 R2 U
B2 U2 F2 R2 L B2 U
R2 F R F L' R' U
R' F R' F2 L' F' U
R2 F R F R' L' U
B' U2 B R2 F2 L' U
L' F R2 F2 L' F' U
L2 F R2 F2 L' F' U
R2 F R2 F L' R2 U
