D L2 R2 U2 F
D' L2 F R2 B
D R2 L2 U2 F
D R2 B' L2 U2
B' U F2 B' U
B' U B' F2 U
U2 D' L2 R2 F
U2 D' L2 F R2
U2 D' R2 L2 F
D' U2 L2 R2 F
D' U2 L2 F R2
D' U2 R2 L2 F
D B' L2 R2 U2
D B' R2 L2 U2
D' B' U2 L2 R2
D' B' U2 R2 L2
F2 R D' L2 U F R2
U2 R D' L2 R2 D F
U2 R D' L2 R2 D' F
U2 R D' L2 R2 D2 F
U2 R D' L2 R2 F D
U2 R D' L2 R2 F D'
U2 R D' L2 R2 F D2
U2 R D' L2 F R2 D
U2 R D' L2 F R2 D'
U2 R D' L2 F R2 D2
B' R D' U B' U L2
U2 R D' L2 F' R2 F2
U2 R D' R' L2 F R'
L2 U B2 D' U F L2
U2 R D' R2 L2 D F
U2 R D' R2 L2 D' F
U2 R D' R2 L2 D2 F
U2 R D' R2 L2 F D
U2 R D' R2 L2 F D'
U2 R D' R2 L2 F D2
U2 R D' R2 F L2 F
U2 R D' R2 F' L2 F
U2 R D' R2 F2 L2 F
R U B2 R2 F2 U F
D2 R D' B' L2 R2 U2
D2 R D' B' R2 L2 U2
L2 U B2 F2 U D F'
L2 U B2 F2 U D' F'
L2 U B2 F2 U D2 F'
L2 U B2 F2 U F' D
L2 U B2 F2 U F' D'
L2 U B2 F2 U F' D2
L2 U B2 F2 D U F'
L2 U B2 F2 D' U F'
L2 U B2 F2 D2 U F'
U2 R D' F L2 R2 F
U2 R D' F L2 F R2
U2 R D' F R2 L2 F
U2 R D' F' L2 R2 F
U2 R D' F' L2 F R2
U2 R D' F' R2 L2 F
R2 U B2 F2 R2 U F'
U2 R D' F2 L2 R2 F
U2 R D' F2 L2 F R2
R2 U B2 F2 U' B U2
U2 R D' F2 R2 L2 F
U R D' U L2 R2 F
U R D' U L2 F R2
U R D' U R2 L2 F
R U B2 F2 R2 U F'
R U B2 F2 U' B U2
D R D2 R B' U2 R
D' R D2 B' R2 U2 R'
D R D2 B' R U2 R
D' R F' L2 F R B'
D' R F' L2 F B' R
D' R F' L2 B' F R
D R B L2 R B2 U2
D R B L2 B2 R U2
D R B R L2 B2 U2
D R B R B2 L2 U2
U R F2 B2 R2 U F'
U R F2 B2 U' B U2
D' R B' L U2 L R
D' R B' L U2 R L
D' R B' L' U2 L' R
D' R B' L' U2 R L'
D' R B' R' U2 L2 R2
D' R B' R' U2 R2 L2
D' R B' R2 U2 L2 R'
D' R B' R2 U2 R' L2
D2 R B' U' F2 B' U'
D2 R B' U' B' F2 U'
D' R B' U2 L2 R D
D' R B' U2 L2 R D'
D' R B' U2 L2 R D2
D' R B' U2 L2 D R
D' R B' U2 L2 D' R
D' R B' U2 L2 D2 R
D' R B' U2 R L2 D
D' R B' U2 R L2 D'
D' R B' U2 R L2 D2
D R B' L2 R U2 D
D R B' L2 R U2 D'
D R B' L2 R U2 D2
D R B' L2 R D U2
D R B' L2 R D' U2
D R B' L2 R D2 U2
D R B' L2 D R U2
D R B' L2 D' R U2
D R B' L2 D2 R U2
D R B' R L2 U2 D
D R B' R L2 U2 D'
D R B' R L2 U2 D2
D R B' R L2 D U2
D R B' R L2 D' U2
D R B' R L2 D2 U2
D R B' R U2 D2 R2
D R B' R D2 U2 R2
D' R B' D2 R2 U2 R'
D R B' D2 R U2 R
D R B2 L2 B R U2
F2 R B2 U' F2 B U2
F2 R B2 U' B F2 U2
D' R' L U2 L R' F'
D' R' L U2 R' L F'
D' R' L U2 R' F' L
U R B2 R2 F2 U F
U R B2 F2 R2 U F'
U R B2 F2 U' B U2
D' R' L' U2 L' R' F
D' R' L' U2 L' F R'
D' R' L' U2 R' L' F
L2 U' D2 F2 B2 U' F'
L2 U' D2 B2 F2 U' F'
D' R' L2 F R2 B R
U2 R' L2 D' R2 F L2
U2 R' L2 D' F L2 R2
U2 R' L2 D' F R2 L2
D R' L2 D R' U2 F
D R' L2 D' R' U2 F
D R' L2 D2 R' U2 F
D R' L2 B2 U2 F L
B' R' U D' B' U L2
B' R' U F2 D B' U
B' R' U F2 D' B' U
B' R' U F2 D2 B' U
B' R' U F2 B' U D
B' R' U F2 B' U D'
B' R' U F2 B' U D2
B' R' U F2 B' D U
B' R' U F2 B' D' U
B' R' U F2 B' D2 U
B' R' U B' U D' L2
B' R' U B' D' U L2
B' R' U B' F2 U D
B' R' U B' F2 U D'
B' R' U B' F2 U D2
B' R' U B' F2 D U
B' R' U B' F2 D' U
B' R' U B' F2 D2 U
U R' U D' L2 R2 F
U R' U D' L2 F R2
U R' U D' R2 L2 F
D' R' U2 L2 R F R2
D' R' U2 L2 R' D F
D' R' U2 L2 R' D' F
D' R' U2 L2 R' D2 F
D' R' U2 L2 R' F D
D' R' U2 L2 R' F D'
D' R' U2 L2 R' F D2
D' R' U2 L2 D R' F
D' R' U2 L2 D F R'
D' R' U2 L2 D' R' F
D' R' U2 L2 D' F R'
D' R' U2 L2 D2 R' F
D' R' U2 L2 D2 F R'
D' R' U2 L2 F R' D
D' R' U2 L2 F R' D'
D' R' U2 L2 F R' D2
D' R' U2 L2 F D R'
D' R' U2 L2 F D' R'
D' R' U2 L2 F D2 R'
D' R' U2 L2 F' R' F2
D' R' U2 R L2 F R2
D' R' U2 R' L2 D F
D' R' U2 R' L2 D' F
D' R' U2 R' L2 D2 F
D' R' U2 R' L2 F D
D' R' U2 R' L2 F D'
D' R' U2 R' L2 F D2
D' R' U2 R' F L2 F
D' R' U2 R' F' L2 F
D' R' U2 R' F2 L2 F
D2 R' U2 D L2 R2 F
D2 R' U2 D L2 F R2
D2 R' U2 D R2 L2 F
D' R' U2 F L2 R' F
D' R' U2 F L2 F R'
D' R' U2 F R' L2 F
D' R' U2 F' L2 R' F
D' R' U2 F' L2 F R'
D' R' U2 F' R' L2 F
D' R' U2 F2 L2 R' F
D' R' U2 F2 L2 F R'
D' R' U2 F2 R' L2 F
D2 R' D L2 F R2 B
B' R' D R2 U B' U
D2 R' D U2 L2 R2 F
D2 R' D U2 L2 F R2
D2 R' D U2 R2 L2 F
D2 R' D B' U2 L2 R2
D2 R' D B' U2 R2 L2
D2 R' D' L2 R2 U2 F
D2 R' D' R2 L2 U2 F
D2 R' D' R2 B' L2 U2
F2 R' D' L2 U R2 F
F2 R' D' L2 U F R2
B' R' D' U B' U L2
U2 R' D' L2 R' F R'
U2 R' D' L2 R2 D F
U2 R' D' L2 R2 D' F
U2 R' D' L2 R2 D2 F
U2 R' D' L2 R2 F D
U2 R' D' L2 R2 F D'
U2 R' D' L2 R2 F D2
U2 R' D' L2 F R2 D
U2 R' D' L2 F R2 D'
U2 R' D' L2 F R2 D2
U2 R' D' L2 F' R2 F2
U2 R' D' R' L2 F R'
U2 R' D' R2 L2 D F
U2 R' D' R2 L2 D' F
U2 R' D' R2 L2 D2 F
U2 R' D' R2 L2 F D
U2 R' D' R2 L2 F D'
U2 R' D' R2 L2 F D2
U2 R' D' R2 F L2 F
U2 R' D' R2 F' L2 F
U2 R' D' R2 F2 L2 F
D2 R' D' B' L2 R2 U2
D2 R' D' B' R2 L2 U2
L' U2 L D' L2 R2 F
L' U2 L D' L2 F R2
L' U2 L D' R2 L2 F
U2 R' D' F L2 R2 F
U2 R' D' F L2 F R2
U2 R' D' F R2 L2 F
U2 R' D' F' L2 R2 F
U2 R' D' F' L2 F R2
U2 R' D' F' R2 L2 F
U2 R' D' F2 L2 R2 F
U2 R' D' F2 L2 F R2
U2 R' D' F2 R2 L2 F
D' R' D2 R2 B' U2 R
U R' D' U L2 R2 F
U R' D' U L2 F R2
U R' D' U R2 L2 F
L' U2 L' D' R2 F L2
L' U2 L' D' F L2 R2
L' U2 L' D' F R2 L2
R' U2 L2 D' R2 F L2
R' U2 L2 D' F L2 R2
R' U2 L2 D' F R2 L2
D' R' F' L2 R' F B'
D' R' F' L2 R' B' F
D' R' F' L2 F R' B'
D' R' F' R' L2 F B'
D' R' F' R' L2 B' F
L2 U2 L2 D' L2 R2 F
L2 U2 L2 D' L2 F R2
L2 U2 L2 D' R2 L2 F
R2 U2 L2 D' R2 F L2
R2 U2 L2 D' F L2 R2
R2 U2 L2 D' F R2 L2
R' U2 R D' L2 R2 F
R' U2 R D' L2 F R2
R' U2 R D' R2 L2 F
R U2 L2 D' R2 F L2
R U2 L2 D' F L2 R2
R U2 L2 D' F R2 L2
L2 U2 R D' R2 F L2
L2 U2 R D' F L2 R2
L2 U2 R D' F R2 L2
R2 U2 R D' L2 R2 F
R2 U2 R D' L2 F R2
R2 U2 R D' R2 L2 F
R' U2 R' D' L2 R2 F
R' U2 R' D' L2 F R2
R' U2 R' D' R2 L2 F
L U2 R D' L2 R2 F'
L U2 R D' R2 L2 F'
L U2 R D' R2 F' L2
R U2 R D' L2 R2 F
R U2 R D' L2 F R2
R U2 R D' R2 L2 F
L2 U2 R' D' R2 F L2
L2 U2 R' D' F L2 R2
L2 U2 R' D' F R2 L2
R2 U2 R' D' L2 R2 F
R2 U2 R' D' L2 F R2
R2 U2 R' D' R2 L2 F
R' U2 R2 D' L2 R2 F
R' U2 R2 D' L2 F R2
R' U2 R2 D' R2 L2 F
L U2 R' D' L2 F' R2
L U2 R' D' F' L2 R2
L U2 R' D' F' R2 L2
U R' F2 B2 R2 U F'
U R' F2 B2 U' B U2
R U2 R' D' L2 R2 F
R U2 R' D' L2 F R2
R U2 R' D' R2 L2 F
L2 U2 R2 D' R2 F L2
L2 U2 R2 D' F L2 R2
L2 U2 R2 D' F R2 L2
D2 R' B' U' F2 B' U'
D2 R' B' U' B' F2 U'
R2 U2 R2 D' L2 R2 F
R2 U2 R2 D' L2 F R2
R2 U2 R2 D' R2 L2 F
R U2 R2 D' L2 R2 F
R U2 R2 D' L2 F R2
R U2 R2 D' R2 L2 F
R' U2 D' L2 R' F R'
R' U2 D' L2 R2 D F
R' U2 D' L2 R2 D' F
R' U2 D' L2 R2 D2 F
R' U2 D' L2 R2 F D
R' U2 D' L2 R2 F D'
R' U2 D' L2 R2 F D2
R' U2 D' L2 F R2 D
R' U2 D' L2 F R2 D'
R' U2 D' L2 F R2 D2
R' U2 D' L2 F' R2 F2
L2 U2 D F D2 L2 R2
L2 U2 D F D2 R2 L2
R' U2 D' R' L2 F R'
R' U2 D' R2 L2 D F
R' U2 D' R2 L2 D' F
R' U2 D' R2 L2 D2 F
R' U2 D' R2 L2 F D
R' U2 D' R2 L2 F D'
R' U2 D' R2 L2 F D2
R' U2 D' R2 F L2 F
R' U2 D' R2 F' L2 F
R' U2 D' R2 F2 L2 F
R' U2 D' F L2 R2 F
R' U2 D' F L2 F R2
R' U2 D' F R2 L2 F
R' U2 D' F' L2 R2 F
R' U2 D' F' L2 F R2
R' U2 D' F' R2 L2 F
R' U2 D' F2 L2 R2 F
R' U2 D' F2 L2 F R2
R' U2 D' F2 R2 L2 F
D R' B2 L2 B U2 L'
F2 R' B2 U' F2 B U2
F2 R' B2 U' B F2 U2
L2 U2 D' R' F L2 R'
L2 U2 D' R' F R' L2
R2 U2 D' L2 R' F R'
R2 U2 D' L2 R2 D F
R2 U2 D' L2 R2 D' F
R2 U2 D' L2 R2 D2 F
R2 U2 D' L2 R2 F D
R2 U2 D' L2 R2 F D'
R2 U2 D' L2 R2 F D2
R2 U2 D' L2 F R2 D
R2 U2 D' L2 F R2 D'
R2 U2 D' L2 F R2 D2
R2 U2 D' L2 F' R2 F2
L2 U2 D' R2 F L2 D
L2 U2 D' R2 F L2 D'
L2 U2 D' R2 F L2 D2
L2 U2 D' R2 F' L2 F2
L2 U2 D' R2 F2 L2 F'
L2 U2 D' F L2 R2 D
L2 U2 D' F L2 R2 D'
L2 U2 D' F L2 R2 D2
L2 U2 D' F R2 L2 D
L2 U2 D' F R2 L2 D'
L2 U2 D' F R2 L2 D2
R2 U2 D' R' L2 F R'
L2 U2 D' F' L2 R2 F2
L2 U2 D' F' L2 F2 R2
L2 U2 D' F' R2 L2 F2
L2 U2 D' F' R2 F2 L2
R2 U2 D' R2 L2 D F
R2 U2 D' R2 L2 D' F
R2 U2 D' R2 L2 D2 F
R2 U2 D' R2 L2 F D
R2 U2 D' R2 L2 F D'
R2 U2 D' R2 L2 F D2
L2 U2 D' F2 L2 F' R2
R2 U2 D' R2 F L2 F
R2 U2 D' R2 F' L2 F
R2 U2 D' R2 F2 L2 F
R2 U2 D' F L2 R2 F
R2 U2 D' F L2 F R2
R2 U2 D' F R2 L2 F
L U2 D' L2 R' F' R'
R2 U2 D' F' L2 R2 F
R2 U2 D' F' L2 F R2
R2 U2 D' F' R2 L2 F
U R' B2 R2 F2 U F
R2 U2 D' F2 L2 R2 F
R2 U2 D' F2 L2 F R2
R2 U2 D' F2 R2 L2 F
R U2 D' L2 R' F R'
R U2 D' L2 R2 D F
R U2 D' L2 R2 D' F
R U2 D' L2 R2 D2 F
R U2 D' L2 R2 F D
R U2 D' L2 R2 F D'
R U2 D' L2 R2 F D2
R U2 D' L2 F R2 D
R U2 D' L2 F R2 D'
R U2 D' L2 F R2 D2
R U2 D' L2 F' R2 F2
L U2 D' R' L2 F' R'
L U2 D' R' F' L2 R'
L U2 D' R' F' R' L2
R U2 D' R' L2 F R'
R U2 D' R2 L2 D F
R U2 D' R2 L2 D' F
R U2 D' R2 L2 D2 F
R U2 D' R2 L2 F D
R U2 D' R2 L2 F D'
R U2 D' R2 L2 F D2
R U2 D' R2 F L2 F
R U2 D' R2 F' L2 F
R U2 D' R2 F2 L2 F
R U2 D' F L2 R2 F
R U2 D' F L2 F R2
R U2 D' F R2 L2 F
D R2 L D L U2 F
R U2 D' F' L2 R2 F
R U2 D' F' L2 F R2
R U2 D' F' R2 L2 F
D R2 L D' L U2 F
R U2 D' F2 L2 R2 F
R U2 D' F2 L2 F R2
R U2 D' F2 R2 L2 F
D R2 L D2 L U2 F
U R' B2 F2 R2 U F'
U R' B2 F2 U' B U2
D R2 L B2 U2 R' F'
L2 U2 F U' F B2 U
L2 U2 F U' B2 F U
D' R2 L2 F R2 B R2
D' R2 L2 F U2 F' U2
D R2 L' B L' U2 F
D R2 L' B' L' U2 F
D' R2 L2 F2 D2 F' B2
D' R2 L2 F2 D2 B2 F'
D R2 L' B2 L' U2 F
D R2 L2 U R U F
D R2 L2 U R' U F
D R2 L2 U R2 U F
U2 R2 L2 D' R2 F L2
U2 R2 L2 D' F L2 R2
U2 R2 L2 D' F R2 L2
D R2 L2 U2 R F R'
D R2 L2 U2 R2 F R2
D R2 L2 U2 D F D
D R2 L2 U2 D F D'
D R2 L2 U2 D F D2
D R2 L2 U2 D' F D
D R2 L2 U2 D' F D'
D R2 L2 U2 D' F D2
D R2 L2 U2 D2 F D
D R2 L2 U2 D2 F D'
D R2 L2 U2 D2 F D2
D R2 L2 U2 F2 D F'
D R2 L2 U2 F2 D' F'
D R2 L2 U2 F2 D2 F'
D R2 L2 D U2 F D
D R2 L2 D U2 F D'
D R2 L2 D U2 F D2
D R2 L2 D B U2 F
D R2 L2 D B' U2 F
D R2 L2 D B2 U2 F
D R2 L2 D' U2 F D
D R2 L2 D' U2 F D'
D R2 L2 D' U2 F D2
D R2 L2 D' B U2 F
D R2 L2 D' B' U2 F
D R2 L2 D' B2 U2 F
D R2 L2 D2 U2 F D
D R2 L2 D2 U2 F D'
D R2 L2 D2 U2 F D2
D R2 L2 D2 B U2 F
D R2 L2 D2 B' U2 F
D R2 L2 D2 B2 U2 F
D R2 L2 B U2 D F
D R2 L2 B U2 D' F
D R2 L2 B U2 D2 F
D R2 L2 B U2 F D
D R2 L2 B U2 F D'
D R2 L2 B U2 F D2
D R2 L2 B D U2 F
D R2 L2 B D' U2 F
D R2 L2 B D2 U2 F
B' R2 U D' B' U L2
D R2 L2 B' U2 D F
D R2 L2 B' U2 D' F
D R2 L2 B' U2 D2 F
D R2 L2 B' U2 F D
D R2 L2 B' U2 F D'
D R2 L2 B' U2 F D2
D R2 L2 B' D U2 F
D R2 L2 B' D' U2 F
D R2 L2 B' D2 U2 F
D R2 L2 B2 U2 D F
D R2 L2 B2 U2 D' F
D R2 L2 B2 U2 D2 F
D R2 L2 B2 U2 F D
D R2 L2 B2 U2 F D'
D R2 L2 B2 U2 F D2
D R2 L2 B2 D U2 F
D R2 L2 B2 D' U2 F
D R2 L2 B2 D2 U2 F
B' R2 U F2 D B' U
B' R2 U F2 D' B' U
B' R2 U F2 D2 B' U
B' R2 U F2 B' U D
B' R2 U F2 B' U D'
B' R2 U F2 B' U D2
B' R2 U F2 B' D U
B' R2 U F2 B' D' U
B' R2 U F2 B' D2 U
B' R2 U B' U D' L2
B' R2 U B' D' U L2
B' R2 U B' F2 U D
B' R2 U B' F2 U D'
B' R2 U B' F2 U D2
B' R2 U B' F2 D U
B' R2 U B' F2 D' U
B' R2 U B' F2 D2 U
U R2 U D' L2 R2 F
U R2 U D' L2 F R2
U R2 U D' R2 L2 F
L2 U2 F2 B2 U F' B2
L2 U2 F2 B2 U B2 F'
D' R2 U2 L2 D2 R2 F
D' R2 U2 L2 D2 F R2
D' R2 U2 L2 F D2 R2
D2 R2 U2 D L2 R2 F
D2 R2 U2 D L2 F R2
D2 R2 U2 D R2 L2 F
D' R2 U2 B' U2 L2 B
D' R2 U2 B' U2 B L2
D2 R2 D L2 F R2 B
B' R2 D R2 U B' U
D2 R2 D U2 L2 R2 F
D2 R2 D U2 L2 F R2
D2 R2 D U2 R2 L2 F
D2 R2 D B' U2 L2 R2
D2 R2 D B' U2 R2 L2
D2 R2 D' L2 R2 U2 F
D2 R2 D' R2 L2 U2 F
D2 R2 D' R2 B' L2 U2
F2 R2 D' L2 U R2 F
F2 R2 D' L2 U F R2
B' R2 D' U B' U L2
U2 R2 D' L2 R' F R'
U2 R2 D' L2 R2 D F
U2 R2 D' L2 R2 D' F
U2 R2 D' L2 R2 D2 F
U2 R2 D' L2 R2 F D
U2 R2 D' L2 R2 F D'
U2 R2 D' L2 R2 F D2
U2 R2 D' L2 F R2 D
U2 R2 D' L2 F R2 D'
U2 R2 D' L2 F R2 D2
U2 R2 D' L2 F' R2 F2
D R2 D B' U' F2 U'
D R2 D B' U2 D R2
D R2 D B' D U2 R2
D R2 D B' D' L2 U2
U2 R2 D' R' L2 F R'
U2 R2 D' R2 L2 D F
U2 R2 D' R2 L2 D' F
U2 R2 D' R2 L2 D2 F
U2 R2 D' R2 L2 F D
U2 R2 D' R2 L2 F D'
U2 R2 D' R2 L2 F D2
U2 R2 D' R2 F L2 F
U2 R2 D' R2 F' L2 F
D2 R2 D' B' L2 R2 U2
U2 R2 D' R2 F2 L2 F
D2 R2 D' B' R2 L2 U2
L2 U2 B2 F2 U F' B2
L2 U2 B2 F2 U B2 F'
U2 R2 D' F L2 R2 F
U2 R2 D' F L2 F R2
U2 R2 D' F R2 L2 F
U2 R2 D' F' L2 R2 F
U2 R2 D' F' L2 F R2
U2 R2 D' F' R2 L2 F
U2 R2 D' F2 L2 R2 F
U2 R2 D' F2 L2 F R2
U2 R2 D' F2 R2 L2 F
D' R2 D2 R2 B' U2 R2
U R2 D' U L2 R2 F
U R2 D' U L2 F R2
U R2 D' U R2 L2 F
D R2 D' B' U B' U
D' R2 D2 B' R2 U2 R2
D R2 D2 L2 U2 R2 F
D R2 D2 L2 U2 F R2
D' R2 F L2 F D2 B2
R' D L2 R2 U2 D F
R' D L2 R2 U2 D' F
R' D L2 R2 U2 D2 F
R' D L2 R2 U2 F D
R' D L2 R2 U2 F D'
R' D L2 R2 U2 F D2
R' D L2 R2 D U2 F
R' D L2 R2 D' U2 F
R' D L2 R2 D2 U2 F
R' D L2 R2 B U2 F
R' D L2 R2 B' U2 F
R' D L2 R2 B2 U2 F
D R2 D2 B' L U2 R2
D R2 D2 B' L' U2 R2
D R2 D2 B' L2 U2 R2
R' D L2 U2 D2 F L2
R' D L2 U2 F D2 L2
D R2 D2 B' U2 R2 D
D R2 D2 B' U2 R2 D'
D R2 D2 B' U2 R2 D2
D R2 D2 B' D2 L2 U2
D R2 D2 B2 U2 R2 F'
L D L' R2 B' L' U2
R' D L2 D2 U2 F L2
D R2 F L2 F' U2 F2
L2 D L2 R B' R U2
D' R2 F' L2 D F B'
D' R2 F' L2 D B' F
D' R2 F' L2 D' F B'
D' R2 F' L2 D' B' F
R' D L2 B R2 U2 F
D' R2 F' L2 D2 F B'
D' R2 F' L2 D2 B' F
D' R2 F' L2 F D B'
D' R2 F' L2 F D' B'
D' R2 F' L2 F D2 B'
D' R2 F' L2 F B' D
D' R2 F' L2 F B' D'
D' R2 F' L2 F B' D2
D' R2 F' L2 B' D F
D' R2 F' L2 B' D' F
D' R2 F' L2 B' D2 F
D' R2 F' L2 B' F D
D' R2 F' L2 B' F D'
D' R2 F' L2 B' F D2
L2 D L2 R2 D B' U2
L2 D L2 R2 D' B' U2
L2 D L2 R2 D2 B' U2
R' D L2 B' R2 U2 F
L2 D L2 R2 B' U2 D
L2 D L2 R2 B' U2 D'
L2 D L2 R2 B' U2 D2
L2 D L2 R2 B' D U2
L2 D L2 R2 B' D' U2
L2 D L2 R2 B' D2 U2
R' D L2 B2 R2 U2 F
R2 D L2 R2 U2 D F
R2 D L2 R2 U2 D' F
R2 D L2 R2 U2 D2 F
R2 D L2 R2 U2 F D
R2 D L2 R2 U2 F D'
R2 D L2 R2 U2 F D2
R2 D L2 R2 D U2 F
R2 D L2 R2 D' U2 F
R2 D L2 R2 D2 U2 F
R2 D L2 R2 B U2 F
R2 D L2 R2 B' U2 F
R2 D L2 R2 B2 U2 F
L2 D L2 U2 D2 L2 F
R2 D L2 U2 D2 F L2
R2 D L2 U2 F D2 L2
L D L' B' L' R2 U2
L D L' B' R2 L' U2
L2 D L2 D2 U2 L2 F
L2 D L2 D2 B' U2 L2
D R2 F B' L2 F' U2
R2 D L2 D2 U2 F L2
L2 D L2 B R2 B2 U2
R D L2 R2 U2 D F
R D L2 R2 U2 D' F
R D L2 R2 U2 D2 F
R D L2 R2 U2 F D
R D L2 R2 U2 F D'
R D L2 R2 U2 F D2
R D L2 R2 D U2 F
R D L2 R2 D' U2 F
R D L2 R2 D2 U2 F
L2 D L2 B' R2 U2 D
L2 D L2 B' R2 U2 D'
L2 D L2 B' R2 U2 D2
L2 D L2 B' R2 D U2
L2 D L2 B' R2 D' U2
L2 D L2 B' R2 D2 U2
R D L2 R2 B U2 F
R D L2 R2 B' U2 F
R D L2 R2 B2 U2 F
L2 D L2 B' U2 D2 L2
L2 D L2 B' D2 U2 L2
D R2 F' L2 U2 F B'
D R2 F' L2 U2 B' F
L2 D L2 B2 R2 U2 F'
R2 D L2 B R2 U2 F
R2 D L2 B' R2 U2 F
D' R2 F2 L2 D2 F B2
D' R2 F2 L2 D2 B2 F
R D L2 U2 D2 F L2
R D L2 U2 F D2 L2
R2 D L2 B2 R2 U2 F
R' D R B' L2 R U2
R' D R B' R L2 U2
L2 D R L2 B' R U2
R D L2 D2 U2 F L2
R D L2 B R2 U2 F
R D L2 B' R2 U2 F
D R2 F' B' L2 U2 B'
B2 R2 F2 U D2 F B2
B2 R2 F2 U D2 B2 F
R D L2 B2 R2 U2 F
B2 R2 F2 U' F2 U2 F'
D R2 F2 L2 F2 U2 F'
B2 R2 F2 D2 U F B2
B2 R2 F2 D2 U B2 F
R2 D R B' L2 R U2
R2 D R B' R L2 U2
R' D R2 L2 U2 D F
R' D R2 L2 U2 D' F
R' D R2 L2 U2 D2 F
R' D R2 L2 U2 F D
R' D R2 L2 U2 F D'
R' D R2 L2 U2 F D2
R' D R2 L2 D U2 F
R' D R2 L2 D' U2 F
R' D R2 L2 D2 U2 F
R' D R2 L2 B U2 F
R' D R2 L2 B' U2 F
R' D R2 L2 B2 U2 F
R D R B' L2 R U2
R D R B' R L2 U2
D R2 F2 B' L2 F2 U2
R' D R2 D2 B' U2 R2
D R2 B L B2 U2 R'
D R2 B L' B2 L' U2
D R2 B L2 U2 D2 F2
D R2 B L2 D2 U2 F2
D R2 B L2 B2 U2 D
D R2 B L2 B2 U2 D'
D R2 B L2 B2 U2 D2
D R2 B L2 B2 D U2
D R2 B L2 B2 D' U2
D R2 B L2 B2 D2 U2
R' D R2 B L2 B2 U2
R' D R2 B' L2 U2 D
R' D R2 B' L2 U2 D'
R' D R2 B' L2 U2 D2
R' D R2 B' L2 D U2
R' D R2 B' L2 D' U2
R' D R2 B' L2 D2 U2
D' R2 B' R U2 L2 R'
D' R2 B' R U2 R' L2
R' D R2 B' U2 D2 R2
L2 D R2 L2 D B' U2
L2 D R2 L2 D' B' U2
L2 D R2 L2 D2 B' U2
R' D R2 B' D2 U2 R2
U R2 F2 B2 R2 U F'
U R2 F2 B2 U' B U2
L2 D R2 L2 B' U2 D
L2 D R2 L2 B' U2 D'
L2 D R2 L2 B' U2 D2
L2 D R2 L2 B' D U2
L2 D R2 L2 B' D' U2
L2 D R2 L2 B' D2 U2
D' R2 B' R' U2 L2 R
D' R2 B' R' U2 R L2
R' D R2 B2 L2 B U2
D' R2 B' R2 U2 L2 R2
D' R2 B' R2 U2 R2 L2
R2 D R2 L2 U2 D F
R2 D R2 L2 U2 D' F
R2 D R2 L2 U2 D2 F
R2 D R2 L2 U2 F D
R2 D R2 L2 U2 F D'
R2 D R2 L2 U2 F D2
R2 D R2 L2 D U2 F
R2 D R2 L2 D' U2 F
R2 D R2 L2 D2 U2 F
R2 D R2 L2 B U2 F
R2 D R2 L2 B' U2 F
R2 D R2 L2 B2 U2 F
D R2 B U2 D2 R2 F2
D R2 B U2 D2 F2 R2
L2 D R2 U2 D2 R2 F
L2 D R2 U2 D2 F R2
L2 D R2 U2 F D2 R2
D2 R2 B' U' F2 B' U'
D' R2 B' U2 L2 D2 R2
D2 R2 B' U' B' F2 U'
D R2 B D2 U2 R2 F2
D R2 B D2 U2 F2 R2
L2 D R2 D2 U2 R2 F
L2 D R2 D2 U2 F R2
D' R2 B' D2 R2 U2 R2
R2 D R2 D2 B' U2 R2
L D R2 L' B' L' U2
D R2 B' L D L U2
D R2 B' L D' L U2
D R2 B' L D2 L U2
L2 D R2 B L2 B' U2
D R2 B' L' D L' U2
D R2 B' L' D' L' U2
D R2 B' L' D2 L' U2
R D R2 L2 U2 D F
R D R2 L2 U2 D' F
R D R2 L2 U2 D2 F
R D R2 L2 U2 F D
R D R2 L2 U2 F D'
R D R2 L2 U2 F D2
R D R2 L2 D U2 F
R D R2 L2 D' U2 F
L2 D R2 B' L2 B' U2
R D R2 L2 D2 U2 F
R D R2 L2 B U2 F
R D R2 L2 B' U2 F
R D R2 L2 B2 U2 F
R2 D R2 B L2 B2 U2
L2 D R2 B2 L2 B' U2
R2 D R2 B' L2 U2 D
R2 D R2 B' L2 U2 D'
R2 D R2 B' L2 U2 D2
R2 D R2 B' L2 D U2
R2 D R2 B' L2 D' U2
R2 D R2 B' L2 D2 U2
R2 D R2 B' U2 D2 R2
R2 D R2 B' D2 U2 R2
R2 D R2 B2 L2 B U2
D R2 B' U D' B2 U
D R2 B' U' D F2 U'
D R2 B' U2 R D2 R2
D R2 B' U2 R' D2 R2
D R2 B' U2 R2 D2 R2
R D R2 D2 B' U2 R2
D R2 B' U2 D2 R2 D
D R2 B' U2 D2 R2 D'
D R2 B' U2 D2 R2 D2
D R2 B' D U' F2 U'
D R2 B' D' U B2 U
D R2 B' D2 L U2 R2
D R2 B' D2 L' U2 R2
D R2 B' D2 L2 U2 R2
D R2 B' D2 U2 R2 D
D R2 B' D2 U2 R2 D'
D R2 B' D2 U2 R2 D2
R D R2 B L2 B2 U2
D R2 B' F L2 F' U2
R D R2 B' L2 U2 D
R D R2 B' L2 U2 D'
R D R2 B' L2 U2 D2
R D R2 B' L2 D U2
R D R2 B' L2 D' U2
R D R2 B' L2 D2 U2
D R2 B' F' L2 U2 B'
R D R2 B' U2 D2 R2
