U R U F' B2
U R U B2 F'
U' R U' F' B2
U' R U' B2 F'
U2 R F' R' B2
R U2 F' B2 L
R U2 B2 L F'
R U2 B2 F' L
U2 B2 R F' R'
F' R U2 B2 L D F'
F' R U2 B2 L D' F'
F' R U2 B2 L D2 F'
F' R U2 B2 L F' D
F' R U2 B2 L F' D'
F' R U2 B2 L F' D2
F' R U2 B2 L' F' L2
B' R U2 B2 L F' B
B' R U2 B2 L B F'
F2 R U2 F' B2 L D
F2 R U2 F' B2 L D'
F2 R U2 F' B2 L D2
F2 R U2 F' B2 D L
F' R U2 B2 D L F'
F2 R U2 F' B2 D' L
F2 R U2 F' B2 D2 L
F' R U2 B2 D F' L
F' R U2 B2 D' L F'
F' R U2 B2 D' F' L
F' R U2 B2 D2 L F'
F' R U2 B2 D2 F' L
F' R U2 B2 F L F2
F' R U2 B2 F' L D
F' R U2 B2 F' L D'
F' R U2 B2 F' L D2
F' R U2 B2 F' D L
F' R U2 B2 F' D' L
F' R U2 B2 F' D2 L
B' R U2 B2 F' L B
F2 R U2 B2 L D F'
F2 R U2 B2 L D' F'
F2 R U2 B2 L D2 F'
F2 R U2 B2 L F' D
F2 R U2 B2 L F' D'
F2 R U2 B2 L F' D2
F2 R U2 B2 L' F' L2
F2 R U2 B2 D L F'
F2 R U2 B2 D F' L
F2 R U2 B2 D' L F'
F2 R U2 B2 D' F' L
F2 R U2 B2 D2 L F'
F2 R U2 B2 D2 F' L
F2 R U2 B2 F L F2
F2 R U2 B2 F' L D
F2 R U2 B2 F' L D'
F2 R U2 B2 F' L D2
F2 R U2 B2 F' D L
F2 R U2 B2 F' D' L
F2 R U2 B2 F' D2 L
F R U2 F B2 L F2
F R U2 F' L B2 L
F R U2 F' L' B2 L
F R U2 F' L2 B2 L
F R U2 F' B2 L D
F R U2 F' B2 L D'
F R U2 F' B2 L D2
F R U2 F' B2 D L
F R U2 F' B2 D' L
F R U2 F' B2 D2 L
U' R D U' F' D' B2
U' R D U2 L2 U F'
F R U2 B2 L D F'
F R U2 B2 L D' F'
F R U2 B2 L D2 F'
F R U2 B2 L F' D
F R U2 B2 L F' D'
F R U2 B2 L F' D2
F R U2 B2 L' F' L2
F R U2 B2 D L F'
F R U2 B2 D F' L
F R U2 B2 D' L F'
F R U2 B2 D' F' L
F R U2 B2 D2 L F'
F R U2 B2 D2 F' L
F R U2 B2 F L F2
F R U2 B2 F' L D
F R U2 B2 F' L D'
F R U2 B2 F' L D2
F R U2 B2 F' D L
F R U2 B2 F' D' L
F R U2 B2 F' D2 L
U R D L2 U D F'
U R D L2 U D' F'
U R D L2 U D2 F'
U R D L2 U F' D
U R D L2 U F' D'
U R D L2 U F' D2
U R D L2 D U F'
U R D L2 D' U F'
U2 R D F' R' D' B2
U R D L2 D2 U F'
U2 R D F' D' R' B2
U R D U F' D' B2
R U B2 L D' F' R2
R U B2 L F' D' R2
U' R D' R2 U B U2
U' R D' U' F' D B2
D R D' R' B U2 B
U2 R D' F' D R' B2
R U B2 D' L F' R2
R U B2 D' F' L R2
R U B2 D' F' R2 L
R U B2 F' L D' R2
D2 R D2 R' B U2 B
R U B2 F' D' L R2
R U B2 F' D' R2 L
U R D' U F' D B2
U' R D2 U F2 U2 F
R U' L U' F' B2 L
R U' L U' B2 L F'
R U' L U' B2 F' L
F' R D2 F2 R' U2 F
U2 R D2 F' R2 B R
F2 R D2 F2 R' U2 F
B' R F R' U2 F2 B'
B' R F R' U2 B' F2
U R D2 U' F2 U2 F
F' R F R' U2 F2 B2
F' R F R' U2 B2 F2
F R D2 F2 R' U2 F
U2 R F R F2 R2 B2
U2 R F R F2 B2 R2
U2 R F R B2 R2 F2
U2 R F R B2 F2 R2
F2 R F R' U2 F2 B2
F2 R F R' U2 B2 F2
U2 R F R' F2 B2 D
U2 R F R' F2 B2 D'
U2 R F R' F2 B2 D2
R U' L' U' F' B2 L
U2 R F R' B2 F2 D
U2 R F R' B2 F2 D'
U2 R F R' B2 F2 D2
R U' L' U' B2 L F'
R U' L' U' B2 F' L
F' R F U2 F2 B2 L
F' R F U2 B2 L F2
F' R F U2 B2 F2 L
U2 R F R2 B2 R F2
B R F R' U2 F2 B
B R F R' U2 B F2
F2 R F U2 F2 B2 L
F2 R F U2 B2 L F2
F2 R F U2 B2 F2 L
F R F R' U2 F2 B2
F R F R' U2 B2 F2
F' R F B2 L F2 R
F' R F' L' B2 L R'
F' R F' L' B2 R' L
F2 R F B2 L F2 R
U2 R F' L R' B2 L'
F R F U2 F2 B2 L
F R F U2 B2 L F2
F R F U2 B2 F2 L
F2 R F' L' B2 L R'
F2 R F' L' B2 R' L
U2 R F' L2 R' B2 L2
U2 R F' R B' R2 B'
U2 R F' R B2 R2 D
U2 R F' R B2 R2 D'
U2 R F' R B2 R2 D2
U2 R F' R' L B2 L'
U2 R F' R' L2 B2 L2
R U' L2 U' F' B2 L
R U' L2 U' B2 L F'
R U' L2 U' B2 F' L
U2 R F' R' B D B
U2 R F' R' B D' B
U2 R F' R' B D2 B
U2 R F' R' B' D B'
U2 R F' R' B' D' B'
U2 R F' R' B' D2 B'
F R F B2 L F2 R
U2 R F' R2 B' R B'
U2 R F' R2 B2 R D
U2 R F' R2 B2 R D'
U2 R F' R2 B2 R D2
U2 R F' R2 B2 D R
U2 R F' R2 B2 D' R
U2 R F' R2 B2 D2 R
B2 R F' U2 R' U2 R
L' U' R U' F' B2 R'
L' U' R U' B2 F' R'
F R F' L' B2 L R'
F R F' L' B2 R' L
U2 R F' D R' D' B2
U2 R F' D2 R' D2 B2
B' R F2 R' U2 F B'
B' R F2 R' U2 B' F
U2 R F' B2 U2 L U2
F' R F2 R' U2 F B2
F' R F2 R' U2 B2 F
U2 R F2 R F R2 B2
U2 R F2 R F B2 R2
U2 R F2 R B2 R2 F
F2 R F2 R' U2 F B2
F2 R F2 R' U2 B2 F
U2 R F2 R B2 F R2
U2 R F2 R' F B2 D
U2 R F2 R' F B2 D'
U2 R F2 R' F B2 D2
F' R F2 U2 F B2 L
U2 R F2 R' B2 D F
U2 R F2 R' B2 D' F
U2 R F2 R' B2 D2 F
U2 R F2 R' B2 F D
U2 R F2 R' B2 F D'
U2 R F2 R' B2 F D2
F' R F2 U2 B2 F L
D2 R F2 D2 R' B U2
U2 R F2 R2 B2 R F
B R F2 R' U2 F B
B R F2 R' U2 B F
F2 R F2 U2 F B2 L
F2 R F2 U2 B2 F L
F R F2 R' U2 F B2
F R F2 R' U2 B2 F
R2 U' R' U' B2 L F
F R F2 U2 F B2 L
F R F2 U2 B2 F L
B' R B U2 F' L' B2
B' R B U2 F' B2 L'
B' R B U2 B2 F' L'
R' U' R2 U' F' B2 L
R' U' R2 U' B2 L F'
R' U' R2 U' B2 F' L
F' R B U2 F' L' B
F' R B U2 F' B L'
F' R B U2 B F' L'
B2 R B U2 F' B' L'
B2 R B U2 B' F' L'
F2 R B U2 F' L' B
F2 R B U2 F' B L'
F2 R B U2 B F' L'
F R B U2 F' L' B
F R B U2 F' B L'
F R B U2 B F' L'
F' R B' U2 F' B' L
F' R B' U2 B' L F'
F' R B' U2 B' F' L
F2 R B' U2 F' B' L
F2 R B' U2 B' L F'
F2 R B' U2 B' F' L
F' R B2 L F2 R F
U2 R B' D2 F' R B'
U2 R B' D2 F' B' R
U2 R B' D2 B' F' R
F2 R B2 L F2 R F
F R B' U2 F' B' L
F R B' U2 B' L F'
F R B' U2 B' F' L
B' R B2 U2 L F' B
B' R B2 U2 L B F'
B' R B2 U2 F' L B
B2 R B2 U2 L F' B2
B2 R B2 U2 L B2 F'
B2 R B2 U2 F' L B2
F R B2 L F2 R F
U2 R B2 U2 L U2 F'
F' R B2 F L F2 R
U' R' L U B U2 B
F2 R B2 F L F2 R
U2 R B2 F' U2 L U2
U' R' L D' R2 U' F'
F R B2 F L F2 R
U' R' L' U B U2 B
U R' L U' B U2 B
U' R' L' D' R2 U' F'
U' R' L2 U B U2 B
U R' L' U' B U2 B
U' R' L2 D' R2 U' F'
U R' L2 U' B U2 B
U2 R' L2 B2 L2 R F
U2 R' L2 B2 R L2 F
U' R' U D2 F2 B U2
U' R' U D2 B F2 U2
U' R' U F B U2 B
U' R' U F' B U2 B
U' R' U F2 B U2 B
U' R' U B U2 D B
U' R' U B U2 D' B
U' R' U B U2 D2 B
U' R' U B U2 B D
U' R' U B U2 B D'
U' R' U B U2 B D2
U' R' U B D U2 B
U' R' U B D' U2 B
U' R' U B D2 U2 B
U' R' U B F U2 B
U' R' U B F' U2 B
U' R' U B F2 U2 B
U R' U L2 B2 L2 F
U' R' U' L2 B2 L2 F
U R' U R2 F' R2 B2
U R' U R2 F' B2 R2
U R' U R2 B2 F' R2
U' R' U' R2 F' R2 B2
U' R' U' R2 F' B2 R2
U' R' U' R2 B2 F' R2
L U' F2 U' R F' B2
L U' F2 U' R B2 F'
L U' F2 U' B2 R F'
U R' U B' D2 F2 B'
U R' U B' D2 B' F2
U R' U B2 L2 F L2
U R' U B2 U2 B' U2
U' R' U' B' D2 F2 B'
U' R' U' B' D2 B' F2
U' R' U' B2 L2 F L2
U' R' U' B2 U2 B' U2
U' R' U2 R2 U F' B2
U' R' U2 R2 U B2 F'
U R' U' D2 F2 B U2
U R' U' D2 B F2 U2
U R' U' F B U2 B
U R' U' F' B U2 B
U R' U' F2 B U2 B
U R' U' B U2 D B
U R' U' B U2 D' B
U R' U' B U2 D2 B
U R' U' B U2 B D
U R' U' B U2 B D'
U R' U' B U2 B D2
U R' U' B D U2 B
U R' U' B D' U2 B
U R' U' B D2 U2 B
U R' U' B F U2 B
U R' U' B F' U2 B
U R' U' B F2 U2 B
B' R' U2 B' D2 F2 L'
B2 R' U2 B R U2 R'
U2 R' U2 B U2 B R
U R' U2 R2 U' F' B2
U R' U2 R2 U' B2 F'
U R' U2 D' R2 U' F'
B' R' D B R U2 B2
R U' B' U' F' B' L
R U' B' U' B' L F'
R U' B' U' B' F' L
U' R' D' L R2 U' F'
B2 R' D B R U2 B'
U R' D L2 R2 U F'
U R' D L2 U' B U2
U' R' D' L' R2 U' F'
U' R' D' L2 R2 U' F'
U R' D R2 L2 U F'
D R' D F2 U2 L' F
U' R' D' R2 L U' F'
U' R' D' R2 L' U' F'
U' R' D' R2 L2 U' F'
U' R' D' R2 U' D F'
U' R' D' R2 U' D' F'
U' R' D' R2 U' D2 F'
U' R' D' R2 U' F' D
U' R' D' R2 U' F' D'
U' R' D' R2 U' F' D2
U' R' D' R2 D U' F'
U' R' D' R2 D' U' F'
U' R' D' R2 D2 U' F'
B R' D B R U2 B
D R' D' R U2 F' B2
D R' D' R U2 B2 F'
B' R' D' B R U2 B2
B2 R' D' B R U2 B'
D2 R' D2 R U2 F' B2
D2 R' D2 R U2 B2 F'
B R' D' B R U2 B
U' R' D2 U F2 B U2
U R' D' U2 R2 U' F'
U' R' D2 U B F2 U2
R2 U2 L D2 F L2 B'
R2 U2 L F B2 D2 L2
F' R' D2 F2 B U2 L'
B' R' D2 B R U2 B2
F' R' D2 B R F2 U2
F' R' D2 B F2 U2 L'
R2 U2 L B2 D2 F L2
R2 U2 L B2 F D2 L2
B2 R' D2 B R U2 B'
R U2 L F B2 L F2
R U2 L F' L B2 L
R U2 L F' L' B2 L
R U2 L F' L2 B2 L
F2 R' D2 F2 B U2 L'
F2 R' D2 B R F2 U2
R U2 L F' B2 L D
R U2 L F' B2 L D'
R U2 L F' B2 L D2
R U2 L F' B2 D L
R U2 L F' B2 D' L
R U2 L F' B2 D2 L
F2 R' D2 B F2 U2 L'
R U2 L B2 L D F'
R U2 L B2 L D' F'
R U2 L B2 L D2 F'
R U2 L B2 L F' D
R U2 L B2 L F' D'
R U2 L B2 L F' D2
R U2 L B2 L' F' L2
B R' D2 B R U2 B
R U2 L B2 D L F'
R U2 L B2 D F' L
R U2 L B2 D' L F'
R U2 L B2 D' F' L
R U2 L B2 D2 L F'
R U2 L B2 D2 F' L
R U2 L B2 F L F2
R U2 L B2 F' L D
R U2 L B2 F' L D'
R U2 L B2 F' L D2
R U2 L B2 F' D L
R U2 L B2 F' D' L
R U2 L B2 F' D2 L
U R' D2 U' F2 B U2
U R' D2 U' B F2 U2
F R' D2 F2 B U2 L'
F R' D2 B R F2 U2
F R' D2 B F2 U2 L'
U2 R' F R2 F' R B2
U2 R' F R2 F' B2 R
U2 R' F R2 B2 F' R
R U2 L' F B2 L F2
R U2 L' F' L B2 L
R U2 L' F' L' B2 L
R U2 L' F' L2 B2 L
R U2 L' F' B2 L D
R U2 L' F' B2 L D'
R U2 L' F' B2 L D2
R U2 L' F' B2 D L
R U2 L' F' B2 D' L
R U2 L' F' B2 D2 L
R U2 L' B2 L D F'
R U2 L' B2 L D' F'
R U2 L' B2 L D2 F'
R U2 L' B2 L F' D
R U2 L' B2 L F' D'
R U2 L' B2 L F' D2
R U2 L' B2 L' F' L2
R U2 L' B2 D L F'
R U2 L' B2 D F' L
R U2 L' B2 D' L F'
R U2 L' B2 D' F' L
R U2 L' B2 D2 L F'
R U2 L' B2 D2 F' L
R U2 L' B2 F L F2
R U2 L' B2 F' L D
R U2 L' B2 F' L D'
R U2 L' B2 F' L D2
R U2 L' B2 F' D L
R U2 L' B2 F' D' L
R U2 L' B2 F' D2 L
F' R' F' B U2 B L
R U2 L2 F B2 L F2
D2 R' F2 R U2 L' F
R U2 L2 F' L B2 L
R U2 L2 F' L' B2 L
R U2 L2 F' L2 B2 L
L' U2 R F B2 R' F2
L' U2 R F' R B2 R'
L' U2 R F' R' B2 R'
L' U2 R F' R2 B2 R'
R U2 L2 F' B2 L D
R U2 L2 F' B2 L D'
R U2 L2 F' B2 L D2
R U2 L2 F' B2 D L
R U2 L2 F' B2 D' L
R U2 L2 F' B2 D2 L
D2 R' F2 R' U2 L' F
F2 R' F' B U2 B L
L' U2 R F' B2 R' D
L' U2 R F' B2 R' D'
L' U2 R F' B2 R' D2
L' U2 R F' B2 D R'
L' U2 R F' B2 D' R'
L' U2 R F' B2 D2 R'
D2 R' F2 R2 U2 L' F
L' U2 R F2 B2 R' F
R U2 L2 B2 L D F'
R U2 L2 B2 L D' F'
R U2 L2 B2 L D2 F'
R U2 L2 B2 L F' D
R U2 L2 B2 L F' D'
R U2 L2 B2 L F' D2
R U2 L2 B2 L' F' L2
L2 U2 R D2 F' R2 B
R U2 L2 B2 D L F'
R U2 L2 B2 D F' L
R U2 L2 B2 D' L F'
R U2 L2 B2 D' F' L
D2 R' F2 U2 L' D F
R U2 L2 B2 D2 L F'
D2 R' F2 U2 L' D' F
D2 R' F2 U2 L' D2 F
D2 R' F2 U2 L' F D
D2 R' F2 U2 L' F D'
D2 R' F2 U2 L' F D2
R U2 L2 B2 D2 F' L
R U2 L2 B2 F L F2
R U2 L2 B2 F' L D
R U2 L2 B2 F' L D'
R U2 L2 B2 F' L D2
R U2 L2 B2 F' D L
R U2 L2 B2 F' D' L
R U2 L2 B2 F' D2 L
L' U2 R B2 D F' R'
L' U2 R B2 D' F' R'
L' U2 R B2 D2 F' R'
L' U2 R B2 F R' F2
L' U2 R B2 F' R' D
L' U2 R B2 F' R' D'
L' U2 R B2 F' R' D2
L' U2 R B2 F' D R'
L' U2 R B2 F' D' R'
L' U2 R B2 F' D2 R'
L' U2 R B2 F2 R' F
L2 U2 R F' B2 D2 R2
D2 R' F2 B U2 L' F
F R' F' B U2 B L
D2 R' F2 B' U2 L' F
F' R' F2 B U2 L' B
L2 U2 R B2 D2 F' R2
F' R' F2 B U2 B L'
L2 U2 R B2 F' D2 R2
D2 R' F2 B2 U2 L' F
B' R' F2 B U2 L' B2
B' R' F2 B U2 B2 L'
B2 R' F2 B U2 B' L'
L U2 R F2 R F B2
L U2 R F2 R B2 F
L U2 R F2 B2 R F
F2 R' F2 B U2 L' B
F2 R' F2 B U2 B L'
B' R' B R U2 B2 D
B' R' B R U2 B2 D'
B' R' B R U2 B2 D2
B' R' B R D2 F2 U2
B' R' B R F U2 B2
B' R' B R F' U2 B2
B' R' B R F2 U2 B2
B' R' B R2 U2 B2 L
L U2 R B2 F2 R F
F' R' B R2 F' R' U2
B2 R' B R U2 D B'
B2 R' B R U2 D' B'
B2 R' B R U2 D2 B'
B2 R' B R U2 B' D
B2 R' B R U2 B' D'
B2 R' B R U2 B' D2
B2 R' B R D U2 B'
B2 R' B R D' U2 B'
B2 R' B R D2 U2 B'
B2 R' B R F U2 B'
B R' F2 B U2 L' B'
B2 R' B R F' U2 B'
B2 R' B R F2 U2 B'
F2 R' B R2 F' R' U2
F R' F2 B U2 L' B
F R' F2 B U2 B L'
B' R' B D2 R F2 U2
B' R' B D2 F2 U2 L'
R U2 R' U2 R F' B2
R U2 R' U2 R B2 F'
B R' B R U2 D B
B R' B R U2 D' B
B R' B R U2 D2 B
B R' B R U2 B D
B R' B R U2 B D'
B R' B R U2 B D2
B R' B R D U2 B
B R' B R D' U2 B
D2 R' B F2 U2 L' F
B R' B R D2 U2 B
R U2 R' U2 B2 R F'
B R' B R F U2 B
B2 R' B D R U2 B'
B R' B R F' U2 B
B R' B R F2 U2 B
F' R' B F' U2 B L
B R' B R' F' R2 U2
B2 R' B D' R U2 B'
R' U2 R2 F' B2 L R2
R' U2 R2 F' B2 R2 L
F' R' B F2 U2 L' B
F' R' B F2 U2 B L'
B' R' B F2 U2 L' B2
B' R' B F2 U2 B2 L'
R2 U2 R' B2 L R F
B2 R' B D2 R U2 B'
R2 U2 R' B2 R L F
L' U2 R2 F B2 R' F'
R' U2 R2 B2 L F' R2
B2 R' B F2 U2 B' L'
F2 R' B F' U2 B L
L' U2 R2 F' B2 R' F'
R' U2 R2 B2 F' L R2
R' U2 R2 B2 F' R2 L
B R' B D R U2 B
F' R' B' R B2 U2 B
F2 R' B F2 U2 L' B
F2 R' B F2 U2 B L'
B' R' B' R B2 U2 B2
F R' B R2 F' R' U2
L' U2 R2 F2 B2 R' F'
B R' B D' R U2 B
B R' B D2 R U2 B
L' U2 R2 B2 R' D F'
L' U2 R2 B2 R' D' F'
L' U2 R2 B2 R' D2 F'
L' U2 R2 B2 R' F' D
L' U2 R2 B2 R' F' D'
L' U2 R2 B2 R' F' D2
L' U2 R2 B2 D R' F'
L' U2 R2 B2 D' R' F'
L' U2 R2 B2 D2 R' F'
L' U2 R2 B2 F R' F'
L' U2 R2 B2 F' R' F'
L' U2 R2 B2 F2 R' F'
F2 R' B' R B2 U2 B
B R' B F2 U2 L' B'
U2 R' B' R D2 F2 B'
U2 R' B' R D2 B' F2
F R' B F' U2 B L
D2 R' B' F2 U2 L' F
F R' B F2 U2 L' B
F R' B F2 U2 B L'
B R' B' R B2 U2 B'
U2 R' B' D2 R F2 B'
U2 R' B' D2 R B' F2
F R' B' R B2 U2 B
U2 R' B' D2 B' R F2
F' R' B2 R B' U2 B
B2 R' B2 R B' U2 B'
U2 R' B2 L2 R F L2
F2 R' B2 R B' U2 B
U2 R' B2 R L2 F L2
U2 R' B2 R U2 B' U2
D2 R' B2 F2 U2 L' F
B R' B2 R B' U2 B2
U2 R' B2 U2 B' U2 R
R U2 D F' D' B2 L
F R' B2 R B' U2 B
R U2 D' F' D B2 L
L' U2 F R F' B2 R'
L' U2 F R B2 F' R'
L' U2 F R2 B2 R' F'
R' U2 F B2 L2 F L'
L' U2 F B2 R F' R2
R U2 F L F2 B2 L
R U2 F L B2 L F2
R U2 F L B2 F2 L
R U2 F L' F2 B2 L
R U2 F L' B2 L F2
R U2 F L' B2 F2 L
R U2 F L2 F2 B2 L
R U2 F L2 B2 L F2
R U2 F L2 B2 F2 L
L' U2 F' R F' B2 R'
L' U2 F' R B2 F' R'
L' U2 F' R2 B2 R' F'
R' U2 F2 L B2 L2 F
L' U2 F' B2 R F' R2
R U2 F B2 L F2 D
R U2 F B2 L F2 D'
R U2 F B2 L F2 D2
R U2 F B2 L' F2 L2
R U2 F' L B2 L D
R U2 F' L B2 L D'
R U2 F' L B2 L D2
R U2 F' L B2 D L
R U2 F' L B2 D' L
R U2 F' L B2 D2 L
R U2 F' L' B2 L D
R U2 F' L' B2 L D'
R U2 F' L' B2 L D2
R U2 F' L' B2 D L
R U2 F' L' B2 D' L
R U2 F' L' B2 D2 L
L U2 F' R F' R B2
L U2 F' R F' B2 R
L' U2 F2 R F' B2 R'
L U2 F' R B2 F' R
R U2 F' L2 B2 L D
R U2 F' L2 B2 L D'
R U2 F' L2 B2 L D2
L' U2 F2 R B2 F' R'
R U2 F' L2 B2 D L
R U2 F' L2 B2 D' L
R U2 F' L2 B2 D2 L
L' U2 F2 R2 B2 R' F'
R U2 F' U2 R' U2 B2
R' U2 F2 B2 L2 F L
R U2 F' B L B L
R U2 F' B L' B L
R U2 F' B L2 B L
R' U2 B R U2 R' B
R U2 F' B D B L
L' U2 F2 B2 R F' R2
R U2 F' B D' B L
R U2 F' B D2 B L
L U2 F' B2 R F' R
R U2 F' B2 L2 D L'
R U2 F' B2 L2 D' L'
R U2 F' B2 L2 D2 L'
R U2 F' B2 D L D
R U2 F' B2 D L D'
R U2 F' B2 D L D2
R U2 F' B2 D' L D
R U2 F' B2 D' L D'
R U2 F' B2 D' L D2
R U2 F' B2 D2 L D
R U2 F' B2 D2 L D'
R U2 F' B2 D2 L D2
R U2 F2 L' B2 L F
L U2 F2 R F' B2 D
L U2 F2 R F' B2 D'
L U2 F2 R F' B2 D2
L U2 F2 R B2 D F'
L U2 F2 R B2 D' F'
L U2 F2 R B2 D2 F'
L U2 F2 R B2 F' D
L U2 F2 R B2 F' D'
L U2 F2 R B2 F' D2
U' R2 U2 L U F B2
U' R2 U2 L U B2 F
L U2 F2 B' R F' B'
L U2 F2 B' R B' F'
L U2 F2 B2 R D F'
L U2 F2 B2 R D' F'
L U2 F2 B2 R D2 F'
L U2 F2 B2 R F' D
L U2 F2 B2 R F' D'
L U2 F2 B2 R F' D2
R U2 F2 B2 D F L
R U2 F2 B2 D' F L
R U2 F2 B2 D2 F L
R U2 B L F' B L
R U2 B L B L F'
R U2 B L B F' L
R U2 B L' F' B L
R U2 B L' B L F'
R U2 B L' B F' L
L' U2 B' R F' B' R'
R U2 B L2 F' B L
L' U2 B' R B' F' R'
R U2 B L2 B L F'
R U2 B L2 B F' L
L' U2 B' R2 B' R' F'
R' U2 B' D2 F2 B' L'
R' U2 B' D2 B' F2 L'
U R2 U2 L U' F B2
U R2 U2 L U' B2 F
R U2 B D F' B L
R U2 B D B L F'
R U2 B D B F' L
R' U2 B2 L' F2 L' F
R U2 B D' F' B L
R U2 B D' B L F'
R U2 B D' B F' L
R' U2 B2 L2 F2 L' F'
R U2 B D2 F' B L
R U2 B D2 B L F'
R U2 B D2 B F' L
R U2 B F' L B L
R U2 B F' L' B L
R U2 B F' L2 B L
R U2 B F' D B L
R U2 B F' D' B L
R U2 B F' D2 B L
L' U2 B2 R F R2 F2
L' U2 B2 R F' R2 D
L' U2 B2 R F' R2 D'
L' U2 B2 R F' R2 D2
L' U2 B2 R F2 R2 F
R' U2 B2 U2 R B' U2
L' U2 B2 R' U2 B U2
R' U2 B2 U2 B' R U2
R' U2 B2 F L2 F L'
R2 U2 B2 L D2 F L2
R2 U2 B2 L F D2 L2
L2 U2 B2 R D2 F' R2
R' U2 B2 F2 L2 F L
L2 U2 B2 R F' D2 R2
R2 U2 B2 L' D2 L2 F
L2 U2 B2 R' D2 R2 F'
U R2 D L2 R' U F'
L' U2 B2 F R F' R2
U R2 D R' L2 U F'
L' U2 B2 F' R F' R2
L' U2 B2 F2 R F' R2
L U2 B' F2 R F' B'
L U2 B' F2 R B' F'
R U2 B2 L D F' D
R U2 B2 L D F' D'
R U2 B2 L D F' D2
R U2 B2 L D' F' D
R U2 B2 L D' F' D'
R U2 B2 L D' F' D2
R U2 B2 L D2 F' D
R U2 B2 L D2 F' D'
R U2 B2 L D2 F' D2
R U2 B2 L F2 D F
R U2 B2 L F2 D' F
R U2 B2 L F2 D2 F
R U2 B2 L' F L2 F2
R U2 B2 L' F' L2 D
R U2 B2 L' F' L2 D'
R U2 B2 L' F' L2 D2
R U2 B2 L2 D L' F'
R U2 B2 L2 D' L' F'
R U2 B2 L2 D2 L' F'
L U2 B2 R F2 R F
R2 U2 B2 D2 L F L
R U2 B2 D L D F'
R U2 B2 D L D' F'
R U2 B2 D L D2 F'
R U2 B2 D L F' D
R U2 B2 D L F' D'
R U2 B2 D L F' D2
R U2 B2 D L' F' L2
R U2 B2 D F L F2
R U2 B2 D F' L D
R U2 B2 D F' L D'
R U2 B2 D F' L D2
R U2 B2 D F' D L
R U2 B2 D F' D' L
R U2 B2 D F' D2 L
R U2 B2 D' L D F'
R U2 B2 D' L D' F'
R U2 B2 D' L D2 F'
R U2 B2 D' L F' D
R U2 B2 D' L F' D'
R U2 B2 D' L F' D2
R U2 B2 D' L' F' L2
R U2 B2 D' F L F2
R U2 B2 D' F' L D
R U2 B2 D' F' L D'
R U2 B2 D' F' L D2
R U2 B2 D' F' D L
R U2 B2 D' F' D' L
R U2 B2 D' F' D2 L
R U2 B2 D2 L D F'
R U2 B2 D2 L D' F'
R U2 B2 D2 L D2 F'
R U2 B2 D2 L F' D
R U2 B2 D2 L F' D'
R U2 B2 D2 L F' D2
R U2 B2 D2 L' F' L2
R U2 B2 D2 F L F2
R U2 B2 D2 F' L D
R U2 B2 D2 F' L D'
R U2 B2 D2 F' L D2
R U2 B2 D2 F' D L
R U2 B2 D2 F' D' L
R U2 B2 D2 F' D2 L
R U2 B2 F L F2 D
R U2 B2 F L F2 D'
R U2 B2 F L F2 D2
R U2 B2 F L' F2 L2
L U2 B2 F' R F' R
R U2 B2 F' L2 D L'
R U2 B2 F' L2 D' L'
R U2 B2 F' L2 D2 L'
L U2 B2 F2 R D F'
L U2 B2 F2 R D' F'
L U2 B2 F2 R D2 F'
L U2 B2 F2 R F' D
L U2 B2 F2 R F' D'
L U2 B2 F2 R F' D2
R U2 B2 F' D L D
R U2 B2 F' D L D'
R U2 B2 F' D L D2
R U2 B2 F' D' L D
R U2 B2 F' D' L D'
R U2 B2 F' D' L D2
R U2 B2 F' D2 L D
R U2 B2 F' D2 L D'
R U2 B2 F' D2 L D2
R U2 B2 F2 D F L
R U2 B2 F2 D' F L
R U2 B2 F2 D2 F L
U2 R2 F R' F' R' B2
U2 R2 F B2 R' F' R'
U2 R2 F' R' F' R' B2
B R2 F' R B R U2
U2 R2 F' B2 R' F' R'
U2 R2 F2 R' F' R' B2
U2 R2 F2 B2 R' F' R'
U2 R2 B' R' F' R' B'
U2 R2 B2 R' D F' R'
U2 R2 B2 R' D' F' R'
U2 R2 B2 R' D2 F' R'
U2 R2 B2 R' F R' F2
U2 R2 B2 R' F' R' D
U2 R2 B2 R' F' R' D'
U2 R2 B2 R' F' R' D2
U2 R2 B2 R' F' D R'
U2 R2 B2 R' F' D' R'
U2 R2 B2 R' F' D2 R'
U2 R2 B2 R' F2 R' F
F' U L R U F' B2
F' U L R U B2 F'
D2 U L U' F2 B' U2
D2 U L U' B' F2 U2
U2 R2 B2 F R' F' R'
F2 U L R U F' B2
F2 U L R U B2 F'
U2 R2 B2 F' R' F' R'
D2 U L D' L2 U F
U2 R2 B2 F2 R' F' R'
F' U L' R U F' B2
F' U L' R U B2 F'
F U L R U F' B2
F U L R U B2 F'
D2 U L' U D2 F B2
D2 U L' U D2 B2 F
D2 U L' U' F2 U2 F'
F2 U L' R U F' B2
F2 U L' R U B2 F'
D2 U L' D2 U F B2
D2 U L' D2 U B2 F
F' U L2 R U F' B2
F' U L2 R U B2 F'
R D U2 F' D' B2 L
F U L' R U F' B2
F U L' R U B2 F'
D U L' D L' U F
F2 U L2 R U F' B2
F2 U L2 R U B2 F'
U D L' D L' U F
F' U R L U F' B2
F' U R L U B2 F'
F' U R L' U F' B2
F' U R L' U B2 F'
