U L R2 F B'
U L R2 B' F
U L F R2 B'
U L F B' R2
U L B' R2 F
U L B' F R2
U R2 L F B'
U R2 L B' F
U' R' U' F' L R' B'
U' R' U' F' R' L B'
U' R' U2 L F' R' B'
U' R' U2 F' L R' B'
U' R' U2 F' R' L B'
U R' U2 L R' F' B'
U R' U2 L R' B' F'
U R' U2 R' L F' B'
U R' U2 R' L B' F'
U R' U2 R' F' L B'
U' R' D2 L F' R' B
U' R' D2 F' L R' B
U' R' D2 F' R' L B
U R' D2 L R' F B
U R' D2 L R' B F
U R' D2 L F R' B
U' R' F L R' F2 B'
U' R' F L R' B' F2
U' R' F L F2 R' B'
U R' D2 R' L F B
U R' D2 R' L B F
U' R' F R' L F2 B'
U' R' F R' L B' F2
R U2 L B' R D' F2
U' R' F R' F2 L B'
U R' F L R' F B'
U R' F L R' B' F
U R' F L F R' B'
U' R' F' L R B' R2
U' R' F' L R' D B'
U' R' F' L R' D' B'
U' R' F' L R' D2 B'
U' R' F' L R' B' D
U' R' F' L R' B' D'
U' R' F' L R' B' D2
U' R' F' L R2 B' R
U' R' F' L D R' B'
U' R' F' L D' R' B'
U' R' F' L D2 R' B'
U R' F R' L F B'
U R' F R' L B' F
U' R' F' R L B' R2
U' R' F' R' L D B'
U' R' F' R' L D' B'
U' R' F' R' L D2 B'
U' R' F' R' L B' D
U' R' F' R' L B' D'
U' R' F' R' L B' D2
U' R' F' R2 L B' R
U' R' F' D2 L R' B
U' R' F' D2 R' L B
U R' F' L R' F B'
U R' F' L R' B' F
U R' F' L F R' B'
U R' F' R' L F B'
U R' F' R' L B' F
U' R' F2 R' F L B'
U R' F2 L R' F B'
U R' F2 L R' B' F
U R' F2 L F R' B'
U R' F2 R' L F B'
U R' F2 R' L B' F
F' R2 L D F2 D B'
F' R2 L D F2 D' B'
F' R2 L D F2 D2 B'
F' R2 L D F2 B' D
F' R2 L D F2 B' D'
F' R2 L D F2 B' D2
F' R2 L D B' F2 D
F' R2 L D B' F2 D'
F' R2 L D B' F2 D2
F' R2 L D2 B' D' F2
F' R2 L F D F2 B'
F' R2 L F D B' F2
F' R2 L F B' D F2
F' R2 L F' D F2 B'
F' R2 L F' D B' F2
F' R2 L F' B' D F2
F' R2 L F2 D F2 B'
F' R2 L F2 D B' F2
F' R2 L F2 B' D F2
F' R2 L B' U L2 U'
U' R2 L B' R F' R'
F' R2 L B' D F2 D
F' R2 L B' D F2 D'
F' R2 L B' D F2 D2
F' R2 L B' F D F2
F' R2 L B' F' D F2
F' R2 L B' F2 D F2
F' R2 L B2 D F2 B
F' R2 L B2 D B F2
F R2 L U' R' U B'
U2 R2 L B' U' R' U
U R2 L D F D B'
U R2 L D F D' B'
U R2 L D F D2 B'
U R2 L D F B' D
U R2 L D F B' D'
U R2 L D F B' D2
U R2 L D B' D F
U R2 L D B' D' F
U R2 L D B' D2 F
U R2 L D B' F D
U R2 L D B' F D'
U R2 L D B' F D2
U R2 L D' F D B'
U R2 L D' F D' B'
U R2 L D' F D2 B'
U R2 L D' F B' D
U R2 L D' F B' D'
U R2 L D' F B' D2
U R2 L D' B' D F
U R2 L D' B' D' F
U R2 L D' B' D2 F
U R2 L D' B' F D
U R2 L D' B' F D'
U R2 L D' B' F D2
U R2 L D2 F D B'
U R2 L D2 F D' B'
U R2 L D2 F D2 B'
U R2 L D2 F B' D
U R2 L D2 F B' D'
U R2 L D2 F B' D2
U R2 L D2 B' D F
U R2 L D2 B' D' F
U R2 L D2 B' D2 F
U R2 L D2 B' F D
U R2 L D2 B' F D'
U R2 L D2 B' F D2
U R2 L F R' B' R
U R2 L F R2 B' R2
U R2 L F D B' D
U R2 L F D B' D'
U R2 L F D B' D2
U R2 L F D' B' D
U R2 L F D' B' D'
U R2 L F D' B' D2
U R2 L F D2 B' D
U R2 L F D2 B' D'
U R2 L F D2 B' D2
U R2 L F B2 D B
U R2 L F B2 D' B
U R2 L F B2 D2 B
U R2 L F2 D F' B'
U R2 L F2 D B' F'
U R2 L F2 D' F' B'
U R2 L F2 D' B' F'
U R2 L F2 D2 F' B'
U R2 L F2 D2 B' F'
U R2 L F2 B' D F'
U R2 L F2 B' D' F'
U R2 L F2 B' D2 F'
U R2 L B' R F R'
U R2 L B' R2 F R2
U R2 L B' D F D
U R2 L B' D F D'
U R2 L B' D F D2
U R2 L B' D' F D
U R2 L B' D' F D'
U R2 L B' D' F D2
U R2 L B' D2 F D
U R2 L B' D2 F D'
U R2 L B' D2 F D2
U R2 L B' F2 D F'
U R2 L B' F2 D' F'
U R2 L B' F2 D2 F'
U R2 L B2 D F B
U R2 L B2 D B F
U R2 L B2 D' F B
U R2 L B2 D' B F
U R2 L B2 D2 F B
U R2 L B2 D2 B F
U R2 L B2 F D B
U R2 L B2 F D' B
U R2 L B2 F D2 B
U' R2 L2 D2 L' F B'
U' R2 L2 D2 L' B' F
F2 R2 L2 D' L' F B'
F2 R2 L2 D' L' B' F
F' R2 U L' U' L2 B'
U R2 L2 B L' F B'
U R2 L2 B L' B' F
U R2 L2 B' L' F B'
U R2 L2 B' L' B' F
U R2 L2 B2 L' F B'
U R2 L2 B2 L' B' F
F R2 U' R' U L B'
F2 R2 F L D F2 B'
F2 R2 F L D B' F2
F2 R2 F L B' D F2
U R2 F L D F B'
U R2 F L D B' F
U R2 F L D' F B'
U R2 F L D' B' F
U R2 F L D2 F B'
U R2 F L D2 B' F
U R2 F L F D B'
U R2 F L F D' B'
U R2 F L F D2 B'
U R2 F L F B' D
U R2 F L F B' D'
U R2 F L F B' D2
U R2 F L B' D F
U R2 F L B' D' F
U R2 F L B' D2 F
U R2 F L B' F D
U R2 F L B' F D'
U R2 F L B' F D2
U R2 F' L D F B'
U R2 F' L D B' F
U R2 F' L D' F B'
U R2 F' L D' B' F
U R2 F' L D2 F B'
U R2 F' L D2 B' F
U R2 F' L F D B'
U R2 F' L F D' B'
U R2 F' L F D2 B'
U R2 F' L F B' D
U R2 F' L F B' D'
U R2 F' L F B' D2
U R2 F' L B' D F
U R2 F' L B' D' F
U R2 F' L B' D2 F
U R2 F' L B' F D
U R2 F' L B' F D'
U R2 F' L B' F D2
U R2 F2 L D F B'
U R2 F2 L D B' F
U R2 F2 L D' F B'
U R2 F2 L D' B' F
U R2 F2 L D2 F B'
U R2 F2 L D2 B' F
U R2 F2 L F D B'
U R2 F2 L F D' B'
U R2 F2 L F D2 B'
U R2 F2 L F B' D
U R2 F2 L F B' D'
U R2 F2 L F B' D2
U R2 F2 L B' D F
U R2 F2 L B' D' F
U R2 F2 L B' D2 F
U R2 F2 L B' F D
U R2 F2 L B' F D'
U R2 F2 L B' F D2
U R2 B L F B' L
U R2 B L B' F L
F' U L R2 D F2 B'
F' U L R2 D B' F2
F' U L R2 B' D F2
D2 U L F B2 R' B
D2 U L B2 R' F B
D2 U L B2 R' B F
F' U L B' R2 D F2
D2 U L B2 F R' B
B U L R2 F B' L
B U L R2 B' F L
F' U L' U' L2 R2 B'
F' U L' U' L2 B' R2
F' U L' U' R2 L2 B'
B U L F R2 B' L
B U L F B' L R2
B U L F B' R2 L
B U L B' R2 F L
B U L B' F L R2
B U L B' F R2 L
F U R U L R B'
F U R U L B' R
F U R U R L B'
F' U R2 L D F2 B'
F' U R2 L D B' F2
F' U R2 L B' D F2
B U R2 L F B' L
B U R2 L B' F L
B U R2 B' L F B'
B U R2 B' L B' F
D2 U' L B2 R' F' B
D2 U' L B2 R' B F'
B U B' L R2 F B'
B U B' L R2 B' F
B U B' L F R2 B'
B U B' L F B' R2
B U B' L B' R2 F
B U B' L B' F R2
B2 U B2 L R2 F B'
B2 U B2 L R2 B' F
B2 U B2 L F R2 B'
B2 U B2 L F B' R2
B2 U B2 L B' R2 F
B U B' R2 L F B'
B2 U B2 L B' F R2
B U B' R2 L B' F
B2 U B2 R2 L F B'
B2 U B2 R2 L B' F
F' U' L R2 D F2 B'
F' U' L R2 D B' F2
F' U' L R2 B' D F2
F' U' L B' R2 D F2
F' U' L' U' L2 R2 B'
F' U' L' U' L2 B' R2
F' U' L' U' R2 L2 B'
F U' R U L R B'
F U' R U L B' R
F U' R U R L B'
F' U' R2 L D F2 B'
F' U' R2 L D B' F2
F' U' R2 L B' D F2
U' D2 L B2 R' F' B
U' D2 L B2 R' B F'
U D2 L F B2 R' B
U D2 L B2 R' F B
U D2 L B2 R' B F
U D2 L B2 F R' B
R' D2 U L R' F B
R' D2 U L R' B F
R' D2 U L F R' B
R' D2 U R' L F B
R' D2 U R' L B F
R' D2 U' L R' F' B
R' D2 U' L R' B F'
R' D2 U' R' L F' B
R' D2 U' R' L B F'
R' D2 U' R' F' L B
F' U2 L R2 D F2 B'
F' U2 L R2 D B' F2
F' U2 L R2 B' D F2
F' U2 L B' R2 D F2
F' U2 L' U' L2 R2 B'
F' U2 L' U' L2 B' R2
F' U2 L' U' R2 L2 B'
F U2 R U L R B'
F U2 R U L B' R
F U2 R U R L B'
F' U2 R2 L D F2 B'
F' U2 R2 L D B' F2
F' U2 R2 L B' D F2
U' F L R' F' R' B'
R' F L R' D' F2 B'
R' F L R' D' B' F2
R' F L R' B' D' F2
U' F L B' R' F' R'
R2 F L U' R U B'
U F L R B' R F
U F L R' F R' B'
U F L R2 D F B'
U F L R2 D B' F
U F L R2 D' F B'
U F L R2 D' B' F
U F L R2 D2 F B'
U F L R2 D2 B' F
U F L R2 F D B'
U F L R2 F D' B'
U F L R2 F D2 B'
U F L R2 F B' D
U F L R2 F B' D'
U F L R2 F B' D2
U F L R2 B' D F
U F L R2 B' D' F
U F L R2 B' D2 F
U F L R2 B' F D
U F L R2 B' F D'
U F L R2 B' F D2
R2 F L B' U' R U
U F L F R B' R
U F L F R2 D B'
U F L F R2 D' B'
U F L F R2 D2 B'
U F L F R2 B' D
U F L F R2 B' D'
U F L F R2 B' D2
D F L' R B2 U L2
U F L F B R2 B2
U F L F B' R2 D
U F L F B' R2 D'
U F L F B' R2 D2
U F L F' R2 F2 B'
U F L F' R2 B' F2
U F L F' B' R2 F2
U F L B R2 F B2
U F L B R2 B2 F
U F L B F R2 B2
U F L B' R' F R'
U F L B' R2 D F
U F L B' R2 D' F
U F L B' R2 D2 F
U F L B' R2 F D
U F L B' R2 F D'
U F L B' R2 F D2
U F L B' F R2 D
U F L B' F R2 D'
U F L B' F R2 D2
U F L B' F' R2 F2
R' F R U L R2 B'
R' F R U L B' R2
R' F R U R2 L B'
D F L' B2 R U L2
U' F R' L F' R' B'
R' F R' L D' F2 B'
R' F R' L D' B' F2
R' F R' L B' D' F2
R2 F R U L R' B'
R2 F R U R' L B'
D F R L' B2 U L2
U' F R' F' L R' B'
U' F R' F' R' L B'
U F R L B' R F
U F R' L F R' B'
L F R' D' R' F2 B'
L F R' D' R' B' F2
L F R' D' F2 R' B'
L' F U R U L2 R
L' F U R U R L2
U F R2 L D F B'
U F R2 L D B' F
U F R2 L D' F B'
U F R2 L D' B' F
U F R2 L D2 F B'
U F R2 L D2 B' F
U F R2 L F D B'
U F R2 L F D' B'
U F R2 L F D2 B'
U F R2 L F B' D
U F R2 L F B' D'
U F R2 L F B' D2
U F R2 L B' D F
U F R2 L B' D' F
U F R2 L B' D2 F
U F R2 L B' F D
U F R2 L B' F D'
U F R2 L B' F D2
L F R2 U' R' U B'
U F R2 F L F B'
U F R2 F L B' F
U F R2 F' L F B'
U F R2 F' L B' F
U F R2 F2 L F B'
U F R2 F2 L B' F
U2 F U' L R2 F B'
U2 F U' L R2 B' F
U2 F U' L F R2 B'
U2 F U' L F B' R2
U2 F U' L B' R2 F
U2 F U' L B' F R2
U' F U2 L R2 F B'
U' F U2 L R2 B' F
U' F U2 L F R2 B'
U' F U2 L F B' R2
U' F U2 L B' R2 F
U' F U2 L B' F R2
U2 F U' R2 L F B'
U2 F U' R2 L B' F
U' F U2 R2 L F B'
U' F U2 R2 L B' F
R2 F U' R U L B'
L F U' R U R B'
L F U' R U B' R
U' F' L R' F' R' B'
R' F' L R' D F2 B'
R' F' L R' D B' F2
R' F' L R' B' D F2
R' F' L D R' F2 B'
R' F' L D R' B' F2
R' F' L D F2 R' B'
L F B' R' D' R' F2
L F B' R' D' F2 R'
L F B' R2 U' R' U
U' F' L B' R' F' R'
L F B' U' R U R
R' F' L' U' L2 R' B'
R' F' L' U' R' L2 B'
R2 F' L D F2 D B'
R2 F' L D F2 D' B'
R2 F' L D F2 D2 B'
R2 F' L D F2 B' D
R2 F' L D F2 B' D'
R2 F' L D F2 B' D2
R2 F' L D B' F2 D
R2 F' L D B' F2 D'
R2 F' L D B' F2 D2
R2 F' L D2 B' D' F2
R2 F' L F D F2 B'
R2 F' L F D B' F2
R2 F' L F B' D F2
R2 F' L F' D F2 B'
R2 F' L F' D B' F2
R2 F' L F' B' D F2
U F' L R B' R F
R2 F' L F2 D F2 B'
R2 F' L F2 D B' F2
R2 F' L F2 B' D F2
U F' L R' F R' B'
U F' L R2 D F B'
U F' L R2 D B' F
U F' L R2 D' F B'
U F' L R2 D' B' F
U F' L R2 D2 F B'
U F' L R2 D2 B' F
U F' L R2 F D B'
U F' L R2 F D' B'
U F' L R2 F D2 B'
U F' L R2 F B' D
U F' L R2 F B' D'
U F' L R2 F B' D2
U F' L R2 B' D F
U F' L R2 B' D' F
U F' L R2 B' D2 F
U F' L R2 B' F D
U F' L R2 B' F D'
U F' L R2 B' F D2
R2 F' L B' U L2 U'
R2 F' L B' D F2 D
R2 F' L B' D F2 D'
R2 F' L B' D F2 D2
R2 F' L B' F D F2
R2 F' L B' F' D F2
R2 F' L B' F2 D F2
R2 F' L B2 D F2 B
R2 F' L B2 D B F2
U F' L F R B' R
U F' L F R2 D B'
U F' L F R2 D' B'
U F' L F R2 D2 B'
U F' L F R2 B' D
U F' L F R2 B' D'
U F' L F R2 B' D2
U F' L F B R2 B2
U F' L F B' R2 D
U F' L F B' R2 D'
U F' L F B' R2 D2
U F' L F' R2 F2 B'
U F' L F' R2 B' F2
U F' L F' B' R2 F2
U F' L B R2 F B2
U F' L B R2 B2 F
U F' L B F R2 B2
U F' L B' R' F R'
U F' L B' R2 D F
U F' L B' R2 D' F
U F' L B' R2 D2 F
U F' L B' R2 F D
U F' L B' R2 F D'
U F' L B' R2 F D2
U F' L B' F R2 D
U F' L B' F R2 D'
U F' L B' F R2 D2
U F' L B' F' R2 F2
L F' L' U' L R2 B'
L F' L' U' L B' R2
L F' L' U' R2 L B'
U' F' R' L F' R' B'
R' F' R' L D F2 B'
R' F' R' L D B' F2
R' F' R' L B' D F2
U' F' R' F' L R' B'
U' F' R' F' R' L B'
U F' R L B' R F
U F' R' L F R' B'
U F' R2 L D F B'
U F' R2 L D B' F
U F' R2 L D' F B'
U F' R2 L D' B' F
U F' R2 L D2 F B'
U F' R2 L D2 B' F
U F' R2 L F D B'
U F' R2 L F D' B'
U F' R2 L F D2 B'
U F' R2 L F B' D
U F' R2 L F B' D'
U F' R2 L F B' D2
U F' R2 L B' D F
U F' R2 L B' D' F
U F' R2 L B' D2 F
U F' R2 L B' F D
U F' R2 L B' F D'
U F' R2 L B' F D2
R2 F' U L' U' L2 B'
U F' R2 F L F B'
U F' R2 F L B' F
U F' R2 F' L F B'
U F' R2 F' L B' F
U F' R2 F2 L F B'
U F' R2 F2 L B' F
U' F' U2 L R2 F B'
U' F' U2 L R2 B' F
U2 F' U' L R2 F B'
U2 F' U' L R2 B' F
U' F' U2 L F R2 B'
U' F' U2 L F B' R2
U' F' U2 L B' R2 F
U' F' U2 L B' F R2
U2 F' U' L F R2 B'
U2 F' U' L F B' R2
U2 F' U' L B' R2 F
U2 F' U' L B' F R2
L F' R2 B' U L' U'
U' F' U2 R2 L F B'
U' F' U2 R2 L B' F
U2 F' U' R2 L F B'
U2 F' U' R2 L B' F
U' F2 L R' F' R' B'
U' F2 L B' R' F' R'
L F' B' R2 U L' U'
L F' B' U L' U' R2
U F2 L R B' R F
U F2 L R' F R' B'
U F2 L R2 D F B'
U F2 L R2 D B' F
U F2 L R2 D' F B'
U F2 L R2 D' B' F
U F2 L R2 D2 F B'
U F2 L R2 D2 B' F
U F2 L R2 F D B'
U F2 L R2 F D' B'
U F2 L R2 F D2 B'
U F2 L R2 F B' D
U F2 L R2 F B' D'
U F2 L R2 F B' D2
U F2 L R2 B' D F
U F2 L R2 B' D' F
U F2 L R2 B' D2 F
U F2 L R2 B' F D
U F2 L R2 B' F D'
U F2 L R2 B' F D2
U F2 L F R B' R
U F2 L F R2 D B'
U F2 L F R2 D' B'
U F2 L F R2 D2 B'
U F2 L F R2 B' D
U F2 L F R2 B' D'
U F2 L F R2 B' D2
U F2 L F B R2 B2
U F2 L F B' R2 D
U F2 L F B' R2 D'
U F2 L F B' R2 D2
U F2 L F' R2 F2 B'
U F2 L F' R2 B' F2
U F2 L F' B' R2 F2
U F2 L B R2 F B2
U F2 L B R2 B2 F
U F2 L B F R2 B2
U F2 L B' R' F R'
U F2 L B' R2 D F
U F2 L B' R2 D' F
U F2 L B' R2 D2 F
U F2 L B' R2 F D
U F2 L B' R2 F D'
U F2 L B' R2 F D2
U F2 L B' F R2 D
U F2 L B' F R2 D'
U F2 L B' F R2 D2
U F2 L B' F' R2 F2
R2 F2 L2 D' L' F B'
R2 F2 L2 D' L' B' F
U' F2 R' L F' R' B'
U' F2 R' F' L R' B'
U' F2 R' F' R' L B'
U F2 R L B' R F
L F2 R D R F' B'
L F2 R D R B' F'
L F2 R D B' R F'
L F2 R B' D R F'
U F2 R' L F R' B'
U F2 R2 L D F B'
U F2 R2 L D B' F
U F2 R2 L D' F B'
U F2 R2 L D' B' F
U F2 R2 L D2 F B'
U F2 R2 L D2 B' F
U F2 R2 L F D B'
U F2 R2 L F D' B'
U F2 R2 L F D2 B'
U F2 R2 L F B' D
U F2 R2 L F B' D'
U F2 R2 L F B' D2
U F2 R2 L B' D F
U F2 R2 L B' D' F
U F2 R2 L B' D2 F
U F2 R2 L B' F D
U F2 R2 L B' F D'
U F2 R2 L B' F D2
U F2 R2 F L F B'
U F2 R2 F L B' F
U F2 R2 F' L F B'
U F2 R2 F' L B' F
U' F2 U2 L R2 F B'
U' F2 U2 L R2 B' F
U F2 R2 F2 L F B'
U F2 R2 F2 L B' F
U' F2 U2 L F R2 B'
U' F2 U2 L F B' R2
U' F2 U2 L B' R2 F
U' F2 U2 L B' F R2
U2 F2 U' L R2 F B'
U2 F2 U' L R2 B' F
U2 F2 U' L F R2 B'
U2 F2 U' L F B' R2
U2 F2 U' L B' R2 F
U2 F2 U' L B' F R2
U' F2 U2 R2 L F B'
U' F2 U2 R2 L B' F
U2 F2 U' R2 L F B'
U2 F2 U' R2 L B' F
L F2 B' R D R F'
U2 B L U' R2 B' L
U2 B L U' B' L R2
U2 B L U' B' R2 L
U B L R2 F B' L
U B L R2 B' F L
U B L F R2 B' L
U B L F B' L R2
U B L F B' R2 L
U B L B' R2 F L
U B L B' F L R2
U B L B' F R2 L
U B R2 L F B' L
U B R2 L B' F L
U B R2 B' L F B'
U B R2 B' L B' F
L B' R' F R' D' F2
L B' R2 U L U' F
L B' R2 U' R' U F'
L B' R2 F U' R U
L B' R2 F' U L' U'
U B' R2 B L F B'
U B' R2 B L B' F
L B' U L U' R2 F
L B' U L U' F R2
L B' U' R' U F' R'
L B' F R' D' R' F2
L B' F R' D' F2 R'
L B' F R2 U' R' U
L B' F U' R U R
L B' F' R2 U L' U'
L B' F' U L' U' R2
L B' F2 R D R F'
