D2 L B2 D' R2 F'
D2 L' U F L2 B2
D2 L' U F B2 L2
D2 L' U B2 F L2
D' L2 U D' L' F
D' L2 D' U L' F
U L2 D2 L' F B2
U L2 D2 L' B2 F
R U L D2 F' B2
R U L D2 B2 F'
U L2 D2 B2 L' F
L2 U D2 L' F B2
L2 U D2 L' B2 F
L2 U D2 B2 L' F
R U D2 L F' B2
R U D2 L B2 F'
R U D2 F' L B2
U' R F2 U2 F L
L2 U' F2 R U2 F'
R U' F2 U2 F L
U' R2 F2 U2 L F
D2 U L' F L2 B2
D2 U L' F B2 L2
D2 U L' B2 F L2
R D' L2 U L' F'
U D2 L' F L2 B2
U D2 L' F B2 L2
U D2 L' B2 F L2
L2 D2 U L' F B2
L2 D2 U L' B2 F
L2 D2 U B2 L' F
R D2 U L F' B2
R D2 U L B2 F'
R D2 U F' L B2
D' F' L2 R U L'
D' F' R L2 U L'
U' F2 R U2 L F'
U' F2 R U2 F' L
U' F2 R2 U2 L F
U' F2 B2 R' B U2
U' B2 R' F2 B U2
U' B2 R' B F2 U2
U' B2 F2 R' B U2
U F2 R U2 L F' R'
U F2 R U2 F' L R'
U F2 R U2 F' R' L
U' F2 R2 B2 R' U2 F'
U' F2 U R U L F'
U' F2 U R U F' L
D2 F2 U L' F L2 B2
D2 F2 U L' F B2 L2
D2 F2 U L' B2 F L2
D' F2 U D' L F B2
D' F2 U D' L B2 F
U F2 R2 U2 L R2 F
U F2 R2 U2 L F R2
U F2 R2 U2 R2 L F
U' F2 U2 L R F' R'
U' F2 U2 L2 D2 L' F
U' F2 U2 R L F' R'
U' F2 U2 R F' L R'
U' F2 U2 R F' R' L
U' F2 U2 D2 L' F L2
U F2 U2 L F2 R F'
D' F2 D' U L F B2
D' F2 D' U L B2 F
U' F2 D2 U2 L' F L2
U' F2 B R' B R' U2
R' F2 B U B' U L
U' F2 B' R U2 F' L'
U' F2 B' R' B U2 L
U' F2 B2 R' D B U2
U' F2 B2 R' D' B U2
U' F2 B2 R' D2 B U2
U' F2 B2 R' B U2 D
U' F2 B2 R' B U2 D'
U' F2 B2 R' B U2 D2
U' F2 B2 R' B D U2
U' F2 B2 R' B D' U2
U' F2 B2 R' B D2 U2
U F2 B2 R' B U2 R
U' B R' F2 B R' U2
U' B R' B R' F2 U2
U' B R' B F2 R' U2
U B D2 L' F L' B2
U B D2 L' F B2 L'
U B D2 L' B2 F L'
U' B F2 R' B R' U2
U B D2 F L' F B2
U B D2 F L' B2 F
U B D2 F B2 L' F
R' B F2 U B' U L
U B D2 B2 L' F L'
U B D2 B2 F L' F
U' B' R' F2 B U2 L
U' B' R' B F2 U2 L
U' B' F2 R U2 F' L'
U' B' F2 R' B U2 L
U' B2 R F2 R2 U2 F
U' B2 R' D2 B U2 B
U' B2 R' F2 D B U2
U' B2 R' F2 D' B U2
U' B2 R' F2 D2 B U2
U' B2 R' F2 B U2 D
U' B2 R' F2 B U2 D'
U' B2 R' F2 B U2 D2
U' B2 R' F2 B D U2
U' B2 R' F2 B D' U2
U' B2 R' F2 B D2 U2
U' B2 R' B U2 D2 B2
U' B2 R' B D2 U2 B2
U' B2 R' B F2 U2 D
U' B2 R' B F2 U2 D'
U' B2 R' B F2 U2 D2
U' B2 R' B F2 D U2
U' B2 R' B F2 D' U2
U' B2 R' B F2 D2 U2
L B2 R F' D' R2 B
U B2 R' F2 L' B U2
U B2 R' F2 B L' U2
U B2 R' B F2 L' U2
U2 B2 U R' F2 B U2
U2 B2 U R' B F2 U2
B2 F2 R' U2 D' R2 F'
B2 F2 R' D L2 B U2
B2 F2 R' D B L2 U2
B2 F2 R' D' U2 R2 F'
F2 B2 R' U2 D' R2 F'
B2 F2 R' D' B U2 R2
F2 B2 R' D L2 B U2
F2 B2 R' D B L2 U2
F2 B2 R' D' U2 R2 F'
U2 B2 U F2 R' B U2
F2 B2 R' D' B U2 R2
B2 F2 R' B U B U
F2 B2 R' B U B U
U B2 U2 R' F2 B U2
U B2 U2 R' B F2 U2
U B2 U2 F2 R' B U2
U' B2 F R' F B U2
U' B2 F R' B F U2
U B2 D2 L' F B2 L
U B2 D2 L' B2 F L
U' B2 F2 R' D B U2
U' B2 F2 R' D' B U2
U' B2 F2 R' D2 B U2
U B2 D2 L2 B2 L F
U' B2 F2 R' B U2 D
U' B2 F2 R' B U2 D'
U' B2 F2 R' B U2 D2
U' B2 F2 R' B D U2
U' B2 F2 R' B D' U2
U' B2 F2 R' B D2 U2
U B2 D2 B2 L' F L2
U B2 F2 R' B U2 R
