U' L F2 U' L
U' F2 L U' L
F2 L U F2 U2 L
F2 L U' L D2 B2
U' L U' L D R2
F2 L U' D2 L B2
U' L U' D L R2
U' L U' D R2 L
F2 L D R2 U' L
U' L D U' L R2
U' L D U' R2 L
F2 L D2 U' L B2
F' L F' U' L B'
U L F2 R U' L
U' L F2 U' L D
U' L F2 U' L D'
U' L F2 U' L D2
U' L F2 U' D L
U' L F2 U' D' L
U' L F2 U' D2 L
U' L F2 D U' L
U' L F2 D' U' L
U' L F2 D2 U' L
U2 L' D L' R2 F2
U2 L' D L' F2 R2
U2 L' D R2 L' F2
U2 L2 U L' F2 U'
D' L2 U' L' B2 U'
D' L2 U' B2 L' U'
R' U' L F2 U' L
R2 U' L F2 U' L
L' U' L2 F2 U' L
R U' L F2 U' L
R' U' F2 L U' L
R2 U' F2 L U' L
L U' F2 U' L F2
L U' F2 U' F2 L
R U' F2 L U' L
L' U2 D L' R2 F2
L' U2 D L' F2 R2
L' U2 D R2 L' F2
D2 R2 U B2 R' U
L' D U2 L' R2 F2
L' D U2 L' F2 R2
L' D U2 R2 L' F2
L' D' L2 B2 R' U2
U' D' L B2 U' R'
D' U' L B2 U' R'
L' D' B2 L2 U2 L
U' F' L F' U' L
F2 D' L B2 R' U'
U' F2 L U' L D
U' F2 L U' L D'
U' F2 L U' L D2
U' F2 L U' D L
U' F2 L U' D' L
U' F2 L U' D2 L
U' F2 L D U' L
U' F2 L D' U' L
U' F2 L D2 U' L
L F2 U F2 U2 L
L F2 U' L D2 B2
L F2 U' D2 L B2
U' F2 D' L B2 U'
L F2 D R2 U' L
L F2 D2 U' L B2
L' D' R2 L2 B2 R' U2
D U B2 R' F2 U R'
D2 U' L D2 F2 U' L2
D' U' L F B2 U' R'
U' D' L F B2 U' R'
D' U' L F' B2 U' R'
U' D' L F' B2 U' R'
D' U' L F2 B2 U' R'
U D B2 R' F2 U R'
U' D' L F2 B2 U' R'
D' U' L B2 U' R' D
D' U' L B2 U' R' D'
D' U' L B2 U' R' D2
D' U' L B2 U' D R'
D' U' L B2 U' D' R'
D' U' L B2 U' D2 R'
U' D' L B2 U' R' D
U' D' L B2 U' R' D'
U' D' L B2 U' R' D2
U' D' L B2 U' D R'
U' D' L B2 U' D' R'
U' D' L B2 U' D2 R'
D' U' L B2 D U' R'
U' D' L B2 D U' R'
D' U' L B2 D' U' R'
U' D' L B2 D' U' R'
D' U' L B2 D2 U' R'
U' D' L B2 D2 U' R'
D' U' L B2 F U' R'
U' D' L B2 F U' R'
D' U' L B2 F' U' R'
D' U' L B2 F2 U' R'
U' D' L B2 F' U' R'
U' D' L B2 F2 U' R'
L' D' R2 B2 L2 U2 L
D U B2 F2 R' U R'
D U' L U' R2 D' L2
U D B2 F2 R' U R'
D U' L U2 F2 U R2
D U' L D' F2 U' L2
U2 D' L B2 U' R' B2
R' D' U' L B2 U' R'
U2 D' L' D F2 L2 R
U2 D' L' D F2 R L2
R2 D' U' L B2 U' R'
L' D' U2 L' D2 F2 R
B' U' L F2 U' L F'
B' U' L F2 U' F' L
F' U' L F' U' L B'
R D' U' L B2 U' R'
D' U' F L B2 U' R'
U' D' F L B2 U' R'
U' D' F' L B2 U' R'
D' U' F' L B2 U' R'
L' D' B' L2 U2 F L
U' D' F2 L B2 U' R'
D' U' F2 L B2 U' R'
L' D' B2 L2 R U2 L
L' D' B2 L2 R' U2 L
L' D' B2 L2 R2 U2 L
L' D' B2 L2 U2 L D
L' D' B2 L2 U2 L D'
L' D' B2 L2 U2 L D2
L' D' B2 L2 U2 D L
L' D' B2 L2 U2 D' L
L' D' B2 L2 U2 D2 L
L' D' B2 L2 D U2 L
L' D' B2 L2 D' U2 L
L' D' B2 L2 D2 U2 L
L' D' B2 R L2 U2 L
L' D' B2 R' L2 U2 L
L' D' B2 R2 L2 U2 L
L' D' B2 U2 D2 L' R2
L' D' B2 U2 D2 R2 L'
L' D' B2 D2 U2 L' R2
L' D' B2 D2 U2 R2 L'
U' D2 L D2 F2 U' L2
D' U2 L B2 U' R' B2
B' U' F2 L U' F L
D' U2 L' D F2 L2 R
D' U2 L' D F2 R L2
B2 U' F2 U2 R' U L2
B2 U' F2 D' B2 L U'
B2 U' F2 B2 L U' L
R' D2 R2 U B2 R' U
B U' F2 B' L U' L
R2 D2 R2 U B2 R' U
L' D2 U R2 B2 U L'
B U' B' L F2 U' L
B2 U' B2 L F2 U' L
L' D2 U B2 R2 U L'
R D2 R2 U B2 R' U
B U' B' F2 L U' L
B2 U' B2 F2 L U' L
L' D2 U2 L' D' R2 F2
L' D2 U2 L' D' F2 R2
F' U2 L F' U' L B'
U D2 R' B2 R' U L
B U2 L' D L' R2 F
B U2 L' D L' F R2
B U2 L' D R2 L' F
L D2 U2 B2 U B2 L
D2 U2 B2 R' U B2 L
U2 D2 B2 R' U B2 L
U D2 B2 R' U' R' U2
U D2 B2 D' R' F2 U
U D2 B2 D' F2 R' U
U D2 B2 D2 R' U L2
U2 F U F L U' L
L F R2 F U' L B
F2 D L R2 U' D' L2
F2 D L R2 U2 F2 U
F2 D L R2 D' U' L2
F2 D L R2 D2 B2 U'
U F U2 F L U' L
U' F D' F L B2 U'
F2 D R2 L U' D' L2
F2 D R2 L U2 F2 U
F2 D R2 L D' U' L2
F2 D R2 L D2 B2 U'
F2 D R2 D' L U' L
F2 D R2 D2 L B2 U'
B2 D U R' F2 U R'
B2 D U F2 R' U R'
U' F' L D F' U' L
U' F' L D' F' U' L
U' F' L D2 F' U' L
U' F' L F' U' L D
U' F' L F' U' L D'
U' F' L F' U' L D2
U' F' L F' U' D L
U' F' L F' U' D' L
U' F' L F' U' D2 L
U' F' L F' D U' L
U' F' L F' D' U' L
U' F' L F' D2 U' L
R' F' L F' U' L B'
R2 F' L F' U' L B'
R F' L F' U' L B'
U2 F' L2 U L' F' U'
U2 F' U L F' U' L
U2 F' U F' L U' L
F2 D' L R B2 R' U'
F2 D' L R' B2 R' U'
F2 D' L R2 B2 R' U'
F2 D' L B2 R' U' D
F2 D' L B2 R' U' D'
F2 D' L B2 R' U' D2
F2 D' L B2 R' D U'
F2 D' L B2 R' D' U'
F2 D' L B2 R' D2 U'
F2 D' L B2 D R' U'
F2 D' L B2 D' R' U'
F2 D' L B2 D2 R' U'
U' F' D' L F' B2 U'
U' F' D' L B2 F' U'
U F' U2 L F' U' L
B2 D' L2 U' B2 L U'
U' F' D' F' L B2 U'
U F' U2 F' L U' L
F2 D' R L B2 R' U'
F2 D' R' L B2 R' U'
F2 D' R2 L B2 R' U'
U' F2 L U R U2 L
U' F2 L U R' U2 L
U' F2 L U R2 U2 L
U' F2 L U' L2 D L'
U' F2 L U' L2 D' L'
U' F2 L U' L2 D2 L'
U' F2 L U' D L D
U' F2 L U' D L D'
U' F2 L U' D L D2
U' F2 L U' D' L D
U' F2 L U' D' L D'
U' F2 L U' D' L D2
U' F2 L U' D2 L D
U' F2 L U' D2 L D'
U' F2 L U' D2 L D2
U' F2 L U' F L F'
U' F2 L U' F2 L F2
U' F2 L U2 F U L
U' F2 L U2 F' U L
U' F2 L U2 F2 U L
U' F2 L D U' L D
U' F2 L D U' L D'
U' F2 L D U' L D2
R' F2 L U F2 U2 L
R' F2 L U' L D2 B2
R' F2 L U' D2 L B2
U' F2 L D' U' L D
U' F2 L D' U' L D'
U' F2 L D' U' L D2
U' F2 L D2 U' L D
U' F2 L D2 U' L D'
U' F2 L D2 U' L D2
R' F2 L D R2 U' L
R' F2 L D2 U' L B2
U' F2 L B2 U R' U2
U' F2 L' U' D L' F2
U' F2 L' D U' L' F2
R2 F2 L U F2 U2 L
R2 F2 L U' L D2 B2
R2 F2 L U' D2 L B2
U' F2 L' B L2 U' L
R2 F2 L D R2 U' L
U2 F2 L B U' B' L
U' F2 L' B' L2 U' L
U' F2 L' B2 L2 U' L
R2 F2 L D2 U' L B2
U2 F2 L B2 U' B2 L
U' F2 L2 D L' U' L
U F2 L U' L D' B2
U' F2 L2 D' L' U' L
U F2 L U2 L' U L2
U' F2 L2 D2 L' U' L
L' F2 L2 U R F2 U2
L' F2 L2 U F2 U2 L'
R F2 L U F2 U2 L
U' F2 L2 B L' U' L
R F2 L U' L D2 B2
R F2 L U' D2 L B2
U' F2 L2 B' L' U' L
U' F2 L2 B2 L' U' L
R F2 L D R2 U' L
R F2 L D2 U' L B2
L F2 R U F2 U2 L
L F2 R U' L D2 B2
L F2 R U' D2 L B2
L F2 R D R2 U' L
L F2 R D2 U' L B2
L F2 R' U F2 U2 L
L F2 R' U' L D2 B2
L F2 R' U' D2 L B2
L F2 R' D R2 U' L
L F2 R' D2 U' L B2
U' F2 U' L' D L' F2
U' F2 U' L2 U L' U'
L F2 R2 U F2 U2 L
L F2 R2 U' L D2 B2
L F2 R2 U' D2 L B2
L F2 R2 D R2 U' L
L F2 R2 D2 U' L B2
F2 D' B2 U2 L2 R' U
F2 D' B2 U2 R' L2 U
F2 D2 L R' U' B2 L
F2 D2 L U R2 U2 B2
L F2 U R F2 U2 L
L F2 U R' F2 U2 L
F2 D2 L U' B2 D2 L2
L F2 U R2 F2 U2 L
U' F2 D L U' D' L2
U' F2 D L U2 F2 U
U' F2 D L D' U' L2
U' F2 D L D2 B2 U'
L F2 U F2 R U2 L
L F2 U F2 R' U2 L
L F2 U F2 R2 U2 L
L F2 U F2 U2 L D
L F2 U F2 U2 L D'
L F2 U F2 U2 L D2
L F2 U F2 U2 D L
L F2 U F2 U2 D' L
L F2 U F2 U2 D2 L
L F2 U F2 D U2 L
L F2 U F2 D' U2 L
L F2 U F2 D2 U2 L
L F2 U' L U2 F2 U2
L F2 U' L D2 B2 D
L F2 U' L D2 B2 D'
L F2 U' L D2 B2 D2
L F2 U' L B D2 B2
L F2 U' L B' D2 B2
L F2 U' L B2 D2 B2
L F2 U' L2 D2 L' B2
L F2 U' L2 D2 B2 L'
L F2 U' D L D B2
L F2 U' D2 L B2 D
L F2 U' D2 L B2 D'
L F2 U' D2 L B2 D2
L F2 U' D2 L' B2 L2
L F2 U' D2 L2 B2 L'
U' F2 D' L U' D L2
U' F2 D' L D U' L2
U' F2 D' L B2 U' D
U' F2 D' L B2 U' D'
U' F2 D' L B2 U' D2
U' F2 D' L B2 D U'
U' F2 D' L B2 D' U'
U' F2 D' L B2 D2 U'
U' F2 D' L' B2 L2 U'
U' F2 D' L2 B2 L' U'
R' F2 D' L B2 R' U'
L F2 U' B2 D2 B2 L
L F2 U2 D' L2 U L'
U' F2 D' B2 U2 R' U
U' F2 D2 L U R2 U2
U' F2 D2 L U' D2 L2
U' F2 D2 L D B2 U'
U' F2 D2 L D2 U' L2
U2 F2 D' L B2 U' B2
R2 F2 D' L B2 R' U'
L F2 D R2 U' L D
L F2 D R2 U' L D'
L F2 D R2 U' L D2
L F2 D R2 U' D L
L F2 D R2 U' D' L
L F2 D R2 U' D2 L
L F2 D R2 D U' L
L F2 D R2 D' U' L
L F2 D R2 D2 U' L
L F2 D U' L D B2
F2 D2 R' L U' B2 L
R F2 D' L B2 R' U'
U' F2 B' L U' L F
L F2 D' U2 L2 U L'
U' F2 B' U' L F L
B2 D2 R2 U R B2 U
B2 D2 R2 U B2 R U
L F2 D2 R U' L B2
L F2 D2 R' U' L B2
L F2 D2 R2 U' L B2
L F2 D2 U' L B2 D
L F2 D2 U' L B2 D'
L F2 D2 U' L B2 D2
L F2 D2 U' L' B2 L2
L F2 D2 U' L2 B2 L'
U' F2 B2 U2 R' U L2
U' F2 B2 D' B2 L U'
B2 D2 U R' B2 U L
L F2 B2 U R' F2 U2
L F2 B2 U F2 R' U2
L F2 B2 U' D2 B2 L
L F2 B2 D2 U' B2 L
L' B U' L2 F2 U' L
L' B U2 D L' R2 F2
L' B U2 D L' F2 R2
L' B U2 D R2 L' F2
L' B D U2 L' R2 F2
L' B D U2 L' F2 R2
L' B D U2 R2 L' F2
L' B D' L2 B2 R' U2
L' B D' B2 L2 U2 L
U' B' L F2 U' L F
L' B' U' L2 F2 U' L
L' B' U2 D L' R2 F2
L' B' U2 D L' F2 R2
L' B' U2 D R2 L' F2
L' B' D U2 L' R2 F2
L' B' D U2 L' F2 R2
L' B' D U2 R2 L' F2
L' B' D' L2 B2 R' U2
L' B' D' B2 L2 U2 L
U' B' F2 L U' L F
U' B' F2 U' L F L
D2 B2 R2 U R U R'
U B2 R' U L2 D R2
L B2 R' U' F2 U' F2
U B2 R' U2 F2 U' L2
U B2 R' D F2 U R2
L' B2 U' L2 F2 U' L
D B2 U R' F2 U R'
D B2 U F2 R' U R'
L' B2 U2 D L' R2 F2
L' B2 U2 D L' F2 R2
L' B2 U2 D R2 L' F2
L' B2 D U2 L' R2 F2
L' B2 D U2 L' F2 R2
L' B2 D U2 R2 L' F2
L' B2 D' L2 B2 R' U2
L' B2 D' B2 L2 U2 L
U B2 D R' F2 U R'
U B2 D F2 R' U R'
U B2 D2 R' B2 U L
U' B2 F2 U2 R' U L2
U' B2 F2 D' B2 L U'
L B2 F2 U R' F2 U2
L B2 F2 U F2 R' U2
L B2 F2 U' D2 B2 L
L B2 F2 D2 U' B2 L
