B2 L R2 F U'
B2 L F R2 U'
B2 R2 L F U'
B2 L R' F R' U'
B2 L R2 D F U'
B2 L R2 D' F U'
B2 L R2 D2 F U'
B2 L R2 F U' D
B2 L R2 F U' D'
B2 L R2 F U' D2
B2 L R2 F D U'
B2 L R2 F D' U'
B2 L R2 F D2 U'
B2 L D F U' B2
B2 L F R2 U' D
B2 L F R2 U' D'
B2 L F R2 U' D2
B2 L F R2 D U'
B2 L F R2 D' U'
B2 L F R2 D2 U'
B2 L F U' D B2
B2 L F D U' B2
B2 L F' R2 F2 U'
B2 R' L F R' U'
R' U2 R' F' B2 U'
R' U2 R' B2 F' U'
B2 R2 L D F U'
B2 R2 L D' F U'
B2 R2 L D2 F U'
B2 R2 L F U' D
B2 R2 L F U' D'
B2 R2 L F U' D2
B2 R2 L F D U'
B2 R2 L F D' U'
B2 R2 L F D2 U'
B2 R2 D L F U'
B2 R2 D' L F U'
B2 R2 D2 L F U'
B2 R2 F L F U'
B2 R2 F' L F U'
B2 R2 F2 L F U'
B' R2 B' L F U'
B2 D L F U' B2
L F B2 L R2 U'
L F B2 R2 L U'
B2 F L R2 F U'
B2 F L F R2 U'
B2 F R2 L F U'
B2 F' L R2 F U'
B2 F' L F R2 U'
B2 F' R2 L F U'
L' B2 L R2 F' U'
F' B2 L R2 F U'
L' B2 R2 L F' U'
F' B2 L F R2 U'
L' B2 R2 F' L U'
B2 F2 L R2 F U'
F2 B2 L R2 F U'
B2 F2 L F R2 U'
F2 B2 L F R2 U'
F B2 L R2 F U'
F B2 L F R2 U'
L B2 R2 F L U'
F' B2 R2 L F U'
B2 F2 R2 L F U'
F2 B2 R2 L F U'
R2 B2 U2 R B U
F B2 R2 L F U'
L B2 F L R2 U'
L B2 F R2 L U'
B2 F2 R2 F2 L F U'
F2 B2 R2 F L F U'
F2 B2 R2 F' L F U'
F2 B2 R2 F2 L F U'
R2 B2 U' F D R F'
F B2 R2 L D F U'
F B2 R2 L D' F U'
F B2 R2 L D2 F U'
F B2 R2 L F U' D
F B2 R2 L F U' D'
F B2 R2 L F U' D2
F B2 R2 L F D U'
F B2 R2 L F D' U'
F B2 R2 L F D2 U'
R2 B2 U2 R D B U
R2 B2 U2 R D' B U
R2 B2 U2 R D2 B U
R2 B2 U2 R B U D
R2 B2 U2 R B U D'
R2 B2 U2 R B U D2
R2 B2 U2 R B D U
R2 B2 U2 R B D' U
R2 B2 U2 R B D2 U
R2 B2 U2 D R B U
R2 B2 U2 D' R B U
R2 B2 U2 D2 R B U
F B2 R2 D L F U'
F B2 R2 D' L F U'
F B2 R2 D2 L F U'
F B2 R2 F L F U'
R2 B2 U2 B R B U
F B2 R2 F' L F U'
R2 B2 U2 B' R B U
F B2 R2 F2 L F U'
R2 B2 U2 B2 R B U
R2 B2 D U2 R B U
U' B2 F L R2 U' R'
F' B2 D L F U' B2
L B2 D F L U' B2
U' B2 F R2 L U' R'
R2 B2 D' U2 R B U
B2 F2 D L F U' B2
L' B2 F L R2 F' U'
F2 B2 D L F U' B2
L' B2 F R2 L F' U'
L' B2 F R2 F' L U'
R2 B2 D2 U2 R B U
L' B2 F' L R2 F' U'
L' B2 F' R2 L F' U'
L' B2 F' R2 F' L U'
R2 B2 F L F L' U'
F B2 D L F U' B2
L' B2 F2 L R2 F' U'
L' B2 F2 R2 L F' U'
L' B2 F2 R2 F' L U'
L B2 F L R2 U' D
L B2 F L R2 U' D'
L B2 F L R2 U' D2
L B2 F L R2 D U'
L B2 F L R2 D' U'
L B2 F L R2 D2 U'
L B2 F L U' D B2
L B2 F L D U' B2
L B2 F R2 L U' D
L B2 F R2 L U' D'
L B2 F R2 L U' D2
L B2 F R2 L D U'
L B2 F R2 L D' U'
L B2 F R2 L D2 U'
L B2 F R2 D L U'
L B2 F R2 D' L U'
L B2 F R2 D2 L U'
L B2 F D L U' B2
L B2 F' L R2 F2 U'
R2 B2 F2 L F L2 U'
L B2 F' L F2 R2 U'
R2 B2 F2 L' U2 B' U
L B2 F' R2 L F2 U'
L B2 F' R2 F2 L U'
L B2 F2 L F' R2 U'
