U L' D R2 F
U L' D F R2
U2 L F2 U' L2 F
U L' R D R2 F
U L' R D F R2
U L' R' D R2 F
U L' R' D F R2
U L' R2 D R2 F
U L' R2 D R2 F
U L' R2 D F R2
U L' U F2 U' F'
U' L' D F R2 B
U L' D R' F R'
U L' D R2 D F
U L' D R2 D' F
U L' D R2 D2 F
U L' D R2 F D
U L' D R2 F D'
U L' D R2 F D2
U L' D F R2 D
U L' D F R2 D'
U L' D F R2 D2
U L' D F' R2 F2
U L' D' F D2 R2
U L' D2 F D' R2
U L' F U F U'
U L2 D L R2 F
U L2 D L F R2
U L2 D R2 L F
R' U L' D R2 F
R' U L' D F R2
R2 U L' D R2 F
R2 U L' D F R2
R U L' D R2 F
R U L' D F R2
U R L' D R2 F
U R L' D F R2
D2 R B2 U L' F'
U R' L' D R2 F
U R' L' D F R2
U R2 L' D R2 F
U R2 L' D F R2
B' U L' D R2 F
B' U L' D F R2
B2 U L' D R2 F
B2 U L' D F R2
B U L' D R2 F
B U L' D F R2
U D R2 D' L' F
D U R2 D' L' F
L2 D' L F B2 R'
L2 D' L B2 R' F
L2 D' L B2 F R'
L F2 R U' L2 F
U2 F2 U' F2 L' F
D2 B2 R U L' F'
D2 B2 U D2 L' F
D2 B2 D2 U L' F
D2 B' D2 B' U L' F
U2 B' F2 U' F2 L' F
U' B2 L' D F R2 B
U2 B2 L F2 U' L2 F
D2 B2 R U L F' L2
D2 B2 R U L' D F'
D2 B2 R U L' D' F'
D2 B2 R U L' D2 F'
D2 B2 R U L' F' D
D2 B2 R U L' F' D'
D2 B2 R U L' F' D2
D2 B2 R U L2 F' L
D2 B2 R U D L' F'
D2 B2 R U D' L' F'
D2 B2 R U D2 L' F'
D2 B2 R D U L' F'
D2 B2 R D' U L' F'
D2 B2 R D2 U L' F'
L' B2 R D R2 F B2
L' B2 R D R2 B2 F
L' B2 R D F R2 B2
L' B2 R D F B2 R2
L' B2 R D B2 R2 F
L' B2 R D B2 F R2
D2 B2 R' U' B U2 L'
U B2 L' B2 D R2 F
U B2 L' B2 D F R2
R' B2 U L' D R2 F
R' B2 U L' D F R2
D2 B2 U L' R F' R'
D2 B2 U R L' F' R'
D2 B2 U D2 L' D F
D2 B2 U D2 L' D' F
D2 B2 U D2 L' D2 F
D2 B2 U D2 L' F D
D2 B2 U D2 L' F D'
D2 B2 U D2 L' F D2
L' B2 U R' F2 U' F'
D2 B2 U' R U2 L' F'
D2 B2 U' R' B U2 L'
R2 B2 U L' D R2 F
R2 B2 U L' D F R2
U' B2 U2 L' D R2 F
U' B2 U2 L' D F R2
U2 B2 U' L' D R2 F
U2 B2 U' L' D F R2
D B2 U R2 D' L' F
R B2 U L' D R2 F
R B2 U L' D F R2
D2 B2 D2 R U L' F
D2 B2 D2 R' U L' F
D2 B2 D2 R2 U L' F
D2 B2 D2 U L' D F
D2 B2 D2 U L' D' F
D2 B2 D2 U L' D2 F
D2 B2 D2 U L' F D
D2 B2 D2 U L' F D'
D2 B2 D2 U L' F D2
L' B2 F U R' F U'
L' B2 F U F R' U'
D2 B2 F2 U' R U2 F'
U2 B2 F2 U' F2 L' F
