F2 U B U F
F2 L2 B' U B2 U
F2 L2 B' U2 D' R2
F2 L2 B' D L2 U2
F2 L2 B' D' U2 R2
D' U L2 B U F'
F2 U R' U F R
F2 U D B U F
F2 U D' B U F
F2 U D2 B U F
D' U B L2 U F'
D2 U B U F' B
D2 U B U B F'
F2 U B R U F
F2 U B R' U F
F2 U B R2 U F
F2 U B U D F
F2 U B U D' F
F2 U B U D2 F
F2 U B U F D
F2 U B U F D'
F2 U B U F D2
F2 U B D U F
F2 U B D' U F
F2 U B D2 U F
U D' L2 B U F'
U D' B L2 U F'
U D2 B U F' B
U D2 B U B F'
F2 U2 R2 F D R2
F2 U2 F U' B U
B' U2 F' D' R2 B
F2 D U B U F
U2 F' B' D' R2 B
F2 D' U B U F
L' F2 U B U F
L2 F2 U B U F
L F2 U B U F
F2 D2 U B U F
U B U D2 F' B2
U B U D2 B2 F'
U B U' F2 U2 F
U B D' L2 U F'
U B D2 U F' B2
U B D2 U B2 F'
F2 B' U B2 U F
U2 B' F' D' R2 B
F2 B' U2 D' R2 F
F2 B' U2 D' F R2
F2 B' U2 F D' R2
F2 B' D L2 B' U2
F2 B' D' U2 R2 F
F2 B' D' U2 F R2
B' F2 U B2 U F
B2 F2 U B' U F
F2 B2 U B' U F
B' F2 U2 D' R2 F
B' F2 U2 D' F R2
B' F2 U2 F D' R2
B' F2 D L2 B' U2
B' F2 D' U2 R2 F
B' F2 D' U2 F R2
U B U D2 B2 D' F'
U B U D2 B2 D2 F'
U B U D2 B2 F' D
U B U D2 B2 F' D'
U B U D2 B2 F' D2
U B U F' R2 B R2
U B U F' U2 F' U2
U B U B D2 F' B2
U B U B D2 B2 F'
U B U B' D2 F' B2
U B U B' D2 B2 F'
U B U B2 D2 F' B2
U B U B2 D2 B2 F'
F D2 B2 F U B' U
U' B D' L2 F U F2
U B U' F2 U2 D F
U B U' F2 U2 D' F
U B U' F2 U2 D2 F
U B U' F2 U2 F D
U B U' F2 U2 F D'
U B U' F2 U2 F D2
U B U' F2 D U2 F
U B U' F2 D' U2 F
U B U' F2 D2 U2 F
U B U' F2 B U2 F
U B U' F2 B' U2 F
U B U' F2 B2 U2 F
U B U' B F2 U2 F
U B U' B' F2 U2 F
U B U' B2 F2 U2 F
F2 B L2 B' U B U
U2 B D' L2 U L2 F'
U2 B D' L2 U F' L2
U B D U F' D B2
U B D' L2 U D F'
U B D' L2 U D' F'
U B D' L2 U D2 F'
U B D' L2 U F' D
U B D' L2 U F' D'
U B D' L2 U F' D2
U B D' L2 D U F'
U B D' L2 D' U F'
U B D' L2 D2 U F'
U2 B D2 F' B2 D' R2
U B D' U F' D' B2
U2 B D2 B2 D' F' R2
U2 B D2 B2 F' D' R2
U B D2 L U F' B2
U B D2 L U B2 F'
U B D2 L' U F' B2
U B D2 L' U B2 F'
U B D2 L2 U F' B2
U B D2 L2 U B2 F'
U B D2 U F' B2 D
U B D2 U F' B2 D'
U B D2 U F' B2 D2
U B D2 U B2 D F'
U B D2 U B2 D' F'
U B D2 U B2 D2 F'
U B D2 U B2 F' D
U B D2 U B2 F' D'
U B D2 U B2 F' D2
F2 B U R U R' F
F2 B U R U F R'
F2 B U R' U R F
F2 B U R2 U R2 F
F2 B U R2 U F R2
R2 B F2 R2 U' F U'
B' F U2 F2 D' R2 B
F2 B U2 F U F' U'
F2 B U2 F2 D F' R2
B F U2 F2 D R2 B
F B U2 F2 D R2 B
D' B' U L2 B2 U F'
D2 B' U B2 U F' B
D2 B' U B2 U B F'
D' B' U B2 L2 U F'
F2 B' L2 D L2 U2 F
F2 B' L2 D B' L2 U2
F2 B' L2 D' B' U2 R2
D2 B' U2 D' F' R2 B'
D2 B' U2 D' F' B' R2
D2 B' U2 D' B' F' R2
F2 B' L2 B' U B' U
D' B' U2 D' F' R2 B2
D' B' U2 D' F' B2 R2
D' B' U2 D' B2 F' R2
D2 B' U2 F' D' R2 B'
D2 B' U2 F' D' B' R2
D' B' U2 F' D' R2 B2
D' B' U2 F' D' B2 R2
L' B' U2 F' D' R2 B
U B' U F' D' R2 B
D2 B' D L2 F U2 F2
D' B' D L2 F2 U2 F
L2 B' U2 F' D' R2 B
D' B' D F2 L2 B' U2
D B' U2 D' F' R2 B
D2 B' D' U2 F' R2 B'
D2 B' D' U2 F' B' R2
D2 B' D' U2 B' F' R2
D' B' D' U2 F' R2 B2
D' B' D' U2 F' B2 R2
D' B' D' U2 B2 F' R2
D B' D L2 U2 F' B2
D B' D L2 U2 B2 F'
L B' U2 F' D' R2 B
U2 B' D' F' R2 D' B2
F2 B' U R B2 U F
F2 B' U R' B2 U F
F2 B' U R2 B2 U F
D B' D' U2 F' R2 B
D B' D' F2 U2 R2 F
D B' D' F2 U2 F R2
U B' D' L2 U F' R2
F2 B' U B2 R U F
F2 B' U B2 R' U F
F2 B' U B2 R2 U F
F2 B' U B2 U D F
F2 B' U B2 U D' F
F2 B' U B2 U D2 F
F2 B' U B2 U F D
F2 B' U B2 U F D'
F2 B' U B2 U F D2
F2 B' U B2 D U F
F2 B' U B2 D' U F
F2 B' U B2 D2 U F
U2 B' D2 B2 D F' R2
F2 B' U' D2 F2 U' F'
F2 B' U2 R D' R2 F
F2 B' U2 R D' F R2
F2 B' U2 R F D' R2
F2 B' U2 R' D' R2 F
F2 B' U2 R' D' F R2
F2 B' U2 R' F D' R2
F2 B' U2 R2 D' R2 F
F2 B' U2 R2 D' F R2
F2 B' U2 R2 F D' R2
B' F' D L2 F' U2 F
F2 B' U2 D F D2 R2
U2 B' F' R2 D' B R2
F2 B' U2 D' R' F R'
F2 B' U2 D' R2 D F
F2 B' U2 D' R2 D' F
F2 B' U2 D' R2 D2 F
F2 B' U2 D' R2 F D
F2 B' U2 D' R2 F D'
F2 B' U2 D' R2 F D2
F2 B' U2 D' F R2 D
F2 B' U2 D' F R2 D'
F2 B' U2 D' F R2 D2
F2 B' U2 D' F' R2 F2
F2 B' U2 F R D' R2
F2 B' U2 F R' D' R2
F2 B' U2 F R2 D' R2
F2 B' U2 F U' B2 U
F2 B' U2 F D' R2 D
F2 B' U2 F D' R2 D'
F2 B' U2 F D' R2 D2
L' B' F2 U B2 U F
F2 B' U2 F2 D' F' R2
U2 B' F' D' R2 D B
U2 B' F' D' R2 D' B
U2 B' F' D' R2 D2 B
U2 B' F' D' R2 B D
U2 B' F' D' R2 B D'
U2 B' F' D' R2 B D2
L' B' F2 U2 D' R2 F
L' B' F2 U2 D' F R2
U2 B' F' D' B R2 B
U2 B' F' D' B' R2 B
L' B' F2 U2 F D' R2
U2 B' F' D' B2 R2 B
F' B' D L2 F' U2 F
L' B' F2 D L2 B' U2
B' F' D F' L2 B' U2
L' B' F2 D' U2 R2 F
L' B' F2 D' U2 F R2
F2 B' D L2 D B' U2
F2 B' D L2 D' B' U2
F2 B' D L2 D2 B' U2
F2 B' D L2 B' U2 D
F2 B' D L2 B' U2 D'
F2 B' D L2 B' U2 D2
F2 B' D L2 B' D U2
F2 B' D L2 B' D' U2
F2 B' D L2 B' D2 U2
F' B' D F' L2 B' U2
L2 B' F2 U B2 U F
L2 B' F2 U2 D' R2 F
L2 B' F2 U2 D' F R2
L2 B' F2 U2 F D' R2
L2 B' F2 D L2 B' U2
F2 B' D U2 F D2 R2
B' F' D' R2 D2 L2 B
B' F' D' R2 D2 B L2
L2 B' F2 D' U2 R2 F
L2 B' F2 D' U2 F R2
B' F' D' R2 B D2 L2
U2 B' F2 D' F R2 B
F2 B' D B L2 B' U2
F2 B' D B' L2 B' U2
B' F' D' F' U2 R2 F
B' F' D' F' U2 F R2
F2 B' D B2 L2 B' U2
F' B' D' R2 D2 L2 B
F' B' D' R2 D2 B L2
F' B' D' R2 B D2 L2
F2 B' D' L2 B' U2 R2
F B' U2 F2 D' R2 B
F' B' D' F' U2 R2 F
F' B' D' F' U2 F R2
F2 B' D' U2 R' F R'
F2 B' D' U2 R2 D F
F2 B' D' U2 R2 D' F
F2 B' D' U2 R2 D2 F
F2 B' D' U2 R2 F D
F2 B' D' U2 R2 F D'
F2 B' D' U2 R2 F D2
F2 B' D' U2 F R2 D
F2 B' D' U2 F R2 D'
F2 B' D' U2 F R2 D2
F2 B' D' U2 F' R2 F2
L B' F2 U B2 U F
F2 B' D' B U2 R2 F
F2 B' D' B U2 F R2
L B' F2 U2 D' R2 F
L B' F2 U2 D' F R2
L B' F2 U2 F D' R2
F2 B' D' B' U2 R2 F
F2 B' D' B' U2 F R2
L B' F2 D L2 B' U2
F2 B' D' B2 U2 R2 F
F2 B' D' B2 U2 F R2
L B' F2 D' U2 R2 F
L B' F2 D' U2 F R2
F2 B' D2 U' F2 U' F'
B' F2 L2 D L2 U2 F
B' F2 L2 D B' L2 U2
B' F2 L2 D' B' U2 R2
B' F2 L2 B' U B' U
B2 F2 L2 B' U' F U'
F2 B2 L2 B' U' F U'
B F2 L2 B' U B U
D' B2 U B' L2 U F'
B' F2 U R B2 U F
B' F2 U R' B2 U F
B' F2 U R2 B2 U F
B' F2 U B2 R U F
B' F2 U B2 R' U F
B' F2 U B2 R2 U F
B' F2 U B2 U D F
B' F2 U B2 U D' F
B' F2 U B2 U D2 F
B' F2 U B2 U F D
B' F2 U B2 U F D'
B' F2 U B2 U F D2
B' F2 U B2 D U F
B' F2 U B2 D' U F
B' F2 U B2 D2 U F
B2 F2 U R B' U F
B2 F2 U R' B' U F
B2 F2 U R2 B' U F
F2 B2 U R B' U F
B2 F2 U D B' U F
F2 B2 U R' B' U F
B2 F2 U D' B' U F
F2 B2 U R2 B' U F
B2 F2 U D2 B' U F
F2 B2 U D B' U F
F2 B2 U D' B' U F
F2 B2 U D2 B' U F
B' F2 U' D2 F2 U' F'
B2 F2 U B' R U F
B2 F2 U B' R' U F
B2 F2 U B' R2 U F
B2 F2 U B' U D F
B2 F2 U B' U D' F
B2 F2 U B' U D2 F
B2 F2 U B' U F D
B2 F2 U B' U F D'
B2 F2 U B' U F D2
B2 F2 U B' D U F
B2 F2 U B' D' U F
B2 F2 U B' D2 U F
F2 B2 U B' R U F
F2 B2 U B' R' U F
F2 B2 U B' R2 U F
F2 B2 U B' U D F
F2 B2 U B' U D' F
F2 B2 U B' U D2 F
F2 B2 U B' U F D
F2 B2 U B' U F D'
F2 B2 U B' U F D2
F2 B2 U B' D U F
F2 B2 U B' D' U F
F2 B2 U B' D2 U F
B F2 U R U R' F
B F2 U R U F R'
B F2 U R' U R F
B F2 U R2 U R2 F
B F2 U R2 U F R2
B' F2 U2 R D' R2 F
B' F2 U2 R D' F R2
B' F2 U2 R F D' R2
B' F2 U2 R' D' R2 F
B' F2 U2 R' D' F R2
B' F2 U2 R' F D' R2
B' F2 U2 R2 D' R2 F
B' F2 U2 R2 D' F R2
B' F2 U2 R2 F D' R2
B' F2 U2 D F D2 R2
B' F2 U2 D' R' F R'
B' F2 U2 D' R2 D F
B' F2 U2 D' R2 D' F
B' F2 U2 D' R2 D2 F
B' F2 U2 D' R2 F D
B' F2 U2 D' R2 F D'
B' F2 U2 D' R2 F D2
B' F2 U2 D' F R2 D
B' F2 U2 D' F R2 D'
B' F2 U2 D' F R2 D2
B' F2 U2 D' F' R2 F2
B' F2 U2 F R D' R2
B' F2 U2 F R' D' R2
B' F2 U2 F R2 D' R2
B' F2 U2 F U' B2 U
B' F2 U2 F D' R2 D
B' F2 U2 F D' R2 D'
B' F2 U2 F D' R2 D2
B' F2 U2 F2 D' F' R2
B' F2 D L2 D B' U2
B' F2 D L2 D' B' U2
B' F2 D L2 D2 B' U2
B' F2 D L2 B' U2 D
B' F2 D L2 B' U2 D'
B' F2 D L2 B' U2 D2
B' F2 D L2 B' D U2
B' F2 D L2 B' D' U2
B' F2 D L2 B' D2 U2
B2 F2 U2 F U' B' U
F2 B2 U2 F U' B' U
B' F2 D U2 F D2 R2
B' F2 D B L2 B' U2
B' F2 D B' L2 B' U2
B' F2 D B2 L2 B' U2
B' F2 D' L2 B' U2 R2
B2 F2 D U B' U F
B F2 U2 F U F' U'
F2 B2 D U B' U F
B F2 U2 F2 D F' R2
B' F2 D' U2 R' F R'
B' F2 D' U2 R2 D F
B' F2 D' U2 R2 D' F
B' F2 D' U2 R2 D2 F
B' F2 D' U2 R2 F D
B' F2 D' U2 R2 F D'
B' F2 D' U2 R2 F D2
B' F2 D' U2 F R2 D
B' F2 D' U2 F R2 D'
B' F2 D' U2 F R2 D2
B' F2 D' U2 F' R2 F2
B' F2 D' B U2 R2 F
B' F2 D' B U2 F R2
B' F2 D' B' U2 R2 F
B' F2 D' B' U2 F R2
B' F2 D' B2 U2 R2 F
B' F2 D' B2 U2 F R2
U B2 D' B' L2 U F'
B2 F2 D' U B' U F
F2 B2 D' U B' U F
B' F2 D2 U' F2 U' F'
U2 B2 F' R2 B D' R2
U B2 D2 B' U F' B'
U B2 D2 B' U B' F'
L' B2 F2 U B' U F
B2 F2 D2 U B' U F
F2 B2 D2 U B' U F
L2 B2 F2 U B' U F
L B2 F2 U B' U F
