U B2 L' R'
U B2 R' L'
U' L U2 L2 B2
U' L U2 B2 L2
U L' B2 D2 R2
U R B2 L' R'
U R B2 R' L'
U R' B2 L' R'
U R' B2 R' L'
U R2 B2 L' R'
U R2 B2 R' L'
B U L' B R'
B U B L' R'
B U B R' L'
U B L' B R'
U B2 L' R' D
U B2 L' R' D'
U B2 L' R' D2
U B2 L' D R'
U B2 L' D' R'
U B2 L' D2 R'
U B2 R' L' D
U B2 R' L' D'
U B2 R' L' D2
U B2 R' D L'
U B2 R' D' L'
U B2 R' D2 L'
U B2 D L' R'
U B2 D R' L'
U B2 D' L' R'
U B2 D' R' L'
U B2 D2 L' R'
U B2 D2 R' L'
U' L2 U2 L2 B2 R' L'
U L2 U2 L' U2 L2 B2
U L2 U2 L' U2 B2 L2
D L2 U2 F2 U' L R
D L2 U2 F2 U' R L
D L2 D U L D2 R2
D L2 D U' L' U2 L2
D L2 D F2 U L R
D L2 D F2 U R L
L' R2 B2 D' F2 D' R2
L' R2 B2 D2 R2 D F2
D L2 D' U L D2 R2
L2 U L R B2 D2 R2
D L2 D' U' L' U2 L2
L2 U L R' B2 D2 R2
L2 U L R2 B2 D2 R2
L2 U L U2 L2 U2 B2
D L2 D' F2 U L R
D L2 D' F2 U R L
U' L2 D2 L' F2 U2 L2
L2 U L D2 R2 D2 B2
L' U L B2 R' D L2
L' U L B2 D L2 R'
L' U L B2 D R' L2
L2 U L B D2 B R2
U L2 D2 L D2 R2 B2
L2 U L B' D2 R2 B'
U L2 D2 L D2 B2 R2
L2 U L B' D2 B' R2
L2 U L B2 R D2 R2
L2 U L B2 R' D2 R2
L2 U L B2 R2 D2 R2
L2 U L B2 U2 L2 U2
L2 U L B2 D2 R2 D
L2 U L B2 D2 R2 D'
L2 U L B2 D2 R2 D2
D L2 D2 U L D2 R2
U' L2 D2 F2 U2 L R
U' L2 D2 F2 U2 R L
D L2 D2 U' L' U2 L2
D L2 D2 F2 U L R
D L2 D2 F2 U R L
L2 U L' B2 L2 D2 R2
B L2 F U L B R'
L2 U L2 R B2 L' R'
L2 U L2 R B2 R' L'
L2 U L2 R' B2 L' R'
L2 U L2 R' B2 R' L'
L U L' B2 L' D' R2
L U L' B2 D' L' R2
L U L' B2 D' R2 L'
L2 U L2 R2 B2 L' R'
L2 U L2 R2 B2 R' L'
L U L2 R B2 D' R2
L U L2 R' B2 D' R2
L U L2 R2 B2 D' R2
L2 U L2 B L' B R'
R' U R U B2 L' R'
R' U R U B2 R' L'
L2 U L2 B2 L' R' D
L2 U L2 B2 L' R' D'
L2 U L2 B2 L' R' D2
L2 U L2 B2 L' D R'
L2 U L2 B2 L' D' R'
L2 U L2 B2 L' D2 R'
L2 U L2 B2 R' L' D
L2 U L2 B2 R' L' D'
L2 U L2 B2 R' L' D2
L2 U L2 B2 R' D L'
L2 U L2 B2 R' D' L'
L2 U L2 B2 R' D2 L'
L2 U L2 B2 D L' R'
L2 U L2 B2 D R' L'
L2 U L2 B2 D' L' R'
L2 U L2 B2 D' R' L'
L2 U L2 B2 D2 L' R'
L2 U L2 B2 D2 R' L'
B L2 F' U L B R'
L2 U R L B2 D2 R2
L U L2 B2 R D' R2
L2 U R L2 B2 L' R'
L2 U R L2 B2 R' L'
L U L2 B2 R' D' R2
L U L2 B2 R2 D' R2
L U L2 B2 U' B2 U
L U L2 B2 D' R2 D
L U L2 B2 D' R2 D'
L U L2 B2 D' R2 D2
L U R L2 B2 D' R2
U' L2 F2 U2 L R B2
U' L2 F2 U2 L B2 R
U' L2 F2 U2 R L B2
F2 L2 F2 U L' R B2
F2 L2 F2 U L' B2 R
F2 L2 F2 U R L' B2
F2 L2 F2 U R B2 L'
F2 L2 F2 U B2 L' R
F2 L2 F2 U B2 R L'
U L2 F2 L R F2 B2
U L2 F2 L R B2 F2
U L2 F2 L B2 R F2
D L2 F2 U L R D
D L2 F2 U L R D'
D L2 F2 U L R D2
D L2 F2 U L D R
D L2 F2 U L D' R
D L2 F2 U L D2 R
D L2 F2 U R L D
D L2 F2 U R L D'
D L2 F2 U R L D2
D L2 F2 U R D L
D L2 F2 U R D' L
D L2 F2 U R D2 L
D L2 F2 U D L R
D L2 F2 U D R L
D L2 F2 U D' L R
D L2 F2 U D' R L
D L2 F2 U D2 L R
D L2 F2 U D2 R L
B L2 F2 U L B R'
L2 U R' L B2 D2 R2
U L2 F2 R L F2 B2
U L2 F2 R L B2 F2
L2 U R' L2 B2 L' R'
L2 U R' L2 B2 R' L'
U L2 F2 R F2 L B2
L U R B2 L2 D' R2
D L2 F2 D U L R
D L2 F2 D U R L
D L2 F2 D' U L R
D L2 F2 D' U R L
D L2 F2 D2 U L R
D L2 F2 D2 U R L
L U R' L2 B2 D' R2
R U R' U B2 L' R'
R U R' U B2 R' L'
L2 U R2 L B2 D2 R2
L2 U R2 L2 B2 L' R'
L2 U R2 L2 B2 R' L'
L U R' B2 L2 D' R2
R2 U R2 U B2 L' R'
R2 U R2 U B2 R' L'
L U R2 L2 B2 D' R2
L U R2 B2 L2 D' R2
L U D L2 F2 U F2
L U D F2 L2 U F2
B2 L2 B2 U B2 L R'
B2 L2 B2 U B2 R' L
D L2 B2 U' L' R' U2
D L2 B2 U' R' L' U2
U' R L U2 L' B2 L'
U' R L U2 L2 B2 D
U' R L U2 L2 B2 D'
U' R L U2 L2 B2 D2
U' R L U2 B L2 B
U' R L U2 B2 L2 D
U' R L U2 B2 L2 D'
U' R L U2 B2 L2 D2
F2 R L U R' U B2
U L2 B2 U2 L' R' U2
U L2 B2 U2 R' L' U2
U' R L D2 R2 F2 U2
U' R L D2 F2 R2 U2
U' R L F U2 L2 B2
U' R L F U2 B2 L2
L2 U D2 L D2 R2 B2
L2 U D2 L D2 B2 R2
U' R L F' U2 L2 B2
U' R L F' U2 B2 L2
U' R L F2 U2 L2 B2
U' R L F2 U2 B2 L2
B2 R L' U' R' U R'
U R L B2 L2 D2 R2
U' R L' B2 D2 R2 F2
U' R L' B2 D2 F2 R2
U R L' U2 L2 U2 B2
U R L' D2 R2 D2 B2
L U F U L2 F' B2
L U F U L2 B2 F'
L U F U F' L2 B2
L U F U F' B2 L2
L U F U B2 L2 F'
L U F U B2 F' L2
U R L' B D2 B R2
U R L' B' D2 R2 B'
U R L' B' D2 B' R2
U R L' B2 R D2 R2
U R L' B2 R' D2 R2
U R L' B2 R2 D2 R2
U R L' B2 U2 L2 U2
U R L' B2 D2 R2 D
U R L' B2 D2 R2 D'
U R L' B2 D2 R2 D2
U2 R U L U2 L2 B2
U2 R U L U2 B2 L2
F2 R U R' U B2 R'
L U F' U F L2 B2
L U F' U F B2 L2
L U F' U B2 F L2
L2 U F2 L R F2 B2
L2 U F2 L R B2 F2
L2 U F2 L B2 R F2
L2 U F2 R L F2 B2
L2 U F2 R L B2 F2
L2 U F2 R F2 L B2
U2 R U' L' B2 D2 R2
B2 R U' R' U L' R'
B2 R U' R' U R' L'
U2 R U' R B2 L' R'
U2 R U' R B2 R' L'
L U F2 U L2 F2 B2
L U F2 U L2 B2 F2
U2 R U' R' B2 L' R'
U2 R U' R' B2 R' L'
L U F2 U F2 L2 B2
L U F2 U F2 B2 L2
L U F2 U B2 L2 F2
L U F2 U B2 F2 L2
U2 R U' R2 B2 L' R'
U2 R U' R2 B2 R' L'
U2 R U' B L' B R'
U' R U2 L' B2 D2 R2
U2 R U' B2 L' R' D
U2 R U' B2 L' R' D'
U2 R U' B2 L' R' D2
U2 R U' B2 L' D R'
U2 R U' B2 L' D' R'
U2 R U' B2 L' D2 R'
U2 R U' B2 R' L' D
U2 R U' B2 R' L' D'
U2 R U' B2 R' L' D2
U2 R U' B2 R' D L'
U2 R U' B2 R' D' L'
U2 R U' B2 R' D2 L'
U2 R U' B2 D L' R'
U2 R U' B2 D R' L'
U2 R U' B2 D' L' R'
U2 R U' B2 D' R' L'
U2 R U' B2 D2 L' R'
U2 R U' B2 D2 R' L'
U' R U2 R B2 L' R'
U' R U2 R B2 R' L'
U' R U2 R' B2 L' R'
U' R U2 R' B2 R' L'
U' R U2 R2 B2 L' R'
U' R U2 R2 B2 R' L'
U R U2 L U2 L2 B2
U R U2 L U2 B2 L2
U' R U2 B L' B R'
U' R U2 B2 L' R' D
U' R U2 B2 L' R' D'
U' R U2 B2 L' R' D2
U' R U2 B2 L' D R'
U' R U2 B2 L' D' R'
U' R U2 B2 L' D2 R'
U' R U2 B2 R' L' D
U' R U2 B2 R' L' D'
U' R U2 B2 R' L' D2
U' R U2 B2 R' D L'
U' R U2 B2 R' D' L'
U' R U2 B2 R' D2 L'
U' R U2 B2 D L' R'
U' R U2 B2 D R' L'
U' R U2 B2 D' L' R'
U' R U2 B2 D' R' L'
U' R U2 B2 D2 L' R'
U' R U2 B2 D2 R' L'
R' U B2 L' R' D' F2
R' U B2 R' L' D' F2
R' U B2 R' D' L' F2
R2 U B2 L' D' R' F2
R2 U B2 L' D' F2 R'
L' U B2 D L2 D R2
L U B2 L D' L R2
L U B2 L D' R2 L
L' U B2 D2 R2 D' L2
L U B2 L' D' L' R2
L U B2 L' D' R2 L'
L U B2 L2 R D' R2
L U B2 L2 R' D' R2
L U B2 L2 R2 D' R2
L U B2 L2 U' B2 U
L U B2 L2 D' R2 D
L U B2 L2 D' R2 D'
L U B2 L2 D' R2 D2
R U B2 L' R' D F2
R U B2 L' D R' F2
R U B2 L' D F2 R'
L U B2 R L2 D' R2
L2 U B2 U2 L' R' U2
L2 U B2 U2 R' L' U2
L U B2 R' L2 D' R2
L U B2 R2 L2 D' R2
R U B2 R' L' D F2
R2 U B2 D' L' R' F2
R2 U B2 D' L' F2 R'
L U B2 U' B2 U L2
R2 U B2 D' R' L' F2
L U B2 D' R2 D L2
U' R D2 L F2 U2 L2
U' R D2 F2 L R U2
U' R D2 F2 R L U2
L2 U' L B2 D2 R2 F2
L2 U' L B2 D2 F2 R2
L2 U' L' R U2 L2 B2
L2 U' L' R U2 B2 L2
L2 U' L' R' U2 L2 B2
U R D2 L' D2 R2 B2
L2 U' L' R' U2 B2 L2
U R D2 L' D2 B2 R2
L2 U' L' R2 U2 L2 B2
L2 U' L' R2 U2 B2 L2
L2 U' L' U2 L' B2 L'
L2 U' L' U2 L2 B2 D
L2 U' L' U2 L2 B2 D'
L2 U' L' U2 L2 B2 D2
L2 U' L' U2 B L2 B
L2 U' L' U2 B2 L2 D
L2 U' L' U2 B2 L2 D'
L2 U' L' U2 B2 L2 D2
L2 U' L' D2 R2 F2 U2
L2 U' L' D2 F2 R2 U2
L2 U' L' F U2 L2 B2
L2 U' L' F U2 B2 L2
L2 U' L' F' U2 L2 B2
L2 U' L' F' U2 B2 L2
L2 U' L' F2 U2 L2 B2
L2 U' L' F2 U2 B2 L2
L' U' L2 U2 B2 D L2
L2 U' L2 U2 B2 L' R'
L2 U' L2 U2 B2 R' L'
R' U' R U B2 L' R'
R' U' R U B2 R' L'
L2 U' R L' U2 L2 B2
L2 U' R L' U2 B2 L2
U' R F2 L R U2 B2
U' R F2 R L U2 B2
U' R F2 R U2 B2 R'
U R F' B2 R' F L'
L2 U' R' L' U2 L2 B2
L2 U' R' L' U2 B2 L2
R U' R' U B2 L' R'
R U' R' U B2 R' L'
U2 R B U' L' B R'
U2 R B U' B L' R'
U2 R B U' B R' L'
L2 U' R2 L' U2 L2 B2
L2 U' R2 L' U2 B2 L2
U R B L B L2 R'
U R B L B R' L2
U R B L' B R' D
U R B L' B R' D'
U R B L' B R' D2
U R B L' B D R'
U R B L' B D' R'
U R B L' B D2 R'
R2 U' R2 U B2 L' R'
R2 U' R2 U B2 R' L'
B' R B' R' D L' F
B' R B' D L' R' F
B' R B' D L' F R'
B' R B' D R' L' F
U' R B2 L' R' D2 F2
U R B' R B' L' R'
U R B' R B' R' L'
U' R B2 L' D2 R' F2
U' R B2 L' D2 F2 R'
U R B' R' B' L' R'
U R B' R' B' R' L'
U R B' R2 B' L' R'
U R B' R2 B' R' L'
U' R B2 R' L' D2 F2
U' R B2 R' D2 L' F2
U R B' D B' L' R'
U R B' D B' R' L'
U R B' D' B' L' R'
U R B' D' B' R' L'
U R B' D2 B' L' R'
U R B' D2 B' R' L'
U' R B2 D2 L' R' F2
U' R B2 D2 L' F2 R'
U' R B2 D2 R' L' F2
U R B2 L' R2 D R
U R B2 L' R2 D' R
U R B2 L' R2 D2 R
U R B2 L' D R' D
U R B2 L' D R' D'
U R B2 L' D R' D2
U R B2 L' D' R' D
U R B2 L' D' R' D'
U R B2 L' D' R' D2
U R B2 L' D2 R' D
U R B2 L' D2 R' D'
U R B2 L' D2 R' D2
U R B2 L' F' R' F
U R B2 L' F2 R' F2
U R B2 L2 R' D L
U R B2 L2 R' D' L
U R B2 L2 R' D2 L
U R B2 L2 D L R'
U R B2 L2 D R' L
U R B2 L2 D' L R'
U R B2 L2 D' R' L
U R B2 L2 D2 L R'
U R B2 L2 D2 R' L
U R B2 R' L2 D L
U R B2 R' L2 D' L
U R B2 R' L2 D2 L
U R B2 R' D L' D
U R B2 R' D L' D'
U R B2 R' D L' D2
U R B2 R' D' L' D
U R B2 R' D' L' D'
U R B2 R' D' L' D2
U R B2 R' D2 L' D
U R B2 R' D2 L' D'
U R B2 R' D2 L' D2
U' R' L U2 L' B2 L'
U' R' L U2 L2 B2 D
U' R' L U2 L2 B2 D'
U' R' L U2 L2 B2 D2
U R B2 R' B' L' B
U R B2 R' B2 L' B2
U R B2 R2 L' D R
U R B2 R2 L' D' R
U R B2 R2 L' D2 R
U' R' L U2 B L2 B
U' R' L U2 B2 L2 D
U' R' L U2 B2 L2 D'
U' R' L U2 B2 L2 D2
U R B2 R2 D L' R
U R B2 R2 D R L'
U R B2 R2 D' L' R
U R B2 R2 D' R L'
U R B2 R2 D2 L' R
U R B2 R2 D2 R L'
B2 R' L U' R U L2
U' R' L D2 R2 F2 U2
U' R' L D2 F2 R2 U2
U' R' L F U2 L2 B2
U' R' L F U2 B2 L2
U R B2 D L' R' D
U R B2 D L' R' D'
U R B2 D L' R' D2
U R B2 D L' D R'
U R B2 D L' D' R'
U R B2 D L' D2 R'
U R B2 D R' L' D
U R B2 D R' L' D'
U R B2 D R' L' D2
U R B2 D R' D L'
U R B2 D R' D' L'
U R B2 D R' D2 L'
U' R' L F' U2 L2 B2
L2 U' D2 L' F2 U2 L2
U' R' L F' U2 B2 L2
U R B2 D' L' R' D
U R B2 D' L' R' D'
U R B2 D' L' R' D2
U R B2 D' L' D R'
U R B2 D' L' D' R'
U R B2 D' L' D2 R'
U R B2 D' R' L' D
U R B2 D' R' L' D'
U R B2 D' R' L' D2
U R B2 D' R' D L'
U R B2 D' R' D' L'
U R B2 D' R' D2 L'
U' R' L F2 U2 L2 B2
U' R' L F2 U2 B2 L2
U R B2 D2 L' R' D
U R B2 D2 L' R' D'
U R B2 D2 L' R' D2
U R B2 D2 L' D R'
U R B2 D2 L' D' R'
U R B2 D2 L' D2 R'
U R B2 D2 R' L' D
U R B2 D2 R' L' D'
U R B2 D2 R' L' D2
U R B2 D2 R' D L'
U R B2 D2 R' D' L'
U R B2 D2 R' D2 L'
U R B2 F' R' F L'
L2 U' D2 F2 U2 L R
L2 U' D2 F2 U2 R L
B2 R' L' U' R U D
B2 R' L' U' R U D'
B2 R' L' U' R U D2
B2 R' L' U' R D U
B2 R' L' U' R D' U
B2 R' L' U' R D2 U
B2 R' L' U' D R U
B2 R' L' U' D' R U
B2 R' L' U' D2 R U
B2 R' L' D U' R U
B2 R' L' D' U' R U
B2 R' L' D2 U' R U
B2 R' L' F2 U L' U'
U R' L B2 L2 D2 R2
U' R' L' B2 D2 R2 F2
U' R' L' B2 D2 F2 R2
U R' L' U2 L2 U2 B2
B2 R' L2 U' R U L
U R' L' D2 R2 D2 B2
U R' L' B D2 B R2
B2 R' L2 F2 L D F2
U R' L' B' D2 R2 B'
U R' L' B' D2 B' R2
U R' L' B2 R D2 R2
U R' L' B2 R' D2 R2
U R' L' B2 R2 D2 R2
U R' L' B2 U2 L2 U2
U R' L' B2 D2 R2 D
U R' L' B2 D2 R2 D'
U R' L' B2 D2 R2 D2
U2 R' U L U2 L2 B2
U2 R' U L U2 B2 L2
L2 U' F2 U2 L R B2
L2 U' F2 U2 L B2 R
L2 U' F2 U2 R L B2
B2 R' U' R U L' D
B2 R' U' R U L' D'
B2 R' U' R U L' D2
B2 R' U' R U D L'
B2 R' U' R U D' L'
B2 R' U' R U D2 L'
B2 R' U' R D U L'
B2 R' U' R D' U L'
B2 R' U' R D2 U L'
U2 R' U' L' B2 D2 R2
U2 R' U' R B2 L' R'
U2 R' U' R B2 R' L'
B2 R' U' D R U L'
U2 R' U' R' B2 L' R'
U2 R' U' R' B2 R' L'
B2 R' U' D' R U L'
B2 R' U' D2 R U L'
U2 R' U' R2 B2 L' R'
U2 R' U' R2 B2 R' L'
U2 R' U' B L' B R'
U' R' U2 L' B2 D2 R2
U2 R' U' B2 L' R' D
U2 R' U' B2 L' R' D'
U2 R' U' B2 L' R' D2
U2 R' U' B2 L' D R'
U2 R' U' B2 L' D' R'
U2 R' U' B2 L' D2 R'
U2 R' U' B2 R' L' D
U2 R' U' B2 R' L' D'
U2 R' U' B2 R' L' D2
U2 R' U' B2 R' D L'
U2 R' U' B2 R' D' L'
U2 R' U' B2 R' D2 L'
U' R' U2 R B2 L' R'
U' R' U2 R B2 R' L'
U2 R' U' B2 D L' R'
U2 R' U' B2 D R' L'
U2 R' U' B2 D' L' R'
U2 R' U' B2 D' R' L'
U2 R' U' B2 D2 L' R'
U2 R' U' B2 D2 R' L'
U' R' U2 R' B2 L' R'
U' R' U2 R' B2 R' L'
U' R' U2 R2 B2 L' R'
U' R' U2 R2 B2 R' L'
L U' B U' L2 F B
L U' B U' L2 B F
U' R' U2 B L' B R'
U R' U2 L U2 L2 B2
U R' U2 L U2 B2 L2
U' R' U2 B2 L' R' D
U' R' U2 B2 L' R' D'
U' R' U2 B2 L' R' D2
U' R' U2 B2 L' D R'
U' R' U2 B2 L' D' R'
U' R' U2 B2 L' D2 R'
U' R' U2 B2 R' L' D
U' R' U2 B2 R' L' D'
U' R' U2 B2 R' L' D2
U' R' U2 B2 R' D L'
U' R' U2 B2 R' D' L'
U' R' U2 B2 R' D2 L'
U' R' U2 B2 D L' R'
U' R' U2 B2 D R' L'
U' R' U2 B2 D' L' R'
U' R' U2 B2 D' R' L'
U' R' U2 B2 D2 L' R'
U' R' U2 B2 D2 R' L'
B2 R' D L' U' R U
R' U' B2 L' R' D' F2
R' U' B2 R' L' D' F2
R' U' B2 R' D' L' F2
B2 R' D U' R U L'
R2 U' B2 L' D' R' F2
R2 U' B2 L' D' F2 R'
B2 R' D' L' U' R U
R U' B2 L' R' D F2
R U' B2 L' D R' F2
R U' B2 L' D F2 R'
R U' B2 R' L' D F2
R2 U' B2 D' L' R' F2
R2 U' B2 D' L' F2 R'
B2 R' D' U' R U L'
R2 U' B2 D' R' L' F2
U' R' D2 L F2 U2 L2
B2 R' D2 L' U' R U
B2 R' D2 U' R U L'
U' R' D2 F2 L R U2
U' R' D2 F2 R L U2
U R' D2 L' D2 R2 B2
U R' D2 L' D2 B2 R2
L' U2 L2 U' L2 U' B2
L' U2 L2 U2 B2 D F2
B2 R' F D' F' L' F
R' U2 R U B2 L' R'
R' U2 R U B2 R' L'
L U2 L2 U L2 U' B2
L U2 L2 D F2 D' B2
L U2 L2 F B2 D F2
U' R' F2 L R U2 B2
L U2 L2 F' B2 D F2
L U2 L2 F2 B2 D F2
L U2 L2 B D F2 B
L U2 L2 B D B F2
U' R' F2 R L U2 B2
U' R' F2 R U2 B2 R'
L U2 L2 B' D F2 B'
B2 R' F2 L D F2 L'
L U2 L2 B' D B' F2
L U2 L2 B2 U L2 U'
L U2 L2 B2 D F2 D
L U2 L2 B2 D F2 D'
L U2 L2 B2 D F2 D2
L U2 L2 B2 F D F2
L U2 L2 B2 F' D F2
L U2 L2 B2 F2 D F2
L U2 R U' L2 R' B2
L U2 R U' R' L2 B2
L U2 R U' R' B2 L2
U R' F' B2 R' F L'
L U2 R' U' L2 R B2
L U2 R' U' L2 B2 R
L U2 R' U' R L2 B2
L U2 R' U' R B2 L2
L U2 R' U' B2 L2 R
L U2 R' U' B2 R L2
R U2 R' U B2 L' R'
R U2 R' U B2 R' L'
U2 R' B U' L' B R'
U2 R' B U' B L' R'
U2 R' B U' B R' L'
U R' B L B L2 R'
U R' B L B R' L2
B' R' B' L' R' D' F2
U R' B L' B R' D
U R' B L' B R' D'
U R' B L' B R' D2
U R' B L' B D R'
U R' B L' B D' R'
U R' B L' B D2 R'
B' R' B' R' L' D' F2
R2 U2 R2 U B2 L' R'
R2 U2 R2 U B2 R' L'
B' R' B' R' D' L' F2
L U2 R2 U' L2 R2 B2
L U2 R2 U' L2 B2 R2
L U2 R2 U' R2 L2 B2
L U2 R2 U' R2 B2 L2
L U2 R2 U' B2 L2 R2
L U2 R2 U' B2 R2 L2
U' R' B2 L' R' D2 F2
U' R' B2 L' D2 R' F2
U' R' B2 L' D2 F2 R'
U' R' B2 R' L' D2 F2
U R' B' R B' L' R'
U R' B' R B' R' L'
U' R' B2 R' D2 L' F2
U R' B' R' B' L' R'
U R' B' R' B' R' L'
U R' B' R2 B' L' R'
U R' B' R2 B' R' L'
U R' B' D B' L' R'
U R' B' D B' R' L'
U' R' B2 D2 L' R' F2
U' R' B2 D2 L' F2 R'
U R' B' D' B' L' R'
U R' B' D' B' R' L'
U' R' B2 D2 R' L' F2
U R' B' D2 B' L' R'
U R' B' D2 B' R' L'
U R' B2 L' R2 D R
U R' B2 L' R2 D' R
U R' B2 L' R2 D2 R
U R' B2 L' D R' D
U R' B2 L' D R' D'
U R' B2 L' D R' D2
U R' B2 L' D' R' D
U R' B2 L' D' R' D'
U R' B2 L' D' R' D2
U R' B2 L' D2 R' D
U R' B2 L' D2 R' D'
U R' B2 L' D2 R' D2
U R' B2 L' F' R' F
U R' B2 L' F2 R' F2
U' R2 L U2 L' B2 L'
U' R2 L U2 L2 B2 D
U' R2 L U2 L2 B2 D'
U' R2 L U2 L2 B2 D2
U R' B2 L2 R' D L
U R' B2 L2 R' D' L
U R' B2 L2 R' D2 L
U R' B2 L2 D L R'
U R' B2 L2 D R' L
U R' B2 L2 D' L R'
U R' B2 L2 D' R' L
U' R2 L U2 B L2 B
U R' B2 L2 D2 L R'
U R' B2 L2 D2 R' L
U' R2 L U2 B2 L2 D
U' R2 L U2 B2 L2 D'
U' R2 L U2 B2 L2 D2
U R' B2 R' L2 D L
U R' B2 R' L2 D' L
U R' B2 R' L2 D2 L
U R' B2 R' D L' D
U R' B2 R' D L' D'
U R' B2 R' D L' D2
U R' B2 R' D' L' D
U R' B2 R' D' L' D'
U R' B2 R' D' L' D2
U R' B2 R' D2 L' D
U R' B2 R' D2 L' D'
U R' B2 R' D2 L' D2
U R' B2 R' B' L' B
U R' B2 R' B2 L' B2
U R' B2 R2 L' D R
U R' B2 R2 L' D' R
U R' B2 R2 L' D2 R
U' R2 L D2 R2 F2 U2
U R' B2 R2 D L' R
U R' B2 R2 D R L'
U R' B2 R2 D' L' R
U R' B2 R2 D' R L'
U R' B2 R2 D2 L' R
U' R2 L D2 F2 R2 U2
U R' B2 R2 D2 R L'
U' R2 L F U2 L2 B2
U' R2 L F U2 B2 L2
U' R2 L F' U2 L2 B2
U' R2 L F' U2 B2 L2
U' R2 L F2 U2 L2 B2
U' R2 L F2 U2 B2 L2
U R' B2 D L' R' D
U R' B2 D L' R' D'
U R' B2 D L' R' D2
U R' B2 D L' D R'
U R' B2 D L' D' R'
U R' B2 D L' D2 R'
U R' B2 D R' L' D
U R' B2 D R' L' D'
U R' B2 D R' L' D2
U R' B2 D R' D L'
U R' B2 D R' D' L'
U R' B2 D R' D2 L'
L U2 D' R2 B2 U' R2
U R' B2 D' L' R' D
U R' B2 D' L' R' D'
U R' B2 D' L' R' D2
U R' B2 D' L' D R'
U R' B2 D' L' D' R'
U R' B2 D' L' D2 R'
U R' B2 D' R' L' D
U R' B2 D' R' L' D'
U R' B2 D' R' L' D2
U R' B2 D' R' D L'
U R' B2 D' R' D' L'
U R' B2 D' R' D2 L'
U R' B2 D2 L' R' D
U R' B2 D2 L' R' D'
U R' B2 D2 L' R' D2
U R' B2 D2 L' D R'
U R' B2 D2 L' D' R'
U R' B2 D2 L' D2 R'
U R' B2 D2 R' L' D
U R' B2 D2 R' L' D'
U R' B2 D2 R' L' D2
U R' B2 D2 R' D L'
U R' B2 D2 R' D' L'
U R' B2 D2 R' D2 L'
U R' B2 F' R' F L'
L U2 D' B2 R2 U' R2
B2 R2 L' U' R2 U R'
B2 R2 L' D R D2 F2
B2 R2 L' D' R F2 D
B2 R2 L' D' R F2 D'
B2 R2 L' D' R F2 D2
B2 R2 L' D' R' F2 R2
B2 R2 L' D' R2 F2 R'
B2 R2 L' D2 R D F2
U' R2 L' B2 D2 R2 F2
U' R2 L' B2 D2 F2 R2
B2 R2 L' F2 D' F2 R
U R2 L B2 L2 D2 R2
U R2 L' U2 L2 U2 B2
L U2 F L2 B2 D F2
B2 R2 L2 D' L R F2
B2 R2 L2 D' R L F2
B2 R2 L2 D' R F2 L
U R2 L' D2 R2 D2 B2
U R2 L' B D2 B R2
U R2 L' B' D2 R2 B'
U R2 L' B' D2 B' R2
U R2 L' B2 R D2 R2
U R2 L' B2 R' D2 R2
U R2 L' B2 R2 D2 R2
U R2 L' B2 U2 L2 U2
U R2 L' B2 D2 R2 D
U R2 L' B2 D2 R2 D'
U R2 L' B2 D2 R2 D2
U2 R2 U L U2 L2 B2
U2 R2 U L U2 B2 L2
L U2 F B2 L2 D F2
L U2 F' L2 B2 D F2
L2 U2 F2 U' L R B2
L2 U2 F2 U' L B2 R
L2 U2 F2 U' R L B2
L U2 F' B2 L2 D F2
U2 R2 U' L' B2 D2 R2
B2 R2 U' R2 U L' R'
B2 R2 U' R2 U R' L'
U2 R2 U' R B2 L' R'
U2 R2 U' R B2 R' L'
L U2 F2 L2 B2 D F2
U2 R2 U' R' B2 L' R'
U2 R2 U' R' B2 R' L'
U2 R2 U' R2 B2 L' R'
U2 R2 U' R2 B2 R' L'
U' R2 U2 L' B2 D2 R2
U2 R2 U' B L' B R'
U' R2 U2 R B2 L' R'
U' R2 U2 R B2 R' L'
U2 R2 U' B2 L' R' D
U2 R2 U' B2 L' R' D'
U2 R2 U' B2 L' R' D2
U2 R2 U' B2 L' D R'
U2 R2 U' B2 L' D' R'
U2 R2 U' B2 L' D2 R'
U2 R2 U' B2 R' L' D
U2 R2 U' B2 R' L' D'
U2 R2 U' B2 R' L' D2
U2 R2 U' B2 R' D L'
U2 R2 U' B2 R' D' L'
U2 R2 U' B2 R' D2 L'
U' R2 U2 R' B2 L' R'
U' R2 U2 R' B2 R' L'
U2 R2 U' B2 D L' R'
U2 R2 U' B2 D R' L'
U2 R2 U' B2 D' L' R'
U2 R2 U' B2 D' R' L'
U2 R2 U' B2 D2 L' R'
U2 R2 U' B2 D2 R' L'
U' R2 U2 R2 B2 L' R'
U' R2 U2 R2 B2 R' L'
L U2 F2 B2 L2 D F2
L U2 B L2 D F2 B
L U2 B L2 D B F2
L U2 B L2 B D F2
U' R2 U2 B L' B R'
U' R2 U2 B2 L' R' D
U' R2 U2 B2 L' R' D'
U' R2 U2 B2 L' R' D2
U' R2 U2 B2 L' D R'
U' R2 U2 B2 L' D' R'
U' R2 U2 B2 L' D2 R'
U' R2 U2 B2 R' L' D
U' R2 U2 B2 R' L' D'
U' R2 U2 B2 R' L' D2
U' R2 U2 B2 R' D L'
U' R2 U2 B2 R' D' L'
U' R2 U2 B2 R' D2 L'
U' R2 U2 B2 D L' R'
U' R2 U2 B2 D R' L'
U' R2 U2 B2 D' L' R'
