F' U L' R' U2
F U R' U2 R2
F' U R' L' U2
F U' R D2 L2
B2 F U' L R
B2 F U' R L
F B2 U' L R
F B2 U' R L
D' F B2 U' L R D
D' F B2 U' L R D'
D' F B2 U' L R D2
D' F B2 U' L D R
D' F B2 U' L D' R
D' F B2 U' L D2 R
D2 F B2 U' L R D
D2 F B2 U' L R D'
D2 F B2 U' L R D2
D2 F B2 U' L D R
D2 F B2 U' L D' R
D2 F B2 U' L D2 R
D' F B2 U' R L D
D' F B2 U' R L D'
D' F B2 U' R L D2
D' F B2 U' R D L
D' F B2 U' R D' L
D' F B2 U' R D2 L
D2 F B2 U' R L D
D2 F B2 U' R L D'
D2 F B2 U' R L D2
D2 F B2 U' R D L
D2 F B2 U' R D' L
D2 F B2 U' R D2 L
D' F B2 U' D L R
D' F B2 U' D R L
D' F B2 U' D' L R
D' F B2 U' D' R L
D2 F B2 U' D L R
D' F B2 U' D2 L R
D' F B2 U' D2 R L
D2 F B2 U' D R L
D2 F B2 U' D' L R
D2 F B2 U' D' R L
D2 F B2 U' D2 L R
D2 F B2 U' D2 R L
F2 D U R' U B U
D' F B2 D U' L R
D' F B2 D U' R L
D2 F B2 D U' L R
D2 F B2 D U' R L
D' F B2 D' U' L R
D' F B2 D' U' R L
D2 F B2 D' U' L R
D2 F B2 D' U' R L
D' F B2 D2 U' L R
D' F B2 D2 U' R L
D2 F B2 D2 U' L R
D2 F B2 D2 U' R L
L2 F B2 L2 U' L' R
L2 F B2 L2 U' R L'
L' F' L U L2 R' U2
L' F' L U R' L2 U2
F D U L R' U2 R2
F D U L' R' U2 R2
F D U L2 R' U2 R2
F D U R' L U2 R2
F D U R' L' U2 R2
D F B2 U' L R D
D F B2 U' L R D'
D F B2 U' L R D2
D F B2 U' L D R
D F B2 U' L D' R
D F B2 U' L D2 R
F D U R' L2 U2 R2
D F B2 U' R L D
D F B2 U' R L D'
D F B2 U' R L D2
D F B2 U' R D L
D F B2 U' R D' L
D F B2 U' R D2 L
F D U R' U2 R2 D
F D U R' U2 R2 D'
F D U R' U2 R2 D2
D F B2 U' D L R
F D U R' D2 L2 U2
D F B2 U' D R L
D F B2 U' D' L R
D F B2 U' D' R L
D F B2 U' D2 L R
D F B2 U' D2 R L
D F B2 D U' L R
D F B2 D U' R L
D F B2 D' U' L R
D F B2 D' U' R L
D F B2 D2 U' L R
D F B2 D2 U' R L
F D U' L R D2 L2
F D U' L' R D2 L2
F D U' L2 R D2 L2
F D U' R L D2 L2
F D U' R L' D2 L2
F D U' R L2 D2 L2
F D U' R U2 R2 U2
F D U' R D2 L2 D
F D U' R D2 L2 D'
F D U' R D2 L2 D2
F D U' B2 L R B2
F D U' B2 L B2 R
F D U' B2 R L B2
B2 D F U' L R D
B2 D F U' L R D'
B2 D F U' L R D2
B2 D F U' L D R
B2 D F U' L D' R
B2 D F U' L D2 R
B2 D F U' R L D
B2 D F U' R L D'
B2 D F U' R L D2
B2 D F U' R D L
B2 D F U' R D' L
B2 D F U' R D2 L
B2 D F U' D L R
B2 D F U' D R L
B2 D F U' D' L R
B2 D F U' D' R L
B2 D F U' D2 L R
B2 D F U' D2 R L
B2 D F D U' L R
B2 D F D U' R L
B2 D F D' U' L R
B2 D F D' U' R L
B2 D F D2 U' L R
B2 D F D2 U' R L
L2 F' L2 U L R' U2
L2 F' L2 U R' L U2
F D U2 B2 U L R
F D U2 B2 U R L
B2 D F' U L' U2 L2
B2 D F' U' L D2 R2
B D F B U' L R
B D F B U' R L
L2 F' L2 B2 U' L R'
L2 F' L2 B2 U' R' L
F' D F2 U R' U2 R2
F' D F2 U' R D2 L2
F' D F2 B2 U' L R
F' D F2 B2 U' R L
F D F2 U L' R' U2
F D F2 U R' L' U2
D2 F' U L' R' U2 D
D2 F' U L' R' U2 D'
D2 F' U L' R' U2 D2
D2 F' U L' R' D U2
D2 F' U L' R' D' U2
D2 F' U L' R' D2 U2
D' F' U L' R' U2 D
D' F' U L' R' U2 D'
D' F' U L' R' U2 D2
D' F' U L' R' D U2
D' F' U L' R' D' U2
D' F' U L' R' D2 U2
D2 F' U L' D R' U2
D2 F' U L' D' R' U2
D' F' U L' D R' U2
D2 F' U L' D2 R' U2
D' F' U L' D' R' U2
D' F' U L' D2 R' U2
D2 F' U R' L' U2 D
D2 F' U R' L' U2 D'
D2 F' U R' L' U2 D2
D2 F' U R' L' D U2
D2 F' U R' L' D' U2
D2 F' U R' L' D2 U2
D' F' U R' L' U2 D
D' F' U R' L' U2 D'
D' F' U R' L' U2 D2
D' F' U R' L' D U2
D' F' U R' L' D' U2
D' F' U R' L' D2 U2
D2 F' U R' D L' U2
D' F' U R' D L' U2
D2 F' U R' D' L' U2
D' F' U R' D' L' U2
D2 F' U R' D2 L' U2
D' F' U R' D2 L' U2
R F' R' U L' R' U2
R F' R' U R' L' U2
D2 F' U D L' R' U2
D' F' U D L' R' U2
D2 F' U D R' L' U2
D' F' U D R' L' U2
D2 F' U D' L' R' U2
D' F' U D' L' R' U2
D2 F' U D' R' L' U2
D' F' U D' R' L' U2
D2 F' U D2 L' R' U2
D' F' U D2 L' R' U2
D2 F' U D2 R' L' U2
D' F' U D2 R' L' U2
B D B F U' L R
B D B F U' R L
F' D B2 U L' U2 L2
F' D B2 U' L D2 R2
D F' U L' R' U2 D
D F' U L' R' U2 D'
D F' U L' R' U2 D2
D F' U L' R' D U2
D F' U L' R' D' U2
D F' U L' R' D2 U2
D F' U L' D R' U2
D F' U L' D' R' U2
D F' U L' D2 R' U2
D F' U R' L' U2 D
D F' U R' L' U2 D'
D F' U R' L' U2 D2
D F' U R' L' D U2
D F' U R' L' D' U2
D F' U R' L' D2 U2
D F' U R' D L' U2
D F' U R' D' L' U2
D F' U R' D2 L' U2
F' D B2 F2 U' L R
F' D B2 F2 U' R L
D F' U D L' R' U2
D F' U D R' L' U2
D F' U D' L' R' U2
D F' U D' R' L' U2
D F' U D2 L' R' U2
D F' U D2 R' L' U2
F D B2 U' L R D
F D B2 U' L R D'
F D B2 U' L R D2
F D B2 U' L D R
F D B2 U' L D' R
F D B2 U' L D2 R
F D B2 U' R L D
F D B2 U' R L D'
F D B2 U' R L D2
F D B2 U' R D L
F D B2 U' R D' L
F D B2 U' R D2 L
F D B2 U' D L R
F D B2 U' D R L
F D B2 U' D' L R
F D B2 U' D' R L
F D B2 U' D2 L R
F D B2 U' D2 R L
F D B2 D U' L R
F D B2 D U' R L
F D B2 D' U' L R
F D B2 D' U' R L
F D B2 D2 U' L R
F D B2 D2 U' R L
D2 F' D U L' R' U2
D2 F' D U R' L' U2
D' F' D U L' R' U2
D' F' D U R' L' U2
D2 F' D' U L' R' U2
D2 F' D' U R' L' U2
D' F' D' U L' R' U2
D' F' D' U R' L' U2
D F' D U L' R' U2
D F' D U R' L' U2
D2 F' D2 U L' R' U2
D2 F' D2 U R' L' U2
D' F' D2 U L' R' U2
D' F' D2 U R' L' U2
D F' D' U L' R' U2
D F' D' U R' L' U2
D F' D2 U L' R' U2
D F' D2 U R' L' U2
F' D' U L' R' U2 D
F' D' U L' R' U2 D'
F' D' U L' R' U2 D2
F' D' U L' R' D U2
F' D' U L' R' D' U2
F' D' U L' R' D2 U2
F' D' U L' D R' U2
F' D' U L' D' R' U2
F' D' U L' D2 R' U2
F' D' U R' L' U2 D
F' D' U R' L' U2 D'
F' D' U R' L' U2 D2
F' D' U R' L' D U2
F' D' U R' L' D' U2
F' D' U R' L' D2 U2
F' D' U R' D L' U2
F' D' U R' D' L' U2
F' D' U R' D2 L' U2
D2 F' B2 U L' U2 L2
D' F' B2 U L' U2 L2
D2 F' B2 U' L D2 R2
D' F' B2 U' L D2 R2
F D' U L R' U2 R2
F D' U L' R' U2 R2
D F' B2 U L' U2 L2
F D' U L2 R' U2 R2
D F' B2 U' L D2 R2
F D' U R' L U2 R2
F D' U R' L' U2 R2
F D' U R' L2 U2 R2
F D' U R' U2 R2 D
F D' U R' U2 R2 D'
F D' U R' U2 R2 D2
F D' U R' D2 L2 U2
F D' U' L R D2 L2
F D' U' L' R D2 L2
F D' U' L2 R D2 L2
F D' U' R L D2 L2
F D' U' R L' D2 L2
F D' U' R L2 D2 L2
F D' U' R U2 R2 U2
F D' U' R D2 L2 D
F D' U' R D2 L2 D'
F D' U' R D2 L2 D2
B2 D' F U' L R D
B2 D' F U' L R D'
B2 D' F U' L R D2
B2 D' F U' L D R
B2 D' F U' L D' R
B2 D' F U' L D2 R
F D' U' B2 L R B2
F D' U' B2 L B2 R
B2 D' F U' R L D
B2 D' F U' R L D'
B2 D' F U' R L D2
B2 D' F U' R D L
B2 D' F U' R D' L
B2 D' F U' R D2 L
F D' U' B2 R L B2
B2 D' F U' D L R
B2 D' F U' D R L
B2 D' F U' D' L R
B2 D' F U' D' R L
B2 D' F U' D2 L R
B2 D' F U' D2 R L
B2 D' F D U' L R
B2 D' F D U' R L
B2 D' F D' U' L R
B2 D' F D' U' R L
B2 D' F D2 U' L R
B2 D' F D2 U' R L
F D' U2 B2 U L R
F D' U2 B2 U R L
B2 D' F' U L' U2 L2
B2 D' F' U' L D2 R2
B D' F B U' L R
B D' F B U' R L
F' D' F2 U R' U2 R2
F' D' F2 U' R D2 L2
F' D' F2 B2 U' L R
F' D' F2 B2 U' R L
F D' F2 U L' R' U2
F D' F2 U R' L' U2
B D' B F U' L R
B D' B F U' R L
F' D' B2 U L' U2 L2
F' D' B2 U' L D2 R2
F' D' B2 F2 U' L R
F' D' B2 F2 U' R L
F D' B2 U' L R D
F D' B2 U' L R D'
F D' B2 U' L R D2
F D' B2 U' L D R
F D' B2 U' L D' R
F D' B2 U' L D2 R
F D' B2 U' R L D
F D' B2 U' R L D'
F D' B2 U' R L D2
F D' B2 U' R D L
F D' B2 U' R D' L
F D' B2 U' R D2 L
F D' B2 U' D L R
F D' B2 U' D R L
F D' B2 U' D' L R
F D' B2 U' D' R L
F D' B2 U' D2 L R
F D' B2 U' D2 R L
F D' B2 D U' L R
F D' B2 D U' R L
F D' B2 D' U' L R
F D' B2 D' U' R L
F D' B2 D2 U' L R
F D' B2 D2 U' R L
F' D2 U L' R' U2 D
F' D2 U L' R' U2 D'
F' D2 U L' R' U2 D2
F' D2 U L' R' D U2
F' D2 U L' R' D' U2
F' D2 U L' R' D2 U2
F' D2 U L' D R' U2
F' D2 U L' D' R' U2
F' D2 U L' D2 R' U2
F' D2 U R' L' U2 D
F' D2 U R' L' U2 D'
F' D2 U R' L' U2 D2
F' D2 U R' L' D U2
F' D2 U R' L' D' U2
F' D2 U R' L' D2 U2
F' D2 U R' D L' U2
F' D2 U R' D' L' U2
F' D2 U R' D2 L' U2
F D2 U L R' U2 R2
F D2 U L' R' U2 R2
F D2 U L2 R' U2 R2
F D2 U R' L U2 R2
F D2 U R' L' U2 R2
F D2 U R' L2 U2 R2
F D2 U R' U2 R2 D
F D2 U R' U2 R2 D'
F D2 U R' U2 R2 D2
F D2 U R' D2 L2 U2
F D2 U' L R D2 L2
F D2 U' L' R D2 L2
F D2 U' L2 R D2 L2
B' D2 F U' L' R D
B' D2 F U' L' R D'
B' D2 F U' L' R D2
B' D2 F U' L' D R
B' D2 F U' L' D' R
B' D2 F U' L' D2 R
B' D2 F U' R L' D
B' D2 F U' R L' D'
B' D2 F U' R L' D2
B' D2 F U' R D L'
B' D2 F U' R D' L'
B' D2 F U' R D2 L'
B' D2 F U' D L' R
B' D2 F U' D R L'
B' D2 F U' D' L' R
B' D2 F U' D' R L'
B' D2 F U' D2 L' R
B' D2 F U' D2 R L'
F D2 U' R L D2 L2
F D2 U' R L' D2 L2
F D2 U' R L2 D2 L2
F D2 U' R U2 R2 U2
F D2 U' R D2 L2 D
F D2 U' R D2 L2 D'
F D2 U' R D2 L2 D2
B' D2 F D U' L' R
B' D2 F D U' R L'
B' D2 F D' U' L' R
B' D2 F D' U' R L'
B' D2 F D2 U' L' R
B' D2 F D2 U' R L'
B' D2 F B U' L' R
B' D2 F B U' R L'
B' D2 F B' U' L' R
B' D2 F B' U' R L'
B' D2 F B2 U' L' R
B' D2 F B2 U' R L'
B2 D2 F U' L R D
B2 D2 F U' L R D'
B2 D2 F U' L R D2
B2 D2 F U' L D R
B2 D2 F U' L D' R
B2 D2 F U' L D2 R
B2 D2 F U' R L D
B2 D2 F U' R L D'
B2 D2 F U' R L D2
B2 D2 F U' R D L
B2 D2 F U' R D' L
B2 D2 F U' R D2 L
B2 D2 F U' D L R
B2 D2 F U' D R L
B2 D2 F U' D' L R
B2 D2 F U' D' R L
B2 D2 F U' D2 L R
B2 D2 F U' D2 R L
F D2 U' B2 L R B2
F D2 U' B2 L B2 R
F D2 U' B2 R L B2
B2 D2 F D U' L R
B2 D2 F D U' R L
B2 D2 F D' U' L R
B2 D2 F D' U' R L
B2 D2 F D2 U' L R
B2 D2 F D2 U' R L
B' D2 F' U L' R U2
B' D2 F' U R L' U2
B2 D2 F' U L' U2 L2
F D2 U2 B2 U L R
F D2 U2 B2 U R L
B2 D2 F' U' L D2 R2
B D2 F B U' L R
B D2 F B U' R L
F' D2 F2 U R' U2 R2
F' D2 F2 U' R D2 L2
F' D2 F2 B2 U' L R
F' D2 F2 B2 U' R L
B' D2 B F U' L' R
B' D2 B F U' R L'
F D2 F2 U L' R' U2
F D2 F2 U R' L' U2
B' D2 B' F U' L' R
B' D2 B' F U' R L'
B D2 B F U' L R
B D2 B F U' R L
F' D2 B2 U L' U2 L2
F' D2 B2 U' L D2 R2
B' D2 B2 F U' L' R
B' D2 B2 F U' R L'
F' D2 B2 F2 U' L R
F' D2 B2 F2 U' R L
U2 B U' L U F U
F D2 B2 U' L R D
F D2 B2 U' L R D'
F D2 B2 U' L R D2
F D2 B2 U' L D R
F D2 B2 U' L D' R
F D2 B2 U' L D2 R
F D2 B2 U' R L D
F D2 B2 U' R L D'
F D2 B2 U' R L D2
F D2 B2 U' R D L
F D2 B2 U' R D' L
F D2 B2 U' R D2 L
F D2 B2 U' D L R
F D2 B2 U' D R L
F D2 B2 U' D' L R
F D2 B2 U' D' R L
F D2 B2 U' D2 L R
F D2 B2 U' D2 R L
F D2 B2 D U' L R
F D2 B2 D U' R L
F D2 B2 D' U' L R
F D2 B2 D' U' R L
F D2 B2 D2 U' L R
F D2 B2 D2 U' R L
B2 F U L' U2 L2 R
B2 F U L' U2 R L2
B2 F U L2 U2 L' R
B2 F U L2 U2 R L'
B2 F U R' U2 L R2
B2 F U R' U2 R2 L
B2 F U R2 U2 L R'
B2 F U R2 U2 R' L
B' F U' R B' L B
B2 F U' L R2 D R'
B2 F U' L R2 D' R'
B2 F U' L R2 D2 R'
B2 F U' L D R D
B2 F U' L D R D'
B2 F U' L D R D2
B2 F U' L D' R D
B2 F U' L D' R D'
B2 F U' L D' R D2
B2 F U' L D2 R D
B2 F U' L D2 R D'
B2 F U' L D2 R D2
B2 F U' L B R B'
B2 F U' L B2 R B2
B2 F U' L2 R D L'
B2 F U' L2 R D' L'
B2 F U' L2 R D2 L'
B2 F U' L2 D L' R
B2 F U' L2 D R L'
B2 F U' L2 D' L' R
B2 F U' L2 D' R L'
B2 F U' L2 D2 L' R
B2 F U' L2 D2 R L'
B2 F U' R L2 D L'
B2 F U' R L2 D' L'
B2 F U' R L2 D2 L'
B2 F U' R D L D
B2 F U' R D L D'
B2 F U' R D L D2
B2 F U' R D' L D
B2 F U' R D' L D'
B2 F U' R D' L D2
B2 F U' R D2 L D
B2 F U' R D2 L D'
B2 F U' R D2 L D2
B2 F U' R F L F'
B2 F U' R F2 L F2
B' F U' B' L B R
B2 F U' R2 L D R'
B2 F U' R2 L D' R'
B2 F U' R2 L D2 R'
B2 F U' R2 D L R'
B2 F U' R2 D R' L
B2 F U' R2 D' L R'
B2 F U' R2 D' R' L
B2 F U' R2 D2 L R'
B2 F U' R2 D2 R' L
B2 F U' D L R D
B2 F U' D L R D'
B2 F U' D L R D2
B2 F U' D L D R
B2 F U' D L D' R
B2 F U' D L D2 R
B2 F U' D R L D
B2 F U' D R L D'
B2 F U' D R L D2
B2 F U' D R D L
B2 F U' D R D' L
B2 F U' D R D2 L
B2 F U' D' L R D
B2 F U' D' L R D'
B2 F U' D' L R D2
B2 F U' D' L D R
B2 F U' D' L D' R
B2 F U' D' L D2 R
B2 F U' D' R L D
B2 F U' D' R L D'
B2 F U' D' R L D2
B2 F U' D' R D L
B2 F U' D' R D' L
B2 F U' D' R D2 L
B2 F U' D2 L R D
B2 F U' D2 L R D'
B2 F U' D2 L R D2
B2 F U' D2 L D R
B2 F U' D2 L D' R
B2 F U' D2 L D2 R
B2 F U' D2 R L D
B2 F U' D2 R L D'
B2 F U' D2 R L D2
B2 F U' D2 R D L
B2 F U' D2 R D' L
B2 F U' D2 R D2 L
B2 F U' F L F' R
B2 F U' B R B' L
B' F U2 B' U L R
B' F U2 B' U R L
F2 B U2 F' U L' R
F2 B U2 F' U R L'
B2 F D U' L R D
B2 F D U' L R D'
B2 F D U' L R D2
B2 F D U' L D R
B2 F D U' L D' R
B2 F D U' L D2 R
B2 F D U' R L D
B2 F D U' R L D'
B2 F D U' R L D2
B2 F D U' R D L
B2 F D U' R D' L
B2 F D U' R D2 L
B2 F D' U' L R D
B2 F D' U' L R D'
B2 F D' U' L R D2
B2 F D' U' L D R
B2 F D' U' L D' R
B2 F D' U' L D2 R
B2 F D' U' R L D
B2 F D' U' R L D'
B2 F D' U' R L D2
B2 F D' U' R D L
B2 F D' U' R D' L
B2 F D' U' R D2 L
B F D B U' L R
B F D B U' R L
F B D B U' L R
F B D B U' R L
B2 F D2 U' L R D
B2 F D2 U' L R D'
B2 F D2 U' L R D2
B2 F D2 U' L D R
B2 F D2 U' L D' R
B2 F D2 U' L D2 R
B2 F D2 U' R L D
B2 F D2 U' R L D'
B2 F D2 U' R L D2
B2 F D2 U' R D L
B2 F D2 U' R D' L
B2 F D2 U' R D2 L
B F D' B U' L R
B F D' B U' R L
F2 B D2 B U' L R'
F2 B D2 B U' R' L
F B D' B U' L R
F B D' B U' R L
B F D2 B U' L R
B F D2 B U' R L
F B D2 B U' L R
F B D2 B U' R L
U2 B' U R' B' L B
U2 B' U B' L B R'
D2 B' U2 B' U L R'
D2 B' U2 B' U R' L
D' B' U2 B' U L R'
D' B' U2 B' U R' L
D B' U2 B' U L R'
D B' U2 B' U R' L
D2 B' D2 F U' L' R
D2 B' D2 F U' R L'
B2 F' U L' R U2 L2
B2 F' U L' R' U2 L2
B2 F' U L' R2 U2 L2
B2 F' U L' U2 L2 D
B2 F' U L' U2 L2 D'
B2 F' U L' U2 L2 D2
B2 F' U L' D2 R2 U2
D' B' D2 F U' L' R
D' B' D2 F U' R L'
B2 F' U R L' U2 L2
B2 F' U R' L' U2 L2
B2 F' U R2 L' U2 L2
B2 F' U D L' U2 L2
B2 F' U D' L' U2 L2
B2 F' U D2 L' U2 L2
U2 B' D2 F U L' R'
U2 B' D2 F U R' L'
B2 F' U' L R D2 R2
B2 F' U' L R' D2 R2
B2 F' U' L R2 D2 R2
B2 F' U' L U2 L2 U2
B2 F' U' L D2 R2 D
B2 F' U' L D2 R2 D'
B2 F' U' L D2 R2 D2
B2 F' U' R L D2 R2
B2 F' U' R' L D2 R2
B2 F' U' R2 L D2 R2
B2 F' U' D L D2 R2
B2 F' U' D' L D2 R2
B2 F' U' D2 L D2 R2
D B' D2 F U' L' R
D B' D2 F U' R L'
B2 F' U' F2 L R F2
B2 F' U' F2 R L F2
B2 F' U' F2 R F2 L
B2 F' U2 F2 U L R
B2 F' U2 F2 U R L
F B' U' R B' L B
B2 F' D U L' U2 L2
F B' U' B' L B R
B2 F' D U' L D2 R2
B2 F' D F2 U' L R
B2 F' D F2 U' R L
B2 F' D' U L' U2 L2
B2 F' D' U' L D2 R2
F B' U2 B' U L R
F B' U2 B' U R L
B2 F' D' F2 U' L R
B2 F' D' F2 U' R L
B2 F' D2 U L' U2 L2
B2 F' D2 U' L D2 R2
B2 F' D2 F2 U' L R
B2 F' D2 F2 U' R L
L B2 L' F U' L2 R
L B2 L' F U' R L2
U2 B2 U L B R' B'
U2 B2 U B R' B' L
F' B2 U L' R U2 L2
F' B2 U L' R' U2 L2
F' B2 U L' R2 U2 L2
F' B2 U L' U2 L2 D
F' B2 U L' U2 L2 D'
F' B2 U L' U2 L2 D2
F' B2 U L' D2 R2 U2
F' B2 U R L' U2 L2
F' B2 U R' L' U2 L2
F' B2 U R2 L' U2 L2
F' B2 U D L' U2 L2
F' B2 U D' L' U2 L2
F' B2 U D2 L' U2 L2
D2 B2 D F U' L R
D2 B2 D F U' R L
D' B2 D F U' L R
D' B2 D F U' R L
F' B2 U' L R D2 R2
F' B2 U' L R' D2 R2
F' B2 U' L R2 D2 R2
F' B2 U' L U2 L2 U2
F' B2 U' L D2 R2 D
F' B2 U' L D2 R2 D'
F' B2 U' L D2 R2 D2
F' B2 U' R L D2 R2
B2 F2 U' L F' R F
F' B2 U' R' L D2 R2
F' B2 U' R2 L D2 R2
F' B2 U' D L D2 R2
F2 B2 U' L F' R F
F' B2 U' D' L D2 R2
F' B2 U' D2 L D2 R2
F' B2 U' F2 L R F2
D2 B2 D' F U' L R
D2 B2 D' F U' R L
F' B2 U' F2 R L F2
F' B2 U' F2 R F2 L
B2 F2 U' F' R F L
D' B2 D' F U' L R
D' B2 D' F U' R L
F B2 U L' U2 L2 R
F B2 U L' U2 R L2
F B2 U L2 U2 L' R
F B2 U L2 U2 R L'
F2 B2 U' F' R F L
F B2 U R' U2 L R2
F B2 U R' U2 R2 L
F B2 U R2 U2 L R'
F B2 U R2 U2 R' L
D B2 D F U' L R
D B2 D F U' R L
D2 B2 D2 F U' L R
D2 B2 D2 F U' R L
F' B2 U2 F2 U L R
F' B2 U2 F2 U R L
F B2 U' L R2 D R'
F B2 U' L R2 D' R'
F B2 U' L R2 D2 R'
F B2 U' L D R D
F B2 U' L D R D'
F B2 U' L D R D2
B2 F2 U2 F' U L R
B2 F2 U2 F' U R L
F B2 U' L D' R D
F B2 U' L D' R D'
F B2 U' L D' R D2
F B2 U' L D2 R D
F B2 U' L D2 R D'
F B2 U' L D2 R D2
F B2 U' L B R B'
D' B2 D2 F U' L R
D' B2 D2 F U' R L
F B2 U' L B2 R B2
F B2 U' L2 R D L'
F B2 U' L2 R D' L'
F B2 U' L2 R D2 L'
F B2 U' L2 D L' R
F B2 U' L2 D R L'
F B2 U' L2 D' L' R
F B2 U' L2 D' R L'
F B2 U' L2 D2 L' R
F B2 U' L2 D2 R L'
F2 B2 U2 F' U L R
F2 B2 U2 F' U R L
F B2 U' R L2 D L'
F B2 U' R L2 D' L'
F B2 U' R L2 D2 L'
F B2 U' R D L D
F B2 U' R D L D'
F B2 U' R D L D2
F B2 U' R D' L D
F B2 U' R D' L D'
F B2 U' R D' L D2
F B2 U' R D2 L D
F B2 U' R D2 L D'
F B2 U' R D2 L D2
F B2 U' R F L F'
F B2 U' R F2 L F2
F B2 U' R2 L D R'
F B2 U' R2 L D' R'
F B2 U' R2 L D2 R'
F B2 U' R2 D L R'
F B2 U' R2 D R' L
F B2 U' R2 D' L R'
F B2 U' R2 D' R' L
F B2 U' R2 D2 L R'
F B2 U' R2 D2 R' L
F B2 U' D L R D
F B2 U' D L R D'
F B2 U' D L R D2
F B2 U' D L D R
F B2 U' D L D' R
F B2 U' D L D2 R
F B2 U' D R L D
F B2 U' D R L D'
F B2 U' D R L D2
F B2 U' D R D L
F B2 U' D R D' L
F B2 U' D R D2 L
F B2 U' D' L R D
F B2 U' D' L R D'
F B2 U' D' L R D2
F B2 U' D' L D R
F B2 U' D' L D' R
F B2 U' D' L D2 R
F B2 U' D' R L D
F B2 U' D' R L D'
F B2 U' D' R L D2
F B2 U' D' R D L
F B2 U' D' R D' L
F B2 U' D' R D2 L
F B2 U' D2 L R D
F B2 U' D2 L R D'
F B2 U' D2 L R D2
F B2 U' D2 L D R
F B2 U' D2 L D' R
F B2 U' D2 L D2 R
F B2 U' D2 R L D
F B2 U' D2 R L D'
F B2 U' D2 R L D2
F B2 U' D2 R D L
F B2 U' D2 R D' L
F B2 U' D2 R D2 L
F' B2 D U L' U2 L2
F B2 U' F L F' R
F' B2 D U' L D2 R2
D B2 D' F U' L R
D B2 D' F U' R L
D2 B2 F U' L R D
D2 B2 F U' L R D'
D2 B2 F U' L R D2
D2 B2 F U' L D R
D2 B2 F U' L D' R
D2 B2 F U' L D2 R
D2 B2 F U' R L D
D2 B2 F U' R L D'
D2 B2 F U' R L D2
D2 B2 F U' R D L
D2 B2 F U' R D' L
D2 B2 F U' R D2 L
D2 B2 F U' D L R
D2 B2 F U' D R L
D2 B2 F U' D' L R
D2 B2 F U' D' R L
D2 B2 F U' D2 L R
D2 B2 F U' D2 R L
F B2 U' B R B' L
F' B2 D F2 U' L R
F' B2 D F2 U' R L
D2 B2 F D U' L R
D2 B2 F D U' R L
D' B2 F U' L R D
D' B2 F U' L R D'
D' B2 F U' L R D2
U2 B2 D2 F' U L R
U2 B2 D2 F' U R L
D' B2 F U' L D R
D' B2 F U' L D' R
D' B2 F U' L D2 R
D' B2 F U' R L D
D' B2 F U' R L D'
D' B2 F U' R L D2
D' B2 F U' R D L
D' B2 F U' R D' L
D' B2 F U' R D2 L
D' B2 F U' D L R
D' B2 F U' D R L
D' B2 F U' D' L R
D' B2 F U' D' R L
D2 B2 F D' U' L R
D2 B2 F D' U' R L
D' B2 F U' D2 L R
D' B2 F U' D2 R L
D2 B2 F D2 U' L R
D2 B2 F D2 U' R L
B F2 U2 F' U L' R
B F2 U2 F' U R L'
D' B2 F D U' L R
D' B2 F D U' R L
D' B2 F D' U' L R
D' B2 F D' U' R L
D' B2 F D2 U' L R
D' B2 F D2 U' R L
L2 B2 F L2 U' L' R
L2 B2 F L2 U' R L'
D2 B2 F' U L' U2 L2
F' B2 D' U L' U2 L2
D2 B2 F' U' L D2 R2
F' B2 D' U' L D2 R2
D B2 D2 F U' L R
D B2 D2 F U' R L
D' B2 F' U L' U2 L2
D' B2 F' U' L D2 R2
F' B2 D' F2 U' L R
F' B2 D' F2 U' R L
D B2 F U' L R D
D B2 F U' L R D'
D B2 F U' L R D2
D B2 F U' L D R
D B2 F U' L D' R
D B2 F U' L D2 R
F B2 D U' L R D
F B2 D U' L R D'
F B2 D U' L R D2
F B2 D U' L D R
F B2 D U' L D' R
F B2 D U' L D2 R
D B2 F U' R L D
D B2 F U' R L D'
D B2 F U' R L D2
D B2 F U' R D L
D B2 F U' R D' L
D B2 F U' R D2 L
F B2 D U' R L D
F B2 D U' R L D'
F B2 D U' R L D2
F B2 D U' R D L
F B2 D U' R D' L
F B2 D U' R D2 L
D B2 F U' D L R
D B2 F U' D R L
D B2 F U' D' L R
D B2 F U' D' R L
D B2 F U' D2 L R
D B2 F U' D2 R L
F' B2 D2 U L' U2 L2
F' B2 D2 U' L D2 R2
D B2 F D U' L R
D B2 F D U' R L
D B2 F D' U' L R
D B2 F D' U' R L
D B2 F D2 U' L R
D B2 F D2 U' R L
F' B2 D2 F2 U' L R
F' B2 D2 F2 U' R L
D B2 F' U L' U2 L2
D B2 F' U' L D2 R2
F B2 D' U' L R D
F B2 D' U' L R D'
F B2 D' U' L R D2
F B2 D' U' L D R
F B2 D' U' L D' R
F B2 D' U' L D2 R
F B2 D' U' R L D
F B2 D' U' R L D'
F B2 D' U' R L D2
F B2 D' U' R D L
F B2 D' U' R D' L
F B2 D' U' R D2 L
B F2 D2 B U' L R'
B F2 D2 B U' R' L
F B2 D2 U' L R D
F B2 D2 U' L R D'
F B2 D2 U' L R D2
F B2 D2 U' L D R
F B2 D2 U' L D' R
F B2 D2 U' L D2 R
F B2 D2 U' R L D
F B2 D2 U' R L D'
F B2 D2 U' R L D2
F B2 D2 U' R D L
F B2 D2 U' R D' L
