U L2 R' U R'
U R' L2 U R'
L2 R' U R' D2 L2
L2 R' U' R U2 R2
L2 R' F2 U L' R'
L2 R' F2 U R' L'
R' L2 U R' D2 L2
R' L2 U' R U2 R2
R' L2 U' R U2 R2
U2 L2 R' U L2 R'
U2 L2 R' U R' L2
U L2 R' U R' D
U L2 R' U R' D'
U L2 R' U R' D2
U L2 R' U D R'
U L2 R' U D' R'
U L2 R' U D2 R'
U L2 R' D U R'
U L2 R' D' U R'
U L2 R' D2 U R'
R' L2 F2 U L' R'
R' L2 F2 U R' L'
U L2 D R' B2 U
L' U L' R' U R'
L U L R' U R'
L' U R' L' U R'
L U R' L U R'
U2 R D' R F2 B2
U2 R D' R B2 F2
U2 R D' B2 R F2
U2 R' L2 U L2 R'
U2 R' L2 U R' L2
U R' L2 U R' D
U R' L2 U R' D'
U R' L2 U R' D2
U R' L2 U D R'
U R' L2 U D' R'
U R' L2 U D2 R'
U R' L2 D U R'
U R' L2 D' U R'
U R' L2 D2 U R'
U R' U R' D' B2
U R' U D' R' B2
U R' D' U R' B2
U2 R2 U' L2 R U
U2 R2 U' R L2 U
F' U L2 R' U R'
F2 U L2 R' U R'
F U L2 R' U R'
F' U R' L2 U R'
F2 U R' L2 U R'
F U R' L2 U R'
R D' B2 L R F2
R D' B2 R L F2
R D' B2 R F2 L
R' F2 L2 U L R'
R' F2 L2 U R' L
D F2 U R' B2 U
F2 U2 L2 R' U R' L2
B' U2 R D' R F' B2
B' U2 R D' R B2 F'
B' U2 R D' B2 R F'
F U2 L2 R' U L2 R'
F U2 L2 R' U R' L2
F' U2 R D' R F2 B2
F' U2 R D' R B2 F2
F' U2 R D' B2 R F2
F2 U2 R D' R F2 B2
F2 U2 R D' R B2 F2
F2 U2 R D' B2 R F2
F' U2 R' L2 U L2 R'
F' U2 R' L2 U R' L2
F2 U2 R' L2 U L2 R'
F2 U2 R' L2 U R' L2
F U2 R D' R F2 B2
F U2 R D' R B2 F2
F U2 R D' B2 R F2
F' U2 R2 U' L2 R U
F' U2 R2 U' R L2 U
F U2 R' L2 U L2 R'
F U2 R' L2 U R' L2
F2 U2 R2 U' L2 R U
F2 U2 R2 U' R L2 U
D' U2 B2 U L F2 U'
D' U2 B2 U F2 L U'
F U2 R2 U' L2 R U
F U2 R2 U' R L2 U
R' F L2 F U L' R'
R' F L2 F U R' L'
U2 F L2 R' U L2 R'
U2 F L2 R' U R' L2
U2 F R D' R F2 B2
U2 F R D' R B2 F2
U2 F R D' B2 R F2
U F L2 F' R' U R'
U2 F R' L2 U L2 R'
U2 F R' L2 U R' L2
L2 F R' U R' D2 L2
L2 F R' U' R U2 R2
L2 F R' F2 U L' R'
L2 F R' F2 U R' L'
U2 F R2 U' L2 R U
U2 F R2 U' R L2 U
L F U L R' U R'
U2 F U' L2 R' U R'
U' F U2 L2 R' U R'
U2 F U' R' L2 U R'
U' F U2 R' L2 U R'
L F U R' L U R'
R' F' L2 F' U L' R'
R' F' L2 F' U R' L'
U2 F' L2 R' U L2 R'
U2 F' L2 R' U R' L2
F' D F2 U R' B2 U
U2 F' R D' R F2 B2
U2 F' R D' R B2 F2
U2 F' R D' B2 R F2
B2 D F2 U B2 R' U
F2 D F2 U R' B2 U
U2 F' R' L2 U L2 R'
U2 F' R' L2 U R' L2
L2 F' R' U R' D2 L2
L2 F' R' U' R U2 R2
L2 F' R' F2 U L' R'
L2 F' R' F2 U R' L'
F D F2 U R' B2 U
U2 F' R2 U' L2 R U
U2 F' R2 U' R L2 U
U F' R' F L2 U R'
U' F' U2 L2 R' U R'
U2 F' U' L2 R' U R'
L F' U L R' U R'
U' F' U2 R' L2 U R'
U2 F' U' R' L2 U R'
L F' U R' L U R'
B2 D' U' L F2 U' B2
B2 D' U' F2 L U' B2
D F2 L U R' B2 U
R' F2 L2 U L R' D
R' F2 L2 U L R' D'
R' F2 L2 U L R' D2
R' F2 L2 U L D R'
R' F2 L2 U L D' R'
R' F2 L2 U L D2 R'
R' F2 L2 U R' L D
R' F2 L2 U R' L D'
R' F2 L2 U R' L D2
R' F2 L2 U R' D L
R' F2 L2 U R' D' L
R' F2 L2 U R' D2 L
R' F2 L2 U D L R'
R' F2 L2 U D R' L
R' F2 L2 U D' L R'
R' F2 L2 U D' R' L
R' F2 L2 U D2 L R'
R' F2 L2 U D2 R' L
R' F2 L2 D U L R'
R' F2 L2 D U R' L
R' F2 L2 D' U L R'
R' F2 L2 D' U R' L
R' F2 L2 D2 U L R'
R' F2 L2 D2 U R' L
R' F2 L2 F U L R'
R' F2 L2 F U R' L
R' F2 L2 F' U L R'
R' F2 L2 F' U R' L
D F2 L' U R' B2 U
R' F2 L2 F2 U L R'
R' F2 L2 F2 U R' L
U2 F2 L2 R' U L2 R'
U2 F2 L2 R' U R' L2
D F2 L2 U R' B2 U
U F2 L2 R' F2 U R'
U2 F2 R D' R F2 B2
U2 F2 R D' R B2 F2
U2 F2 R D' B2 R F2
U F2 L2 F2 R' U R'
U2 F2 R' L2 U L2 R'
U2 F2 R' L2 U R' L2
L2 F2 R' U R' D2 L2
L2 F2 R' U' R U2 R2
L2 F2 R' F2 U L' R'
L2 F2 R' F2 U R' L'
U2 F2 R2 U' L2 R U
U2 F2 R2 U' R L2 U
U F2 R' L2 F2 U R'
R' F2 U R' D' L' B2
R' F2 U R' D' B2 L'
R' F2 U D' L' R' B2
R' F2 U D' R' L' B2
R' F2 U D' R' B2 L'
U F2 R' F2 L2 U R'
D F2 U R B2 R2 U
D F2 U R' U D' R2
D F2 U R' D' U R2
D F2 U R' B2 U D
D F2 U R' B2 U D'
D F2 U R' B2 U D2
D F2 U R' B2 D U
D F2 U R' B2 D' U
D F2 U R' B2 D2 U
U' F2 U2 L2 R' U R'
D F2 U R2 B2 R U
U2 F2 U' L2 R' U R'
D F2 U D' R' U R'
U' F2 U2 R' L2 U R'
L F2 U L R' U R'
U2 F2 U' R' L2 U R'
L F2 U R' L U R'
D F2 U B2 U2 L U'
D F2 U2 R D' R2 F2
D F2 U2 R D' F2 R2
B2 D2 L2 U' L' R2 U'
B2 D2 L2 U' R2 L' U'
R' F2 D' U L' R' B2
R' F2 D' U R' L' B2
R' F2 D' U R' B2 L'
D F2 D L2 U R' U
D F2 D' U R' U R'
R F2 D' F2 B2 L R
R F2 D' F2 B2 R L
R F2 D' B2 F2 L R
R F2 D' B2 F2 R L
U B L2 R' U R' F'
U B L2 U R' F' R'
U B L2 B' R' U R'
U B R' L2 U R' F'
U2 B' R D' R F' B2
U2 B' R D' R B2 F'
U2 B' R D' B2 R F'
U B' L2 B R' U R'
U' B2 L B2 R' U' R'
R' B2 L2 U' L' R U2
R' B2 L2 U' R L' U2
D2 B2 L2 U' L' R2 U'
D2 B2 L2 U' R2 L' U'
R' B2 L2 F2 U L' R
R' B2 L2 F2 U R L'
U B2 L2 U2 L' U' R2
R B2 L2 R2 U L' R'
R B2 L2 R2 U R' L'
D' B2 U' L F2 R U'
R B2 R2 L2 U L' R'
R B2 R2 L2 U R' L'
L2 B2 U2 L U' L' R2
L2 B2 U2 L U' R2 L'
L B2 U' L R' U' R'
L B2 U' R' L U' R'
R B2 D' L R F2 B2
R B2 D' L R B2 F2
R B2 D' L B2 R F2
R B2 D' R L F2 B2
R B2 D' R L B2 F2
R B2 D' R F2 L B2
