D L2 F U' B
U' B D' R2 F'
D L2 D F U' B
D L2 D' F U' B
D L2 D2 F U' B
D2 L2 F U' F B
D2 L2 F U' B F
D L2 F U' D B
D L2 F U' D' B
D L2 F U' D2 B
D L2 F U' B D
D L2 F U' B D'
D L2 F U' B D2
D L2 F D U' B
D L2 F D' U' B
D L2 F D2 U' B
L2 D F L2 U' B
D2 U' F2 B D' R2
U' D' B D' R2 F2
U' D' B D' F2 R2
D' U' B D' R2 F2
D2 U' B F2 D' R2
D' U' B D' F2 R2
U2 D' B' R2 U B2
F' U' B D' R2 F'
F2 U' B D' R2 F'
F U' B D' R2 F'
L2 D2 F U' F B
L2 D2 F U' B F
U' D2 F2 B D' R2
U' D2 B F2 D' R2
D' U2 B' R2 U B2
U2 D2 B' U F2 B2
U2 D2 B' U B2 F2
D2 U2 B' U F2 B2
D2 U2 B' U B2 F2
D F L2 F U' B
L2 F U B2 U2 B'
L2 F U' D2 F2 B
L2 F U' D2 B F2
F' D L2 F U' B
L2 F D L2 U' B
F2 D L2 F U' B
F D L2 F U' B
L2 F D2 U' F2 B
L2 F D2 U' B F2
U' F B D' R2 F'
D F' L2 F U' B
U' F' B D' R2 F'
D F2 L2 F U' B
U' F2 B D' R2 F'
U' B R2 D' F' R2
U' B R2 F' D' R2
U' B D' R2 D F'
U' B D' R2 D' F'
U' B D' R2 D2 F'
U' B D' R2 F' D
U' B D' R2 F' D'
U' B D' R2 F' D2
U' B D' F R2 F'
U' B D' F' R2 F'
U' B D' F2 R2 F'
U' B F D' R2 F'
U' B F' D' R2 F'
U' B F2 D' R2 F'
U2 B' L2 U F B2
U2 B' L2 U B2 F
D' B' R2 F' U B2
U2 B' U' B' U2 B'
U2 B' D L2 U F
U B2 U B U B2
U B2 U2 B' D' R2
D2 F' U2 B' U B2 F'
D' F' U2 B' R2 U B2
L2 F' D L2 U' B R2
U' F' D' B D' R2 F2
U' F' D' B D' F2 R2
U F' U2 B D' R2 F'
B D' L2 R2 F' D' L2
D' F' D2 L2 F U' B
U' F' D2 F2 B D' R2
U' F' D2 B F2 D' R2
U' F' B R2 D' F' R2
U' F' B R2 F' D' R2
U' F' B D' R2 D F'
U' F' B D' R2 D' F'
U' F' B D' R2 D2 F'
U' F' B D' R2 F' D
U' F' B D' R2 F' D'
U' F' B D' R2 F' D2
U' F' B D' F R2 F'
U' F' B D' F' R2 F'
U' F' B D' F2 R2 F'
D' F' B' R2 F' U B2
B2 D' R2 U' F' U' B'
B D' R2 L2 F' D' L2
B D' R2 U B' U' F'
B D' R2 F' U B' U'
F' D' U' B D' R2 F2
F' D' U' B D' F2 R2
F2 D' U' B D' R2 F2
F2 D' U' B D' F2 R2
U F' B2 U B U B2
F' D' U2 B' R2 U B2
U F' B2 U2 B' D' R2
F2 D' U2 B' R2 U B2
F D' U' B D' R2 F2
F D' U' B D' F2 R2
D2 F2 L2 F U' F' B
D2 F2 L2 F U' B F'
F D' U2 B' R2 U B2
D F2 L2 D F U' B
D F2 L2 D' F U' B
D F2 L2 D2 F U' B
D F2 L2 F U' D B
D F2 L2 F U' D' B
D F2 L2 F U' D2 B
D F2 L2 F U' B D
D F2 L2 F U' B D'
D F2 L2 F U' B D2
D F2 L2 F D U' B
D F2 L2 F D' U' B
D F2 L2 F D2 U' B
F' D' B' R2 F' U B2
F2 D' B' R2 F' U B2
B D' B' U' B R2 F'
F D' B' R2 F' U B2
D' F2 U' B D' R2 F2
D' F2 U' B D' F2 R2
D' F2 U2 B' R2 U B2
L2 F2 D L2 F' U' B
F' D2 L2 F U' F B
F' D2 L2 F U' B F
R2 F2 D L2 F U' B'
L2 F2 D F' L2 U' B
U' F2 D' B D' R2 F2
U' F2 D' B D' F2 R2
F2 D2 L2 F U' F B
F2 D2 L2 F U' B F
U F2 U2 B D' R2 F'
D' F2 D2 L2 F U' B
U' F2 D2 F2 B D' R2
U' F2 D2 B F2 D' R2
F D2 L2 F U' F B
F D2 L2 F U' B F
U' F2 B R2 D' F' R2
U' F2 B R2 F' D' R2
U' F2 B D' R2 D F'
U' F2 B D' R2 D' F'
U' F2 B D' R2 D2 F'
U' F2 B D' R2 F' D
U' F2 B D' R2 F' D'
U' F2 B D' R2 F' D2
U' F2 B D' F R2 F'
U' F2 B D' F' R2 F'
U' F2 B D' F2 R2 F'
L2 F2 D2 F' U' F' B
L2 F2 D2 F' U' B F'
D' F2 B' R2 F' U B2
U2 F2 B D' L2 R2 F'
U2 F2 B D' R2 L2 F'
U2 F2 B D' R2 F' L2
B2 D2 U F2 B U B2
B2 D2 U B F2 U B2
U' B L D' L' R2 F'
U' B L D' R2 L' F'
F' D2 U' F2 B D' R2
F' D2 U' B F2 D' R2
F2 D2 U' F2 B D' R2
F2 D2 U' B F2 D' R2
U' B L' D' L R2 F'
U' B L' D' R2 L F'
U' B L' D' R2 F' L
F' D2 U2 B' U F2 B2
F' D2 U2 B' U B2 F2
U F2 B2 U B U B2
B2 D2 U2 B' D' L2 R2
B2 D2 U2 B' D' R2 L2
U F2 B2 U2 B' D' R2
F2 D2 U2 B' U F2 B2
F2 D2 U2 B' U B2 F2
F D2 U' F2 B D' R2
F D2 U' B F2 D' R2
F D2 U2 B' U F2 B2
F D2 U2 B' U B2 F2
U' B R' D' R' F' R'
U' B R2 U' B2 U F'
U' B R2 D F' D2 R2
U' B R2 D' F R2 F2
U' B R2 D' F' R2 D
U' B R2 D' F' R2 D'
U' B R2 D' F' R2 D2
U' B R2 D' F2 R2 F
U' B R2 F' R D' R2
U' B R2 F' R' D' R2
U' B R2 F' R2 D' R2
U' B R2 F' U' B2 U
U' B R2 F' D' R2 D
U' B R2 F' D' R2 D'
U' B R2 F' D' R2 D2
U' B R2 F2 D' R2 F
U' B R2 F2 D' F R2
B2 D2 B' D' L2 R2 F'
B2 D2 B' D' R2 L2 F'
B2 D2 B' D' R2 F' L2
U2 B R2 B2 U F' B2
U2 B R2 B2 U B2 F'
U' B U' R2 B2 U F'
U' B U' B2 U' B' U2
D' B U' B2 R2 F' U
U' B U2 D L2 B U2
U' B U2 D B L2 U2
U' B U2 D' B U2 R2
D B U B' L2 F U'
U' B U2 B U B U
U' B D R2 D2 F' R2
U' B D R2 F' D2 R2
U' B D U2 L2 B U2
U' B D U2 B L2 U2
U' B D F D2 R2 F'
U' B D F' D2 R2 F'
U' B D F2 D2 R2 F'
U' B D' L' R2 F' L
U' B D' L2 R2 F' L2
U' B D' R' D R' F'
U' B D' R' D' R' F'
U' B D' R' D2 R' F'
U' B D' R' F R' F'
U' B D' R' F' R' F'
U' B D' R' F2 R' F'
U' B D' R2 L' F' L
U' B D' R2 L2 F' L2
U' B D' R2 D F' D
U' B D' R2 D F' D'
U' B D' R2 D F' D2
U' B D' R2 D' F' D
U' B D' R2 D' F' D'
U' B D' R2 D' F' D2
U' B D' R2 D2 F' D
U' B D' R2 D2 F' D'
U' B D' R2 D2 F' D2
U' B D' R2 F2 D F
U' B D' R2 F2 D' F
U' B D' R2 F2 D2 F
U' B D' U2 B U2 R2
U' B D' F R2 D F'
U' B D' F R2 D' F'
U' B D' F R2 D2 F'
U' B D' F R2 F' D
U' B D' F R2 F' D'
U' B D' F R2 F' D2
U' B D' F' R2 D F'
U' B D' F' R2 D' F'
U' B D' F' R2 D2 F'
U' B D' F' R2 F' D
U' B D' F' R2 F' D'
U' B D' F' R2 F' D2
U' B D' F2 R2 D F'
U' B D' F2 R2 D' F'
U' B D' F2 R2 D2 F'
U' B D' F2 R2 F' D
U' B D' F2 R2 F' D'
U' B D' F2 R2 F' D2
U' B D2 R2 D F' R2
U B D L2 B U2 B'
U B D B L2 F U2
U' B F R2 D' F' R2
U' B F R2 F' D' R2
U' B F D' R2 D F'
U' B F D' R2 D' F'
U' B F D' R2 D2 F'
U' B F D' R2 F' D
U' B F D' R2 F' D'
U' B F D' R2 F' D2
U' B F D' F R2 F'
U' B F D' F' R2 F'
U' B F D' F2 R2 F'
U B D' R2 D2 L2 F'
U B D' R2 D2 F' L2
U B D' R2 F' D2 L2
U' B F' R2 D' F' R2
U' B F' R2 F' D' R2
U B D' B U2 R2 B'
U B D' B U2 B' R2
U' B F' D' R2 D F'
U' B F' D' R2 D' F'
U' B F' D' R2 D2 F'
U' B F' D' R2 F' D
U' B F' D' R2 F' D'
U' B F' D' R2 F' D2
U' B F' D' F R2 F'
U' B F' D' F' R2 F'
U' B F' D' F2 R2 F'
U' B F2 R2 D' F' R2
U' B F2 R2 F' D' R2
U' B F2 D' R2 D F'
U' B F2 D' R2 D' F'
U' B F2 D' R2 D2 F'
U' B F2 D' R2 F' D
U' B F2 D' R2 F' D'
U' B F2 D' R2 F' D2
U' B F2 D' F R2 F'
U' B F2 D' F' R2 F'
U' B F2 D' F2 R2 F'
D' B' L R2 F' U B2
U2 B F2 D' L2 R2 F'
U2 B F2 D' R2 L2 F'
U2 B F2 D' R2 F' L2
D' B' L' R2 F' U B2
U' B' L2 U F L2 B2
U' B' L2 U F B2 L2
U' B' L2 U B2 F L2
D' B' L2 R2 F' U B2
U2 B' L2 R U F B2
U2 B' L2 R U B2 F
U2 B' L2 R' U F B2
U2 B' L2 R' U B2 F
U2 B' L2 R2 U F B2
U2 B' L2 R2 U B2 F
U2 B' L2 U F B2 D
U2 B' L2 U F B2 D'
U2 B' L2 U F B2 D2
U2 B' L2 U B2 D F
U2 B' L2 U B2 D' F
U2 B' L2 U B2 D2 F
U2 B' L2 U B2 F D
U2 B' L2 U B2 F D'
U2 B' L2 U B2 F D2
U' B' R B2 D' R2 F'
U2 B' R L2 U F B2
U2 B' R L2 U B2 F
U2 B' R U' B' U2 B'
U2 B' R D L2 U F
U' B' R' B2 D' R2 F'
U2 B' R' L2 U F B2
U2 B' R' L2 U B2 F
D' B' R2 L F' U B2
D' B' R2 L' F' U B2
U2 B' R' U' B' U2 B'
D' B' R2 L2 F' U B2
U2 B' R' D L2 U F
D' B' R2 D L2 F' U
D' B' R2 D F' L2 U
D2 B' R2 F' U F' B2
D2 B' R2 F' U B2 F'
U' B' R2 B2 D' R2 F'
D' B' R2 F' L U B2
D' B' R2 F' L' U B2
D' B' R2 F' L2 U B2
D' B' R2 F' U B2 D
D' B' R2 F' U B2 D'
D' B' R2 F' U B2 D2
D' B' R2 F' D L2 U
U2 B' R2 L2 U F B2
U2 B' R2 L2 U B2 F
U2 B' R2 U' B' U2 B'
U2 B' R2 D L2 U F
U2 B' U L2 F L2 B2
U2 B' U L2 F B2 L2
U2 B' U L2 B2 F L2
U2 B' U R2 B2 R2 F'
U2 B' U B D2 F2 B
U2 B' U B D2 B F2
U2 B' U B2 R2 F' R2
U2 B' U B2 U2 B U2
U2 B' U' D2 F2 B' U2
U2 B' U' D2 B' F2 U2
U2 B' U' F B' U2 B'
U2 B' U' F' B' U2 B'
U2 B' U' F2 B' U2 B'
D2 B' U2 B U' F2 B
D2 B' U2 B U' B F2
U2 B' U' B' U2 D B'
U2 B' U' B' U2 D' B'
U2 B' U' B' U2 D2 B'
U2 B' U' B' U2 B' D
U2 B' U' B' U2 B' D'
U2 B' U' B' U2 B' D2
U2 B' U' B' D U2 B'
U2 B' U' B' D' U2 B'
U2 B' U' B' D2 U2 B'
U' B' D L2 U F L2
U2 B' U' B' F U2 B'
U2 B' U' B' F' U2 B'
U2 B' U' B' F2 U2 B'
U2 B' U2 L2 U' F B2
U2 B' U2 L2 U' B2 F
D2 B' D L2 R2 F' U
D2 B' D R2 L2 F' U
D2 B' D R2 F' L2 U
D B' U2 L2 B U' B
U2 B' D L2 R U F
U2 B' D L2 R' U F
U2 B' D L2 R2 U F
U2 B' D L2 U D F
U2 B' D L2 U D' F
U2 B' D L2 U D2 F
U2 B' D L2 U F D
U2 B' D L2 U F D'
U2 B' D L2 U F D2
U2 B' D L2 D U F
U2 B' D L2 D' U F
U2 B' D L2 D2 U F
U2 B' D R L2 U F
U2 B' D R' L2 U F
U2 B' D R2 L2 U F
D B' U2 B L2 U' B
U2 B' D2 U' F2 B' U2
U2 B' D2 U' B' F2 U2
D' B' F R2 F' U B2
D' B' F' R2 F' U B2
D' B' F2 R2 F' U B2
U B2 L U B L U
U B2 L2 F U B U
L2 B2 U' F B2 U' B
U B2 U D B U B2
L2 B2 U' B2 F U' B
U B2 U D' B U B2
U B2 U D2 B U B2
U B2 U B L U B2
U B2 U B L' U B2
U B2 U B L2 U B2
U B2 U B U B2 D
U B2 U B U B2 D'
U B2 U B U B2 D2
U B2 U B D L2 U
U' B2 D B' D' R2 F'
U B2 U' R' U' B' R'
U B2 U' R2 F' U' B'
U' B2 D' B' D' R2 F'
U B2 U2 D B' D' R2
U B2 U2 D' B' D' R2
U B2 U2 D2 B' D' R2
U B2 U2 B' R D' R2
U B2 U2 B' R' D' R2
U B2 U2 B' R2 D' R2
U B2 U2 B' U' B2 U
U B2 U2 B' D' R2 D
U B2 U2 B' D' R2 D'
U B2 U2 B' D' R2 D2
U' B2 D2 B' D' R2 F'
U B2 D U B U B2
U B2 D U2 B' D' R2
U B2 D' U B U B2
U B2 D' U2 B' D' R2
U B2 D2 U B U B2
U B2 D2 U2 B' D' R2
U B2 F U B U B2
U B2 F U2 B' D' R2
U B2 F' U B U B2
U B2 F' U2 B' D' R2
U B2 F2 U B U B2
U B2 F2 U2 B' D' R2
