U L U L' R'
U L U R' L'
L R U R2 D' F2
R L U R2 D' F2
U L U L' R' D
U L U L' R' D'
U L U L' R' D2
U L U L' D R'
U L U L' D' R'
U L U L' D2 R'
U L U R' L' D
U L U R' L' D'
U L U R' L' D2
U L U R' D L'
U L U R' D' L'
U L U R' D2 L'
U L U D L' R'
U L U D R' L'
U L U D' L' R'
U L U D' R' L'
U L U D2 L' R'
U L U D2 R' L'
U L D U L' R'
U L D U R' L'
U L D' U L' R'
U L D' U R' L'
U L D2 U L' R'
U L D2 U R' L'
L R B' U R2 F'
R L B' U R2 F'
R2 U L U L' R
R2 U L U R L'
R U L U L' R2
R U L U R2 L'
L' U L2 U L2 R'
L' U L2 U R' L2
L2 U L' U L R'
L2 U L' U R' L
L U R' U' R U
L U R2 D' R F2
U2 R' U' L U L'
U R' U' L R U
U R' U' R L U
L U2 F U' F' R'
L U2 F' U' R' F
L U2 F' U' F R'
L U2 F2 U' R' F2
L U2 F2 U' F2 R'
D2 U L U L' R'
D2 U L U R' L'
D' U L U L' R'
D' U L U R' L'
F2 U L F2 U R'
U D L U L' R'
U D L U R' L'
D U L U L' R'
D U L U R' L'
F U L F' U R'
F' U F L U R'
F2 U F2 L U R'
F U F' L U R'
U D' L U L' R'
U D' L U R' L'
U D2 L U L' R'
U D2 L U R' L'
U F L U L' R'
U F L U R' L'
U F' L U L' R'
U F' L U R' L'
U F2 L U L' R'
U F2 L U R' L'
L B' U' B U2 R'
L B2 U' L B2 U2
L B2 U' B2 U2 R'
F U F' L D2 U R'
F2 U F2 L U R' D
F2 U F2 L U R' D'
F2 U F2 L U R' D2
F2 U F2 L U D R'
F2 U F2 L U D' R'
F2 U F2 L U D2 R'
F2 U F2 L D U R'
F2 U F2 L D' U R'
F2 U F2 L D2 U R'
F U F' D L U R'
F2 U F2 D L U R'
F U F' D' L U R'
F2 U F2 D' L U R'
F U F' D2 L U R'
L D' R U R2 D' F2
F2 U F2 D2 L U R'
L D' R B' U R2 F'
U D' L U L' R' D
U D' L U L' R' D'
U D' L U L' R' D2
U D' L U L' D R'
U D' L U L' D' R'
U D' L U L' D2 R'
U D' L U R' L' D
U D' L U R' L' D'
U D' L U R' L' D2
U D' L U R' D L'
U D' L U R' D' L'
U D' L U R' D2 L'
U D' L U D L' R'
U D' L U D R' L'
U D' L U D' L' R'
U D' L U D' R' L'
U D' L U D2 L' R'
U D' L U D2 R' L'
L2 D' U L' U L R'
L2 D' U L' U R' L
R2 D' U L U L' R
R2 D' U L U R L'
U D' L D U L' R'
U D' L D U R' L'
U D' L D' U L' R'
U D' L D' U R' L'
U D' L D2 U L' R'
U D' L D2 U R' L'
L D' U R' U' R U
L D' U R2 D' R F2
L' D' U2 R' B2 D L2
B' U' L F B U2 R'
B' U' L B F U2 R'
F2 U' L F2 R U R2
B2 U' L B2 U L U
B' U' L' B U2 R' B2
L D' U2 F U' F' R'
L D' U2 F' U' R' F
L D' U2 F' U' F R'
L D' U2 F2 U' R' F2
L D' U2 F2 U' F2 R'
U2 D' R' U' L U L'
U D' R' U' L R U
U D' R' U' R L U
U D' F L U L' R'
U D' F L U R' L'
U D' F' L U L' R'
U D' F' L U R' L'
U D' F2 L U L' R'
U D' F2 L U R' L'
L D' B' U' B U2 R'
L D' B2 U' L B2 U2
L D' B2 U' B2 U2 R'
R D2 L2 U L' U L
U D2 L U L' R' D
U D2 L U L' R' D'
U D2 L U L' R' D2
U D2 L U L' D R'
U D2 L U L' D' R'
U D2 L U L' D2 R'
U D2 L U R' L' D
U D2 L U R' L' D'
U D2 L U R' L' D2
U D2 L U R' D L'
U D2 L U R' D' L'
U D2 L U R' D2 L'
U D2 L U D L' R'
U D2 L U D R' L'
U D2 L U D' L' R'
U D2 L U D' R' L'
U D2 L U D2 L' R'
U D2 L U D2 R' L'
U D2 L D U L' R'
U D2 L D U R' L'
U D2 L D' U L' R'
U D2 L D' U R' L'
U D2 L D2 U L' R'
U D2 L D2 U R' L'
B' U' B L F U2 R'
B' U' B L' U2 R' B'
L D2 R U R2 D' F2
B' U' B U2 R B R2
L D2 R B' U R2 F'
B' U' B' L F B2 U2
B' U' B' L B2 F U2
D' U2 R' U' L U L'
D2 U2 R' U' L U L'
L2 D2 U L' U L R'
L2 D2 U L' U R' L
R2 D2 U L U L' R
R2 D2 U L U R L'
B2 U' B2 U L U R'
U2 D2 R' U' L U L'
D U2 R' U' L U L'
L D2 U R' U' R U
L D2 U R2 D' R F2
U D2 R' U' L R U
U D2 R' U' R L U
F2 U2 L F2 U R' F2
F2 U2 L F2 U F2 R'
F2 U2 L' R' D' L2 B2
F2 U2 L' R' D' B2 L2
F2 U2 L' D' L2 R' B2
F2 U2 L' D' R' L2 B2
F2 U2 L' D' R' B2 L2
F U2 L F' U R' F
F U2 L F' U F R'
L D2 U2 F U' F' R'
L D2 U2 F' U' R' F
L D2 U2 F' U' F R'
L D2 U2 F2 U' R' F2
L D2 U2 F2 U' F2 R'
U D2 F L U L' R'
U D2 F L U R' L'
U D2 F' L U L' R'
U D2 F' L U R' L'
F' U2 R' U' F L U
B2 U2 R' U L B2 U2
F2 U2 R' L' D' L2 B2
B2 U2 R' U B2 U2 R'
F2 U2 R' L' D' B2 L2
U D2 F2 L U L' R'
U D2 F2 L U R' L'
F2 U2 R' U' L F2 U
F2 U2 R' U' F2 L U
L D2 B' U' B U2 R'
L D2 B2 U' L B2 U2
L D2 B2 U' B2 U2 R'
F' U2 F L U F' R'
U F L U L' R' D
U F L U L' R' D'
U F L U L' R' D2
U F L U L' D R'
U F L U L' D' R'
U F L U L' D2 R'
U F L U R' L' D
U F L U R' L' D'
U F L U R' L' D2
U F L U R' D L'
U F L U R' D' L'
U F L U R' D2 L'
U F L U D L' R'
U F L U D R' L'
U F L U D' L' R'
U F L U D' R' L'
U F L U D2 L' R'
U F L U D2 R' L'
U F L D U L' R'
U F L D U R' L'
U F L D' U L' R'
U F L D' U R' L'
U F L D2 U L' R'
U F L D2 U R' L'
F2 U2 F2 L U R' F2
F2 U2 F2 L U F2 R'
U F R' U' L R U
U F R' U' R L U
D' F U L F' U R'
D2 F U L F' U R'
L' F U L2 F' U R'
D' F U F' L U R'
D2 F U F' L U R'
L' F U F' L2 U R'
R2 F U L F' U R
D F U L F' U R'
R2 F U F' L U R
U' F U2 L U L' R'
U' F U2 L U R' L'
D F U F' L U R'
R F U L F' U R2
R F U F' L U R2
U2 F U2 L U F' R'
U F D L U L' R'
U F D L U R' L'
U F D' L U L' R'
U F D' L U R' L'
U F D2 L U L' R'
U F D2 L U R' L'
F2 D R2 U L U R
F' D U F L U R'
F D U L F' U R'
F D U F' L U R'
U F' L U L' R' D
U F' L U L' R' D'
U F' L U L' R' D2
U F' L U L' D R'
U F' L U L' D' R'
U F' L U L' D2 R'
U F' L U R' L' D
U F' L U R' L' D'
U F' L U R' L' D2
U F' L U R' D L'
U F' L U R' D' L'
U F' L U R' D2 L'
U F' L U D L' R'
U F' L U D R' L'
U F' L U D' L' R'
U F' L U D' R' L'
U F' L U D2 L' R'
U F' L U D2 R' L'
U F' L D U L' R'
U F' L D U R' L'
U F' L D' U L' R'
U F' L D' U R' L'
U F' L D2 U L' R'
U F' L D2 U R' L'
U F' R' U' L R U
U F' R' U' R L U
D2 F' U F L U R'
D' F' U F L U R'
L' F' U F L2 U R'
L2 F' U F L' U R'
U' F' U2 L U L' R'
U' F' U2 L U R' L'
D F' U F L U R'
R F' U F L U R2
U F' D L U L' R'
U F' D L U R' L'
U F' D' L U L' R'
U F' D' L U R' L'
U F' D2 L U L' R'
U F' D2 L U R' L'
F2 D' U L U L R'
F2 D' U L U R' L
F' D' U F L U R'
F D' U L F' U R'
U2 F2 L U R' F2 L'
F D' U F' L U R'
U F2 L U L' R' D
U F2 L U L' R' D'
U F2 L U L' R' D2
U F2 L U L' D R'
U F2 L U L' D' R'
U F2 L U L' D2 R'
U F2 L U R' L' D
U F2 L U R' L' D'
U F2 L U R' L' D2
U F2 L U R' D L'
U F2 L U R' D' L'
U F2 L U R' D2 L'
U F2 L U D L' R'
U F2 L U D R' L'
U F2 L U D' L' R'
U F2 L U D' R' L'
U F2 L U D2 L' R'
U F2 L U D2 R' L'
U F2 L D U L' R'
U F2 L D U R' L'
R2 F2 L' U L2 F2 U
R2 F2 L' U F2 L2 U
U F2 L D' U L' R'
U F2 L D' U R' L'
U F2 L D2 U L' R'
U F2 L D2 U R' L'
R2 F2 L' U2 D' L2 B2
R2 F2 L' U2 D' B2 L2
R2 F2 L' D R2 F2 U2
R2 F2 L' D F2 R2 U2
R2 F2 L' D' U2 L2 B2
R2 F2 L' D' U2 B2 L2
D2 F2 U L F2 U R'
D' F2 U L F2 U R'
U F2 R' U' L R U
U F2 R' U' R L U
L' F2 U L2 F2 U R'
D2 F2 U F2 L U R'
D' F2 U F2 L U R'
L' F2 U F2 L2 U R'
B2 D' B2 L R2 U R
R' F2 U' L F2 R U
B2 D' B2 R2 L U R
D F2 U L F2 U R'
L2 F2 U F2 L' U R'
U' F2 U2 L U L' R'
U' F2 U2 L U R' L'
R2 F2 U F2 L U R
D F2 U F2 L U R'
R F2 U L F2 U R2
L' F2 U2 R' D' L2 B2
L' F2 U2 R' D' B2 L2
L' F2 U2 D' L2 R' B2
L' F2 U2 D' R' L2 B2
L' F2 U2 D' R' B2 L2
U2 F2 U2 L U R' F2
U2 F2 U2 L U F2 R'
R F2 U F2 L U R2
L' F2 D R2 F2 L' U2
L' F2 D F2 R2 U2 R
L' F2 D' U2 L2 R' B2
L' F2 D' U2 R' L2 B2
L' F2 D' U2 R' B2 L2
U F2 D L U L' R'
U F2 D L U R' L'
U F2 D' L U L' R'
U F2 D' L U R' L'
B' D2 R2 U F' R B
U F2 D2 L U L' R'
U F2 D2 L U R' L'
F' D2 U F L U R'
F D2 U L F' U R'
F D2 U F' L U R'
L' B L2 B' U R' F
L' B L2 B' U F R'
B2 D2 B2 L U R' F2
B2 D2 B2 L U F2 R'
L2 B' L' U' B U2 R'
L' B' L2 U' B U2 R'
R B' R U R F' B
R B' R U R B F'
L B' R2 U D2 F' R
L B' R2 D2 U F' R
R2 B' U R2 F' R' B
L B' R2 B U F' R'
L B' U R2 D2 F' R
L B' U D2 R2 F' R
R B' U R B R F'
R2 B' U' B U2 R B
L B' U' L B U2 R'
L B' U' L' B U2 R'
L B' U' L2 B U2 R'
L B' U' B L U2 R'
L B' U' B L' U2 R'
L B' U' B L2 U2 R'
L B' U' B U2 R' D
L B' U' B U2 R' D'
L B' U' B U2 R' D2
L B' U' B U2 D R'
L B' U' B U2 D' R'
L B' U' B U2 D2 R'
L B' U' B D U2 R'
L B' U' B D' U2 R'
L B' U' B D2 U2 R'
L B' U' B' L B2 U2
L B' D2 R2 U F' R
L B' D2 U R2 F' R
U' B2 L U' L' R' U'
U' B2 L U' R' L' U'
L2 B2 L' U D2 R2 F2
L2 B2 L' U D2 F2 R2
L2 B2 L' U' L2 B2 U2
L2 B2 L' U' B2 L2 U2
L2 B2 L' D' R2 B2 U
L2 B2 L' D' B2 R2 U
L2 B2 L' D2 U R2 F2
L2 B2 L' D2 U F2 R2
L' B2 L2 U D2 F2 R
L' B2 L2 U' L' B2 U2
L' B2 L2 U' B2 L' U2
L' B2 L2 D2 U F2 R
U' B2 R' U L R U2
U' B2 R' U R L U2
U2 B2 R D B2 L2 R'
U2 B2 R D B2 R' L2
L B2 R U' L B2 U2
L B2 R U' B2 U2 R'
L B2 R' U' L B2 U2
L B2 R' U' B2 U2 R'
U2 B2 U R' B2 U' R'
L B2 R2 U' L B2 U2
L B2 R2 U' B2 U2 R'
L B2 U' L U2 D2 F2
L B2 U' L D2 U2 F2
L B2 U' L B2 U2 D
L B2 U' L B2 U2 D'
L B2 U' L B2 U2 D2
L B2 U' L B2 D U2
L B2 U' L B2 D' U2
L B2 U' L B2 D2 U2
L B2 U' L' B2 L2 U2
L B2 U' L2 B2 L' U2
L B2 U' D2 L U2 F2
L B2 U' B2 L U2 R'
L B2 U' B2 L' U2 R'
L B2 U' B2 L2 U2 R'
L B2 U' B2 U2 R' D
L B2 U' B2 U2 R' D'
L B2 U' B2 U2 R' D2
L B2 U' B2 U2 D R'
L B2 U' B2 U2 D' R'
L B2 U' B2 U2 D2 R'
L B2 U' B2 D U2 R'
L B2 U' B2 D' U2 R'
L B2 U' B2 D2 U2 R'
L' B2 D' R2 U B2 R'
L B2 D' R2 U' L U2
L B2 D' R2 B2 U R'
L B2 D' B2 R2 U R
L B2 D2 U' L U2 F2
L B2 D2 B2 U R' F2
L B2 D2 B2 U F2 R'
