D' L R2 D' L2 B2
D' L R2 D' B2 L2
L R D' R2 B2 L
R' L D' B2 L R2
R' L D' B2 R2 L
R' L D' B2 R2 L
R L D' R2 B2 L
D2 L D' L B2 R'
L R' D' B2 L R2
L R' D' B2 R2 L
U' L' D' F2 U R2
B2 L' D' F2 U F2
D' L' F2 U R2 F2
D' L' F2 U F2 R2
U' L' B2 U D2 L2
U' L' B2 U' R2 U2
U' L' B2 D' F2 U
U' L' B2 D2 U L2
R2 U L' B2 R' U
R' U' L' B2 U L
R' U' B2 L' U L2
D' R2 L D' L2 B2
D' R2 L D' B2 L2
U2 R2 U L' B2 U
U2 R2 U B2 L' U
D' R2 U' L' F2 U
D2 U F2 R U' L2
U' D' L' F2 U R2
L D' R2 B2 D' L2
D' U' L' F2 U R2
L' D' F2 U R2 F2
L' D' F2 U F2 R2
L D' B2 R2 D' L2
L D2 L2 D R2 B2
L D2 L2 D B2 R2
U D2 F2 R U' L2
B2 D' L' F2 U F2
D2 F2 R U' L2 F2
D2 F2 R U' F2 L2
U' B2 L' U D2 L2
U' B2 L' U' R2 U2
U' B2 L' D' F2 U
U' B2 L' D2 U L2
L' B2 D' F2 U F2
U' B2 D' L' F2 U
U' B2 D2 L' U L'
B U' B L' D' F2 U
B U' B L' D2 U L2
D U2 L2 U' B2 R' U'
B' U' B' D' L' F2 U
L' D2 U L2 D R2 F2
L' D2 U L2 D F2 R2
B' U' B' D2 L' U L'
B U' B D' L' F2 U
B U' B D2 L' U L'
L D2 R2 F2 U' L2 F2
L D2 R2 F2 U' F2 L2
U D2 R F2 R U' L2
L D2 U R2 F2 U' L2
L D2 U F2 R2 U' L2
R D2 U F2 R U' L'
U D2 R' F2 R U' L2
U D2 R2 F2 R U' L2
U D2 F2 R U' L2 D
U D2 F2 R U' L2 D'
U D2 F2 R U' L2 D2
U D2 F2 R D' B2 U'
U D2 F2 R B U' L2
U D2 F2 R B' U' L2
U D2 F2 R B2 U' L2
R D2 F2 R U' L' F2
L D2 F2 R2 U' L2 F2
L D2 F2 R2 U' F2 L2
B' U2 R2 U B' L' U
U D2 F2 D' R B2 U'
U D2 F2 D' B2 R U'
U D2 F2 B R U' L2
U D2 F2 B' R U' L2
U D2 F2 B2 R U' L2
L D2 B L2 D R2 B2
L D2 B L2 D B2 R2
U D2 B F2 R U' L2
L D2 B' L2 D R2 B2
L D2 B' L2 D B2 R2
U D2 B' F2 R U' L2
L D2 B2 L2 D R2 B2
L D2 B2 L2 D B2 R2
U D2 B2 F2 R U' L2
B2 D L' D2 F2 U F2
L' F D' F2 U R2 F
L' F D' F2 U F R2
L' F B2 U D2 L2 F'
L' F B2 U D2 F' L2
L' F B2 U F' D2 L2
L' F B2 U' R2 B U2
L' F B2 D' F2 U F
L' F B2 D2 U L2 F'
L' F B2 D2 U F' L2
L' F' R' B2 U F L
B2 D' L F2 L2 U F2
B2 D' L' R F2 U F2
B2 D' L' R' F2 U F2
B2 D' L' R2 F2 U F2
B2 D' L' F2 R U F2
B2 D' L' F2 R' U F2
B2 D' L' F2 R2 U F2
B2 D' L' F2 U F2 D
B2 D' L' F2 U F2 D'
B2 D' L' F2 U F2 D2
B2 D' L' F2 D R2 U
B2 D' L2 F2 L U F2
B D' L' F2 B U F2
B D' L' B F2 U F2
L' F' D' F2 U F' R2
B2 D' R L' F2 U F2
B2 D' R' L' F2 U F2
B2 D' R2 L' F2 U F2
L' F' B2 U D2 F L2
L' F' B2 U F D2 L2
L' F' B2 U' R2 U2 F
D2 F2 L R U' L F2
D2 F2 L R U' F2 L
L' F' B2 D' F2 U F'
L' F' B2 D2 U F L2
B' D' U' B' L' F2 U
D2 F2 L' R U' L' F2
B D' U' L' F2 B U
B D' U' L' B F2 U
B D' U' B L' F2 U
D2 F2 R L U' L F2
D2 F2 R L U' F2 L
D2 F2 R L' U' L' F2
D2 F2 R U' L F2 L
D2 F2 R U' L2 F2 D
D2 F2 R U' L2 F2 D'
D2 F2 R U' L2 F2 D2
D2 F2 R U' F' L2 F'
D2 F2 R U' F2 L2 D
D2 F2 R U' F2 L2 D'
D2 F2 R U' F2 L2 D2
D2 F2 R D' L2 B2 U'
D2 F2 R D' B2 L2 U'
D2 F2 R B U' L2 F2
D2 F2 R B U' F2 L2
D2 F2 R B' U' L2 F2
D2 F2 R B' U' F2 L2
D2 F2 R B2 U' L2 F2
D2 F2 R B2 U' F2 L2
L' F2 R B2 U F2 L'
B2 D' F2 U2 R U' F2
L' F2 R' B2 U L F2
L' F2 R' B2 U F2 L
U F2 R D2 F2 U' L'
B' D' B' L' F2 U F2
U2 F2 R2 U B2 L U
B D' B L' F2 U F2
D' F2 U2 R U' R F2
D' F2 D R2 B2 L U
B2 D2 L' F' U F L'
B2 D2 L' F2 U F2 L'
D2 F2 D' L2 R B2 U'
D2 F2 D' L2 B2 R U'
D2 F2 D' R L2 B2 U'
D2 F2 D' R B2 L2 U'
U' F2 D' F2 L' U R2
D2 F2 D' B2 L2 R U'
D2 F2 D' B2 R L2 U'
B D2 L2 U' L B U
D2 F2 B R U' L2 F2
D2 F2 B R U' F2 L2
D2 F2 B' R U' L2 F2
D2 F2 B' R U' F2 L2
U F2 D2 R F2 U' L2
D2 F2 B2 R U' L2 F2
D2 F2 B2 R U' F2 L2
L' F2 B2 R U F2 L'
U' F2 B2 D' F2 L' U
L' F2 B2 U F2 D2 L2
L' F2 B2 U' R2 U2 F2
D' B L R2 D' L2 B2
D' B L R2 D' B2 L2
D2 B L D' L B2 R'
B' D2 U' B' L' U L'
U' B L' D' F2 B U
U' B L' D' B F2 U
U' B L' D2 B U L2
B D2 U' L' B U L'
U' B L' B U D2 L2
U' B L' B U' R2 U2
U' B L' B D' F2 U
U' B L' B D2 U L2
D' B L' F2 U R2 F2
D' B L' F2 U F2 R2
B D2 U' B L' U L'
D' B R2 L D' L2 B2
D' B R2 L D' B2 L2
D' B R2 U' L' F2 U
D2 B U F2 R U' L2
D' B U' L' F2 U R2
U' B D' L' F2 B U
U' B D' L' B F2 U
U' B D' B L' F2 U
U' B D2 L' B U L'
L' B D' F2 B U F2
L' B D' B F2 U F2
U' B D2 B L' U L'
D2 B F2 R U' L2 F2
D2 B F2 R U' F2 L2
D' B' L R2 D' L2 B2
D' B' L R2 D' B2 L2
D2 B' L D' L B2 R'
D' B' L' F2 U R2 F2
D' B' L' F2 U F2 R2
D' B' R2 L D' L2 B2
D' B' R2 L D' B2 L2
D' B' R2 U' L' F2 U
D2 B' U F2 R U' L2
D' B' U' L' F2 U R2
R' B' U' B' L' U L2
U' B' D' B' L' F2 U
L' B' D' F2 B' U F2
L' B' D' B' F2 U F2
U' B' D2 B' L' U L'
D2 B' F2 R U' L2 F2
D2 B' F2 R U' F2 L2
U' B2 L D' F2 U B2
D' B2 L R2 D' L2 B2
D' B2 L R2 D' B2 L2
D2 B2 L D' L B2 R'
R' B2 L D' B2 D' R2
U' B2 L' U L D2 L2
U' B2 L' U L' D2 L2
U' B2 L' U L2 D2 L2
U' B2 L' U D2 L2 D
U' B2 L' U D2 L2 D'
U' B2 L' U D2 L2 D2
U' B2 L' U' R2 U2 D
U' B2 L' U' R2 U2 D'
U' B2 L' U' R2 U2 D2
U' B2 L' U' R2 D U2
U' B2 L' U' R2 D' U2
U' B2 L' U' R2 D2 U2
R' B2 L B2 D' R2 B2
R' B2 L B2 D' B2 R2
U' B2 L' U2 D B2 U'
U' B2 L' D U2 B2 U'
R' B2 L' U L2 D F2
U' B2 L' D' F2 U D
U' B2 L' D' F2 U D'
U' B2 L' D' F2 U D2
U' B2 L' D' F2 D U
U' B2 L' D' F2 D' U
U' B2 L' D' F2 D2 U
U' B2 L' D2 U L2 D
U' B2 L' D2 U L2 D'
U' B2 L' D2 U L2 D2
U' B2 L' D2 F U L2
U' B2 L' D2 F' U L2
U' B2 L' D2 F2 U L2
U' B2 L' F U D2 L2
U' B2 L' F U' R2 U2
U' B2 L' F D' F2 U
U' B2 L' F D2 U L2
U' B2 L' F' U D2 L2
U' B2 L' F' U' R2 U2
U' B2 L' F' D' F2 U
U' B2 L' F' D2 U L2
R' B2 L' D F2 U F2
U' B2 L' F2 U D2 L2
U' B2 L' F2 U' R2 U2
U' B2 L' F2 D' F2 U
U' B2 L' F2 D2 U L2
R' B2 L' F U L2 F'
R' B2 L' F U F' L2
R' B2 L' F' U F L2
R' B2 L' F2 U L2 F2
R' B2 L' F2 U F2 L2
D' B2 L' F2 U R2 F2
D' B2 L' F2 U F2 R2
U' B2 L2 D' L F2 U
U2 B2 L' U D2 L2 F2
U2 B2 L' U D2 F2 L2
U' B2 L2 D' F2 L U
U' B2 L2 D2 L U L
U2 B2 L' U' R2 B2 U2
U2 B2 L' U' B2 R2 U2
U2 B2 L' D' R2 F2 U
U2 B2 L' D' F2 R2 U
U2 B2 L' D2 U L2 F2
U2 B2 L' D2 U F2 L2
L' B2 R F2 U L' F2
R B2 L' F2 U L' F2
L B2 L2 D' F2 U F2
D' B2 R2 L D' L2 B2
D' B2 R2 L D' B2 L2
D' B2 R2 U' L' F2 U
D2 B2 U F2 R U' L2
L' B2 U D2 L2 D F2
U' B2 U' R2 U L' U
D' B2 U' L' F2 U R2
L' B2 U' R2 U R2 U
L' B2 U' R2 U2 D' F2
L' B2 U' R2 D B2 U2
L' B2 U' R2 D' U2 F2
U' B2 D L' U D L2
U' B2 D L' U2 B2 U'
U' B2 D L' D U L2
U' B2 D L' D2 F2 U
U' B2 D' L F2 L2 U
U' B2 D' L' U D' L2
U' B2 D' L' D' U L2
U' B2 D' L' F2 U D
U' B2 D' L' F2 U D'
U' B2 D' L' F2 U D2
U' B2 D' L' F2 D U
U' B2 D' L' F2 D' U
U' B2 D' L' F2 D2 U
U' B2 D' L2 F2 L U
U' B2 D' F2 U2 R U'
L' B2 D' R F2 U F2
L' B2 D' R' F2 U F2
L' B2 D' R2 F2 U F2
U' B2 D2 L' U L' D
U' B2 D2 L' U L' D'
U' B2 D2 L' U L' D2
U' B2 D2 L' U D L'
U' B2 D2 L' U D' L'
U' B2 D2 L' U D2 L'
U' B2 D2 L' D U L'
U' B2 D2 L' D' U L'
U' B2 D2 L' D2 U L'
L' B2 D' F2 R U F2
L' B2 D' F2 R' U F2
L' B2 D' F2 R2 U F2
L' B2 D' F2 U F2 D
L' B2 D' F2 U F2 D'
L' B2 D' F2 U F2 D2
L' B2 D' F2 D R2 U
U2 B2 D' L' R2 F2 U
U2 B2 D' L' F2 R2 U
B2 F2 U2 R U' F2 L'
U2 B2 D' R2 L' F2 U
D B2 D F2 R U' F2
F2 B2 U2 R U' F2 L'
L' B2 D2 U L2 D F2
L' B2 D2 F U L2 F'
L' B2 D2 F U F' L2
L' B2 D2 F' U F L2
L' B2 D2 F2 U L2 F2
L' B2 D2 F2 U F2 L2
U2 B2 D2 L' U L' F2
L' B2 F U D2 L2 F'
L' B2 F U D2 F' L2
L' B2 F U F' D2 L2
L' B2 F U' R2 B U2
L' B2 F D' F2 U F
L' B2 F D2 U L2 F'
L' B2 F D2 U F' L2
L B2 D' F2 U F2 B2
L B2 D' F2 U B2 F2
L B2 D' B2 D' L2 R2
L B2 D' B2 D' R2 L2
L' B2 F' U D2 F L2
L' B2 F' U F D2 L2
L' B2 F' U' R2 U2 F
L' B2 F' D' F2 U F'
D2 B2 F2 R U' L2 F2
D2 B2 F2 R U' F2 L2
L' B2 F' D2 U F L2
U' B2 F2 D' F2 L' U
L' B2 F2 R U F2 L'
L' B2 F2 U F2 D2 L2
L' B2 F2 U' R2 U2 F2
