F' U' F L2
F' U' F L2 D
F' U' F L2 D'
F' U' F L2 D2
F' U' F' L2 F2
F' U' F2 L2 F'
L' F' U' F L'
U F' U' L2 B'
L F' U' F L
D' F' B2 U' F
F' D' B2 U' F
F' B U' F L2
B' F' U' F L2
F' B' U' F L2
B2 F' U' F L2
B F' U' F L2
F' B2 U' F L2
D' B2 F' U' F
B' U B2 F' U' L2 B'
B U B' F' U' L2 B'
B2 U B2 F' U' L2 B'
F' U' L F L' F L2
F' U' L F' L' F L2
F' U' L F2 L' F L2
B U B2 F' U' L2 B'
F' U' L' D L F L2
F' U' L' D' L F L2
F' U' L' D2 L F L2
F' U' L' F' L F L'
F U' L D L F' R2
F U' L D F' L R2
F U' L D F' R2 L
B' U' L2 U F' U' F
F' U' L2 U L2 U' F
F' U' L2 U2 D B' U2
F' U' L2 U2 D' B' U2
F' U' L2 U2 D2 B' U2
B2 U' L2 U F' U' F
F' U' L2 U2 B' U2 D
F' U' L2 U2 B' U2 D'
F' U' L2 U2 B' U2 D2
F' U' L2 U2 B' D U2
F' U' L2 U2 B' D' U2
F' U' L2 U2 B' D2 U2
F' U' L2 D L2 F L2
L' D' F' U' F L' D
L' D' F' U' F L' D'
L' D' F' U' F L' D2
L' D' F' U' F D L'
L' D' F' U' F D' L'
L' D' F' U' F D2 L'
F' U' L2 D U2 B' U2
L2 D' F' L U' L' F
F' U' L2 D' L2 F L2
F' U' L2 D' U2 B' U2
F' U' L2 D2 L2 F L2
F' U' L2 D2 U2 B' U2
F2 U' L2 U' B' U F2
L2 D' F' L2 U' L2 F
F' U' L2 F L2 F L2
F' U' L2 F U2 B' U2
F' U' L2 F' L2 F L2
F' U' L2 F' U2 B' U2
F U' L' D L' F' R2
F' U' L2 F2 L2 F L2
L' D' F' B U' F L'
F' U' L2 F2 U2 B' U2
L' D' F' B' U' F L'
F' U' L2 B D2 F2 B'
F' U' L2 B D2 B' F2
L' D' F' B2 U' F L'
F2 U' L2 F2 U' B' U
B U' L2 U F' U' F
F U' L2 R2 D R2 F'
F U' L2 U F2 U' F
F' U' R F L2 R' D
F' U' R F L2 R' D'
F' U' R F L2 R' D2
F' U' R F L2 D R'
F' U' R F L2 D' R'
F' U' R F L2 D2 R'
F' U' R F R' L2 D
F' U' R F R' L2 D'
F' U' R F R' L2 D2
F' U' R F' L2 R' F2
F' U' R F' L2 F2 R'
F' U' R F' R' L2 F2
F' U' R F' R' F2 L2
F' U' R F2 L2 F' R'
F U' L2 D F R2 F2
F U' L2 D F' R2 D
F U' L2 D F' R2 D'
F U' L2 D F' R2 D2
F U' L2 D F2 R2 F
F U' L2 D' F' D2 R2
L D' F' U' D F L
L D' F' U' D' F L
L D' F' U' D2 F L
L D' F' U' F L D
L D' F' U' F L D'
L D' F' U' F L D2
L D' F' U' F D L
L D' F' U' F D' L
L D' F' U' F D2 L
L D' F' U' F' L F2
L D' F' U' F2 L F'
F U' L2 D2 F' D' R2
L D' F' D U' F L
F U' L2 F' U F' U'
L D' F' D' U' F L
L D' F' D2 U' F L
L' D' B F' U' F L'
F' U' R2 F L2 R2 D
F' U' R2 F L2 R2 D'
F' U' R2 F L2 R2 D2
F' U' R2 F R2 L2 D
F' U' R2 F R2 L2 D'
F' U' R2 F R2 L2 D2
F' U' R2 F' L2 R2 F2
F' U' R2 F' L2 F2 R2
F' U' R2 F' R2 L2 F2
F' U' R2 F' R2 F2 L2
F' U' R2 F2 L2 F' R2
L' D' B' F' U' F L'
F' U' D L2 D' L2 F
U D' F' U' D L2 B'
F' U' D F U' F U
U D' F' D U' L2 B'
F U' R2 L2 D R2 F'
D U' F2 L2 B' U B
U D' F' B2 U F U2
L' D' B2 F' U' F L'
F' U' D' L2 D L2 F
F' U' D' F L D L2
F' U' D' F L' D L2
F' U' D' F L2 D L2
F' U' D' F U B2 U'
F' U' D' F D L2 D
F' U' D' F D L2 D'
F' U' D' F D L2 D2
F' U' D' F2 D L2 F'
F' U' D' F2 D F' L2
L' D2 L F' U' F L2
F' U' D2 L2 D2 L2 F
F' U' D2 F L D2 L2
F' U' D2 F L' D2 L2
F' U' D2 F L2 D2 L2
F' U' D2 F U2 R2 U2
F' U' D2 F D2 L2 D
F' U' D2 F D2 L2 D'
F' U' D2 F D2 L2 D2
L2 D2 L F' U' F L'
F' U' D2 F2 D2 L2 F'
F' U' D2 F2 D2 F' L2
F' U' F L D L D
F' U' F L D L D'
F' U' F L D L D2
F' U' F L D' L D
F' U' F L D' L D'
F' U' F L D' L D2
F' U' F L D2 L D
F' U' F L D2 L D'
F' U' F L D2 L D2
F' U' F L F L F'
F' U' F L F2 L F2
F' U' F L' D L' D
F' U' F L' D L' D'
F' U' F L' D L' D2
F' U' F L' D' L' D
F' U' F L' D' L' D'
F' U' F L' D' L' D2
F' U' F L' D2 L' D
F' U' F L' D2 L' D'
F' U' F L' D2 L' D2
F' U' F L' B' L' B
F' U' F L' B2 L' B2
F' U' F L2 R D R'
F' U' F L2 R D' R'
F' U' F L2 R D2 R'
F' U' F L2 R' D R
F' U' F L2 R' D' R
F' U' F L2 R' D2 R
F' U' F L2 F D F'
F' U' F L2 F D' F'
F' U' F L2 F D2 F'
F' U' F L2 F' D F
F' U' F L2 F' D' F
F' U' F L2 F' D2 F
F' U' F L2 B D B'
F' U' F L2 B D' B'
F' U' F L2 B D2 B'
F' U' F L2 B' D B
F' U' F L2 B' D' B
F' U' F L2 B' D2 B
F' U' F R L2 D R'
F' U' F R L2 D' R'
F' U' F R L2 D2 R'
F' U' F R' L2 D R
F' U' F R' L2 D' R
F' U' F R' L2 D2 R
F' U' F U D' B2 U'
F' U' F U B U' L2
F' U' F U B' U' L2
F' U' F U B2 U' L2
F' U' F U' D F2 U
F' U' F U' F U L2
F' U' F U' F' U L2
F' U' F U' F2 U L2
F' U' F U2 R U2 L2
F' U' F U2 R' U2 L2
F' U' F U2 R2 U2 L2
F' U' F U2 D2 R2 U2
F' U' F D L D' L2
F' U' F D L' D' L2
F' U' F D L2 D' L2
F' U' F D U' F2 U
L2 D2 L' F' U' F L
F' U' F D' L D L2
F' U' F D' L' D L2
F' U' F D' L2 D L2
F' U' F D' U B2 U'
F' U' F D2 L D2 L2
F' U' F D2 L' D2 L2
F' U' F D2 L2 D2 L2
F' U' F D2 U2 R2 U2
F' U' F B' L' B L'
F' U' F B' L2 D B
F' U' F B' L2 D' B
F' U' F B' L2 D2 B
F' U' F B' L2 B D
F' U' F B' L2 B D'
F' U' F B' L2 B D2
F' U' F B2 L' B2 L'
F' U' F B2 L2 B2 D
F' U' F B2 L2 B2 D'
F' U' F B2 L2 B2 D2
F' U' F' L F' L F'
F' U' F' L F2 L D
F' U' F' L F2 L D'
F' U' F' L F2 L D2
F' U' F' L F2 D L
F' U' F' L F2 D' L
F' U' F' L F2 D2 L
L' D2 L2 F' U' F L
F' U' F' L2 R F2 R'
F' U' F' L2 R2 F2 R2
F' U' F' L2 F D F
F' U' F' L2 F D' F
F' U' F' L2 F D2 F
F' U' F' L2 F' D F'
F' U' F' L2 F' D' F'
F' U' F' L2 F' D2 F'
F' U' F' R L2 F2 R'
F' U' F' R F2 L2 R'
F' U' F' R F2 R' L2
F' U' F' R2 L2 F2 R2
F' U' F' R2 F2 L2 R2
F' U' F' R2 F2 R2 L2
F2 U' F' L2 D F' R2
L2 D2 L2 F' U' F L2
L D2 L' F' U' F L2
F' U' F' B' L2 F2 B
F' U' F' B' L2 B F2
F' U' F' B2 L2 F2 B2
F' U' F' B2 L2 B2 F2
F' U' F2 L D L F'
F' U' F2 L D F' L
F' U' F2 L D' L F'
F' U' F2 L D' F' L
F' U' F2 L D2 L F'
F' U' F2 L D2 F' L
F' U' F2 L F L F2
F' U' F2 L F' L D
F' U' F2 L F' L D'
F' U' F2 L F' L D2
F' U' F2 L F' D L
F' U' F2 L F' D' L
F' U' F2 L F' D2 L
F' U' F2 L' D L' F'
F' U' F2 L' D' L' F'
F' U' F2 L' D2 L' F'
F' U' F2 L2 D F' D
F' U' F2 L2 D F' D'
F' U' F2 L2 D F' D2
F' U' F2 L2 D' F' D
F' U' F2 L2 D' F' D'
F' U' F2 L2 D' F' D2
F' U' F2 L2 D2 F' D
F' U' F2 L2 D2 F' D'
F' U' F2 L2 D2 F' D2
F' U' F2 L2 F2 D F
F' U' F2 L2 F2 D' F
F' U' F2 L2 F2 D2 F
U D' B2 F' U F U2
F2 U' F2 L2 U F' U'
F U' F' L2 U F' U'
L D2 L2 F' U' F L'
F' U' F2 D' F' D L2
F2 U' F2 U F' U' L2
F' U' F2 D2 F' D2 L2
F U' F' U F' U' L2
F' U' F2 B' L2 F' B
F' U' F2 B' L2 B F'
F' U' F2 B2 L2 F' B2
F' U' F2 B2 L2 B2 F'
L2 D2 R' U R F' U'
L2 D2 R2 U R2 F' U'
F' U' B' L2 B D2 F2
F' U' B' F L' B L'
F' U' B' F L2 D B
F' U' B' F L2 D' B
F' U' B' F L2 D2 B
F' U' B' F L2 B D
F' U' B' F L2 B D'
F' U' B' F L2 B D2
F' U' B' F' L2 F2 B
F' U' B' F' L2 B F2
F' U' B' F2 L2 F' B
F' U' B' F2 L2 B F'
L2 D2 U F' U F U2
F' U' B2 F L' B2 L'
F' U' B2 F L2 B2 D
F' U' B2 F L2 B2 D'
F' U' B2 F L2 B2 D2
F' U' B2 F' L2 F2 B2
F' U' B2 F' L2 B2 F2
F' U' B2 F2 L2 F' B2
F' U' B2 F2 L2 B2 F'
D2 U2 R2 U B U B'
U2 D2 R2 U B U B'
L' D2 F' U' F L' D
L' D2 F' U' F L' D'
L' D2 F' U' F L' D2
L' D2 F' U' F D L'
L' D2 F' U' F D' L'
L' D2 F' U' F D2 L'
L2 D2 F' L U' L' F
L2 D2 F' L2 U' L2 F
L' D2 F' B U' F L'
L' D2 F' B' U' F L'
L' D2 F' B2 U' F L'
F' U2 R U F L2 D
F' U2 R U F L2 D'
F' U2 R U F L2 D2
F' U2 R U F' L2 F2
F' U2 R U F2 L2 F'
F' U2 R D F2 U F'
F' U2 R F' U L2 F2
F' U2 R F' U F2 L2
F' U2 R F2 U L2 F'
F' U2 R F2 U F' L2
F U2 L2 D F' R2 B
U D2 F' U R2 F U2
U D2 F' U F R2 U2
U D2 F' U' D2 L2 B'
L D2 F' U' D F L
L D2 F' U' D' F L
L D2 F' U' D2 F L
L D2 F' U' F L D
L D2 F' U' F L D'
L D2 F' U' F L D2
L D2 F' U' F D L
L D2 F' U' F D' L
L D2 F' U' F D2 L
L D2 F' U' F' L F2
L D2 F' U' F2 L F'
U D2 F' D2 U' L2 B'
L D2 F' D U' F L
F' U2 R' U F L2 D
F' U2 R' U F L2 D'
F' U2 R' U F L2 D2
F' U2 R' U F' L2 F2
F' U2 R' U F2 L2 F'
L D2 F' D' U' F L
L D2 F' D2 U' F L
F' U2 R' D F2 U F'
D U2 F2 U2 F U' F'
F' U2 R' F' U L2 F2
F' U2 R' F' U F2 L2
F' U2 R' F2 U L2 F'
F' U2 R' F2 U F' L2
L' D2 B F' U' F L'
F' U2 R2 U F L2 D
F' U2 R2 U F L2 D'
F' U2 R2 U F L2 D2
F' U2 R2 U F' L2 F2
F' U2 R2 U F2 L2 F'
F' U2 R2 D F2 U F'
B' U2 R2 B U L2 F
F' U2 R2 F' U L2 F2
F' U2 R2 F' U F2 L2
F' U2 R2 F2 U L2 F'
F' U2 R2 F2 U F' L2
L' D2 B' F' U' F L'
B2 U2 R2 B U L2 F
F' U2 D R F2 U F'
F' U2 D R' F2 U F'
F' U2 D R2 F2 U F'
F' U2 D F2 U D F'
F' U2 D F2 U D' F'
F' U2 D F2 U D2 F'
F' U2 D F2 U F' D
F' U2 D F2 U F' D'
F' U2 D F2 U F' D2
F' U2 D F2 D U F'
F' U2 D F2 D' U F'
F' U2 D F2 D2 U F'
L' D2 B2 F' U' F L'
F2 U2 D F2 R2 B U
B U2 R2 B U L2 F
D' F L F2 B2 U' F
L' F L F2 U' F L'
D' F L B2 F2 U' F
F U2 D F2 U R2 F
F U2 D F2 U F R2
D' F L' F2 B2 U' F
L' F L' F2 U' F L'
D' F L' B2 F2 U' F
U' F L2 U F2 U' F2
F' U2 F U L2 D F2
U' F L2 D R2 D' F2
F' U2 F D F2 U F2
L2 F L' F2 U' F L
D' F L2 F2 B2 U' F
L' F L2 F2 U' F L'
D' F L2 B2 F2 U' F
F' U2 F' R U L2 F2
F' U2 F' R U F2 L2
F' U2 F' R' U L2 F2
F' U2 F' R' U F2 L2
F' U2 F' R2 U L2 F2
F' U2 F' R2 U F2 L2
F' U2 F' U L F2 L
F' U2 F' U L2 F2 D
F' U2 F' U L2 F2 D'
F' U2 F' U L2 F2 D2
F' U2 F' U F' L2 F'
F' U2 F' U F2 L2 D
F' U2 F' U F2 L2 D'
F' U2 F' U F2 L2 D2
F' U2 F' D R2 F2 U
F' U2 F' D F2 R2 U
L2 F L2 F2 U' F L2
L F L' F2 U' F L2
D F L2 F2 B' U' F
U F L2 D R2 F2 B
U F L2 D R2 B F2
F' U2 F2 U L F' L
F' U2 F2 U L2 D F'
F' U2 F2 U L2 D' F'
F' U2 F2 U L2 D2 F'
F' U2 F2 U L2 F' D
F' U2 F2 U L2 F' D'
F' U2 F2 U L2 F' D2
F' U2 F2 U F L2 F2
F' U2 F2 U F' L2 D
F' U2 F2 U F' L2 D'
F' U2 F2 U F' L2 D2
D F L2 B' F2 U' F
F' U2 F2 D F2 U F
L2 F R2 D R2 F' B2
L2 F R2 D R2 B2 F'
U' F U F2 U' L2 F2
U' F U F2 U' F2 L2
D' F U' D L2 F' R2
D' F U' D F' L2 R2
D' F U' D F' R2 L2
U F R2 F2 U' L2 B
U F R2 F2 U' B L2
L F U' L D F' R2
U F U' L2 D R2 B
U' F D R2 D' L2 F2
U' F D R2 D' F2 L2
L F U' D L F' R2
L F U' D F' L R2
L F U' D F' R2 L
D' F D U' L2 F' R2
D' F D U' F' L2 R2
D' F D U' F' R2 L2
U2 F U2 F2 U' L2 F2
U2 F U2 F2 U' F2 L2
D2 F D B2 U' F' R2
F' D L2 U' D' L2 F
F' D L2 D' U' L2 F
L2 F D F' R2 D B2
L F D U' L F' R2
L F D U' F' L R2
L F D U' F' R2 L
D' F B2 L F2 U' F
D' F B2 L' F2 U' F
D' F B2 L2 F2 U' F
D' F B2 U' D F' R2
D' F B2 D U' F' R2
F' D U' L2 D' L2 F
L' F' L U' L' F L'
L' F' L U' F L' F
F' D U' F U' F U
D' F' L B2 L' U' F
L2 F' L U' L' D F
L2 F' L U' L' D' F
L2 F' L U' L' D2 F
L2 F' L U' L' F D
L2 F' L U' L' F D'
L2 F' L U' L' F D2
F' D U2 R F2 U F'
F' D U2 R' F2 U F'
F' D U2 R2 F2 U F'
F' D U2 F2 U D F'
F' D U2 F2 U D' F'
F' D U2 F2 U D2 F'
F' D U2 F2 U F' D
F' D U2 F2 U F' D'
F' D U2 F2 U F' D2
F' D U2 F2 D U F'
F' D U2 F2 D' U F'
F' D U2 F2 D2 U F'
L2 F' L B U' L' F
L2 F' L B' U' L' F
L2 F' L B2 U' L' F
F2 D U2 F2 R2 B U
D' F' L' B2 L U' F
D2 F' L2 U R2 B' U2
D2 F' L2 U B' R2 U2
D' F' L2 U' D L2 F
D2 F' L2 U' D2 L2 F
D' F' L2 D U' L2 F
L' F' L2 U' L2 F L'
D2 F' L2 D2 U' L2 F
F2 D F U2 R2 F U
F2 D F U2 F R2 U
F2 D F D2 L2 B' U'
D' F' L2 B2 U B U2
F D U2 F2 U R2 F
F D U2 F2 U F R2
B' D F' U' F D' L2
L2 F' L2 U B' U2 L2
L2 F' L2 U' L2 D F
L2 F' L2 U' L2 D' F
L2 F' L2 U' L2 D2 F
L2 F' L2 U' L2 F D
L2 F' L2 U' L2 F D'
L2 F' L2 U' L2 F D2
L2 F' L2 U' F L2 F
L2 F' L2 U' F' L2 F
L2 F' L2 U' F2 L2 F
B' D F' U2 F' U F2
B2 D F' U' F D' L2
B2 D F' U2 F' U F2
L F' L2 U B' U2 L'
L F' L2 U' L2 F L
B D F' U' F D' L2
B D F' U2 F' U F2
D' F' R' B2 R U' F
U F' R U F U2 L2
U F' R U' L2 D B'
U F' R U' L2 D' B'
U F' R U' L2 D2 B'
U F' R U' L2 B' D
U F' R U' L2 B' D'
U F' R U' L2 B' D2
U F' R U' B L2 B'
U F' R U' B' L2 B'
U F' R U' B2 L2 B'
F' D B U' D' F L2
F' D B U2 F2 U F'
F' D B D' U' F L2
F' D B D2 B2 U' F
U F' R B U' L2 B'
F D F2 U F R2 B
U F' R B' U' L2 B'
U F' R B2 U' L2 B'
D' F' R2 B2 R2 U' F
U F' R' U F U2 L2
U F' R' U' L2 D B'
U F' R' U' L2 D' B'
U F' R' U' L2 D2 B'
U F' R' U' L2 B' D
U F' R' U' L2 B' D'
U F' R' U' L2 B' D2
U F' R' U' B L2 B'
U F' R' U' B' L2 B'
U F' R' U' B2 L2 B'
F' D B' U' D' F L2
F' D B' U2 F2 U F'
D2 F' U R2 U2 D F
D2 F' U R2 U2 D' F
D2 F' U R2 U2 D2 F
D2 F' U R2 U2 F D
D2 F' U R2 U2 F D'
D2 F' U R2 U2 F D2
D2 F' U R2 D U2 F
D2 F' U R2 D' U2 F
D2 F' U R2 D2 U2 F
D2 F' U R2 B U2 F
D2 F' U R2 B' U2 F
D2 F' U R2 B2 U2 F
L' F' U R U2 F L'
F' D B' D' U' F L2
L' F' U R' U2 F L'
D' F' U D' R2 U2 F
F' D B' D2 B2 U' F
L' F' U R2 U2 F L'
U F' R' B U' L2 B'
U F' R' B' U' L2 B'
R2 F' R2 F' U' L2 F2
R2 F' R2 F' U' F2 L2
D2 F' U B R2 U2 F
U F' R' B2 U' L2 B'
R F' R' F' U' L2 F2
R F' R' F' U' F2 L2
D2 F' U B' R2 U2 F
D2 F' U B2 R2 U2 F
L' F' U B U2 F L'
U F' R2 U F U2 L2
L' F' U B' U2 F L'
U F' R2 U' L2 D B'
U F' R2 U' L2 D' B'
U F' R2 U' L2 D2 B'
U F' R2 U' L2 B' D
U F' R2 U' L2 B' D'
U F' R2 U' L2 B' D2
L' F' U B2 U2 F L'
U F' R2 U' B L2 B'
U F' R2 U' B' L2 B'
U F' R2 U' B2 L2 B'
D' F' U' L2 D L2 F
D2 F' U' L2 D2 L2 F
D F' R2 B R2 U' F
L' F' U' L F L' F
F' D B2 U' D' F L2
F' D B2 U2 F2 U F'
L' F' U' R F L' R'
L' F' U' R F R' L'
D2 F' U' D F D L2
F' D B2 D' U' F L2
D' F' U' D F L2 D
D' F' U' D F L2 D'
D' F' U' D F L2 D2
D' F' U' D F' L2 F2
D' F' U' D F2 L2 F'
D' F' U' D' F D2 L2
D2 F' U' D2 F L2 D
D2 F' U' D2 F L2 D'
D2 F' U' D2 F L2 D2
F' D B2 D2 B2 U' F
D2 F' U' D2 F' L2 F2
D2 F' U' D2 F2 L2 F'
L' F' U' R2 F L' R2
L' F' U' R2 F R2 L'
D2 F' U' F L D2 L2
D2 F' U' F L' D2 L2
D2 F' U' F L2 D2 L2
D' F' U' F L D L2
D' F' U' F L' D L2
D' F' U' F L2 D L2
D2 F' U' F U2 R2 U2
D' F' U' F U B2 U'
D2 F' U' F D2 L2 D
D2 F' U' F D2 L2 D'
D2 F' U' F D2 L2 D2
D' F' U' F D L2 D
D' F' U' F D L2 D'
D' F' U' F D L2 D2
U F' R2 B U' L2 B'
U F' R2 B' U' L2 B'
D2 F' U' F2 D2 L2 F'
D2 F' U' F2 D2 F' L2
L' F' U' F L2 D L
L' F' U' F L2 D' L
L' F' U' F L2 D2 L
D' F' U' F2 D L2 F'
D' F' U' F2 D F' L2
L' F' U' F D L' D
L' F' U' F D L' D'
L' F' U' F D L' D2
L' F' U' F D' L' D
L' F' U' F D' L' D'
L' F' U' F D' L' D2
L' F' U' F D2 L' D
L' F' U' F D2 L' D'
L' F' U' F D2 L' D2
L' F' U' F B' L' B
L' F' U' F B2 L' B2
U F' R2 B2 U' L2 B'
L' F' U' F' L F2 L'
L' F' U' F' L' F2 L'
L' F' U' F' L2 F2 L'
L' F' U' F2 L F' L'
L' F' U' F2 L' F' L'
L' F' U' F2 L2 F' L'
L' F' U' F2 D F' L'
L' F' U' F2 D' F' L'
L' F' U' F2 D2 F' L'
L' F' U' B' F L' B
U F' U R U2 L2 B'
U F' U R F U2 L2
L' F' U' B2 F L' B2
U F' U R' U2 L2 B'
L F' U R U2 F L
B' D' L F' B2 U' F
U F' U R' F U2 L2
U F' U R2 U2 L2 B'
L F' U R' U2 F L
U F' U R2 F U2 L2
L F' U R2 U2 F L
L2 F' U' F U' F' U
L' F' U2 R U F L'
U F' U D2 R2 F U2
U F' U D2 F R2 U2
B' D' L B2 F' U' F
L' F' U2 R' U F L'
U F' U F R U2 L2
U F' U F R' U2 L2
U F' U F R2 U2 L2
D2 F' U2 D' F2 U F'
U F' U F U2 L2 D
U F' U F U2 L2 D'
U F' U F U2 L2 D2
U F' U F D2 R2 U2
L' F' U2 R2 U F L'
L2 F' U' F2 D' L2 F'
L2 F' U' F2 D' F' L2
D' F' U2 D2 F2 U F'
B2 D' L F' B2 U' F
F' D' L B2 L' U' F
D F' U' D F D' L2
L' F' U2 F' U F2 L'
D F' U' D' F D' L2
L F' U B2 R' U2 F
B2 D' L B2 F' U' F
D F' U' D2 F D' L2
U F' U' L' D L' B'
D F' U' F L D' L2
D F' U' F L' D' L2
U F' U' L' D' L' B'
D F' U' F L2 D' L2
U F' U' L' D2 L' B'
U F' U' L' B L' B'
D F' U' F U' F2 U
U F' U' L' B' L' B'
U F' U' L' B2 L' B'
D F' U' F D' L2 D
D F' U' F D' L2 D'
D F' U' F D' L2 D2
U F' U' L2 R' B' R
U F' U' L2 R2 B' R2
U F' U' L2 D B' D
U F' U' L2 D B' D'
U F' U' L2 D B' D2
U F' U' L2 D' B' D
U F' U' L2 D' B' D'
U F' U' L2 D' B' D2
U F' U' L2 D2 B' D
U F' U' L2 D2 B' D'
U F' U' L2 D2 B' D2
U F' U' L2 B2 D B
U F' U' L2 B2 D' B
U F' U' L2 B2 D2 B
U F' U' R' L2 B' R
B' D' L' F' B2 U' F
L F' U' R F L R'
L F' U' R F R' L
U F' U' R2 L2 B' R2
L F' U' R2 F L R2
L F' U' R2 F R2 L
L F' U' D F L D
L F' U' D F L D'
L F' U' D F L D2
L F' U' D F D L
L F' U' D F D' L
L F' U' D F D2 L
L F' U' D F' L F2
L F' U' D F2 L F'
L F' U' D' F L D
L F' U' D' F L D'
L F' U' D' F L D2
L F' U' D' F D L
L F' U' D' F D' L
L F' U' D' F D2 L
B' D' L' B2 F' U' F
L F' U' D' F' L F2
L F' U' D' F2 L F'
D2 F' D U' F D L2
D' F' D U' F L2 D
D' F' D U' F L2 D'
D' F' D U' F L2 D2
D' F' D U' F' L2 F2
D' F' D U' F2 L2 F'
L F' U' D2 F L D
L F' U' D2 F L D'
L F' U' D2 F L D2
L F' U' D2 F D L
L F' U' D2 F D' L
L F' U' D2 F D2 L
L F' U' D2 F' L F2
L F' U' D2 F2 L F'
L F' U' F L2 D L'
L F' U' F L2 D' L'
L F' U' F L2 D2 L'
L F' U' F D L D
L F' U' F D L D'
L F' U' F D L D2
L F' U' F D' L D
L F' U' F D' L D'
L F' U' F D' L D2
L F' U' F D2 L D
L F' U' F D2 L D'
L F' U' F D2 L D2
L F' U' F' L F2 D
L F' U' F' L F2 D'
L F' U' F' L F2 D2
B D' L F' B2 U' F
L F' U' F' L' F2 L2
B2 D' L' F' B2 U' F
F' D' L' B2 L U' F
U F' U' B L2 D B'
U F' U' B L2 D' B'
U F' U' B L2 D2 B'
U F' U' B L2 B' D
U F' U' B L2 B' D'
U F' U' B L2 B' D2
L F' U' F2 L D F'
L F' U' F2 L D' F'
L F' U' F2 L D2 F'
L F' U' F2 L F' D
L F' U' F2 L F' D'
L F' U' F2 L F' D2
L F' U' F2 L' F' L2
L F' U' F2 D L F'
L F' U' F2 D F' L
L F' U' F2 D' L F'
L F' U' F2 D' F' L
L F' U' F2 D2 L F'
L F' U' F2 D2 F' L
U F' U' B' L2 D B'
U F' U' B' L2 D' B'
U F' U' B' L2 D2 B'
U F' U' B' L2 B' D
U F' U' B' L2 B' D'
U F' U' B' L2 B' D2
L2 F' D L U' L' F
U F' U' B2 L2 D B'
U F' U' B2 L2 D' B'
U F' U' B2 L2 D2 B'
U F' U' B2 L2 B' D
U F' U' B2 L2 B' D'
U F' U' B2 L2 B' D2
D' F' D B U' F L2
D F' U2 D F' U F2
U F' U2 L U L B'
B D' L B2 F' U' F
D' F' D B' U' F L2
D F' U2 D' F' U F2
L2 F' D L2 U' L2 F
B2 D' L' B2 F' U' F
D2 F' D B2 U' D F
D2 F' D B2 U' D' F
D2 F' D B2 U' D2 F
D2 F' D B2 U' F D
D2 F' D B2 U' F D'
D2 F' D B2 U' F D2
D2 F' D B2 D U' F
D2 F' D B2 D' U' F
D F' U2 D2 F' U F2
D2 F' D B2 D2 U' F
D' F' D B2 U' F L2
F' D' L2 U' D L2 F
D F' U2 F' R U F2
D F' U2 F' R' U F2
D F' U2 F' R2 U F2
D F' U2 F' U F2 D
D F' U2 F' U F2 D'
D F' U2 F' U F2 D2
D F' U2 F' D R2 U
F' D' L2 D U' L2 F
L F' U2 R U F L
B' D' L2 F' B2 U' F
L F' U2 R' U F L
F D' L B2 U' F' R'
L F' U2 R2 U F L
D' F' D' U R2 U2 F
B' D' L2 B2 F' U' F
D' F' D' U' F D2 L2
D2 F' D' U2 F2 U F'
B D' L' F' B2 U' F
L F' U2 F' U L F2
L F' U2 F' U F2 L
B2 D' L2 F' B2 U' F
F' D' L2 B2 U B U2
L F' U2 F2 U L F'
L F' U2 F2 U F' L
L2 F' D' L U' L' F
D F' D U' F D' L2
B D' L' B2 F' U' F
L2 F' D' L2 U' L2 F
B2 D' L2 B2 F' U' F
D F' D U2 F' U F2
F2 D' L2 B2 U2 B U
D2 F' D2 U' F L2 D
D2 F' D2 U' F L2 D'
D2 F' D2 U' F L2 D2
D2 F' D2 U' F' L2 F2
D2 F' D2 U' F2 L2 F'
L F' D U' F L D
L F' D U' F L D'
L F' D U' F L D2
L F' D U' F D L
L F' D U' F D' L
L F' D U' F D2 L
L F' D U' F' L F2
L F' D U' F2 L F'
D' F' D2 U2 F2 U F'
B D' L2 F' B2 U' F
D2 F' D2 B U' F L2
L2 F' D2 L U' L' F
D2 F' D2 B' U' F L2
D F' D' U' F D' L2
B D' L2 B2 F' U' F
D2 F' D2 B2 U' F L2
L2 F' D2 L2 U' L2 F
D F' D' U2 F' U F2
L' F' D2 B' U' F L
D2 F' B U R2 U2 F
L F' D' U' F L D
L F' D' U' F L D'
L F' D' U' F L D2
L F' D' U' F D L
L F' D' U' F D' L
D2 F' B U' D2 F L2
L F' D' U' F D2 L
L F' D' U' F' L F2
D2 F' B U' F D2 L2
L F' D' U' F2 L F'
D2 F' B D B2 U' F
F' D' R' B2 R U' F
D' F' B D B U' F
L' F' B U' F L' D
L' F' B U' F L' D'
L' F' B U' F L' D2
L' F' B U' F D L'
L' F' B U' F D' L'
L' F' B U' F D2 L'
D' F' B D' B U' F
D2 F' B D2 U' F L2
L2 F' B L U' L' F
D' F' B D2 B U' F
U F' D' B2 U F U2
D F' D2 U' F D' L2
L2 F' B L2 U' L2 F
D F' D2 U2 F' U F2
U' F' B' U' B L2 F
D2 F' B' U R2 U2 F
D2 F' B' U' D2 F L2
D2 F' B' U' F D2 L2
U F' D2 U R2 F U2
U F' D2 U F R2 U2
D2 F' B' D B2 U' F
L F' D2 U' F L D
L F' D2 U' F L D'
L F' D2 U' F L D2
L F' D2 U' F D L
L F' D2 U' F D' L
L F' D2 U' F D2 L
L F' D2 U' F' L F2
