F2 L' U' B2 R' U'
U2 R U R' B2 U'
U R U B2 L U'
U R U B2 L U'
L' U' B2 R' U' R2
R' U2 R2 D L2 B2
R' U2 R2 D B2 L2
U2 R2 D L2 R' B2
U2 R2 D R' L2 B2
U2 R2 D R' B2 L2
L2 D F2 L' U2 L'
L2 D' R2 U2 R' B2
B2 U B2 U2 R B2
B2 U B2 U2 B2 R
U2 F B2 U' F' R
U2 F2 B2 U' F2 R
D B U L2 R F
D B U R L2 F
U B2 U R B2 L
U2 B2 F U' F' R
U2 B2 F2 U' F2 R
U B2 U R B2 D2 L
B2 F2 U L' B2 U2 B2
F2 B2 U L' B2 U2 B2
L' B2 D L2 R' U' R2
L' B2 D R' L2 U' R2
D B2 U' B2 U2 L2 R
D B2 U' B2 U2 R L2
U B2 U' R B2 D2 F2
B2 F2 U B2 L' U2 B2
F2 B2 U B2 L' U2 B2
B2 F2 U' L' B2 R' U2
D2 B2 D' R2 U L2 R'
D2 B2 D' R2 U R' L2
F2 B2 U' L' B2 R' U2
U B2 U' B2 R D2 F2
U B2 U' B2 D2 R F2
D' B2 D' R2 F2 U R'
U2 B2 D F U' F' R
U2 B2 D F2 U' F2 R
B2 F2 U' B2 L' U2 L
F2 B2 U' B2 L' U2 L
L' B2 D2 R' U' R2 F2
L' B2 D2 R' U' F2 R2
D' B2 D2 U L2 R F2
U2 B2 D' F U' F' R
D' B2 D2 U R L2 F2
D' B2 D2 U R F2 L2
U2 B2 D' F2 U' F2 R
U' B2 F U F' U2 R
L2 B2 D2 R2 U' R' F2
L2 B2 D2 R2 U' F2 R'
U2 B2 D2 F U' F' R
U2 B2 D2 F2 U' F2 R
U2 B2 F L U' F' R
U2 B2 F L' U' F' R
U2 B2 F L2 U' F' R
D B2 D2 U R F2 L'
U2 B2 F U' F' R D
U2 B2 F U' F' R D'
U2 B2 F U' F' R D2
U2 B2 F U' F' D R
U2 B2 F U' F' D' R
U2 B2 F U' F' D2 R
U' B2 F2 U L' F2 U2
U' B2 F2 U F2 U2 R
D2 B2 F2 U D2 F2 R
D2 B2 F2 U' L' B2 U2
D2 B2 F2 U' B2 L' U2
D2 B2 F2 D2 U F2 R
U2 B2 F2 U L' U2 F2
U2 B2 F2 U' R F2 R
U2 B2 F2 U' R' F2 R
U2 B2 F2 U' R2 F2 R
U2 B2 F2 U' F2 R D
U2 B2 F2 U' F2 R D'
U2 B2 F2 U' F2 R D2
U2 B2 F2 U' F2 D R
U2 B2 F2 U' F2 D' R
U2 B2 F2 U' F2 D2 R
