F2 L2 U R' U'
L2 U R' U' F2
R' U' L2 R F2
R' U' R L2 F2
R' U' R F2 L2
U R' U' L2 F2
U R' U' F2 L2
F2 U R' U' L2
L2 F2 U R' U'
R' U' R L F2 L D
R' U' R L F2 L D'
R' U' R L F2 L D2
R' U' R L F2 D L
R' U' R L F2 D' L
R' U' R L F2 D2 L
R' U' R L2 F D F
R' U' R L2 F D' F
R' U' R L2 F D2 F
R' U' R L2 F' D F'
R' U' R L2 F' D' F'
R' U' R L2 F' D2 F'
R' U' R F' L F' L
R' U' R F' L2 D F'
R' U' R F' L2 D' F'
R' U' R F' L2 D2 F'
R' U' R F' L2 F' D
R' U' R F' L2 F' D'
R' U' R F' L2 F' D2
L2 U' R U F2 D B2
R' U' R F2 L D L
R' U' R F2 L D' L
R' U' R F2 L D2 L
R' U' R F2 L' D L'
R' U' R F2 L' D' L'
R' U' R F2 L' D2 L'
R U' L2 F2 D R' B2
R' U' R F2 B' L2 B
R' U' R F2 B2 L2 B2
L2 U' R U2 R2 U' F2
B' R F2 L2 D' R' B
L2 U' R D R2 U B2
R' U' R B' L2 F2 B
R' U' R B' L2 B F2
R' U' R B' F2 L2 B
R2 U' R U' L2 R F2
R2 U' R U' R L2 F2
R2 U' R U' R F2 L2
R' U' R B2 L2 F2 B2
R' U' R B2 L2 B2 F2
R' U' R B2 F2 L2 B2
R' U' R' L F2 L R2
R' U' R' L F2 R2 L
R' U' R' L2 F R2 F
R' U' R' L2 F2 R2 D
R' U' R' L2 F2 R2 D'
R' U' R' L2 F2 R2 D2
R' U' R' F R2 F L2
U R F2 L2 D R2 B2
U R F2 L2 D B2 R2
R' U' R' F' L2 F' R2
L2 U' R' U F2 D2 B2
R' U' R' F2 L2 R2 D
R' U' R' F2 L2 R2 D'
R' U' R' F2 L2 R2 D2
R' U' R' F2 R2 L2 D
R' U' R' F2 R2 L2 D'
R' U' R' F2 R2 L2 D2
R' U' R2 L F2 L R'
R' U' R2 L F2 R' L
L U' R' U' L F2 R
R' U' R2 L2 F R' F
R' U' R2 L2 F2 R' D
R' U' R2 L2 F2 R' D'
R' U' R2 L2 F2 R' D2
R' U' R2 L2 F2 D R'
R' U' R2 L2 F2 D' R'
R' U' R2 L2 F2 D2 R'
R' U' R2 F R' F L2
R' U' R2 F' L2 F' R'
R' U' R2 F2 L2 R' D
R' U' R2 F2 L2 R' D'
R' U' R2 F2 L2 R' D2
R' U' R2 F2 L2 D R'
R' U' R2 F2 L2 D' R'
R' U' R2 F2 L2 D2 R'
R' U' R2 F2 R' L2 D
R' U' R2 F2 R' L2 D'
R' U' R2 F2 R' L2 D2
L2 U' R2 U2 R U' F2
U R B R2 U' L2 F2
U R B R2 U' F2 L2
R U' R2 U' L2 R F2
R U' R2 U' R L2 F2
R U' R2 U' R F2 L2
L2 U' D R2 U2 R U'
U R B' R2 U' L2 F2
U R B' R2 U' F2 L2
R' U' D' R D L2 F2
R' U' D' R D F2 L2
U' R' L U' L F2 R
F' R' L U' L R F'
F' R' L U' R L F'
F' R' L U' R F' L
R' U' D2 R D2 F2 L'
B2 R' L U L R F2
B2 R' L U R L F2
B2 R' L U R F2 L
U R B2 R2 U' L2 F2
U R B2 R2 U' F2 L2
U2 R' L U' F2 L R
U2 R' L U' F2 R L
U R' L U' L F2 D
U R' L U' L F2 D'
U R' L U' L F2 D2
U R' L U' L' F2 L2
F' R' L' U' L' R F'
F' R' L' U' R L' F'
U R' L U' F' L F'
U R' L U' F2 L D
U R' L U' F2 L D'
U R' L U' F2 L D2
U R' L U' F2 D L
U R' L U' F2 D' L
U R' L U' F2 D2 L
U R' L D' L2 U' L'
D' R' L' B2 L' U' R
D' R' L2 U' R D L2
D' R' L2 U' D L2 R
D' R' L2 U' D R L2
U R' L' U' L F2 L2
U R' L' U' L' F2 D
U R' L' U' L' F2 D'
U R' L' U' L' F2 D2
U R' L' U' L2 F2 L
D' R' L2 D U' L2 R
D' R' L2 D U' R L2
R' U' F' L2 F R F2
U R' L' D' L2 U' L
D' R' L2 B2 U' R D
D' R' L2 B2 U' R D'
D' R' L2 B2 U' R D2
D' R' L2 B2 U' D R
D' R' L2 B2 U' D' R
D' R' L2 B2 U' D2 R
U R' L' B U' L' F2
D' R' L2 B2 D U' R
D' R' L2 B2 D' U' R
D' R' L2 B2 D2 U' R
U R' L' B' U' L' F2
U R' L' B2 U' L' F2
U R' L2 U' F2 D' L2
U' R' U L2 F2 D2 B2
D2 R' U R' B2 U2 R2
F' R' U R F' L2 B'
R' U' F2 L D2 L R2
R' U' F2 L D2 R2 L
U R' L2 D' L2 U' L2
R' U' F2 L2 U2 L U2
R' U' F2 L2 B2 R' B2
U' R' U F' L2 F' B'
U' R' U F' L2 B' F'
B R' U L2 R F2 B
B R' U L2 R B F2
U' R' U F2 L2 D2 B2
B R' U R L2 F2 B
B R' U R L2 B F2
B R' U R F2 L2 B
R' U' F2 U2 L' U2 L'
B R' U R F2 B L2
B R' U R B L2 F2
B R' U R B F2 L2
D2 R' U B2 U2 L R
D2 R' U B2 U2 R L
F' R' U' L R F' L
U' R' U' L F2 L R
U' R' U' L F2 R L
U R' U R U2 L2 F2
U R' U R U2 F2 L2
D2 R' U' R D2 L2 F2
D2 R' U' R D2 F2 L2
D' R' U' R D L2 F2
D' R' U' R D F2 L2
F' R' U' L2 R D F'
F' R' U' L2 R D' F'
F' R' U' L2 R D2 F'
F' R' U' L2 R F' D
F' R' U' L2 R F' D'
F' R' U' L2 R F' D2
U R' U R' U2 L2 F2
U R' U R' U2 F2 L2
R' U' F2 B2 L2 B2 R'
U' R' U' L2 F2 D2 R2
F' R' U' R L F' L
F' R' U' R L2 D F'
F' R' U' R L2 D' F'
F' R' U' R L2 D2 F'
U R' U R2 U2 L2 F2
F' R' U' R L2 F' D
F' R' U' R L2 F' D'
F' R' U' R L2 F' D2
U R' U R2 U2 F2 L2
F' R' U' R F L2 F2
F' R' U' R F' L2 D
F' R' U' R F' L2 D'
F' R' U' R F' L2 D2
D' R' U' D L2 R F2
D' R' U' D R L2 F2
D' R' U' D R F2 L2
U R' U D2 R2 B2 U2
U R' U D2 B2 R2 U2
R' U' B R F2 B' L2
R' U' B R B' L2 F2
R' U' B R B' F2 L2
U2 R' U' L2 F2 D R2
R U' F2 L2 D R' B2
U R' U B U2 L2 F2
U R' U B U2 F2 L2
D R' U' R D' L2 F2
D R' U' R D' F2 L2
U' R' U' F2 L2 D2 R2
U R' U B' U2 L2 F2
U R' U B' U2 F2 L2
U R' U B2 U2 L2 F2
U R' U B2 U2 F2 L2
U R' U' L F' L F'
U R' U' L F2 L D
U R' U' L F2 L D'
U R' U' L F2 L D2
U R' U' L F2 D L
U R' U' L F2 D' L
U R' U' L F2 D2 L
U R' U' L2 R F2 R'
U R' U' L2 R2 F2 R2
F R' U' R F L2 D
F R' U' R F L2 D'
F R' U' R F L2 D2
F R' U' R F' L2 F2
U2 R' U' F2 L2 D R2
F R' U' R F2 L2 F'
U R' U' L2 F D F
U R' U' L2 F D' F
U R' U' L2 F D2 F
U R' U' L2 F' D F'
U R' U' L2 F' D' F'
U R' U' L2 F' D2 F'
U R' U' R L2 F2 R'
F R' U' R' F L2 R2
F R' U' R' F R2 L2
U R' U' R F2 L2 R'
U R' U' R F2 R' L2
F R' U' R2 F L2 R'
F R' U' R2 F R' L2
U R' U' R2 L2 F2 R2
U R' U' R2 F2 L2 R2
U R' U' R2 F2 R2 L2
R' U' B' L2 B R F2
U2 R' U2 L2 F2 D' B2
U R' U' F' L F' L
U R' U' F' L2 D F'
U R' U' F' L2 D' F'
U R' U' F' L2 D2 F'
U R' U' F' L2 F' D
U R' U' F' L2 F' D'
U R' U' F' L2 F' D2
U R' U' F2 L D L
U R' U' F2 L D' L
U R' U' F2 L D2 L
U R' U' F2 L' D L'
U R' U' F2 L' D' L'
U R' U' F2 L' D2 L'
U R' U' F2 B' L2 B
U R' U' F2 B2 L2 B2
U R' U' B' L2 F2 B
U R' U' B' L2 B F2
U R' U' B' F2 L2 B
D R' U2 R' F2 U R2
U R' U' B2 L2 F2 B2
U R' U' B2 L2 B2 F2
U R' U' B2 F2 L2 B2
U2 R' U2 F2 L2 D' B2
U R' U2 R U L2 F2
U R' U2 R U F2 L2
U R' U2 R' U L2 F2
U R' U2 R' U F2 L2
U R' U2 R2 U L2 F2
U R' U2 R2 U F2 L2
U R' U2 D R2 F2 U
U R' U2 D F2 R2 U
D' R' D U' L2 R F2
D' R' D U' R L2 F2
D' R' D U' R F2 L2
R' U' B2 L2 R F2 B2
R' U' B2 L2 R B2 F2
R' U' B2 L2 B2 R F2
R' U' B2 R L2 F2 B2
R' U' B2 R L2 B2 F2
U R' U2 F U F L2
R' U' B2 R F2 L2 B2
R' U' B2 R F2 B2 L2
R' U' B2 R B2 L2 F2
R' U' B2 R B2 F2 L2
U R' U2 F' U L2 F'
U R' U2 F' U F' L2
L2 U' B2 L B2 U F2
R' U' B2 F2 L2 B2 R'
U R' D U2 R2 F2 U
U R' D U2 F2 R2 U
U R' D' L' B2 L' U'
U R' D' L2 U' D L2
U R' D' L2 D U' L2
U R' D' L2 B2 U' D
U R' D' L2 B2 U' D'
U R' D' L2 B2 U' D2
U R' D' L2 B2 D U'
U R' D' L2 B2 D' U'
U R' D' L2 B2 D2 U'
U R' D' B L2 B U'
F R' D' B2 U' R F
U R' D' B2 L2 U' D
U R' D' B2 L2 U' D'
U R' D' B2 L2 U' D2
U R' D' B2 L2 D U'
U R' D' B2 L2 D' U'
U R' D' B2 L2 D2 U'
U R' D' B2 U' D F2
U R' D' B2 D U' F2
L U2 L F2 R D B2
R' U2 L2 R F2 D' B2
U R' D2 U R2 B2 U2
U R' D2 U B2 R2 U2
D R' D2 B2 L U' R
F2 R' F U' L2 F' R
F2 R' F U' F' L2 R
F2 R' F U' F' R L2
R' U2 R L2 F2 D' B2
U' R' F' U F' L2 B'
R' U2 R F2 L2 D' B2
D' R' F2 L2 B2 U' R'
R U2 L2 F2 D R' B2
R2 U2 R U' L2 R F2
R2 U2 R U' R L2 F2
R2 U2 R U' R F2 L2
R' U2 R' U L2 R2 F2
R' U2 R' U L2 F2 R2
R' U2 R' U R2 L2 F2
R' U2 R' U R2 F2 L2
R' U2 R' U F2 L2 R2
R' U2 R' U F2 R2 L2
F2 R' F2 U' F2 L2 R
F2 R' F2 U' F2 R L2
D' R' B L2 B U' R
R' U2 R2 U L2 R' F2
R' U2 R2 U L2 F2 R'
R' U2 R2 U R' L2 F2
R' U2 R2 U R' F2 L2
R' U2 R2 U F2 L2 R'
R' U2 R2 U F2 R' L2
F' R' B U' L2 R F'
F' R' B U' R L2 F'
F' R' B U' R F' L2
U R' B L U' L F2
U R' B L U' F2 L
U R' B L' U' L' F2
F R' B U' R F L2
U R' B U' L F2 L
U R' B U' L2 F2 D
U R' B U' L2 F2 D'
U R' B U' L2 F2 D2
F' R' B' U' L2 R F'
F' R' B' U' R L2 F'
F' R' B' U' R F' L2
U R' B U' F' L2 F'
U R' B U' F2 L2 D
U R' B U' F2 L2 D'
U R' B U' F2 L2 D2
R' U2 D R2 F2 U R'
U R' B D' L2 B2 U'
R U2 R2 U' L2 R F2
R U2 R2 U' R L2 F2
R U2 R2 U' R F2 L2
U R' B D' B2 L2 U'
U R' B' L U' L F2
U R' B' L U' F2 L
D' R' B2 L2 U' R D
D' R' B2 L2 U' R D'
D' R' B2 L2 U' R D2
D' R' B2 L2 U' D R
D' R' B2 L2 U' D' R
D' R' B2 L2 U' D2 R
D' R' B2 L2 D U' R
D' R' B2 L2 D' U' R
D' R' B2 L2 D2 U' R
U R' B' L' U' L' F2
F R' B' U' R F L2
D' R' B2 U' R D F2
D' R' B2 U' D R F2
F' R' B2 U' L2 R F'
F' R' B2 U' R L2 F'
F' R' B2 U' R F' L2
U R' B' U' L F2 L
U R' B' U' L2 F2 D
U R' B' U' L2 F2 D'
U R' B' U' L2 F2 D2
U R' B' U' F' L2 F'
U R' B' U' F2 L2 D
U R' B' U' F2 L2 D'
U R' B' U' F2 L2 D2
D' R' B2 D U' R F2
U R' B' D' L2 B2 U'
U R' B' D' B2 L2 U'
U R' B2 L U' L F2
U R' B2 L U' F2 L
U R' B2 L' U' L' F2
B2 R2 L U L R2 F2
B2 R2 L U L F2 R2
B2 R2 L U R2 L F2
B2 R2 L U R2 F2 L
B2 R2 L U F2 L R2
B2 R2 L U F2 R2 L
F R' B2 U' R F L2
U R' B2 U' L F2 L
U R' B2 U' L2 F2 D
U R' B2 U' L2 F2 D'
U R' B2 U' L2 F2 D2
U R' B2 U' F' L2 F'
U R' B2 U' F2 L2 D
U R' B2 U' F2 L2 D'
U R' B2 U' F2 L2 D2
U R' B2 D' L2 B2 U'
U R' B2 D' B2 L2 U'
D R2 L F2 L' U R2
L2 U2 D2 B2 U L U
L2 U2 F U' R' U' F
F2 R2 L2 U R U' R
D R2 L' F2 L' U R2
D' R2 L2 B2 R U' R
D R2 L2 F2 L' U R2
R' U2 F2 L2 D' B2 R'
F2 R2 U R U' L2 R
F2 R2 U R U' R L2
U2 R2 U' R U' L2 F2
U2 R2 U' R U' F2 L2
R' U2 B U L2 R F2
R' U2 B U R L2 F2
R' U2 B U R F2 L2
R U2 F2 L2 D R' B2
U' R2 U2 R U' L2 F2
U' R2 U2 R U' F2 L2
R' U2 B' U L2 R F2
R' U2 B' U R L2 F2
R' U2 B' U R F2 L2
R' U2 B2 U L2 R F2
R' U2 B2 U R L2 F2
R' U2 B2 U R F2 L2
U' R2 D F2 L' R2 U
U' R2 D F2 R2 L' U
L2 U2 B2 U L U F2
U R2 D' L2 R B2 U'
U R2 D' L2 B2 R U'
U R2 D' R L2 B2 U'
U R2 D' R B2 L2 U'
U R2 D' B2 L2 R U'
U R2 D' B2 R L2 U'
D R2 F2 L' U R2 D
D R2 F2 L' U R2 D'
D R2 F2 L' U R2 D2
D R2 F2 L' D B2 U
D R2 F2 L' B U R2
D R2 F2 L' B' U R2
D R2 F2 L' B2 U R2
D R2 F2 D L' B2 U
D R2 F2 D B2 L' U
D R2 F2 B L' U R2
D R2 F2 B' L' U R2
D R2 F2 B2 L' U R2
U R2 B R U' L2 F2
U R2 B R U' F2 L2
D R2 B F2 L' U R2
R2 D R2 F2 B2 L U
D' R2 B2 L2 R U' R
D' R2 B2 R L2 U' R
R2 D R2 B2 L F2 U
R2 D R2 B2 F2 L U
L2 D U R' U2 R' U
D2 R2 B2 U' R U' R
U R2 B' R U' L2 F2
U R2 B' R U' F2 L2
D R2 B' F2 L' U R2
U' D L R2 F2 L' U
L2 D U' R2 U2 R U'
R' D U2 R2 F2 U R'
B2 U L U L F2 R
U R2 B2 R U' L2 F2
U R2 B2 R U' F2 L2
D R2 B2 F2 L' U R2
D' U L' R' B2 L' U'
U' D L' R2 F2 L' U
D' U L2 R B2 R2 U'
D' U L2 R' U' D L2
D' U L2 R' D U' L2
D' U L2 R' B2 U' D
D' U L2 R' B2 U' D'
D' U L2 R' B2 U' D2
D' U L2 R' B2 D U'
D' U L2 R' B2 D' U'
D' U L2 R' B2 D2 U'
D' U L2 R2 B2 R U'
U' D L2 R2 F2 L' U
D' U L2 D R' U' L2
D' U L2 B2 U2 L U
D' U R L2 B2 R2 U'
F2 U R U' L2 D B2
R2 D F2 L' R2 B2 U
D' U R B2 L2 R2 U'
D' U R B2 R2 L2 U'
R2 D F2 L' B2 R2 U
D' U R' L' B2 L' U'
D' U R' L2 U' D L2
D' U R' L2 D U' L2
D' U R' L2 B2 U' D
D' U R' L2 B2 U' D'
D' U R' L2 B2 U' D2
D' U R' L2 B2 D U'
D' U R' L2 B2 D' U'
D' U R' L2 B2 D2 U'
R2 D F2 R2 L' B2 U
B U R U' L2 F2 B
B U R U' L2 B F2
B U R U' F2 L2 B
B U R U' F2 B L2
B U R U' B L2 F2
F2 U R B R2 U' L2
R2 D F2 R2 B2 L' U
B U R U' B F2 L2
D2 U R' U R' B2 U2
D' U R' U' D L2 F2
D' U R' U' D F2 L2
D2 U R' U B2 U2 L
F2 U R B' R2 U' L2
F2 U R B2 R2 U' L2
D' U R' D U' L2 F2
D' U R' D U' F2 L2
F2 U R' U R U2 L2
F2 U R' U R' U2 L2
F2 U R' U R2 U2 L2
F2 U R' U D2 R2 U2
F2 U R' U' L D L
F2 U R' U' L D' L
F2 U R' U' L D2 L
F2 U R' U' L' D L'
F2 U R' U' L' D' L'
F2 U R' U' L' D2 L'
F2 U R' U' F L2 F'
F2 U R' U' F2 L2 F2
F2 U R' U' B' L2 B
F2 U R' U' B2 L2 B2
F2 U R' U2 D F2 U
F2 U R' U2 F U L2
F2 U R' U2 F' U L2
R2 D F2 B2 L' R2 U
F2 U R' U2 F2 U L2
D' U R' B L2 B U'
R2 D F2 B2 R2 L' U
F2 U R' D U2 F2 U
R D F2 R2 U R B2
R D F2 R2 U B2 R
D' U R' B2 L2 U' D
D' U R' B2 L2 U' D'
D' U R' B2 L2 U' D2
D' U R' B2 L2 D U'
D' U R' B2 L2 D' U'
D' U R' B2 L2 D2 U'
F2 U R' D' B2 U' D
F2 U R' D' B2 U' D'
F2 U R' D' B2 U' D2
F2 U R' D' B2 D U'
F2 U R' D' B2 D' U'
F2 U R' D' B2 D2 U'
D' U R' B2 U' D F2
D' U R' B2 D U' F2
F2 U R' D2 U R2 U2
U' D R2 L F2 L' U
U' D R2 L' F2 L' U
D' U R2 L2 B2 R U'
U' D R2 L2 F2 L' U
B U R' U' F2 L2 B'
F2 U R' B U' L2 D
F2 U R' B U' L2 D'
F2 U R' B U' L2 D2
F2 U R' B D' B2 U'
D U R' U2 R' F2 U
F2 U R' B' U' L2 D
F2 U R' B' U' L2 D'
F2 U R' B' U' L2 D2
D U R' U2 F2 R' U
F2 U R' B' D' B2 U'
F2 U R' B2 U' L2 D
F2 U R' B2 U' L2 D'
F2 U R' B2 U' L2 D2
F2 U R' B2 D' B2 U'
D U R' D2 B2 L U'
F U R' U' F L2 D
F U R' U' F L2 D'
F U R' U' F L2 D2
F U R' U' F' L2 F2
F U R' U' F2 L2 F'
U D R' U2 R' F2 U
U D R' U2 F2 R' U
U' D R2 F2 L' U D
U' D R2 F2 L' U D'
U' D R2 F2 L' U D2
U' D R2 F2 L' D U
U' D R2 F2 L' D' U
U' D R2 F2 L' D2 U
U' D R2 F2 D L' U
U' D R2 F2 D' L' U
U' D R2 F2 D2 L' U
F U R' D' B2 U' F
F2 U R2 D' R B2 U'
D' U R2 B2 L2 R U'
D' U R2 B2 R L2 U'
F2 U R2 D' B2 R U'
U D R' D2 B2 L U'
F U R' B U' F L2
F U R' B' U' F L2
F2 U R2 B R U' L2
L' D B2 L' D' F2 B2
L' D B2 L' D' B2 F2
F U R' B2 U' F L2
F2 U R2 B' R U' L2
F2 U R2 B2 R U' L2
F2 U D R' U' D' L2
F2 U D R' U2 F2 U
F2 U D R' D' U' L2
F2 U D R' D2 B2 U'
L2 D B2 U' L R2 U
L2 D B2 U' R2 L U
F2 U D' R B2 R2 U'
F2 U D' R' U' D L2
F2 U D' R' D U' L2
F2 U D' R' B2 U' D
F2 U D' R' B2 U' D'
F2 U D' R' B2 U' D2
F2 U D' R' B2 D U'
F2 U D' R' B2 D' U'
F2 U D' R' B2 D2 U'
F2 U D' R2 B2 R U'
R2 D B2 F2 L' R2 U
R2 D B2 F2 R2 L' U
B2 U D' B2 L2 R' U'
B2 U D' B2 R' L2 U'
F2 U D' B2 U2 L U
L' D' L' U L' R' U'
R D B2 D' L2 F2 R
L' D' L' U R' L' U'
U' D F2 R2 U2 R U'
F2 U D2 R' U R' U2
F2 U D2 R' B2 U' L
F U D' R' B2 U' F
L D' L U L R' U'
L D' L U R' L U'
R' D' L' B2 L' U' R
R' D' L2 U' R D L2
R' D' L2 U' D L2 R
R' D' L2 U' D R L2
L' D' L2 R' U' L R
L' D' L2 R' U' R L
R' D' L2 D U' L2 R
R' D' L2 D U' R L2
L2 D' L2 R' U' L2 R
L2 D' L2 R' U' R L2
R' D' L2 B2 U' R D
R' D' L2 B2 U' R D'
R' D' L2 B2 U' R D2
R' D' L2 B2 U' D R
R' D' L2 B2 U' D' R
R' D' L2 B2 U' D2 R
R' D' L2 B2 D U' R
R' D' L2 B2 D' U' R
R' D' L2 B2 D2 U' R
R2 D' L2 R F2 B2 U'
R2 D' L2 R B2 F2 U'
F2 U F' R' F U' L2
L D' L2 R' U' L' R
L D' L2 R' U' R L'
R2 D' L2 B2 R F2 U'
R2 D' R L2 F2 B2 U'
R2 D' R L2 B2 F2 U'
L2 D' R D R' F2 B2
L2 D' R D R' B2 F2
L2 D' R D F2 R' B2
D' U B2 L2 U2 L' U
L' D' R' L2 U' L R
L' D' R' L2 U' R L
F2 U F2 R' F2 U' L2
R2 D' R F2 L2 B2 U'
R2 D' R F2 B2 L2 U'
R2 D' R B2 L2 F2 U'
L2 D' R' L2 U' L2 R
L2 D' R' L2 U' R L2
R2 D' R B2 F2 L2 U'
B' U B R' U' L2 F2
B' U B R' U' F2 L2
F2 U B U' L' B' L'
L D' R' L2 U' L' R
L D' R' L2 U' R L'
L' D' U L2 R' U' L
D U' L R2 F2 L' U
L' D' U R' L2 U' L
L2 D' U L2 R' U' D
L2 D' U L2 R' U' D'
L2 D' U L2 R' U' D2
L2 D' U L2 R' D U'
L2 D' U L2 R' D' U'
L2 D' U L2 R' D2 U'
L2 D' U L2 D R' U'
L2 D' U L2 D' R' U'
L2 D' U L2 D2 R' U'
R' D' U' R D L2 F2
R' D' U' R D F2 L2
L2 D' U R' L2 U' D
L2 D' U R' L2 U' D'
L2 D' U R' L2 U' D2
L2 D' U R' L2 D U'
L2 D' U R' L2 D' U'
L2 D' U R' L2 D2 U'
L2 D' U R' U' D F2
L2 D' U R' D U' F2
B2 U B2 R' U' L2 F2
B2 U B2 R' U' F2 L2
D U' L' R2 F2 L' U
F2 U B2 U2 L U L
U D' L' R' B2 L' U'
L D' U L2 R' U' L'
F2 U B2 D' B2 R' U'
L D' U R' L2 U' L'
B2 U' L R U L F2
B2 U' L R U F2 L
B2 U' L R' U L F2
B2 U' L R' U F2 L
B2 U' L R2 U L F2
B2 U' L R2 U F2 L
B2 U' L U L F2 D
B2 U' L U L F2 D'
B2 U' L U L F2 D2
B2 U' L U L' F2 L2
B2 U' L U F' L F'
B2 U' L U F2 L D
B2 U' L U F2 L D'
B2 U' L U F2 L D2
B2 U' L U F2 D L
B2 U' L U F2 D' L
B2 U' L U F2 D2 L
D U' L2 R2 F2 L' U
B2 U' L D R2 U L
F2 U' L U2 R' U' L
B2 U' L F U F L
U D' L2 R B2 R2 U'
U D' L2 R' U' D L2
U D' L2 R' D U' L2
B2 U' L F' U L F'
B2 U' L F' U F' L
U D' L2 R' B2 U' D
U D' L2 R' B2 U' D'
U D' L2 R' B2 U' D2
U D' L2 R' B2 D U'
U D' L2 R' B2 D' U'
U D' L2 R' B2 D2 U'
U D' L2 R2 B2 R U'
U D' L2 D R' U' L2
F2 U' L' U2 R' U' L'
U D' L2 B2 U2 L U
L2 D' F U L2 R' U'
L2 D' F U R' L2 U'
U D' R L2 B2 R2 U'
B U' L' U B' L' F2
U D' R B2 L2 R2 U'
U D' R B2 R2 L2 U'
R' D' F2 L2 B2 U' R'
L2 D' F' U L2 R' U'
L2 D' F' U R' L2 U'
U D' R' L' B2 L' U'
U D' R' L2 U' D L2
U D' R' L2 D U' L2
U D' R' L2 B2 U' D
U D' R' L2 B2 U' D'
U D' R' L2 B2 U' D2
U D' R' L2 B2 D U'
U D' R' L2 B2 D' U'
U D' R' L2 B2 D2 U'
U D' R' U' D L2 F2
U D' R' U' D F2 L2
B2 U' R L U L F2
B2 U' R L U F2 L
U D' R' D U' L2 F2
U D' R' D U' F2 L2
D U' R2 L F2 L' U
D U' R2 L' F2 L' U
D U' R2 L2 F2 L' U
U D' R' B L2 B U'
U D' R' B2 L2 U' D
U D' R' B2 L2 U' D'
U D' R' B2 L2 U' D2
U D' R' B2 L2 D U'
U D' R' B2 L2 D' U'
U D' R' B2 L2 D2 U'
U D' R' B2 U' D F2
U D' R' B2 D U' F2
R' D' B L2 B U' R
L2 D' F2 U L2 R' U'
R2 D' F2 L2 B2 R' U'
L2 D' F2 U R' L2 U'
U D' R2 L2 B2 R U'
D U' R2 F2 L' U D
D U' R2 F2 L' U D'
D U' R2 F2 L' U D2
D U' R2 F2 L' D U
D U' R2 F2 L' D' U
D U' R2 F2 L' D2 U
B2 U' R' L U L F2
B2 U' R' L U F2 L
D U' R2 F2 D L' U
D U' R2 F2 D' L' U
D U' R2 F2 D2 L' U
U D' R2 B2 L2 R U'
U D' R2 B2 R L2 U'
B2 U' R2 L U L F2
B2 U' R2 L U F2 L
R' D' B2 L2 U' R D
R' D' B2 L2 U' R D'
R' D' B2 L2 U' R D2
R' D' B2 L2 U' D R
R' D' B2 L2 U' D' R
R' D' B2 L2 U' D2 R
R' D' B2 L2 D U' R
R' D' B2 L2 D' U' R
R' D' B2 L2 D2 U' R
R' D' B2 U' R D F2
B2 U' D L R2 F2 U
R' D' B2 U' D R F2
B2 U' D L F2 R2 U
R' D' B2 D U' R F2
B2 U' D R2 L F2 U
B2 U' D R2 F2 L U
B2 U' D F2 L R2 U
B2 U' D F2 R2 L U
D U' F2 R2 U2 R U'
R2 D' B2 L2 R F2 U'
F2 U' D F2 U2 R' U'
R2 D' B2 R L2 F2 U'
R2 D' B2 R F2 L2 U'
F2 U' F U2 R' U' L2
B2 U' F' L U L F'
B2 U' F' L U F' L
U D' B2 L2 U2 L' U
F2 U' F' U2 R' U' L2
F2 U' F2 U2 R' U' L2
R' D2 U R2 B2 L U2
R' D2 U B2 R2 U2 R'
R' D2 U' R D2 F2 L'
L2 D2 U R' U B2 U2
L2 D2 U R' U' D2 F2
L2 D2 U R' D L2 U'
L2 D2 U R' D2 U' F2
B2 U2 L U F2 L R
B2 U2 L U F2 R L
U D2 R' U R' B2 U2
U D2 R' U B2 U2 L
D2 U2 R2 B2 U' R U'
U2 D2 R2 B2 U' R U'
L2 D2 U2 B2 U L U
F2 U2 R U' R2 U' L2
F2 U2 R U2 L2 D B2
F2 U2 R' U2 L2 D' B2
F2 U2 R2 U' R U' L2
D2 U2 B2 R2 U L U
U2 D2 B2 R2 U L U
F2 U2 D2 R2 U' R U'
D' F L2 R' B2 U' R
F2 U2 F U' R' U' L2
F2 U2 F' U' R' U' L2
L2 F R D R' F B2
L2 F R D R' B2 F
D' F R' L2 B2 U' R
L2 F R D F R' B2
L2 F R F D R' B2
F2 U2 F2 U' R' U' L2
D' F R' B2 L2 U' R
L F R' U' R F L
D' F U L2 R' B2 U'
D' F U R' L2 B2 U'
D' F U R' B2 L2 U'
L2 F U R' U' D F
L2 F U R' U' D' F
L2 F U R' U' D2 F
L2 F U R' U' F D
L2 F U R' U' F D'
L2 F U R' U' F D2
L2 F U R' D U' F
L2 F U R' D' U' F
L2 F U R' D2 U' F
L2 F U D R' U' F
L2 F U D' R' U' F
R F R2 U' R F L2
L2 F U D2 R' U' F
R' F U' F' L2 R F2
R' F U' F' R L2 F2
R' F U' F' R F2 L2
B' D L D' F2 B' L2
B' D L D' B' L2 F2
B' D L D' B' F2 L2
B2 D L R2 F2 U R2
U2 F U' R' U' F L2
U' F U2 R' U' F L2
L F U R' U' F L
B' D L B' D' L2 F2
B' D L B' D' F2 L2
B2 D L F2 R2 U R2
B' D L' D' L2 F2 B'
B' D L' D' L2 B' F2
B2 D L' D' L2 F2 B2
B2 D L' D' L2 B2 F2
B2 D L' D' F2 L2 B2
B2 D L' D' F2 B2 L2
B2 D L' D' B2 L2 F2
B2 D L' D' B2 F2 L2
L2 F D U R' U' F
L2 F D F U R' U'
L2 F D' U R' U' F
L2 F D' F U R' U'
F2 D R D R' B2 L
