F2 U2 F' R' U
F2 L U2 F' R' U
F2 L' U2 F' R' U
F2 L2 U2 F' R' U
B' L2 F2 B' L U'
B' L2 B' L F2 U'
B2 L2 B' L' F2 U'
B' L2 B' F2 L U'
F R' U2 R F U'
U2 R' D F U R2
U2 R' D2 F B2 U
U2 R' D2 B2 F U
U2 R' F U2 F U'
U2 D R' F U R'
U2 D F R' U R'
D2 U2 R' F B2 U
U2 D2 R' F B2 U
D2 U2 R' B2 F U
U2 D2 R' B2 F U
D U2 R' F U R'
D2 U2 F R' B2 U
U2 D2 F R' B2 U
D U2 F R' U R'
F2 U2 D F' R' U
F2 U2 D' F' R' U
F2 U2 D2 F' R' U
F2 U2 F R' F2 U
F2 U2 F' R' U D
F2 U2 F' R' U D'
F2 U2 F' R' U D2
F2 U2 F' R' D U
F2 U2 F' R' D' U
F2 U2 F' R' D2 U
F2 U2 F' D R' U
F2 U2 F' D' R' U
F2 U2 F' D2 R' U
F2 U2 F2 R' F U
U2 F R' U2 F U'
F2 D U2 F' R' U
R2 F2 L' R2 B U'
F2 D' U2 F' R' U
R2 F2 R2 L' B U'
L' F2 U2 R' F' U
R2 F2 R2 B L' U'
L2 F2 B2 L B U'
L F2 B2 L B' U'
F2 D2 U2 F' R' U
F' D2 F' B2 L U'
F' D2 B2 L F' U'
F' D2 B2 F' L U'
L2 B2 L F2 B U'
L2 B2 L B F2 U'
L B2 L F2 B' U'
L B2 L B' F2 U'
B2 F2 L U2 F' U
F2 B2 L U2 F' U
L2 B2 F2 L B U'
L B2 F2 L B' U'
L F2 B2 L D2 B' U'
L F2 B2 L B' U' D
L F2 B2 L B' U' D'
L F2 B2 L B' U' D2
L F2 B2 L B' D U'
L F2 B2 L B' D' U'
L F2 B2 L B' D2 U'
B2 D2 U2 F B2 R' U
F2 D2 U2 F R' F2 U
F2 D2 U2 F' R' U D
F2 D2 U2 F' R' U D'
F2 D2 U2 F' R' U D2
F2 D2 U2 F' R' D U
F2 D2 U2 F' R' D' U
F2 D2 U2 F' R' D2 U
F2 D2 U2 F' D R' U
F2 D2 U2 F' D' R' U
F2 D2 U2 F' D2 R' U
F2 D2 U2 F2 R' F U
B2 D2 U2 B2 R' F U
B2 D2 U2 B2 F R' U
B D2 U2 F R B2 U
B D2 U2 F B2 R U
F' D2 F B2 L F2 U'
F' D2 F' L B2 L U'
F' D2 F' L' B2 L U'
B D2 U2 B2 F R U
F' D2 F' L2 B2 L U'
F' D2 F' B2 L U' D
F' D2 F' B2 L U' D'
F' D2 F' B2 L U' D2
F' D2 F' B2 L D U'
F' D2 F' B2 L D' U'
F' D2 F' B2 L D2 U'
F' D2 F' B2 D L U'
F' D2 F' B2 D' L U'
F' D2 F' B2 D2 L U'
F D2 F U2 F' R' U
F' D2 B2 L D F' U'
F' D2 B2 L D' F' U'
F' D2 B2 L D2 F' U'
F' D2 B2 L F' U' D
F' D2 B2 L F' U' D'
F' D2 B2 L F' U' D2
F' D2 B2 L F' D U'
F' D2 B2 L F' D' U'
F' D2 B2 L F' D2 U'
F' D2 B2 L' F' L2 U'
F2 D2 B2 L U2 F' U
F' D2 B2 D L F' U'
F' D2 B2 D F' L U'
F' D2 B2 D' L F' U'
F' D2 B2 D' F' L U'
F' D2 B2 D2 L F' U'
F' D2 B2 D2 F' L U'
F' D2 B2 F L F2 U'
F' D2 B2 F' L U' D
F' D2 B2 F' L U' D'
F' D2 B2 F' L U' D2
F' D2 B2 F' L D U'
F' D2 B2 F' L D' U'
F' D2 B2 F' L D2 U'
F' D2 B2 F' D L U'
F' D2 B2 F' D' L U'
F' D2 B2 F' D2 L U'
D2 B U2 F B R U
D2 B U2 B F R U
D B U2 F R U R
F2 B R2 B L R2 U'
F2 B R2 B R2 L U'
R2 B F2 L' R2 B U'
F2 B U' L F D' L2
R2 B F2 R2 L' B U'
R2 B F2 R2 B L' U'
L' B' L' F2 B' L U'
L' B' L' B' L F2 U'
L' B' L' B' F2 L U'
F2 B U2 F R F2 U
F2 B U2 F' U2 L' U'
D2 B' L2 F B' L U'
D2 B' L2 B' F L U'
L B' L F2 B' L U'
L B' L B' L F2 U'
L B' L B' F2 L U'
D B' L2 B' L U' R2
B2 F' L D' F' U' L2
B2 F' L D2 F' B2 U'
B2 F' L D2 B2 F' U'
B2 F' L F' U2 F' U
L2 B' D L' U' R2 F
L2 B' D L' U' F R2
L2 B' F D2 F L' U'
L' B' F2 L' B' L U'
F2 B' U2 D2 F' R U
L2 B' F2 D L' U' F
R2 B' F2 L' R2 B U'
R2 B' F2 R2 L' B U'
L' B2 L F2 U2 F' U
R2 B' F2 R2 B L' U'
B2 F' D' L F' U' L
L2 B2 L D B U' R2
L B' F2 L B' L U'
L2 B2 L F2 D B U'
L2 B2 L F2 D' B U'
L2 B2 L F2 D2 B U'
L2 B2 L F2 B U' D
L2 B2 L F2 B U' D'
L2 B2 L F2 B U' D2
L2 B2 L F2 B D U'
L2 B2 L F2 B D' U'
L2 B2 L F2 B D2 U'
B2 F' D' F' L U' L
L2 B2 L B U' D R2
L2 B2 L B D U' R2
L2 B2 L B F2 U' D
L2 B2 L B F2 U' D'
L2 B2 L B F2 U' D2
L2 B2 L B F2 D U'
L2 B2 L B F2 D' U'
L2 B2 L B F2 D2 U'
L' B2 L' F2 B' L2 U'
B2 F' D2 L F' B2 U'
L' B2 L' B' L2 F2 U'
B2 F' D2 L B2 F' U'
L' B2 L' B' F2 L2 U'
L2 B2 L' F2 L2 B U'
L2 B2 L' F2 B L2 U'
L2 B2 L' B L2 F2 U'
B2 F' D2 F' L B2 U'
L B2 L D B' U' R2
L2 B2 L' B F2 L2 U'
F2 B' D2 U2 F' R U
L B2 L F2 D B' U'
L B2 L F2 D' B' U'
L B2 L F2 D2 B' U'
L B2 L F2 B' U' D
L B2 L F2 B' U' D'
L B2 L F2 B' U' D2
L B2 L F2 B' D U'
L B2 L F2 B' D' U'
L B2 L F2 B' D2 U'
B2 F2 L R2 B R2 U'
L B2 L B' U' D R2
L B2 L B' D U' R2
L B2 L B' F2 U' D
L B2 L B' F2 U' D'
L B2 L B' F2 U' D2
L B2 L B' F2 D U'
L B2 L B' F2 D' U'
L B2 L B' F2 D2 U'
F' B2 L D' F' U' L2
F2 B2 L R2 B R2 U'
B2 F2 L U2 D F' U
B2 F2 L U2 D' F' U
B2 F2 L U2 D2 F' U
F' B2 L D2 F' B2 U'
B2 F2 L U2 F' U D
B2 F2 L U2 F' U D'
B2 F2 L U2 F' U D2
B2 F2 L U2 F' D U
B2 F2 L U2 F' D' U
B2 F2 L U2 F' D2 U
F' B2 L D2 B2 F' U'
B2 F2 L D U2 F' U
B2 F2 L D' U2 F' U
F' B2 L F' U2 F' U
F2 B2 L U2 D F' U
F2 B2 L U2 D' F' U
F2 B2 L U2 D2 F' U
F2 B2 L U2 F' U D
F2 B2 L U2 F' U D'
F2 B2 L U2 F' U D2
F2 B2 L U2 F' D U
F2 B2 L U2 F' D' U
F2 B2 L U2 F' D2 U
B2 F2 L D2 U2 F' U
F2 B2 L D U2 F' U
F2 B2 L D' U2 F' U
L2 B2 L2 B L' F2 U'
F2 B2 L D2 U2 F' U
B2 F2 L B U2 F' U
B2 F2 L B' U2 F' U
B2 F2 L B2 U2 F' U
F2 B2 L B U2 F' U
F2 B2 L B' U2 F' U
F2 B2 L B2 U2 F' U
D B2 L2 B' L' U' R2
B2 F2 R2 L B R2 U'
F2 B2 R2 L B R2 U'
B F2 R2 B L R2 U'
B F2 R2 B R2 L U'
L2 B2 D L B U' R2
B' F2 U2 D2 F' R U
B F2 U' L F D' L2
B2 F2 U2 F' U2 L U'
F2 B2 U2 F' U2 L U'
B2 F2 D L U2 F' U
F2 B2 D L U2 F' U
U2 B2 D2 F B2 R' U
B F2 U2 F R F2 U
B F2 U2 F' U2 L' U'
F' B2 D' L F' U' L
U2 B2 D2 B2 R' F U
U2 B2 D2 B2 F R' U
B2 F2 D' L U2 F' U
F2 B2 D' L U2 F' U
F' B2 D' F' L U' L
U2 B2 F U2 F L U'
L2 B2 F' L F' B U'
L2 B2 F' L B F' U'
B' F2 D2 U2 F' R U
F' B2 D2 L F' B2 U'
F' B2 D2 L B2 F' U'
L' B2 F2 L U2 F U
L' B2 F2 L' B' L2 U'
B2 F2 D2 L U2 F' U
F2 B2 D2 L U2 F' U
F' B2 D2 F' L B2 U'
L2 B2 F2 L D B U'
L2 B2 F2 L D' B U'
L2 B2 F2 L D2 B U'
L2 B2 F2 L B U' D
L2 B2 F2 L B U' D'
L2 B2 F2 L B U' D2
L2 B2 F2 L B D U'
L2 B2 F2 L B D' U'
L2 B2 F2 L B D2 U'
L2 B2 F2 L' B L2 U'
L2 B2 F2 L2 B L' U'
L2 B2 F2 D L B U'
L2 B2 F2 D' L B U'
L B2 F' L F' B' U'
R2 B2 F2 L' R2 B U'
L B2 F' L B' F' U'
L2 B2 F2 D2 L B U'
R2 B2 F2 R2 L' B U'
R2 B2 F2 R2 B L' U'
L B2 F2 L D B' U'
L B2 F2 L D' B' U'
L B2 F2 L D2 B' U'
L B2 F2 L B' U' D
L B2 F2 L B' U' D'
L B2 F2 L B' U' D2
L B2 F2 L B' D U'
L B2 F2 L B' D' U'
L B2 F2 L B' D2 U'
