R' L' B D L2
L' R' B D L2
R' L U' F U B
R' L B U' F U
R' L' U B' U' B2
L' R' U B' U' B2
L R' U' F U B
R' L' D B D L2
L' R' D B D L2
L' R' D' B D L2
R' L' D' B D L2
L' R' D2 B D L2
L2 R' D' B' L B2
R' L' D2 B D L2
L' R' B L D L2
L' R' B L' D L2
R' L' B L D L2
L' R' B L2 D L2
R' L' B L' D L2
R' L' B L2 D L2
L' R' B U B2 U'
L' R' B D L2 D
L' R' B D L2 D'
L' R' B D L2 D2
R' L' B U B2 U'
R' L' B D L2 D
R' L' B D L2 D'
R' L' B D L2 D2
L R' B U' F U
L2 R' B2 D' B' L
R' L2 D' B' L B2
R' L2 B2 D' B' L
R' U B' U' B2 L
R' U B2 U' B' L
R' U' F' U L' B
R' U' F' U B L'
L U' F U R' B
R' D L' B D L2
F' U R' F B L
F' U R' B F L
F2 U R' F2 B L
F2 U R' B L F2
F2 U R' B F2 L
F2 U R' B F2 L
R' D' L' B D L2
F' U F R' B L
F2 U F2 R' B L
F U F' R' B L
R' D2 L' B D L2
F U' F' L' R' B
F U' F' R' L' B
F U' F' R' B L'
L F U F' R' B
U' F' U L' R' B
U' F' U R' L' B
U' F' U R' B L'
R' B L U' F U
R' B L' U B' U'
R' B U B U' L
R' B U' F' U L'
R' B D U' F' U L'
R' B D' L U' F U
R' B D' L' U B' U'
R' B D' U B U' L
R' B D' U' F' U L'
R' B D2 L U' F U
R' B D2 L' U B' U'
R' B D2 U B U' L
R' B D2 U' F' U L'
R' B F L F' D' L2
R' B' L U' F U B2
R' B' L B2 U' F U
R' B' L' U B' U' B'
R' B' L' B D L2 B
R' B' L' B D B L2
R' B' L' B2 U B U'
R2 B' L' R B D L2
R' B' L2 B' D' B' L
R B' L' R2 B D L2
R2 B' R L' B D L2
R' B' U B U' L B
R' B' U' F' U L' B2
R' B' U' F' U B2 L'
R B' R2 L' B D L2
U B' U R' U2 B R'
U B' U' B R' B L
R' B2 L2 D' L2 B' L
R2 B2 L' R B D L2
R B2 L' R2 B D L2
R2 B2 R L' B D L2
R' B2 U B U' L B2
R' B2 U' F' U B' L'
R B2 R2 L' B D L2
U B2 U' B2 R' B L
