D' L U2 R2 F L
D' L U2 F L R2
D' L U2 F R2 L
D' L F L R2 B
D' L F R2 L B
D L' R2 B' L' U2
D L' B' L' R2 U2
D L' B' R2 L' U2
D' L' B' U2 L' R2
D' L' B' U2 R2 L'
L U F2 B2 U F'
U2 R D' L2 R2 F'
U2 R D' R2 L2 F'
U2 R D' R2 F' L2
L U B2 F2 U F'
D' R' U2 L2 R' F'
D' R' U2 R' L2 F'
D' R' U2 R' F' L2
U2 R' D' L2 F' R2
U2 R' D' F' L2 R2
U2 R' D' F' R2 L2
L' U2 D' L2 R2 F
L' U2 D' L2 F R2
L' U2 D' R2 L2 F
L U2 D' R2 F L2
L U2 D' F L2 R2
L U2 D' F R2 L2
D R2 L' B' L' U2
L' D L2 R2 U2 F
L' D R2 L2 U2 F
L D L2 R2 B' U2
L' D R2 B' L2 U2
L D L2 B' R2 U2
L D R2 L2 B' U2
L' D B' L2 R2 U2
L' D B' R2 L2 U2
L' D' L2 F R2 B
B' U F2 B' R' U
L' D' U2 L2 R2 F
L' D' U2 L2 F R2
L' D' U2 R2 L2 F
B' U B' R' F2 U
B' U B' F2 R' U
U2 D' L2 R' F' R'
L D' U2 R2 F L2
L D' U2 F L2 R2
L D' U2 F R2 L2
U2 D' R' L2 F' R'
L D' F L2 R2 B
L D' F R2 L2 B
L D' F R2 B L2
U2 D' R' F' L2 R'
U2 D' R' F' R' L2
L' D' B' U2 L2 R2
L' D' B' U2 R2 L2
D' U2 L2 R' F' R'
D' U2 R' L2 F' R'
D' U2 R' F' L2 R'
D' U2 R' F' R' L2
U F2 B' R' B' U
L' B' U F2 B' U
L' B' U B' F2 U
U B' R' F2 B' U
U B' R' B' F2 U
U B' F2 R' B' U
U B' F2 R' B' U
L D L2 R2 D2 B' U2
L D L2 R2 B' U2 D
L D L2 R2 B' U2 D'
L D L2 R2 B' U2 D2
L D L2 R2 B' D U2
L D L2 R2 B' D' U2
L D L2 R2 B' D2 U2
L D L2 U2 D2 L2 F
L D L2 D2 U2 L2 F
L D L2 D2 B' U2 L2
L' D R B' L2 R U2
L' D R B' R L2 U2
L D L2 B R2 B2 U2
L D L2 B' R2 U2 D
L D L2 B' R2 U2 D'
L D L2 B' R2 U2 D2
L D L2 B' R2 D U2
L D L2 B' R2 D' U2
L D L2 B' R2 D2 U2
L D L2 B' U2 D2 L2
L D L2 B' D2 U2 L2
L D L2 B2 R2 U2 F'
L D R L2 B' R U2
R' D R2 L' B' L' U2
L' D R2 L2 U2 D F
L' D R2 L2 U2 D' F
L' D R2 L2 U2 D2 F
L' D R2 L2 U2 F D
L' D R2 L2 U2 F D'
L' D R2 L2 U2 F D2
L' D R2 L2 D U2 F
L' D R2 L2 D' U2 F
L' D R2 L2 D2 U2 F
L' D R2 L2 B U2 F
L' D R2 L2 B' U2 F
L' D R2 L2 B2 U2 F
D R2 B L' B' L' U2
L' D R2 D2 B' U2 R2
U R2 F2 B' R' B' U
R2 D R2 L' B' L' U2
L' D R2 B L2 B2 U2
L' D R2 B' L2 U2 D
L' D R2 B' L2 U2 D'
L' D R2 B' L2 U2 D2
L' D R2 B' L2 D U2
L' D R2 B' L2 D' U2
L' D R2 B' L2 D2 U2
L' D R2 B' U2 D2 R2
L' D R2 B' D2 U2 R2
L' D R2 B2 L2 B U2
L D R2 L2 D B' U2
L D R2 L2 D' B' U2
L D R2 L2 D2 B' U2
L D R2 L2 B' U2 D
L D R2 L2 B' U2 D'
L D R2 L2 B' U2 D2
L D R2 L2 B' D U2
L D R2 L2 B' D' U2
L D R2 L2 B' D2 U2
R D R2 L' B' L' U2
D R2 B' L' B' L' U2
L D R2 U2 D2 R2 F
L D R2 U2 D2 F R2
L D R2 U2 F D2 R2
L D R2 D2 U2 R2 F
L D R2 D2 U2 F R2
L D R2 B L2 B' U2
U R2 B' R' F2 B' U
U R2 B' R' B' F2 U
L D R2 B' L2 B' U2
L D R2 B2 L2 B' U2
D R2 B2 L' B' L' U2
U R2 B' F2 R' B' U
L D U2 F D2 L2 R2
L D U2 F D2 R2 L2
L D F D2 L2 R2 B
L D F D2 R2 L2 B
L D F D2 R2 B L2
B' U R F2 B' R' U
B' U R B' R' F2 U
B' U R B' F2 R' U
B2 U R F2 U R' F'
D' U R' U L2 R' F'
D' U R' U R' L2 F'
D' U R' U R' F' L2
L' D B L2 R2 B2 U2
L' D B L2 B2 R2 U2
L' D B R2 L2 B2 U2
L' D B R2 B2 L2 U2
B' U R' F2 B' R' U
B' U R' B' R' F2 U
B' U R' B' F2 R' U
L' D B' L2 R2 U2 D
L' D B' L2 R2 U2 D'
L' D B' L2 R2 U2 D2
L' D B' L2 R2 D U2
L' D B' L2 R2 D' U2
L' D B' L2 R2 D2 U2
L' D B' L2 U2 D2 L2
L' D B' L2 D2 U2 L2
L' D B' R2 L2 U2 D
L' D B' R2 L2 U2 D'
L' D B' R2 L2 U2 D2
L' D B' R2 L2 D U2
L' D B' R2 L2 D' U2
L' D B' R2 L2 D2 U2
L' D B' R2 U2 D2 R2
L' D B' R2 D2 U2 R2
L D B L2 R2 B' U2
L D B L2 B' R2 U2
L' D B' U2 D2 L2 R2
L' D B' U2 D2 R2 L2
L D B R2 L2 B' U2
B' U R2 F2 B' R' U
L' D B' D2 U2 L2 R2
L' D B' D2 U2 R2 L2
B' U R2 B' R' F2 U
B' U R2 B' F2 R' U
L' D B2 L2 R2 U2 F'
L' D B2 L2 B R2 U2
L' D B2 R2 L2 U2 F'
L D B' L2 R2 B' U2
L D B' L2 B' R2 U2
L D B' R2 L2 B' U2
R' D' L U2 R2 F L
R' D' L U2 F L R2
R' D' L U2 F R2 L
R' D' L F L R2 B
R' D' L F R2 L B
B' U D' B' R' U L2
L D B2 L2 R2 B' U2
L D B2 L2 B' R2 U2
L D B2 R2 L2 B' U2
R2 D' L U2 R2 F L
R2 D' L U2 F L R2
R2 D' L U2 F R2 L
L' D' L' U2 L' R2 F
L' D' L' U2 L' F R2
R2 D' L F L R2 B
L' D' L' U2 R2 L' F
R2 D' L F R2 L B
R' D' L' B' U2 L' R2
R' D' L' B' U2 R2 L'
R D' L U2 R2 F L
R D' L U2 F L R2
R D' L U2 F R2 L
R D' L F L R2 B
R D' L F R2 L B
B' U F B' R' F U
L' D' L2 F R2 D B
L' D' L2 F R2 D' B
L' D' L2 F R2 D2 B
L' D' L2 F R2 B D
L' D' L2 F R2 B D'
L' D' L2 F R2 B D2
L' D' L2 F B R2 B
L' D' L2 F B' R2 B
L' D' L2 F B2 R2 B
R2 D' L' B' U2 L' R2
R2 D' L' B' U2 R2 L'
L' D' L2 B F R2 B
L' D' L2 B' F R2 B
L' D' L2 B2 F R2 B
D' U B' R' U L2 R'
D' U B' R' U R' L2
L' D' R U2 L2 R F
L' D' R U2 R L2 F
R D' L' B' U2 L' R2
R D' L' B' U2 R2 L'
B' U F2 R B' R' U
B' U F2 R' B' R' U
B' U F2 R2 B' R' U
L' D' R B' U2 L2 R
L' D' R B' U2 R L2
B2 U F2 R U R' F'
R' D' R' U2 L2 R' F'
R' D' R' U2 R' L2 F'
R' D' R' U2 R' F' L2
B' U F2 D B' R' U
B' U F2 D' B' R' U
B' U F2 D2 B' R' U
L' D' R' U2 L2 R' F
L' D' R' U2 L2 F R'
L' D' R' U2 R' L2 F
B' U F2 B' R' U D
B' U F2 B' R' U D'
B' U F2 B' R' U D2
B' U F2 B' R' D U
B' U F2 B' R' D' U
B' U F2 B' R' D2 U
B' U F2 B' D R' U
B' U F2 B' D' R' U
B' U F2 B' D2 R' U
B2 U F2 B' R' U R
L D' R U2 R F L2
R2 D' R' U2 L2 R' F'
R2 D' R' U2 R' L2 F'
R2 D' R' U2 R' F' L2
B U F2 B U2 L U'
B U F2 B' R' B2 U
U2 D' L R' F' L R'
U2 D' L R' F' R' L
L' D' R2 F' L2 F B'
L' D' R2 F' L2 B' F
L D' R' U2 R' F L2
B' U B' R F2 R2 U
L D' R' U2 F L2 R'
L D' R' U2 F R' L2
B' U B' R' U D' L2
B' U B' R' D' U L2
B' U B' R' F2 U D
B' U B' R' F2 U D'
B' U B' R' F2 U D2
B' U B' R' F2 D U
B' U B' R' F2 D' U
B' U B' R' F2 D2 U
R D' R' U2 L2 R' F'
R D' R' U2 R' L2 F'
R D' R' U2 R' F' L2
B' U B' D' R' U L2
B' U B' F R' F U
B' U B' F2 R' U D
B' U B' F2 R' U D'
B' U B' F2 R' U D2
B' U B' F2 R' D U
B' U B' F2 R' D' U
B' U B' F2 R' D2 U
B' U B' F2 D R' U
B' U B' F2 D' R' U
B U B F2 U2 L U'
B' U B' F2 D2 R' U
U2 D' L' R2 D2 L' F
B2 U B' F2 R' U R
B U B' R' F2 B2 U
B U B' R' B2 F2 U
L D' R2 F' L2 F2 B'
L D' R2 F' L2 B' F2
B U B' F2 R' B2 U
R' D' U2 L2 R' F' R'
U2 D' L2 R' D F' R'
U2 D' L2 R' D' F' R'
U2 D' L2 R' D2 F' R'
U2 D' L2 R' F R' F2
U2 D' L2 R' F' R' D
U2 D' L2 R' F' R' D'
U2 D' L2 R' F' R' D2
U2 D' L2 R' F' D R'
U2 D' L2 R' F' D' R'
U2 D' L2 R' F' D2 R'
U2 D' L2 R' F2 R' F
R' D' U2 R' L2 F' R'
R' D' U2 R' F' L2 R'
R' D' U2 R' F' R' L2
L' D' U2 L2 R' F R'
L' D' U2 L2 R2 D F
L' D' U2 L2 R2 D' F
L' D' U2 L2 R2 D2 F
L' D' U2 L2 R2 F D
L' D' U2 L2 R2 F D'
L' D' U2 L2 R2 F D2
L' D' U2 L2 F R2 D
L' D' U2 L2 F R2 D'
L' D' U2 L2 F R2 D2
L' D' U2 L2 F' R2 F2
L' D' U2 R' L2 F R'
L' D' U2 R2 L2 D F
L' D' U2 R2 L2 D' F
L' D' U2 R2 L2 D2 F
L' D' U2 R2 L2 F D
L' D' U2 R2 L2 F D'
L' D' U2 R2 L2 F D2
L' D' U2 R2 F L2 F
L' D' U2 R2 F' L2 F
L' D' U2 R2 F2 L2 F
L' D' U2 F L2 R2 F
L' D' U2 F L2 F R2
L' D' U2 F R2 L2 F
U2 D' L2 F R' F' R'
L' D' U2 F' L2 R2 F
L' D' U2 F' L2 F R2
L' D' U2 F' R2 L2 F
U2 D' L2 F' R' F' R'
L' D' U2 F2 L2 R2 F
L' D' U2 F2 L2 F R2
L' D' U2 F2 R2 L2 F
U2 D' L2 F2 R' F' R'
R2 D' U2 L2 R' F' R'
L' D' F L2 R2 F B
L' D' F L2 R2 B F
R2 D' U2 R' L2 F' R'
R2 D' U2 R' F' L2 R'
R2 D' U2 R' F' R' L2
L' D' F R2 L2 F B
L' D' F R2 L2 B F
R D' U2 L2 R' F' R'
L D' U2 R' F L2 R'
L D' U2 R' F R' L2
L D' U2 R2 F L2 D
L D' U2 R2 F L2 D'
L D' U2 R2 F L2 D2
L D' U2 R2 F' L2 F2
L D' U2 R2 F2 L2 F'
R D' U2 R' L2 F' R'
L D' U2 F L2 R2 D
L D' U2 F L2 R2 D'
L D' U2 F L2 R2 D2
L D' U2 F R2 L2 D
L D' U2 F R2 L2 D'
L D' U2 F R2 L2 D2
R D' U2 R' F' L2 R'
R D' U2 R' F' R' L2
U2 D' R' L F' L R'
U2 D' R' L F' R' L
L D' U2 F' L2 R2 F2
L D' U2 F' L2 F2 R2
L D' U2 F' R2 L2 F2
L D' U2 F' R2 F2 L2
L' D' F' L2 R2 F B'
L' D' F' L2 R2 B' F
L D' U2 F2 L2 F' R2
L' D' F' L2 F R2 B'
U2 D' R' L2 D F' R'
L' D' F' L2 F B' R2
U2 D' R' L2 D' F' R'
U2 D' R' L2 D2 F' R'
U2 D' R' L2 F R' F2
U2 D' R' L2 F' R' D
U2 D' R' L2 F' R' D'
U2 D' R' L2 F' R' D2
U2 D' R' L2 F' D R'
U2 D' R' L2 F' D' R'
U2 D' R' L2 F' D2 R'
L' D' F' L2 B' R2 F
U2 D' R' L2 F2 R' F
L' D' F' L2 B' F R2
L' D' F' R2 L2 F B'
L' D' F' R2 L2 B' F
L D' F L' R2 B L'
L D' F L2 R2 D B
L D' F L2 R2 D' B
L D' F L2 R2 D2 B
L D' F L2 R2 B D
L D' F L2 R2 B D'
L D' F L2 R2 B D2
L D' F L2 B R2 B
L D' F L2 B' R2 B
L D' F L2 B2 R2 B
U2 D' R' F L2 R' F2
U2 D' R' F L2 F2 R'
U2 D' R' F R' L2 F2
U2 D' R' F R' F2 L2
U2 D' R' F' L2 R' D
U2 D' R' F' L2 R' D'
U2 D' R' F' L2 R' D2
U2 D' R' F' L2 D R'
U2 D' R' F' L2 D' R'
U2 D' R' F' L2 D2 R'
U2 D' R' F' R' L2 D
U2 D' R' F' R' L2 D'
U2 D' R' F' R' L2 D2
L D' F R2 L' B L'
L D' F R2 L2 D B
L D' F R2 L2 D' B
L D' F R2 L2 D2 B
U2 D' R' F2 R' F L2
L D' F R2 L2 B D
L D' F R2 L2 B D'
L D' F R2 L2 B D2
L D' F R2 B L2 D
L D' F R2 B L2 D'
L D' F R2 B L2 D2
L D' F R2 B' L2 B2
U D' R' U L2 R' F'
U D' R' U R' L2 F'
U D' R' U R' F' L2
U2 D' R2 L' D2 L' F
L D' F B L2 R2 B
L D' F B R2 L2 B
L D' F B R2 B L2
L D' F B' L2 R2 B
L D' F B' R2 L2 B
L D' F B' R2 B L2
L D' F B2 L2 R2 B
L D' F B2 R2 L2 B
L D' F B2 R2 B L2
L D' F' L2 R2 F2 B'
L D' F' L2 R2 B' F2
L D' F' L2 F2 R2 B'
L D' F' L2 F2 B' R2
L D' F' L2 B' R2 F2
L D' F' L2 B' F2 R2
L D' F' R2 L2 F2 B'
L D' F' R2 L2 B' F2
U2 D' F L2 R' F' R'
U2 D' F R' L2 F' R'
U' D' F' L' U' L' R2
U' D' F' L' U' R2 L'
D' U' F' L' U' L' R2
D' U' F' L' U' R2 L'
U2 D' F R' F' L2 R'
U2 D' F R' F' R' L2
D2 U' F' L' F' B2 U'
D2 U' F' L' B2 F' U'
L D' F2 L2 F' R2 B
L' D' B' L U2 L R2
L' D' B' L U2 R2 L
L' D' B' L' U2 L' R2
L' D' B' L' U2 R2 L'
U2 D' F' L2 R' F' R'
L' D' B' R U2 L2 R
L' D' B' R U2 R L2
U2 D' F' R' L2 F' R'
L' D' B' R' U2 L2 R'
L' D' B' R' U2 R' L2
D2 U' F' B2 L' F' U'
U2 D' F' R' F' L2 R'
U2 D' F' R' F' R' L2
L' D' B' U2 L2 R2 D
L' D' B' U2 L2 R2 D'
L' D' B' U2 L2 R2 D2
L' D' B' U2 R2 L2 D
L' D' B' U2 R2 L2 D'
L' D' B' U2 R2 L2 D2
L' D' B' D2 L2 R2 U2
L' D' B' D2 R2 L2 U2
L D' B U2 R2 F L2
L D' B U2 F L2 R2
L D' B U2 F R2 L2
U2 D' F2 L2 R' F' R'
U2 D' F2 R' L2 F' R'
L D' B F L2 R2 B
L D' B F R2 L2 B
U2 D' F2 R' F' L2 R'
U2 D' F2 R' F' R' L2
L D' B F R2 B L2
L' D' B2 R2 F' L2 B'
L' D' B2 U2 L2 R2 F'
L' D' B2 U2 R2 L2 F'
L' D' B2 U2 R2 F' L2
L D' B' U2 R2 F L2
L D' B' U2 F L2 R2
L D' B' U2 F R2 L2
L D' B' F L2 R2 B
L D' B' F R2 L2 B
L D' B' F R2 B L2
L D' B2 U2 R2 F L2
L D' B2 U2 F L2 R2
L D' B2 U2 F R2 L2
L D' B2 F L2 R2 B
L D' B2 F R2 L2 B
L D' B2 F R2 B L2
U D' B' R' U L2 R'
U D' B' R' U R' L2
D' U2 L R' F' L R'
D' U2 L R' F' R' L
D2 U' B2 F' L' F' U'
D' U2 L' R2 D2 L' F
D' U2 L2 R' D F' R'
D' U2 L2 R' D' F' R'
D' U2 L2 R' D2 F' R'
D' U2 L2 R' F R' F2
D' U2 L2 R' F' R' D
D' U2 L2 R' F' R' D'
D' U2 L2 R' F' R' D2
D' U2 L2 R' F' D R'
D' U2 L2 R' F' D' R'
D' U2 L2 R' F' D2 R'
D' U2 L2 R' F2 R' F
D' U2 L2 F R' F' R'
D' U2 L2 F' R' F' R'
D' U2 L2 F2 R' F' R'
D2 U2 R D L2 R2 F'
D2 U2 R D R2 L2 F'
D2 U2 R D R2 F' L2
D' U2 R' L F' L R'
D' U2 R' L F' R' L
D' U2 R' L2 D F' R'
D' U2 R' L2 D' F' R'
D' U2 R' L2 D2 F' R'
D' U2 R' L2 F R' F2
D' U2 R' L2 F' R' D
D' U2 R' L2 F' R' D'
D' U2 R' L2 F' R' D2
D' U2 R' L2 F' D R'
D' U2 R' L2 F' D' R'
D' U2 R' L2 F' D2 R'
D' U2 R' L2 F2 R' F
U2 D2 R D L2 R2 F'
U2 D2 R D R2 L2 F'
U2 D2 R D R2 F' L2
D2 U2 R' D L2 F' R2
D' U2 R' F L2 R' F2
D' U2 R' F L2 F2 R'
D' U2 R' F R' L2 F2
D' U2 R' F R' F2 L2
D2 U2 R' D F' L2 R2
D2 U2 R' D F' R2 L2
D' U2 R' F' L2 R' D
D' U2 R' F' L2 R' D'
D' U2 R' F' L2 R' D2
D' U2 R' F' L2 D R'
D' U2 R' F' L2 D' R'
D' U2 R' F' L2 D2 R'
D' U2 R' F' R' L2 D
D' U2 R' F' R' L2 D'
D' U2 R' F' R' L2 D2
D' U2 R' F2 R' F L2
D' U2 R2 L' D2 L' F
U2 D2 R' D L2 F' R2
U2 D2 R' D F' L2 R2
U2 D2 R' D F' R2 L2
D' U2 F L2 R' F' R'
D' U2 F R' L2 F' R'
D' U2 F R' F' L2 R'
D' U2 F R' F' R' L2
L D2 U' F2 B2 U' F'
L D2 U' B2 F2 U' F'
U' D2 F' L' F' B2 U'
U' D2 F' L' B2 F' U'
D' U2 F' L2 R' F' R'
D' U2 F' R' L2 F' R'
D' U2 F' R' F' L2 R'
D' U2 F' R' F' R' L2
U' D2 F' B2 L' F' U'
D' U2 F2 L2 R' F' R'
D' U2 F2 R' L2 F' R'
D' U2 F2 R' F' L2 R'
D' U2 F2 R' F' R' L2
L' D2 B' U' F2 B' U'
L' D2 B' U' B' F2 U'
U' D2 B2 F' L' F' U'
D' F L R2 F L B
U' F R F B2 L U
U' F R B2 F L U
D' F R2 L F L B
U2 F R' F' D' L2 R2
U2 F R' F' D' R2 L2
D' F R2 B L F L
U' F U2 R F B2 U
U' F U2 R B2 F U
U' F U2 B2 R F U
B' D R2 U B' R' U
B D R2 U' F' L' U'
D' F' L R2 F L B'
U F B' R' F B' U
U F B' R' B' F U
D' F' L F L R2 B'
D' F' L F L B' R2
D' F' L F R2 L B'
U' F' L' U2 F' B2 U
U' F' L' U2 B2 F' U
D' F' R2 L F L B'
B' D' U B' R' U L2
U F' B2 D2 F' R U
U2 F2 R' B2 U F' B2
U2 F2 R' B2 U B2 F'
U F2 R B' R' B' U
U F2 R' B' R' B' U
U F2 R2 B' R' B' U
U F2 U R D' R2 F'
U F2 U R' D' F' R2
U F2 U R' F' D' R2
U F2 U D' R' F' R'
L F2 U F' D' R2 B
L' F2 D' L2 U R2 F
L' F2 D' L2 U F R2
L F2 D' L2 U F' R2
U F2 D' R' U R' F'
U F2 D' U R' F' R'
U F2 D' B' R' U R'
L' F2 B2 U' F2 B U2
L' F2 B2 U' B F2 U2
U2 F2 B2 R' U F' B2
U2 F2 B2 R' U B2 F'
D' B L U2 R2 F L
D' B L U2 F L R2
D' B L U2 F R2 L
D' B L F L R2 B
D' B L F R2 L B
U F2 B' R B' R2 U
U F2 B' R' D B' U
U F2 B' R' D' B' U
U F2 B' R' D2 B' U
U F2 B' R' B' U D
U F2 B' R' B' U D'
U F2 B' R' B' U D2
U F2 B' R' B' D U
U F2 B' R' B' D' U
U F2 B' R' B' D2 U
U F2 B' R2 B' R U
U F2 B' D R' B' U
U F2 B' D' R' B' U
U F2 B' D2 R' B' U
L F2 B2 U D2 F' B2
L F2 B2 U D2 B2 F'
L F2 B2 U' F2 U2 F
L F2 B2 D' L2 U F'
D' B L' B' U2 L' R2
D' B L' B' U2 R2 L'
U F2 B2 D' R U F'
L F2 B2 D2 U F' B2
L F2 B2 D2 U B2 F'
D B L' R2 B' L' U2
D B L' B' L' R2 U2
D B L' B' R2 L' U2
D' B R' U2 L2 R' F'
D' B R' U2 R' L2 F'
D' B R' U2 R' F' L2
D B R2 L' B' L' U2
D' B U2 L2 R' F' R'
D' B U2 R' L2 F' R'
D' B U2 R' F' L2 R'
D' B U2 R' F' R' L2
L B U F2 B U F'
L B U B F2 U F'
D' B' L U2 R2 F L
D' B' L U2 F L R2
D' B' L U2 F R2 L
D' B' L F L R2 B
D' B' L F R2 L B
D' B' L' B' U2 L' R2
D' B' L' B' U2 R2 L'
D B' L' R2 B' L' U2
D B' L' B' L' R2 U2
L' B' R U F2 B' U
D B' L' B' R2 L' U2
L' B' R U B' F2 U
D' B' R' U2 L2 R' F'
D' B' R' U2 R' L2 F'
D' B' R' U2 R' F' L2
L' B' R' U F2 B' U
L' B' R' U B' F2 U
L' B' R2 U F2 B' U
L' B' R2 U B' F2 U
U B' R F2 R2 B' U
U B' R F2 B' R2 U
U B' R B' R2 F2 U
U B' R B' F2 R2 U
D B' R2 L' B' L' U2
R' B' U F2 B' R' U
L' B' U D' B' U L2
U B' R' D' B' U L2
R' B' U B' R' F2 U
R' B' U B' F2 R' U
L' B' U F2 D B' U
L' B' U F2 D' B' U
L' B' U F2 D2 B' U
L' B' U F2 B' U D
L' B' U F2 B' U D'
L' B' U F2 B' U D2
L' B' U F2 B' D U
L' B' U F2 B' D' U
L' B' U F2 B' D2 U
U B' R' F2 D B' U
U B' R' F2 D' B' U
U B' R' F2 D2 B' U
U B' R' F2 B' U D
U B' R' F2 B' U D'
U B' R' F2 B' U D2
U B' R' F2 B' D U
U B' R' F2 B' D' U
U B' R' F2 B' D2 U
L' B' U B' U D' L2
L' B' U B' D' U L2
U B' R' B' U D' L2
L' B' U B' F2 U D
L' B' U B' F2 U D'
L' B' U B' F2 U D2
L' B' U B' F2 D U
L' B' U B' F2 D' U
L' B' U B' F2 D2 U
U B' R' B' D' U L2
U B' R' B' F2 U D
U B' R' B' F2 U D'
U B' R' B' F2 U D2
U B' R' B' F2 D U
U B' R' B' F2 D' U
U B' R' B' F2 D2 U
U B' R2 B' R F2 U
R2 B' U F2 B' R' U
D' B' U2 L2 R' F' R'
R2 B' U B' R' F2 U
R2 B' U B' F2 R' U
D' B' U2 R' L2 F' R'
D' B' U2 R' F' L2 R'
D' B' U2 R' F' R' L2
U' B' U2 F2 B' R' U
U' B' U2 B' R' F2 U
U' B' U2 B' F2 R' U
L B' U F2 B' U F'
L B' U B' F2 U F'
R B' U F2 B' R' U
L' B' D R2 U B' U
R B' U B' R' F2 U
R B' U B' F2 R' U
L' B' D' U B' U L2
U B' D' R' B' U L2
U B' F R' F B' U
U B' F R' B' F U
D' B2 L U2 R2 F L
D' B2 L U2 F L R2
D' B2 L U2 F R2 L
D' B2 L F L R2 B
D' B2 L F R2 L B
U B' F2 R B' R2 U
U B' F2 R' D B' U
U B' F2 R' D' B' U
U B' F2 R' D2 B' U
U B' F2 R' B' U D
U B' F2 R' B' U D'
U B' F2 R' B' U D2
U B' F2 R' B' D U
U B' F2 R' B' D' U
U B' F2 R' B' D2 U
U B' F2 R2 B' R U
D' B2 L' B' U2 L' R2
D' B2 L' B' U2 R2 L'
U B' F2 D R' B' U
U B' F2 D' R' B' U
U B' F2 D2 R' B' U
D B2 L' R2 B' L' U2
B2 F2 L U D2 F B2
B2 F2 L U D2 B2 F
B2 F2 L U' F2 U2 F'
F2 B2 L U D2 F B2
F2 B2 L U D2 B2 F
F2 B2 L U' F2 U2 F'
D B2 L' B' L' R2 U2
D B2 L' B' R2 L' U2
B2 F2 L D2 U F B2
B2 F2 L D2 U B2 F
F2 B2 L D2 U F B2
F2 B2 L D2 U B2 F
B2 F2 L' U' F2 B' U2
B2 F2 L' U' B' F2 U2
D' B2 R' U2 L2 R' F'
D' B2 R' U2 R' L2 F'
D' B2 R' U2 R' F' L2
F2 B2 L' U' F2 B' U2
F2 B2 L' U' B' F2 U2
B2 F2 L' D' L2 U F
F2 B2 L' D' L2 U F
U2 B2 R' F2 U F B2
U2 B2 R' F2 U B2 F
D B2 R2 L' B' L' U2
D' B2 U2 L2 R' F' R'
D' B2 U2 R' L2 F' R'
D' B2 U2 R' F' L2 R'
D' B2 U2 R' F' R' L2
U B2 D' R U L2 F'
U B2 D' R U F' L2
B2 F2 D2 L U F B2
B2 F2 D2 L U B2 F
F2 B2 D2 L U F B2
F2 B2 D2 L U B2 F
L' B2 F2 U' F2 B U2
L' B2 F2 U' B F2 U2
U2 B2 F2 R' U F' B2
U2 B2 F2 R' U B2 F'
U B2 F' D2 F' R U
L B2 F2 U D2 F' B2
L B2 F2 U D2 B2 F'
L B2 F2 U' F2 U2 F
L B2 F2 D' L2 U F'
U B2 F2 D' R U F'
L B2 F2 D2 U F' B2
L B2 F2 D2 U B2 F'
