L' F2 U F'
L' R F2 U F'
R' L' F2 U F'
L' R' F2 U F'
R2 L' F2 U F'
R L' F2 U F'
L' R2 F2 U F'
L' U D' F L2
L' D' U F L2
L' F2 U D F'
L' F2 U D' F'
L' F2 U D2 F'
L F2 L2 U F
L' F2 U F' D
L' F2 U F' D'
L' F2 U F' D2
L2 F2 L U F
L' F2 D U F'
L' F2 D' U F'
L' F2 D2 U F'
R L2 F2 L R' U F
R L2 F2 L R2 U F
R L2 F2 L U D F
L' R2 F2 D U F' D
L' R2 F2 D U F' D'
L' R2 F2 D U F' D2
R L2 F2 L U D' F
R L2 F2 L U D2 F
R L2 F2 L U F D
R L2 F2 L U F D'
R L2 F2 L U F D2
R2 L2 F2 R' L U F
L R2 F2 R L2 U F
R L2 F2 L D U F
R L2 F2 L D' U F
R L2 F2 L D2 U F
L2 R2 F2 R2 L U F
R' L2 F2 D2 L U F
L' R2 F2 D' U F' D
L' R2 F2 D' U F' D'
L' R2 F2 D' U F' D2
R2 L2 F2 R2 L U F
L R2 F2 R' L2 U F
L' R2 F2 D2 U F' D
L' R2 F2 D2 U F' D'
L' R2 F2 D2 U F' D2
L R2 F2 R2 L2 U F
R L2 F2 R L U F
R L2 F2 R' L U F
L2 R2 F2 D L U F
R L2 F2 R2 L U F
R2 L2 F2 D L U F
L2 R2 F2 D' L U F
R2 L2 F2 D' L U F
L2 R2 F2 D2 L U F
R2 L2 F2 D2 L U F
R L2 F2 D L U F
R L2 F2 D' L U F
R L2 F2 D2 L U F
F2 L2 U2 R U B U2
F L2 U2 B' R' U' F'
R' U L D' L2 F B2
R' U L D' L2 B2 F
R2 U L D' L2 F B2
R2 U L D' L2 B2 F
R U L D' L2 F B2
R U L D' L2 B2 F
L' U L' D' L F L
L' U L2 D' L2 D F
L' U L2 D' L2 D' F
L' U L2 D' L2 D2 F
L' U L2 D' L2 F D
L' U L2 D' L2 F D'
L' U L2 D' L2 F D2
L' U L2 D' F L2 F
L' U L2 D' F' L2 F
L' U L2 D' F2 L2 F
L' U R D' R' F L2
L' U R D' F L2 R'
L' U R D' F R' L2
B' L2 F2 L B U F
B2 L2 F2 L B2 U F
L' U R' D' R F L2
L' U D L2 D2 L2 F
L' U D F L D2 L2
L' U D F L' D2 L2
L' U D F L2 D2 L2
L' U D F U2 R2 U2
L' U D F D2 L2 D
L' U D F D2 L2 D'
L' U D F D2 L2 D2
L' U D F2 D2 L2 F'
L' U D F2 D2 F' L2
L' U D' L2 U2 B' U2
L' U D' R F L2 R'
L' U D' R F R' L2
L' U D' R2 F L2 R2
L' U D' R2 F R2 L2
L' U D' F L D L
L' U D' F L D' L
L' U D' F L D2 L
L' U D' F L' D L'
L' U D' F L' D' L'
L' U D' F L' D2 L'
L' U D' F B' L2 B
L' U D' F B2 L2 B2
L' U D' F' L F2 L
L' U D' F' L2 F2 D
L' U D' F' L2 F2 D'
L' U D' F' L2 F2 D2
L' U D' F2 L F' L
L' U D' F2 L2 D F'
L' U D' F2 L2 D' F'
L' U D' F2 L2 D2 F'
L' U D' F2 L2 F' D
L' U D' F2 L2 F' D'
L' U D' F2 L2 F' D2
L' U D' B' F L2 B
L U D' L' B2 L' F
L' U D' B2 F L2 B2
L U D' L2 F B2 D
L U D' L2 F B2 D'
L U D' L2 F B2 D2
L U D' L2 B2 D F
L U D' L2 B2 D' F
L U D' L2 B2 D2 F
L U D' L2 B2 F D
L U D' L2 B2 F D'
L U D' L2 B2 F D2
L' U D2 L2 D L2 F
L U D' F L2 F B2
F2 R L U' B' U2 B
L U D' F L2 B2 F
L U D' F' L2 F B2
L U D' F' L2 B2 F
L' U D2 F L D L2
L U D' F2 L2 F B2
L U D' F2 L2 B2 F
L' U D2 F L' D L2
L' U D2 F L2 D L2
L' U D2 F U B2 U'
L' U D2 F D L2 D
L' U D2 F D L2 D'
L' U D2 F D L2 D2
L' U D2 F2 D L2 F'
L' U D2 F2 D F' L2
D2 R L' U D L2 F'
D2 R L' U D F' L2
D2 R L' U F' D L2
D' R L' U D L' F
D2 R L' U2 B2 U' F'
D2 R L' D U L2 F'
D2 R L' D U F' L2
D' R L' D U L' F
L' U F L2 U B' U'
D2 R L' D2 F2 U F
L' U F U' D F U
L' U F U' D' F U
L' U F U' D2 F U
L' U F U' F U D
L' U F U' F U D'
L' U F U' F U D2
L' U F U' F D U
L' U F U' F D' U
L' U F U' F D2 U
L' U F D U' F U
L' U F D' U' F U
B2 R L' F2 B2 U F'
L' U F D2 U' F U
B2 R L' B2 F2 U F'
U R L' F2 U F' R'
L' U F' U' F' U F'
U' R U L' F2 U F'
L' U B D' F B' L2
L' U B D' B' F L2
U2 R U2 L' F2 U F'
D2 R D L' U L' F'
D' R D L' F2 U F'
L' U B' D' F L2 B
L' U B' D' F B L2
L' U B' D' B F L2
L U B2 D' B2 L2 F
D2 R D2 L' F2 U F
L' U' R U F2 U F'
L' U' R U2 D' F L2
F R F' L' F2 U F'
L' U' R D R2 U2 F
L' U' R D' U2 F L2
L' U' R' U F2 U F'
L' U' R' U2 D' F L2
L' U' R' D R2 U2 F
L' U' R' D' U2 F L2
L' U' R2 U F2 U F'
L' U' R2 U2 D' F L2
L' U' R2 D R2 U2 F
L' U' R2 D' U2 F L2
B R B' L' F2 U F'
L' U' D R2 U2 D F
L' U' D R2 U2 D' F
L' U' D R2 U2 D2 F
L' U' D R2 U2 F D
L' U' D R2 U2 F D'
L' U' D R2 U2 F D2
L' U' D R2 D U2 F
L' U' D R2 D' U2 F
L' U' D R2 D2 U2 F
L' U' D R2 B U2 F
L' U' D R2 B' U2 F
L' U' D R2 B2 U2 F
L' U' D B R2 U2 F
L' U' D B' R2 U2 F
L' U' D B2 R2 U2 F
B2 R B2 L' F2 U F'
L' U' D' R U2 F L2
L' U' D' R' U2 F L2
L U' D R2 F2 B' U2
L U' D R2 B' F2 U2
L' U' D' R2 U2 F L2
L U' D F2 R2 B' U2
L U' D F2 B' R2 U2
L U' D B' R2 F2 U2
L' U' D' B U2 F L2
L U' D B' F2 R2 U2
L' U' D' B' U2 F L2
L' U' D' B2 U2 F L2
F2 R' L D2 L2 U F
L U' D' B' U2 B' L2
D' R' L' U D L' F
D' R' L' D U L' F
F2 R' L' U D F B2
F2 R' L' U D B2 F
F2 R' L' U F D B2
F2 R' L' U2 R2 U' F
F2 R' L' D U F B2
F2 R' L' D U B2 F
B2 R' L' F2 B2 U F'
B2 R' L' B2 F2 U F'
U' R' U L' F2 U F'
L' U' B U F2 U F'
L' U' B U2 D' F L2
L' U' B D R2 U2 F
L' U' B D' U2 F L2
F2 R' U2 L' R2 U' F
U2 R' U2 L' F2 U F'
F2 R' U2 R2 L' U' F
L' U' B' U F2 U F'
L' U' B' U2 D' F L2
D' R' D L' F2 U F'
L' U' B' D R2 U2 F
L' U' B' D' U2 F L2
L U' B' U L2 F2 U
L U' B' U F2 L2 U
L U' B' U2 D' L2 B2
L U' B' U2 D' B2 L2
L' U' B2 U F2 U F'
L U' B' D R2 F2 U2
L U' B' D F2 R2 U2
L' U' B2 U2 D' F L2
L U' B' D' U2 L2 B2
L U' B' D' U2 B2 L2
L' U' B2 D R2 U2 F
L' U' B2 D' U2 F L2
F2 R' D2 L2 R U F'
F2 R' D2 R L2 U F'
L' U2 L2 U' D' L2 F
L' U2 L2 D' U' L2 F
F R' F' L' F2 U F'
B R' B' L' F2 U F'
B2 R' B2 L' F2 U F'
L' U2 D' B U' F L2
L' U2 D' B' U' F L2
L' U2 D' B2 U' F L2
D' R2 L' U D L' F
L' U2 D2 B2 U' D F
L' U2 D2 B2 U' D' F
L' U2 D2 B2 U' D2 F
L' U2 D2 B2 U' F D
L' U2 D2 B2 U' F D'
L' U2 D2 B2 U' F D2
L' U2 D2 B2 D U' F
L' U2 D2 B2 D' U' F
L' U2 D2 B2 D2 U' F
D' R2 L' D U L' F
F2 R2 L' U2 R' U' F
L2 U2 D2 B2 R' U' F'
B2 R2 L' F2 B2 U F'
L U2 D2 B2 R2 U' F'
B2 R2 L' B2 F2 U F'
F2 R2 L2 U2 R' U' F'
U R2 L' F2 U F' R2
U' R2 U L' F2 U F'
L' U2 B U' D' F L2
L' U2 B U2 F2 U F'
L' U2 B D' U' F L2
L' U2 B D2 B2 U' F
F2 R2 U2 L' R' U' F
U2 R2 U2 L' F2 U F'
F2 R2 U2 R' L' U' F
L' U2 B' U' D' F L2
D' R2 D L' F2 U F'
L' U2 B' U2 F2 U F'
L' U2 B' D' U' F L2
L' U2 B' D2 B2 U' F
L' U2 B2 U' D' F L2
L' U2 B2 U2 F2 U F'
L' U2 B2 D' U' F L2
L' U2 B2 D2 B2 U' F
L2 D L U D2 F L2
L2 D L U F D2 L2
L2 D L U' R2 U2 F
L2 D L D' F2 U F'
L2 D L D2 U F L2
L' D R U F2 L' F'
L' D R U' R U2 F
F R2 F' L' F2 U F'
L' D R F2 U L' F'
L' D R' U' R' U2 F
L' D U L2 D2 L2 F
B R2 B' L' F2 U F'
L' D U F L D2 L2
L' D U F L' D2 L2
L' D U F L2 D2 L2
L' D U F U2 R2 U2
L' D U F D2 L2 D
L' D U F D2 L2 D'
L' D U F D2 L2 D2
L' D U F2 D2 L2 F'
L' D U F2 D2 F' L2
B2 R2 B2 L' F2 U F'
L' D U' R2 U2 D F
L' D U' R2 U2 D' F
L' D U' R2 U2 D2 F
L' D U' R2 U2 F D
L' D U' R2 U2 F D'
L' D U' R2 U2 F D2
L' D U' R2 D U2 F
L' D U' R2 D' U2 F
L' D U' R2 D2 U2 F
L' D U' R2 B U2 F
L' D U' R2 B' U2 F
L' D U' R2 B2 U2 F
L' D U' B R2 U2 F
L' D U' B' R2 U2 F
L' D U' B2 R2 U2 F
L D U' R2 F2 B' U2
L D U' R2 B' F2 U2
L D U' F2 R2 B' U2
L D U' F2 B' R2 U2
L D U' B' R2 F2 U2
L D U' B' F2 R2 U2
B' U L' F2 B U F'
L' D F D' F2 U F2
B' U L' B F2 U F'
F2 U L' F D' L B'
B2 U L' F2 B2 U F'
B2 U L' B2 F2 U F'
L' D F' R U F2 L'
L' D F' U F2 D2 L2
L' D F' U' R2 U2 F2
L' D F2 U D2 L2 F'
L' D F2 U D2 F' L2
L' D F2 U F' D2 L2
L' D F2 U' R2 B U2
L' D F2 D' F2 U F
L' D F2 D2 U L2 F'
L' D F2 D2 U F' L2
L2 D' L R U F L
L2 D' L R' U F L
L2 D' L R2 U F L
L2 D' L U D F L
L2 D' L U D' F L
L2 D' L U D2 F L
L2 D' L U F L D
L2 D' L U F L D'
L2 D' L U F L D2
L2 D' L U F D L
L2 D' L U F D' L
L2 D' L U F D2 L
L2 D' L U F' L F2
L2 D' L U F2 L F'
R' D' L' U D L' F
L2 D' L D U F L
L2 D' L D' U F L
L2 D' L D2 U F L
R' D' L' D U L' F
L2 D' L F' U L F2
L2 D' L F' U F2 L
L2 D' L F2 U L F'
L2 D' L F2 U F' L
R2 D' L' U D L' F
R2 D' L' D U L' F
L D' L' U L' F B2
L D' L' U L' B2 F
L D' L' U B2 L' F
R D' L' U D L' F
R D' L' D U L' F
L' D' R U F L2 D
L' D' R U F L2 D'
L' D' R U F L2 D2
L' D' R U F' L2 F2
L' D' R U F2 L2 F'
L' D' R D F2 U F'
L2 D' R L U F L
L' D' R F' U L2 F2
L' D' R F' U F2 L2
L' D' R F2 U L2 F'
L' D' R F2 U F' L2
L D' L2 F B2 D' R2
L' D' R' U F L2 D
L' D' R' U F L2 D'
L' D' R' U F L2 D2
L' D' R' U F' L2 F2
L' D' R' U F2 L2 F'
F2 U F2 U' L' U F
L D' L2 B2 D' R2 F
L D' L2 B2 D' F R2
L D' L2 B2 F D' R2
L' D' R' D F2 U F'
L D' R U L2 F B2
L D' R U L2 B2 F
B' U B L' F2 U F'
L2 D' R' L U F L
L' D' R' F' U L2 F2
L' D' R' F' U F2 L2
L' D' R' F2 U L2 F'
L' D' R' F2 U F' L2
L' D' R2 U F L2 D
L' D' R2 U F L2 D'
L' D' R2 U F L2 D2
L' D' R2 U F' L2 F2
L' D' R2 U F2 L2 F'
L' D' R2 D F2 U F'
L D' R' U L2 F B2
L D' R' U L2 B2 F
L2 D' R2 L U F L
L' D' R2 F' U L2 F2
L' D' R2 F' U F2 L2
L' D' R2 F2 U L2 F'
L' D' R2 F2 U F' L2
L' D' U L2 U2 B' U2
L' D' U R F L2 R'
L' D' U R F R' L2
L' D' U R2 F L2 R2
L' D' U R2 F R2 L2
L' D' U F L D L
L' D' U F L D' L
L' D' U F L D2 L
L' D' U F L' D L'
L' D' U F L' D' L'
L' D' U F L' D2 L'
L' D' U F B' L2 B
L' D' U F B2 L2 B2
L' D' U F' L F2 L
L' D' U F' L2 F2 D
L' D' U F' L2 F2 D'
L' D' U F' L2 F2 D2
L' D' U F2 L F' L
L' D' U F2 L2 D F'
L' D' U F2 L2 D' F'
L' D' U F2 L2 D2 F'
L' D' U F2 L2 F' D
L' D' U F2 L2 F' D'
L' D' U F2 L2 F' D2
L D' R2 U L2 F B2
L D' R2 U L2 B2 F
B U B' L' F2 U F'
L' D' U B' F L2 B
L' D' U B2 F L2 B2
B2 U B2 L' F2 U F'
L' D' U' R U2 F L2
L' D' U' R' U2 F L2
L' D' U' R2 U2 F L2
L' D' U' B U2 F L2
L' D' U' B' U2 F L2
L D' U L' B2 L' F
L D' U L2 F B2 D
L D' U L2 F B2 D'
L D' U L2 F B2 D2
L' D' U' B2 U2 F L2
L D' U L2 B2 D F
L D' U L2 B2 D' F
L D' U L2 B2 D2 F
L D' U L2 B2 F D
L D' U L2 B2 F D'
L D' U L2 B2 F D2
L D' U F L2 F B2
L D' U F L2 B2 F
L D' U F' L2 F B2
L D' U F' L2 B2 F
L D' U F2 L2 F B2
L D' U F2 L2 B2 F
L' D' U2 B U' F L2
L' D' U2 B' U' F L2
L' D' U2 B2 U' F L2
L' D' F U L2 D F2
L D' U' B' U2 B' L2
L2 D' F L U F L
L' D' F D F2 U F2
B' U' L' F2 B U F'
B' U' L' B F2 U F'
B2 U' L' F2 B2 U F'
L' D' F' R U L2 F2
L' D' F' R U F2 L2
B2 U' L' B2 F2 U F'
L' D' F' R' U L2 F2
L' D' F' R' U F2 L2
L' D' F' R2 U L2 F2
L' D' F' R2 U F2 L2
L' D' F' U L F2 L
L' D' F' U L2 F2 D
L' D' F' U L2 F2 D'
L' D' F' U L2 F2 D2
L' D' F' U F' L2 F'
L' D' F' U F2 L2 D
L' D' F' U F2 L2 D'
L' D' F' U F2 L2 D2
L2 D' F' L U F L
L' D' F' D R2 F2 U
L' D' F' D F2 R2 U
L D' F U L2 F B2
L D' F U L2 B2 F
L' D' F2 U L F' L
L' D' F2 U L2 D F'
L' D' F2 U L2 D' F'
L' D' F2 U L2 D2 F'
L' D' F2 U L2 F' D
L' D' F2 U L2 F' D'
L' D' F2 U L2 F' D2
L' D' F2 U F L2 F2
L' D' F2 U F' L2 D
L' D' F2 U F' L2 D'
L' D' F2 U F' L2 D2
L2 D' F2 L U F L
L' D' F2 D F2 U F
L D' F' U L2 F B2
L D' F' U L2 B2 F
L D' F2 U L2 F B2
L D' F2 U L2 B2 F
L D' B2 L2 D' R2 F'
L2 D2 L U D F L2
L2 D2 L U F D L2
L2 D2 L U2 B2 U' F
L2 D2 L D U F L2
L2 D2 L D2 F2 U F'
L' D2 R U D F L2
L' D2 R U F D L2
L' D2 R U2 B2 U' F
L' D2 R D U F L2
L' D2 R D2 F2 U F'
L' D2 R' U D F L2
L' D2 R' U F D L2
F2 U' F2 U L' U F
L' D2 R' U2 B2 U' F
L' D2 R' D U F L2
B' U' B L' F2 U F'
L' D2 R' D2 F2 U F'
L' D2 R2 U D F L2
L' D2 R2 U F D L2
L' D2 R2 U2 B2 U' F
L' D2 R2 D U F L2
L' D2 R2 D2 F2 U F'
L' D2 U L2 D L2 F
L' D2 U F L D L2
L' D2 U F L' D L2
L' D2 U F L2 D L2
L' D2 U F U B2 U'
L' D2 U F D L2 D
L' D2 U F D L2 D'
L' D2 U F D L2 D2
L' D2 U F2 D L2 F'
L' D2 U F2 D F' L2
B U' B' L' F2 U F'
B2 U' B2 L' F2 U F'
F2 U2 L R U B' U2
L' D2 U2 B2 U' D F
L' D2 U2 B2 U' D' F
L' D2 U2 B2 U' D2 F
L' D2 U2 B2 U' F D
L' D2 U2 B2 U' F D'
L' D2 U2 B2 U' F D2
L' D2 U2 B2 D U' F
L' D2 U2 B2 D' U' F
L' D2 U2 B2 D2 U' F
F2 U2 L' R U' D F
F2 U2 L' R U' D' F
F2 U2 L' R U' D2 F
F2 U2 L' R U' F D
F2 U2 L' R U' F D'
F2 U2 L' R U' F D2
F2 U2 L' R D U' F
F2 U2 L' R D' U' F
F2 U2 L' R D2 U' F
L2 D2 U2 B2 R' U' F'
B' U2 L' F2 B U F'
F2 U2 L' D R U' F
B' U2 L' B F2 U F'
F2 U2 L' D' R U' F
L' D2 F D2 F2 U F2
F2 U2 L' D2 R U' F
B2 U2 L' F2 B2 U F'
B2 U2 L' B2 F2 U F'
L' D2 F' U F2 D L2
L D2 U2 B2 R2 U' F'
L' D2 F' U2 B2 U' F2
L' D2 F' D R2 U L2
F2 U2 R L U B' U2
F2 U2 R L' U' D F
F2 U2 R L' U' D' F
F2 U2 R L' U' D2 F
F2 U2 R L' U' F D
F2 U2 R L' U' F D'
F2 U2 R L' U' F D2
F2 U2 R L' D U' F
F2 U2 R L' D' U' F
F2 U2 R L' D2 U' F
L' D2 F2 U D L2 F'
L' D2 F2 U D F' L2
L' D2 F2 U F' D L2
F2 U2 R U' L' F L
L' D2 F2 U2 B2 U' F'
L' D2 F2 D U L2 F'
L' D2 F2 D U F' L2
L' D2 F2 D2 F2 U F
L2 F L U D F L'
L2 F L D U F L'
F2 U2 D2 L R U' F'
F2 U2 D2 L' R U' F'
F2 U2 D2 L2 R U' F'
F2 U2 D2 R L U' F'
F2 U2 D2 R L' U' F'
F2 U2 D2 R L2 U' F'
F2 U2 D2 R U' D F'
F2 U2 D2 R U' D' F'
F2 U2 D2 R U' D2 F'
F2 U2 D2 R U' F' D
F2 U2 D2 R U' F' D'
F2 U2 D2 R U' F' D2
F2 U2 D2 R D U' F'
F2 U2 D2 R D' U' F'
F2 U2 D2 R D2 U' F'
L' F R D F U F'
L' F R D' F U F'
L' F R D2 F U F'
L' F R F U D F'
L' F R F U D' F'
L' F R F U D2 F'
L' F R F U F' D
L' F R F U F' D'
L' F R F U F' D2
L' F R F D U F'
L' F R F D' U F'
L' F R F D2 U F'
L F L2 U2 B' U' F
L2 F R F L U F
L' F R' D F U F'
B' U2 B L' F2 U F'
L' F R' D' F U F'
L' F R' D2 F U F'
L' F R' F U D F'
L' F R' F U D' F'
L' F R' F U D2 F'
L' F R' F U F' D
L' F R' F U F' D'
L' F R' F U F' D2
L' F R' F D U F'
L' F R' F D' U F'
L' F R' F D2 U F'
L2 F R' F L U F
L F R F L2 U F
L' F R2 D F U F'
L' F R2 D' F U F'
L' F R2 D2 F U F'
L' F R2 F U D F'
L' F R2 F U D' F'
L' F R2 F U D2 F'
L' F R2 F U F' D
L' F R2 F U F' D'
L' F R2 F U F' D2
L' F R2 F D U F'
L' F R2 F D' U F'
L' F R2 F D2 U F'
L2 F R2 F L U F
L F R' F L2 U F
B U2 B' L' F2 U F'
B2 U2 B2 L' F2 U F'
L F R2 F L2 U F
L' F D R F U F'
L' F D R' F U F'
L' F D R2 F U F'
L' F D F U D F'
L' F D F U D' F'
L' F D F U D2 F'
L' F D F U F' D
L' F D F U F' D'
L' F D F U F' D2
L' F D F D U F'
L' F D F D' U F'
L' F D F D2 U F'
L2 F D F L U F
L' F D' R F U F'
L' F D' R' F U F'
L' F D' R2 F U F'
L' F D' F U D F'
L' F D' F U D' F'
L' F D' F U D2 F'
L' F D' F U F' D
L' F D' F U F' D'
L' F D' F U F' D2
L' F D' F D U F'
L' F D' F D' U F'
L' F D' F D2 U F'
L2 F D' F L U F
L' F D2 R F U F'
L' F D2 R' F U F'
L' F D2 R2 F U F'
L' F D2 F U D F'
L' F D2 F U D' F'
L' F D2 F U D2 F'
L' F D2 F U F' D
L' F D2 F U F' D'
L' F D2 F U F' D2
L' F D2 F D U F'
L' F D2 F D' U F'
L' F D2 F D2 U F'
L2 F D2 F L U F
L2 F' L U F D' L2
L2 F' L D F' U F2
L2 F' L D' F' U F2
L2 F' L D2 F' U F2
L2 F' L F' R U F2
L2 F' L F' R' U F2
L2 F' L F' R2 U F2
L2 F' L F' U F2 D
L2 F' L F' U F2 D'
L2 F' L F' U F2 D2
L2 F' L F' D R2 U
L' F' L' F' L U F'
L2 F' L' F' L2 U F
L F' L F' L U F
L' F' L2 F' L2 U F'
F' D F' R U' F' U2
L' F' R U F' L' F'
F D F U2 L' R U'
F D F U2 R L' U'
L' F' R F' U F' L'
L F' L2 U F D' L2
F D F' L' R F2 U
L F' L2 D F' U F2
L F' L2 D' F' U F2
F D F' R L' F2 U
L F' L2 D2 F' U F2
L F' L2 F' R U F2
L F' L2 F' R' U F2
L F' L2 F' R2 U F2
L F' L2 F' U F2 D
L F' L2 F' U F2 D'
L F' L2 F' U F2 D2
L F' L2 F' D R2 U
D F' R F2 U L' B'
L' F' R2 U2 B U' F2
L' F' R2 D R2 F' U
L' F' U F D' F L2
L' F' U F2 U' F U
B' D' L' B R' U L'
L' F' D R2 U2 B U'
L' F' D F R2 F2 U
L2 F' D L F' U F2
L' F' D F' R2 U D
L' F' D F' R2 U D'
L' F' D F' R2 U D2
L' F' D F' R2 D U
L' F' D F' R2 D' U
L' F' D F' R2 D2 U
L' F' D F' U D' F2
L' F' D F' D' U F2
L' F' D F2 R2 F U
L2 F' D F' L U F
L2 F' D' L F' U F2
L' F' D' F' U D F2
L' F' D' F' U2 L2 U'
L' F' D' F' D U F2
L' F' D' F' D2 R2 U
L2 F' D' F' L U F
L2 F' D2 L F' U F2
L' F' D2 F' U D2 F2
L' F' D2 F' U' B2 U2
L' F' D2 F' D' R2 U
L' F' D2 F' D2 U F2
L2 F' D2 F' L U F
L' F2 L D L' U F'
L' F2 L D' L' U F'
L' F2 L D2 L' U F'
L2 F2 L R U D F
L2 F2 L R U D' F
L2 F2 L R U D2 F
L2 F2 L R U F D
L2 F2 L R U F D'
L2 F2 L R U F D2
L2 F2 L R D U F
L2 F2 L R D' U F
L2 F2 L R D2 U F
L2 F2 L R' U D F
L2 F2 L R' U D' F
L2 F2 L R' U D2 F
L2 F2 L R' U F D
L2 F2 L R' U F D'
L2 F2 L R' U F D2
L2 F2 L R' D U F
L2 F2 L R' D' U F
L2 F2 L R' D2 U F
L2 F2 L R2 U D F
L2 F2 L R2 U D' F
L2 F2 L R2 U D2 F
L2 F2 L R2 U F D
L2 F2 L R2 U F D'
L2 F2 L R2 U F D2
L2 F2 L R2 D U F
L2 F2 L R2 D' U F
L2 F2 L R2 D2 U F
L2 F2 L U R F R'
L2 F2 L U R2 F R2
L2 F2 L U D F D
L2 F2 L U D F D'
L2 F2 L U D F D2
L2 F2 L U D' F D
L2 F2 L U D' F D'
L2 F2 L U D' F D2
L2 F2 L U D2 F D
L2 F2 L U D2 F D'
L2 F2 L U D2 F D2
L2 F2 L U F2 D F'
L2 F2 L U F2 D' F'
L2 F2 L U F2 D2 F'
L2 F2 L U' B U2 F
L2 F2 L U' B' U2 F
L2 F2 L U' B2 U2 F
L2 F2 L D R U F
L2 F2 L D R' U F
L2 F2 L D R2 U F
L2 F2 L D U F D
L2 F2 L D U F D'
L2 F2 L D U F D2
L2 F2 L D' R U F
L2 F2 L D' R' U F
R' F2 L' U2 R U' F
L2 F2 L D' R2 U F
L2 F2 L D' U F D
L2 F2 L D' U F D'
L2 F2 L D' U F D2
L2 F2 L D2 R U F
L2 F2 L D2 R' U F
L2 F2 L D2 R2 U F
L2 F2 L D2 U F D
L2 F2 L D2 U F D'
L2 F2 L D2 U F D2
L' F2 L' D L U F'
L' F2 L' D' L U F'
L' F2 L' D2 L U F'
L' F2 L2 U D' F' B2
L' F2 L2 U D' B2 F'
L' F2 L2 U F' D' B2
L F2 L D L U F
L F2 L D' L U F
R2 F2 L' U2 R U' F
L F2 L D2 L U F
L' F2 L2 D' U F' B2
L' F2 L2 D' U B2 F'
L' F2 R U2 L U' F
L' F2 R D R' U F'
L' F2 R D' R' U F'
R F2 L' U2 R U' F
L' F2 R D2 R' U F'
L2 F2 R L U D F
L2 F2 R L U D' F
L2 F2 R L U D2 F
L2 F2 R L U F D
L2 F2 R L U F D'
L2 F2 R L U F D2
L2 F2 R L D U F
L2 F2 R L D' U F
L2 F2 R L D2 U F
L F2 L2 R U D F
L F2 L2 R U D' F
L F2 L2 R U D2 F
L F2 L2 R U F D
L F2 L2 R U F D'
L F2 L2 R U F D2
L F2 L2 R D U F
L F2 L2 R D' U F
L F2 L2 R D2 U F
L F2 L2 R' U D F
L F2 L2 R' U D' F
L F2 L2 R' U D2 F
L F2 L2 R' U F D
L F2 L2 R' U F D'
L F2 L2 R' U F D2
L F2 L2 R' D U F
L F2 L2 R' D' U F
L F2 L2 R' D2 U F
L F2 L2 R2 U D F
L F2 L2 R2 U D' F
L F2 L2 R2 U D2 F
L F2 L2 R2 U F D
L F2 L2 R2 U F D'
L F2 L2 R2 U F D2
L F2 L2 R2 D U F
L F2 L2 R2 D' U F
L F2 L2 R2 D2 U F
L2 F2 R D L U F
L F2 L2 U R F R'
L F2 L2 U R2 F R2
L F2 L2 U D F D
L F2 L2 U D F D'
L F2 L2 U D F D2
L F2 L2 U D' F D
L F2 L2 U D' F D'
L F2 L2 U D' F D2
L F2 L2 U D2 F D
L F2 L2 U D2 F D'
L F2 L2 U D2 F D2
L2 F2 R D' L U F
L F2 L2 U F2 D F'
L F2 L2 U F2 D' F'
L F2 L2 U F2 D2 F'
L2 F2 R D2 L U F
L F2 L2 U' B U2 F
L F2 L2 U' B' U2 F
L F2 L2 U' B2 U2 F
L' F2 R' U R F' R'
L F2 L2 D R U F
L F2 L2 D R' U F
L F2 L2 D R2 U F
L F2 L2 D U F D
L F2 L2 D U F D'
L F2 L2 D U F D2
L F2 L2 D' R U F
L F2 L2 D' R' U F
L F2 L2 D' R2 U F
L F2 L2 D' U F D
L F2 L2 D' U F D'
L F2 L2 D' U F D2
B' D' B L' R' U L'
L F2 L2 D2 R U F
L F2 L2 D2 R' U F
L F2 L2 D2 R2 U F
L F2 L2 D2 U F D
L F2 L2 D2 U F D'
L F2 L2 D2 U F D2
B' D' B R' L' U L'
L2 F2 R' L U D F
L2 F2 R' L U D' F
L2 F2 R' L U D2 F
L2 F2 R' L U F D
L2 F2 R' L U F D'
L2 F2 R' L U F D2
L2 F2 R' L D U F
L2 F2 R' L D' U F
L2 F2 R' L D2 U F
L F2 R L2 U D F
L F2 R L2 U D' F
L F2 R L2 U D2 F
L F2 R L2 U F D
L F2 R L2 U F D'
L F2 R L2 U F D2
L F2 R L2 D U F
L F2 R L2 D' U F
L F2 R L2 D2 U F
L2 F2 R' D L U F
L2 F2 R' D' L U F
L2 F2 R' D2 L U F
L' F2 R2 U R2 F' R2
L' F2 R2 U' D B U2
L' F2 R2 U' D' B U2
L' F2 R2 U' D2 B U2
L' F2 R2 U' B U2 D
L' F2 R2 U' B U2 D'
L' F2 R2 U' B U2 D2
L' F2 R2 U' B D U2
L' F2 R2 U' B D' U2
L' F2 R2 U' B D2 U2
L' F2 R2 D R2 U F'
L' F2 R2 D U' B U2
L' F2 R2 D' R2 U F'
L' F2 R2 D' U' B U2
L' F2 R2 D2 R2 U F'
L' F2 R2 D2 U' B U2
L2 F2 R2 L U D F
L2 F2 R2 L U D' F
L2 F2 R2 L U D2 F
L2 F2 R2 L U F D
L2 F2 R2 L U F D'
L2 F2 R2 L U F D2
L2 F2 R2 L D U F
