L U F L B2
R' L U F L B2
R2 L U F L B2
L R U F L B2
R L U F L B2
F L U F L B2
F' L U F L B2
F2 L U F L B2
B2 L D' R2 F L
B2 L D' F L R2
B2 L D' F R2 L
B2 L F L D' R2
B2 L F D' L R2
B2 L F D' R2 L
D L F2 L U F'
L R' U F L B2
L R2 U F L B2
U L' B2 D L' F
L' U L2 F L B2
L U F L B2 D
L U F L B2 D'
L U F L B2 D2
L U F L' B2 L2
L U F L2 B2 L'
L U F' L F2 B2
L U F' L B2 F2
L U F2 L F' B2
L U F2 L B2 F'
U2 R U' B2 L2 F
L' U' B' U2 B' L'
U2 R' U' L2 F' B2
U2 R' U' L2 B2 F'
U2 R' U' F' L2 B2
U2 R' U' F' B2 L2
U2 R' U' B2 L2 F'
U2 R' U' B2 F' L2
L' D L2 U F L
L F L B2 D' R2
L F' U L F2 B2
L F' U L B2 F2
L F' U F2 L B2
L F2 U L F' B2
L F2 U L B2 F'
L F2 U F' L B2
L' B2 L' D' R2 F'
U B2 L' D L' F
L' B2 D' L' R2 F'
L' B2 D' R2 L' F'
B2 F' L F D' L R2
B2 F' L F D' R2 L
U B' R' U R B' L2
U B' R' U B' L2 R
U B' R' U B' R L2
L' B' U B U L' B2
L' B' U B U B2 L'
L' B' U2 B' L' D' R2
L' B' U2 B' D' L' R2
L' B' U2 B' D' R2 L'
U B' U' R' U B' L2
R' B2 L D' R2 F L
R' B2 L D' F L R2
R' B2 L D' F R2 L
R' B2 L F L D' R2
R' B2 L F D' L R2
R' B2 L F D' R2 L
L' B2 L' R2 D' F' R2
L' B2 L' R2 F' D' R2
L' B2 L' D' R2 D F'
L' B2 L' D' R2 D' F'
L' B2 L' D' R2 D2 F'
L' B2 L' D' R2 F' D
L' B2 L' D' R2 F' D'
L' B2 L' D' R2 F' D2
L' B2 L' D' F R2 F'
L' B2 L' D' F' R2 F'
L' B2 L' D' F2 R2 F'
L' B2 L' F D' R2 F'
L' B2 L' F' D' R2 F'
R2 B2 L D' R2 F L
R2 B2 L D' F L R2
R2 B2 L D' F R2 L
L' B2 L' F2 D' R2 F'
R2 B2 L F L D' R2
R2 B2 L F D' L R2
R2 B2 L F D' R2 L
L2 B2 L' D' R2 F L
L2 B2 L' D' F L R2
L2 B2 L' D' F R2 L
L2 B2 L' F L D' R2
L2 B2 L' F D' L R2
L2 B2 L' F D' R2 L
L' B2 L2 D' L R2 F'
L' B2 L2 D' R2 L F'
L' B2 L2 D' R2 F' L
U B2 L D L' F L2
F' B2 L D' R2 F L
R B2 L D' R2 F L
F' B2 L D' F L R2
F' B2 L D' F R2 L
R B2 L D' F L R2
R B2 L D' F R2 L
F' B2 L F L D' R2
R B2 L F L D' R2
F' B2 L F D' L R2
F' B2 L F D' R2 L
R B2 L F D' L R2
R B2 L F D' R2 L
B2 F2 L D' R2 F L
B2 F2 L D' F L R2
B2 F2 L D' F R2 L
B2 F2 L F L D' R2
F2 B2 L D' R2 F L
B2 F2 L F D' L R2
B2 F2 L F D' R2 L
F2 B2 L D' F L R2
F2 B2 L D' F R2 L
U B2 L' D L' D F
U B2 L' D L' D' F
U B2 L' D L' D2 F
U B2 L' D L' F D
U B2 L' D L' F D'
U B2 L' D L' F D2
F2 B2 L F L D' R2
F2 B2 L F D' L R2
F2 B2 L F D' R2 L
U B2 L2 R' D' R F'
U B2 L2 D L' F L
U B2 L2 D' R F' R'
F B2 L D' R2 F L
F B2 L D' F L R2
F B2 L D' F R2 L
F B2 L F L D' R2
F B2 L F D' L R2
F B2 L F D' R2 L
L' B2 R2 L' D' F' R2
L' B2 R2 L' F' D' R2
L' B2 R2 D' L' F' R2
U B2 R' L2 D' R F'
U B2 U B' L U' L
L' B2 D' L R2 F' L2
L' B2 D' L' R2 D F'
L' B2 D' L' R2 D' F'
L' B2 D' L' R2 D2 F'
L' B2 D' L' R2 F' D
L' B2 D' L' R2 F' D'
L' B2 D' L' R2 F' D2
L B2 U' B2 U F L
L' B2 D' L' F R2 F'
L' B2 D' L' F' R2 F'
L' B2 D' L' F2 R2 F'
L' B2 D' L2 R2 F' L
L' B2 D' R2 L F' L2
L' B2 D' R2 L' D F'
L' B2 D' R2 L' D' F'
L' B2 D' R2 L' D2 F'
L' B2 D' R2 L' F' D
L' B2 D' R2 L' F' D'
L' B2 D' R2 L' F' D2
L' B2 D' R2 L2 F' L
L' B2 D' R2 D L' F'
L' B2 D' R2 D' L' F'
L' B2 D' R2 D2 L' F'
L' B2 D' F R2 F' L'
L2 B2 D' R D' R F'
L' B2 D2 L' D R2 F'
U B2 D L D' L2 F
U B2 D L' D' F L2
L2 B2 D2 R D F' R2
L2 B2 D2 R' D R2 F'
L B2 D' R2 F2 L' F'
L' B2 F D' R2 F' L'
L B2 D' F' R2 F2 L'
U B2 F L' D L' F
L B2 F U' B2 U L
U B2 F' L' D L' F
U B2 F2 L' D L' F
