F R B U2 L'
F' R F2 B U2
F' R B F2 U2
F R' U2 L' F'
F U2 L F L2
R' F U2 L' F2
R F B U2 L'
R B F U2 L'
F R2 D2 U2 L' D2 F
F R2 D2 U2 L' F D
F R2 D2 U2 L' F D'
F R2 D2 U2 L' F D2
B2 R2 F R' B U2 L'
B' R2 F U2 D2 L' F
D2 R2 F B R' B U2
B' R2 F D2 U2 L' F
B2 R2 F U2 D2 L' F
F R2 D2 B U2 L' F
F R2 D2 B' U2 L' F
B R2 F R U2 L' F'
F R2 D2 B2 U2 L' F
B2 R2 F D2 U2 L' F
B R2 F R' B U2 L'
B' R2 F' R F2 U2 F
B R2 F U2 D2 L' F
B2 R2 F' R F2 U2 F
B R2 F D2 U2 L' F
B R2 F' R F2 U2 F
F' R2 F2 R' D B U2
F' R2 F2 R' D' B U2
F' R2 F2 R' D2 B U2
F' R2 F2 R' B U2 D
F' R2 F2 R' B U2 D'
F' R2 F2 R' B U2 D2
F' R2 F2 R' B D U2
F' R2 F2 R' B D' U2
F' R2 F2 R' B D2 U2
D2 R2 B R' F B U2
D2 R2 B R' B F U2
F R2 F2 R F2 U2 F
D2 R2 B F R' B U2
F R2 B R U2 L' F'
F R2 B R' B U2 L'
F R2 B U2 D2 L' F
F R2 B D2 U2 L' F
F R2 B' R U2 L' F'
F R2 B' R' B U2 L'
F R2 B' U2 D2 L' F
F R2 B' D2 U2 L' F
F R2 B2 R U2 L' F'
F R2 B2 R' B U2 L'
F R2 B2 U2 D2 L' F
F R2 B2 D2 U2 L' F
D2 U L2 U B' L F
R D F D B R' U2
F U R U L F L2
F U R' U L F L2
F2 U R2 U B L F
R D B D' F U2 L'
F U R2 U L F L2
F U F R F' U L'
D2 U' L2 U' B' L F
F U' L U' L F L
F U' L B L U' L
F U' L' B L U' L'
R D' F D' B R' U2
F U' L2 U' L D F
F U' L2 U' L D' F
F U' L2 U' L D2 F
F U' L2 U' L F D
F U' L2 U' L F D'
F U' L2 U' L F D2
F U' L2 U' D L F
F U' L2 U' D' L F
F U' L2 U' D2 L F
F U' L2 U' F L F
F U' L2 U' F' L F
F U' L2 U' F2 L F
F U' L2 D U' L F
F U' L2 D' U' L F
F U' L2 D2 U' L F
R D' B D F U2 L'
F U' D L2 U' L F
F U' D B L U' L2
F U' D' L2 U' L F
F U' D' B L U' L2
F U' D2 L2 U' L F
F U' D2 B L U' L2
D2 U2 L F L B' L
D2 U2 L F B' L B'
D2 U2 L B' F L B'
U2 D2 L F L B' L
U2 D2 L F B' L B'
U2 D2 L B' F L B'
U' D2 L2 U' B' L F
L2 D2 R' F' R' B' L
D2 U2 L2 B' L' F L2
R' D2 R2 F B R' U2
R' D2 R2 B R' F U2
R' D2 R2 B F R' U2
U2 D2 L2 B' L' F L2
F U' B L U' L2 D
F U' B L U' L2 D'
F U' B L U' L2 D2
F U' B L D' B2 U'
F U' B L B U' L2
F U' B L B' U' L2
F U' B L B2 U' L2
U D2 L2 U B' L F
F U' B U' L' D F2
F U' B D L U' L2
F U' B D' L U' L2
F U' B D2 L U' L2
F U' B' U2 R' U L'
R' D2 U2 L2 F' B' L
R' D2 U2 L2 B' L F'
R' D2 U2 L2 B' F' L
B' U2 L F L B' L2
B2 U2 L F L B' L2
F U' B2 U' D L' F
F U' B2 D U' L' F
L2 D2 U2 R2 B' L F
R2 D2 U2 L2 B' L F
L2 D2 U2 B' L R2 F
L2 D2 U2 B' L F R2
L2 D2 U2 B' R2 L F
F U2 L R F L2 R'
F U2 L R F R' L2
R' D2 F B R' U2 F2
F U2 L R2 F L2 R2
F U2 L R2 F R2 L2
R' D2 F B' U2 L F2
R' D2 F B' U2 F2 L
B U2 L F L B' L2
F U2 L D' F D L2
F U2 L D2 F D2 L2
F U2 L F L D L
F U2 L F L D' L
F U2 L F L D2 L
F U2 L F L' D L'
F U2 L F L' D' L'
F U2 L F L' D2 L'
F U2 L F B' L2 B
F U2 L F B2 L2 B2
F U2 L F' L F2 L
F U2 L F' L2 F2 D
F U2 L F' L2 F2 D'
F U2 L F' L2 F2 D2
F U2 L F2 L F' L
F U2 L F2 L2 D F'
F U2 L F2 L2 D' F'
F U2 L F2 L2 D2 F'
F U2 L F2 L2 F' D
F U2 L F2 L2 F' D'
F U2 L F2 L2 F' D2
F U2 L B' F L2 B
F U2 L B2 F L2 B2
B' U2 L2 F B' L' F
F U2 L' U L2 U' F
B' U2 L2 B' L' F L'
F U2 L' U2 D B' U2
F U2 L' U2 D' B' U2
F U2 L' U2 D2 B' U2
B2 U2 L2 F B' L' F
B' U2 L2 B' F L' F
F U2 L' U2 B' U2 D
F U2 L' U2 B' U2 D'
F U2 L' U2 B' U2 D2
F U2 L' U2 B' D U2
F U2 L' U2 B' D' U2
F U2 L' U2 B' D2 U2
F U2 L' D L2 F L2
F U2 L' D U2 B' U2
F U2 L' D' L2 F L2
F U2 L' D' U2 B' U2
F U2 L' D2 L2 F L2
F U2 L' D2 U2 B' U2
B2 U2 L2 B' L' F L'
F U2 L' F L2 F L2
F U2 L' F U2 B' U2
B2 U2 L2 B' F L' F
F U2 L' F' L2 F L2
F U2 L' F' U2 B' U2
F U2 L' F2 L2 F L2
F U2 L' F2 U2 B' U2
F U2 L' B D2 F2 B'
F U2 L' B D2 B' F2
R D2 F B R' U2 D
R D2 F B R' U2 D'
R D2 F B R' U2 D2
R D2 F B R' D U2
R D2 F B R' D' U2
R D2 F B R' D2 U2
R D2 F B D R' U2
R D2 F B D' R' U2
R D2 F B D2 R' U2
B U2 L2 F B' L' F
F' U2 R F2 U2 R' F'
B U2 L2 B' L' F L'
B U2 L2 B' F L' F
F U2 L2 F L' F L2
F U2 L2 F' L' F L2
F U2 L2 F2 L' F L2
F U2 R L F L2 R'
F U2 R L F R' L2
R D2 F' B R' F2 U2
R' D2 B F R' U2 F2
D2 U2 B' L2 B' L' F
L2 D2 B' L R' F' R'
R' D2 B' F U2 L F2
R' D2 B' F U2 F2 L
U2 D2 B' L2 B' L' F
L2 D2 B' R' L F' R'
L2 D2 B' R' F' L R'
L2 D2 B' R' F' R' L
R D2 B R F R2 U2
R D2 B R' D F U2
R D2 B R' D' F U2
R D2 B R' D2 F U2
R D2 B R' F U2 D
R D2 B R' F U2 D'
R D2 B R' F U2 D2
R D2 B R' F D U2
R D2 B R' F D' U2
R D2 B R' F D2 U2
F2 U2 R2 B L R2 F
F2 U2 R2 B L F R2
F2 U2 R2 B R2 L F
R D2 B D R' F U2
R D2 B D F R' U2
R D2 B D' R' F U2
R D2 B D' F R' U2
F U2 R2 L F L2 R2
F U2 R2 L F R2 L2
R D2 B D2 R' F U2
R D2 B D2 F R' U2
R D2 B F R' U2 D
R D2 B F R' U2 D'
R D2 B F R' U2 D2
R D2 B F R' D U2
R D2 B F R' D' U2
R D2 B F R' D2 U2
R D2 B F D R' U2
R D2 B F D' R' U2
R D2 B F D2 R' U2
R D2 B F' R' F2 U2
R' F L U2 F2 L2 R
R' F L U2 F2 R L2
F U2 D L F L2 D
F U2 D L F L2 D'
F U2 D L F L2 D2
F U2 D L F' L2 F2
F U2 D L F2 L2 F'
F U2 D L' U2 B' U2
F U2 D F' L F L'
U2 F L F' L2 F2 B'
U2 F L F' L2 B' F2
F U2 D' L F L2 D
F U2 D' L F L2 D'
F U2 D' L F L2 D2
F U2 D' L F' L2 F2
F U2 D' L F2 L2 F'
F U2 D' L' U2 B' U2
R' F L' F2 D2 B2 R'
F U2 D' F' L F L'
U2 F L' U2 B' U2 B
F U2 D2 L F L2 D
F U2 D2 L F L2 D'
F U2 D2 L F L2 D2
F U2 D2 L F' L2 F2
F U2 D2 L F2 L2 F'
F U2 D2 L' U2 B' U2
R F L B L' U2 L'
F U2 D2 F' L F L'
F U2 F L F' L' F2
R' F R U2 L F2 L2
R' F R U2 L' F2 D
R' F R U2 L' F2 D'
R' F R U2 L' F2 D2
R' F R U2 L2 F2 L
F U2 F L2 F' L' F
L2 F L2 F U2 L F
D' F R D' B R' U2
R' F R D2 B2 U2 L'
R' F R B U2 L' F2
R' F R B' U2 L' F2
D2 F R B R' U2 D
D2 F R B R' U2 D'
D2 F R B R' U2 D2
D2 F R B R' D U2
D2 F R B R' D' U2
D2 F R B R' D2 U2
D2 F R B D R' U2
D2 F R B D' R' U2
D2 F R B D2 R' U2
R' F R B2 U2 L' F2
U2 F R U2 L' R' F'
U2 F R U2 R' L' F'
F U2 F' L F L' D
F U2 F' L F L' D'
F U2 F' L F L' D2
F U2 F' L F D L'
F U2 F' L F D' L'
F U2 F' L F D2 L'
R' F R' U2 L F2 L2
R' F R' U2 L' F2 D
R' F R' U2 L' F2 D'
R' F R' U2 L' F2 D2
R' F R' U2 L2 F2 L
F U2 F' L2 F L' F
R2 F R U2 L F' L2
R2 F R U2 L' D F'
R2 F R U2 L' D' F'
R2 F R U2 L' D2 F'
R2 F R U2 L' F' D
R2 F R U2 L' F' D'
R2 F R U2 L' F' D2
R2 F R U2 L2 F' L
R2 F R U2 D L' F'
R2 F R U2 D' L' F'
R2 F R U2 D2 L' F'
R2 F R D U2 L' F'
R' F R' D2 B2 U2 L'
R2 F R D' U2 L' F'
R2 F R D2 U2 L' F'
R' F R' B U2 L' F2
R' F R' B' U2 L' F2
R' F R' B2 U2 L' F2
R2 F R B U2 L' F'
D2 F R' B' U2 L F'
D2 F R' B' U2 F' L
R2 F R B' U2 L' F'
D2 F R' B2 U2 F' L'
R2 F R B2 U2 L' F'
F2 U2 B L F D2 B2
D F R B U F' U
F U2 F2 L F2 L' F'
R' F R2 U2 L F2 L2
R' F R2 U2 L' F2 D
R' F R2 U2 L' F2 D'
R' F R2 U2 L' F2 D2
R' F R2 U2 L2 F2 L
R F R U2 D2 L' F
F U2 F2 L2 F2 L' F
R' F R2 D2 B2 U2 L'
R2 F R' D B U2 L'
R F R D2 U2 L' F
R2 F R' D' B U2 L'
D F R' U' B U' F'
R2 F R' D2 B U2 L'
F U2 F2 U2 R B U2
R' F R2 B U2 L' F2
R' F R2 B' U2 L' F2
D2 F R2 B R' B U2
R2 F R' B R U2 L'
R2 F R' B R' U2 L'
R2 F R' B R2 U2 L'
R' F R2 B2 U2 L' F2
R2 F R' B U2 L' D
R2 F R' B U2 L' D'
R2 F R' B U2 L' D2
R2 F R' B U2 D L'
R2 F R' B U2 D' L'
R2 F R' B U2 D2 L'
R2 F R' B D U2 L'
R2 F R' B D' U2 L'
R2 F R' B D2 U2 L'
R' F U R U L' F2
R' F U R' U L' F2
R' F U R2 U L' F2
R F R' U2 L F L2
R' F U D R2 U L'
R2 F R2 U2 L F L2
R' F U' L U' L2 F2
R' F U' L U' F2 L2
R' F U' L2 U' L F2
R' F U' L2 U' F2 L
F U2 B' L F L2 B
F U2 B' L F B L2
F U2 B' L B F L2
R2 F U R U L' F'
F U2 B' L' B D2 F2
R F R2 U2 L F' L2
R F R2 U2 L' D F'
R F R2 U2 L' D' F'
R F R2 U2 L' D2 F'
R F R2 U2 L' F' D
R F R2 U2 L' F' D'
R F R2 U2 L' F' D2
R F R2 U2 L2 F' L
R F R2 U2 D L' F'
R F R2 U2 D' L' F'
R F R2 U2 D2 L' F'
R' F U' D' L2 U' L
R F R2 D U2 L' F'
R F R2 D' U2 L' F'
R F R2 D2 U2 L' F'
R' F U' B U' L' F2
D' F U' B L B' U'
R' F U' B' U' L' F2
R F R2 B U2 L' F'
R' F U' B2 U' L' F2
R F R2 B' U2 L' F'
D F U F R F' U
R' F U2 L F' L2 F'
R' F U2 L F2 L2 D
R' F U2 L F2 L2 D'
R' F U2 L F2 L2 D2
U F U R U L' R'
U F U R U R' L'
R' F U2 L' R F2 R'
R' F U2 L' R2 F2 R2
R F R2 B2 U2 L' F'
R' F U2 L' F D F
R' F U2 L' F D' F
R' F U2 L' F D2 F
R' F U2 L' F' D F'
R' F U2 L' F' D' F'
R' F U2 L' F' D2 F'
D2 F U2 L D2 F L'
R' F U2 L2 F' L F'
R' F U2 L2 F2 L D
R' F U2 L2 F2 L D'
R' F U2 L2 F2 L D2
R' F U2 L2 F2 D L
R' F U2 L2 F2 D' L
R' F U2 L2 F2 D2 L
R' F U2 R L' F2 R'
F U2 B2 L F L2 B2
F U2 B2 L F B2 L2
F U2 B2 L B2 F L2
R' F U2 R2 L' F2 R2
R' F U2 D L' D' F2
D' F U2 D L F L'
R F U R2 U L' F'
R' F U2 D2 L' D2 F2
D2 F U2 D2 L F L'
R' F U2 F2 U2 R U2
R' F U2 B' L' F2 B
R' F U2 B' L' B F2
R' F U2 B2 L' F2 B2
R' F U2 B2 L' B2 F2
D2 F U2 B' L F B
D2 F U2 B' L B F
R2 F U2 L' R F' R'
R2 F U2 R L' F' R'
R' F D U R2 U L'
D F U2 L D' F L'
R' F D U2 L' D' F2
D' F D U2 L F L'
R2 F U2 D2 L' D F
R2 F U2 D2 L' D' F
R2 F U2 D2 L' D2 F
R2 F U2 D2 L' F D
R2 F U2 D2 L' F D'
R2 F U2 D2 L' F D2
D F U2 D' L F L'
R F U2 L' R2 F' R2
R F U2 L' U2 B U2
D' F D' R B R' U2
R' F D' U' L2 U' L
R F U2 R2 L' F' R2
D F D R B R' U2
D' F D' B R' U2 F'
D' F D' B' U2 L F
D F D B R' U2 F'
R' F D2 R B2 U2 L'
D F D B' U2 L F
R' F D2 R' B2 U2 L'
R' F D2 R2 B2 U2 L'
R F D R2 U2 L' F'
R' F D2 U2 L' D2 F2
D2 F D2 U2 L F L'
F' D R B U' R U'
R' F D2 B2 R U2 L'
R F D B R U2 L'
R' F D2 B2 R' U2 L'
D F D' U2 L F L'
R F D B R' U2 L'
R' F D2 B2 R2 U2 L'
R F D B R2 U2 L'
R' F D2 B2 U2 L' D
R' F D2 B2 U2 L' D'
R' F D2 B2 U2 L' D2
R' F D2 B2 U2 D L'
R' F D2 B2 U2 D' L'
R' F D2 B2 U2 D2 L'
R F D B U2 L' D
R F D B U2 L' D'
R F D B U2 L' D2
R F D B U2 D L'
R F D B U2 D' L'
R F D B U2 D2 L'
R' F D2 B2 D U2 L'
R F D B D U2 L'
R' F D2 B2 D' U2 L'
R F D B D' U2 L'
R' F D2 B2 D2 U2 L'
R F D B D2 U2 L'
R' F B R U2 L' F2
R' F B R' U2 L' F2
D2 F B R B R2 U2
R' F B R2 U2 L' F2
D2 F B R' U2 D F'
D2 F B R' U2 D' F'
D2 F B R' U2 D2 F'
D2 F B R' U2 F' D
D2 F B R' U2 F' D'
D2 F B R' U2 F' D2
D2 F B R' D U2 F'
D2 F B R' D' U2 F'
R2 F D2 R U2 L' F
D2 F B R' D2 U2 F'
D2 F B R' B U2 F'
D2 F B R' B' U2 F'
D2 F B R' B2 U2 F'
R2 F D2 R' U2 L' F
R F D' R2 U2 L' F'
R2 F D2 R2 U2 L' F
R' F B U2 L F2 L2
R' F B U2 L' F2 D
R' F B U2 L' F2 D'
R' F B U2 L' F2 D2
R' F B U2 L2 F2 L
R2 F D2 U2 L' D F
R2 F D2 U2 L' D' F
R2 F D2 U2 L' D2 F
R2 F D2 U2 L' F D
R2 F D2 U2 L' F D'
R2 F D2 U2 L' F D2
F D R D B U2 L'
D2 F B D R' U2 F'
F D R D' B U2 L'
D2 F B D' R' U2 F'
R' F B D2 B2 U2 L'
F D R D2 B U2 L'
D2 F B D2 R' U2 F'
R F D' B R U2 L'
R F D' B R' U2 L'
R F D' B R2 U2 L'
R F D' B U2 L' D
R F D' B U2 L' D'
R F D' B U2 L' D2
R F D' B U2 D L'
R F D' B U2 D' L'
R F D' B U2 D2 L'
R F D' B D U2 L'
R F D' B D' U2 L'
R F D' B D2 U2 L'
R2 F D2 B U2 L' F
R2 F D2 B' U2 L' F
R' F B' R U2 L' F2
F D R B R U2 L'
F D R B R' U2 L'
F D R B R2 U2 L'
F D R B U2 L' D
F D R B U2 L' D'
F D R B U2 L' D2
F D R B U2 D L'
F D R B U2 D' L'
F D R B U2 D2 L'
F D R B D U2 L'
F D R B D' U2 L'
F D R B D2 U2 L'
R' F B' R' U2 L' F2
R2 F D2 B2 U2 L' F
R' F B' R2 U2 L' F2
D2 F B' R' U2 L F'
D2 F B' R' U2 F' L
L' F B' L' B' R' F'
R' F B' U2 L F2 L2
R2 F B R U2 L' F'
R' F B' U2 L' F2 D
R' F B' U2 L' F2 D'
R' F B' U2 L' F2 D2
R' F B' U2 L2 F2 L
D2 F B' U2 L D F
D2 F B' U2 L D' F
D2 F B' U2 L D2 F
D2 F B' U2 L F D
D2 F B' U2 L F D'
D2 F B' U2 L F D2
D2 F B' U2 D L F
D2 F B' U2 D' L F
D2 F B' U2 D2 L F
R2 F B R' B U2 L'
D2 F B' U2 F L F
D2 F B' U2 F' L F
D2 F B' U2 F2 L F
R F D2 R2 U2 L' F'
D2 F B' D U2 L F
F D R' U2 L F' L2
F D R' U2 L' D F'
F D R' U2 L' D' F'
F D R' U2 L' D2 F'
F D R' U2 L' F' D
F D R' U2 L' F' D'
F D R' U2 L' F' D2
F D R' U2 L2 F' L
F D R' U2 D L' F'
F D R' U2 D' L' F'
F D R' U2 D2 L' F'
D2 F B' D' U2 L F
R' F B' D2 B2 U2 L'
F D R' D U2 L' F'
D2 F B' D2 U2 L F
R2 F B U2 D2 L' F
F D R' D' U2 L' F'
F D R' D2 U2 L' F'
R' F B2 R U2 L' F2
R' F B2 R' U2 L' F2
R F D2 B R U2 L'
R F D2 B R' U2 L'
R2 F B D2 U2 L' F
R F D2 B R2 U2 L'
R F D2 B U2 L' D
R F D2 B U2 L' D'
R F D2 B U2 L' D2
R F D2 B U2 D L'
R F D2 B U2 D' L'
R F D2 B U2 D2 L'
R F D2 B D U2 L'
R F D2 B D' U2 L'
D2 F B2 R B U2 L
R F D2 B D2 U2 L'
L' F B2 L' R' F' B'
L' F B2 L' R' B' F'
R' F B2 R2 U2 L' F2
D2 F B2 R' U2 F' L'
F D R' B U2 L' F'
F D R' B' U2 L' F'
R' F B2 U2 L F2 L2
R' F B2 U2 L' F2 D
R' F B2 U2 L' F2 D'
R' F B2 U2 L' F2 D2
L' F B2 R' L' F' B'
L' F B2 R' L' B' F'
R' F B2 U2 L2 F2 L
R2 F B' R U2 L' F'
F D R' B2 U2 L' F'
R2 F B' R' B U2 L'
R F B R U2 L' D
R F B R U2 L' D'
R F B R U2 L' D2
R F B R U2 D L'
R F B R U2 D' L'
R F B R U2 D2 L'
R F B R D U2 L'
R F B R D' U2 L'
R F B R D2 U2 L'
R F B R' U2 L' D
R F B R' U2 L' D'
R F B R' U2 L' D2
R F B R' U2 D L'
R F B R' U2 D' L'
R F B R' U2 D2 L'
R F B R' D U2 L'
R F B R' D' U2 L'
R F B R' D2 U2 L'
R' F B2 D2 B2 U2 L'
R F B R2 U2 L' D
R F B R2 U2 L' D'
R F B R2 U2 L' D2
R F B R2 U2 D L'
R F B R2 U2 D' L'
R F B R2 U2 D2 L'
R F B R2 D U2 L'
R F B R2 D' U2 L'
R F B R2 D2 U2 L'
R2 F B' U2 D2 L' F
F D R2 U2 D2 L' F
R F B U' B U' L'
R F B U' B' U' L'
R F B U' B2 U' L'
R F B U2 L2 D L
R F B U2 L2 D' L
R F B U2 L2 D2 L
R F B U2 D L' D
R F B U2 D L' D'
R F B U2 D L' D2
R F B U2 D' L' D
R F B U2 D' L' D'
R F B U2 D' L' D2
R F B U2 D2 L' D
R F B U2 D2 L' D'
R F B U2 D2 L' D2
R F B U2 B' L' B
R F B U2 B2 L' B2
R2 F B' D2 U2 L' F
L' F' L R F B U2
R F B D R U2 L'
R F B D R' U2 L'
L' F' L R B F U2
R F B D R2 U2 L'
R F B D U2 L' D
R F B D U2 L' D'
R F B D U2 L' D2
F D R2 D2 U2 L' F
R F B D' R U2 L'
R F B D' R' U2 L'
R F B D' R2 U2 L'
R F B D' U2 L' D
R F B D' U2 L' D'
R F B D' U2 L' D2
R F B D2 R U2 L'
R F B D2 R' U2 L'
R F B D2 R2 U2 L'
R F B D2 U2 L' D
R F B D2 U2 L' D'
R F B D2 U2 L' D2
R2 F B2 R U2 L' F'
R2 F B2 R' B U2 L'
R F B' R B2 U2 L'
R F B' R' B2 U2 L'
R F B' R2 B2 U2 L'
R2 F B2 U2 D2 L' F
R F B' U2 L' D2 F2
R F B' U2 D2 L' F2
R2 F B2 D2 U2 L' F
R F B' D2 U2 L' F2
R F B2 R B' U2 L'
R F B2 R' B' U2 L'
R F B2 R2 B' U2 L'
F D U' L2 U' L F
R F B2 U2 L2 F L
R F B2 D B' U2 L'
R F B2 D' B' U2 L'
R F B2 D2 B' U2 L'
F D U' B L U' L2
F2 D F R F2 B U2
F2 D F R B F2 U2
F D U2 L F L2 D
F D U2 L F L2 D'
F D U2 L F L2 D2
F D U2 L F' L2 F2
F D U2 L F2 L2 F'
R' F' L2 D2 R2 B2 L
F D U2 L' U2 B' U2
L2 F' L2 R F B U2
L2 F' L2 R B F U2
F D U2 F' L F L'
L' F' R L F B U2
L' F' R L B F U2
F2 D F' R B U2 L'
F2 D F' R' U2 L' F'
F2 D F' U2 L F L2
R' F' R F2 U2 F2 D
R' F' R F2 U2 F2 D'
R' F' R F2 U2 F2 D2
R' F' R F2 D2 B2 U2
R' F' R F2 B U2 F2
R' F' R F2 B' U2 F2
R' F' R F2 B2 U2 F2
R' F' R B F2 U2 F2
D2 F' R F2 B R' U2
D2 F' R B R' F2 U2
R' F' R B' F2 U2 F2
D2 F' R B F2 R' U2
R' F' R B2 F2 U2 F2
L2 F' R L2 F B U2
L2 F' R L2 B F U2
R2 F' R U2 D2 F' B2
R2 F' R U2 D2 B2 F'
U2 F' R F2 U2 R' F'
L2 F' R B L2 U2 B2
R' F' R' F2 R2 U2 F2
R2 F' R D2 U2 F' B2
R2 F' R D2 U2 B2 F'
R2 F' R F2 U2 D F
R2 F' R F2 U2 D' F
R2 F' R F2 U2 D2 F
R2 F' R F2 U2 F D
R2 F' R F2 U2 F D'
R2 F' R F2 U2 F D2
R2 F' R F2 D U2 F
R2 F' R F2 D' U2 F
R2 F' R F2 D2 U2 F
R2 F' R F2 B U2 F
R2 F' R F2 B' U2 F
R2 F' R F2 B2 U2 F
R2 F' R B F2 U2 F
R2 F' R B' F2 U2 F
R2 F' R B2 F2 U2 F
F D F2 R F2 B U2
F D F2 R B F2 U2
R' F' R2 F2 R' U2 F2
R2 F' R' F2 R2 U2 F'
R2 F' R' F2 B R2 U2
R2 F' R' B R2 F2 U2
R2 F' R' B F2 R2 U2
F D B R B U2 L'
F D B R' U2 L' F'
F D B U2 L F L2
R2 F' R2 F2 R' U2 F'
F D B' R B U2 L'
F D B' R' U2 L' F'
F D B' U2 L F L2
R F' R2 F2 R' U2 F
R' F' U2 R F2 U2 R'
F D B2 R B U2 L'
F D B2 R' U2 L' F'
F D B2 U2 L F L2
U2 F' U2 R F2 B U2
U2 F' U2 R B F2 U2
F' D' R D F2 B U2
F' D' R D B F2 U2
F' D' R D' B U2 B
F' D' R B U L2 U
F' D' R B U2 D' B2
F' D' R B D F2 U2
F' D' R B D' U2 B2
R' F' B R F2 U2 F2
D2 F' B R' F2 U2 F
F D' R D B U2 L'
F D' R D' B U2 L'
F D' R D2 B U2 L'
R' F' B' R F2 U2 F2
F D' R B R U2 L'
F D' R B R' U2 L'
F D' R B R2 U2 L'
F D' R B U2 L' D
F D' R B U2 L' D'
F D' R B U2 L' D2
F D' R B U2 D L'
F D' R B U2 D' L'
F D' R B U2 D2 L'
F D' R B D U2 L'
F D' R B D' U2 L'
F D' R B D2 U2 L'
R2 F' B R F2 U2 F
F D' R' U2 L F' L2
F D' R' U2 L' D F'
F D' R' U2 L' D' F'
F D' R' U2 L' D2 F'
F D' R' U2 L' F' D
F D' R' U2 L' F' D'
F D' R' U2 L' F' D2
F D' R' U2 L2 F' L
F D' R' U2 D L' F'
F D' R' U2 D' L' F'
F D' R' U2 D2 L' F'
F D' R' D U2 L' F'
F D' R' D' U2 L' F'
R' F' B2 R F2 U2 F2
F D' R' D2 U2 L' F'
F D' R' B U2 L' F'
F D' R' B' U2 L' F'
R2 F' B' R F2 U2 F
F D' R' B2 U2 L' F'
R F' B R U2 D2 B2
R F' B R D2 U2 B2
R F' B R F2 U2 D
R F' B R F2 U2 D'
R F' B R F2 U2 D2
R F' B R F2 D U2
R F' B R F2 D' U2
R F' B R F2 D2 U2
R F' B R' F2 R2 U2
R F' B R2 F2 R' U2
F D' R2 U2 D2 L' F
F D' R2 D2 U2 L' F
R F' B D2 R U2 B2
R2 F' B2 R F2 U2 F
L' F2 L F R B U2
R F' B' R F2 B2 U2
R F' B' R B2 F2 U2
R F' B2 R F2 B' U2
R F' B2 R B' F2 U2
F D' U' L2 U' L F
F D' U' B L U' L2
F2 D' F R F2 B U2
F2 D' F R B F2 U2
F D' U2 L F L2 D
F D' U2 L F L2 D'
F D' U2 L F L2 D2
F D' U2 L F' L2 F2
F D' U2 L F2 L2 F'
F D' U2 L' U2 B' U2
F D' U2 F' L F L'
F2 D' F' R B U2 L'
F2 D' F' R' U2 L' F'
L2 F2 L2 F R B U2
F2 D' F' U2 L F L2
D2 F2 R B R' F' U2
R' F2 R2 U2 F B L
R' F2 R2 U2 B F L
F D' F2 R F2 B U2
F D' F2 R B F2 U2
R2 F2 R2 U2 B L F
F D' B R B U2 L'
F D' B R' U2 L' F'
F D' B U2 L F L2
F D' B' R B U2 L'
F D' B' R' U2 L' F'
R F2 R2 U2 F' B L
R F2 R2 U2 B L F'
R F2 R2 U2 B F' L
F D' B' U2 L F L2
F D' B2 R B U2 L'
F D' B2 R' U2 L' F'
F D' B2 U2 L F L2
R' F2 D F' U2 L' F2
D' F2 D F' R B U2
R' F2 D' F' U2 L' F2
B' D2 R F B R' U2
B' D2 R B R' F U2
B' D2 R B F R' U2
F' D2 R D2 F2 B U2
F' D2 R D2 B F2 U2
F' D2 R F B U2 B
F' D2 R F' B U2 B
F' D2 R F2 B U2 B
F' D2 R B U2 D B
F' D2 R B U2 D' B
F' D2 R B U2 D2 B
F' D2 R B U2 B D
F' D2 R B U2 B D'
F' D2 R B U2 B D2
F' D2 R B D U2 B
B2 D2 R F B R' U2
F' D2 R B D' U2 B
F' D2 R B D2 U2 B
F' D2 R B F U2 B
F' D2 R B F' U2 B
F' D2 R B F2 U2 B
R' F2 D2 F' U2 L' F2
D2 F2 D2 F' R B U2
B2 D2 R B R' F U2
B2 D2 R B F R' U2
D F2 D' F' R B U2
R F2 D F' B U2 L'
R F2 D B F' U2 L'
B D2 R F B R' U2
B D2 R B R' F U2
B D2 R B F R' U2
F D2 R D B U2 L'
F D2 R D' B U2 L'
R2 F2 D2 F' U2 L' F
F D2 R D2 B U2 L'
R F2 D' F' B U2 L'
F D2 R B R U2 L'
F D2 R B R' U2 L'
F D2 R B R2 U2 L'
F D2 R B U2 L' D
F D2 R B U2 L' D'
F D2 R B U2 L' D2
F D2 R B U2 D L'
F D2 R B U2 D' L'
F D2 R B U2 D2 L'
F D2 R B D U2 L'
F D2 R B D' U2 L'
F D2 R B D2 U2 L'
R F2 D' B F' U2 L'
F D2 R' U2 L F' L2
F D2 R' U2 L' D F'
F D2 R' U2 L' D' F'
F D2 R' U2 L' D2 F'
F D2 R' U2 L' F' D
F D2 R' U2 L' F' D'
F D2 R' U2 L' F' D2
F D2 R' U2 L2 F' L
F D2 R' U2 D L' F'
F D2 R' U2 D' L' F'
F D2 R' U2 D2 L' F'
F D2 R' D U2 L' F'
F D2 R' D' U2 L' F'
F D2 R' D2 U2 L' F'
L' F2 B2 R' F' L' B'
R F2 D2 F' B U2 L'
F D2 R' B U2 L' F'
F D2 R' B' U2 L' F'
R F2 D2 B F' U2 L'
F D2 R' B2 U2 L' F'
F D2 R2 U2 D2 L' F
R F2 B R2 U2 B L
F D2 R2 D2 U2 L' F
R F2 B D F' U2 L'
