F' B2 U2 R
B2 F' U2 R
B2 L F' U2 R
F' L B2 U2 R
B2 L' F' U2 R
F L' F2 B2 U2
F L' B2 F2 U2
F' L' B2 U2 R
B2 L2 F' U2 R
F' L2 B2 U2 R
F' U2 R D2 F2
F' U2 D2 R F2
L' F' B2 U2 R
L F' B2 U2 R
L2 F' B2 U2 R
F' D2 U2 R F2
B2 F L' F2 U2
B2 F' L U2 R
B2 F' L' U2 R
B2 F' L2 U2 R
B2 F' U2 R D
B2 F' U2 R D'
B2 F' U2 R D2
B2 F' U2 D R
B2 F' U2 D' R
B2 F' U2 D2 R
F B2 L' F2 U2
B2 F' D U2 R
F' B2 L U2 R
B2 F' D' U2 R
F' B2 L' U2 R
B2 F' D2 U2 R
F' B2 L2 U2 R
L' B2 F' U2 R
F' B2 U2 R D
F' B2 U2 R D'
F' B2 U2 R D2
F' B2 U2 D R
F' B2 U2 D' R
F' B2 U2 D2 R
F' B2 D U2 R
L B2 F' U2 R
F' B2 D' U2 R
F' B2 D2 U2 R
L2 B2 F' U2 R
F' L' U2 R2 D2 R' F2
F' L' U2 R2 D2 F2 R'
U L' U' B2 F' U2 R
F' L' U2 D R D F2
F' L' U2 D2 R F2 D
F' L' U2 D2 R F2 D'
F' L' U2 D2 R F2 D2
F' L' U2 D2 R' F2 R2
B2 L' U2 R2 D2 B R'
F' L' U2 D2 R2 F2 R'
B L' U2 R2 F' B R
B L' U2 R2 B F' R
B2 L' U2 D2 R2 B R'
F' L' U2 F2 D2 F2 R
F L' U2 D2 F2 B2 D
F L' U2 D2 F2 B2 D'
F L' U2 D2 F2 B2 D2
F L' U2 D2 B2 F2 D
F L' U2 D2 B2 F2 D'
F L' U2 D2 B2 F2 D2
F' L' D U' L2 U' R
F' L' D U2 R D F2
F L' D U' L2 R2 U'
F L' D U' R2 L2 U'
F' L' D' U R2 U R'
F L' D' U L2 R2 U
F L' D' U R2 L2 U
F' L' D2 L U2 R F2
F' L' D2 L' U2 R F2
F' L' D2 L2 U2 R F2
F' L' D2 U2 R F2 D
F' L' D2 U2 R F2 D'
F' L' D2 U2 R F2 D2
F' L' D2 U2 R' F2 R2
F' L' D2 U2 R2 F2 R'
D2 L' D2 F' B2 U2 R
B2 L' D2 U2 R2 B R'
F' L' D2 B U2 R F2
F' L' D2 B' U2 R F2
F L' D2 U2 F2 B2 D
F L' D2 U2 F2 B2 D'
F L' D2 U2 F2 B2 D2
F L' D2 U2 B2 F2 D
F L' D2 U2 B2 F2 D'
F L' D2 U2 B2 F2 D2
D2 L' D2 B2 F' U2 R
F' L' D2 B2 U2 R F2
F L' D2 F U2 F B2
F L' D2 F U2 B2 F
B L' D2 F' B U2 R'
F L' D2 F' U2 F' B2
F L' D2 F' U2 B2 F'
R' L' B2 R F' U2 R
L' R' B2 R F' U2 R
B L' D2 B F' U2 R'
B' L' F L' F2 U2 F'
F L' D2 B U2 F2 B
F L' D2 B U2 B F2
B2 L' F L F2 L2 U2
F L' D2 B' U2 F2 B'
F L' D2 B' U2 B' F2
B2 L' F L' U2 D2 B2
B2 L' F L' D2 U2 B2
B2 L' F L' F2 U2 D
B2 L' F L' F2 U2 D'
B2 L' F L' F2 U2 D2
B2 L' F L' F2 D U2
B2 L' F L' F2 D' U2
B2 L' F L' F2 D2 U2
B2 L' F L2 F2 L U2
L2 R' B2 R F' U2 R
L R' B2 R F' U2 R
B L' F L' F2 B U2
B L' F L' B F2 U2
B2 L' F D2 L' U2 B2
F2 L' F B2 U2 R B
B' L' F' L B' U2 R
B L' F B L' F2 U2
B' L' F' L' U2 R F
F L' F D2 F U2 F
B2 L' F' L U2 R D
B2 L' F' L U2 R D'
B2 L' F' L U2 R D2
B2 L' F' L U2 D R
B2 L' F' L U2 D' R
B2 L' F' L U2 D2 R
B2 L' F' L D U2 R
B2 L' F' L D' U2 R
B2 L' F' L D2 U2 R
F2 L' F' L' B2 U2 B
B2 L' F' L' U2 R D
B2 L' F' L' U2 R D'
B2 L' F' L' U2 R D2
B2 L' F' L' U2 D R
B2 L' F' L' U2 D' R
B2 L' F' L' U2 D2 R
B2 L' F' L' D U2 R
B2 L' F' L' D' U2 R
B2 L' F' L' D2 U2 R
F L' F B2 D F U2
B L' F' L B U2 R
F L' F B2 D' F U2
B2 L' F' L2 U2 R D
B2 L' F' L2 U2 R D'
B2 L' F' L2 U2 R D2
F L' F B2 D2 F U2
B2 L' F' L2 U2 D R
B2 L' F' L2 U2 D' R
B2 L' F' L2 U2 D2 R
B2 L' F' L2 D U2 R
B2 L' F' L2 D' U2 R
B2 L' F' L2 D2 U2 R
B L' F' L' B U2 R
B L' F' L2 B U2 R
D2 L' F' U2 D2 F' R
B' L' F' U2 D2 R F'
D' L' F' D B2 U2 R2
D' L' F' D' L2 U2 F2
B2 L' F' U B U R
B2 L' F' U B' U R
B2 L' F' U B2 U R
D2 L' F' D2 U2 F' R
B2 L' F' U2 R2 D R'
B2 L' F' U2 R2 D' R'
B2 L' F' U2 R2 D2 R'
B2 L' F' U2 D R D
B2 L' F' U2 D R D'
B2 L' F' U2 D R D2
B2 L' F' U2 D' R D
B2 L' F' U2 D' R D'
B2 L' F' U2 D' R D2
B2 L' F' U2 D2 R D
B2 L' F' U2 D2 R D'
B2 L' F' U2 D2 R D2
B2 L' F' U2 B R B'
B2 L' F' U2 B2 R B2
D2 L' F' B U2 F' R'
B2 L' F' D L U2 R
B2 L' F' D L' U2 R
B2 L' F' D L2 U2 R
B' L' F' D2 U2 R F'
D2 L' F' B' L U2 F'
B2 L' F' D U2 R D
B2 L' F' D U2 R D'
B2 L' F' D U2 R D2
B L' F' U2 R2 F' R'
B2 L' F' D' L U2 R
B2 L' F' D' L' U2 R
B2 L' F' D' L2 U2 R
B2 L' F' D' U2 R D
B2 L' F' D' U2 R D'
B2 L' F' D' U2 R D2
B2 L' F' D2 L U2 R
B2 L' F' D2 L' U2 R
B L' F' D B U2 R
B2 L' F' D2 L2 U2 R
B2 L' F' D2 U2 R D
B2 L' F' D2 U2 R D'
B2 L' F' D2 U2 R D2
B L' F' D' B U2 R
F2 L' F' B2 L' U2 B'
B L' F' D2 B U2 R
F' L' F2 L' F2 B2 U2
U2 L' F' B2 R' U2 R2
B L' F' B L U2 R
F' L' F2 L' B2 F2 U2
B L' F' B L' U2 R
B L' F' B L2 U2 R
B L' F' B U2 R D
B L' F' B U2 R D'
B L' F' B U2 R D2
B L' F' B U2 D R
B L' F' B U2 D' R
B L' F' B U2 D2 R
B L' F' B D U2 R
B L' F' B D' U2 R
B L' F' B D2 U2 R
F L' F' D2 F' U2 F'
B2 L' F2 L2 U2 B' R'
F L' F' B2 D F' U2
F L' F' B2 D' F' U2
F L' F' B2 D2 F' U2
F L' F2 L B2 L' U2
F L' F2 L' B2 U2 R'
F L' F2 L2 B2 L2 U2
F L' F2 R B2 U2 L
F L' F2 R' B2 R U2
F L' F2 R2 B2 R2 U2
F L' F2 U D' R2 U
B2 L' F2 D F U2 R
F L' F2 U' D L2 U'
B2 L' F2 D' F U2 R
F' L' F2 B2 L' F2 U2
F L' F2 U2 D2 F2 D
F L' F2 U2 D2 F2 D'
F L' F2 U2 D2 F2 D2
B2 L' F2 D2 F U2 R
F L' F2 U2 F D2 F2
F L' F2 U2 F' D2 F2
F L' F2 U2 F2 D2 F2
F' L' B L B U2 R
F L' F2 D U' L2 U'
F' L' B L' B U2 R
F L' F2 D' U R2 U
F' L' B L2 B U2 R
F L' F2 D2 U2 F2 D
F L' F2 D2 U2 F2 D'
F L' F2 D2 U2 F2 D2
F L' F2 D2 B U2 F2
F L' F2 D2 B' U2 F2
F L' F2 D2 B2 U2 F2
F L' F2 B D B U2
F L' F2 B D' B U2
F L' F2 B D2 B U2
F L' F2 B' D B' U2
F L' F2 B' D' B' U2
F L' F2 B' D2 B' U2
B L' B L F' U2 R
B L' B L' F' U2 R
B L' B L2 F' U2 R
F' L' B U2 R2 F' R'
F' L' B D B U2 R
F' L' B D' B U2 R
F' L' B D2 B U2 R
D2 L' B F' U2 F' R'
D2 L' B' L F' U2 F'
B L' B F L' F2 U2
F' L' B' L2 U2 R F
B L' B F' L U2 R
B L' B F' L' U2 R
B L' B F' L2 U2 R
F L' B D2 B U2 B
B L' B F' U2 R D
B L' B F' U2 R D'
B L' B F' U2 R D2
B L' B F' U2 D R
B L' B F' U2 D' R
B L' B F' U2 D2 R
B L' B F' D U2 R
B L' B F' D' U2 R
B L' B F' D2 U2 R
F L' B F2 D B U2
F L' B F2 D' B U2
F L' B F2 D2 B U2
F' L' B' D B' U2 R
F' L' B' D' B' U2 R
F' L' B' D2 B' U2 R
D2 L' B' F' L U2 F'
F' L' B2 L U2 R D
F' L' B2 L U2 R D'
F' L' B2 L U2 R D2
F' L' B2 L U2 D R
F' L' B2 L U2 D' R
F' L' B2 L U2 D2 R
F' L' B2 L D U2 R
F' L' B2 L D' U2 R
F' L' B2 L D2 U2 R
F' L' B2 L' U2 R D
F' L' B2 L' U2 R D'
F' L' B2 L' U2 R D2
F' L' B2 L' U2 D R
F' L' B2 L' U2 D' R
F' L' B2 L' U2 D2 R
F' L' B2 L' D U2 R
F' L' B2 L' D' U2 R
F' L' B2 L' D2 U2 R
F' L' B2 L2 U2 R D
F' L' B2 L2 U2 R D'
F' L' B2 L2 U2 R D2
F' L' B2 L2 U2 D R
F' L' B2 L2 U2 D' R
F' L' B2 L2 U2 D2 R
F' L' B2 L2 D U2 R
F' L' B2 L2 D' U2 R
F' L' B2 L2 D2 U2 R
F2 L' B2 L F U2 R
F L' B' D2 B' U2 B'
F2 L' B2 L' U2 B' R'
F L' B' F2 D B' U2
F L' B' F2 D' B' U2
F L' B' F2 D2 B' U2
F' L' B2 U B U R
F' L' B2 U B' U R
F L' B2 L F2 U2 R
F' L' B2 U B2 U R
F L' B2 L' F2 L U2
F' L' B2 U2 R2 D R'
F' L' B2 U2 R2 D' R'
F' L' B2 U2 R2 D2 R'
F' L' B2 U2 D R D
F' L' B2 U2 D R D'
F' L' B2 U2 D R D2
F' L' B2 U2 D' R D
F' L' B2 U2 D' R D'
F' L' B2 U2 D' R D2
F' L' B2 U2 D2 R D
F' L' B2 U2 D2 R D'
F' L' B2 U2 D2 R D2
F' L' B2 U2 B R B'
F L' B2 L2 F2 L2 U2
F' L' B2 U2 B2 R B2
F' L' B2 D L U2 R
F' L' B2 D L' U2 R
F' L' B2 D L2 U2 R
F' L' B2 D U2 R D
F' L' B2 D U2 R D'
F' L' B2 D U2 R D2
F L' B2 R F2 R' U2
F' L' B2 D' L U2 R
F' L' B2 D' L' U2 R
F' L' B2 D' L2 U2 R
F' L' B2 D' U2 R D
F' L' B2 D' U2 R D'
F' L' B2 D' U2 R D2
F L' B2 R' F2 U2 L'
F' L' B2 D2 L U2 R
F' L' B2 D2 L' U2 R
F' L' B2 D2 L2 U2 R
F' L' B2 D2 U2 R D
F' L' B2 D2 U2 R D'
F' L' B2 D2 U2 R D2
F L' B2 R2 F2 R2 U2
F L' B2 U D' L2 U
F L' B2 U' D R2 U'
F' L' B2 F2 L' F2 U2
F2 L' B2 F U2 R B
F L' B2 U2 D2 B2 D
F L' B2 U2 D2 B2 D'
F L' B2 U2 D2 B2 D2
F2 L' B2 F' L' U2 B'
F L' B2 U2 B D2 B2
F L' B2 U2 B' D2 B2
F L' B2 U2 B2 D2 B2
L' R2 D2 L2 F2 B R'
L' R2 D2 L2 B R' F2
L' R2 D2 L2 B F2 R'
F L' B2 D U' R2 U'
U2 L' B2 F' R' U2 R2
F L' B2 D' U L2 U
F L' B2 D2 U2 B2 D
F L' B2 D2 U2 B2 D'
F L' B2 D2 U2 B2 D2
F L' B2 D2 F U2 B2
F L' B2 D2 F' U2 B2
F L' B2 D2 F2 U2 B2
F L' B2 F D F U2
F L' B2 F D' F U2
F L' B2 F D2 F U2
F L' B2 F' D F' U2
F L' B2 F' D' F' U2
F L' B2 F' D2 F' U2
L2 R2 D2 L2 F2 B R'
L2 R2 D2 L2 B R' F2
L2 R2 D2 L2 B F2 R'
R2 L2 D2 L2 F2 B R'
R2 L2 D2 L2 B R' F2
R2 L2 D2 L2 B F2 R'
L R2 D2 L2 F2 B R'
L R2 D2 L2 B R' F2
L R2 D2 L2 B F2 R'
L' R2 D2 F2 L2 B R'
L' R2 D2 F2 B L2 R'
L' R2 D2 F2 B R' L2
L' R2 D2 B L2 R' F2
L' R2 D2 B L2 F2 R'
L' R2 D2 B R' L2 F2
L' R2 D2 B R' F2 L2
L' R2 D2 B F2 L2 R'
L' R2 D2 B F2 R' L2
L2 R2 D2 F2 L2 B R'
L2 R2 D2 F2 B L2 R'
L2 R2 D2 F2 B R' L2
R2 L2 D2 F2 L2 B R'
L2 R2 D2 B L2 R' F2
L2 R2 D2 B L2 F2 R'
L2 R2 D2 B R' L2 F2
L2 R2 D2 B R' F2 L2
R2 L2 D2 F2 B L2 R'
R2 L2 D2 F2 B R' L2
L R2 D2 F2 L2 B R'
L2 R2 D2 B F2 L2 R'
L2 R2 D2 B F2 R' L2
R2 L2 D2 B L2 R' F2
R2 L2 D2 B L2 F2 R'
R2 L2 D2 B R' L2 F2
R2 L2 D2 B R' F2 L2
L R2 D2 F2 B L2 R'
L R2 D2 F2 B R' L2
L R2 D2 B L2 R' F2
R2 L2 D2 B F2 L2 R'
R2 L2 D2 B F2 R' L2
L R2 D2 B L2 F2 R'
L R2 D2 B R' L2 F2
L R2 D2 B R' F2 L2
L R2 D2 B F2 L2 R'
L R2 D2 B F2 R' L2
F' L2 R' B2 R U2 R
F' L2 R2 B2 L R2 U2
F' L2 R2 B2 R2 L U2
F' L2 U D' R2 U R'
U' L2 U F' B2 U2 R
U' L2 U B2 F' U2 R
F' L2 U' D L2 U' R
F' L2 U2 R U2 B2 U2
F' L2 U2 R D2 F2 D
F' L2 U2 R D2 F2 D'
F' L2 U2 R D2 F2 D2
F' L2 U2 R F D2 F2
F' L2 U2 R F' D2 F2
F' L2 U2 R F2 D2 F2
D2 L2 U2 R2 F2 B R'
D2 L2 U2 R2 B R' F2
D2 L2 U2 R2 B F2 R'
U L2 U' F' B2 U2 R
F' L2 U2 R2 D2 R' F2
F' L2 U2 R2 D2 F2 R'
F' L2 U2 D R D F2
F' L2 U2 D2 R F2 D
F' L2 U2 D2 R F2 D'
F' L2 U2 D2 R F2 D2
F' L2 U2 D2 R' F2 R2
F' L2 U2 D2 R2 F2 R'
B2 L2 U2 R2 D2 B R'
U L2 U' B2 F' U2 R
F2 L2 U2 D2 F2 B' R'
F2 L2 U2 D2 B' R' F2
F2 L2 U2 D2 B' F2 R'
B2 L2 U2 D2 R2 B R'
B L2 U2 R2 F' B R
B L2 U2 R2 B F' R
F' L2 U2 F2 D2 F2 R
F L2 U2 D2 F2 B2 R'
F L2 U2 D2 B2 R' F2
F L2 U2 D2 B2 F2 R'
F' L2 D U' L2 U' R
R' L2 B2 R F' U2 R
F' L2 D U2 R D F2
F' L2 D' U R2 U R'
F' L2 D2 L U2 R F2
F' L2 D2 L' U2 R F2
F' L2 D2 L2 U2 R F2
F L2 D2 L U2 F2 B2
F L2 D2 L U2 B2 F2
F' L2 D2 U2 R F2 D
F' L2 D2 U2 R F2 D'
F' L2 D2 U2 R F2 D2
F' L2 D2 U2 R' F2 R2
F' L2 D2 U2 R2 F2 R'
D2 L2 D2 F' B2 U2 R
B2 L2 D2 U2 R2 B R'
F2 L2 D2 U2 F2 B' R'
F2 L2 D2 U2 B' R' F2
F2 L2 D2 U2 B' F2 R'
F' L2 D2 B U2 R F2
D2 L2 D2 B2 F' U2 R
F' L2 D2 B' U2 R F2
F' L2 D2 B2 U2 R F2
F L2 D2 U2 F2 B2 R'
F L2 D2 U2 B2 R' F2
F L2 D2 U2 B2 F2 R'
B' L2 F L' F2 U2 F2
B L2 D2 F' B U2 R'
B2 L2 F L F2 L2 U2
B L2 D2 B F' U2 R'
B2 L2 F L' U2 D2 B2
B2 L2 F L' D2 U2 B2
B2 L2 F L' F2 U2 D
B2 L2 F L' F2 U2 D'
B2 L2 F L' F2 U2 D2
B2 L2 F L' F2 D U2
B2 L2 F L' F2 D' U2
B2 L2 F L' F2 D2 U2
B2 L2 F L2 F2 L U2
F L2 D2 B2 R' F2 L'
B L2 F L' F2 B U2
B L2 F L' B F2 U2
B2 L2 F D2 L' U2 B2
B' L2 F' L U2 R F2
B' L2 F' L' U2 R F2
B' L2 F' L2 U2 R F2
F2 L2 F B2 U2 B R
B2 L2 F' L U2 R D
B2 L2 F' L U2 R D'
B2 L2 F' L U2 R D2
B2 L2 F' L U2 D R
B2 L2 F' L U2 D' R
B2 L2 F' L U2 D2 R
B2 L2 F' L D U2 R
B2 L2 F' L D' U2 R
B L2 F B L' F2 U2
B2 L2 F' L D2 U2 R
B2 L2 F' L' U2 R D
B2 L2 F' L' U2 R D'
B2 L2 F' L' U2 R D2
B2 L2 F' L' U2 D R
B2 L2 F' L' U2 D' R
B2 L2 F' L' U2 D2 R
B2 L2 F' L' D U2 R
B2 L2 F' L' D' U2 R
B2 L2 F' L' D2 U2 R
B2 L2 F' L2 U2 R D
B2 L2 F' L2 U2 R D'
B2 L2 F' L2 U2 R D2
B2 L2 F' L2 U2 D R
B2 L2 F' L2 U2 D' R
B2 L2 F' L2 U2 D2 R
B2 L2 F' L2 D U2 R
B2 L2 F' L2 D' U2 R
B2 L2 F' L2 D2 U2 R
B L2 F' L B U2 R
D2 L2 F' U2 D2 F' R
B L2 F' L' B U2 R
F L2 F' L F' B2 U2
B' L2 F' U2 R F2 D
B' L2 F' U2 R F2 D'
B' L2 F' U2 R F2 D2
B' L2 F' U2 R' F2 R2
F L2 F' L B2 F' U2
B' L2 F' U2 R2 F2 R'
B L2 F' L2 B U2 R
B2 L2 F' U B U R
B2 L2 F' U B' U R
B2 L2 F' U B2 U R
D2 L2 F' D2 U2 F' R
D2 L2 F' B U2 F' R'
B2 L2 F' U2 R2 D R'
B2 L2 F' U2 R2 D' R'
B2 L2 F' U2 R2 D2 R'
B2 L2 F' U2 D R D
B2 L2 F' U2 D R D'
B2 L2 F' U2 D R D2
B2 L2 F' U2 D' R D
B2 L2 F' U2 D' R D'
B2 L2 F' U2 D' R D2
D2 L2 F' B' L U2 F'
B2 L2 F' U2 D2 R D
B2 L2 F' U2 D2 R D'
B2 L2 F' U2 D2 R D2
B2 L2 F' U2 B R B'
B2 L2 F' U2 B2 R B2
B2 L2 F' D L U2 R
B2 L2 F' D L' U2 R
B2 L2 F' D L2 U2 R
B' L2 F' D2 B2 U2 R
B2 L2 F' D U2 R D
B2 L2 F' D U2 R D'
B2 L2 F' D U2 R D2
B' L2 F' B U2 R F2
B2 L2 F' D' L U2 R
B2 L2 F' D' L' U2 R
B2 L2 F' D' L2 U2 R
B2 L2 F' D' U2 R D
B2 L2 F' D' U2 R D'
B2 L2 F' D' U2 R D2
B' L2 F' B' U2 R F2
B2 L2 F' D2 L U2 R
B2 L2 F' D2 L' U2 R
B2 L2 F' D2 L2 U2 R
B L2 F' U2 R2 F' R'
B' L2 F' B2 U2 R F2
B2 L2 F' D2 U2 R D
B2 L2 F' D2 U2 R D'
B2 L2 F' D2 U2 R D2
R' U R F' B2 U2 R
B L2 F' D B U2 R
F' L2 F2 L' F2 B2 U2
F' L2 F2 L' B2 F2 U2
B L2 F' D' B U2 R
F2 L2 F' B2 L' U2 B
U2 L2 F' B2 U2 L2 R
U2 L2 F' B2 U2 R L2
B L2 F' D2 B U2 R
B L2 F' B L U2 R
B L2 F' B L' U2 R
B L2 F' B L2 U2 R
B L2 F' B U2 R D
B L2 F' B U2 R D'
B L2 F' B U2 R D2
B L2 F' B U2 D R
B L2 F' B U2 D' R
B L2 F' B U2 D2 R
B L2 F' B D U2 R
B L2 F' B D' U2 R
B L2 F' B D2 U2 R
R' U R B2 F' U2 R
B2 L2 F2 L2 U2 B' R'
F L2 F2 L U2 D2 F2
F L2 F2 L D2 U2 F2
F L2 F2 L B2 U2 D
F L2 F2 L B2 U2 D'
F L2 F2 L B2 U2 D2
F L2 F2 L B2 D U2
F L2 F2 L B2 D' U2
F L2 F2 L B2 D2 U2
F L2 F2 L' B2 L2 U2
F L2 F2 L2 B2 L' U2
B2 L2 F2 D F U2 R
B2 L2 F2 D' F U2 R
F' L2 F2 B2 L' F2 U2
B2 L2 F2 D2 F U2 R
F' L2 B L B U2 R
F' L2 B L' B U2 R
F' L2 B L2 B U2 R
F L2 F2 D2 L U2 F2
B L2 B L F' U2 R
F L2 F2 B2 L U2 R'
F L2 F2 B2 L' U2 R'
F L2 F2 B2 L2 U2 R'
F L2 F2 B2 U2 R' D
F L2 F2 B2 U2 R' D'
F L2 F2 B2 U2 R' D2
F L2 F2 B2 U2 D R'
F L2 F2 B2 U2 D' R'
F L2 F2 B2 U2 D2 R'
F L2 F2 B2 D U2 R'
F L2 F2 B2 D' U2 R'
F L2 F2 B2 D2 U2 R'
B L2 B L' F' U2 R
F' L2 B U2 R2 F' R'
B L2 B L2 F' U2 R
F' L2 B D B U2 R
F' L2 B D' B U2 R
F' L2 B D2 B U2 R
D2 L2 B F' U2 F' R'
B' L2 B F' U2 R F2
D2 L2 B' L F' U2 F'
F' L2 B' L2 U2 R F
B L2 B F L' F2 U2
B L2 B F' L U2 R
B L2 B F' L' U2 R
B L2 B F' L2 U2 R
B L2 B F' U2 R D
B L2 B F' U2 R D'
B L2 B F' U2 R D2
B L2 B F' U2 D R
B L2 B F' U2 D' R
B L2 B F' U2 D2 R
B L2 B F' D U2 R
B L2 B F' D' U2 R
B L2 B F' D2 U2 R
R2 U R2 F' B2 U2 R
F' L2 B' D B' U2 R
F' L2 B' D' B' U2 R
D2 L2 B' F' L U2 F'
F' L2 B' D2 B' U2 R
B' L2 B' F' U2 R F2
R2 U R2 B2 F' U2 R
F' L2 B2 L U2 R D
F' L2 B2 L U2 R D'
F' L2 B2 L U2 R D2
F' L2 B2 L U2 D R
F' L2 B2 L U2 D' R
F' L2 B2 L U2 D2 R
F' L2 B2 L D U2 R
F' L2 B2 L D' U2 R
F' L2 B2 L D2 U2 R
F' L2 B2 L' U2 R D
F' L2 B2 L' U2 R D'
F' L2 B2 L' U2 R D2
F' L2 B2 L' U2 D R
F' L2 B2 L' U2 D' R
F' L2 B2 L' U2 D2 R
F' L2 B2 L' D U2 R
F' L2 B2 L' D' U2 R
F' L2 B2 L' D2 U2 R
F' L2 B2 L2 U2 R D
F' L2 B2 L2 U2 R D'
F' L2 B2 L2 U2 R D2
F' L2 B2 L2 U2 D R
F' L2 B2 L2 U2 D' R
F' L2 B2 L2 U2 D2 R
F' L2 B2 L2 D U2 R
F' L2 B2 L2 D' U2 R
F' L2 B2 L2 D2 U2 R
F' L2 B2 U B U R
F' L2 B2 U B' U R
F' L2 B2 U B2 U R
F' L2 B2 U2 R2 D R'
F' L2 B2 U2 R2 D' R'
F' L2 B2 U2 R2 D2 R'
F' L2 B2 U2 D R D
F' L2 B2 U2 D R D'
F' L2 B2 U2 D R D2
F' L2 B2 U2 D' R D
F' L2 B2 U2 D' R D'
F' L2 B2 U2 D' R D2
F' L2 B2 U2 D2 R D
F' L2 B2 U2 D2 R D'
F' L2 B2 U2 D2 R D2
F' L2 B2 U2 B R B'
F L2 B2 L F2 U2 R'
F' L2 B2 U2 B2 R B2
F' L2 B2 D L U2 R
F' L2 B2 D L' U2 R
F' L2 B2 D L2 U2 R
F' L2 B2 D U2 R D
F' L2 B2 D U2 R D'
F' L2 B2 D U2 R D2
F' L2 B2 D' L U2 R
F L2 B2 L' F2 U2 R'
F' L2 B2 D' L' U2 R
F' L2 B2 D' L2 U2 R
F' L2 B2 D' U2 R D
F' L2 B2 D' U2 R D'
F' L2 B2 D' U2 R D2
F' L2 B2 D2 L U2 R
F L2 B2 L2 F2 U2 R'
F' L2 B2 D2 L' U2 R
F' L2 B2 D2 L2 U2 R
F' L2 B2 D2 U2 R D
F' L2 B2 D2 U2 R D'
F' L2 B2 D2 U2 R D2
F2 L2 B2 U2 B' R' B2
B' L2 B2 F' U2 R F2
F' L2 B2 F2 L' F2 U2
F2 L2 B2 F U2 B R
F2 L2 B2 F' L' U2 B
F L2 B2 U2 R' D2 B2
F L2 B2 U2 D2 R' B2
U2 L2 B2 F' U2 L2 R
U2 L2 B2 F' U2 R L2
F L2 B2 D2 U2 R' B2
F L2 B2 F2 L U2 R'
F L2 B2 F2 L' U2 R'
F L2 B2 F2 L2 U2 R'
F L2 B2 F2 U2 R' D
F L2 B2 F2 U2 R' D'
F L2 B2 F2 U2 R' D2
F L2 B2 F2 U2 D R'
F L2 B2 F2 U2 D' R'
F L2 B2 F2 U2 D2 R'
F L2 B2 F2 D U2 R'
F L2 B2 F2 D' U2 R'
F L2 B2 F2 D2 U2 R'
R2 U D2 L2 F2 B R'
R2 U D2 L2 B R' F2
R2 U D2 L2 B F2 R'
R2 U D2 F2 L2 B R'
R2 U D2 F2 B L2 R'
R2 U D2 F2 B R' L2
R2 U D2 B L2 R' F2
R2 U D2 B L2 F2 R'
R2 U D2 B R' L2 F2
R2 U D2 B R' F2 L2
R2 U D2 B F2 L2 R'
R2 U D2 B F2 R' L2
F R L' F2 R' B2 U2
F R L' F2 B2 U2 L
F R L' B2 F2 U2 L
F' R U2 R' B2 U2 B2
F' R U2 B2 U2 L B2
R' U B2 R F' U2 R
F' R D2 R' U2 R F2
U2 R D2 R F2 B R'
U2 R D2 R B R' F2
U2 R D2 R B F2 R'
F' R D2 F2 D2 B2 L
U2 R D2 F2 R B R'
B2 R F L' R' F' U2
B2 R F R' L' F' U2
F R D2 F2 B2 L R
F R D2 F2 B2 R L
F2 R F R' B2 U2 R2
F R D2 B2 F2 L R
F R D2 B2 F2 R L
U2 R F D2 F2 R B
F2 R F B2 U2 L R
F2 R F B2 U2 R L
B2 R F' R' U2 R2 B
B2 R F' R' F' U2 R2
U2 R F' R D2 F2 B
U2 R F' R D2 B F2
R' U' R F' B2 U2 R
U2 R F' D2 R F2 B
U2 R F' D2 R B F2
R' U' R B2 F' U2 R
B2 R F2 R' F' L' U2
F' R F2 D2 F2 B2 L
F' R F2 D2 B2 L F2
F' R F2 D2 B2 F2 L
F R F2 R' B2 U2 R2
F R F2 B2 U2 L R
F R F2 B2 U2 R L
R2 U' R2 F' B2 U2 R
R2 U' R2 B2 F' U2 R
F' R B2 R U2 L R'
F' R B2 R U2 R' L
F' R B2 R' U2 L R
F' R B2 R' U2 R L
F' R B2 R2 U2 L R2
F' R B2 R2 U2 R2 L
F R B2 L' F2 U2 L2
F2 R B2 F U2 L R
F2 R B2 F U2 R L
F R B2 F2 U2 L R
F R B2 F2 U2 R L
F' R' L B2 R U2 R
R2 U' D2 L2 F2 B R'
R2 U' D2 L2 B R' F2
R2 U' D2 L2 B F2 R'
R2 U' D2 F2 L2 B R'
R2 U' D2 F2 B L2 R'
R2 U' D2 F2 B R' L2
R2 U' D2 B L2 R' F2
R2 U' D2 B L2 F2 R'
R2 U' D2 B R' L2 F2
R2 U' D2 B R' F2 L2
R2 U' D2 B F2 L2 R'
R2 U' D2 B F2 R' L2
F' R' L' B2 R U2 R
F R' L' F2 B2 U2 L'
F R' L' B2 R F2 U2
F R' L' B2 F2 U2 L'
F' R' L2 B2 R U2 R
R' U' B2 R F' U2 R
F' R' D2 L2 R U2 F2
F' R' D2 L2 U2 F2 L'
F' R' D2 R L2 U2 F2
F R' D2 F2 L' R B2
F R' D2 F2 L' B2 R
F R' D2 F2 R L' B2
F R' D2 F2 R B2 L'
F R' D2 F2 B2 L' R
F R' D2 F2 B2 R L'
F R' D2 B2 F2 L' R
F R' D2 B2 F2 R L'
U2 R' F' R' B R2 F'
D2 R' F2 L' R' B R'
R' U2 R F' B2 U2 R
D2 R' F2 L' B R' B
D2 R' F2 R' L' B R'
