F' U' L2 F2 R
B2 U' R' F L2
B2 U' F L2 R'
B2 U' F R' L2
U' F' L2 F2 R
D' B2 U' R' F
D' B2 U' F R'
U' F L' R2 D2 R2 L'
U D2 B2 R2 U2 R F
U' F L' U2 L2 U2 L
D U2 B2 F2 U F' R'
U' F L' D L' D R2
U' F L' D' L' D' R2
U' F L' D2 L' R2 D
U' F L' D2 L' R2 D'
U' F L' D2 L' R2 D2
U' F L' D2 R2 L' D
U' F L' D2 R2 L' D'
U' F L' D2 R2 L' D2
U' F L' D2 R2 D L'
U' F L' D2 R2 D' L'
U' F L' D2 R2 D2 L'
B' U2 F L2 R D' B2
B' U2 F L2 D' R B2
B' U2 F L2 D' B2 R
B' U2 F R L2 D' B2
U' F L2 R U2 L' U2
U' F L2 R F2 R F2
U' F L2 R' U2 L' U2
U' F L2 R' F2 R F2
U' F L2 R2 U2 L' U2
B2 U2 F L2 R' D' B2
U' F L2 R2 F2 R F2
B2 U2 F L2 D' R' B2
U' F L2 U F2 U' R
B2 U2 F R' L2 D' B2
U' F L2 U2 L' U2 D
U' F L2 U2 L' U2 D'
U' F L2 U2 L' U2 D2
U' F L2 U2 L' D U2
U' F L2 U2 L' D' U2
U' F L2 U2 L' D2 U2
U' F L2 U2 D L' U2
U' F L2 U2 D' L' U2
U' F L2 U2 D2 L' U2
U' F L2 D U2 L' U2
U' F L2 D F2 R F2
U' F L2 D' U2 L' U2
U' F L2 D' F2 R F2
U F L F' U2 F L
U' F L2 D2 U2 L' U2
U' F L2 D2 F2 R F2
F2 U2 F U L2 F2 R
U' F L2 F2 R F2 D
U' F L2 F2 R F2 D'
U' F L2 F2 R F2 D2
U' F L2 F2 R' F2 R2
U' F L2 F2 R2 F2 R'
U' F R L' D2 L' R2
U' F R L' D2 R2 L'
U' F R L2 U2 L' U2
U' F R L2 F2 R F2
B' U2 F' U F2 L2 R
B' U2 F' U F2 R L2
U' F R U2 L U2 L
U F L' D2 L' R2 B
U F L' D2 R2 L' B
U F L' D2 R2 B L'
B2 U2 F' U L2 R' F2
B2 U2 F' U L2 F2 R'
B2 U2 F' U R' L2 F2
B2 U2 F' U R' F2 L2
B2 U2 F' U F2 L2 R'
B2 U2 F' U F2 R' L2
U' F R F2 L2 F2 R
U' F R B2 L2 R' B2
U' F R B2 R' L2 B2
U' F R B2 R' B2 L2
U' F R' L' D2 L' R2
U' F R' L' D2 R2 L'
B' U2 F2 U L2 F' R
U' F R' L2 U2 L' U2
B' U2 F2 U F' L2 R
B' U2 F2 U F' R L2
U' F R' L2 F2 R F2
U F L2 U2 L' F' U2
U' F R' U2 L U2 L
B2 U2 F2 U L2 F' R'
B2 U2 F2 U F' L2 R'
B2 U2 F2 U F' R' L2
U' F R' F2 L2 F2 R
U' F R' B2 L2 R' B2
U' F R' B2 R' L2 B2
U' F R' B2 R' B2 L2
U' F R2 L' D2 L' R2
U' F R2 L' D2 R2 L'
U' F R2 L2 U2 L' U2
U' F R2 L2 F2 R F2
U' F R2 U2 L U2 L
D' F R2 D B2 L2 R'
D' F R2 D B2 R' L2
U' F R2 F2 L2 F2 R
U' F R2 B2 L2 R' B2
U' F R2 B2 R' L2 B2
U' F R2 B2 R' B2 L2
B U2 B U R' F L2
B U2 B U F L2 R'
B U2 B U F R' L2
U' F U D' B2 U' R'
U F R' B2 L2 R' B
U F R' B2 R' L2 B
U F R' B2 R' B L2
U' F U B2 U' L2 R'
U' F U B2 U' R' L2
U2 F U L2 D F2 R
F' U2 B2 U L2 R' F2
F' U2 B2 U L2 F2 R'
F' U2 B2 U R' L2 F2
F' U2 B2 U R' F2 L2
F' U2 B2 U F2 L2 R'
F' U2 B2 U F2 R' L2
F2 U2 B2 U L2 F' R'
F2 U2 B2 U F' L2 R'
F2 U2 B2 U F' R' L2
U F R2 B2 R' B' L2
U' F U' B2 U L2 R'
U' F U' B2 U R' L2
U' F U2 L R U2 L
U' F U2 L R' U2 L
U' F U2 L R2 U2 L
U' F U2 L U2 L D
U' F U2 L U2 L D'
U' F U2 L U2 L D2
U' F U2 L U2 D L
U' F U2 L U2 D' L
U' F U2 L U2 D2 L
U' F U2 L D U2 L
U' F U2 L D' U2 L
U' F U2 L D2 U2 L
U' F U2 R L U2 L
U' F U2 R' L U2 L
U' F U2 R2 L U2 L
U' F U2 D2 L R2 U2
U' F U2 D2 R2 L U2
U F U2 L F' U2 L
U' F D' U B2 U' R'
U F U2 F' L U2 L
U' F D2 L' D2 L2 R2
U' F D2 L' D2 R2 L2
R2 F D B2 R' D' L2
R2 F D B2 D' L2 R'
R2 F D B2 D' R' L2
U' F D2 U2 L R2 U2
U' F D2 U2 R2 L U2
U' F D2 B2 R' B2 L
U' F B' L2 B' R' B2
U' F B2 L' R' B2 L'
U' F B2 L2 R B2 R2
U' F B2 L2 R' B2 D
U' F B2 L2 R' B2 D'
U' F B2 L2 R' B2 D2
U' F B2 L2 R2 B2 R
U' F B2 R L2 B2 R2
U' F B2 R B2 L2 R2
U' F B2 R B2 R2 L2
U' F B2 R' L' B2 L'
U' F B2 R' L2 B2 D
U' F B2 R' L2 B2 D'
U' F B2 R' L2 B2 D2
R' F B2 L2 D R' B
U' F B2 R' B L2 B
U' F B2 R' B2 L2 D
U' F B2 R' B2 L2 D'
U' F B2 R' B2 L2 D2
U' F B2 R2 L2 B2 R
U' F B2 R2 B2 L2 R
U' F B2 R2 B2 R L2
U F B L2 R2 B R'
U F B R2 L2 B R'
U F B R2 B L2 R'
U F B R2 B R' L2
U2 F B2 L2 R' D' B2
U2 F B2 L2 D' R' B2
U2 F B2 R' L2 D' B2
R2 F B2 L2 D R' B2
B2 D U' R' D' F L2
U F B2 L2 R2 B R
B' D U2 F2 U F' R
U F B2 R2 L2 B R
U F B2 R2 B L2 R
U F B2 R2 B R L2
B2 D U2 F2 U F' R'
U' F' L2 R F2 R D
U' F' L2 R F2 R D'
U' F' L2 R F2 R D2
U' F' L2 R F2 D R
U' F' L2 R F2 D' R
U' F' L2 R F2 D2 R
U' F' L2 R' F2 R D
U' F' L2 R' F2 R D'
U' F' L2 R' F2 R D2
U' F' L2 R' F2 D R
U' F' L2 R' F2 D' R
U' F' L2 R' F2 D2 R
U' F' L2 R2 F2 R D
U' F' L2 R2 F2 R D'
U' F' L2 R2 F2 R D2
U' F' L2 R2 F2 D R
U' F' L2 R2 F2 D' R
U' F' L2 R2 F2 D2 R
U' F' L2 U2 L' U2 F2
U F' L U2 L F2 B'
U F' L U2 L B' F2
U F' L U2 F2 L B'
U' F' L2 F R F R
U' F' L2 F R' F R
U' F' L2 F R2 F R
U' F' L2 F D F R
U' F' L2 F D' F R
U' F' L2 F D2 F R
U' F' L2 F2 R2 D R'
U' F' L2 F2 R2 D' R'
U' F' L2 F2 R2 D2 R'
U' F' L2 F2 D R D
U' F' L2 F2 D R D'
U' F' L2 F2 D R D2
U' F' L2 F2 D' R D
U' F' L2 F2 D' R D'
U' F' L2 F2 D' R D2
U' F' L2 F2 D2 R D
U' F' L2 F2 D2 R D'
U' F' L2 F2 D2 R D2
U' F' L2 F2 B R B'
U' F' L2 F2 B2 R B2
U' F' L2 B F2 R B'
U' F' L2 B2 F2 R B2
U' F' R L2 F2 R D
U' F' R L2 F2 R D'
U' F' R L2 F2 R D2
U' F' R L2 F2 D R
U' F' R L2 F2 D' R
U' F' R L2 F2 D2 R
D' F' L2 B2 U' F2 R
U2 F' L2 F2 R D' B2
U2 F' L2 F2 D' R B2
U2 F' L2 F2 D' B2 R
U F' L2 R F2 R B'
U F' L2 R F2 B' R
U F' L2 R B' F2 R
R2 F' L2 F2 D R B2
R2 F' L2 F2 D B2 R
U' F' R' L2 F2 R D
U' F' R' L2 F2 R D'
U' F' R' L2 F2 R D2
U' F' R' L2 F2 D R
U' F' R' L2 F2 D' R
U' F' R' L2 F2 D2 R
U F' L2 R' F2 R B'
U F' L2 R' F2 B' R
U2 F' R U L2 F2 R
U F' L2 R' B' F2 R
U F' L2 R2 F2 R B'
U F' L2 R2 F2 B' R
U F' L2 R2 B' F2 R
U F' L2 F2 R D B'
U F' L2 F2 R D' B'
U F' L2 F2 R D2 B'
U F' L2 F2 R B' D
U F' L2 F2 R B' D'
U F' L2 F2 R B' D2
U F' L2 F2 R' B' R2
U F' L2 F2 D R B'
U F' L2 F2 D B' R
U F' L2 F2 D' R B'
U F' L2 F2 D' B' R
U F' L2 F2 D2 R B'
U F' L2 F2 D2 B' R
U F' L2 F2 B R B2
U F' L2 F2 B' R D
U F' L2 F2 B' R D'
U F' L2 F2 B' R D2
U F' L2 F2 B' D R
U F' L2 F2 B' D' R
U F' L2 F2 B' D2 R
U F' L2 B F2 R B2
U F' L2 B' R F2 R
U F' L2 B' R' F2 R
U F' L2 B' R2 F2 R
U F' L2 B' F2 R D
U F' L2 B' F2 R D'
U F' L2 B' F2 R D2
U F' L2 B' F2 D R
U F' L2 B' F2 D' R
U F' L2 B' F2 D2 R
R F' L2 F2 R D B2
U' F' R2 L2 F2 R D
U' F' R2 L2 F2 R D'
U' F' R2 L2 F2 R D2
U' F' R2 L2 F2 D R
U' F' R2 L2 F2 D' R
U' F' R2 L2 F2 D2 R
U2 F' R' U L2 F2 R
U F' R L2 F2 R B'
U F' R L2 F2 B' R
U F' R L2 B' F2 R
U2 F' R2 U L2 F2 R
D2 F' U L R2 U2 F2
U F' R' L2 F2 R B'
U F' R' L2 F2 B' R
U F' R' L2 B' F2 R
D2 F' U R2 L U2 F2
R2 F' R2 U' L2 F2 R
R F' R' U' L2 F2 R
U2 F' U L2 R F2 R
U2 F' U L2 R' F2 R
U2 F' U L2 R2 F2 R
U2 F' U L2 F2 R D
U2 F' U L2 F2 R D'
U2 F' U L2 F2 R D2
U2 F' U L2 F2 D R
U2 F' U L2 F2 D' R
U2 F' U L2 F2 D2 R
U2 F' U R L2 F2 R
U F' R2 L2 F2 R B'
U F' R2 L2 F2 B' R
U F' R2 L2 B' F2 R
U2 F' U R' L2 F2 R
R' F' U' L2 F2 R B
U2 F' U R2 L2 F2 R
U' F' U2 L U2 L F2
U' F' U2 L U2 F2 L
U2 F' U' L U2 L F2
U2 F' U' L U2 F2 L
U F' U L2 F2 R B'
U F' U L2 F2 B' R
U F' U L2 B' F2 R
U F' U' L2 F2 R B'
U F' U' L2 F2 B' R
U F' U' L2 B' F2 R
U F' U2 L2 F2 R B'
U F' U2 L2 F2 B' R
U F' U2 L2 B' F2 R
F' D' L2 F2 B2 U' R
F' D' L2 B2 U L' U2
F' D' L2 B2 F2 U' R
U' F' B2 L2 R' F2 B2
U' F' B2 L2 R' B2 F2
U' F' B2 L2 F2 R' B2
U' F' B2 R' L2 F2 B2
U' F' B2 R' L2 B2 F2
D' F' B2 L U' R' F2
D' F' B2 L U' F2 R'
U' F' B2 R' F2 L2 B2
U' F' B2 R' F2 B2 L2
U' F' B2 R' B2 L2 F2
U' F' B2 R' B2 F2 L2
D' F' B2 L' U' R' F2
D' F' B2 L' U' F2 R'
D' F' B2 L2 U' R' F2
D' F' B2 L2 U' F2 R'
D' F' B2 U' R F2 R2
D' F' B2 U' R' F2 D
D' F' B2 U' R' F2 D'
D' F' B2 U' R' F2 D2
D' F' B2 U' F R' F
D' F' B2 U' F2 R' D
D' F' B2 U' F2 R' D'
D' F' B2 U' F2 R' D2
D' F' B2 U' F2 D R'
D' F' B2 U' F2 D' R'
D' F' B2 U' F2 D2 R'
D' F' B2 D' L2 U' R'
F D' R2 D B2 L2 R'
F D' R2 D B2 R' L2
U' F2 L F L F2 R
U2 F' B2 U L2 R' F2
U2 F' B2 U L2 F2 R'
U2 F' B2 U R' L2 F2
U2 F' B2 U R' F2 L2
U2 F' B2 U F2 L2 R'
U2 F' B2 U F2 R' L2
U F' B' L2 F2 B' R'
U F' B' L2 B' R' F2
U F' B' L2 B' F2 R'
B2 D' U' R' D F L2
B2 D' U' R' F D L2
B2 D' U' F R' D L2
B2 D' U' F D L2 R'
B2 D' U' F D R' L2
U F' B2 L2 R' F2 B'
U F' B2 L2 R' B' F2
U' F2 L' D2 L' F' R2
U F' B2 L2 F2 R' B'
U F' B2 R' L2 F2 B'
U F' B2 R' L2 B' F2
U' F2 L2 R' F2 R F'
U' F2 L2 U2 L' U2 F'
U' F2 L2 D F2 R F
U' F2 L2 D' F2 R F
U' F2 L2 D2 F2 R F
U' F2 L2 F2 R D F
U' F2 L2 F2 R D' F
U' F2 L2 F2 R D2 F
U' F2 L2 F2 R F D
U' F2 L2 F2 R F D'
U' F2 L2 F2 R F D2
U' F2 L2 F2 R' F R2
U' F2 L2 F2 R2 F R'
U' F2 L2 F2 D R F
U' F2 L2 F2 D' R F
U' F2 L2 F2 D2 R F
F' D' F B2 L2 U' R'
U F2 L F2 U2 F L
L2 F2 L2 U' R F L2
F2 D' F B2 U' R' F2
F2 D' F B2 U' F2 R'
F' D' F' B2 L2 U' R'
U' F2 R' L2 F2 R F'
F D' F B2 U' F' R'
F' D' F2 B2 L2 U' R'
F' D' B L2 B U' R'
F2 D' F2 B2 U' R' F
F2 D' F2 B2 U' F R'
F D' F' B2 U' R' F
F D' F' B2 U' F R'
D2 F2 U L R2 B U2
F D' F2 B2 U' R' F2
F D' F2 B2 U' F2 R'
D2 F2 U R2 L B U2
F' D' B2 L2 U' R' D
F' D' B2 L2 U' R' D'
F' D' B2 L2 U' R' D2
F' D' B2 L2 U' D R'
F' D' B2 L2 U' D' R'
F' D' B2 L2 U' D2 R'
F' D' B2 L2 D U' R'
F' D' B2 L2 D' U' R'
F' D' B2 L2 D2 U' R'
F' D' B2 L2 F U' R'
F' D' B2 L2 F' U' R'
F' D' B2 L2 F2 U' R'
U2 F2 U L2 F2 R F
F2 D' B2 L U' F' R'
F2 D' B2 L' U' F' R'
F2 D' B2 L2 U' F' R'
F' D' B2 U' R' D F2
F' D' B2 U' D R' F2
F' D' B2 U' D F2 R'
F' D' B2 D U' R' F2
F' D' B2 D U' F2 R'
U2 F2 U F L2 F2 R
D F2 U L U2 L' F'
F' D' B2 F L2 U' R'
F2 D' B2 U' D F' R'
F2 D' B2 U' D' F' R'
F2 D' B2 U' D2 F' R'
F2 D' B2 U' F R' F2
F2 D' B2 U' F' R' D
F2 D' B2 U' F' R' D'
F2 D' B2 U' F' R' D2
F2 D' B2 U' F' D R'
F2 D' B2 U' F' D' R'
F2 D' B2 U' F' D2 R'
F2 D' B2 U' F2 R' F
F' D' B2 F' L2 U' R'
F' D' B2 F2 L2 U' R'
F2 D' B2 D U' F' R'
U' F2 U2 L U2 L F'
U' F2 U2 L U2 F' L
F2 D' B2 D' U' F' R'
U2 F2 U' L U2 L F'
U2 F2 U' L U2 F' L
F2 D' B2 D2 U' F' R'
F2 D' B2 F U' R' F2
F2 D' B2 F U' F2 R'
F2 D' B2 F2 U' R' F
F2 D' B2 F2 U' F R'
F D' B2 F U' F' R'
F D' B2 F' U' R' F
F D' B2 F' U' F R'
F D' B2 F2 U' R' F2
F D' B2 F2 U' F2 R'
D2 F2 D B2 U' F' R'
U' F2 B2 L2 F' R' B2
D' F2 B2 L U' F' R'
F' D2 U L R2 B2 U2
D' F2 B2 L' U' F' R'
F' D2 U L B2 R2 U2
D' F2 B2 L2 U' F' R'
F' D2 U R2 L B2 U2
F2 D2 U L R2 B U2
F' D2 U R2 B2 U2 R'
D' F2 B2 U' D F' R'
D' F2 B2 U' D' F' R'
D' F2 B2 U' D2 F' R'
D' F2 B2 U' F R' F2
D' F2 B2 U' F' R' D
D' F2 B2 U' F' R' D'
D' F2 B2 U' F' R' D2
D' F2 B2 U' F' D R'
D' F2 B2 U' F' D' R'
D' F2 B2 U' F' D2 R'
D' F2 B2 U' F2 R' F
B2 D2 U R2 U2 R F
D' F2 B2 D U' F' R'
D' F2 B2 D' U' F' R'
F2 D2 U R2 L B U2
D' F2 B2 D2 U' F' R'
F' D2 U B2 R2 U2 R
U2 F2 B2 U L2 F' R'
U2 F2 B2 U F' L2 R'
U2 F2 B2 U F' R' L2
B2 D2 U' F D2 L2 R'
B2 D2 U' F D2 R' L2
B D2 U' F' R F2 L'
B D2 F' U' R F2 L'
U B L2 B' L U2 L'
B2 F L2 R' U R U'
B2 F L2 R2 D R B2
B2 F L2 R2 D B2 R
B2 F R' L2 U R U'
B2 F R' U R U' L2
B2 F R2 L2 D R B2
B2 F R2 L2 D B2 R
U B F L2 R2 B R'
U B F R2 L2 B R'
U B F R2 B L2 R'
U B F R2 B R' L2
F2 B U' L2 D2 F' R
U B' R U2 F L2 R
U B' R U2 F R L2
B2 F' L U' L R' F2
B2 F' L U' L F2 R'
B2 F' L U' R' L F2
B2 F' L U' R' F2 L
B2 F' L U' F2 L R'
B2 F' L U' F2 R' L
U B' R' U2 F L2 R
U B' R' U2 F R L2
B2 F' L' U' L' R' F2
B2 F' L' U' L' F2 R'
B2 F' L' U' R' L' F2
U B' R2 U2 F L2 R
U B' R2 U2 F R L2
U' B' U2 F L2 B R
U' B' U2 F B L2 R
U' B' U2 F B R L2
U' B' U2 B F L2 R
U' B' U2 B F R L2
D' B' D B' U' R' F
D' B' D B' U' F R'
D B' U2 F2 U F' R
U B' U2 R F L2 R
U B' U2 R F R L2
U B' U2 R' F L2 R
U B' U2 R' F R L2
U B' U2 R2 F L2 R
U B' U2 R2 F R L2
U B' U2 F L2 R D
U B' U2 F L2 R D'
U B' U2 F L2 R D2
U B' U2 F L2 D R
U B' U2 F L2 D' R
U B' U2 F L2 D2 R
U B' U2 F R L2 D
U B' U2 F R L2 D'
U B' U2 F R L2 D2
D' B' D' B' U' R' F
D' B' D' B' U' F R'
U B' U2 F2 L2 F' R
U' B' F L2 B' R' B2
D' B' D2 B' U' R' F
D' B' D2 B' U' F R'
B2 F' U' L R' F2 L
B2 F' U' L F2 L R'
B2 F' U' L F2 R' L
B2 F' U' L2 R F2 R2
B2 F' U' L2 R' F2 D
B2 F' U' L2 R' F2 D'
B2 F' U' L2 R' F2 D2
B2 F' U' L2 F R' F
B2 F' U' L2 F2 R' D
B2 F' U' L2 F2 R' D'
B2 F' U' L2 F2 R' D2
B2 F' U' L2 F2 D R'
B2 F' U' L2 F2 D' R'
B2 F' U' L2 F2 D2 R'
B2 F' U' R L2 F2 R2
B2 F' U' R F2 L2 R2
B2 F' U' R F2 R2 L2
B2 F' U' R' L F2 L
F2 B' U' L2 D F' R
B2 F' U' R' L2 F2 D
B2 F' U' R' L2 F2 D'
B2 F' U' R' L2 F2 D2
B2 F' U' R' F' L2 F'
B2 F' U' R' F2 L2 D
B2 F' U' R' F2 L2 D'
B2 F' U' R' F2 L2 D2
B2 F' U' F R' F L2
B2 F' U' F' L2 F' R'
B2 F' U' F2 L2 R' D
B2 F' U' F2 L2 R' D'
B2 F' U' F2 L2 R' D2
B2 F' U' F2 L2 D R'
B2 F' U' F2 L2 D' R'
B2 F' U' F2 L2 D2 R'
B2 F' U' F2 R' L2 D
B2 F' U' F2 R' L2 D'
B2 F' U' F2 R' L2 D2
U B' D2 R2 U2 F R
U B' F' L2 F2 B' R'
U B' F' L2 B' R' F2
U B' F' L2 B' F2 R'
U' B2 L2 R B2 R2 F'
U' B2 R L2 B2 R2 F'
F' B2 L U' L R' F2
F' B2 L U' L F2 R'
F' B2 L U' R' L F2
F' B2 L U' R' F2 L
F' B2 L U' F2 L R'
F' B2 L U' F2 R' L
R' B2 R U' R2 F L2
R' B2 R U' F L2 R2
R' B2 R U' F R2 L2
U' B2 R F L2 R2 B2
U' B2 R F L2 B2 R2
U' B2 R F R2 L2 B2
U' B2 R F R2 B2 L2
B2 F2 L U' L F' R'
U' B2 R F B2 L2 R2
U' B2 R F B2 R2 L2
B2 F2 L U' F' L R'
B2 F2 L U' F' R' L
F2 B2 L U' L F' R'
F2 B2 L U' F' L R'
F2 B2 L U' F' R' L
U' B2 R B2 R2 F L2
U' B2 R B2 F L2 R2
U' B2 R B2 F R2 L2
U B2 L' U2 L' R' F'
U B2 L' U2 R' L' F'
F' B2 L' U' L' R' F2
F' B2 L' U' L' F2 R'
F' B2 L' U' R' L' F2
U2 B2 R U R2 F L2
U2 B2 R U F L2 R2
U2 B2 R U F R2 L2
U' B2 R' F L' B2 L'
U' B2 R' F L2 B2 D
U' B2 R' F L2 B2 D'
U' B2 R' F L2 B2 D2
B2 F2 L' U' L' F' R'
U' B2 R' F B L2 B
U' B2 R' F B2 L2 D
U' B2 R' F B2 L2 D'
U' B2 R' F B2 L2 D2
U' B2 R' F' L2 F2 B2
U' B2 R' F' L2 B2 F2
U' B2 R' F' B2 L2 F2
U' B2 R' F2 L2 F' B2
U' B2 R' F2 L2 B2 F'
F2 B2 L' U' L' F' R'
U' B2 R' F2 B2 L2 F'
U' B2 R' B F L2 B
R' B2 R' F L2 D B2
U' B2 R' B2 F L2 D
U' B2 R' B2 F L2 D'
U' B2 R' B2 F L2 D2
U' B2 R' B2 F' L2 F2
U' B2 R' B2 F2 L2 F'
U2 B2 R' F L2 D' B2
U' B2 R2 B2 R F L2
U B2 R U2 R2 F L2
U B2 R U2 F L2 R2
U B2 R U2 F R2 L2
U B2 R F L2 R2 B
U B2 R F R2 L2 B
U' B2 U R' F L2 B2
U B2 R F R2 B L2
U' B2 U R' F B2 L2
U' B2 U R' B2 F L2
U2 B2 R2 U R F L2
D' B2 U L' U2 R' F'
U' B2 U F L2 R' B2
U' B2 U F R' L2 B2
U' B2 U F R' B2 L2
D2 B2 U R2 U2 R F
F B2 L2 R' U R U'
R2 B2 R2 U' R F L2
F B2 L2 R2 D R B2
F B2 L2 R2 D B2 R
U' B2 U' R' F L2 B2
U' B2 U' R' F B2 L2
D' B2 U B U2 F R
U' B2 U' R' B2 F L2
U B2 R' F' L2 F2 B'
U B2 R' F' L2 B' F2
U2 B2 U R F L2 R2
U2 B2 U R F R2 L2
U2 B2 U R' F L2 D
U2 B2 U R' F L2 D'
U2 B2 U R' F L2 D2
U2 B2 U R' F' L2 F2
U' B2 U' F L2 R' B2
U2 B2 U R' F2 L2 F'
U' B2 U' F R' L2 B2
U' B2 U' F R' B2 L2
D' B2 U' R F R2 D
D' B2 U' R F R2 D'
D' B2 U' R F R2 D2
D' B2 U' R F' R2 F2
D' B2 U' R' D F D
D' B2 U' R' D F D'
D' B2 U' R' D F D2
D' B2 U' R' D' F D
D' B2 U' R' D' F D'
D' B2 U' R' D' F D2
D' B2 U' R' D2 F D
D' B2 U' R' D2 F D'
D' B2 U' R' D2 F D2
D' B2 U' R' F2 D F'
D' B2 U' R' F2 D' F'
D' B2 U' R' F2 D2 F'
D2 B2 U' D2 R' F L2
D2 B2 U' D2 F L2 R'
D2 B2 U' D2 F R' L2
U2 B2 U F L2 R' D
U2 B2 U F L2 R' D'
U2 B2 U F L2 R' D2
D' B2 U' R2 D R F
U2 B2 U F L2 D R'
U2 B2 U F L2 D' R'
U2 B2 U F L2 D2 R'
D' B2 U' R2 D' R F
D' B2 U' R2 D2 R F
U2 B2 U F R' L2 D
U2 B2 U F R' L2 D'
U2 B2 U F R' L2 D2
D' B2 U' D R F R2
D' B2 U' D R' D F
D' B2 U' D R' D' F
D' B2 U' D R' D2 F
D' B2 U' D R' F D
D' B2 U' D R' F D'
D' B2 U' D R' F D2
U2 B2 U F' L2 R' F2
D' B2 U' D F R' D
D' B2 U' D F R' D'
D' B2 U' D F R' D2
D' B2 U' D F D R'
D' B2 U' D F D' R'
U2 B2 U F' L2 F2 R'
D' B2 U' D F D2 R'
D' B2 U' D F' R' F2
D2 B2 U' F D2 L2 R'
D2 B2 U' F D2 R' L2
U2 B2 U F' R' L2 F2
U2 B2 U F' R' F2 L2
D' B2 U' D' R F R2
D' B2 U' D' R' D F
D' B2 U' D' R' D' F
D' B2 U' D' R' D2 F
D' B2 U' D' R' F D
D' B2 U' D' R' F D'
D' B2 U' D' R' F D2
D' B2 U' D' F R' D
D' B2 U' D' F R' D'
D' B2 U' D' F R' D2
D' B2 U' D' F D R'
D' B2 U' D' F D' R'
D' B2 U' D' F D2 R'
D' B2 U' D' F' R' F2
U2 B2 U F2 L2 F' R'
D' B2 U' D2 R F R2
D' B2 U' D2 R' D F
D' B2 U' D2 R' D' F
D' B2 U' D2 R' D2 F
D' B2 U' D2 R' F D
D' B2 U' D2 R' F D'
D' B2 U' D2 R' F D2
D' B2 U' D2 F R' D
D' B2 U' D2 F R' D'
D' B2 U' D2 F R' D2
D' B2 U' D2 F D R'
D' B2 U' D2 F D' R'
D' B2 U' D2 F D2 R'
U B2 R2 U2 R F L2
D' B2 U' D2 F' R' F2
D' B2 U' F R2 D R
D' B2 U' F R2 D' R
D' B2 U' F R2 D2 R
D' B2 U' F D R' D
D' B2 U' F D R' D'
D' B2 U' F D R' D2
D' B2 U' F D' R' D
D' B2 U' F D' R' D'
D' B2 U' F D' R' D2
D' B2 U' F D2 R' D
D' B2 U' F D2 R' D'
D' B2 U' F D2 R' D2
D' B2 U' F' R F2 R2
D' B2 U' F' R' F2 D
D' B2 U' F' R' F2 D'
D' B2 U' F' R' F2 D2
D' B2 U' F2 D F' R'
D' B2 U' F2 D' F' R'
D' B2 U' F2 D2 F' R'
U' B2 U2 R' F L2 B2
U' B2 U2 R' F B2 L2
U' B2 U2 R' B2 F L2
U' B2 U2 F L2 R' B2
U' B2 U2 F R' L2 B2
U' B2 U2 F R' B2 L2
D' B2 U2 R U R2 F
D' B2 U2 R U F R2
D' B2 U2 R2 U R F
F B2 R' L2 U R U'
F B2 R' U R U' L2
D B2 U' R' D' F L2
D B2 U' D' R' F L2
D B2 U' D' F L2 R'
D B2 U' D' F R' L2
B' F2 U' L2 D F' R
D' B2 D U' R F R2
D' B2 D U' R' D F
D' B2 D U' R' D' F
D' B2 D U' R' D2 F
D' B2 D U' R' F D
D' B2 D U' R' F D'
D' B2 D U' R' F D2
D' B2 D U' F R' D
D' B2 D U' F R' D'
D' B2 D U' F R' D2
D' B2 D U' F D R'
D' B2 D U' F D' R'
D' B2 D U' F D2 R'
D' B2 D U' F' R' F2
B2 F2 U F' L2 R' B'
B2 F2 U F' R' L2 B'
F B2 R2 L2 D R B2
F B2 R2 L2 D B2 R
D' B2 D F' U' R' F2
D' B2 D F' U' F2 R'
F' B2 U' L R' F2 L
F2 B2 U F' L2 R' B'
F2 B2 U F' R' L2 B'
F' B2 U' L F2 L R'
F' B2 U' L F2 R' L
D' B2 D F2 U' F' R'
F' B2 U' L2 R F2 R2
F' B2 U' L2 R' F2 D
F' B2 U' L2 R' F2 D'
F' B2 U' L2 R' F2 D2
F' B2 U' L2 F R' F
F' B2 U' L2 F2 R' D
F' B2 U' L2 F2 R' D'
F' B2 U' L2 F2 R' D2
F' B2 U' L2 F2 D R'
F' B2 U' L2 F2 D' R'
F' B2 U' L2 F2 D2 R'
F' B2 U' R L2 F2 R2
B2 F2 U' L F' L R'
B2 F2 U' L F' R' L
F' B2 U' R F2 L2 R2
F' B2 U' R F2 R2 L2
F' B2 U' R' L F2 L
F' B2 U' R' L2 F2 D
F' B2 U' R' L2 F2 D'
F' B2 U' R' L2 F2 D2
F' B2 U' R' F' L2 F'
F' B2 U' R' F2 L2 D
F' B2 U' R' F2 L2 D'
F' B2 U' R' F2 L2 D2
B2 F2 U' L2 D F' R'
B2 F2 U' L2 D' F' R'
B2 F2 U' L2 D2 F' R'
B2 F2 U' L2 F R' F2
B2 F2 U' L2 F' R' D
B2 F2 U' L2 F' R' D'
B2 F2 U' L2 F' R' D2
B2 F2 U' L2 F' D R'
B2 F2 U' L2 F' D' R'
B2 F2 U' L2 F' D2 R'
B2 F2 U' L2 F2 R' F
F2 B2 U' L F' L R'
F2 B2 U' L F' R' L
F2 B2 U' L2 D F' R'
F2 B2 U' L2 D' F' R'
F2 B2 U' L2 D2 F' R'
F2 B2 U' L2 F R' F2
F2 B2 U' L2 F' R' D
