U2 F B U'
U2 B F U'
U2 D F B U'
U2 D B F U'
U2 D' F B U'
U2 D' B F U'
D U2 F B U'
D' U2 F B U'
D U2 B F U'
U2 D2 F B U'
D2 U2 F B U'
D' U2 B F U'
U2 D2 B F U'
D2 U2 B F U'
B' U2 F B2 U'
B2 U2 F B' U'
F' U2 F2 B U'
F2 U2 F' B U'
F' U2 B F2 U'
B' U2 B2 F U'
F2 U2 B F' U'
B2 U2 B' F U'
U2 F D B U'
U2 F D' B U'
U2 F D2 B U'
U2 F B U' D
U2 F B U' D'
U2 F B U' D2
U2 F B D U'
U2 F B D' U'
U2 F B D2 U'
U2 B D F U'
U2 B D' F U'
U2 B D2 F U'
U2 B F U' D
U2 B F U' D'
U2 B F U' D2
U2 B F D U'
U2 B F D' U'
U2 B F D2 U'
D' U2 F L B L' U'
B' U2 L B2 L' F U'
F' U2 L B L' F2 U'
D' U2 F L2 B L2 U'
D2 U2 F L B L' U'
D2 U2 F L2 B L2 U'
F2 U2 L B L' F' U'
D' U2 F D B U' D
D' U2 F D B U' D'
D' U2 F D B U' D2
D' U2 F D B D U'
D' U2 F D B D' U'
D' U2 F D B D2 U'
D' U2 F D' B U' D
D' U2 F D' B U' D'
D' U2 F D' B U' D2
D' U2 F D' B D U'
D' U2 F D' B D' U'
D' U2 F D' B D2 U'
D' U2 F D2 B U' D
D' U2 F D2 B U' D'
D' U2 F D2 B U' D2
D' U2 F D2 B D U'
D' U2 F D2 B D' U'
D' U2 F D2 B D2 U'
D2 U2 F D B U' D
D2 U2 F D B U' D'
D2 U2 F D B U' D2
D2 U2 F D B D U'
D2 U2 F D B D' U'
D2 U2 F D B D2 U'
U2 D2 F L B L' U'
D2 U2 F D' B U' D
D2 U2 F D' B U' D'
D2 U2 F D' B U' D2
D2 U2 F D' B D U'
D2 U2 F D' B D' U'
D2 U2 F D' B D2 U'
D' U2 F B' U' D L2
D' U2 F B' D U' L2
D2 U2 F D2 B U' D
D2 U2 F D2 B U' D'
D2 U2 F D2 B U' D2
D2 U2 F D2 B D U'
D2 U2 F D2 B D' U'
D2 U2 F D2 B D2 U'
U2 D2 F L2 B L2 U'
D' U2 F B2 D B' U'
D' U2 F B2 D' B' U'
D' U2 F B2 D2 B' U'
D2 U2 F B' U' D L2
D2 U2 F B' D U' L2
F' U2 L' F2 L B U'
D2 U2 F B2 D B' U'
D2 U2 F B2 D' B' U'
D2 U2 F B2 D2 B' U'
F2 U2 L' F' L B U'
D U2 F L B L' U'
U2 D2 F D B U' D
U2 D2 F D B U' D'
U2 D2 F D B U' D2
U2 D2 F D B D U'
U2 D2 F D B D' U'
U2 D2 F D B D2 U'
D U2 F L2 B L2 U'
U2 D2 F D' B U' D
U2 D2 F D' B U' D'
U2 D2 F D' B U' D2
U2 D2 F D' B D U'
U2 D2 F D' B D' U'
U2 D2 F D' B D2 U'
U2 D2 F D2 B U' D
U2 D2 F D2 B U' D'
U2 D2 F D2 B U' D2
U2 D2 F D2 B D U'
U2 D2 F D2 B D' U'
U2 D2 F D2 B D2 U'
D' U2 F' D B U' R2
U2 D2 F B' U' D L2
U2 D2 F B' D U' L2
U2 D2 F B2 D B' U'
U2 D2 F B2 D' B' U'
U2 D2 F B2 D2 B' U'
D2 U2 F' D B U' R2
D' U2 F' B U' D R2
D' U2 F' B D U' R2
D U2 F D B U' D
D U2 F D B U' D'
D U2 F D B U' D2
D U2 F D B D U'
D U2 F D B D' U'
D2 U2 F' B U' D R2
D U2 F D B D2 U'
D2 U2 F' B D U' R2
D U2 F D' B U' D
D U2 F D' B U' D'
D U2 F D' B U' D2
D U2 F D' B D U'
D U2 F D' B D' U'
D U2 F D' B D2 U'
F' U2 L2 F2 L2 B U'
F' U2 L2 F2 B L2 U'
D U2 F D2 B U' D
D U2 F D2 B U' D'
D U2 F D2 B U' D2
D U2 F D2 B D U'
D U2 F D2 B D' U'
D U2 F D2 B D2 U'
F' U2 L2 B L2 F2 U'
F' U2 L2 B F2 L2 U'
D U2 F B' U' D L2
D U2 F B' D U' L2
F2 U2 L2 F' L2 B U'
D U2 F B2 D B' U'
D U2 F B2 D' B' U'
F2 U2 L2 F' B L2 U'
D U2 F B2 D2 B' U'
F2 U2 L2 B L2 F' U'
U2 D2 F' D B U' R2
F2 U2 L2 B F' L2 U'
R2 D2 F' U D R2 F2
R2 D2 F' U D F2 R2
U D2 F B U' F' B'
U D2 F B U' B' F'
U2 D2 F' B U' D R2
U2 D2 F' B D U' R2
D' U2 F2 D F' B U'
D' U2 F2 D B F' U'
R2 D2 F' U2 L2 F2 U'
R2 D2 F' U2 F2 L2 U'
D' U2 F2 D' F' B U'
D' U2 F2 D' B F' U'
R2 D2 F' D U R2 F2
R2 D2 F' D U F2 R2
B' U2 R F R' B2 U'
D' U2 F2 D2 F' B U'
D2 U2 F2 D F' B U'
D' U2 F2 D2 B F' U'
D2 U2 F2 D B F' U'
D' U2 F2 B D F' U'
D2 U2 F2 D' F' B U'
D' U2 F2 B D' F' U'
D' U2 F2 B D2 F' U'
D2 U2 F2 D' B F' U'
R2 D2 F' D2 R2 B2 U
R2 D2 F' D2 B2 R2 U
D2 U2 F2 D2 F' B U'
D2 U2 F2 D2 B F' U'
D U2 F' D B U' R2
D2 U2 F2 B D F' U'
D2 U2 F2 B D' F' U'
D2 U2 F2 B D2 F' U'
B2 U2 R F R' B' U'
F' U2 R F2 R' B U'
D U2 F' B U' D R2
D U2 F' B D U' R2
D' U2 B R F R' U'
D' U2 B R2 F R2 U'
D2 U2 B R F R' U'
U2 D2 F2 D F' B U'
U2 D2 F2 D B F' U'
U2 D2 F2 D' F' B U'
U2 D2 F2 D' B F' U'
D2 U2 B R2 F R2 U'
F U2 L2 B L2 F U'
U2 D2 F2 D2 F' B U'
U2 D2 F2 D2 B F' U'
U2 D2 F2 B D F' U'
U2 D2 F2 B D' F' U'
U2 D2 F2 B D2 F' U'
D' U2 B D F U' D
D' U2 B D F U' D'
D' U2 B D F U' D2
D' U2 B D F D U'
D' U2 B D F D' U'
D' U2 B D F D2 U'
D' U2 B D' F U' D
D' U2 B D' F U' D'
D' U2 B D' F U' D2
D' U2 B D' F D U'
D' U2 B D' F D' U'
D' U2 B D' F D2 U'
D' U2 B D2 F U' D
D' U2 B D2 F U' D'
D' U2 B D2 F U' D2
D' U2 B D2 F D U'
D' U2 B D2 F D' U'
D' U2 B D2 F D2 U'
D2 U2 B D F U' D
D2 U2 B D F U' D'
D2 U2 B D F U' D2
D2 U2 B D F D U'
D2 U2 B D F D' U'
D2 U2 B D F D2 U'
D2 U2 B D' F U' D
D2 U2 B D' F U' D'
D2 U2 B D' F U' D2
D2 U2 B D' F D U'
D2 U2 B D' F D' U'
D2 U2 B D' F D2 U'
D' U2 B F' U' D R2
D' U2 B F' D U' R2
D2 U2 B D2 F U' D
D2 U2 B D2 F U' D'
D2 U2 B D2 F U' D2
D2 U2 B D2 F D U'
D2 U2 B D2 F D' U'
D2 U2 B D2 F D2 U'
D' U2 B F2 D F' U'
D' U2 B F2 D' F' U'
D U2 F2 D F' B U'
D' U2 B F2 D2 F' U'
D U2 F2 D B F' U'
U2 D2 B R F R' U'
D2 U2 B F' U' D R2
D2 U2 B F' D U' R2
D U2 F2 D' F' B U'
D U2 F2 D' B F' U'
B' U2 R' B2 R F U'
D2 U2 B F2 D F' U'
D2 U2 B F2 D' F' U'
D2 U2 B F2 D2 F' U'
D U2 F2 D2 F' B U'
D U2 F2 D2 B F' U'
U2 D2 B R2 F R2 U'
D U2 F2 B D F' U'
D U2 F2 B D' F' U'
D U2 F2 B D2 F' U'
B2 U2 R' B' R F U'
U2 D2 B D F U' D
U2 D2 B D F U' D'
U2 D2 B D F U' D2
U2 D2 B D F D U'
U2 D2 B D F D' U'
U2 D2 B D F D2 U'
U2 D2 B D' F U' D
U2 D2 B D' F U' D'
U2 D2 B D' F U' D2
U2 D2 B D' F D U'
U2 D2 B D' F D' U'
U2 D2 B D' F D2 U'
D U2 B R F R' U'
U2 D2 B D2 F U' D
U2 D2 B D2 F U' D'
U2 D2 B D2 F U' D2
U2 D2 B D2 F D U'
U2 D2 B D2 F D' U'
U2 D2 B D2 F D2 U'
D' U2 B' D F U' L2
U2 D2 B F' U' D R2
U2 D2 B F' D U' R2
D U2 B R2 F R2 U'
U2 D2 B F2 D F' U'
U2 D2 B F2 D' F' U'
U2 D2 B F2 D2 F' U'
B' U2 R2 F R2 B2 U'
D2 U2 B' D F U' L2
B' U2 R2 F B2 R2 U'
D' U2 B' F U' D L2
D' U2 B' F D U' L2
D2 U2 B' F U' D L2
D U2 B D F U' D
D U2 B D F U' D'
D U2 B D F U' D2
D U2 B D F D U'
D U2 B D F D' U'
D U2 B D F D2 U'
D2 U2 B' F D U' L2
D U2 B D' F U' D
D U2 B D' F U' D'
D U2 B D' F U' D2
D U2 B D' F D U'
D U2 B D' F D' U'
D U2 B D' F D2 U'
B2 U2 R2 F R2 B' U'
B2 U2 R2 F B' R2 U'
B' U2 R2 B2 R2 F U'
D U2 B D2 F U' D
D U2 B D2 F U' D'
D U2 B D2 F U' D2
D U2 B D2 F D U'
D U2 B D2 F D' U'
D U2 B D2 F D2 U'
B' U2 R2 B2 F R2 U'
D U2 B F' U' D R2
L2 D2 B' U D L2 B2
D U2 B F' D U' R2
L2 D2 B' U D B2 L2
D U2 B F2 D F' U'
D U2 B F2 D' F' U'
D U2 B F2 D2 F' U'
B2 U2 R2 B' R2 F U'
B2 U2 R2 B' F R2 U'
L2 D2 B' U2 R2 B2 U'
L2 D2 B' U2 B2 R2 U'
U2 D2 B' D F U' L2
L2 D2 B' D U L2 B2
L2 D2 B' D U B2 L2
L2 D2 B' D2 L2 F2 U
U D2 B F U' F' B'
B' U2 D F U' L2 D
B' U2 D F U' L2 D'
B' U2 D F U' L2 D2
U D2 B F U' B' F'
L2 D2 B' D2 F2 L2 U
B' U2 D F D' B2 U'
B' U2 D F B U' L2
U2 D2 B' F U' D L2
B' U2 D F B' U' L2
B' U2 D F B2 U' L2
U2 D2 B' F D U' L2
D' U2 B2 D F B' U'
D' U2 B2 D B' F U'
D' U2 B2 D' F B' U'
D' U2 B2 D' B' F U'
D2 U2 B2 D F B' U'
D2 U2 B2 D B' F U'
D' U2 B2 D2 F B' U'
F' U2 D F B U' R2
D' U2 B2 D2 B' F U'
B' U2 D B F U' L2
D2 U2 B2 D' F B' U'
D2 U2 B2 D' B' F U'
F' U2 D F' B U' R2
D' U2 B2 F D B' U'
D' U2 B2 F D' B' U'
D' U2 B2 F D2 B' U'
B' U2 D B' F U' L2
D2 U2 B2 D2 F B' U'
B2 U2 D F D B' U'
B2 U2 D F D' B' U'
B2 U2 D F D2 B' U'
D2 U2 B2 D2 B' F U'
B2 U2 D F B' U' D
B2 U2 D F B' U' D'
B2 U2 D F B' U' D2
B2 U2 D F B' D U'
B2 U2 D F B' D' U'
B2 U2 D F B' D2 U'
F' U2 D F2 B U' R2
B' U2 D B2 F U' L2
D2 U2 B2 F D B' U'
D2 U2 B2 F D' B' U'
D U2 B' D F U' L2
D2 U2 B2 F D2 B' U'
B U2 R2 F R2 B U'
F' U2 D B U' R2 D
F' U2 D B U' R2 D'
F' U2 D B U' R2 D2
F' U2 D B D' F2 U'
F' U2 D B F U' R2
F' U2 D B F' U' R2
F' U2 D B F2 U' R2
F2 U2 D F' D B U'
F2 U2 D F' D' B U'
F2 U2 D F' D2 B U'
F2 U2 D F' B U' D
F2 U2 D F' B U' D'
F2 U2 D F' B U' D2
F2 U2 D F' B D U'
F2 U2 D F' B D' U'
F2 U2 D F' B D2 U'
D U2 B' F U' D L2
B2 U2 D B' D F U'
B2 U2 D B' D F U'
D U2 B' F D U' L2
B2 U2 D B' D' F U'
B2 U2 D B' D2 F U'
B2 U2 D B' F U' D
B2 U2 D B' F U' D'
B2 U2 D B' F U' D2
B2 U2 D B' F D U'
B2 U2 D B' F D' U'
B2 U2 D B' F D2 U'
F2 U2 D B D F' U'
F2 U2 D B D' F' U'
F2 U2 D B D2 F' U'
F2 U2 D B F' U' D
F2 U2 D B F' U' D'
F2 U2 D B F' U' D2
F2 U2 D B F' D U'
F2 U2 D B F' D' U'
F2 U2 D B F' D2 U'
B' U2 D' F U R2 U2
U2 D2 B2 D F B' U'
B' U2 D' F U' D2 L2
B' U2 D' F D B2 U'
U2 D2 B2 D B' F U'
B' U2 D' F D2 U' L2
U2 D2 B2 D' F B' U'
U2 D2 B2 D' B' F U'
U2 D2 B2 D2 F B' U'
U2 D2 B2 D2 B' F U'
L' F L U2 F B U'
L' F L U2 B F U'
U2 D2 B2 F D B' U'
U2 D2 B2 F D' B' U'
U2 D2 B2 F D2 B' U'
B2 U2 D' F D B' U'
B2 U2 D' F D' B' U'
B2 U2 D' F D2 B' U'
B2 U2 D' F B' U' D
B2 U2 D' F B' U' D'
B2 U2 D' F B' U' D2
B2 U2 D' F B' D U'
B2 U2 D' F B' D' U'
B2 U2 D' F B' D2 U'
F' U2 D' B U L2 U2
F' U2 D' B U' D2 R2
F' U2 D' B D F2 U'
B U2 D F U2 F' U
F' U2 D' B D2 U' R2
F2 U2 D' F' D B U'
F2 U2 D' F' D' B U'
F2 U2 D' F' D2 B U'
F2 U2 D' F' B U' D
F2 U2 D' F' B U' D'
F2 U2 D' F' B U' D2
F2 U2 D' F' B D U'
F2 U2 D' F' B D' U'
F2 U2 D' F' B D2 U'
D U2 B2 D F B' U'
D U2 B2 D B' F U'
B2 U2 D' B' D F U'
B2 U2 D' B' D' F U'
B2 U2 D' B' D2 F U'
B2 U2 D' B' F U' D
B2 U2 D' B' F U' D'
B2 U2 D' B' F U' D2
B2 U2 D' B' F D U'
B2 U2 D' B' F D' U'
B2 U2 D' B' F D2 U'
D U2 B2 D' F B' U'
D U2 B2 D' B' F U'
F2 U2 D' B D F' U'
F2 U2 D' B D' F' U'
F2 U2 D' B D2 F' U'
F2 U2 D' B F' U' D
F2 U2 D' B F' U' D'
F2 U2 D' B F' U' D2
F2 U2 D' B F' D U'
F2 U2 D' B F' D' U'
F2 U2 D' B F' D2 U'
D U2 B2 D2 F B' U'
D U2 B2 D2 B' F U'
U2 F L D L' B U'
U2 F L D B L' U'
D U2 B2 F D B' U'
D U2 B2 F D' B' U'
D U2 B2 F D2 B' U'
U2 F L D' L' B U'
B' U2 D2 F U2 F U
U2 F L D' B L' U'
U2 F L D2 L' B U'
U2 F L D2 B L' U'
F U2 D B U2 B' U
U2 F L B L' U' D
U2 F L B L' U' D'
U2 F L B L' U' D2
B2 U2 D2 F D B' U'
U2 F L B L' D U'
U2 F L B L' D' U'
U2 F L B L' D2 U'
B2 U2 D2 F D' B' U'
B2 U2 D2 F D2 B' U'
B2 U2 D2 F B' U' D
B2 U2 D2 F B' U' D'
B2 U2 D2 F B' U' D2
B2 U2 D2 F B' D U'
B2 U2 D2 F B' D' U'
B2 U2 D2 F B' D2 U'
U2 F L B D L' U'
U2 F L B D' L' U'
U2 F L B D2 L' U'
U2 F L B' L' B2 U'
F' U2 D2 B U2 B U
B U2 D' F U2 F' U
B' U2 F L B2 L' U'
F2 U2 D2 F' D B U'
F2 U2 D2 F' D' B U'
F2 U2 D2 F' D2 B U'
F2 U2 D2 F' B U' D
F2 U2 D2 F' B U' D'
F2 U2 D2 F' B U' D2
F2 U2 D2 F' B D U'
F2 U2 D2 F' B D' U'
F2 U2 D2 F' B D2 U'
B' U2 F L2 B2 L2 U'
B2 U2 D2 B' D F U'
B2 U2 D2 B' D' F U'
B2 U2 D2 B' D2 F U'
B2 U2 D2 B' F U' D
B2 U2 D2 B' F U' D'
B2 U2 D2 B' F U' D2
B2 U2 D2 B' F D U'
B2 U2 D2 B' F D' U'
B2 U2 D2 B' F D2 U'
F2 U2 D2 B D F' U'
F2 U2 D2 B D' F' U'
F2 U2 D2 B D2 F' U'
F2 U2 D2 B F' U' D
F2 U2 D2 B F' U' D'
F2 U2 D2 B F' U' D2
F2 U2 D2 B F' D U'
F2 U2 D2 B F' D' U'
F2 U2 D2 B F' D2 U'
B' U2 F R' B2 R U'
B' U2 F R2 B2 R2 U'
B' U2 F U D' R2 U2
B' U2 F U' L D L2
B' U2 F U' L' D L2
B' U2 F U' L2 D L2
B' U2 F U' D L2 D
B' U2 F U' D L2 D'
B' U2 F U' D L2 D2
U2 F L' D L B U'
B' U2 F U2 D2 F2 U
U2 F L' D' L B U'
F U2 D' B U2 B' U
B2 U2 F R' B' R U'
B' U2 F D U' L2 D
B' U2 F D U' L2 D'
B' U2 F D U' L2 D2
U2 F L' D2 L B U'
B' U2 F D B U' L2
B' U2 F D B' U' L2
B' U2 F D B2 U' L2
B2 U2 F R2 B' R2 U'
B' U2 F D' U R2 U2
B' U2 F D2 U2 F2 U
F' U2 F D F B U'
B U2 D2 F U2 F' U
B' U2 F B D B U'
B' U2 F B D' B U'
F' U2 F D B F U'
B' U2 F B D2 B U'
B' U2 F B' D B' U'
F' U2 F D' F B U'
B' U2 F B' D' B' U'
B' U2 F B' D2 B' U'
F' U2 F D' B F U'
U F L B U' F' B'
U F L B U' B' F'
B2 U2 F D B' U' D
B2 U2 F D B' U' D'
B2 U2 F D B' U' D2
B2 U2 F D B' D U'
B2 U2 F D B' D' U'
B2 U2 F D B' D2 U'
F' U2 F D2 F B U'
F' U2 F D2 B F U'
B2 U2 F D' B' U' D
B2 U2 F D' B' U' D'
B2 U2 F D' B' U' D2
B2 U2 F D' B' D U'
B2 U2 F D' B' D' U'
B2 U2 F D' B' D2 U'
F' U2 F B D F U'
F' U2 F B D' F U'
F' U2 F B D2 F U'
B2 U2 F D2 B' U' D
B2 U2 F D2 B' U' D'
B2 U2 F D2 B' U' D2
B2 U2 F D2 B' D U'
B2 U2 F D2 B' D' U'
B2 U2 F D2 B' D2 U'
F2 U2 F D B U' R2
B2 U2 F B U' D L2
B2 U2 F B D U' L2
B2 U2 F B2 D B U'
B2 U2 F B2 D' B U'
B2 U2 F B2 D2 B U'
F2 U2 F B U' D R2
F2 U2 F B D U' R2
F U2 D2 B U2 B' U
B' U2 F' U' D L2 R2
B' U2 F' U' D R2 L2
F2 U2 F' L B L' U'
L2 F L2 U2 F B U'
L2 F L2 U2 B F U'
U2 F L2 D B U' F2
B U2 F R2 B R2 U'
B' U2 F' D U' L2 R2
B' U2 F' D U' R2 L2
F2 U2 F' L2 B L2 U'
B U2 F U2 D F' U
B U2 F U2 D' F' U
B U2 F U2 D2 F' U
B U2 F U2 F' U D
B U2 F U2 F' U D'
B U2 F U2 F' U D2
B U2 F U2 F' D U
B U2 F U2 F' D' U
B U2 F U2 F' D2 U
F' U2 F' D F' B U'
F' U2 F' D B F' U'
B U2 F D U2 F' U
F' U2 F' D' F' B U'
F' U2 F' D' B F' U'
U2 F L2 B L2 U' D
U2 F L2 B L2 U' D'
U2 F L2 B L2 U' D2
U2 F L2 B L2 D U'
U2 F L2 B L2 D' U'
U2 F L2 B L2 D2 U'
B' U2 F' B2 U' D R2
B U2 F D' U2 F' U
B' U2 F' B2 D U' R2
U F L' B U' F' B'
U F L' B U' B' F'
U2 F L2 B U' D F2
B2 U2 F' D B' U' R2
U2 F L2 B D U' F2
F' U2 F' D2 F' B U'
F' U2 F' D2 B F' U'
U2 F L2 B' L2 B2 U'
B U2 F D2 U2 F' U
F' U2 F' B D F' U'
F' U2 F' B D' F' U'
F' U2 F' B D2 F' U'
B U2 F B U2 F' U
F2 U2 F' D B U' D
F2 U2 F' D B U' D'
F2 U2 F' D B U' D2
F2 U2 F' D B D U'
F2 U2 F' D B D' U'
F2 U2 F' D B D2 U'
B U2 F B' U2 F' U
F2 U2 F' D' B U' D
F2 U2 F' D' B U' D'
F2 U2 F' D' B U' D2
F2 U2 F' D' B D U'
F2 U2 F' D' B D' U'
F2 U2 F' D' B D2 U'
B U2 F B2 U2 F' U
B2 U2 F' B' U' D R2
B2 U2 F' B' D U' R2
F' U2 F2 L B L' U'
F2 U2 F' D2 B U' D
F2 U2 F' D2 B U' D'
F2 U2 F' D2 B U' D2
F2 U2 F' D2 B D U'
F2 U2 F' D2 B D' U'
F2 U2 F' D2 B D2 U'
F2 U2 F' B' U' D L2
F2 U2 F' B' D U' L2
F' U2 F2 L2 B L2 U'
F2 U2 F' B2 D B' U'
F2 U2 F' B2 D' B' U'
F2 U2 F' B2 D2 B' U'
F U2 F B U2 B' U
B' U2 F2 D F' U' L2
F' U2 F2 D B U' D
F' U2 F2 D B U' D'
F' U2 F2 D B U' D2
F' U2 F2 D B D U'
F' U2 F2 D B D' U'
F' U2 F2 D B D2 U'
F' U2 F2 D' B U' D
F' U2 F2 D' B U' D'
F' U2 F2 D' B U' D2
F' U2 F2 D' B D U'
F' U2 F2 D' B D' U'
F' U2 F2 D' B D2 U'
B' U2 F2 B2 D F' U'
B' U2 F2 B2 D' F' U'
B' U2 F2 B2 D2 F' U'
B2 U2 F2 D F' B' U'
B2 U2 F2 D B' F' U'
U F L2 B U' F' B'
U F L2 B U' B' F'
F' U2 F2 D2 B U' D
F' U2 F2 D2 B U' D'
F' U2 F2 D2 B U' D2
F' U2 F2 D2 B D U'
F' U2 F2 D2 B D' U'
F' U2 F2 D2 B D2 U'
B2 U2 F2 D' F' B' U'
B2 U2 F2 D' B' F' U'
B2 U2 F2 D2 F' B' U'
F2 U2 F2 D F B U'
F' U2 F2 B' U' D L2
B2 U2 F2 D2 B' F' U'
F2 U2 F2 D B F U'
F' U2 F2 B' D U' L2
F2 U2 F2 D' F B U'
F' U2 F2 B2 D B' U'
F' U2 F2 B2 D' B' U'
F2 U2 F2 D' B F U'
F' U2 F2 B2 D2 B' U'
B2 U2 F2 B' D F' U'
B2 U2 F2 B' D' F' U'
B2 U2 F2 B' D2 F' U'
F2 U2 F2 D2 F B U'
F2 U2 F2 D2 B F U'
F' U2 B L' F2 L U'
F2 U2 F2 B D F U'
F2 U2 F2 B D' F U'
F2 U2 F2 B D2 F U'
F' U2 B L2 F2 L2 U'
F' U2 B R F2 R' U'
F U2 F' B U2 B' U
U2 F R' D R B U'
F2 U2 B L' F' L U'
F' U2 B R2 F2 R2 U'
U2 F R' D' R B U'
F2 U2 B L2 F' L2 U'
B' U2 B D F B U'
F' U2 B U D' L2 U2
B' U2 B D B F U'
U2 F R' D2 R B U'
F' U2 B U' R D R2
F' U2 B U' R' D R2
B' U2 B D' F B U'
F' U2 B U' R2 D R2
F' U2 B U' D R2 D
F' U2 B U' D R2 D'
F' U2 B U' D R2 D2
B' U2 B D' B F U'
B' U2 B D2 F B U'
B' U2 B D2 B F U'
F' U2 B U2 D2 B2 U
B' U2 B F D B U'
B' U2 B F D' B U'
B' U2 B F D2 B U'
F' U2 B D U' R2 D
F' U2 B D U' R2 D'
F' U2 B D U' R2 D2
F' U2 B D F U' R2
F' U2 B D F' U' R2
F' U2 B D F2 U' R2
F' U2 B D' U L2 U2
B2 U2 B D F U' L2
B U2 F2 D' F' U' L2
U2 F R' B R B U'
F' U2 B D2 U2 B2 U
B U2 F2 D2 F' B2 U'
U2 F R' B' R B U'
B U2 F2 D2 B2 F' U'
F' U2 B F D F U'
F' U2 B F D' F U'
F' U2 B F D2 F U'
U2 F R' B2 R B U'
F2 U2 B D F' U' D
F2 U2 B D F' U' D'
F2 U2 B D F' U' D2
F2 U2 B D F' D U'
F2 U2 B D F' D' U'
F2 U2 B D F' D2 U'
F' U2 B F' D F' U'
F' U2 B F' D' F' U'
F' U2 B F' D2 F' U'
B2 U2 B F U' D L2
B2 U2 B F D U' L2
F2 U2 B D' F' U' D
F2 U2 B D' F' U' D'
F2 U2 B D' F' U' D2
F2 U2 B D' F' D U'
F2 U2 B D' F' D' U'
F2 U2 B D' F' D2 U'
F2 U2 B D2 F' U' D
F2 U2 B D2 F' U' D'
F2 U2 B D2 F' U' D2
F2 U2 B D2 F' D U'
F2 U2 B D2 F' D' U'
F2 U2 B D2 F' D2 U'
F2 U2 B F U' D R2
F2 U2 B F D U' R2
F2 U2 B F2 D F U'
F2 U2 B F2 D' F U'
F2 U2 B F2 D2 F U'
F U2 F2 B U2 B' U
B2 U2 B' R F R' U'
B' U2 B' D F B' U'
B' U2 B' D B' F U'
B2 U2 B' R2 F R2 U'
B' U2 B' D' F B' U'
F' U2 B' U' D L2 R2
F' U2 B' U' D R2 L2
B' U2 B' D' B' F U'
B' U2 B' D2 F B' U'
B' U2 B' D2 B' F U'
F U2 B L2 F L2 U'
B' U2 B' F D B' U'
B' U2 B' F D' B' U'
B' U2 B' F D2 B' U'
F' U2 B' D U' L2 R2
F' U2 B' D U' R2 L2
B2 U2 B' D F U' D
B2 U2 B' D F U' D'
B2 U2 B' D F U' D2
B2 U2 B' D F D U'
B2 U2 B' D F D' U'
B2 U2 B' D F D2 U'
U2 F R2 B R2 B U'
B2 U2 B' D' F U' D
B2 U2 B' D' F U' D'
B2 U2 B' D' F U' D2
B2 U2 B' D' F D U'
B2 U2 B' D' F D' U'
B2 U2 B' D' F D2 U'
U2 F R2 B' R2 B U'
B2 U2 B' D2 F U' D
B2 U2 B' D2 F U' D'
B2 U2 B' D2 F U' D2
B2 U2 B' D2 F D U'
B2 U2 B' D2 F D' U'
B2 U2 B' D2 F D2 U'
B U2 B F U2 F' U
F2 U2 B' D F' U' L2
U2 F R2 B2 R2 B U'
F' U2 B' F2 U' D L2
F' U2 B' F2 D U' L2
F U2 B U2 D B' U
F U2 B U2 D' B' U
B' U2 B2 R F R' U'
F U2 B U2 D2 B' U
B2 U2 B' F' U' D R2
F U2 B U2 B' U D
F U2 B U2 B' U D'
F U2 B U2 B' U D2
F U2 B U2 B' D U
B2 U2 B' F' D U' R2
F U2 B U2 B' D' U
F U2 B U2 B' D2 U
R2 F R2 F2 U D R2
F U2 B D U2 B' U
R2 F R2 F2 U2 F2 U'
R2 F R2 F2 D U R2
B2 U2 B' F2 D F' U'
B2 U2 B' F2 D' F' U'
B2 U2 B' F2 D2 F' U'
R2 F R2 F2 D2 B2 U
B' U2 B2 R2 F R2 U'
F U2 B D' U2 B' U
F2 U2 B' F' U' D L2
F2 U2 B' F' D U' L2
F U2 B D2 U2 B' U
F U2 B F U2 B' U
U2 F U R2 U F' U
F U2 B F' U2 B' U
F U2 B F2 U2 B' U
B' U2 B2 D F U' D
B' U2 B2 D F U' D'
B' U2 B2 D F U' D2
B' U2 B2 D F D U'
B' U2 B2 D F D' U'
B' U2 B2 D F D2 U'
B' U2 B2 D' F U' D
B' U2 B2 D' F U' D'
B' U2 B2 D' F U' D2
B' U2 B2 D' F D U'
B' U2 B2 D' F D' U'
B' U2 B2 D' F D2 U'
B' U2 B2 D2 F U' D
B' U2 B2 D2 F U' D'
B' U2 B2 D2 F U' D2
B' U2 B2 D2 F D U'
B' U2 B2 D2 F D' U'
B' U2 B2 D2 F D2 U'
B' U2 B2 F' U' D R2
F' U2 B2 D B' U' R2
B' U2 B2 F' D U' R2
B' U2 B2 F2 D F' U'
B' U2 B2 F2 D' F' U'
B' U2 B2 F2 D2 F' U'
B2 U2 B2 D F B U'
B2 U2 B2 D B F U'
B2 U2 B2 D' F B U'
B2 U2 B2 D' B F U'
B2 U2 B2 D2 F B U'
B U2 B' F U2 F' U
F2 U2 B2 D F' B' U'
B2 U2 B2 D2 B F U'
F2 U2 B2 D B' F' U'
F' U2 B2 F2 D B' U'
B2 U2 B2 F D B U'
F' U2 B2 F2 D' B' U'
B2 U2 B2 F D' B U'
F' U2 B2 F2 D2 B' U'
F2 U2 B2 D' F' B' U'
U2 F U' L U B U'
B2 U2 B2 F D2 B U'
F2 U2 B2 D' B' F' U'
F2 U2 B2 D2 F' B' U'
U2 F U' L' U B U'
F2 U2 B2 D2 B' F' U'
U2 F U' L2 U B U'
F2 U2 B2 F' D B' U'
F2 U2 B2 F' D' B' U'
