U2 L2 R2 U R2 B'
U2 L2 R2 U B' R2
D2 L2 U L2 F U2
D2 L2 U' D2 R2 B'
D2 L2 U' D2 B' R2
D2 L2 U' B' D2 R2
D2 L2 D F2 U' B'
D2 L2 D2 U' R2 B'
D2 L2 D2 U' B' R2
U2 R2 L2 U R2 B'
U2 R2 L2 U B' R2
U R2 U D2 L2 B'
U2 R2 U' F U2 R2
U R2 U' R2 F U2
U R2 U' F R2 U2
U R2 D2 U L2 B'
F U R2 U D2 L2
F U R2 U D2 L2
F U R2 U' R2 U2
F U R2 D' F2 U
F U R2 D2 U L2
D2 U' L2 U' B' L2
U' D' F2 D R2 B
D' U' F2 D R2 B
F U' D2 L2 U' L2
U' D2 L2 U' B' L2
F2 U2 R2 U B R2
F U2 D' F2 D' L2
F U2 F2 D' L2 F2
F U2 F2 D' F2 L2
D2 F U' L2 U' L2
U F U R2 U R2
D F B2 U' B2 U'
D F B2 U2 D L2
D F B2 D U2 L2
D F B2 D' R2 U2
B2 D F B2 U2 L2
B2 D B2 U2 L2 B'
B2 D B2 F U2 L2
F D B2 U' B2 U'
F D B2 U2 D L2
F D B2 D U2 L2
F D B2 D' R2 U2
B2 D' R2 F U2 F
B2 D' F R2 U2 F
F D' U2 F2 D' L2
U2 F2 D' F2 L2 B'
F D2 U' L2 U' L2
B' F U R2 F' U
B2 F D B2 U2 L2
B2 F D' R2 U2 F2
F B' U R2 F' U
D B2 U2 D L2 B'
D B2 D U2 L2 B'
D B2 D F U2 L2
D B2 D' R2 F U2
D B2 D' F R2 U2
D B2 F U' B2 U'
D B2 F U2 D L2
D B2 F D U2 L2
F B2 D B2 U2 L2
D B2 F D' R2 U2
F B2 D' R2 U2 F2
D2 F R U' L2 U' L2
F U2 F U' F' R2 U
U F L2 U R2 U R2
D2 F R' U' L2 U' L2
F U2 F' U' R2 F U
F U2 F' U' F R2 U
F2 U2 F2 D' L2 F2 B'
F2 U2 F2 D' L2 B' F2
F U2 F2 L D' L2 F2
F U2 F2 L D' F2 L2
F U2 F2 L' D' L2 F2
F U2 F2 L' D' F2 L2
D F R B2 U' B2 U'
D2 F R2 U' L2 U' L2
D F R B2 U2 D L2
D F R B2 D U2 L2
D F R B2 D' R2 U2
F U2 F2 L2 D' L2 F2
F U2 F2 L2 D' F2 L2
F2 U2 B R2 U B R2
F U2 F2 U' R2 F2 U
F U2 F2 U' F2 R2 U
F U2 F2 D' L F2 L
F U2 F2 D' L2 F2 D
F U2 F2 D' L2 F2 D'
F U2 F2 D' L2 F2 D2
F U2 F2 D' F' L2 F'
F U2 F2 D' F2 L2 D
F U2 F2 D' F2 L2 D'
F U2 F2 D' F2 L2 D2
R' F U R' U' R U2
R' F U R' F2 U L'
D F R' B2 U' B2 U'
D F R' B2 U2 D L2
D F R' B2 D U2 L2
D F R' B2 D' R2 U2
F2 U2 B' R2 U B R2
F U2 B R2 U R2 B'
F U2 B R2 U B' R2
D' F U' L U' L' F
D' F U' L2 U' L2 F
D2 F U' L2 U' L2 D
D2 F U' L2 U' L2 D'
D2 F U' L2 U' L2 D2
D2 F U' L2 D' B2 U'
D2 F U' L2 B U' L2
D2 F U' L2 B' U' L2
D2 F U' L2 B2 U' L2
D F R2 B2 U' B2 U'
D F R2 B2 U2 D L2
D F R2 B2 D U2 L2
D F R2 B2 D' R2 U2
F2 U2 B2 R2 U B R2
F U2 B' R2 U R2 B
D2 F U' B L2 U' L2
R' F U' B2 L U' L'
D2 F U' B' L2 U' L2
D2 F U' B2 L2 U' L2
U F U R2 U R2 D
U F U R2 U R2 D'
U F U R2 U R2 D2
U F U R2 D B2 U
U F U R2 B U R2
U F U R2 B' U R2
U F U R2 B2 U R2
D2 F U2 D F2 D' L2
F U2 B2 R2 U R2 B2
F U2 B2 R2 U B2 R2
D' F U2 F U' F' U
U F U B R2 U R2
U F U B' R2 U R2
D' F U2 F2 D' L2 F'
D' F U2 F2 D' F' L2
U F U B2 R2 U R2
D F U' D L2 U' L2
D2 F D U2 F2 D' L2
D F U2 D2 F2 D' L2
U F U2 D' F2 D R2
B2 D L2 D2 R2 F2 B'
B2 D L2 D2 R2 B' F2
B2 D L2 D2 F2 R2 B'
B2 D L2 D2 F2 B' R2
B2 D L2 D2 B' R2 F2
B2 D L2 D2 B' F2 R2
D F D U' L2 U' L2
D2 F D' B2 U' B2 U'
D2 F D' B2 U2 D L2
D2 F D' B2 D U2 L2
D2 F D' B2 D' R2 U2
B2 D R F B2 U2 L2
U F D B2 U B2 U
U F D B2 U2 D' R2
U F D B2 D L2 U2
U F D B2 D' U2 R2
B2 D R B2 U2 L2 B'
B2 D R B2 F U2 L2
U F D' U2 F2 D R2
B2 D R' F B2 U2 L2
D' F B U' B' U' F
D2 F B U' B' L2 U'
B2 D R' B2 U2 L2 B'
B2 D R' B2 F U2 L2
D F D2 U2 F2 D' L2
F D R B2 U' B2 U'
F D R B2 U2 D L2
F D R B2 D U2 L2
F D R B2 D' R2 U2
D2 F B' U' L2 B U'
D' F B' U' B U' F
D2 F B' U' B L2 U'
B2 D R2 F B2 U2 L2
B2 D R2 B2 U2 L2 B'
B2 D R2 B2 F U2 L2
R' F B2 U' L B2 U'
D2 F B2 U' L2 B2 U'
F D R' B2 U' B2 U'
F D R' B2 U2 D L2
F D R' B2 D U2 L2
F D R' B2 D' R2 U2
D' F B2 U' B2 U' F
D2 F B2 U' B2 L2 U'
D' F B2 U2 D F L2
D2 F B2 U2 D L2 F2
U F B U R2 B' U
D2 F B2 U2 D F2 L2
D' F B2 U2 F D L2
U F B U B' R2 U
D' F B2 D U2 F L2
D2 F B2 D U2 L2 F2
D2 F B2 D U2 F2 L2
D' F B2 D' R2 U2 F
D2 F B2 D' R2 B2 U2
D2 F B2 D' B2 R2 U2
U F B' U B R2 U
F D R2 B2 U' B2 U'
F D R2 B2 U2 D L2
F D R2 B2 D U2 L2
F D R2 B2 D' R2 U2
D F B2 R U' B2 U'
D F B2 R U2 D L2
D F B2 R D U2 L2
D F B2 R D' R2 U2
D F B2 R' U' B2 U'
D F B2 R' U2 D L2
D F B2 R' D U2 L2
D F B2 R' D' R2 U2
D F B2 R2 U' B2 U'
D F B2 R2 U2 D L2
D F B2 R2 D U2 L2
D F B2 R2 D' R2 U2
D F B2 U D2 F2 U
D F B2 U' B2 U' D
D F B2 U' B2 U' D'
D F B2 U' B2 U' D2
D F B2 U' B2 D U'
D F B2 U' B2 D' U'
D F B2 U' B2 D2 U'
D F B2 U2 L D L2
D F B2 U2 L' D L2
D F B2 U2 L2 D L2
D F B2 U2 D L2 D
D F B2 U2 D L2 D'
D F B2 U2 D L2 D2
D F B2 D R U2 L2
D F B2 D R' U2 L2
D F B2 D R2 U2 L2
D F B2 D U2 L2 D
D F B2 D U2 L2 D'
D F B2 D U2 L2 D2
D F B2 D' R2 U2 D
D F B2 D' R2 U2 D'
D F B2 D' R2 U2 D2
D F B2 D' R2 D U2
D F B2 D' R2 D' U2
D F B2 D' R2 D2 U2
B2 D U2 L2 D2 F2 B'
B2 D U2 L2 D2 B' F2
D F B2 D2 U F2 U
U F B2 U R2 B2 U
U F B2 U B2 R2 U
U F B2 U2 D' R2 F2
U F B2 U2 D' F2 R2
U F B2 D L2 B2 U2
U F B2 D B2 L2 U2
U F B2 D' U2 R2 F2
U F B2 D' U2 F2 R2
B2 D U2 B' L2 F B'
B2 D U2 B' L2 B' F
B2 D F R B2 U2 L2
D2 F' L2 U L2 F2 U2
D2 F' L2 U F2 L2 U2
B2 D F R' B2 U2 L2
D2 F' L2 U' D2 R2 B2
D2 F' L2 U' D2 B2 R2
B2 D F R2 B2 U2 L2
D2 F' L2 D R2 F2 U'
B' D F B2 U' B' U'
D2 F' L2 D F2 R2 U'
B2 D F U2 L2 D2 F2
D2 F' L2 D2 U' R2 B2
D2 F' L2 D2 U' B2 R2
B2 D F D2 R2 U2 F2
B2 D F B' U2 L2 F
B2 D F B2 R U2 L2
B2 D F B2 R' U2 L2
B2 D F B2 R2 U2 L2
B2 D F B2 U2 L2 D
B2 D F B2 U2 L2 D'
B2 D F B2 U2 L2 D2
B2 D F B2 D2 R2 U2
B D F B2 U' B U'
F2 D F' B2 U' B2 U'
F2 D F' B2 U2 D L2
F2 D F' B2 D U2 L2
F2 D F' B2 D' R2 U2
B2 D B' U2 L2 F B'
B2 D B' U2 L2 B' F
B2 D B' F U2 L2 F
U F' R2 U D2 L2 B2
U F' R2 U D2 B2 L2
U F' R2 U' R2 F2 U2
U F' R2 U' F2 R2 U2
B2 D B2 R U2 L2 B'
B2 D B2 R F U2 L2
B2 D B2 R' U2 L2 B'
F' D B2 U' R2 B2 U'
B2 D B2 R' F U2 L2
F' D B2 U' B2 R2 U'
B2 D B2 R2 U2 L2 B'
F' D B2 U2 D L2 B2
F' D B2 U2 D B2 L2
B2 D B2 R2 F U2 L2
U F' R2 D' L2 F2 U
B' D B2 F U' B' U'
U F' R2 D' F2 L2 U
F' D B2 D U2 L2 B2
F' D B2 D U2 B2 L2
U F' R2 D2 U L2 B2
U F' R2 D2 U B2 L2
F' D B2 D' R2 F2 U2
F' D B2 D' F2 R2 U2
B2 D B2 U2 L2 D B'
B2 D B2 U2 L2 D' B'
B2 D B2 U2 L2 D2 B'
B2 D B2 U2 L2 B' D
B2 D B2 U2 L2 B' D'
B2 D B2 U2 L2 B' D2
B2 D B2 U2 B L2 B'
B2 D B2 U2 B' L2 B'
B2 D B2 U2 B2 L2 B'
F2 D B2 D F' U2 L2
B2 D B2 D2 R2 F U2
B2 D B2 D2 F R2 U2
F2 D B2 D' R2 U2 B
F2 D B2 D' F' R2 U2
B2 D B2 F R U2 L2
B2 D B2 F R' U2 L2
B2 D B2 F R2 U2 L2
B2 D B2 F U2 L2 D
B2 D B2 F U2 L2 D'
B2 D B2 F U2 L2 D2
B2 D B2 F D2 R2 U2
F2 D B2 F' U' B2 U'
F2 D B2 F' U2 D L2
F2 D B2 F' D U2 L2
F2 D B2 F' D' R2 U2
F D B2 R U' B2 U'
F D B2 R U2 D L2
F D B2 R D U2 L2
F D B2 R D' R2 U2
F D B2 R' U' B2 U'
F D B2 R' U2 D L2
F D B2 R' D U2 L2
F D B2 R' D' R2 U2
F D B2 R2 U' B2 U'
F D B2 R2 U2 D L2
F D B2 R2 D U2 L2
F D B2 R2 D' R2 U2
B D B2 F U' B U'
F D B2 U D2 F2 U
F D B2 U' B2 U' D
F D B2 U' B2 U' D'
F D B2 U' B2 U' D2
F D B2 U' B2 D U'
F D B2 U' B2 D' U'
F D B2 U' B2 D2 U'
F D B2 U2 L D L2
F D B2 U2 L' D L2
F D B2 U2 L2 D L2
F D B2 U2 D L2 D
F D B2 U2 D L2 D'
F D B2 U2 D L2 D2
F D B2 D R U2 L2
F D B2 D R' U2 L2
F D B2 D R2 U2 L2
F D B2 D U2 L2 D
F D B2 D U2 L2 D'
F D B2 D U2 L2 D2
F D B2 D' R2 U2 D
F D B2 D' R2 U2 D'
F D B2 D' R2 U2 D2
F D B2 D' R2 D U2
F D B2 D' R2 D' U2
F D B2 D' R2 D2 U2
F D B2 D2 U F2 U
B2 D' R F U2 F L'
B2 D' R' F R' U2 F
F D' R U2 F2 D' L2
B2 D' R2 D2 F B2 U2
B2 D' R2 D2 B2 F U2
B2 D' R2 F U2 D F
B2 D' R2 F U2 D' F
B2 D' R2 F U2 D2 F
B2 D' R2 F U2 F D
B2 D' R2 F U2 F D'
B2 D' R2 F U2 F D2
B2 D' R2 F D U2 F
B2 D' R2 F D' U2 F
B2 D' R2 F D2 U2 F
B2 D' R2 F B U2 F
B2 D' R2 F B' U2 F
B2 D' R2 F B2 U2 F
F D' R' U2 F2 D' L2
B2 D' R2 B F U2 F
B2 D' R2 B' F U2 F
B2 D' R2 B2 F U2 F
F D' R2 U2 F2 D' L2
F D' U R' U F2 L'
U2 F2 L D' F2 L2 B'
F' D' U2 F2 D' L2 B2
F' D' U2 F2 D' B2 L2
F D' U' L U' L' F2
F D' U' L' U' L F2
F D' U' L' U' F2 L
F D' U' L2 U' L2 F2
F2 D' U2 F2 D' L2 B'
F D' U' L2 U' F2 L2
B' D' F U' B U' F
D2 F2 L2 U L2 F' U2
D2 F2 L2 U F' L2 U2
D2 F2 L2 U' D2 R2 B
U2 F2 L' D' F2 L2 B'
B2 D' F R2 U2 D F
B2 D' F R2 U2 D' F
B2 D' F R2 U2 D2 F
B2 D' F R2 U2 F D
B2 D' F R2 U2 F D'
B2 D' F R2 U2 F D2
B2 D' F R2 D U2 F
B2 D' F R2 D' U2 F
B2 D' F R2 D2 U2 F
B2 D' F R2 B U2 F
B2 D' F R2 B' U2 F
B2 D' F R2 B2 U2 F
D2 F2 L2 D2 U' R2 B
B2 D' F U2 D2 F L2
B2 D' F U2 F D2 L2
F D' U2 L F2 D' L2
F D' U2 L' F2 D' L2
F D' U2 L2 F2 D' L2
B2 D' F D2 U2 F L2
B2 D' F B R2 U2 F
B2 D' F B' R2 U2 F
B2 D' F B2 R2 U2 F
F D' U2 F2 L D' L2
F D' U2 F2 L' D' L2
F D' U2 F2 L2 D' L2
F D' U2 F2 U' F2 U
F D' U2 F2 D' L2 D
F D' U2 F2 D' L2 D'
F D' U2 F2 D' L2 D2
U2 F2 L2 D' F2 L2 B'
B2 D' F' R2 F2 B U2
B2 D' F' R2 B F2 U2
B D' F U' B' U' F
R F2 L' U L F' U2
R F2 L' U F' L U2
B2 D' B R2 F U2 F
B2 D' B F R2 U2 F
B2 D' B' R2 F U2 F
U2 F2 R2 F2 U B R2
B2 D' B' F R2 U2 F
F D' B U' B' U' F2
U F2 R2 U D2 L2 B
U F2 R2 U D2 B L2
U F2 R2 U B D2 L2
U F2 R2 U' R2 F' U2
B2 D' B2 R2 F U2 F
U F2 R2 D' F2 U B
U F2 R2 D2 U L2 B
U F2 R2 D2 U B L2
B2 D' B2 F R2 U2 F
F D' B' U' B U' F2
U2 F2 U' R2 F2 U B
U F2 U R2 U B R2
F D' B2 U' B2 U' F2
F D' B2 U2 F2 D L2
U' F2 D R2 D2 F2 B
U' F2 D R2 D2 B F2
U' F2 D B R2 F' B
U' F2 D B R2 B F'
F' D2 L2 U L2 U2 B2
F' D2 L2 U' B2 D2 R2
F2 D2 L2 U L2 F' U2
F2 D2 L2 U F' L2 U2
F2 D2 L2 U' D2 R2 B
F2 D2 L2 D2 U' R2 B
U2 F2 D' F2 L2 D B'
U2 F2 D' F2 L2 D' B'
U2 F2 D' F2 L2 D2 B'
U2 F2 D' F2 L2 B' D
U2 F2 D' F2 L2 B' D'
U2 F2 D' F2 L2 B' D2
U2 F2 D' F2 B L2 B'
U2 F2 D' F2 B' L2 B'
U2 F2 D' F2 B2 L2 B'
U2 F2 D' B F2 L2 B'
U2 F2 D' B' F2 L2 B'
U2 F2 D' B2 F2 L2 B'
F D2 R U' L2 U' L2
U2 F2 B D' F2 L2 B'
F D2 R' U' L2 U' L2
U2 F2 B' D' F2 L2 B'
B' D2 U' L2 B U' B2
F D2 R2 U' L2 U' L2
F' D2 U' L2 U' L2 B2
F' D2 U' L2 U' B2 L2
B' D2 U' B L2 U' B'
U2 F2 B2 D' F2 L2 B'
D F2 B2 D F' U2 L2
D F2 B2 D' R2 U2 B
D F2 B2 D' F' R2 U2
B' D2 F U' L2 B U'
F D2 U' L2 U' L2 D
F D2 U' L2 U' L2 D'
F D2 U' L2 U' L2 D2
F D2 U' L2 D' B2 U'
B' D2 F U' B L2 U'
F D2 U' L2 B U' L2
F D2 U' L2 B' U' L2
F D2 U' L2 B2 U' L2
B D2 U' B' L2 U' B'
F D2 U' B L2 U' L2
B2 D2 F U' L2 B' U'
F D2 U' B' L2 U' L2
F D2 U' B2 L2 U' L2
U2 B L2 R2 U R2 B'
U2 B L2 R2 U B' R2
B D2 F U' B' L2 U'
F2 D2 F' U' L2 U' L2
U2 B R2 L2 U R2 B'
U2 B R2 L2 U B' R2
U2 B R2 U' F U2 R2
F D2 B U' B' L2 U'
D2 B U' B' L2 U' B'
F D2 B' U' L2 B U'
F D2 B' U' B L2 U'
F D2 B2 U' L2 B2 U'
F D2 B2 U' B2 L2 U'
F D2 B2 U2 D L2 F2
F D2 B2 U2 D F2 L2
F D2 B2 D U2 L2 F2
F D2 B2 D U2 F2 L2
F D2 B2 D' R2 B2 U2
F D2 B2 D' B2 R2 U2
U' B D' F2 D R2 B
B' F R U R F' U
U' B D2 L2 U' B' L2
B2 F R' U' B2 L U'
D2 B F U' B' L2 U'
B' F R2 U F' U F
D' B F U' B' U' F
B' F U R2 D F' U
B' F U R2 D' F' U
B' F U R2 D2 F' U
B' F U R2 F' U D
B' F U R2 F' U D'
B' F U R2 F' U D2
B' F U R2 F' D U
B' F U R2 F' D' U
B' F U R2 F' D2 U
B' F U F R2 F' U
B' F U F' R2 F' U
B' F U F2 R2 F' U
B2 F U R2 U D L2
B2 F U R2 U2 B2 U'
B2 F U R2 D U L2
B2 F U R2 D2 F2 U
U B F U R2 B' U
U B F U B' R2 U
B' F U' D' B U' F2
B' F U' D2 L2 B U'
B' F U' D2 B L2 U'
B' F U' B U' D' F2
B' F U' B U2 R2 U
B' F U' B D' U' F2
B' F U' B D2 L2 U'
U2 B F2 D' F2 L2 B'
B F U R2 U2 B' U'
F B U R2 U2 B' U'
B2 F U' B2 U' D' F2
B2 F U' B2 U2 R2 U
B2 F U' B2 D' U' F2
B2 F U' B2 D2 L2 U'
B2 F U2 D L2 D2 F2
B F U' D' B' U' F2
B2 F U2 D' F2 D2 L2
B F U' D2 B' L2 U'
B F U' B' U' D' F2
B F U' B' U2 R2 U
B F U' B' D' U' F2
B F U' B' D2 L2 U'
F B U' D' B' U' F2
F B U' D2 B' L2 U'
B2 F D R B2 U2 L2
B2 F D R' B2 U2 L2
F B U' B' U' D' F2
B' F D B2 U' B' U'
F B U' B' U2 R2 U
F B U' B' D' U' F2
F B U' B' D2 L2 U'
B2 F D R2 B2 U2 L2
U2 B' L2 R2 U R2 B'
U2 B' L2 R2 U B' R2
B2 F D U2 L2 D2 F2
B2 F D B' U2 L2 F
B' F D' U' B U' F2
B2 F D B2 R U2 L2
B2 F D B2 R' U2 L2
B2 F D B2 R2 U2 L2
B2 F D B2 U2 L2 D
B2 F D B2 U2 L2 D'
B2 F D B2 U2 L2 D2
B2 F D B2 D2 R2 U2
B2 F D' R U2 F2 L'
B2 F D' R2 U2 F2 D
B2 F D' R2 U2 F2 D'
B2 F D' R2 U2 F2 D2
B2 F D' R2 D2 B2 U2
B2 F D' R2 B U2 F2
B2 F D' R2 B' U2 F2
B2 F D' R2 B2 U2 F2
B2 F D' U2 F2 D2 L2
B2 F D' B R2 U2 F2
B2 F D' B' R2 U2 F2
B' F D2 U' L2 B U'
B' F D2 U' B L2 U'
B F D B2 U' B U'
B2 F D' B2 R2 U2 F2
F B D B2 U' B U'
B F D' U' B' U' F2
F B D' U' B' U' F2
B F D2 U' B' L2 U'
U2 B' R2 L2 U R2 B'
U2 B' R2 L2 U B' R2
U2 B' R2 U' F U2 R2
F B D2 U' B' L2 U'
D2 B' U' L2 B U' B2
D2 B' U' B L2 U' B'
F B' R U R F' U
U' B' D' F2 D R2 B
U' B' D2 L2 U' B' L2
F2 B' U R2 F' U B
F B' R2 U F' U F
D2 B' F U' L2 B U'
D2 B' F U' B L2 U'
D' B' F U' B U' F
F B' U R2 D F' U
F B' U R2 D' F' U
F B' U R2 D2 F' U
F B' U R2 F' U D
F B' U R2 F' U D'
F B' U R2 F' U D2
F B' U R2 F' D U
F B' U R2 F' D' U
F B' U R2 F' D2 U
F B' U F R2 F' U
F B' U F' R2 F' U
F B' U F2 R2 F' U
F B' U' D' B U' F2
F B' U' D2 L2 B U'
F B' U' D2 B L2 U'
U B' F U B R2 U
F B' U' B U' D' F2
F B' U' B U2 R2 U
F B' U' B D' U' F2
F B' U' B D2 L2 U'
U2 B' F2 D' F2 L2 B'
F B' D B2 U' B' U'
U2 B2 L2 R2 U R2 B'
U2 B2 L2 R2 U B' R2
F B' D' U' B U' F2
F B' D2 U' L2 B U'
F B' D2 U' B L2 U'
D B2 R U2 D L2 B'
D B2 R D U2 L2 B'
D B2 R D F U2 L2
D B2 R D' R2 F U2
D B2 R D' F R2 U2
D B2 R F U' B2 U'
D B2 R F U2 D L2
D B2 R F D U2 L2
D B2 R F D' R2 U2
D B2 R' U2 D L2 B'
U2 B2 R2 L2 U R2 B'
U2 B2 R2 L2 U B' R2
D B2 R' D U2 L2 B'
D B2 R' D F U2 L2
D B2 R' D' R2 F U2
D B2 R' D' F R2 U2
U2 B2 R2 U' F U2 R2
D B2 R' F U' B2 U'
D B2 R' F U2 D L2
D B2 R' F D U2 L2
D B2 R' F D' R2 U2
D B2 R2 U2 D L2 B'
D B2 R2 D U2 L2 B'
D B2 R2 D F U2 L2
D B2 R2 D' R2 F U2
D B2 R2 D' F R2 U2
D2 B2 U' L2 B2 U' B
D B2 R2 F U' B2 U'
D B2 R2 F U2 D L2
D B2 R2 F D U2 L2
D B2 R2 F D' R2 U2
D2 B2 U' B2 L2 U' B'
D2 B2 U2 D L2 F2 B'
D2 B2 U2 D L2 B' F2
B' F2 U R2 F' U B
F B2 R' U' B2 L U'
D2 B2 D U2 L2 F2 B'
D2 B2 D U2 L2 B' F2
D2 B2 D F U2 F L2
D B2 U' B2 U F U2
D B2 U2 L2 D B' L2
D B2 U2 D L2 D B'
D B2 U2 D L2 D' B'
D B2 U2 D L2 D2 B'
D B2 U2 D L2 B' D
D B2 U2 D L2 B' D'
D B2 U2 D L2 B' D2
D B2 U2 D B L2 B'
D B2 U2 D B' L2 B'
D B2 U2 D B2 L2 B'
D2 B2 D' R2 F B2 U2
D2 B2 D' R2 B2 F U2
U' B2 D' F2 D R2 B
D2 B2 D' F R2 B2 U2
D2 B2 D' F B2 R2 U2
U' B2 D2 L2 U' B' L2
D2 B2 D' B2 R2 F U2
D B2 D R U2 L2 B'
U B2 U2 D' F2 R2 B
D2 B2 D' B2 F R2 U2
D B2 D R F U2 L2
D B2 D R' U2 L2 B'
D B2 D R' F U2 L2
F B2 U R2 U D L2
D B2 D R2 U2 L2 B'
F B2 U R2 U2 B2 U'
F B2 U R2 D U L2
F B2 U R2 D2 F2 U
D B2 D R2 F U2 L2
D B2 D U2 L2 D B'
D B2 D U2 L2 D' B'
D B2 D U2 L2 D2 B'
D B2 D U2 L2 B' D
D B2 D U2 L2 B' D'
D B2 D U2 L2 B' D2
D B2 D U2 B L2 B'
D B2 D U2 B' L2 B'
D B2 D U2 B2 L2 B'
D B2 D F R U2 L2
D B2 D F R' U2 L2
D B2 D F R2 U2 L2
D B2 D F U2 L2 D
D B2 D F U2 L2 D'
D B2 D F U2 L2 D2
D B2 D F D2 R2 U2
U B2 D L2 B2 U2 B
D B2 D' R' F R' U2
U B2 D F L2 B2 U2
D B2 D' R2 D F U2
D B2 D' R2 D' F U2
U B2 D F B2 L2 U2
D B2 D' R2 D2 F U2
D B2 D' R2 F U2 D
D B2 D' R2 F U2 D'
D B2 D' R2 F U2 D2
D B2 D' R2 F D U2
D B2 D' R2 F D' U2
D B2 D' R2 F D2 U2
D B2 D' F R2 U2 D
D B2 D' F R2 U2 D'
D B2 D' F R2 U2 D2
D B2 D' F R2 D U2
D B2 D' F R2 D' U2
D B2 D' F R2 D2 U2
D B2 D' F U2 D2 L2
D B2 D' F D2 U2 L2
U B2 D B2 L2 U2 B'
D B2 D' F' R2 F2 U2
U B2 D B2 F L2 U2
R' B2 F U' L B2 U'
D2 B2 F U' L2 B2 U'
D B2 D' F2 R2 U2 B
D2 B2 F U' B2 L2 U'
D2 B2 F U2 D L2 F2
D2 B2 F U2 D F2 L2
D2 B2 F D U2 L2 F2
D2 B2 F D U2 F2 L2
D2 B2 F D' R2 B2 U2
F B2 U' B2 U' D' F2
F B2 U' B2 U2 R2 U
F B2 U' B2 D' U' F2
F B2 U' B2 D2 L2 U'
D' B2 F U' B2 U' F
D2 B2 F D' B2 R2 U2
D' B2 F U2 D F L2
D' B2 F U2 F D L2
B2 F2 D F' B2 U2 L2
D' B2 F D U2 F L2
D' B2 F D' R2 U2 F
F2 B2 D F' B2 U2 L2
U B2 D' U2 F2 R2 B
B2 F2 D B2 F' U2 L2
U B2 D' F U2 R2 F
U B2 D' F U2 F R2
F B2 U2 D L2 D2 F2
F2 B2 D B2 F' U2 L2
F B2 U2 D' F2 D2 L2
D B2 D2 F U F U
B2 F2 D' R2 U2 F2 B
B2 F2 D' R2 U2 B F2
F2 B2 D' R2 U2 F2 B
F2 B2 D' R2 U2 B F2
B2 F2 D' F' R2 B U2
F2 B2 D' F' R2 B U2
D B2 F R U' B2 U'
D B2 F R U2 D L2
D B2 F R D U2 L2
D B2 F R D' R2 U2
F B2 D R B2 U2 L2
D B2 F R' U' B2 U'
D B2 F R' U2 D L2
D B2 F R' D U2 L2
D B2 F R' D' R2 U2
F B2 D R' B2 U2 L2
D B2 F R2 U' B2 U'
D B2 F R2 U2 D L2
D B2 F R2 D U2 L2
D B2 F R2 D' R2 U2
F B2 D R2 B2 U2 L2
D B2 F U D2 F2 U
D B2 F U' B2 U' D
D B2 F U' B2 U' D'
D B2 F U' B2 U' D2
D B2 F U' B2 D U'
D B2 F U' B2 D' U'
D B2 F U' B2 D2 U'
D B2 F U2 L D L2
D B2 F U2 L' D L2
F B2 D U2 L2 D2 F2
D B2 F U2 L2 D L2
D B2 F U2 D L2 D
D B2 F U2 D L2 D'
D B2 F U2 D L2 D2
D B2 F D R U2 L2
D B2 F D R' U2 L2
D B2 F D R2 U2 L2
D B2 F D U2 L2 D
D B2 F D U2 L2 D'
D B2 F D U2 L2 D2
D B2 F D' R2 U2 D
D B2 F D' R2 U2 D'
D B2 F D' R2 U2 D2
D B2 F D' R2 D U2
D B2 F D' R2 D' U2
D B2 F D' R2 D2 U2
D B2 F D2 U F2 U
F B2 D B' U2 L2 F
F B2 D B2 R U2 L2
F B2 D B2 R' U2 L2
F B2 D B2 R2 U2 L2
F B2 D B2 U2 L2 D
F B2 D B2 U2 L2 D'
F B2 D B2 U2 L2 D2
F B2 D B2 D2 R2 U2
U B2 F U R2 B2 U
U B2 F U B2 R2 U
F B2 D' R U2 F2 L'
U B2 F U2 D' R2 F2
U B2 F U2 D' F2 R2
U B2 F D L2 B2 U2
F B2 D' R2 U2 F2 D
F B2 D' R2 U2 F2 D'
F B2 D' R2 U2 F2 D2
F B2 D' R2 D2 B2 U2
F B2 D' R2 B U2 F2
F B2 D' R2 B' U2 F2
F B2 D' R2 B2 U2 F2
U B2 F D B2 L2 U2
U B2 F D' U2 R2 F2
U B2 F D' U2 F2 R2
F B2 D' U2 F2 D2 L2
U2 B2 F2 D' F2 L2 B'
F B2 D' B R2 U2 F2
F B2 D' B' R2 U2 F2
F B2 D' B2 R2 U2 F2
D B2 F2 D F' U2 L2
D B2 F2 D' R2 U2 B
D B2 F2 D' F' R2 U2
