L U2 F U R2
L' B' L2 U' R2
F L U2 F U R2
F' L U2 F U R2
F2 L U2 F U R2
D L U2 F B2 U
D L U2 B2 F U
D' L F2 U2 F' U
D' L' F2 B' L2 U'
F' L' B' L2 U' R2
F2 L' B' L2 U' R2
D' L' B' L2 F2 U'
D L' B' L2 F U'
F L' B' L2 U' R2
B L' B' L U' R2
D' L' B' F2 L2 U'
L U' R2 U' F U
L U2 D F B2 U
L U2 D B2 F U
L U2 F U R2 D
L U2 F U R2 D'
L U2 F U R2 D2
L U2 F D B2 U
L U2 F B U R2
L U2 F B' U R2
L U2 F B2 U R2
L U2 B F U R2
L U2 B' F U R2
L U2 B2 F U R2
U' R2 F' L' D F2
L D U2 F B2 U
L D U2 B2 F U
U2 D B2 R' F' U
L D' F2 U2 F' U
B2 U2 R' F' U R'
D U2 B2 R' F' U
L F U' R2 D2 L2
L' F B' L2 U' R2
U' F' L' R2 D F2
U' F' R2 L' D F2
L F' U' R2 D' L2
L F' U2 F2 U R2
L' F' B' L2 U' R2
L F' D' F2 U' L2
D' F2 L U2 F U
D' F2 L' B' L2 U'
L F2 U2 F' U R2
L' F2 B' L2 U' R2
L' B L2 B2 U' R2
L B U2 F U R2
L' B' L2 U' R2 D
L' B' L2 U' R2 D'
L' B' L2 U' R2 D2
L' B' L2 D' F2 U'
L' B' L2 F U' R2
L' B' L2 F' U' R2
L' B' L2 F2 U' R2
L' B' U' R2 D F2
L' B' F L2 U' R2
L B' U2 F U R2
L' B' F' L2 U' R2
L' B' F2 L2 U' R2
L' B2 L2 B U' R2
U2 B2 R' F' U R'
L B2 U2 F U R2
D' F2 L' B' L2 U' D2
D' F2 L' B' L2 D U'
D' F2 L' B' L2 D' U'
D' F2 L' B' L2 D2 U'
D' F2 L' B' U' D F2
D' F2 L' B' D U' F2
L F' B2 D' F2 U' L2
D' F2 L' B2 L2 B U'
L' F2 L2 U2 F U R2
D F2 L' B' L2 F U'
F' D' F2 L U2 F U
F' D' F2 L' B' L2 U'
F2 D' F2 L U2 F U
F2 D' F2 L' B' L2 U'
B2 D' F2 U2 R' F' U
U' F2 R2 F L' D F2
F D' F2 L U2 F U
F D' F2 L' B' L2 U'
D' F2 U' F' L' D F2
L F2 R2 B R2 U' R2
D' F2 D L U2 F U
D' F2 D L' B' L2 U'
L F2 U' R2 U B U'
D' F2 D' L U2 F U
D' F2 D' L' B' L2 U'
D F2 U2 B2 R' F' U
L F2 U2 D F' B2 U
L F2 U2 D B2 F' U
L F2 U2 F' U R2 D
L F2 U2 F' U R2 D'
L F2 U2 F' U R2 D2
U2 F2 D B2 R' F' U
L F2 U2 F' D B2 U
L F2 U2 F' B U R2
L F2 U2 F' B' U R2
L F2 U2 F' B2 U R2
L F2 U2 B F' U R2
L F2 U2 B' F' U R2
L F2 U2 B2 F' U R2
D' F2 D2 L U2 F U
D' F2 D2 L' B' L2 U'
L F2 D U2 F' B2 U
L F2 D U2 B2 F' U
D' F2 B L' B' L U'
L' F2 B L2 B2 U' R2
L F2 D' F2 U2 F U
L' F2 B' L2 U' R2 D
L' F2 B' L2 U' R2 D'
L' F2 B' L2 U' R2 D2
L' F2 B' L2 D' F2 U'
L' F2 B' L2 F U' R2
L' F2 B' L2 F' U' R2
L' F2 B' L2 F2 U' R2
L' F2 B' U' R2 D F2
L' F2 B2 L2 B U' R2
D' F2 B2 U2 R' F' U
L F2 B U2 F' U R2
U2 F2 B2 R' F' U R'
L F2 B' U2 F' U R2
L2 B L B' L2 U' R2
D' B L' F2 B' L U'
L F2 B2 U2 F' U R2
D' B L' B' L F2 U'
D' B L' B' F2 L U'
L' B L' B2 L' U' R2
L2 B L' U2 F U R2
L' B L2 U' R2 D L2
L' B L2 F B2 U' R2
L' B L2 F' B2 U' R2
L' B L2 F2 B2 U' R2
L' B L2 B2 U' R2 D
L' B L2 B2 U' R2 D'
L' B L2 B2 U' R2 D2
L' B L2 B2 D' F2 U'
L' B L2 B2 F U' R2
L' B L2 B2 F' U' R2
L' B L2 B2 F2 U' R2
L B L2 B' L2 U' R2
L' B R2 D L2 F2 B2
L' B R2 D L2 B2 F2
L' B R2 D F2 L2 B2
L' B R2 D F2 B2 L2
L' B R2 D B2 L2 F2
L' B R2 D B2 F2 L2
L' B U' R2 D L2 F2
L' B U' R2 D F2 L2
L B U' R2 U' F U
F' B L' B' L U' R2
F2 B L' B' L U' R2
D B U2 B R' F' U
L B U2 D F B2 U
L B U2 D B2 F U
L B U2 F U R2 D
L B U2 F U R2 D'
L B U2 F U R2 D2
B F L' B' L U' R2
L B U2 F D B2 U
L B U2 F B U R2
L B U2 F B' U R2
L B U2 F B2 U R2
L B U2 B F U R2
L B U2 B' F U R2
L B U2 B2 F U R2
F B L' B' L U' R2
L B D U2 F B2 U
L B D U2 B2 F U
L' B F L2 B2 U' R2
L B D' F2 U2 F' U
L' B F' L2 B2 U' R2
D' B F2 L' B' L U'
L' B F2 L2 B2 U' R2
L B F U' R2 D2 L2
L' B' L D' L F2 U'
L' B' L D' F2 L U'
L' B' L F L U' R2
L' B' L F' L U' R2
L' B' L F2 L U' R2
L B F' U' R2 D' L2
L B F' U2 F2 U R2
L B F' D' F2 U' L2
L' B' L' D' L' F2 U'
L2 B' L B' L2 U' R2
B2 F U2 R' F' U R'
L B F2 U2 F' U R2
L2 B' L' U2 F U R2
L' B' L2 U L U2 R2
L' B' L2 U L' U2 R2
L' B' L2 U L2 U2 R2
L' B' L2 U D2 L2 U2
L' B' L2 U' R D R
L' B' L2 U' R D' R
L' B' L2 U' R D2 R
L' B' L2 U' R' D R'
L' B' L2 U' R' D' R'
L' B' L2 U' R' D2 R'
L' B' L2 U' F' R2 F
L' B' L2 U' F2 R2 F2
L' B' L2 U' B R2 B'
L' B' L2 U' B2 R2 B2
L' B' L2 U2 D B2 U
L' B' L2 U2 B U R2
L' B' L2 U2 B' U R2
L' B' L2 U2 B2 U R2
L' B' L2 D U2 B2 U
L' B' L2 D' F2 U' D
L' B' L2 D' F2 U' D'
L' B' L2 D' F2 U' D2
L' B' L2 D' F2 D U'
L' B' L2 D' F2 D' U'
L' B' L2 D' F2 D2 U'
L' B' L2 D2 U L2 U2
L' B' L2 F U' R2 D
L' B' L2 F U' R2 D'
L' B' L2 F U' R2 D2
L' B' L2 F D' F2 U'
L' B' L2 F' U' R2 D
L' B' L2 F' U' R2 D'
L' B' L2 F' U' R2 D2
L' B' L2 F' D' F2 U'
L' B' L2 F2 U' R2 D
L' B' L2 F2 U' R2 D'
L' B' L2 F2 U' R2 D2
L' B' L2 F2 D' F2 U'
L B' L2 B' L2 U' R2
U2 B' R' F' U R' F'
U2 B' U R' F' L' R'
U2 B' U R' F' R' L'
L' B' U' R D R F2
L' B' U' R' D R' F2
L' B' U' R' D F2 R'
L' B' U' R2 U L2 U'
L' B' U' R2 D F2 D
L' B' U' R2 D F2 D'
L' B' U' R2 D F2 D2
L' B' U' R2 F D F2
L' B' U' R2 F' D F2
L' B' U' R2 F2 D F2
L' B' U' D F2 D' R2
L' B' U' F R2 D F2
L' B' U' F' R2 D F2
L' B' U' F2 R2 D F2
B F' L' B' L U' R2
L' B' U2 D B2 U F2
L B' U' R2 U' F U
L' B' D U' F2 D' R2
L' B' D U2 B2 U F2
L B' U2 D F B2 U
L B' U2 D B2 F U
L B' U2 F U R2 D
L B' U2 F U R2 D'
L B' U2 F U R2 D2
L B' U2 F D B2 U
L B' U2 F B U R2
L B' U2 F B' U R2
L B' U2 F B2 U R2
L' B' D' F2 U B2 U2
L' B' D' F2 U' D2 F2
L' B' D' F2 D L2 U'
L' B' D' F2 D2 U' F2
L B' U2 B F U R2
L B' U2 B' F U R2
L B' U2 B2 F U R2
L B' D U2 F B2 U
L B' D U2 B2 F U
L' B' F L2 U' R2 D
L' B' F L2 U' R2 D'
L' B' F L2 U' R2 D2
L' B' F L2 D' F2 U'
L' B' F L2 F U' R2
L' B' F L2 F' U' R2
L' B' F L2 F2 U' R2
L' B' F U' R2 D F2
L B' D' F2 U2 F' U
L' B' F' L2 U' R2 D
L' B' F' L2 U' R2 D'
L' B' F' L2 U' R2 D2
L' B' F' L2 D' F2 U'
L' B' F' L2 F U' R2
L' B' F' L2 F' U' R2
L' B' F' L2 F2 U' R2
L' B' F' U' R2 D F2
B2 F' U2 R' F' U R'
L' B' F2 L2 U' R2 D
L' B' F2 L2 U' R2 D'
L' B' F2 L2 U' R2 D2
L' B' F2 L2 D' F2 U'
L' B' F2 L2 F U' R2
L' B' F2 L2 F' U' R2
L' B' F2 L2 F2 U' R2
L' B' F2 U' R2 D F2
L B' F U' R2 D2 L2
L B' F' U' R2 D' L2
L B' F' U2 F2 U R2
L B' F' D' F2 U' L2
L2 B2 L B' L2 U' R2
L' B2 L' B L' U' R2
L B' F2 U2 F' U R2
L2 B2 L' U2 F U R2
L' B2 L2 D' F2 B U'
L' B2 L2 D' B F2 U'
L' B2 L2 F B U' R2
R B2 L R' F U R2
L' B2 L2 F' B U' R2
L' B2 L2 F2 B U' R2
L' B2 L2 B U' R2 D
L' B2 L2 B U' R2 D'
L' B2 L2 B U' R2 D2
L' B2 L2 B D' F2 U'
L' B2 L2 B F U' R2
L' B2 L2 B F' U' R2
L' B2 L2 B F2 U' R2
L B2 L2 B' L2 U' R2
U2 B2 R' D F' U R'
U2 B2 R' D' F' U R'
U2 B2 R' D2 F' U R'
U2 B2 R' F' U R' D
U2 B2 R' F' U R' D'
U2 B2 R' F' U R' D2
U2 B2 R' F' U D R'
U2 B2 R' F' U D' R'
U2 B2 R' F' U D2 R'
U2 B2 R' F' D U R'
U2 B2 R' F' D' U R'
U2 B2 R' F' D2 U R'
B F2 L' B' L U' R2
D B2 R' U2 R B U'
R B2 R' L F U R2
L B2 U' R2 U' F U
U2 B2 D R' F' B2 U
U2 B2 D R' B2 F' U
L B2 U2 D F B2 U
L B2 U2 D B2 F U
L B2 U2 F U R2 D
L B2 U2 F U R2 D'
L B2 U2 F U R2 D2
L B2 U2 F D B2 U
L B2 U2 F B U R2
L B2 U2 F B' U R2
L B2 U2 F B2 U R2
F' B2 U2 R' F' U R'
L B2 U2 B F U R2
L B2 U2 B' F U R2
L B2 U2 B2 F U R2
B2 F2 U2 R' F' U R'
F2 B2 U2 R' F' U R'
L B2 D U2 F B2 U
L B2 D U2 B2 F U
L' B2 F L2 B U' R2
F B2 U2 R' F' U R'
L B2 D' F2 U2 F' U
L' B2 F' L2 B U' R2
U2 B2 F R' F' U R'
L' B2 F2 L2 B U' R2
U2 B2 F' R' F' U R'
D' B2 F2 U2 R' F' U
L B2 F U' R2 D2 L2
U2 B2 F2 R' F' U R'
L B2 F' U' R2 D' L2
L B2 F' U2 F2 U R2
L B2 F' D' F2 U' L2
L B2 F2 U2 F' U R2
