U2 L2 B U F
U2 L' B L' U F
U2 L2 R' U F R
D2 L2 R2 F' U' F2
U2 L2 D B U F
B L2 D' R2 F U
U2 L2 D' B U F
B L2 D' F R2 U
U2 L2 D2 B U F
B L2 D2 F U F
B L2 F U D2 F2
B L2 F U' B2 U2
B L2 F D' R2 U
B L2 F D2 U F2
U' L2 B U F L2
U2 L2 B R U F
U2 L2 B R' U F
U2 L2 B R2 U F
U2 L2 B U D F
U2 L2 B U D F
U2 L2 B U D' F
U2 L2 B U D2 F
U2 L2 B U F D
U2 L2 B U F D'
U2 L2 B U F D2
U2 L2 B D U F
U2 L2 B D' U F
U2 L2 B D2 U F
U2 R' L2 U F R
L' U2 L' B U F
L' U2 B L' U F
D2 R2 L2 F' U' F2
D2 R2 F' L2 U' F
D2 R2 F' U B' U2
B' U B2 L2 F U
F' U2 L2 B U F
F2 U2 L2 B U F
F U2 L2 B U F
R2 F' U2 L2 U F
U2 B L2 U D2 F2
U2 B L2 U' B2 U2
U2 B L2 D' R2 U
U2 B L2 D2 U F2
L2 B U2 B' U' F
U2 B D' R2 U B2
U B' U L2 B2 U
U B' U B2 L2 U
U B' U2 D' R2 B2
U B' U2 D' B2 R2
U B' D L2 F2 U2
U B' D F2 L2 U2
U B' D' U2 R2 B2
U B' D' U2 B2 R2
U2 B L2 D' R2 D U
U2 B L2 D' R2 D' U
U2 B L2 D' R2 D2 U
U2 B L2 D2 R U F2
U2 B L2 D2 R' U F2
U2 B L2 D2 R2 U F2
U2 B L2 D2 U F2 D
U2 B L2 D2 U F2 D'
U2 B L2 D2 U F2 D2
L2 B L2 F L2 U F
U2 B R L2 U D2 F2
U2 B R L2 U' B2 U2
U2 B R L2 D' R2 U
U2 B R L2 D2 U F2
L2 B R U2 B' U' F
U2 B R D' R2 U B2
U2 B R' L2 U D2 F2
U2 B R' L2 U' B2 U2
U2 B R' L2 D' R2 U
U2 B R' L2 D2 U F2
L2 B R' U2 B' U' F
U2 B R' D' R2 U B2
U2 B R2 L2 U D2 F2
U2 B R2 L2 U' B2 U2
U2 B R2 L2 D' R2 U
U2 B R2 L2 D2 U F2
L2 B R2 U2 B' U' F
U2 B R2 D' R2 U B2
B D2 B' R2 F' U' F'
U2 B U D' B2 D' F2
U2 B U D2 F2 D B2
L2 B U F U B' U'
U2 B U' B2 U L2 U
U2 B U' B2 U2 D' B2
U2 B U' B2 D F2 U2
U2 B U' B2 D' U2 B2
L2 B U2 D B' U' F
L2 B U2 D' B' U' F
U2 B U2 D2 R2 U' F2
L2 B U2 D2 B' U' F
L2 B U2 B' U' D F
L2 B U2 B' U' D' F
L2 B U2 B' U' D2 F
L2 B U2 B' U' F D
L2 B U2 B' U' F D'
L2 B U2 B' U' F D2
L2 B U2 B' D U' F
L2 B U2 B' D' U' F
L2 B U2 B' D2 U' F
F' B L2 D' R2 F U
F' B L2 D' F R2 U
F' B L2 D2 F U F
F' B L2 F U D2 F2
F' B L2 F U' B2 U2
F' B L2 F D' R2 U
F' B L2 F D2 U F2
L2 B D U2 B' U' F
F2 B L2 D' R2 F U
F2 B L2 D' F R2 U
F2 B L2 D2 F U F
U' B D' B2 D' R2 F2
U' B D' B2 D' F2 R2
F2 B L2 F U D2 F2
F2 B L2 F U' B2 U2
F2 B L2 F D' R2 U
F2 B L2 F D2 U F2
U2 B D' L R2 U B2
U2 B D' L' R2 U B2
U2 B D' L2 R2 U B2
D2 B D2 L2 F U F
U2 B D' R2 L U B2
U2 B D' R2 L' U B2
U2 B D' R2 L2 U B2
U2 B D' R2 U B2 D
U2 B D' R2 U B2 D'
U2 B D' R2 U B2 D2
U2 B D' R2 D L2 U
U2 B D' U B2 D' F2
B F L2 D' R2 F U
B F L2 D' F R2 U
L2 B D' U2 B' U' F
B F L2 D2 F U F
B F L2 F U D2 F2
B F L2 F U' B2 U2
B F L2 F D' R2 U
B F L2 F D2 U F2
D B D' L2 R2 F U
D B D' L2 F R2 U
D B D' R2 L2 F U
F B L2 D' R2 F U
F B L2 D' F R2 U
F B L2 D2 F U F
F B L2 F U D2 F2
F B L2 F U' B2 U2
F B L2 F D' R2 U
F B L2 F D2 U F2
U2 B D2 U F2 D B2
U2 B D2 U2 R2 U' F2
L2 B D2 U2 B' U' F
L2 B F' U2 B' U' F2
B' F U B2 L2 F U
L2 B F2 U2 B' U' F'
U B' L U L B2 U
U B' L' U L' B2 U
U B' L' U B2 L' U
U2 B' L2 B2 U D2 F2
U2 B' L2 B2 U' B2 U2
U2 B' L2 B2 D' R2 U
U2 B' L2 B2 D2 U F2
U B' L2 U B2 U B2
L2 B' R2 F' B2 U F2
L2 B' R2 B2 F' U F2
U2 B' U L2 B2 U L2
D2 B' U' B R2 F' U'
U2 B' U B2 L2 U L2
U B' U L' B2 L' U
U B' U L2 U D' R2
U B' U L2 D' U R2
U B' U L2 B2 U D
U B' U L2 B2 U D'
U B' U L2 B2 U D2
U B' U L2 B2 D U
U B' U L2 B2 D' U
U B' U L2 B2 D2 U
U' B' D L2 F2 U2 L2
B F' L2 D' R2 F U
B F' L2 D' F R2 U
B F' L2 D2 F U F
U B' U B L2 B U
B F' L2 F U D2 F2
B F' L2 F U' B2 U2
B F' L2 F D' R2 U
B F' L2 F D2 U F2
U B' U B2 L2 U D
U B' U B2 L2 U D'
U B' U B2 L2 U D2
U B' U B2 L2 D U
U B' U B2 L2 D' U
U B' U B2 L2 D2 U
U B' U B2 U D' B2
U B' U B2 D' U B2
U' B' D F2 L2 U2 L2
U B' U' D2 R2 F2 U'
U B' U' D2 F2 R2 U'
U' B' D' R2 B2 D2 F2
U B' U2 R D' R2 B2
U B' U2 R D' B2 R2
U' B' D' B' R2 F' B'
U' B' D' B' R2 B' F'
U B' U2 R' D' R2 B2
U B' U2 R' D' B2 R2
U' B' D' B2 R2 D2 F2
U B' U2 R2 D' R2 B2
U B' U2 R2 D' B2 R2
U B' U2 D' R B2 R
U B' U2 D' R2 B2 D
U B' U2 D' R2 B2 D'
U B' U2 D' R2 B2 D2
U B' U2 D' B' R2 B'
U B' U2 D' B2 R2 D
U B' U2 D' B2 R2 D'
U B' U2 D' B2 R2 D2
U B' D L F2 L U2
U B' D L' F2 U2 R
U B' D L2 U2 D2 B2
U B' D L2 D2 U2 B2
U B' D L2 F2 U2 D
U B' D L2 F2 U2 D'
U B' D L2 F2 U2 D2
U B' D L2 F2 D U2
U B' D L2 F2 D' U2
U B' D L2 F2 D2 U2
B' F' U B2 L2 F U
U B' D F L2 U2 B'
U B' D F' L2 F' U2
U B' D F2 L2 U2 D
U B' D F2 L2 U2 D'
U B' D F2 L2 U2 D2
U B' D F2 L2 D U2
U B' D F2 L2 D' U2
U B' D F2 L2 D2 U2
U B' D F2 U2 D2 R2
U B' D F2 D2 U2 R2
F' B' U B2 L2 F U
U B' D' L U2 R2 B2
U B' D' L U2 B2 R2
U B' D' L' U2 R2 B2
U B' D' L' U2 B2 R2
U B' D' L2 U2 R2 B2
U B' D' L2 U2 B2 R2
F2 B' U B2 L2 F U
U B' D' U2 R B2 R
U B' D' U2 R2 B2 D
U B' D' U2 R2 B2 D'
U B' D' U2 R2 B2 D2
U B' D' U2 B' R2 B'
U B' D' U2 B2 R2 D
U B' D' U2 B2 R2 D'
U B' D' U2 B2 R2 D2
U B' D' F U2 R2 B2
U B' D' F U2 B2 R2
U B' D' F' U2 R2 B2
U B' D' F' U2 B2 R2
U B' D' F2 U2 R2 B2
U B' D' F2 U2 B2 R2
U B' D2 U' R2 F2 U'
U B' D2 U' F2 R2 U'
F B' U B2 L2 F U
U B' F U L2 B2 U
U B' F U B2 L2 U
U B' F U2 D' R2 B2
U B' F U2 D' B2 R2
U B' F D L2 F2 U2
U B' F D F2 L2 U2
U B' F D' U2 R2 B2
U B' F D' U2 B2 R2
U B' F' U L2 B2 U
U B' F' U B2 L2 U
U B' F' U2 D' R2 B2
U B' F' U2 D' B2 R2
U B' F' D L2 F2 U2
U B' F' D F2 L2 U2
U B' F' D' U2 R2 B2
U B' F' D' U2 B2 R2
U B' F2 U L2 B2 U
U B' F2 U B2 L2 U
U B' F2 U2 D' R2 B2
U B' F2 U2 D' B2 R2
U B' F2 D L2 F2 U2
U B' F2 D F2 L2 U2
U B' F2 D' U2 R2 B2
U B' F2 D' U2 B2 R2
B F2 L2 D' R2 F U
B F2 L2 D' F R2 U
B F2 L2 D2 F U F
B F2 L2 F U D2 F2
B F2 L2 F U' B2 U2
B F2 L2 F D' R2 U
B F2 L2 F D2 U F2
U2 B2 R2 B' L2 U F'
B' F2 U B2 L2 F U
L2 B2 D B' U F L2
L2 B2 D2 F2 B' U F'
L2 B2 D2 B' F2 U F'
