U L' R U2 B
U R L' U2 B
F2 U' L' R B'
F2 U' L' B' R
F2 U' R L' B'
F2 U' L' D2 B' D' R
F2 U' L' D2 B' D2 R
F2 U' L' B R B2 D
F2 U' L' B R B2 D'
F2 U' L' B R B2 D2
F2 U' L' B R' B2 R2
U D' R D L' U2 B
F2 U' L' B' R2 D R'
F2 U' L' B' R2 D' R'
F2 U' L' B' R2 D2 R'
F2 U' L' B' D R D
F2 U' L' B' D R D'
F2 U' L' B' D R D2
F2 U' L' B' D' R D
F2 U' L' B' D' R D'
F2 U' L' B' D' R D2
F2 U' L' B' D2 R D
F2 U' L' B' D2 R D'
F2 U' L' B' D2 R D2
U D' R D' L' U2 B
F2 U' L' B2 D B R
F2 U' L' B2 D' B R
F2 U' L' B2 D2 B R
U D' R D2 L' U2 B
U D' R F2 U2 B R
U D' R' L' F' R2 U2
F2 U' R L B L2 B'
F2 U' R L B' L2 B'
F2 U' R L B2 L2 B'
F2 U' R L' D B' D
F2 U' R L' D B' D'
F2 U' R L' D B' D2
F2 U' R L' D' B' D
F2 U' R L' D' B' D'
F2 U' R L' D' B' D2
F2 U' R L' D2 B' D
F2 U' R L' D2 B' D'
F2 U' R L' D2 B' D2
F2 U' R L' B2 D B
F2 U' R L' B2 D' B
F2 U' R L' B2 D2 B
F2 U' R D L' D B'
F2 U' R D L' D' B'
F2 U' R D L' D2 B'
F2 U' R D L' B' D
F2 U' R D L' B' D'
F2 U' R D L' B' D2
F2 U' R D B L' B'
F2 U' R D B' L' B'
F2 U' R D B2 L' B'
F2 U' R D' L' D B'
F2 U' R D' L' D' B'
F2 U' R D' L' D2 B'
F2 U' R D' L' B' D
F2 U' R D' L' B' D'
F2 U' R D' L' B' D2
F2 U' R D' B L' B'
F2 U' R D' B' L' B'
F2 U' R D' B2 L' B'
F2 U' R D2 L' D B'
F2 U' R D2 L' D' B'
F2 U' R D2 L' D2 B'
F2 U' R D2 L' B' D
F2 U' R D2 L' B' D'
F2 U' R D2 L' B' D2
F2 U' R D2 B L' B'
F2 U' R D2 B' L' B'
F2 U' R D2 B2 L' B'
F2 U' R B L' D B'
F2 U' R B L' D' B'
F2 U' R B L' D2 B'
F2 U' R B L' B' D
F2 U' R B L' B' D'
F2 U' R B L' B' D2
F2 U' R B D L' B'
F2 U' R B D' L' B'
F2 U' R B D2 L' B'
F2 U' R B' L' D B'
F2 U' R B' L' D' B'
F2 U' R B' L' D2 B'
F2 U' R B' L' B' D
F2 U' R B' L' B' D'
F2 U' R B' L' B' D2
F2 U' R B' D L' B'
F2 U' R B' D' L' B'
F2 U' R B' D2 L' B'
F2 U' R B2 L' D B'
F2 U' R B2 L' D' B'
F2 U' R B2 L' D2 B'
F2 U' R B2 L' B' D
F2 U' R B2 L' B' D'
F2 U' R B2 L' B' D2
F2 U' R B2 D L' B'
F2 U' R B2 D' L' B'
F2 U' R B2 D2 L' B'
F2 U' R' L' B R2 B2
F2 U' R' L' B' R2 D
F2 U' R' L' B' R2 D'
F2 U' R' L' B' R2 D2
F2 U' R' B L' R2 B'
F2 U' R' B L' B' R2
F2 U' R' B R2 L' B'
F2 U' R' B' L' R2 B'
F2 U' R' B' L' B' R2
F2 U' R' B' R2 L' B'
U' D' F2 L' R F2 B'
U' D' F2 L' R B' F2
F2 U' R' B2 L' R2 B'
F2 U' R' B2 L' B' R2
D' U' F2 L' R F2 B'
D' U' F2 L' R B' F2
F2 U' R' B2 R2 L' B'
U' D' F2 L' B' R F2
D' U' F2 L' B' R F2
F2 U' R2 L' D R' B'
F2 U' R2 L' D' R' B'
D' U' F2 R L' F2 B'
D' U' F2 R L' B' F2
U' D' F2 R L' F2 B'
F2 U' R2 L' D2 R' B'
U' D' F2 R L' B' F2
D2 U' F2 L' R F2 B'
D2 U' F2 L' R B' F2
D2 U' F2 L' B' R F2
D2 U' F2 R L' F2 B'
D2 U' F2 R L' B' F2
F2 U' R2 D L' R' B'
F2 U' R2 D R' L' B'
F2 U' R2 D' L' R' B'
F2 U' R2 D' R' L' B'
F2 U' R2 D2 L' R' B'
F2 U' R2 D2 R' L' B'
F2 U' R2 B L' B' R'
F2 U' D L' R D B'
F2 U' D L' R D' B'
F2 U' D L' R D2 B'
F2 U' D L' R B' D
F2 U' D L' R B' D'
F2 U' D L' R B' D2
F2 U' D L' R' B' R2
F2 U' D L' D R B'
F2 U' D L' D B' R
F2 U' D L' D' R B'
F2 U' D L' D' B' R
F2 U' D L' D2 R B'
F2 U' D L' D2 B' R
F2 U' D L' B R B2
F2 U' D L' B' R D
F2 U' D L' B' R D'
F2 U' D L' B' R D2
F2 U' D L' B' D R
F2 U' D L' B' D' R
F2 U' D L' B' D2 R
D U' F2 L' R F2 B'
D U' F2 L' R B' F2
F2 U' D R L' D B'
F2 U' D R L' D' B'
F2 U' D R L' D2 B'
F2 U' D R L' B' D
F2 U' D R L' B' D'
F2 U' D R L' B' D2
F2 U' D R D L' B'
F2 U' D R D' L' B'
F2 U' D R D2 L' B'
F2 U' D R B L' B'
D U' F2 L' B' R F2
F2 U' D R B' L' B'
F2 U' D R B2 L' B'
F2 U' D R' L' B' R2
D U' F2 R L' F2 B'
D U' F2 R L' B' F2
F2 U' D B L' R B'
F2 U' D B L' B' R
F2 U' D B R L' B'
F2 U' D B' L' R B'
F2 U' D B' L' B' R
F2 U' D B' R L' B'
F2 U' D B2 L' R B'
F2 U' D B2 L' B' R
F2 U' D B2 R L' B'
F2 U' D' L' R D B'
F2 U' D' L' R D' B'
F2 U' D' L' R D2 B'
F2 U' D' L' R B' D
F2 U' D' L' R B' D'
F2 U' D' L' R B' D2
F2 U' D' L' R' B' R2
F2 U' D' L' D R B'
F2 U' D' L' D B' R
F2 U' D' L' D' R B'
F2 U' D' L' D' B' R
F2 U' D' L' D2 R B'
F2 U' D' L' D2 B' R
F2 U' D' L' B R B2
F2 U' D' L' B' R D
F2 U' D' L' B' R D'
F2 U' D' L' B' R D2
F2 U' D' L' B' D R
F2 U' D' L' B' D' R
F2 U' D' L' B' D2 R
F2 U' D' R L' D B'
F2 U' D' R L' D' B'
F2 U' D' R L' D2 B'
F2 U' D' R L' B' D
F2 U' D' R L' B' D'
F2 U' D' R L' B' D2
F2 U' D' R D L' B'
F2 U' D' R D' L' B'
F2 U' D' R D2 L' B'
U D' F2 U2 L' R B'
U D' F2 U2 L' B' R
F2 U' D' R B L' B'
U D' F2 U2 R L' B'
F2 U' D' R B' L' B'
F2 U' D' R B2 L' B'
F2 U' D' R' L' B' R2
F2 U' D' B L' R B'
F2 U' D' B L' B' R
F2 U' D' B R L' B'
F2 U' D' B' L' R B'
F2 U' D' B' L' B' R
F2 U' D' B' R L' B'
F2 U' D' B2 L' R B'
F2 U' D' B2 L' B' R
F2 U' D' B2 R L' B'
F2 U' D2 L' R D B'
F2 U' D2 L' R D' B'
F2 U' D2 L' R D2 B'
F2 U' D2 L' R B' D
F2 U' D2 L' R B' D'
F2 U' D2 L' R B' D2
F2 U' D2 L' R' B' R2
F2 U' D2 L' D R B'
F2 U' D2 L' D B' R
F2 U' D2 L' D' R B'
F2 U' D2 L' D' B' R
F2 U' D2 L' D2 R B'
F2 U' D2 L' D2 B' R
F2 U' D2 L' B R B2
F2 U' D2 L' B' R D
F2 U' D2 L' B' R D'
F2 U' D2 L' B' R D2
F2 U' D2 L' B' D R
F2 U' D2 L' B' D' R
F2 U' D2 L' B' D2 R
F2 U' D2 R L' D B'
F2 U' D2 R L' D' B'
F2 U' D2 R L' D2 B'
F2 U' D2 R L' B' D
F2 U' D2 R L' B' D'
F2 U' D2 R L' B' D2
F2 U' D2 R D L' B'
F2 U' D2 R D' L' B'
F2 U' D2 R D2 L' B'
F2 U' D2 R B L' B'
F2 U' D2 R B' L' B'
F2 U' D2 R B2 L' B'
F2 U' D2 R' L' B' R2
F2 U' D2 B L' R B'
F2 U' D2 B L' B' R
F2 U' D2 B R L' B'
F2 U' D2 B' L' R B'
F2 U' D2 B' L' B' R
F2 U' D2 B' R L' B'
F2 U' D2 B2 L' R B'
F2 U' D2 B2 L' B' R
F2 U' D2 B2 R L' B'
F2 U' B L' R D B'
F2 U' B L' R D' B'
F2 U' B L' R D2 B'
F2 U' B L' R B' D
F2 U' B L' R B' D'
F2 U' B L' R B' D2
F2 U' B L' R' B' R2
F2 U' B L' D R B'
F2 U' B L' D B' R
F2 U' B L' D' R B'
U D2 L' R U2 D B
U D2 L' R U2 D' B
U D2 L' R U2 D2 B
F2 U' B L' D' B' R
U D2 L' R U2 B D
U D2 L' R U2 B D'
U D2 L' R U2 B D2
F2 U' B L' D2 R B'
U D2 L' R D U2 B
F2 U' B L' D2 B' R
U D2 L' R D' U2 B
U D2 L' R D2 U2 B
U D2 L' R F U2 B
U D2 L' R F' U2 B
F2 U' B L' B R B2
U D2 L' R F2 U2 B
F2 U' B L' B' R D
F2 U' B L' B' R D'
F2 U' B L' B' R D2
F2 U' B L' B' D R
F2 U' B L' B' D' R
F2 U' B L' B' D2 R
U D2 L' R' F' R2 U2
F2 U' B R L' D B'
F2 U' B R L' D' B'
F2 U' B R L' D2 B'
F2 U' B R L' B' D
F2 U' B R L' B' D'
F2 U' B R L' B' D2
F2 U' B R D L' B'
F2 U' B R D' L' B'
F2 U' B R D2 L' B'
F2 U' B R B L' B'
F2 U' B R B' L' B'
F2 U' B R B2 L' B'
F2 U' B R' L' B' R2
U D2 L' D R U2 B
U D2 L' D' R U2 B
F2 U' B D L' R B'
U D2 L' D2 R U2 B
F2 U' B D L' B' R
F2 U' B D R L' B'
F2 U' B D' L' R B'
F2 U' B D' L' B' R
F2 U' B D' R L' B'
F2 U' B D2 L' R B'
F2 U' B D2 L' B' R
F2 U' B D2 R L' B'
U D2 L' F2 U2 L' B'
R' D2 U L' U2 L' B'
F2 U' B' L' R D B'
F2 U' B' L' R D' B'
F2 U' B' L' R D2 B'
F2 U' B' L' R B' D
F2 U' B' L' R B' D'
F2 U' B' L' R B' D2
F2 U' B' L' R' B' R2
F2 U' B' L' D R B'
F2 U' B' L' D B' R
F2 U' B' L' D' R B'
F2 U' B' L' D' B' R
F2 U' B' L' D2 R B'
F2 U' B' L' D2 B' R
F2 U' B' L' B R B2
F2 U' B' L' B' R D
F2 U' B' L' B' R D'
F2 U' B' L' B' R D2
F2 U' B' L' B' D R
F2 U' B' L' B' D' R
F2 U' B' L' B' D2 R
F2 U' B' R L' D B'
F2 U' B' R L' D' B'
F2 U' B' R L' D2 B'
F2 U' B' R L' B' D
F2 U' B' R L' B' D'
F2 U' B' R L' B' D2
F2 U' B' R D L' B'
F2 U' B' R D' L' B'
F2 U' B' R D2 L' B'
F2 U' B' R B L' B'
F2 U' B' R B' L' B'
F2 U' B' R B2 L' B'
F2 U' B' R' L' B' R2
F2 U' B' D L' R B'
F2 U' B' D L' B' R
F2 U' B' D R L' B'
F2 U' B' D' L' R B'
F2 U' B' D' L' B' R
F2 U' B' D' R L' B'
F2 U' B' D2 L' R B'
F2 U' B' D2 L' B' R
F2 U' B' D2 R L' B'
R2 D2 U L' R' F' U2
F2 U' B2 L' R D B'
F2 U' B2 L' R D' B'
F2 U' B2 L' R D2 B'
F2 U' B2 L' R B' D
F2 U' B2 L' R B' D'
F2 U' B2 L' R B' D2
F2 U' B2 L' R' B' R2
F2 U' B2 L' D R B'
F2 U' B2 L' D B' R
F2 U' B2 L' D' R B'
F2 U' B2 L' D' B' R
F2 U' B2 L' D2 R B'
F2 U' B2 L' D2 B' R
F2 U' B2 L' B R B2
F2 U' B2 L' B' R D
F2 U' B2 L' B' R D'
F2 U' B2 L' B' R D2
F2 U' B2 L' B' D R
F2 U' B2 L' B' D' R
F2 U' B2 L' B' D2 R
U D2 R L' U2 D B
U D2 R L' U2 D' B
U D2 R L' U2 D2 B
U D2 R L' U2 B D
U D2 R L' U2 B D'
U D2 R L' U2 B D2
U D2 R L' D U2 B
U D2 R L' D' U2 B
U D2 R L' D2 U2 B
U D2 R L' F U2 B
U D2 R L' F' U2 B
U D2 R L' F2 U2 B
F2 U' B2 R L' D B'
F2 U' B2 R L' D' B'
F2 U' B2 R L' D2 B'
F2 U' B2 R L' B' D
F2 U' B2 R L' B' D'
F2 U' B2 R L' B' D2
F2 U' B2 R D L' B'
F2 U' B2 R D' L' B'
F2 U' B2 R D2 L' B'
F2 U' B2 R B L' B'
F2 U' B2 R B' L' B'
R2 D2 U R' L' F' U2
F2 U' B2 R B2 L' B'
F2 U' B2 R' L' B' R2
U D2 R D L' U2 B
U D2 R D' L' U2 B
U D2 R D2 L' U2 B
F2 U' B2 D L' R B'
F2 U' B2 D L' B' R
F2 U' B2 D R L' B'
F2 U' B2 D' L' R B'
F2 U' B2 D' L' B' R
F2 U' B2 D' R L' B'
F2 U' B2 D2 L' R B'
F2 U' B2 D2 L' B' R
F2 U' B2 D2 R L' B'
U D2 R F2 U2 B R
U D2 R' L' F' R2 U2
B U2 L U' L2 R U2
B U2 L U' R L2 U2
U' D2 F2 L' R F2 B'
U' D2 F2 L' R B' F2
U' D2 F2 L' B' R F2
U' D2 F2 R L' F2 B'
U' D2 F2 R L' B' F2
U D2 F2 U2 L' R B'
U D2 F2 U2 L' B' R
U D2 F2 U2 R L' B'
B U2 F2 L U L2 R
B U2 F2 L U R L2
F2 U2 B U L' R B'
F2 U2 B U L' B' R
F2 U2 B U R L' B'
U F R' F' L' R U2
U F R' F' R L' U2
F2 U2 B' U L' R B'
F2 U2 B' U L' B' R
F2 U2 B' U R L' B'
F2 U2 B2 U L' R B'
F2 U2 B2 U L' B' R
F2 U2 B2 U R L' B'
F' D R F' U' L' B'
B' D R' U L' R2 U2
B' D R' U R2 L' U2
F2 D R' U' L' R2 B'
F2 D R' U' L' B' R2
F2 D R' U' R2 L' B'
F2 D R2 U' L' R' B'
F2 D R2 U' R' L' B'
B2 D U L' R F U2
B2 D U R L' F U2
F2 D U' L' R D B'
F2 D U' L' R D' B'
F2 D U' L' R D2 B'
F2 D U' L' R B' D
F2 D U' L' R B' D'
F2 D U' L' R B' D2
F2 D U' L' R' B' R2
F2 D U' L' D R B'
F2 D U' L' D B' R
F2 D U' L' D' R B'
F2 D U' L' D' B' R
F2 D U' L' D2 R B'
F2 D U' L' D2 B' R
F2 D U' L' B R B2
F2 D U' L' B' R D
F2 D U' L' B' R D'
F2 D U' L' B' R D2
F2 D U' L' B' D R
F2 D U' L' B' D' R
F2 D U' L' B' D2 R
F2 D U' R L' D B'
F2 D U' R L' D' B'
F2 D U' R L' D2 B'
F2 D U' R L' B' D
F2 D U' R L' B' D'
F2 D U' R L' B' D2
F2 D U' R D L' B'
F2 D U' R D' L' B'
F2 D U' R D2 L' B'
F2 D U' R B L' B'
F2 D U' R B' L' B'
F2 D U' R B2 L' B'
F2 D U' R' L' B' R2
F2 D U' B L' R B'
F2 D U' B L' B' R
F2 D U' B R L' B'
F2 D U' B' L' R B'
F2 D U' B' L' B' R
F2 D U' B' R L' B'
F2 D U' B2 L' R B'
F2 D U' B2 L' B' R
F2 D U' B2 R L' B'
U2 F' L' F' U L' R
U2 F' L' F' U R L'
B' D F2 R' U' L' R2
B' D F2 R' U' R2 L'
F2 D B' R' U' L' R2
F2 D B' R' U' R2 L'
U F' R' F' U2 L' R
U F' R' F' U2 R L'
R2 F' U R' F' U2 R
B' D' R' U L' R2 U2
B' D' R' U R2 L' U2
F2 D' R' U' L' R2 B'
F2 D' R' U' L' B' R2
F2 D' R' U' R2 L' B'
F2 D' R2 U' L' R' B'
F2 D' R2 U' R' L' B'
B2 D' U L' R F' U2
B2 D' U R L' F' U2
F2 D' U' L' R D B'
F2 D' U' L' R D' B'
F2 D' U' L' R D2 B'
F2 D' U' L' R B' D
F2 D' U' L' R B' D'
F2 D' U' L' R B' D2
F2 D' U' L' R' B' R2
F2 D' U' L' D R B'
F2 D' U' L' D B' R
F2 D' U' L' D' R B'
F2 D' U' L' D' B' R
F2 D' U' L' D2 R B'
F2 D' U' L' D2 B' R
F2 D' U' L' B R B2
F2 D' U' L' B' R D
F2 D' U' L' B' R D'
F2 D' U' L' B' R D2
F2 D' U' L' B' D R
F2 D' U' L' B' D' R
F2 D' U' L' B' D2 R
F2 D' U' R L' D B'
F2 D' U' R L' D' B'
F2 D' U' R L' D2 B'
F2 D' U' R L' B' D
F2 D' U' R L' B' D'
F2 D' U' R L' B' D2
F2 D' U' R D L' B'
F2 D' U' R D' L' B'
F2 D' U' R D2 L' B'
F2 D' U' R B L' B'
F2 D' U' R B' L' B'
F2 D' U' R B2 L' B'
F2 D' U' R' L' B' R2
U' F2 L' R F2 D B'
U' F2 L' R F2 D' B'
U' F2 L' R F2 D2 B'
U' F2 L' R F2 B' D
U' F2 L' R F2 B' D'
U' F2 L' R F2 B' D2
U' F2 L' R B' F2 D
U' F2 L' R B' F2 D'
U' F2 L' R B' F2 D2
U' F2 L' R' F2 R2 B'
U' F2 L' R' F2 B' R2
U' F2 L' R' B' R2 F2
U' F2 L' R' B' F2 R2
U' F2 L' R2 F2 R' B'
F2 D' U' B L' R B'
F2 D' U' B L' B' R
F2 D' U' B R L' B'
F2 D' U' B' L' R B'
F2 D' U' B' L' B' R
F2 D' U' B' R L' B'
F2 D' U' B2 L' R B'
F2 D' U' B2 L' B' R
F2 D' U' B2 R L' B'
U' F2 L' B R F2 B2
U' F2 L' B R B2 F2
U' F2 L' B' R F2 D
U' F2 L' B' R F2 D'
U' F2 L' B' R F2 D2
U' F2 L' B' R' F2 R2
U' F2 L' B' R2 F2 R'
U' F2 L2 R F2 L B'
U F2 L R B L2 F
U' F2 R L' F2 D B'
U' F2 R L' F2 D' B'
U' F2 R L' F2 D2 B'
U' F2 R L' F2 B' D
U' F2 R L' F2 B' D'
U' F2 R L' F2 B' D2
U' F2 R L' B' F2 D
U' F2 R L' B' F2 D'
U' F2 R L' B' F2 D2
U' F2 R L2 F2 L B'
U' F2 R B L' F2 B'
U' F2 R B L' B' F2
U' F2 R B' L' F2 B'
U' F2 R B' L' B' F2
U' F2 R B2 L' F2 B'
U' F2 R B2 L' B' F2
B' D' F2 R' U' L' R2
B' D' F2 R' U' R2 L'
U' F2 R' L' F2 R2 B'
U' F2 R' L' F2 B' R2
U' F2 R' L' B' R2 F2
U' F2 R' L' B' F2 R2
D2 F2 R' U' L' R2 B'
D2 F2 R' U' L' B' R2
D2 F2 R' U' R2 L' B'
D' F2 R' U' L' R2 B'
D' F2 R' U' L' B' R2
D' F2 R' U' R2 L' B'
U' F2 R2 L' F2 R' B'
U F2 R L B L2 F
D2 F2 R2 U' L' R' B'
D2 F2 R2 U' R' L' B'
D' F2 R2 U' L' R' B'
D' F2 R2 U' R' L' B'
D F2 R' U' L' R2 B'
D F2 R' U' L' B' R2
D F2 R' U' R2 L' B'
U F2 R B L2 F L
R' F2 U R2 U2 R' B
U F2 R' U2 L' R2 B
U F2 R' U2 R2 L' B
U F2 R' U2 R2 B L'
F2 D' B' R' U' L' R2
F2 D' B' R' U' R2 L'
D F2 R2 U' L' R' B'
D F2 R2 U' R' L' B'
D2 F2 U' L' R D B'
D2 F2 U' L' R D' B'
D2 F2 U' L' R D2 B'
D2 F2 U' L' R B' D
D2 F2 U' L' R B' D'
D2 F2 U' L' R B' D2
D2 F2 U' L' R' B' R2
D2 F2 U' L' D R B'
D2 F2 U' L' D B' R
D2 F2 U' L' D' R B'
D2 F2 U' L' D' B' R
D2 F2 U' L' D2 R B'
D' F2 U' L' R D B'
D' F2 U' L' R D' B'
D2 F2 U' L' D2 B' R
D' F2 U' L' R D2 B'
D' F2 U' L' R B' D
D' F2 U' L' R B' D'
D' F2 U' L' R B' D2
D' F2 U' L' R' B' R2
D2 F2 U' L' B R B2
D2 F2 U' L' B' R D
D2 F2 U' L' B' R D'
D2 F2 U' L' B' R D2
D2 F2 U' L' B' D R
D2 F2 U' L' B' D' R
D2 F2 U' L' B' D2 R
D' F2 U' L' D R B'
D' F2 U' L' D B' R
D' F2 U' L' D' R B'
D' F2 U' L' D' B' R
D' F2 U' L' D2 R B'
D' F2 U' L' D2 B' R
D' F2 U' L' B R B2
D' F2 U' L' B' R D
D' F2 U' L' B' R D'
D' F2 U' L' B' R D2
D' F2 U' L' B' D R
D' F2 U' L' B' D' R
D' F2 U' L' B' D2 R
L' F2 U' L U' L2 B'
D2 F2 U' R L' D B'
D2 F2 U' R L' D' B'
D2 F2 U' R L' D2 B'
D2 F2 U' R L' B' D
D2 F2 U' R L' B' D'
D2 F2 U' R L' B' D2
D2 F2 U' R D L' B'
D2 F2 U' R D' L' B'
D' F2 U' R L' D B'
D' F2 U' R L' D' B'
D' F2 U' R L' D2 B'
D2 F2 U' R D2 L' B'
D' F2 U' R L' B' D
D' F2 U' R L' B' D'
D' F2 U' R L' B' D2
D2 F2 U' R B L' B'
D' F2 U' R D L' B'
D2 F2 U' R B' L' B'
D' F2 U' R D' L' B'
D2 F2 U' R B2 L' B'
D' F2 U' R D2 L' B'
D2 F2 U' R' L' B' R2
D' F2 U' R B L' B'
D' F2 U' R B' L' B'
D' F2 U' R B2 L' B'
D' F2 U' R' L' B' R2
U F2 R2 U2 L' R' B
U F2 R2 U2 R' L' B
U F2 R2 U2 R' B L'
D2 F2 U' D L' R B'
D2 F2 U' D L' B' R
D2 F2 U' D R L' B'
D' F2 U' D L' R B'
D' F2 U' D L' B' R
D' F2 U' D R L' B'
D2 F2 U' D' L' R B'
D2 F2 U' D' L' B' R
D2 F2 U' D' R L' B'
D' F2 U' D' L' R B'
D' F2 U' D' L' B' R
D' F2 U' D' R L' B'
D2 F2 U' D2 L' R B'
R2 F2 U R' U2 R2 B
D2 F2 U' D2 L' B' R
D2 F2 U' D2 R L' B'
R2 F2 U R' F' U2 R2
D' F2 U' D2 L' R B'
D' F2 U' D2 L' B' R
D' F2 U' D2 R L' B'
D2 F2 U' B L' R B'
D2 F2 U' B L' B' R
D2 F2 U' B R L' B'
U' F2 U2 L' R F2 B
U' F2 U2 L' R B F2
D' F2 U' B L' R B'
D' F2 U' B L' B' R
D' F2 U' B R L' B'
D2 F2 U' B' L' R B'
D2 F2 U' B' L' B' R
D2 F2 U' B' R L' B'
D' F2 U' B' L' R B'
D' F2 U' B' L' B' R
D' F2 U' B' R L' B'
D2 F2 U' B2 L' R B'
D2 F2 U' B2 L' B' R
D2 F2 U' B2 R L' B'
U' F2 U2 R L' F2 B
U' F2 U2 R L' B F2
D' F2 U' B2 L' R B'
D' F2 U' B2 L' B' R
D' F2 U' B2 R L' B'
U' F2 U2 R B L' F2
D F2 U' L' R D B'
D F2 U' L' R D' B'
D F2 U' L' R D2 B'
D F2 U' L' R B' D
D F2 U' L' R B' D'
D F2 U' L' R B' D2
D F2 U' L' R' B' R2
D F2 U' L' D R B'
D F2 U' L' D B' R
D F2 U' L' D' R B'
D F2 U' L' D' B' R
D F2 U' L' D2 R B'
D F2 U' L' D2 B' R
D F2 U' L' B R B2
D F2 U' L' B' R D
D F2 U' L' B' R D'
D F2 U' L' B' R D2
D F2 U' L' B' D R
D F2 U' L' B' D' R
D F2 U' L' B' D2 R
D F2 U' R L' D B'
D F2 U' R L' D' B'
D F2 U' R L' D2 B'
D F2 U' R L' B' D
D F2 U' R L' B' D'
D F2 U' R L' B' D2
D F2 U' R D L' B'
D F2 U' R D' L' B'
D F2 U' R D2 L' B'
D F2 U' R B L' B'
D F2 U' R B' L' B'
D F2 U' R B2 L' B'
D F2 U' R' L' B' R2
D F2 U' D L' R B'
D F2 U' D L' B' R
D F2 U' D R L' B'
D F2 U' D' L' R B'
D F2 U' D' L' B' R
D F2 U' D' R L' B'
D F2 U' D2 L' R B'
D F2 U' D2 L' B' R
D F2 U' D2 R L' B'
D F2 U' B L' R B'
D F2 U' B L' B' R
D F2 U' B R L' B'
D F2 U' B' L' R B'
D F2 U' B' L' B' R
D F2 U' B' R L' B'
D F2 U' B2 L' R B'
D F2 U' B2 L' B' R
D F2 U' B2 R L' B'
D2 F2 D U' L' R B'
D2 F2 D U' L' B' R
D2 F2 D U' R L' B'
D' F2 D U' L' R B'
D' F2 D U' L' B' R
D' F2 D U' R L' B'
U F2 U2 L' R D B'
U F2 U2 L' R D' B'
U F2 U2 L' R D2 B'
U F2 U2 L' R B' D
U F2 U2 L' R B' D'
U F2 U2 L' R B' D2
U F2 U2 L' R' B' R2
U F2 U2 L' D R B'
U F2 U2 L' D B' R
U F2 U2 L' D' R B'
U F2 U2 L' D' B' R
U F2 U2 L' D2 R B'
U F2 U2 L' D2 B' R
U F2 U2 L' B R B2
U F2 U2 L' B' R D
U F2 U2 L' B' R D'
U F2 U2 L' B' R D2
U F2 U2 L' B' D R
U F2 U2 L' B' D' R
U F2 U2 L' B' D2 R
U F2 U2 R L' D B'
U F2 U2 R L' D' B'
U F2 U2 R L' D2 B'
U F2 U2 R L' B' D
U F2 U2 R L' B' D'
U F2 U2 R L' B' D2
U F2 U2 R D L' B'
U F2 U2 R D' L' B'
U F2 U2 R D2 L' B'
U F2 U2 R B L' B'
U F2 U2 R B' L' B'
U F2 U2 R B2 L' B'
U F2 U2 R' L' B' R2
U F2 U2 D L' R B'
U F2 U2 D L' B' R
U F2 U2 D R L' B'
D2 F2 D' U' L' R B'
D2 F2 D' U' L' B' R
D2 F2 D' U' R L' B'
U F2 U2 D' L' R B'
D' F2 D' U' L' R B'
U F2 U2 D' L' B' R
D' F2 D' U' L' B' R
U F2 U2 D' R L' B'
D' F2 D' U' R L' B'
U F2 U2 D2 L' R B'
U F2 U2 D2 L' B' R
U F2 U2 D2 R L' B'
U F2 U2 B L' R B'
U F2 U2 B L' B' R
U F2 U2 B R L' B'
U F2 U2 B' L' R B'
U F2 U2 B' L' B' R
U F2 U2 B' R L' B'
D F2 D U' L' R B'
D F2 D U' L' B' R
D F2 D U' R L' B'
U F2 U2 B2 L' R B'
U F2 U2 B2 L' B' R
U F2 U2 B2 R L' B'
D2 F2 D2 U' L' R B'
D2 F2 D2 U' L' B' R
D2 F2 D2 U' R L' B'
D' F2 D2 U' L' R B'
D' F2 D2 U' L' B' R
D' F2 D2 U' R L' B'
U F2 D U2 L' R B'
U F2 D U2 L' B' R
U F2 D U2 R L' B'
B' D2 R' U L' R2 U2
B' D2 R' U R2 L' U2
U' F2 B L' R F2 B'
U' F2 B L' R B' F2
U' F2 B L' B' R F2
U' F2 B R L' F2 B'
U' F2 B R L' B' F2
D F2 D' U' L' R B'
D F2 D' U' L' B' R
D F2 D' U' R L' B'
F2 D2 R' U' L' R2 B'
F2 D2 R' U' L' B' R2
F2 D2 R' U' R2 L' B'
U F2 D' U2 L' R B'
U F2 D' U2 L' B' R
U F2 D' U2 R L' B'
U' F2 B' L' R F2 B'
U' F2 B' L' R B' F2
U' F2 B' L' B' R F2
U' F2 B' R L' F2 B'
U' F2 B' R L' F2 B'
U' F2 B' R L' B' F2
D F2 D2 U' L' R B'
D F2 D2 U' L' B' R
D F2 D2 U' R L' B'
D2 F2 B' R' U' L' R2
D2 F2 B' R' U' R2 L'
D' F2 B' R' U' L' R2
D' F2 B' R' U' R2 L'
F2 D2 R2 U' L' R' B'
F2 D2 R2 U' R' L' B'
U' F2 B2 L' R F2 B'
U' F2 B2 L' R B' F2
U' F2 B2 L' B' R F2
U' F2 B2 R L' F2 B'
U' F2 B2 R L' B' F2
U F2 D2 U2 L' R B'
U F2 D2 U2 L' B' R
U F2 D2 U2 R L' B'
D F2 B' R' U' L' R2
D F2 B' R' U' R2 L'
F2 D2 U' L' R D B'
F2 D2 U' L' R D' B'
F2 D2 U' L' R D2 B'
F2 D2 U' L' R B' D
F2 D2 U' L' R B' D'
F2 D2 U' L' R B' D2
F2 D2 U' L' R' B' R2
F2 D2 U' L' D R B'
F2 D2 U' L' D B' R
F2 D2 U' L' D' R B'
F2 D2 U' L' D' B' R
