F2 U' L' U' R'
F2 L U' L2 U' R'
F2 L U2 R' D F2
F2 L U2 D R' F2
F2 L U2 D F2 R'
F2 L D U2 R' F2
F2 L D U2 F2 R'
F2 L D' B2 L U2
B2 L F2 U' L' U'
F2 L2 U' L U' R'
U R U R2 D2 B2
D2 R U B2 L R2
D2 R U B2 R2 L
U R U' F2 U2 R2
R U' R' F2 U2 R'
R U' F2 R' U2 R'
D' R' D' F2 L' B2
D' R' D' F2 B2 L'
D' R' D' B2 F2 L'
U2 R' D' F2 D' B2
U2 R' D' F2 D' B2
U2 R' D2 B2 D F2
D2 R' B2 D' F2 L'
D' U L2 R U R2
D2 U R U R2 B2
D2 U R U B2 R2
D' U R L2 U R2
U D' L2 R U R2
F2 U' L' U' R' D
F2 U' L' U' R' D'
F2 U' L' U' R' D2
F2 U' L' U' R' D2
F2 U' L' U' D R'
F2 U' L' U' D' R'
F2 U' L' U' D2 R'
F2 U' L' D U' R'
F2 U' L' D' U' R'
F2 U' L' D2 U' R'
U D' R L2 U R2
F2 U' L' F U' R'
F2 U' L' F' U' R'
F2 U' L' F2 U' R'
U2 D' R' D' F2 B2
U2 D' R' D' B2 F2
R' D' F2 D' L' B2
R' D' F2 D' B2 L'
F2 U' D L' U' R'
F2 U' D' L' U' R'
F2 U' D2 L' U' R'
F2 U' F U' R' F'
U D2 R U R2 B2
U D2 R U B2 R2
D' U2 R' D' F2 B2
D' U2 R' D' B2 F2
D2 U2 R' B2 D' F2
U2 D2 R' B2 D' F2
F2 U2 R' U L' U'
R' D2 B2 D F2 L'
F2 U2 F2 R' D' F2
F2 D U' L' U' R'
F2 D' U' L' U' R'
L' F2 U' L' U' R'
L2 F2 U' L' U' R'
L F2 U' L' U' R'
F2 D2 U' L' U' R'
B2 F2 L U' L2 U'
B2 F2 L U2 D F2
F2 B2 L U' L2 U'
B2 F2 L D U2 F2
F2 B2 L U2 D F2
B2 F2 L D' B2 U2
F2 B2 L D U2 F2
F2 B2 L D' B2 U2
F2 U' L' F2 D U' R'
F2 U' L' F2 D' U' R'
F2 U' L' F2 D2 U' R'
U2 D' R' U' L2 R2 U
U2 D' R' U' R2 L2 U
R' D' F' D' F' L' B2
R' D' F' D' F' B2 L'
R' D' F' D' B2 F' L'
U2 D' R' D' F2 B2 D
U2 D' R' D' F2 B2 D'
U2 D' R' D' F2 B2 D2
U2 D' R' D' B2 F2 D
U2 D' R' D' B2 F2 D'
U2 D' R' D' B2 F2 D2
U D' R B L2 U R2
U2 D' R' F D' F2 B2
U2 D' R' F D' B2 F2
U D' R B' L2 U R2
U2 D' R' F' D' F2 B2
U2 D' R' F' D' B2 F2
F2 U' L2 D L U' R'
U D' R B2 L2 U R2
U2 D' R' F2 D' F2 B2
U2 D' R' F2 D' B2 F2
F2 U' L2 D' L U' R'
R' D' F2 L' U' L' U
U2 D' R' B D' F2 B2
U2 D' R' B D' B2 F2
F2 U' L2 D2 L U' R'
U2 D' R' B' D' F2 B2
U2 D' R' B' D' B2 F2
F2 U' L2 F L U' R'
U2 D' R' B2 D' F2 B2
U2 D' R' B2 D' B2 F2
F2 U' L2 F' L U' R'
F2 U' L2 F2 L U' R'
R' D' F2 U' L2 U L
R' D' F2 D L' D2 B2
R' D' F2 D' L B2 L2
R' D' F2 D' L' B2 D
R' D' F2 D' L' B2 D'
R' D' F2 D' L' B2 D2
R' D' F2 D' B L' B
R' D' F2 D' B2 L' D
R' D' F2 D' B2 L' D'
R' D' F2 D' B2 L' D2
R' D' F2 D' B2 D L'
R' D' F2 D' B2 D' L'
R' D' F2 D' B2 D2 L'
R' D' F2 D2 L' D B2
R' D' F2 B D' L' B2
R' D' F2 B D' B2 L'
R' D' F2 B' D' L' B2
R' D' F2 B' D' B2 L'
R' D' F2 B2 D' L' B2
R' D' F2 B2 D' B2 L'
D U' R2 U' R D' F2
D U' R2 U2 R' U R2
R' D' B F2 D' L' B2
R' D' B F2 D' B2 L'
D2 U' F' U' R' F' B2
D2 U' F' U' R' B2 F'
F' U' R2 U' B R F'
D2 U' F2 L' U' R' B2
R' D' B' F2 D' L' B2
R' D' B' F2 D' B2 L'
F2 U' D L' U' R' D
F2 U' D L' U' R' D'
F2 U' D L' U' R' D2
F2 U' D L' U' D R'
F2 U' D L' U' D' R'
F2 U' D L' U' D2 R'
F2 U' D L' D U' R'
F2 U' D L' D' U' R'
F2 U' D L' D2 U' R'
F2 U' D L' F U' R'
F2 U' D L' F' U' R'
F2 U' D L' F2 U' R'
D U' F2 L' R2 U' R
R' D' B2 F2 D' L' B2
R' D' B2 F2 D' B2 L'
F2 U' D F U' R' F'
D U' F2 R2 L' U' R
F2 U' D' L' U' R' D
F2 U' D' L' U' R' D'
F2 U' D' L' U' R' D2
F2 U' D' L' U' D R'
F2 U' D' L' U' D' R'
F2 U' D' L' U' D2 R'
F2 U' D' L' D U' R'
F2 U' D' L' D' U' R'
F2 U' D' L' D2 U' R'
F2 U' D' L' F U' R'
F2 U' D' L' F' U' R'
F2 U' D' L' F2 U' R'
F2 U' D' F U' R' F'
F2 U' D2 L' U' R' D
F2 U' D2 L' U' R' D'
F2 U' D2 L' U' R' D2
F2 U' D2 L' U' D R'
F2 U' D2 L' U' D' R'
F2 U' D2 L' U' D2 R'
F2 U' D2 L' D U' R'
F2 U' D2 L' D' U' R'
F2 U' D2 L' D2 U' R'
F2 U' D2 L' F U' R'
F2 U' D2 L' F' U' R'
F2 U' D2 L' F2 U' R'
F2 U' D2 F U' R' F'
F2 U' F L U' R' F'
R D2 L U B2 L R'
R D2 L U B2 R' L
F2 U' F L' U' R' F'
F2 U' F L2 U' R' F'
F2 U' F U' R' D F'
F2 U' F U' R' D' F'
F2 U' F U' R' D2 F'
F2 U' F U' R' F' D
F2 U' F U' R' F' D'
F2 U' F U' R' F' D2
F2 U' F U' D R' F'
F2 U' F U' D' R' F'
F2 U' F U' D2 R' F'
F2 U' F U' F R' F'
F2 U' F U' F' R' F'
F2 U' F U' F2 R' F'
F2 U' F D U' R' F'
F2 U' F D' U' R' F'
F2 U' F D2 U' R' F'
R2 D2 L2 R B2 D' F2
L' D2 R U B2 L R2
L' D2 R U B2 R2 L
L2 D2 R U B2 L R2
L2 D2 R U B2 R2 L
U D2 L R U R2 B2
U D2 L R U B2 R2
R2 D2 R L2 B2 D' F2
D' U2 L2 R U L2 R2
D' U2 L2 R U R2 L2
F2 U' F2 U' R' D' F2
F2 U' F2 U2 R U R2
R2 D2 R B2 L2 D' F2
L D2 R U B2 L R2
L D2 R U B2 R2 L
U D2 L' R U R2 B2
U D2 L' R U B2 R2
L' D2 R' B2 D' F2 L'
R2 D2 R' U L2 R2 B2
R2 D2 R' U L2 B2 R2
R2 D2 R' U R2 L2 B2
R2 D2 R' U R2 B2 L2
R2 D2 R' U B2 L2 R2
R2 D2 R' U B2 R2 L2
D' U2 R L2 U L2 R2
D' U2 R L2 U R2 L2
L2 D2 R' B2 D' F2 L'
U D2 L2 R U R2 B2
U D2 L2 R U B2 R2
F2 U' B' L' B U' R'
L' D2 U R U R2 B2
L' D2 U R U B2 R2
D2 U2 R B2 R2 D' F2
D' U2 R' U' L2 R2 U
D' U2 R' U' R2 L2 U
L D2 R' B2 D' F2 L'
D2 U2 R' U' R2 U B2
D' U2 R' D' F2 B2 D
D' U2 R' D' F2 B2 D'
D' U2 R' D' F2 B2 D2
D' U2 R' D' B2 F2 D
D' U2 R' D' B2 F2 D'
D' U2 R' D' B2 F2 D2
L2 D2 U R U R2 B2
L2 D2 U R U B2 R2
D' U2 R' F D' F2 B2
D' U2 R' F D' B2 F2
D2 U2 R' D' F2 D B2
D' U2 R' F' D' F2 B2
D' U2 R' F' D' B2 F2
U D2 R L U R2 B2
U D2 R L U B2 R2
U2 D2 R B2 R2 D' F2
D' U2 R' F2 D' F2 B2
D' U2 R' F2 D' B2 F2
U D2 R L' U R2 B2
U D2 R L' U B2 R2
D2 U2 R' F B2 D' F2
D' U2 R' B D' F2 B2
D' U2 R' B D' B2 F2
U D2 R L2 U R2 B2
U D2 R L2 U B2 R2
D2 U2 R' F' B2 D' F2
D' U2 R' B' D' F2 B2
D' U2 R' B' D' B2 F2
U D2 R U R B2 R
U D2 R U R2 B2 D
U D2 R U R2 B2 D'
U D2 R U R2 B2 D2
D2 U2 R' F2 B2 D' F2
D' U2 R' B2 D' F2 B2
D' U2 R' B2 D' B2 F2
U D2 R U B' R2 B'
U D2 R U B2 R2 D
U D2 R U B2 R2 D'
U D2 R U B2 R2 D2
D2 U2 R' B D' F2 B
D2 U2 R' B D' B F2
U2 D2 R' U' R2 U B2
D2 U2 R' B' D' F2 B'
D2 U2 R' B' D' B' F2
U D2 R D L2 B2 U
D2 U2 R' B2 U' R2 U
D2 U2 R' B2 D' F2 D
D2 U2 R' B2 D' F2 D'
D2 U2 R' B2 D' F2 D2
D2 U2 R' B2 F D' F2
D2 U2 R' B2 F' D' F2
D2 U2 R' B2 F2 D' F2
U D2 R D B2 L2 U
U2 D2 R' D' F2 D B2
U2 D2 R' F B2 D' F2
U2 D2 R' F' B2 D' F2
R D2 U L B2 L R'
U D2 R B U B R2
R D2 U L B2 R' L
L D2 U R U R2 B2
L D2 U R U B2 R2
U2 D2 R' F2 B2 D' F2
U D2 R B' U R2 B'
U D2 R B' U B' R2
U2 D2 R' B D' F2 B
U2 D2 R' B D' B F2
F2 U2 L R' D L' F2
U2 D2 R' B' D' F2 B'
U2 D2 R' B' D' B' F2
U2 D2 R' B2 U' R2 U
U2 D2 R' B2 D' F2 D
U2 D2 R' B2 D' F2 D'
U2 D2 R' B2 D' F2 D2
U2 D2 R' B2 F D' F2
U2 D2 R' B2 F' D' F2
U2 D2 R' B2 F2 D' F2
L' D2 U2 R' B2 D' F2
F2 U2 L D L' R' F2
F2 U2 L D L' F2 R'
F2 U2 L D R' L' F2
R D2 U B2 D2 L R2
R D2 U B2 D2 R2 L
L2 D2 U2 R' B2 D' F2
R D2 U' L2 R' U2 B2
R D2 U' L2 U2 B2 L
R D2 U' R' L2 U2 B2
L D2 U2 R' B2 D' F2
U' D2 F' U' R' F' B2
U' D2 F' U' R' B2 F'
U' D2 F2 L' U' R' B2
F2 U2 R U L' U' R2
R' D2 F2 B2 D L' F2
F2 U2 R' L D L' F2
R' D2 B D F2 L' B
R' D2 B D F2 B L'
R' D2 B D B F2 L'
F2 U2 R' U L' U' D
F2 U2 R' U L' U' D'
F2 U2 R' U L' U' D2
F2 U2 R' U L' D U'
F2 U2 R' U L' D' U'
F2 U2 R' U L' D2 U'
F2 U2 R' U D L' U'
F2 U2 R' U D' L' U'
F2 U2 R' U D2 L' U'
F2 U2 R' D U L' U'
F2 U2 R' D' U L' U'
F2 U2 R' D2 U L' U'
F2 U2 R' F2 U' R U
R' D2 B' D F2 B' L'
R' D2 B' D B' F2 L'
F2 U2 R2 U L' U' R
R' D2 B2 D L F2 L'
R' D2 B2 D L' F2 L'
R' D2 B2 D L2 F2 L'
R' D2 B2 D F2 L' D
R' D2 B2 D F2 L' D'
R' D2 B2 D F2 L' D2
R' D2 B2 D F2 D L'
R' D2 B2 D F2 D' L'
R' D2 B2 D F2 D2 L'
F2 U2 D R' U L' U'
R' D2 B2 F2 D L' F2
F2 U2 D F2 R' D' F2
F2 U2 D' R' U L' U'
F2 U2 D' F2 R' D' F2
F2 U2 D2 R' U L' U'
F2 U2 D2 F2 R' D' F2
B2 U2 D2 B2 R' D' F2
F2 U2 F' R2 D R F'
F2 U2 F' D R F' R2
F2 U2 F2 R' U' R2 U
F2 U2 F2 R' D' F2 D
F2 U2 F2 R' D' F2 D'
F2 U2 F2 R' D' F2 D2
F2 U2 F2 R' F D' F2
F2 U2 F2 R' F' D' F2
F2 U2 F2 R' F2 D' F2
F2 U2 F2 U' R U R2
F2 U2 F2 D R' D' F2
F2 U2 F2 D' R' D' F2
F2 U2 F2 D2 R' D' F2
F2 D L U' L2 U' R'
F2 D L U2 R' D F2
F2 D L U2 D R' F2
F2 D L U2 D F2 R'
F2 D L D U2 R' F2
F2 D L D U2 F2 R'
F2 D L D' B2 L U2
R F U' R' F U2 R'
R F U' F R' U2 R'
F2 D L2 U' L U' R'
F2 D U' L' U' R' D
F2 D U' L' U' R' D'
F2 D U' L' U' R' D2
F2 D U' L' U' D R'
F2 D U' L' U' D' R'
F2 D U' L' U' D2 R'
F2 D U' L' D U' R'
F2 D U' L' D' U' R'
F2 D U' L' D2 U' R'
F2 D U' L' F U' R'
F2 D U' L' F' U' R'
F2 D U' L' F2 U' R'
F2 D U' F U' R' F'
F2 D U2 R' U L' U'
F2 D U2 F2 R' D' F2
F' D F' U' L' U' R'
F D F U2 R F' R2
U' F' U F' U2 R' F'
F2 D B2 L U' L2 U'
F2 D B2 L U2 D F2
F2 D B2 L D U2 F2
F2 D B2 L D' B2 U2
U' F' U' R2 B R F'
R F' R2 D' F2 L' B
R F' R2 D' F2 B L'
R F' R2 D' B F2 L'
R F' R2 B D' F2 L'
B2 D' L U L R U
B2 D' L U R L U
F2 D' L U' L2 U' R'
F2 D' L U2 R' D F2
F2 D' L U2 D R' F2
F2 D' L U2 D F2 R'
F2 D' L D U2 R' F2
F2 D' L D U2 F2 R'
F2 D' L D' B2 L U2
D F' U' R2 U' R F'
R F' U B R2 B L
R F' U B2 L R2 B
R F' U B2 R2 L B
R F' U' R' U2 R' B
R F' U' F' R' U2 R'
F2 D' L2 U' L U' R'
F D' L2 U2 R' F' B'
F D' L2 U2 R' B' F'
L' F2 L U' L2 U' R'
L' F2 L U2 R' D F2
L' F2 L U2 D R' F2
L' F2 L U2 D F2 R'
F2 D' U' L' U' R' D
F2 D' U' L' U' R' D'
F2 D' U' L' U' R' D2
F2 D' U' L' U' D R'
F2 D' U' L' U' D' R'
F2 D' U' L' U' D2 R'
F2 D' U' L' D U' R'
F2 D' U' L' D' U' R'
F2 D' U' L' D2 U' R'
F2 D' U' L' F U' R'
F2 D' U' L' F' U' R'
F2 D' U' L' F2 U' R'
B D' U L2 R B U
L' F2 L D U2 R' F2
L' F2 L D U2 F2 R'
B D' U R L2 B U
L' F2 L D' B2 L U2
B D' U R B L2 U
F2 D' U' F U' R' F'
L2 F2 L U' L2 U' R'
L2 F2 L U2 R' D F2
L2 F2 L U2 D R' F2
L2 F2 L U2 D F2 R'
L2 F2 L D U2 R' F2
L2 F2 L D U2 F2 R'
L2 F2 L D' B2 L U2
R' F2 L' D' F2 D2 B2
F2 D' U2 R' U L' U'
F2 D' U2 F2 R' D' F2
R F' B2 U L R2 B
R F' B2 U R2 L B
L F2 L U' L2 U' R'
R2 F2 L' R2 U R U
L F2 L U2 R' D F2
L F2 L U2 D R' F2
L F2 L U2 D F2 R'
L' F2 L2 U' L U' R'
L F2 L D U2 R' F2
L F2 L D U2 F2 R'
L F2 L D' B2 L U2
L2 F2 L2 U' L U' R'
F' D' F' U' L' U' R'
F D' F L' U2 R' F
F D' F L' U2 F R'
F D' F L2 U2 R' F'
L F2 L2 U' L U' R'
F D' F B2 L B' U2
R2 F2 R2 L' U R U
R F2 R' U R U R2
R F2 R' U2 R' D' F2
U' F2 U' L' U' L R'
U' F2 U' L' U' R' L
D2 F2 U' L' U' R' B2
F2 D' B2 L U' L2 U'
F2 D' B2 L U2 D F2
F2 D' B2 L D U2 F2
F2 D' B2 L D' B2 U2
L' F2 U' L' U' R' D
L' F2 U' L' U' R' D'
L' F2 U' L' U' R' D2
L' F2 U' L' U' D R'
L' F2 U' L' U' D' R'
L' F2 U' L' U' D2 R'
L' F2 U' L' D U' R'
L' F2 U' L' D' U' R'
L' F2 U' L' D2 U' R'
L' F2 U' L' F U' R'
L' F2 U' L' F' U' R'
L' F2 U' L' F2 U' R'
L' F2 U' D L' U' R'
L' F2 U' D' L' U' R'
L' F2 U' D2 L' U' R'
L' F2 U' F U' R' F'
L2 F2 U' L' U' R' D
L2 F2 U' L' U' R' D'
L2 F2 U' L' U' R' D2
L2 F2 U' L' U' D R'
L2 F2 U' L' U' D' R'
L2 F2 U' L' U' D2 R'
L2 F2 U' L' D U' R'
L2 F2 U' L' D' U' R'
L2 F2 U' L' D2 U' R'
L2 F2 U' L' F U' R'
L2 F2 U' L' F' U' R'
L2 F2 U' L' F2 U' R'
B2 D2 L U R U B2
L2 F2 U' D L' U' R'
L2 F2 U' D' L' U' R'
F2 D2 L U' L2 U' R'
L2 F2 U' D2 L' U' R'
F2 D2 L U2 R' D F2
F2 D2 L U2 D R' F2
F2 D2 L U2 D F2 R'
L2 F2 U' F U' R' F'
L' F2 U2 R' U L' U'
F2 D2 L D U2 R' F2
F2 D2 L D U2 F2 R'
D F2 U' L' R2 U' R
F2 D2 L D' B2 L U2
U F2 U F2 R U R2
D F2 U' R2 L' U' R
L' F2 U2 F2 R' D' F2
L2 F2 U2 R' U L' U'
L F2 U' L' U' R' D
L F2 U' L' U' R' D'
L F2 U' L' U' R' D2
L F2 U' L' U' D R'
L F2 U' L' U' D' R'
L F2 U' L' U' D2 R'
L F2 U' L' D U' R'
L F2 U' L' D' U' R'
L F2 U' L' D2 U' R'
L F2 U' L' F U' R'
L F2 U' L' F' U' R'
L F2 U' L' F2 U' R'
F D' B2 F L B' U2
L F2 U' D L' U' R'
L F2 U' D' L' U' R'
L2 F2 U2 F2 R' D' F2
L F2 U' D2 L' U' R'
L' F2 D U' L' U' R'
L F2 U' F U' R' F'
R' F2 D' L' F2 D2 B2
L2 F2 D U' L' U' R'
F2 D2 L2 U' L U' R'
L F2 U2 R' U L' U'
L' F2 D' U' L' U' R'
L F2 U2 F2 R' D' F2
B2 D2 R U B2 L R'
B2 D2 R U B2 R' L
L2 F2 D' U' L' U' R'
L F2 D U' L' U' R'
L' F2 D2 U' L' U' R'
L2 F2 D2 U' L' U' R'
L F2 D' U' L' U' R'
L F2 D2 U' L' U' R'
L' F2 B2 L U' L2 U'
L' F2 B2 L U2 D F2
L' F2 B2 L D U2 F2
L' F2 B2 L D' B2 U2
B2 D2 U R U B2 R'
L2 F2 B2 L U' L2 U'
L2 F2 B2 L U2 D F2
L2 F2 B2 L D U2 F2
L2 F2 B2 L D' B2 U2
F2 D2 U' L' U' R' D
F2 D2 U' L' U' R' D'
F2 D2 U' L' U' R' D2
F2 D2 U' L' U' D R'
F2 D2 U' L' U' D' R'
F2 D2 U' L' U' D2 R'
F2 D2 U' L' D U' R'
F2 D2 U' L' D' U' R'
F2 D2 U' L' D2 U' R'
F2 D2 U' L' F U' R'
F2 D2 U' L' F' U' R'
F2 D2 U' L' F2 U' R'
B D2 U R B U B
F2 D2 U' F U' R' F'
L F2 B2 L U' L2 U'
L F2 B2 L U2 D F2
L F2 B2 L D U2 F2
L F2 B2 L D' B2 U2
F2 D2 U2 R' U L' U'
F2 D2 U2 F2 R' D' F2
B2 D2 U2 B2 R' D' F2
F' D2 F' U' L' U' R'
D' B U L2 R B U
D' B U R L2 B U
D' B U R B L2 U
F2 D2 B2 L U' L2 U'
F2 D2 B2 L U2 D F2
F2 D2 B2 L D U2 F2
F2 D2 B2 L D' B2 U2
B2 D2 B2 R' D' F2 L'
F2 B L2 U' L F U'
R' B D' F2 D' L' B2
R' B D' F2 D' B2 L'
R' B D2 B2 D F2 L'
F2 B U' L F L2 U'
F2 B U' L' U2 B' U
B2 F D' F L B' U2
B2 F' L F' U' L' U'
R' B' D' F2 D' L' B2
R' B' D' F2 D' B2 L'
R' B' D2 B2 D F2 L'
F2 B' U' D L' F U'
D' B2 L U L R U
D' B2 L U R L U
F2 B' D U' L' F U'
L' B2 L F2 U' L' U'
L2 B2 L F2 U' L' U'
L B2 L F2 U' L' U'
B2 F2 L U D2 R2 U
B2 F2 L U' L2 U' D
B2 F2 L U' L2 U' D'
B2 F2 L U' L2 U' D2
B2 F2 L U' L2 D U'
B2 F2 L U' L2 D' U'
B2 F2 L U' L2 D2 U'
B2 F2 L U2 D F2 D
B2 F2 L U2 D F2 D'
B2 F2 L U2 D F2 D2
B2 F2 L U2 F D F2
B2 F2 L U2 F' D F2
F2 B2 L U D2 R2 U
B2 F2 L U2 F2 D F2
F2 B2 L U' L2 U' D
F2 B2 L U' L2 U' D'
F2 B2 L U' L2 U' D2
F2 B2 L U' L2 D U'
F2 B2 L U' L2 D' U'
F2 B2 L U' L2 D2 U'
B2 F2 L D U2 F2 D
B2 F2 L D U2 F2 D'
B2 F2 L D U2 F2 D2
B2 F2 L D B U2 F2
B2 F2 L D B' U2 F2
B2 F2 L D B2 U2 F2
F' B2 L F' U' L' U'
F2 B2 L U2 D F2 D
F2 B2 L U2 D F2 D'
F2 B2 L U2 D F2 D2
F2 B2 L U2 F D F2
F2 B2 L U2 F' D F2
B2 F2 L D' B2 U2 D
B2 F2 L D' B2 U2 D'
B2 F2 L D' B2 U2 D2
B2 F2 L D' B2 D U2
B2 F2 L D' B2 D' U2
B2 F2 L D' B2 D2 U2
F2 B2 L U2 F2 D F2
B2 F2 L D2 U R2 U
F2 B2 L D U2 F2 D
F2 B2 L D U2 F2 D'
F2 B2 L D U2 F2 D2
F2 B2 L D B U2 F2
F2 B2 L D B' U2 F2
F2 B2 L D B2 U2 F2
F2 B2 L D' B2 U2 D
F2 B2 L D' B2 U2 D'
F2 B2 L D' B2 U2 D2
F2 B2 L D' B2 D U2
F2 B2 L D' B2 D' U2
F2 B2 L D' B2 D2 U2
F2 B2 L D2 U R2 U
B2 F2 L B U' L2 U'
B2 F2 L B U2 D F2
B2 F2 L B D U2 F2
B2 F2 L B D' B2 U2
B2 F2 L B' U' L2 U'
B2 F2 L B' U2 D F2
B2 F2 L B' D U2 F2
B2 F2 L B' D' B2 U2
B2 F2 L B2 U' L2 U'
B2 F2 L B2 U2 D F2
B2 F2 L B2 D U2 F2
F2 B2 L B U' L2 U'
B2 F2 L B2 D' B2 U2
F2 B2 L B U2 D F2
F2 B2 L B D U2 F2
F2 B2 L B D' B2 U2
F2 B2 L B' U' L2 U'
F2 B2 L B' U2 D F2
F2 B2 L B' D U2 F2
F2 B2 L B' D' B2 U2
F2 B2 L B2 U' L2 U'
F2 B2 L B2 U2 D F2
F2 B2 L B2 D U2 F2
F2 B2 L B2 D' B2 U2
U B2 R U D2 B2 R'
U B2 R U' L F2 U2
U B2 R U' F2 L U2
U B2 R D2 U B2 R'
B F2 L2 U' L F U'
R B2 U L R2 D2 B2
R B2 U R2 L D2 B2
R B2 U R2 D2 L B2
R B2 U D2 L B2 R'
B' F2 U' D L' F U'
B2 F2 U' L' U L2 U2
B2 F2 U' L' U' D2 R2
B2 F2 U' L' D F2 U'
B2 F2 U' L' D2 U' R2
F2 B2 U' L' U L2 U2
F2 B2 U' L' U' D2 R2
F2 B2 U' L' D F2 U'
F2 B2 U' L' D2 U' R2
R B2 U' F2 U2 L R2
R B2 U' F2 U2 R2 L
R' B2 D' F2 D' L' B2
R' B2 D' F2 D' B2 L'
B F2 U' L F L2 U'
B F2 U' L' U2 B' U
B' F2 D U' L' F U'
R' B2 D2 B2 D F2 L'
B2 F2 D L U' L2 U'
B2 F2 D L U2 D F2
B2 F2 D L D U2 F2
B2 F2 D L D' B2 U2
F2 B2 D L U' L2 U'
F2 B2 D L U2 D F2
F2 B2 D L D U2 F2
F2 B2 D L D' B2 U2
U2 B2 D2 B2 R' D' F2
B2 F2 D' L U' L2 U'
B2 F2 D' L U2 D F2
B2 F2 D' L D U2 F2
B2 F2 D' L D' B2 U2
F2 B2 D' L U' L2 U'
F2 B2 D' L U2 D F2
F2 B2 D' L D U2 F2
F2 B2 D' L D' B2 U2
U B2 D2 R U B2 R'
L' B2 F2 L U' L2 U'
L' B2 F2 L U2 D F2
L' B2 F2 L D U2 F2
L' B2 F2 L D' B2 U2
B2 F2 D2 L U' L2 U'
B2 F2 D2 L U2 D F2
B2 F2 D2 L D U2 F2
B2 F2 D2 L D' B2 U2
F2 B2 D2 L U' L2 U'
F2 B2 D2 L U2 D F2
F2 B2 D2 L D U2 F2
F2 B2 D2 L D' B2 U2
R B2 D2 U L B2 R'
L2 B2 F2 L U' L2 U'
L2 B2 F2 L U2 D F2
L2 B2 F2 L D U2 F2
L2 B2 F2 L D' B2 U2
F B2 D' F L B' U2
L B2 F2 L U' L2 U'
L B2 F2 L U2 D F2
L B2 F2 L D U2 F2
L B2 F2 L D' B2 U2
R B2 F' U L R2 B
R B2 F' U R2 L B
