U R2 F' L'
U L R2 F' L'
U L' R2 F' L'
U L2 R2 F' L'
U R2 L F' L'
U R2 L' F' L'
U R2 L2 F' L'
U R2 D F' L'
U R2 D' F' L'
U R2 D2 F' L'
U R2 F' L' D
U R2 F' L' D'
U R2 F' L' D2
U R2 F' D L'
U R2 F' D' L'
U R2 F' D2 L'
F U R2 F' L'
F' U R2 F' L'
F2 U R2 F' L'
U F' L' R2 F'
U F' R2 L' F'
U' B U2 L R2
U' B U2 R2 L
U R2 D L D2 F' L'
U R2 D L F' L' D
U R2 D L F' L' D'
U R2 D L F' L' D2
U R2 D L F' D L'
U R2 D L F' D' L'
U R2 D L F' D2 L'
U R2 D L' D F' L'
U R2 D L' D' F' L'
U R2 D L' D2 F' L'
U R2 D L' F' L' D
U R2 D L' F' L' D'
U R2 D L' F' L' D2
U R2 D L' F' D L'
U R2 D L' F' D' L'
U R2 D L' F' D2 L'
U R2 D L2 D F' L'
U R2 D L2 D' F' L'
U R2 D L2 D2 F' L'
U R2 D L2 F' L' D
U R2 D L2 F' L' D'
U R2 D L2 F' L' D2
U R2 D L2 F' D L'
U R2 D L2 F' D' L'
U R2 D L2 F' D2 L'
U R2 D F L F2 L'
U R2 D F L' F2 L'
U R2 D F L2 F2 L'
U R2 D F' L2 D L
U R2 D F' L2 D' L
U R2 D F' L2 D2 L
U R2 D F' D L' D
U R2 D F' D L' D'
U R2 D F' D L' D2
U R2 D F' D' L' D
U R2 D F' D' L' D'
U R2 D F' D' L' D2
U R2 D F' D2 L' D
U R2 D F' D2 L' D'
U R2 D F' D2 L' D2
U R2 D F' B' L' B
U R2 D F' B2 L' B2
U R2 D B' F' L' B
U R2 D B2 F' L' B2
U R2 D' L D F' L'
U R2 D' L D' F' L'
U R2 D' L D2 F' L'
U R2 D' L F' L' D
U R2 D' L F' L' D'
U R2 D' L F' L' D2
U R2 D' L F' D L'
U R2 D' L F' D' L'
U R2 D' L F' D2 L'
U R2 D' L' D F' L'
U R2 D' L' D' F' L'
U R2 D' L' D2 F' L'
U R2 D' L' F' L' D
U R2 D' L' F' L' D'
U R2 D' L' F' L' D2
U R2 D' L' F' D L'
U R2 D' L' F' D' L'
U R2 D' L' F' D2 L'
U R2 D' L2 D F' L'
U R2 D' L2 D' F' L'
U R2 D' L2 D2 F' L'
U R2 D' L2 F' L' D
U R2 D' L2 F' L' D'
U R2 D' L2 F' L' D2
U R2 D' L2 F' D L'
U R2 D' L2 F' D' L'
U R2 D' L2 F' D2 L'
U R2 D' F L F2 L'
U R2 D' F L' F2 L'
U R2 D' F L2 F2 L'
U R2 D' F' L2 D L
U R2 D' F' L2 D' L
U R2 D' F' L2 D2 L
U R2 D' F' D L' D
U R2 D' F' D L' D'
U R2 D' F' D L' D2
U R2 D' F' D' L' D
U R2 D' F' D' L' D'
U R2 D' F' D' L' D2
U R2 D' F' D2 L' D
U R2 D' F' D2 L' D'
U R2 D' F' D2 L' D2
U R2 D' F' B' L' B
U R2 D' F' B2 L' B2
U R2 D' B' F' L' B
U R2 D' B2 F' L' B2
U R2 D2 L D F' L'
U R2 D2 L D' F' L'
U R2 D2 L D2 F' L'
U R2 D2 L F' L' D
U R2 D2 L F' L' D'
U R2 D2 L F' L' D2
U R2 D2 L F' D L'
U R2 D2 L F' D' L'
U R2 D2 L F' D2 L'
U R2 D2 L' D F' L'
U R2 D2 L' D' F' L'
U R2 D2 L' D2 F' L'
U R2 D2 L' F' L' D
U R2 D2 L' F' L' D'
U R2 D2 L' F' L' D2
U R2 D2 L' F' D L'
U R2 D2 L' F' D' L'
U R2 D2 L' F' D2 L'
U R2 D2 L2 D F' L'
U R2 D2 L2 D' F' L'
U R2 D2 L2 D2 F' L'
U R2 D2 L2 F' L' D
U R2 D2 L2 F' L' D'
U R2 D2 L2 F' L' D2
U R2 D2 L2 F' D L'
U R2 D2 L2 F' D' L'
U R2 D2 L2 F' D2 L'
U R2 D2 F L F2 L'
U R2 D2 F L' F2 L'
U R2 D2 F L2 F2 L'
U R2 D2 F' L2 D L
U R2 D2 F' L2 D' L
U R2 D2 F' L2 D2 L
U R2 D2 F' D L' D
U R2 D2 F' D L' D'
U R2 D2 F' D L' D2
U R2 D2 F' D' L' D
U R2 D2 F' D' L' D'
U R2 D2 F' D' L' D2
U R2 D2 F' D2 L' D
U R2 D2 F' D2 L' D'
U R2 D2 F' D2 L' D2
U R2 D2 F' B' L' B
U R2 D2 F' B2 L' B2
U' R2 F' L B L B'
U R2 D2 B' F' L' B
U R2 D2 B2 F' L' B2
U' R2 F' L2 B L B2
U R2 F L F2 L' D
U R2 F L F2 L' D'
U R2 F L F2 L' D2
U R2 F L F2 D L'
U R2 F L F2 D' L'
U R2 F L F2 D2 L'
U R2 F L' F2 L' D
U R2 F L' F2 L' D'
U R2 F L' F2 L' D2
U R2 F L' F2 D L'
U R2 F L' F2 D' L'
U R2 F L' F2 D2 L'
U R2 F L2 F2 L' D
U R2 F L2 F2 L' D'
U R2 F L2 F2 L' D2
U R2 F L2 F2 D L'
U R2 F L2 F2 D' L'
U R2 F L2 F2 D2 L'
R' D R U R2 F' L'
U' R2 F' U2 F R U2
U R2 F U2 R U2 F2
U' R2 F' B L2 B' L'
U' R2 F' B2 L2 B' L
U R2 F' L F L2 F'
U R2 F' L F2 L2 F2
U R2 F' L B' L2 B
U R2 F' L B2 L2 B2
U R2 F' L' R D R'
U R2 F' L' R D' R'
U R2 F' L' R D2 R'
U R2 F' L' R' D R
U R2 F' L' R' D' R
U R2 F' L' R' D2 R
U R2 F' L' F D F'
U R2 F' L' F D' F'
U R2 F' L' F D2 F'
U R2 F' L' F' D F
U R2 F' L' F' D' F
U R2 F' L' F' D2 F
U R2 F' L' B D B'
U R2 F' L' B D' B'
U R2 F' L' B D2 B'
U R2 F' L' B' D B
U R2 F' L' B' D' B
U R2 F' L' B' D2 B
U R2 F' L2 D L D
U R2 F' L2 D L D'
U R2 F' L2 D L D2
U R2 F' L2 D' L D
U R2 F' L2 D' L D'
U R2 F' L2 D' L D2
U R2 F' L2 D2 L D
U R2 F' L2 D2 L D'
U R2 F' L2 D2 L D2
U R2 F' L2 F L F'
U R2 F' L2 F2 L F2
U R2 F' R L' D R'
U R2 F' R L' D' R'
U R2 F' R L' D2 R'
U R2 F' R D L' R'
U R2 F' R D R' L'
U R2 F' R D' L' R'
U R2 F' R D' R' L'
U R2 F' R D2 L' R'
U R2 F' R D2 R' L'
U R2 F' R' L' D R
U R2 F' R' L' D' R
U R2 F' R' L' D2 R
U R2 F' R' D L' R
U R2 F' R' D R L'
U R2 F' R' D' L' R
U R2 F' R' D' R L'
U R2 F' R' D2 L' R
U R2 F' R' D2 R L'
U R2 F' U B U' L'
U R2 F' U B' U' L'
U R2 F' U B2 U' L'
U R2 F' U2 R U2 L'
U R2 F' U2 R' U2 L'
U R2 F' U2 R2 U2 L'
U R2 F' D L2 D L
U R2 F' D L2 D' L
U R2 F' D L2 D2 L
U R2 F' D B' L' B
U R2 F' D B2 L' B2
U R2 F' D' L2 D L
U R2 F' D' L2 D' L
U R2 F' D' L2 D2 L
U R2 F' D' B' L' B
U R2 F' D' B2 L' B2
U R2 F' D2 L2 D L
U R2 F' D2 L2 D' L
U R2 F' D2 L2 D2 L
U R2 F' D2 B' L' B
U R2 F' D2 B2 L' B2
U R2 F' B D B' L'
U R2 F' B D' B' L'
U R2 F' B D2 B' L'
U R2 F' B' L B L2
U R2 F' B' L' D B
U R2 F' B' L' D' B
U R2 F' B' L' D2 B
U R2 F' B' L' B D
U R2 F' B' L' B D'
U R2 F' B' L' B D2
U' R2 B L' F' L2 B'
U R2 F' B' D L' B
U R2 F' B' D B L'
U R2 F' B' D' L' B
U R2 F' B' D' B L'
U R2 F' B' D2 L' B
U R2 F' B' D2 B L'
U R2 F' B2 L B2 L2
U R2 F' B2 L' B2 D
U R2 F' B2 L' B2 D'
U R2 F' B2 L' B2 D2
U R2 F2 L F L' F
U R2 F2 R F L' R'
U R2 F2 R F R' L'
U R2 F2 R2 F L' R2
U R2 F2 R2 F R2 L'
U' R2 B F' L2 B' L'
U R2 B L F' L' B'
U' R2 B' R' U2 R F'
U R2 B D F' B' L'
U R2 B D B' F' L'
U R2 B D' F' B' L'
U R2 B D' B' F' L'
U R2 B D2 F' B' L'
U R2 B D2 B' F' L'
U R2 B F' D B' L'
U R2 B F' D' B' L'
U R2 B F' D2 B' L'
U R2 B' L F' L' B
U R2 B' L F' B L'
U R2 B' L B F' L'
U R2 B' L' F' L' B
U R2 B' L' F' B L'
U R2 B' L' B F' L'
U R2 B' L2 F' L' B
U R2 B' L2 F' B L'
U R2 B' L2 B F' L'
U' R2 B2 F' L2 B' L
U R2 B' D F' L' B
U R2 B' D F' B L'
U R2 B' D B F' L'
U R2 B' D' F' L' B
U R2 B' D' F' B L'
U R2 B' D' B F' L'
U R2 B' D2 F' L' B
U R2 B' D2 F' B L'
U R2 B' D2 B F' L'
F' U L R2 D F' L'
F' U L R2 D' F' L'
U R2 B' F' L B L2
F' U L R2 D2 F' L'
U R2 B' F' L' D B
U R2 B' F' L' D' B
U R2 B' F' L' D2 B
U R2 B' F' L' B D
U R2 B' F' L' B D'
U R2 B' F' L' B D2
F' U L R2 F' L' D
F' U L R2 F' L' D'
F' U L R2 F' L' D2
F' U L R2 F' D L'
F' U L R2 F' D' L'
F' U L R2 F' D2 L'
U R2 B' F' D L' B
U R2 B' F' D B L'
U R2 B' F' D' L' B
U R2 B' F' D' B L'
U R2 B' F' D2 L' B
U R2 B' F' D2 B L'
U R2 B2 L F' L' B2
D' U L D R2 F' L'
U R2 B2 L F' B2 L'
U R2 B2 L B2 F' L'
U R2 B2 L' F' L' B2
U R2 B2 L' F' B2 L'
U R2 B2 L' B2 F' L'
U R2 B2 L2 F' L' B2
U R2 B2 L2 F' B2 L'
U R2 B2 L2 B2 F' L'
F2 U L R2 D F' L'
F2 U L R2 D' F' L'
F2 U L R2 D2 F' L'
F2 U L R2 F' L' D
F2 U L R2 F' L' D'
F2 U L R2 F' L' D2
F2 U L R2 F' D L'
F2 U L R2 F' D' L'
F2 U L R2 F' D2 L'
F' U L F' L' R2 F'
F' U L F' R2 L' F'
F2 U L F' L' R2 F'
F2 U L F' R2 L' F'
U R2 B2 F' L B2 L2
U R2 B2 F' L' B2 D
U R2 B2 F' L' B2 D'
U R2 B2 F' L' B2 D2
F' U L' R2 D F' L'
F' U L' R2 D' F' L'
F' U L' R2 D2 F' L'
F' U L' R2 F' L' D
F' U L' R2 F' L' D'
F' U L' R2 F' L' D2
F' U L' R2 F' D L'
F' U L' R2 F' D' L'
F' U L' R2 F' D2 L'
F U L R2 D F' L'
F U L R2 D' F' L'
F U L R2 D2 F' L'
F U L R2 F' L' D
F U L R2 F' L' D'
F U L R2 F' L' D2
F U L R2 F' D L'
F U L R2 F' D' L'
F U L R2 F' D2 L'
D U L D' R2 F' L'
D' U L' D R2 F' L'
B2 U L' R2 F' L' F
F2 U L' R2 D F' L'
F2 U L' R2 D' F' L'
F2 U L' R2 D2 F' L'
F2 U L' R2 F' L' D
F2 U L' R2 F' L' D'
F2 U L' R2 F' L' D2
F2 U L' R2 F' D L'
F2 U L' R2 F' D' L'
F2 U L' R2 F' D2 L'
F' U L' F' L' R2 F'
F' U L' F' R2 L' F'
U D L D' R2 F' L'
F U L F' L' R2 F'
F U L F' R2 L' F'
B2 U L' F' L' R2 F
B2 U L' F' L' F R2
B2 U L' F' R2 L' F
R' D F' R U R2 F'
F2 U L' F' L' R2 F'
F2 U L' F' R2 L' F'
R' D F' R2 U R F'
F' U L2 R2 D F' L'
F' U L2 R2 D' F' L'
F' U L2 R2 D2 F' L'
F' U L2 R2 F' L' D
F' U L2 R2 F' L' D'
F' U L2 R2 F' L' D2
F' U L2 R2 F' D L'
F' U L2 R2 F' D' L'
F' U L2 R2 F' D2 L'
F U L' R2 D F' L'
F U L' R2 D' F' L'
F U L' R2 D2 F' L'
F U L' R2 F' L' D
F U L' R2 F' L' D'
F U L' R2 F' L' D2
F U L' R2 F' D L'
F U L' R2 F' D' L'
F U L' R2 F' D2 L'
D' U L2 D R2 F' L'
D U L' D' R2 F' L'
B2 U L2 R2 F' L' F2
F2 U L2 R2 D F' L'
F2 U L2 R2 D' F' L'
F2 U L2 R2 D2 F' L'
F2 U L2 R2 F' L' D
F2 U L2 R2 F' L' D'
F2 U L2 R2 F' L' D2
F2 U L2 R2 F' D L'
F2 U L2 R2 F' D' L'
F2 U L2 R2 F' D2 L'
F' U L2 F' L' R2 F'
F' U L2 F' R2 L' F'
U D L' D' R2 F' L'
F U L' F' L' R2 F'
F U L' F' R2 L' F'
B2 U L2 F' L' R2 F2
B2 U L2 F' L' F2 R2
B2 U L2 F' R2 L' F2
F2 U L2 F' L' R2 F'
F2 U L2 F' R2 L' F'
F U L2 R2 D F' L'
F U L2 R2 D' F' L'
F U L2 R2 D2 F' L'
F U L2 R2 F' L' D
F U L2 R2 F' L' D'
F U L2 R2 F' L' D2
F U L2 R2 F' D L'
F U L2 R2 F' D' L'
F U L2 R2 F' D2 L'
D U L2 D' R2 F' L'
U D L2 D' R2 F' L'
F U L2 F' L' R2 F'
F U L2 F' R2 L' F'
F' U R' D R' F' L'
F' U R' D' R' F' L'
F' U R' D2 R' F' L'
F' U R' F' L' R' F'
F' U R' F' R' L' F'
F2 U R' D R' F' L'
F2 U R' D' R' F' L'
F2 U R' D2 R' F' L'
F2 U R' F' L' R' F'
F2 U R' F' R' L' F'
F' U R2 L D F' L'
F' U R2 L D' F' L'
F' U R2 L D2 F' L'
F' U R2 L F' L' D
F' U R2 L F' L' D'
F' U R2 L F' L' D2
F' U R2 L F' D L'
F' U R2 L F' D' L'
F' U R2 L F' D2 L'
F' U R2 L' D F' L'
F' U R2 L' D' F' L'
F' U R2 L' D2 F' L'
F' U R2 L' F' L' D
F' U R2 L' F' L' D'
F' U R2 L' F' L' D2
F' U R2 L' F' D L'
F' U R2 L' F' D' L'
F' U R2 L' F' D2 L'
F' U R2 L2 D F' L'
F' U R2 L2 D' F' L'
F' U R2 L2 D2 F' L'
F' U R2 L2 F' L' D
F' U R2 L2 F' L' D'
F' U R2 L2 F' L' D2
F' U R2 L2 F' D L'
F' U R2 L2 F' D' L'
F' U R2 L2 F' D2 L'
D' U R2 D F' L' R2
D' U R2 D F' R2 L'
B2 U R2 L' F' L' F
F2 U R2 L D F' L'
F2 U R2 L D' F' L'
F2 U R2 L D2 F' L'
F2 U R2 L F' L' D
F2 U R2 L F' L' D'
F2 U R2 L F' L' D2
F2 U R2 L F' D L'
F2 U R2 L F' D' L'
F2 U R2 L F' D2 L'
B2 U R2 L2 F' L' F2
F2 U R2 L' D F' L'
F' U R2 D L F' L'
F2 U R2 L' D' F' L'
F' U R2 D L' F' L'
F2 U R2 L' D2 F' L'
F' U R2 D L2 F' L'
F2 U R2 L' F' L' D
F2 U R2 L' F' L' D'
F2 U R2 L' F' L' D2
F2 U R2 L' F' D L'
F2 U R2 L' F' D' L'
F2 U R2 L' F' D2 L'
F' U R2 D F' L' D
F' U R2 D F' L' D'
F' U R2 D F' L' D2
F' U R2 D F' D L'
F' U R2 D F' D' L'
F' U R2 D F' D2 L'
F2 U R2 L2 D F' L'
F2 U R2 L2 D' F' L'
F2 U R2 L2 D2 F' L'
F' U R2 D' L F' L'
F2 U R2 L2 F' L' D
F2 U R2 L2 F' L' D'
F2 U R2 L2 F' L' D2
F' U R2 D' L' F' L'
F2 U R2 L2 F' D L'
F2 U R2 L2 F' D' L'
F2 U R2 L2 F' D2 L'
F' U R2 D' L2 F' L'
D2 U R2 D2 F' L' R2
D2 U R2 D2 F' R2 L'
F' U R2 D' F' L' D
F' U R2 D' F' L' D'
F' U R2 D' F' L' D2
F' U R2 D' F' D L'
F' U R2 D' F' D' L'
F' U R2 D' F' D2 L'
F' U R2 D2 L F' L'
F' U R2 D2 L' F' L'
F' U R2 D2 L2 F' L'
B' U R2 D2 F' L' F'
F' U R2 D2 F' L' D
F' U R2 D2 F' L' D'
F' U R2 D2 F' L' D2
F' U R2 D2 F' D L'
F' U R2 D2 F' D' L'
F' U R2 D2 F' D2 L'
F U R' D R' F' L'
F' U R2 F L F2 L'
F' U R2 F L' F2 L'
B2 U R2 U2 B' R' U2
F' U R2 F L2 F2 L'
B' U R2 F D2 F2 L'
D2 U R2 F' D2 L' R2
D2 U R2 F' D2 R2 L'
B' U R2 F' L' D2 F2
F U R' D' R' F' L'
F' U R2 F' L2 D L
F' U R2 F' L2 D' L
F' U R2 F' L2 D2 L
B' U R2 F' D2 L' F2
F2 U R2 D L F' L'
F2 U R2 D L' F' L'
F2 U R2 D L2 F' L'
F' U R2 F' D L' D
F' U R2 F' D L' D'
F' U R2 F' D L' D2
F' U R2 F' D' L' D
F' U R2 F' D' L' D'
F' U R2 F' D' L' D2
F' U R2 F' D2 L' D
F' U R2 F' D2 L' D'
F' U R2 F' D2 L' D2
F U R' D2 R' F' L'
F' U R2 F' B' L' B
F' U R2 F' B2 L' B2
F2 U R2 D F' L' D
F2 U R2 D F' L' D'
F2 U R2 D F' L' D2
F2 U R2 D F' D L'
F2 U R2 D F' D' L'
F2 U R2 D F' D2 L'
F2 U R2 D' L F' L'
F2 U R2 D' L' F' L'
F2 U R2 D' L2 F' L'
F2 U R2 D' F' L' D
F2 U R2 D' F' L' D'
F2 U R2 D' F' L' D2
F2 U R2 D' F' D L'
F2 U R2 D' F' D' L'
F2 U R2 D' F' D2 L'
F2 U R2 D2 L F' L'
F2 U R2 D2 L' F' L'
F2 U R2 D2 L2 F' L'
F U R' F' L' R' F'
F U R' F' R' L' F'
F2 U R2 D2 F' L' D
F2 U R2 D2 F' L' D'
F2 U R2 D2 F' L' D2
F2 U R2 D2 F' D L'
F2 U R2 D2 F' D' L'
F2 U R2 D2 F' D2 L'
B2 U R2 F' L2 F L
F2 U R2 F L F2 L'
F2 U R2 F L' F2 L'
F2 U R2 F L2 F2 L'
F' U R2 B' F' L' B
B2 U R2 F2 L2 F L'
F2 U R2 F' L2 D L
F2 U R2 F' L2 D' L
F2 U R2 F' L2 D2 L
F' U R2 B2 F' L' B2
F2 U R2 F' D L' D
F2 U R2 F' D L' D'
F2 U R2 F' D L' D2
F2 U R2 F' D' L' D
F2 U R2 F' D' L' D'
F2 U R2 F' D' L' D2
F2 U R2 F' D2 L' D
F2 U R2 F' D2 L' D'
F2 U R2 F' D2 L' D2
F2 U R2 F' B' L' B
F2 U R2 F' B2 L' B2
F U R2 L D F' L'
F U R2 L D' F' L'
F U R2 L D2 F' L'
F U R2 L F' L' D
F U R2 L F' L' D'
F U R2 L F' L' D2
F U R2 L F' D L'
F U R2 L F' D' L'
F U R2 L F' D2 L'
F2 U R2 B' F' L' B
F U R2 L' D F' L'
F U R2 L' D' F' L'
F U R2 L' D2 F' L'
F U R2 L' F' L' D
F U R2 L' F' L' D'
F U R2 L' F' L' D2
F U R2 L' F' D L'
F U R2 L' F' D' L'
F U R2 L' F' D2 L'
F2 U R2 B2 F' L' B2
F U R2 L2 D F' L'
F U R2 L2 D' F' L'
F U R2 L2 D2 F' L'
B U R2 D' F' L' F'
F U R2 L2 F' L' D
F U R2 L2 F' L' D'
F U R2 L2 F' L' D2
F U R2 L2 F' D L'
F U R2 L2 F' D' L'
F U R2 L2 F' D2 L'
D U R2 D' F' L' R2
D U R2 D' F' R2 L'
B U R2 F D' F2 L'
B U R2 F' L' D' F2
D U R2 F' L' D' R2
B U R2 F' D' L' F2
D U R2 F' D' L' R2
D U R2 F' D' R2 L'
F U R2 D L F' L'
F U R2 D L' F' L'
F U R2 D L2 F' L'
F U R2 D F' L' D
F U R2 D F' L' D'
F U R2 D F' L' D2
F U R2 D F' D L'
F U R2 D F' D' L'
F U R2 D F' D2 L'
F U R2 D' L F' L'
F U R2 D' L' F' L'
F U R2 D' L2 F' L'
F U R2 D' F' L' D
F U R2 D' F' L' D'
F U R2 D' F' L' D2
F U R2 D' F' D L'
F U R2 D' F' D' L'
F U R2 D' F' D2 L'
F U R2 D2 L F' L'
F U R2 D2 L' F' L'
F U R2 D2 L2 F' L'
U D R2 D' F' L' R2
U D R2 D' F' R2 L'
F U R2 D2 F' L' D
F U R2 D2 F' L' D'
F U R2 D2 F' L' D2
F U R2 D2 F' D L'
F U R2 D2 F' D' L'
F U R2 D2 F' D2 L'
F U R2 F L F2 L'
F U R2 F L' F2 L'
F U R2 F L2 F2 L'
F U R2 F' L2 D L
F U R2 F' L2 D' L
F U R2 F' L2 D2 L
F U R2 F' D L' D
F U R2 F' D L' D'
F U R2 F' D L' D2
F U R2 F' D' L' D
F U R2 F' D' L' D'
F U R2 F' D' L' D2
F U R2 F' D2 L' D
F U R2 F' D2 L' D'
F U R2 F' D2 L' D2
F U R2 F' B' L' B
F U R2 F' B2 L' B2
U D R2 F' L' D' R2
U D R2 F' D' L' R2
U D R2 F' D' R2 L'
F U R2 B' F' L' B
F U R2 B2 F' L' B2
D2 U F' D2 L' R2 F'
D2 U F' D2 R2 L' F'
D U F' L' D' R2 F'
U D F' L' D' R2 F'
D U F' D' L' R2 F'
D U F' D' R2 L' F'
U D F' D' L' R2 F'
U D F' D' R2 L' F'
D2 U B L2 F R U2
F' U F' L R2 F' L2
B' U F' L' R2 D2 F2
F' U F' L' R2 D F'
F' U F' L' R2 D' F'
F' U F' L' R2 D2 F'
F' U F' L' R2 F' D
F' U F' L' R2 F' D'
F' U F' L' R2 F' D2
F' U F' L' F R2 F'
F' U F' L' F' R2 F'
F' U F' L' F2 R2 F'
F' U F' L2 R2 F' L
B' U F' R2 L' D2 F2
F2 U F' L R2 F' L2
B' U F' R2 D2 L' F2
B2 U F' L2 R2 F L
F' U F' R2 L F' L2
F' U F' R2 L' D F'
F' U F' R2 L' D' F'
F' U F' R2 L' D2 F'
F' U F' R2 L' F' D
F' U F' R2 L' F' D'
F' U F' R2 L' F' D2
F' U F' R2 L2 F' L
F' U F' R2 D L' F'
B2 U F' L2 F L R2
B2 U F' L2 F R2 L
F' U F' R2 D' L' F'
F' U F' R2 D2 L' F'
F2 U F' L' R2 D F'
F2 U F' L' R2 D' F'
F2 U F' L' R2 D2 F'
F2 U F' L' R2 F' D
F2 U F' L' R2 F' D'
F2 U F' L' R2 F' D2
R' D' R U R2 F' L'
F2 U F' L' F R2 F'
F2 U F' L' F' R2 F'
F2 U F' L' F2 R2 F'
F2 U F' L2 R2 F' L
B2 U F' R2 L2 F L
F2 U F' R2 L F' L2
F2 U F' R2 L' D F'
F2 U F' R2 L' D' F'
F2 U F' R2 L' D2 F'
F2 U F' R2 L' F' D
F2 U F' R2 L' F' D'
F2 U F' R2 L' F' D2
F2 U F' R2 L2 F' L
F2 U F' R2 D L' F'
F2 U F' R2 D' L' F'
F2 U F' R2 D2 L' F'
B' U F' D2 L' F2 R
B U F' L' R2 D' F2
B U F' R2 L' D' F2
F U F' L R2 F' L2
B U F' R2 D' L' F2
F U F' L' R2 D F'
F U F' L' R2 D' F'
F U F' L' R2 D2 F'
F U F' L' R2 F' D
F U F' L' R2 F' D'
F U F' L' R2 F' D2
B2 U F2 L2 R2 F L'
F U F' L' F R2 F'
F U F' L' F' R2 F'
F U F' L' F2 R2 F'
B2 U F2 L2 F L' R2
B2 U F2 L2 F R2 L'
F' U F2 R2 F L' F2
F U F' L2 R2 F' L
B2 U F2 R2 L2 F L'
F U F' R2 L F' L2
F U F' R2 L' D F'
F U F' R2 L' D' F'
F U F' R2 L' D2 F'
F U F' R2 L' F' D
F U F' R2 L' F' D'
F U F' R2 L' F' D2
F U F' R2 L2 F' L
F U F' R2 D L' F'
F U F' R2 D' L' F'
F U F' R2 D2 L' F'
F2 U F2 R2 F L' F2
B' U B R2 F' B' L'
B' U B R2 B' F' L'
F U F2 R2 F L' F2
B2 U B' U2 B L R2
B2 U B' U2 B R2 L
U D' L D R2 F' L'
D2 U' L' B L' U2 L2
D2 U' L2 R2 U2 F' L'
B2 U B2 R2 F' L' B2
B2 U B2 R2 F' B2 L'
B2 U B2 R2 B2 F' L'
R D' R2 F' R U R2
D2 U' L2 D B U2 L
D2 U' L2 D' B U2 L
D2 U' L2 D2 B U2 L
U D' L' D R2 F' L'
D2 U' L2 B R U2 L
D2 U' L2 B R' U2 L
D2 U' L2 B R2 U2 L
D2 U' L2 B U2 L D
D2 U' L2 B U2 L D'
D2 U' L2 B U2 L D2
D2 U' L2 B U2 D L
D2 U' L2 B U2 D' L
D2 U' L2 B U2 D2 L
D2 U' L2 B D U2 L
D2 U' L2 B D' U2 L
D2 U' L2 B D2 U2 L
D2 U' L2 B' R' B2 U2
F' U' L U2 R2 F' L'
F2 U' L U2 R2 F' L'
F' U' L B U2 L R2
F' U' L B U2 R2 L
F2 U' L B U2 L R2
F2 U' L B U2 R2 L
U D' L2 D R2 F' L'
F' U' L' U2 R2 F' L'
F2 U' L' U2 R2 F' L'
F U' L U2 R2 F' L'
F' U' L' B U2 L R2
F' U' L' B U2 R2 L
R' D' F' R U R2 F'
R' D' F' R2 U R F'
F2 U' L' B U2 L R2
F2 U' L' B U2 R2 L
F U' L B U2 L R2
F U' L B U2 R2 L
F' U' L2 U2 R2 F' L'
D2 U' R2 L2 U2 F' L'
F2 U' L2 U2 R2 F' L'
F U' L' U2 R2 F' L'
B2 U' L2 F R2 B L
F' U' L2 B U2 L R2
F' U' L2 B U2 R2 L
F2 U' L2 B U2 L R2
F2 U' L2 B U2 R2 L
F U' L' B U2 L R2
F U' L' B U2 R2 L
F' U' R U2 R F' L'
F2 U' R U2 R F' L'
F U' L2 U2 R2 F' L'
B2 U' R B' R' U2 R2
U D' R2 D F' L' R2
U D' R2 D F' R2 L'
F U' L2 B U2 L R2
F U' L2 B U2 R2 L
F U' R U2 R F' L'
B2 U' R2 B' R' U2 R
U2 D' F2 U B U2 L
D2 U' B L2 R U2 L'
D2 U' B L2 R' U2 L'
D2 U' B L2 R2 U2 L'
D2 U' B L2 U2 L' D
D2 U' B L2 U2 L' D'
D2 U' B L2 U2 L' D2
D2 U' B L2 U2 D L'
D2 U' B L2 U2 D' L'
D2 U' B L2 U2 D2 L'
D2 U' B L2 D U2 L'
D2 U' B L2 D' U2 L'
D2 U' B L2 D2 U2 L'
D2 U' B R L2 U2 L'
D2 U' B R' L2 U2 L'
D' U' B U' F2 U' L
U' D' B U' F2 U' L
D2 U' B R2 L2 U2 L'
U' D' B U2 L D R2
D' U' B U2 L D R2
D' U' B U2 D L R2
U' D' B U2 D L R2
U' D' B U2 D R2 L
D' U' B U2 D R2 L
U' D' B D U2 L R2
U' D' B D U2 R2 L
D' U' B D U2 L R2
D' U' B D U2 R2 L
U' D' B D' L2 U2 L'
D' U' B D' L2 U2 L'
D2 U' B U2 D2 L R2
D2 U' B U2 D2 R2 L
D2 U' B D2 U2 L R2
D2 U' B D2 U2 R2 L
D2 U' B' L2 R' B2 U2
D2 U' B' L2 B2 U2 L
D2 U' B' R' L2 B2 U2
D2 U' B' R' B2 L2 U2
F' U' D2 L2 B U2 L
F2 U' D2 L2 B U2 L
F' U' D2 B L2 U2 L'
B2 U' D2 B' L2 R' U2
B2 U' D2 B' R' L2 U2
F2 U' D2 B L2 U2 L'
F' U' F R2 F' B L
F' U' F R2 B L F'
F' U' F R2 B F' L
F2 U' F R2 F' B L
F2 U' F R2 B L F'
F2 U' F R2 B F' L
F U' D2 L2 B U2 L
F U' D2 B L2 U2 L'
R' D2 R U R2 F' L'
F U' F R2 F' B L
F U' F R2 B L F'
F U' F R2 B F' L
U' D2 L' B L' U2 L2
U' D2 L2 R2 U2 F' L'
U' D2 L2 D B U2 L
F' U' B L' U2 L2 R2
F' U' B L' U2 R2 L2
U' D2 L2 D' B U2 L
F' U' B L2 U2 L' R2
