U L' R' U2 F'
U R' L' U2 F'
U L' R B R2 U2
U L' R' U2 D F'
U L' R' U2 D' F'
U L' R' U2 D2 F'
U L' R' U2 F' D
U L' R' U2 F' D'
U L' R' U2 F' D2
U L' R' D U2 F'
U L' R' D' U2 F'
U L' R' D2 U2 F'
U' L' R' B' U2 B
U L' R' B U2 F'
U L' R' B' U2 F'
U L' R' B2 U2 F'
U L' D R' U2 F'
U L' D' R' U2 F'
U L' D2 R' U2 F'
U L' B2 U2 L F
L2 U L R' U2 F'
L U L2 R' U2 F'
L2 U R' L U2 F'
L U R' L2 U2 F'
U R L' B R2 U2
U R B L' R2 U2
U R B R2 L' U2
U' R' L' B' U2 B
U R' L' U2 D F'
U R' L' U2 D' F'
U R' L' U2 D2 F'
U R' L' U2 F' D
U R' L' U2 F' D'
U R' L' U2 F' D2
U R' L' D U2 F'
U R' L' D' U2 F'
U R' L' D2 U2 F'
U R' L' B U2 F'
U R' L' B' U2 F'
U R' L' B2 U2 F'
U R' U2 F2 R F
U R' D L' U2 F'
U R' D' L' U2 F'
U R' D2 L' U2 F'
U R' B L' U2 F'
U R' B' L' U2 F'
U R' B2 L' U2 F'
D2 U L' R' U2 F'
D' U L' R' U2 F'
U D L' R' U2 F'
D U L' R' U2 F'
F' U R' U2 F' R
D2 U R' L' U2 F'
D' U R' L' U2 F'
F2 U R' U2 F' R2
U D R' L' U2 F'
D U R' L' U2 F'
U D' L' R' U2 F'
U D' R' L' U2 F'
U D2 L' R' U2 F'
U D2 R' L' U2 F'
U D2 R' L' U2 F'
U D' R B R2 L' U2
U D' R' L' U2 D F'
U D' R' L' U2 D' F'
U D' R' L' U2 D2 F'
U D' R' L' U2 F' D
U D' R' L' U2 F' D'
U D' R' L' U2 F' D2
U D' R' L' D U2 F'
U D' R' L' D' U2 F'
U D' R' L' D2 U2 F'
U D' R' L' B U2 F'
U D' R' L' B' U2 F'
U D' R' L' B2 U2 F'
U D' R' U2 F2 R F
U D' R' D L' U2 F'
U D' R' D' L' U2 F'
U D' R' D2 L' U2 F'
F2 U' R L D2 F L2
F2 U' R L F D2 L2
F2 U' R L' D2 L2 F
U D' R' B L' U2 F'
U D' R' B' L' U2 F'
U D' R' B2 L' U2 F'
F2 U' R D2 L F L
B2 U' D' F2 L R F'
B2 U' D' F2 R L F'
B2 U' D' F2 R F' L
U' D2 L' R' B' U2 B
B2 U' F2 L D' R F'
B2 U' F2 D' L R F'
B2 U' F2 D' R L F'
B2 U' F2 D' R F' L
U D2 L' R B R2 U2
U D2 L' R' U2 D F'
U D2 L' R' U2 D' F'
U D2 L' R' U2 D2 F'
U D2 L' R' U2 F' D
U D2 L' R' U2 F' D'
U D2 L' R' U2 F' D2
U D2 L' R' D U2 F'
U D2 L' R' D' U2 F'
U D2 L' R' D2 U2 F'
U D2 L' R' B U2 F'
U D2 L' R' B' U2 F'
U D2 L' R' B2 U2 F'
U D2 L' D R' U2 F'
U D2 L' D' R' U2 F'
U D2 L' D2 R' U2 F'
U D2 L' B2 U2 L F
U' D2 R' L' B' U2 B
L2 D2 U L R' U2 F'
L2 D2 U R' L U2 F'
F2 U' B2 L R F B2
F2 U' B2 L R B2 F
F2 U' B2 L B2 R F
U D2 R L' B R2 U2
F2 U' B2 R L F B2
F2 U' B2 R L B2 F
U D2 R B L' R2 U2
U D2 R B R2 L' U2
L D2 U R' U2 F' R'
U D2 R' L' U2 D F'
U D2 R' L' U2 D' F'
U D2 R' L' U2 D2 F'
U D2 R' L' U2 F' D
U D2 R' L' U2 F' D'
U D2 R' L' U2 F' D2
U D2 R' L' D U2 F'
U D2 R' L' D' U2 F'
U D2 R' L' D2 U2 F'
U D2 R' L' B U2 F'
U D2 R' L' B' U2 F'
U D2 R' L' B2 U2 F'
U D2 R' U2 F2 R F
U D2 R' D L' U2 F'
U D2 R' D' L' U2 F'
U D2 R' D2 L' U2 F'
U D2 R' B L' U2 F'
U D2 R' B' L' U2 F'
U D2 R' B2 L' U2 F'
U' F L F R D2 L2
L2 F U L R' U2 F'
L2 F U R' L U2 F'
F2 U2 B2 U L R F
F2 U2 B2 U R L F
L F U L2 R' U2 F'
L F U R' L2 U2 F'
U' F B2 L F R B2
U' F B2 L F B2 R
U' F B2 L B2 F R
B2 D U L' U2 F L2
F2 D U R' U2 F' R2
D2 F' U R' U2 F' R
D' F' U R' U2 F' R
U F' R' F L' U2 F2
U F' R' F U2 F2 R
L2 F' U L R' U2 F'
L2 F' U R' L U2 F'
D F' U R' U2 F' R
U' F' U2 R' U2 F' R
L F' U L2 R' U2 F'
L F' U R' L2 U2 F'
U' F2 L R D2 F L2
U' F2 L R F D2 L2
F2 D' U R' U2 F' R2
U' F2 L' R D2 L2 F
B2 D' U' F2 L R F'
B2 D' U' F2 R L F'
B2 D' U' F2 R F' L
U' F2 R L D2 F L2
U' F2 R L F D2 L2
U' F2 R L' D2 L2 F
U' F2 R D2 L F L
B2 D' F2 U' L R F'
B2 D' F2 U' R L F'
B2 D' F2 U' R F' L
U F2 R D2 B2 L2 F
D2 F2 U R' U2 F' R2
D' F2 U R' U2 F' R2
U F2 R' U2 F' R2 B
U F2 R' F2 U2 R2 F
U F2 R' F2 U2 F R2
L2 F2 U L R' U2 F'
L2 F2 U R' L U2 F'
D F2 U R' U2 F' R2
U' F2 U2 R' U2 F' R2
L F2 U L2 R' U2 F'
L F2 U R' L2 U2 F'
U' F2 B2 L R F B2
U' F2 B2 L R B2 F
U' F2 B2 L B2 R F
U' F2 B2 R L F B2
U' F2 B2 R L B2 F
F2 D2 U R' U2 F' R2
R' B L' U' L2 R U'
R' B L' U' R L2 U'
L2 B L B U' L R'
L2 B L B U' R' L
U B L' R B U2 L
U B L' R' U2 F' L'
U B L' B U2 L F
U B L' B' R' U2 F'
U B R L' B U2 L
U B R B L' U2 L2
U B R' L' U2 F' L'
F2 B L B U' L R
F2 B L B U' R L
U' B' L' B' U2 L B2
U B' L' R B R' U2
U B' L' B R' U2 F'
U B' L' B' U2 L F
U B' R L' B R' U2
U B' R B L' R' U2
U B' R B R' L' U2
U' B2 L F B2 D2 R2
U' B2 L B2 D2 R2 F
U' B2 L B2 D2 F R2
U' B2 L B2 F D2 R2
U' B2 L' U2 L2 F B2
U' B2 L' U2 L2 B2 F
U' B2 L' B' U2 B' L2
U' B2 L2 B2 L' R' F
U' B2 L2 B2 L' F R'
U' B2 L2 B2 R' L' F
U B2 L' R B U2 L2
U B2 L' R' U2 L2 F'
U B2 L' R' U2 F' L2
U B2 L' U2 L F L
B F2 L B U' L R
B F2 L B U' R L
U B2 R L' B U2 L2
U B2 R' L' U2 L2 F'
U B2 R' L' U2 F' L2
U2 B2 U L D2 R2 F
U2 B2 U L D2 F R2
U2 B2 U L F D2 R2
U2 B2 U F L F R
U2 B2 U F2 L R F
U2 B2 U F2 R L F
B2 F2 U' L D' R F'
F2 B2 U' L D' R F'
U B2 U2 L D2 R2 F
U B2 U2 L D2 F R2
U B2 U2 L F D2 R2
B2 F2 U' D' L R F'
B2 F2 U' D' R L F'
B2 F2 U' D' R F' L
F2 B2 U' D' L R F'
F2 B2 U' D' R L F'
F2 B2 U' D' R F' L
U B2 U2 F L F R
U B2 U2 F2 L R F
U B2 U2 F2 R L F
U' B2 F L F R B2
U' B2 F L F B2 R
U' B2 F L B2 F R
U' B2 F2 L R F B2
U' B2 F2 L R B2 F
U' B2 F2 L B2 R F
U' B2 F2 R L F B2
U' B2 F2 R L B2 F
B2 F2 D' U' L R F'
B2 F2 D' U' R L F'
B2 F2 D' U' R F' L
F2 B2 D' U' L R F'
F2 B2 D' U' R L F'
F2 B2 D' U' R F' L
