B' L2 F U F'
U' B' L2 F U
B' L2 R F U F'
B' L2 R' F U F'
B' L2 R2 F U F'
U' L2 U2 F B2 U'
U' L2 U2 B2 F U'
B' L2 D F U F'
B' L2 D' F U F'
B' L2 D2 F U F'
B' L2 F U D F'
B' L2 F U D' F'
B' L2 F U D2 F'
B' L2 F U F' D
B' L2 F U F' D'
B' L2 F U F' D2
B' L2 F D U F'
B' L2 F D' U F'
B' L2 F D2 U F'
L2 U F B2 U' B2
B' R L2 F U F'
L2 U B2 F U' B2
B' R' L2 F U F'
R' U' B' L2 F U
R2 U' B' L2 F U
R U' B' L2 F U
B' R2 L2 F U F'
B2 U' L2 B U L2
B2 U' B L2 U L2
B U' B2 L2 F U
B2 U2 B L2 U F
U' F B' L2 F U
U' F' B' L2 F U
U' F2 B' L2 F U
B2 D2 R2 F' U' F
B' F L2 F U F2
R' B' L2 F U F'
U' B' L2 D F U
U' B' L2 D' F U
U' B' L2 D2 F U
U' B' L2 F U D
U' B' L2 F U D'
U' B' L2 F U D2
U' B' L2 F D U
U' B' L2 F D' U
U' B' L2 F D2 U
R2 B' L2 F U F'
R B' L2 F U F'
F2 B' L2 F U F
F B' L2 F U F2
U' B' F L2 F U
U' B' F' L2 F U
U' B' F2 L2 F U
B' F2 L2 F U F
U B2 U2 L2 B U
U B2 U2 B L2 U
U B2 D2 R2 F' U'
U' B' F' L2 F D' U
U' B' F' L2 F D2 U
U' B' F2 L2 D F U
U' B' F2 L2 D' F U
U' B' F2 L2 D2 F U
U' B' F2 L2 F U D
U' B' F2 L2 F U D'
U' B' F2 L2 F U D2
U' B' F2 L2 F D U
U' B' F2 L2 F D' U
U' B' F2 L2 F D2 U
R2 B' F L2 F U F2
R' B' F2 L2 F U F
D B' F U L2 F' B'
D B' F U L2 B' F'
D2 B' F2 U F2 D B2
D2 B' F2 U2 R2 U' F2
U B' D2 B' R2 F' U'
D2 B' F2 D R2 U B2
R B' F L2 F U F2
R2 B' F2 L2 F U F
R B' F2 L2 F U F
L B2 L R' F U' F'
B2 F' D2 R2 F' U' F2
U' B2 L2 B U2 B' U'
B' F2 L2 R F U F
B' F2 L2 R' F U F
B' F2 L2 R2 F U F
B' F2 L2 D R2 F U
B' F2 L2 D F R2 U
B' F2 L2 F R U F
B' F2 L2 F R' U F
B' F2 L2 F R2 U F
B' F2 L2 F U D F
B' F2 L2 F U D' F
B' F2 L2 F U D2 F
B' F2 L2 F U F D
B' F2 L2 F U F D'
B' F2 L2 F U F D2
B' F2 L2 F D U F
B' F2 L2 F D' U F
B' F2 L2 F D2 U F
B' F2 R L2 F U F
L B2 R' L F U' F'
B' F2 R' L2 F U F
L B2 R' F' U' F R
R' B2 U' L2 B U L2
B' F2 R2 L2 F U F
D' B2 U' D' F2 B U
D' B2 U' D' B F2 U
D' B2 U' D2 B U L2
R' B2 U' B L2 U L2
U B2 R2 D' F' U' B2
U B2 R2 D2 F' R2 U'
D' B2 U' B U D2 L2
D' B2 U' B U' R2 U2
D' B2 U' B D' F2 U
D' B2 U' B D2 U L2
U B2 R2 F' U' D' B2
U B2 R2 F' U2 L2 U
U B2 R2 F' D' U' B2
U B2 R2 F' D2 R2 U'
D' B2 U2 R2 U' F' U'
R2 B2 U' L2 B U L2
R' B2 U2 B L2 U F
R2 B2 U' B L2 U L2
R B2 U' L2 B U L2
R2 B2 U2 B L2 U F
U B2 U' B' D' R2 B2
U B2 U' B' D' B2 R2
U B2 U2 L' B L' U
U B2 U2 L2 D B U
U B2 U2 L2 D' B U
U B2 U2 L2 D2 B U
U B2 U2 L2 B U D
U B2 U2 L2 B U D'
U B2 U2 L2 B U D2
U B2 U2 L2 B D U
U B2 U2 L2 B D' U
U B2 U2 L2 B D2 U
D' B2 D' U' F2 B U
D' B2 D' U' B F2 U
R B2 U' B L2 U L2
U B2 U2 D' B U B
U B2 U2 B L2 U D
U B2 U2 B L2 U D'
U B2 U2 B L2 U D2
U B2 U2 B L2 D U
U B2 U2 B L2 D' U
U B2 U2 B L2 D2 U
B2 F2 U2 L2 B U F2
U B2 U2 B U D' B2
U B2 U2 B D' U B2
U B2 U2 B' L2 B2 U
D' B2 D2 L2 U' B U
R' B2 D2 R2 F' U' F
F2 B2 U2 L2 B U F2
D' B2 D2 U' B U L2
R B2 U2 B L2 U F
B2 F2 U2 B L2 U F2
F2 B2 U2 B L2 U F2
U2 B2 D2 R2 F' U' F'
U B2 D' R2 F' U' B2
F B2 U2 L2 B U F'
R2 B2 D2 R2 F' U' F
U B2 D' U2 B U B
F B2 U2 B L2 U F'
U B2 D2 R2 D F' U'
U B2 D2 R2 D' F' U'
U B2 D2 R2 D2 F' U'
U B2 D2 R2 F' U' D
U B2 D2 R2 F' U' D'
U B2 D2 R2 F' U' D2
U B2 D2 R2 F' D U'
U B2 D2 R2 F' D' U'
U B2 D2 R2 F' D2 U'
U B2 D2 F R2 F' U'
U B2 D2 F' R2 F' U'
U B2 D2 F2 R2 F' U'
F' B2 D2 R2 F' U' F2
R B2 D2 R2 F' U' F
U B2 F U2 L2 B U
U B2 F U2 B L2 U
U B2 F D2 R2 F' U'
L B2 F' R' U' F R
U B2 F' U2 L2 B U
U B2 F' U2 B L2 U
U B2 F' D2 R2 F' U'
U B2 F2 U2 L2 B U
U B2 F2 U2 B L2 U
U B2 F2 D2 R2 F' U'
