F' L' F2 U' B2
F U2 R U B2
F L U2 R U B2
F' L F2 L2 U' B2
F' L' R F2 U' B2
F' L' R' F2 U' B2
F' L' R2 F2 U' B2
F' L' U' B2 D R2
F L' U2 R U B2
F' L' F2 R U' B2
F' L' F2 R' U' B2
F' L' F2 R2 U' B2
F' L' F2 U' B2 D
F' L' F2 U' B2 D'
F' L' F2 U' B2 D2
F' L' F2 D' R2 U'
F L2 U2 R U B2
F' L2 F2 L U' B2
U2 L2 B' R' U B'
F' R L' F2 U' B2
F R U' B2 D2 F2
F' R' L' F2 U' B2
F R' U' B2 D' F2
F R' U2 R2 U B2
F R' D' R2 U' F2
U' R' F' B2 D R2
U' R' B2 F' D R2
F' R2 L' F2 U' B2
L2 U2 B' R' U B'
F R2 U2 R' U B2
D' R2 F U2 R U
D' R2 F' L' F2 U'
U2 D L2 B' R' U
D U2 L2 B' R' U
F U' B2 U' R U
F U2 L R U B2
F U2 L' R U B2
F U2 L2 R U B2
F U2 R L U B2
F U2 R L' U B2
F U2 R L2 U B2
F U2 R U B2 D
F U2 R U B2 D'
F U2 R U B2 D2
F U2 R D L2 U
F U2 D L2 R U
F U2 D R L2 U
D' F R2 U2 R' U
R' F U2 R U B2
R2 F U2 R U B2
D F U2 L2 R U
D F U2 R L2 U
R F U2 R U B2
R' F' L' F2 U' B2
D' F' L' R2 F2 U'
D' F' L' F2 R2 U'
R2 F' L' F2 U' B2
L F' L' F U' B2
F D U2 L2 R U
F D U2 R L2 U
D F' L' F2 R U'
R F' L' F2 U' B2
D' F' R2 L' F2 U'
F D' R2 U2 R' U
U' B2 R' F' D R2
D F U2 R L2 D2 U
D F U2 R U D' B2
D F U2 R D' U B2
L2 F U2 B' R U B'
D F U2 D' R U B2
R F U' B2 U' R U
R F U2 L R U B2
R F U2 L' R U B2
R F U2 L2 R U B2
R F U2 R L U B2
R F U2 R L' U B2
R F U2 R L2 U B2
R F U2 R U B2 D
R F U2 R U B2 D'
R F U2 R U B2 D2
R F U2 R D L2 U
R' F D' R2 U2 R' U
R F U2 D L2 R U
R F U2 D R L2 U
F D L' U2 L' R U
F D L' U2 R L' U
R2 F D U2 L2 R U
R2 F D U2 R L2 U
U2 F D' R2 B L U'
R2 F D' R2 U2 R' U
D' F D2 U2 L2 R U
D' F D2 U2 R L2 U
R F D U2 L2 R U
R F D U2 R L2 U
D F D' U2 R U B2
R F D' R2 U2 R' U
D F D2 R2 U2 R' U
F D R' U' D' F2 B2
F D R' U' D' B2 F2
F D R' U2 L2 R2 U
F D R' U2 R2 L2 U
F D R' D' U' F2 B2
F D R' D' U' B2 F2
F D R' D2 L2 R2 U'
F D R' D2 R2 L2 U'
D' F B2 R2 B2 L U'
F D R2 U2 L2 R' U
F D R2 U2 R' L2 U
D' F' L R2 F2 L2 U'
R' F' L F2 L2 U' B2
D' F' L F2 L2 R2 U'
D2 F' L F2 L2 U' B'
D' F' L F2 R2 L2 U'
L' F' L F L2 U' B2
R' F' L' R F2 U' B2
R' F' L' R' F2 U' B2
R' F' L' R2 F2 U' B2
D' F' L' R' F2 R' U'
D' F' L' R2 U' D R2
D' F' L' R2 D U' R2
D' F' L' R2 F2 U' D
D' F' L' R2 F2 U' D'
D' F' L' R2 F2 U' D2
D' F' L' R2 F2 D U'
D' F' L' R2 F2 D' U'
D' F' L' R2 F2 D2 U'
D2 F' L' R2 F2 U' B
R' F' L' U' B2 D R2
D' F' L' U' D R2 B2
D' F' L' U' D B2 R2
D2 F' L' U' D R2 B
D' F' L' D U' R2 B2
D' F' L' D U' B2 R2
D2 F' L' D U' R2 B
L' F' L' U2 B' U B'
D' F' L' F R2 F U'
R' F' L' F2 R U' B2
R' F' L' F2 R' U' B2
R' F' L' F2 R2 U' B2
R' F' L' F2 U' B2 D
R' F' L' F2 U' B2 D'
R' F' L' F2 U' B2 D2
R' F' L' F2 D' R2 U'
D' F' L' F2 R2 U' D
D' F' L' F2 R2 U' D'
D' F' L' F2 R2 U' D2
D' F' L' F2 R2 D U'
D' F' L' F2 R2 D' U'
D' F' L' F2 R2 D2 U'
D2 F' L' F2 U F U2
D' F' L' F2 U' D B2
D' F' L' F2 D U' B2
R2 F' L F2 L2 U' B2
R2 F' L' R F2 U' B2
D' F' L2 R2 F2 L U'
R2 F' L' R' F2 U' B2
R2 F' L' R2 F2 U' B2
D F' L' R F2 R U'
R2 F' L' U' B2 D R2
D F' L' R' F2 R U'
D F' L' R2 F2 R U'
F D U2 L2 R U D
F D U2 L2 R U D'
F D U2 L2 R U D2
F D U2 L2 R D U
F D U2 L2 R D' U
F D U2 L2 R D2 U
F D U2 L2 D R U
F D U2 L2 D' R U
F D U2 L2 D2 R U
F D U2 R L2 U D
F D U2 R L2 U D'
F D U2 R L2 U D2
F D U2 R L2 D U
F D U2 R L2 D' U
F D U2 R L2 D2 U
F D U2 R U D' B2
R' F' L2 F2 L U' B2
F D U2 R D' U B2
D' F' L2 F2 L R2 U'
D' F' L2 F2 R2 L U'
R2 F' L' F2 R U' B2
R2 F' L' F2 R' U' B2
R F' L F2 L2 U' B2
R2 F' L' F2 R2 U' B2
R2 F' L' F2 U' B2 D
R2 F' L' F2 U' B2 D'
R2 F' L' F2 U' B2 D2
R2 F' L' F2 D' R2 U'
L F' L' R F U' B2
R' F' R L' F2 U' B2
L F' L' R' F U' B2
L F' L' R2 F U' B2
D F' L' F2 R U' D
D F' L' F2 R U' D'
D F' L' F2 R U' D2
D F' L' F2 R D U'
D F' L' F2 R D' U'
D F' L' F2 R D2 U'
D F' L' F2 D R U'
D F' L' F2 D' R U'
D F' L' F2 D2 R U'
R F' L' R F2 U' B2
R F' L' R' F2 U' B2
R F' L' R2 F2 U' B2
L2 F' L2 F L U' B2
L F' L' D' R2 F U'
L F' L' D' F R2 U'
R F' L' U' B2 D R2
L F' L' F R U' B2
L F' L' F R' U' B2
L F' L' F R2 U' B2
L F' L' F U' B2 D
L F' L' F U' B2 D'
L F' L' F U' B2 D2
L F' L' F D' R2 U'
R2 F' L2 F2 L U' B2
R F' L' F2 R U' B2
R F' L' F2 R' U' B2
R F' L' F2 R2 U' B2
R F' L' F2 U' B2 D
R F' L' F2 U' B2 D'
R F' L' F2 U' B2 D2
R F' L' F2 D' R2 U'
R' F' R' L' F2 U' B2
D' F' R' L' F2 R' U'
R2 F' R L' F2 U' B2
D F' R L' F2 R U'
U' F' R' B2 D F' R2
R F' L2 F2 L U' B2
R' F' R2 L' F2 U' B2
L F' R L' F U' B2
D' F' R2 L F2 L2 U'
D' F' R2 L' U' D R2
D' F' R2 L' D U' R2
D' F' R2 L' F2 U' D
D' F' R2 L' F2 U' D'
D' F' R2 L' F2 U' D2
D' F' R2 L' F2 D U'
D' F' R2 L' F2 D' U'
D' F' R2 L' F2 D2 U'
D2 F' R2 L' F2 U' B
D' F' R2 L2 F2 L U'
R2 F' R' L' F2 U' B2
R F' R L' F2 U' B2
F D F2 L' F2 R U'
D' F' R2 D L' U' R2
D F' R' L' F2 R U'
D' F' R2 F2 U2 R U
L F' R' L' F U' B2
R2 F' R2 L' F2 U' B2
R F' R' L' F2 U' B2
D F' R2 L' F2 R U'
L F' R2 L' F U' B2
R F' R2 L' F2 U' B2
F' D' L' R2 U L' U2
F' D' L' R2 F2 U' R
D2 F' D L' U' R2 B
D' F' D L' U' R2 B2
D' F' D L' U' B2 R2
F D' L R2 U2 R' U
F' D' L' F2 R2 U' R'
F2 D' L' F' R2 U' F2
F D' L' R2 U2 R' U
F D' L2 R2 U2 R' U
F' D' R2 L' U L' U2
F' D' R2 L' F2 U' R
F' D' R2 D L' F2 U'
F' D' R2 D2 L' U' R2
U' F' B2 R D R2 F'
U' F' B2 R' D F' R2
F D' R' D' R' U' F2
F D' R' D2 L2 R' U'
F D' R' D2 R' L2 U'
U' F' B2 D R' F' R'
F D' R2 L U2 R' U
F D' R2 L' U2 R' U
F D' R2 L2 U2 R' U
F D' R2 U2 R' U D
F D' R2 U2 R' U D'
F D' R2 U2 R' U D2
F D' R2 U2 R' D U
F D' R2 U2 R' D' U
F D' R2 U2 R' D2 U
F D' R2 U2 D R' U
F D' R2 U2 D' R' U
F D' R2 U2 D2 R' U
F D' R2 D U2 R' U
F D' R2 D' U2 R' U
F D' R2 D2 U2 R' U
L' F2 L F L' U' B2
F D' R2 B2 L B2 U'
F D' U2 R U2 R U'
F2 D' F' L' R2 U' F
L2 F2 L2 F L' U' B2
F2 D' F' R2 L' U' F
L F2 L' F L' U' B2
U' F2 R' B2 D' F' R
F D' F2 L' R2 F2 U'
F D' F2 L' F2 R2 U'
F D' F2 R2 L' F2 U'
U' F2 U F' L' U' B2
F D' B2 R2 B2 L U'
F' D2 L' D2 F2 U' B2
U F2 U' F' L' U' B2
F D2 R U F2 U2 F2
U' F2 B2 R' D' F' R
U' F2 B2 U F' L' U'
F D2 R' D2 L2 U' B2
F D2 U F2 U' L' U'
F D2 U2 R U D2 B2
F D2 U2 R U' F2 U2
F D2 U2 R D' L2 U
F D2 U2 R D2 U B2
D B L2 F R B' U
D B L2 F B' R U
D B L2 B' F R U
U2 B U2 F L U' B
B2 F R2 B2 L U' B2
U' B' R' F' D R2 B'
U' B' R' F' D B' R2
U' B' R' F' B' D R2
U' B' R' B' F' D R2
U2 B' R' U2 F U' B'
B2 F' L D L2 R2 F2
B2 F' L D L2 F2 R2
B2 F' L D R2 L2 F2
B2 F' L D R2 F2 L2
B2 F' L D F2 L2 R2
B2 F' L D F2 R2 L2
B2 F' L' F2 B2 U' B2
B2 F' L' B2 F2 U' B2
L2 B' U2 B L U' B2
B2 F' U L' F2 B2 U'
B2 F' U L' B2 F2 U'
B2 F' U B2 L' F2 U'
F' B2 L D L2 R2 F2
F' B2 L D L2 F2 R2
F' B2 L D R2 L2 F2
F' B2 L D R2 F2 L2
F' B2 L D F2 L2 R2
F' B2 L D F2 R2 L2
U' B2 R F' D R2 F'
U' B2 R' U F U' F2
U' B2 R' D F' D R2
U' B2 R' D' F' D R2
U' B2 R' D2 F' D R2
U' B2 R' F' R D R2
U' B2 R' F' R' D R2
U' B2 R' F' R2 D R2
U' B2 R' F' U F2 U'
U' B2 R' F' D R2 D
U' B2 R' F' D R2 D'
U' B2 R' F' D R2 D2
F' B2 L' F2 B2 U' B2
F' B2 L' B2 F2 U' B2
U' B2 U F U2 R U
U' B2 U F' L' F2 U'
F' B2 U L' F2 B2 U'
F' B2 U L' B2 F2 U'
U' B2 D R' F' D R2
F' B2 U B2 L' F2 U'
U' B2 D' R' F' D R2
F B2 R2 B2 L U' B2
U' B2 D2 R' F' D R2
D' B2 F R2 B2 L U'
U' B2 F' R D R2 F'
U' B2 F' R' D F' R2
U' B2 F' D R' F' R'
U' B2 F2 R' D' F' R
U' B2 F2 U F' L' U'
