B' F L' U' B'
F B' L' U' B'
F L' U' D' B' L
F L' D' U' B' L
B' R F L' U' B'
F R B' L' U' B'
B' R' F L' U' B'
F R' B' L' U' B'
B' R2 F L' U' B'
F R2 B' L' U' B'
F R2 B' L' U' B'
U' F R B' L' U'
R' F B' L' U' B'
U' F B' L' R U'
U' F B' R L' U'
R2 F B' L' U' B'
U F B' L' R' U'
U F B' R' L' U'
R F B' L' U' B'
F D B' L' U' B'
F D' B' L' U' B'
F D' B' L' U' B'
F D2 B' L' U' B'
B' F L' R U' B'
B' F L' R' U' B'
B' F L' R2 U' B'
B' F L' U' D B'
B' F L' U' D' B'
B' F L' U' D2 B'
B' F L' U' B' D
B' F L' U' B' D'
B' F L' U' B' D2
B' F L' D U' B'
B' F L' D' U' B'
B' F L' D2 U' B'
B2 F L' B U' B2
B' F R L' U' B'
B' F R' L' U' B'
B F L' B2 U' B
F B L' B2 U' B
B' F R2 L' U' B'
B' F D L' U' B'
B' F D' L' U' B'
B' F D2 L' U' B'
U B' R' F L' U'
F B' L' R U' B'
F B' L' R' U' B'
F B' L' R2 U' B'
F B' L' U' D B'
F B' L' U' D' B'
F B' L' U' D2 B'
F B' L' U' B' D
F B' L' U' B' D'
F B' L' U' B' D2
F B' L' D U' B'
F B' L' D' U' B'
F B' L' D2 U' B'
F B' R L' U' B'
R' B' F L' U' B'
F B' R' L' U' B'
U' B' F L' R U'
U' B' F R L' U'
F B' R2 L' U' B'
R2 B' F L' U' B'
U B' F L' R' U'
U B' F R' L' U'
R B' F L' U' B'
F B' D L' U' B'
F B' D' L' U' B'
F B' D2 L' U' B'
F B2 L' B U' B2
R' B' F R' L' U' B'
U' B' F D L' R U'
R' B' F R2 L' U' B'
U' B' F D R L' U'
U' B' F D' L' R U'
U' B' F D' R L' U'
U' B' F D2 L' R U'
U' B' F D2 R L' U'
F B' R2 D L' U' B'
F B' R2 D' L' U' B'
R' B' F D L' U' B'
F B' R2 D2 L' U' B'
R' B' F D' L' U' B'
R' B' F D2 L' U' B'
U2 B' F L' R U' B
U2 B' F R L' U' B
R2 B' F L' R U' B'
R2 B' F L' R' U' B'
R2 B' F L' R2 U' B'
R2 B' F L' U' D B'
R2 B' F L' U' D' B'
R2 B' F L' U' D2 B'
R2 B' F L' U' B' D
R2 B' F L' U' B' D'
R2 B' F L' U' B' D2
R2 B' F L' D U' B'
R2 B' F L' D' U' B'
R2 B' F L' D2 U' B'
R2 B' F R L' U' B'
R2 B' F R' L' U' B'
R2 B' F R2 L' U' B'
R2 B' F D L' U' B'
R2 B' F D' L' U' B'
R2 B' F D2 L' U' B'
U B' F L' R' U' D
U B' F L' R' U' D'
U B' F L' R' U' D2
U B' F L' R' D U'
U B' F L' R' D' U'
U B' F L' R' D2 U'
U B' F L' D R' U'
U B' F L' D' R' U'
U B' F L' D2 R' U'
U B' F R' L' U' D
U B' F R' L' U' D'
U B' F R' L' U' D2
U B' F R' L' D U'
U B' F R' L' D' U'
U B' F R' L' D2 U'
U B' F R' D L' U'
U B' F R' D' L' U'
U B' F R' D2 L' U'
R B' F L' R U' B'
R B' F L' R' U' B'
R B' F L' R2 U' B'
R B' F L' U' D B'
R B' F L' U' D' B'
R B' F L' U' D2 B'
R B' F L' U' B' D
R B' F L' U' B' D'
R B' F L' U' B' D2
R B' F L' D U' B'
R B' F L' D' U' B'
R B' F L' D2 U' B'
U B' F D L' R' U'
U B' F D R' L' U'
U B' F D' L' R' U'
R B' F R L' U' B'
U B' F D' R' L' U'
U B' F D2 L' R' U'
R B' F R' L' U' B'
U B' F D2 R' L' U'
R B' F R2 L' U' B'
F2 B' D F' L' U' B'
R B' F D L' U' B'
R B' F D' L' U' B'
R B' F D2 L' U' B'
F B' D L' R U' B'
F B' D L' R' U' B'
F B' D L' R2 U' B'
F B' D L' U' D B'
F B' D L' U' D' B'
F B' D L' U' D2 B'
F B' D L' U' B' D
F B' D L' U' B' D'
F B' D L' U' B' D2
F B' D L' D U' B'
F B' D L' D' U' B'
F B' D L' D2 U' B'
F B' D R L' U' B'
F2 B' D' F' L' U' B'
F B' D R' L' U' B'
F B' D R2 L' U' B'
F B' D' L' R U' B'
F B' D' L' R' U' B'
F B' D' L' R2 U' B'
F B' D' L' U' D B'
F B' D' L' U' D' B'
F B' D' L' U' D2 B'
F B' D' L' U' B' D
F B' D' L' U' B' D'
F B' D' L' U' B' D2
F B' D' L' D U' B'
F B' D' L' D' U' B'
F B' D' L' D2 U' B'
F B' D' R L' U' B'
F2 B' D2 F' L' U' B'
F B' D' R' L' U' B'
F B' D' R2 L' U' B'
F B' D2 L' R U' B'
F B' D2 L' R' U' B'
F B' D2 L' R2 U' B'
F B' D2 L' U' D B'
F B' D2 L' U' D' B'
F B' D2 L' U' D2 B'
F B' D2 L' U' B' D
F B' D2 L' U' B' D'
F B' D2 L' U' B' D2
F B' D2 L' D U' B'
F B' D2 L' D' U' B'
F B' D2 L' D2 U' B'
F B' D2 R L' U' B'
F B' D2 R' L' U' B'
F B' D2 R2 L' U' B'
F B2 L B L2 U' B'
F B2 L' U' B' D L2
F B2 L' D B U' B2
F B2 L' D' B U' B2
F B2 L' D2 B U' B2
F B2 L' B R U' B2
F B2 L' B R' U' B2
F B2 L' B R2 U' B2
F B2 L' B U' B2 D
F B2 L' B U' B2 D'
F B2 L' B U' B2 D2
F B2 L' B D' R2 U'
U' B2 F L' B R U'
B' F2 D F' L' U' B'
R' B2 F L' B U' B2
B' F2 D' F' L' U' B'
R2 B2 F L' B U' B2
F B2 D L' B U' B2
B' F2 D2 F' L' U' B'
F B2 D B L' U' B'
U B2 F L' B R' U'
F B2 D' L' B U' B2
R B2 F L' B U' B2
F B2 D' B L' U' B'
F B2 D2 L' B U' B2
F B2 D2 B L' U' B'
