B' D L2 U2 B'
B' D F L2 U2
B' D' F U2 R2
B' F U B2 U
B' F U2 D' R2
B' F D L2 U2
B' F D' U2 R2
F B' U B2 U
F B' U2 D' R2
F B' D L2 U2
F B' D' U2 R2
D F B' L2 U2 D' R2
D F B' L2 D L2 U2
D F B' L2 D' U2 R2
D F B' U B2 U D
D F B' U B2 U D'
D F B' U B2 U D2
D F B' U B2 D U
D F B' U B2 D' U
D F B' U B2 D2 U
D F B' U' D2 F2 U'
D F B' U2 R D' R2
D F B' U2 R' D' R2
D F B' U2 R2 D' R2
D F B' U2 D' R2 D
D F B' U2 D' R2 D'
D F B' U2 D' R2 D2
D F B' D L2 U2 D
D F B' D L2 U2 D'
D F B' D L2 U2 D2
D F B' D L2 D U2
D F B' D L2 D' U2
D F B' D L2 D2 U2
D F B' D' L U2 R2
D F B' D' L' U2 R2
D F B' D' L2 U2 R2
D F B' D' U2 R2 D
D F B' D' U2 R2 D'
D F B' D' U2 R2 D2
D F B' D2 U' F2 U'
U F B' U F' B2 U
U F B' U B2 F' U
F D U B U D2 F2
F D U B U' B2 U2
F D U B D' R2 U
F D U B D2 U F2
B' D F L D L U2
B' D F L D' L U2
B' D F L D2 L U2
B' D F L' D L' U2
B' D F L' D' L' U2
B' D F L' D2 L' U2
B' D F U D' B2 U
B' D F U' D F2 U'
B' D F U2 R D2 R2
B' D F U2 R' D2 R2
B' D F U2 R2 D2 R2
B' D F U2 D2 R2 D
B' D F U2 D2 R2 D'
B' D F U2 D2 R2 D2
B' D F D U' F2 U'
B D U2 L2 U' B' L2
B' D F D' U B2 U
B' D F D2 L U2 R2
B' D F D2 L' U2 R2
B' D F D2 L2 U2 R2
B' D F D2 U2 R2 D
B' D F D2 U2 R2 D'
B' D F D2 U2 R2 D2
B' D F B L2 U2 F
B' D F B' L2 B U2
B' D F B2 L2 B2 U2
B' D F' L F2 L U2
B' D F' L' F2 U2 R
B' D F' L2 U2 D2 B2
B' D F' L2 D2 U2 B2
B' D F' L2 F2 U2 D
B' D F' L2 F2 U2 D'
B' D F' L2 F2 U2 D2
B' D F' L2 F2 D U2
B' D F' L2 F2 D' U2
B' D F' L2 F2 D2 U2
B2 D F B U B2 U
B2 D F B U2 D' R2
B2 D F B D L2 U2
B2 D F B D' U2 R2
B' D F' U2 D2 R2 B2
B' D F' U2 D2 B2 R2
B' D F' D2 U2 R2 B2
B' D F' D2 U2 B2 R2
B' D F2 L F' L U2
B' D F2 L2 D F' U2
B' D F2 L2 D' F' U2
B' D F2 L2 D2 F' U2
B' D F2 L2 F' U2 D
B' D F2 L2 F' U2 D'
B' D F2 L2 F' U2 D2
B' D F2 L2 F' D U2
B' D F2 L2 F' D' U2
B' D F2 L2 F' D2 U2
F2 D F' B' U B2 U
F2 D F' B' U2 D' R2
F2 D F' B' D L2 U2
F2 D F' B' D' U2 R2
B' D F2 U2 D2 R2 B
B' D F2 D2 U2 R2 B
B' D F2 D2 F' U2 R2
B' D B L2 U2 F B'
B' D B L2 U2 B' F
B' D B F L2 U2 F
B2 D B D L2 U2 B'
B2 D B D F L2 U2
B' D B' L2 B U2 B2
B2 D B D' F U2 R2
B2 D B F U B2 U
B2 D B F U2 D' R2
B2 D B F D L2 U2
B2 D B F D' U2 R2
B' D B' F L2 B U2
F' D B' D L2 U2 B2
F' D B' D' F2 U2 R2
F2 D B' U2 D' R2 B
B' D B2 L2 B2 U2 B
F2 D B' D L2 F' U2
F2 D B' D F' L2 U2
F2 D B' D' U2 R2 B
F2 D B' D' F' U2 R2
F2 D B' F' U B2 U
F2 D B' F' U2 D' R2
F2 D B' F' D L2 U2
F2 D B' F' D' U2 R2
F D B' L U B2 U
B' D B2 F L2 B2 U2
F D B' L U2 D' R2
F D B' L D L2 U2
F D B' L D' U2 R2
F D B' L' U B2 U
F D B' L' U2 D' R2
F D B' L' D L2 U2
F D B' L' D' U2 R2
F D B' L2 U B2 U
F D B' L2 U2 D' R2
F D B' L2 D L2 U2
F D B' L2 D' U2 R2
R2 F' U R2 F2 B' U2
R2 F' U R2 B' F2 U2
L2 F' U B U F2 B2
L2 F' U B U B2 F2
F D B' U B2 U D
F D B' U B2 U D'
F D B' U B2 U D2
F D B' U B2 D U
F D B' U B2 D' U
F D B' U B2 D2 U
F D B' U' D2 F2 U'
F D B' U2 R D' R2
F D B' U2 R' D' R2
F D B' U2 R2 D' R2
F D B' U2 D' R2 D
F D B' U2 D' R2 D'
F D B' U2 D' R2 D2
R2 F' U F2 R2 B' U2
R2 F' U F2 B' R2 U2
F D B' D L2 U2 D
F D B' D L2 U2 D'
F D B' D L2 U2 D2
F D B' D L2 D U2
F D B' D L2 D' U2
F D B' D L2 D2 U2
F D B' D' L U2 R2
F D B' D' L' U2 R2
F D B' D' L2 U2 R2
F D B' D' U2 R2 D
F D B' D' U2 R2 D'
F D B' D' U2 R2 D2
R2 F' U B' R2 F2 U2
R2 F' U B' F2 R2 U2
F D B' D2 U' F2 U'
R2 F' U' D2 L2 F B2
R2 F' U' D2 L2 B2 F
B' D' L' U2 R B R
L2 F' U2 F2 B' D' R2
L2 F' U2 B' F2 D' R2
B' D' L2 U2 R B' R
B' D' L2 U2 R2 D B'
B' D' L2 U2 R2 D' B'
B' D' L2 U2 R2 D2 B'
B' D' L2 U2 R2 B' D
B' D' L2 U2 R2 B' D'
B' D' L2 U2 R2 B' D2
B' D' L2 U2 B R2 B2
B' D' L2 U2 B' R2 D
B' D' L2 U2 B' R2 D'
B' D' L2 U2 B' R2 D2
B' D' L2 D2 L2 F U2
B' D' L2 F U2 R2 B'
B' D' L2 F U2 B' R2
B' D' L2 F' U2 R2 B'
B' D' L2 F' U2 B' R2
B' D' L2 F2 U2 R2 B'
B' D' L2 F2 U2 B' R2
R2 F' D B2 R2 U' F'
F D' L2 U B U F
R2 F' D2 U' L2 F B2
R2 F' D2 U' L2 B2 F
B' D' R2 F R2 U2 R2
B' D' U L2 U R2 B'
B' D' U L2 U B' R2
F' D' U L2 B U F
B D' R2 U D2 L2 B'
B D' R2 U' R2 F U2
B D' R2 U' F R2 U2
B D' R2 D2 U L2 B'
B' D' U' F2 U' R2 B
B' D' U2 L2 R2 B' L2
B' D' U2 L2 B' L2 R2
B' D' U2 L2 B' R2 L2
B' D' U2 R2 L2 B' L2
B' D' U2 R2 U2 F U2
B' D' U2 F2 R2 F2 B
B' D' U2 F2 R2 B F2
B' D' F L U2 R2 D
B' D' F L U2 R2 D'
B' D' F L U2 R2 D2
F D' U B U D2 F2
B' D' F L D2 L2 U2
F D' U B U' B2 U2
F D' U B D' R2 U
F D' U B D2 U F2
B' D' F L' U2 R2 D
B' D' F L' U2 R2 D'
B' D' F L' U2 R2 D2
B' D' F L' D2 L2 U2
B' D' F L2 U2 R2 D
B' D' F L2 U2 R2 D'
B' D' F L2 U2 R2 D2
B' D' F L2 D2 L2 U2
B' D' F U D B2 U
B' D' F U B U R2
B' D' F U B' U R2
B' D' F U B2 U R2
B' D' F U' D' F2 U'
B' D' F U' F U' R2
B' D' F U' F' U' R2
B' D' F U' F2 U' R2
B' D' F U2 R D R
B' D' F U2 R D' R
B' D' F U2 R D2 R
B' D' F U2 R' D R'
B' D' F U2 R' D' R'
B' D' F U2 R' D2 R'
B' D' F U2 F' R2 F
B' D' F U2 F2 R2 F2
B' D' F U2 B R2 B'
B' D' F U2 B2 R2 B2
B' D' F D U B2 U
B' D' F D' U' F2 U'
B' D' F D2 L2 U2 D
B' D' F D2 L2 U2 D'
B' D' F D2 L2 U2 D2
B' D' F D2 L2 D U2
B' D' F D2 L2 D' U2
B' D' F D2 L2 D2 U2
B' D' F B' U2 R2 F'
B' D' F' L F2 U2 R2
B' D' F' L' F2 U2 R2
B' D' F' L2 F2 U2 R2
B2 D' F B U B2 U
B2 D' F B U2 D' R2
B2 D' F B D L2 U2
B2 D' F B D' U2 R2
B' D' F' U2 R2 D2 B2
B' D' F' D2 L2 U2 B2
B D' F U R2 U R2
B' D' F2 L U2 R2 B
B' D' F2 L F' U2 R2
B' D' F2 L' U2 R2 B
B' D' F2 L' F' U2 R2
B' D' F2 L2 U2 R2 B
B' D' F2 L2 F' U2 R2
F2 D' F' B' U B2 U
F2 D' F' B' U2 D' R2
F2 D' F' B' D L2 U2
F2 D' F' B' D' U2 R2
B' D' F2 U2 R2 D B
B' D' F2 U2 R2 D' B
B' D' F2 U2 R2 D2 B
B' D' F2 U2 R2 B D
B' D' F2 U2 R2 B D'
B' D' F2 U2 R2 B D2
B' D' F2 U2 B R2 B
B' D' F2 U2 B' R2 B
B' D' F2 U2 B2 R2 B
B' D' F2 D2 L2 F' U2
B' D' F2 D2 F' L2 U2
B2 D' B D L2 U2 B'
B2 D' B D F L2 U2
B2 D' B D' F U2 R2
B2 D' B F U B2 U
B2 D' B F U2 D' R2
B2 D' B F D L2 U2
B2 D' B F D' U2 R2
F' D' B' U L2 B2 U
F' D' B' U B2 L2 U
B' D' B' F U2 R2 F'
F' D' B' U2 D' R2 B2
F' D' B' U2 D' B2 R2
F' D' B' D L2 F2 U2
F' D' B' D F2 L2 U2
F' D' B' D' U2 R2 B2
F' D' B' D' U2 B2 R2
F2 D' B' U2 D' R2 B
F2 D' B' D L2 F' U2
F2 D' B' D F' L2 U2
F2 D' B' D' U2 R2 B
F2 D' B' D' F' U2 R2
F2 D' B' F' U B2 U
F2 D' B' F' U2 D' R2
F2 D' B' F' D L2 U2
F2 D' B' F' D' U2 R2
F D' B' L U B2 U
F D' B' L U2 D' R2
F D' B' L D L2 U2
F D' B' L D' U2 R2
F D' B' L' U B2 U
F D' B' L' U2 D' R2
F D' B' L' D L2 U2
F D' B' L' D' U2 R2
F D' B' L2 U B2 U
F D' B' L2 U2 D' R2
F D' B' L2 D L2 U2
F D' B' L2 D' U2 R2
L2 F2 U B U F' B2
L2 F2 U B U B2 F'
F D' B' U B2 U D
F D' B' U B2 U D'
F D' B' U B2 U D2
F D' B' U B2 D U
F D' B' U B2 D' U
F D' B' U B2 D2 U
F D' B' U' D2 F2 U'
F D' B' U2 R D' R2
F D' B' U2 R' D' R2
F D' B' U2 R2 D' R2
F D' B' U2 D' R2 D
F D' B' U2 D' R2 D'
F D' B' U2 D' R2 D2
F D' B' D L2 U2 D
F D' B' D L2 U2 D'
F D' B' D L2 U2 D2
F D' B' D L2 D U2
F D' B' D L2 D' U2
F D' B' D L2 D2 U2
F D' B' D' L U2 R2
F D' B' D' L' U2 R2
F D' B' D' L2 U2 R2
F D' B' D' U2 R2 D
F D' B' D' U2 R2 D'
F D' B' D' U2 R2 D2
F D' B' D2 U' F2 U'
L2 F2 U2 F' B' D' R2
L2 F2 U2 B' D' F' R2
B' D2 L2 U' F2 U' B'
L2 F2 U2 B' F' D' R2
B' D2 L2 U2 D R2 B'
B' D2 L2 U2 D B' R2
B' D2 L2 U2 B' D R2
B' D2 L2 D U2 R2 B'
B' D2 L2 D U2 B' R2
B' D2 L2 D' L2 F U2
F D2 L2 U B U F
D2 F2 B' U2 D' R2 B
D' F2 B' U2 D' R2 B
D2 F2 B' D L2 F' U2
D' F2 B' D L2 F' U2
D2 F2 B' D F' L2 U2
D' F2 B' D F' L2 U2
D2 F2 B' D' U2 R2 B
D2 F2 B' D' F' U2 R2
D' F2 B' D' U2 R2 B
D' F2 B' D' F' U2 R2
B' D2 U' F2 R2 U' B
B' D2 U' F2 U F' U2
D F2 B' U2 D' R2 B
D F2 B' D L2 F' U2
D F2 B' D F' L2 U2
D F2 B' D' U2 R2 B
D F2 B' D' F' U2 R2
B' D2 F L2 U B' U
F D2 U B U D2 F2
F D2 U B U' B2 U2
F D2 U B D' R2 U
F D2 U B D2 U F2
B' D2 F U' D F U'
B' D2 F U' D' F U'
B' D2 F U' D2 F U'
B' D2 F U' F U' D
B' D2 F U' F U' D'
B' D2 F U' F U' D2
B' D2 F U' F D U'
B' D2 F U' F D' U'
B' D2 F U' F D2 U'
B' D2 F D U' F U'
B' D2 F D' U' F U'
B' D2 F D2 U' F U'
B D2 U2 F2 D R2 B
B2 D2 F B U B2 U
B2 D2 F B U2 D' R2
B2 D2 F B D L2 U2
B2 D2 F B D' U2 R2
U2 B L2 U B' L2 F
F2 D2 F' B' U B2 U
F2 D2 F' B' U2 D' R2
F2 D2 F' B' D L2 U2
F2 D2 F' B' D' U2 R2
L2 B R U F B2 L
L2 B R U B2 F L
U B L2 U D2 F2 B'
U B L2 U D2 B' F2
U B L2 U' B2 U2 B
U B L2 D' R2 U B'
U B L2 D2 U F2 B'
U B L2 D2 U B' F2
U B R U' F B2 U2
U B R U' B2 F U2
B2 D2 B D L2 U2 B'
B2 D2 B D F L2 U2
B2 D2 B D' F U2 R2
B2 D2 B F U B2 U
B2 D2 B F U2 D' R2
B2 D2 B F D L2 U2
B2 D2 B F D' U2 R2
F' D2 B' U B2 U B
F' D2 B' U2 D' R2 B'
F' D2 B' U2 D' B' R2
F' D2 B' D L2 F U2
U B R' U' F B2 U2
U B R' U' B2 F U2
F' D2 B' D' U2 R2 B'
F' D2 B' D' U2 B' R2
F2 D2 B' U2 D' R2 B
F2 D2 B' D L2 F' U2
F2 D2 B' D F' L2 U2
F2 D2 B' D' U2 R2 B
F2 D2 B' D' F' U2 R2
F2 D2 B' F' U B2 U
F2 D2 B' F' U2 D' R2
F2 D2 B' F' D L2 U2
F2 D2 B' F' D' U2 R2
U B R2 U' F B2 U2
U B R2 U' B2 F U2
F D2 B' L U B2 U
F D2 B' L U2 D' R2
F D2 B' L D L2 U2
F D2 B' L D' U2 R2
F D2 B' L' U B2 U
F D2 B' L' U2 D' R2
F D2 B' L' D L2 U2
F D2 B' L' D' U2 R2
F D2 B' L2 U B2 U
F D2 B' L2 U2 D' R2
F D2 B' L2 D L2 U2
B' F L U B2 U D
B' F L U B2 U D'
B' F L U B2 U D2
B' F L U B2 D U
B' F L U B2 D' U
F D2 B' L2 D' U2 R2
B' F L U B2 D2 U
B' F L U' D2 F2 U'
B' F L U2 R D' R2
B' F L U2 R' D' R2
B' F L U2 R2 D' R2
B' F L U2 D' R2 D
B' F L U2 D' R2 D'
B' F L U2 D' R2 D2
B' F L D L2 U2 D
B' F L D L2 U2 D'
B' F L D L2 U2 D2
B' F L D L2 D U2
B' F L D L2 D' U2
B' F L D L2 D2 U2
B' F L D' L U2 R2
B' F L D' L' U2 R2
B' F L D' L2 U2 R2
B' F L D' U2 R2 D
B' F L D' U2 R2 D'
B' F L D' U2 R2 D2
F D2 B' U B2 U D
F D2 B' U B2 U D'
F D2 B' U B2 U D2
F D2 B' U B2 D U
F D2 B' U B2 D' U
F D2 B' U B2 D2 U
B' F L D2 U' F2 U'
F D2 B' U' D2 F2 U'
F D2 B' U2 R D' R2
F D2 B' U2 R' D' R2
F D2 B' U2 R2 D' R2
F D2 B' U2 D' R2 D
F D2 B' U2 D' R2 D'
F D2 B' U2 D' R2 D2
F D2 B' D L2 U2 D
F D2 B' D L2 U2 D'
F D2 B' D L2 U2 D2
F D2 B' D L2 D U2
F D2 B' D L2 D' U2
F D2 B' D L2 D2 U2
F D2 B' D' L U2 R2
F D2 B' D' L' U2 R2
F D2 B' D' L2 U2 R2
F D2 B' D' U2 R2 D
F D2 B' D' U2 R2 D'
F D2 B' D' U2 R2 D2
F D2 B' D2 U' F2 U'
U B U L2 B' L2 F
B' F L' U B2 U D
B' F L' U B2 U D'
B' F L' U B2 U D2
B' F L' U B2 D U
B' F L' U B2 D' U
B' F L' U B2 D2 U
B' F L' U' D2 F2 U'
B' F L' U2 R D' R2
B' F L' U2 R' D' R2
B' F L' U2 R2 D' R2
B' F L' U2 D' R2 D
B' F L' U2 D' R2 D'
B' F L' U2 D' R2 D2
B' F L' D L2 U2 D
B' F L' D L2 U2 D'
B' F L' D L2 U2 D2
B' F L' D L2 D U2
B' F L' D L2 D' U2
B' F L' D L2 D2 U2
B' F L' D' L U2 R2
B' F L' D' L' U2 R2
B' F L' D' L2 U2 R2
U B U F' D2 F2 B2
U B U F' D2 B2 F2
B' F L' D' U2 R2 D
B' F L' D' U2 R2 D'
B' F L' D' U2 R2 D2
B' F L' D2 U' F2 U'
B2 F L' D' B U2 R'
B' F L2 U B2 U D
B' F L2 U B2 U D'
B' F L2 U B2 U D2
B' F L2 U B2 D U
B' F L2 U B2 D' U
B' F L2 U B2 D2 U
B' F L2 U' D2 F2 U'
B' F L2 U2 R D' R2
B' F L2 U2 R' D' R2
U B U' D2 F U2 F
B' F L2 U2 R2 D' R2
B' F L2 U2 D' R2 D
B' F L2 U2 D' R2 D'
B' F L2 U2 D' R2 D2
B' F L2 D L2 U2 D
B' F L2 D L2 U2 D'
B' F L2 D L2 U2 D2
B' F L2 D L2 D U2
B' F L2 D L2 D' U2
B' F L2 D L2 D2 U2
U B U' F U2 D2 F2
U B U' F D2 U2 F2
U B U' F B2 U2 D
U B U' F B2 U2 D'
U B U' F B2 U2 D2
U B U' F B2 D U2
U B U' F B2 D' U2
U B U' F B2 D2 U2
B' F L2 D' L U2 R2
B' F L2 D' L' U2 R2
B' F L2 D' L2 U2 R2
B' F L2 D' U2 R2 D
B' F L2 D' U2 R2 D'
B' F L2 D' U2 R2 D2
B F L B2 U B2 U
B F L B2 U2 D' R2
B F L B2 D L2 U2
B F L B2 D' U2 R2
B' F L2 D2 U' F2 U'
U B U' B2 D F U2
U B U' B2 D' F U2
U B U' B2 D2 F U2
U B U' B2 F U2 D
U B U' B2 F U2 D'
U B U' B2 F U2 D2
U B U' B2 F D U2
U B U' B2 F D' U2
U B U' B2 F D2 U2
F B L B2 U B2 U
F B L B2 U2 D' R2
F B L B2 D L2 U2
F B L B2 D' U2 R2
U B U2 D L2 U' B'
B' F R U B2 U L
B' F R D L2 R' U2
B' F R D R' L2 U2
B2 F L2 B U' F U'
B' F R D' R' U2 R'
B F L' B2 U B2 U
B F L' B2 U2 D' R2
B F L' B2 D L2 U2
B F L' B2 D' U2 R2
F B L' B2 U B2 U
F B L' B2 U2 D' R2
F B L' B2 D L2 U2
F B L' B2 D' U2 R2
U B D U2 L2 U' B'
B' F R' D L2 R U2
B' F R' D R L2 U2
B' F R' D' R U2 R
B F L2 B2 U B2 U
B F L2 B2 U2 D' R2
B F L2 B2 D L2 U2
B F L2 B2 D' U2 R2
U B D' L2 R2 U B'
F B L2 B2 U B2 U
F B L2 B2 U2 D' R2
F B L2 B2 D L2 U2
F B L2 B2 D' U2 R2
U B D' R2 L2 U B'
U B D' R2 U' F U2
U B D2 L2 U F2 B'
U B D2 L2 U B' F2
B' F U L B2 L' U
B' F U L2 B2 L2 U
U B D2 U' F U2 F
B' F U R' B2 R U
B' F U R2 B2 R2 U
B' F U D' B U R2
B' F U D' B' U R2
B' F U D' B2 U R2
B' F U B D B U
B' F U B D' B U
B' F U B D2 B U
B' F U B' D B' U
B' F U B' D' B' U
B' F U B' D2 B' U
B2 F U R2 B' U F'
B2 F U B' U D2 F2
B2 F U B' U' B2 U2
B2 F U B' D' R2 U
B2 F U B' D2 U F2
B' F U' D' F U' R2
B' F U' D' F' U' R2
B' F U' D' F2 U' R2
B' F U' D2 F2 U' D
B' F U' D2 F2 U' D'
B' F U' D2 F2 U' D2
B' F U' D2 F2 D U'
B' F U' D2 F2 D' U'
B' F U' D2 F2 D2 U'
B' F U' F U' D' R2
B' F U' F U2 B2 U
B' F U' F D' U' R2
B' F U' F D2 F2 U'
B' F U' F' U' D' R2
B' F U' F' U2 B2 U
B' F U' F' D' U' R2
B' F U' F' D2 F2 U'
B' F U' F2 U' D' R2
B' F U' F2 U2 B2 U
B' F U' F2 D' U' R2
B' F U' F2 D2 F2 U'
B' F U2 L D' L' R2
B' F U2 L D' R2 L'
B F U D' R2 U R2
B' F U2 L' D' L R2
B' F U2 L' D' R2 L
B' F U2 R U' B2 U
B' F U2 R D' R2 D
B' F U2 R D' R2 D'
B' F U2 R D' R2 D2
B' F U2 R' U' B2 U
B' F U2 R' D' R2 D
B' F U2 R' D' R2 D'
B' F U2 R' D' R2 D2
B' F U2 R2 U' B2 U
B' F U2 R2 D' R2 D
B' F U2 R2 D' R2 D'
B' F U2 R2 D' R2 D2
B' F U2 D R D2 R2
B' F U2 D R' D2 R2
B' F U2 D R2 D2 R2
B' F U2 D' R D R
B' F U2 D' R D' R
B' F U2 D' R D2 R
B' F U2 D' R' D R'
B' F U2 D' R' D' R'
B' F U2 D' R' D2 R'
B' F U2 D' F' R2 F
B' F U2 D' F2 R2 F2
B' F U2 D' B R2 B'
B' F U2 D' B2 R2 B2
F B U D' R2 U R2
B' F U2 D2 R D R2
B' F U2 D2 R' D R2
B' F U2 D2 R2 D R2
B' F U2 F D' F' R2
B' F U2 F' D' R2 F
B' F U2 F' D' F R2
B' F D L D L U2
B' F D L D' L U2
B' F D L D2 L U2
B' F D L' D L' U2
B' F D L' D' L' U2
B' F D L' D2 L' U2
D2 B' L2 U B2 U B
D' B' L2 U B2 U B
D2 B' L2 U2 D' R2 B'
D2 B' L2 U2 D' B' R2
D2 B' L2 D L2 F U2
D' B' L2 U2 D' R2 B'
D' B' L2 U2 D' B' R2
B' F D U2 R D2 R2
B' F D U2 R' D2 R2
B' F D U2 R2 D2 R2
D2 B' L2 D' U2 R2 B'
D2 B' L2 D' U2 B' R2
D' B' L2 D L2 F U2
B' F D F L2 F' U2
B' F D F' L2 U2 B'
D' B' L2 D' U2 R2 B'
D' B' L2 D' U2 B' R2
B' F D F2 L2 F2 U2
B' F D B L2 U2 F
B' F D B' L2 B U2
B' F D B2 L2 B2 U2
B' F D' L U2 R2 D
B' F D' L U2 R2 D'
B' F D' L U2 R2 D2
B' F D' L D2 L2 U2
B' F D' L' U2 R2 D
B' F D' L' U2 R2 D'
B' F D' L' U2 R2 D2
B' F D' L' D2 L2 U2
B F U2 D2 F2 D R2
B' F D' L2 U2 R2 D
B' F D' L2 U2 R2 D'
B' F D' L2 U2 R2 D2
B' F D' L2 D2 L2 U2
B2 F D B U B2 U
B2 F D B U2 D' R2
B2 F D B D L2 U2
B2 F D B D' U2 R2
B' F D' U B U R2
B' F D' U B' U R2
B' F D' U B2 U R2
B' F D' U' F U' R2
B' F D' U' F' U' R2
B' F D' U' F2 U' R2
B' F D' U2 R D R
B' F D' U2 R D' R
B' F D' U2 R D2 R
B' F D' U2 R' D R'
B' F D' U2 R' D' R'
B' F D' U2 R' D2 R'
B' F D' U2 F' R2 F
B' F D' U2 F2 R2 F2
B' F D' U2 B R2 B'
B' F D' U2 B2 R2 B2
B' F D' F U2 R2 B
F B U2 D2 F2 D R2
R' B' R F U B U
D B' L2 U B2 U B
B' F D' B' U2 R2 F'
D B' L2 U2 D' R2 B'
D B' L2 U2 D' B' R2
B' F D2 L U' F2 U'
B' F D2 L U2 D R2
B' F D2 L D U2 R2
B' F D2 L D' L2 U2
D B' L2 D L2 F U2
B' F D2 L' U' F2 U'
B' F D2 L' U2 D R2
B' F D2 L' D U2 R2
B' F D2 L' D' L2 U2
D B' L2 D' U2 R2 B'
D B' L2 D' U2 B' R2
B' F D2 L2 U' F2 U'
B' F D2 L2 U2 D R2
B' F D2 L2 D U2 R2
B' F D2 L2 D' L2 U2
B2 F D' B U B2 U
B2 F D' B U2 D' R2
B2 F D' B D L2 U2
B2 F D' B D' U2 R2
B' F D2 U' F2 U' D
B' F D2 U' F2 U' D'
B' F D2 U' F2 U' D2
B' F D2 U' F2 D U'
B' F D2 U' F2 D' U'
B' F D2 U' F2 D2 U'
B' F D2 U2 R D R2
B' F D2 U2 R' D R2
B' F D2 U2 R2 D R2
B F D' U R2 U R2
B2 F D2 B U B2 U
B2 F D2 B U2 D' R2
B2 F D2 B D L2 U2
B2 F D2 B D' U2 R2
F B D' U R2 U R2
B' F' L F2 U B2 U
B' F' L F2 U2 D' R2
B' F' L F2 D L2 U2
B' F' L F2 D' U2 R2
F2 B' L U2 D' R2 B
F2 B' L D L2 F' U2
B F D2 U2 F2 D R2
F2 B' L D F' L2 U2
F' B' L F2 U B2 U
F' B' L F2 U2 D' R2
F' B' L F2 D L2 U2
F' B' L F2 D' U2 R2
F2 B' L D' U2 R2 B
F2 B' L D' F' U2 R2
D2 B' U L2 B2 U B
D' B' U L2 B2 U B
F2 B' L F' U B2 U
F2 B' L F' U2 D' R2
F2 B' L F' D L2 U2
F2 B' L F' D' U2 R2
F B D2 U2 F2 D R2
B' F' L' F2 U B2 U
B' F' L' F2 U2 D' R2
B' F' L' F2 D L2 U2
B' F' L' F2 D' U2 R2
D2 B' U B2 L2 U B'
D2 B' U B2 U' F U2
F2 B' L' U2 D' R2 B
R2 B' R2 F U B U
F2 B' L' D L2 F' U2
D' B' U B2 L2 U B'
F2 B' L' D F' L2 U2
F' B' L' F2 U B2 U
D' B' U B2 U' F U2
F' B' L' F2 U2 D' R2
F' B' L' F2 D L2 U2
F' B' L' F2 D' U2 R2
F2 B' L' D' U2 R2 B
F2 B' L' D' F' U2 R2
F B' L U B2 U D
F B' L U B2 U D'
F B' L U B2 U D2
F B' L U B2 D U
F B' L U B2 D' U
F B' L U B2 D2 U
F B' L U' D2 F2 U'
F2 B' L' F' U B2 U
F2 B' L' F' U2 D' R2
F2 B' L' F' D L2 U2
F2 B' L' F' D' U2 R2
F B' L U2 R D' R2
F B' L U2 R' D' R2
F B' L U2 R2 D' R2
F B' L U2 D' R2 D
F B' L U2 D' R2 D'
F B' L U2 D' R2 D2
F B' L D L2 U2 D
F B' L D L2 U2 D'
F B' L D L2 U2 D2
F B' L D L2 D U2
F B' L D L2 D' U2
F B' L D L2 D2 U2
F B' L D' L U2 R2
F B' L D' L' U2 R2
F B' L D' L2 U2 R2
F B' L D' U2 R2 D
F B' L D' U2 R2 D'
F B' L D' U2 R2 D2
F B' L D2 U' F2 U'
B' F' L2 F2 U B2 U
B' F' L2 F2 U2 D' R2
B' F' L2 F2 D L2 U2
B' F' L2 F2 D' U2 R2
D B' U L2 B2 U B
F2 B' L2 U2 D' R2 B
F2 B' L2 D L2 F' U2
F2 B' L2 D F' L2 U2
F' B' L2 F2 U B2 U
F' B' L2 F2 U2 D' R2
F' B' L2 F2 D L2 U2
F' B' L2 F2 D' U2 R2
F2 B' L2 D' U2 R2 B
F2 B' L2 D' F' U2 R2
F B' L' U B2 U D
F B' L' U B2 U D'
F B' L' U B2 U D2
F B' L' U B2 D U
F B' L' U B2 D' U
F B' L' U B2 D2 U
F B' L' U' D2 F2 U'
F2 B' L2 F' U B2 U
F2 B' L2 F' U2 D' R2
F2 B' L2 F' D L2 U2
F2 B' L2 F' D' U2 R2
F B' L' U2 R D' R2
F B' L' U2 R' D' R2
F B' L' U2 R2 D' R2
F B' L' U2 D' R2 D
F B' L' U2 D' R2 D'
F B' L' U2 D' R2 D2
F B' L' D L2 U2 D
F B' L' D L2 U2 D'
F B' L' D L2 U2 D2
F B' L' D L2 D U2
F B' L' D L2 D' U2
F B' L' D L2 D2 U2
F B' L' D' L U2 R2
F B' L' D' L' U2 R2
F B' L' D' L2 U2 R2
D B' U B2 L2 U B'
F B' L' D' U2 R2 D
F B' L' D' U2 R2 D'
F B' L' D' U2 R2 D2
D B' U B2 U' F U2
F B' L' D2 U' F2 U'
D2 B' D L2 U2 D B'
D2 B' D L2 U2 D' B'
D2 B' D L2 U2 D2 B'
D2 B' D L2 U2 B' D
D2 B' D L2 U2 B' D'
D2 B' D L2 U2 B' D2
D2 B' D L2 D U2 B'
D2 B' D L2 D' U2 B'
D2 B' D L2 D2 U2 B'
D2 B' D L2 F U2 B'
D2 B' D L2 F' U2 B'
D2 B' D L2 F2 U2 B'
D' B' D L2 U2 D B'
D' B' D L2 U2 D' B'
D' B' D L2 U2 D2 B'
D' B' D L2 U2 B' D
D' B' D L2 U2 B' D'
D' B' D L2 U2 B' D2
D' B' D L2 D U2 B'
