R' L U R2
L R' U R2
R' L U R2 D
R' L U R2 D'
R' L U R2 D2
D L R' U R2
D' L R' U R2
D2 L R' U R2
R' L D B2 U
R' L B U R2
R' L B' U R2
R' L B2 U R2
L R' U R2 D
L R' U R2 D'
L R' U R2 D2
L R' D B2 U
L R' B U R2
L R' B' U R2
L R' B2 U R2
L U R D' F2
D' R' L U R2
D R' L U R2
D2 R' L U R2
R' D L B2 U
R' D L B2 U
L D R' U R2
L D' R' U R2
L D2 R' U R2
L R' U F' R2 F D
L R' U F' R2 F D'
L R' U F' R2 F D2
L' R' U B2 R2 D' B2
R' L' U B2 R2 D' B2
L R' U F2 R' F2 R'
L R' U F2 R2 F2 D
L R' U F2 R2 F2 D'
L R' U F2 R2 F2 D2
L R' U B R B' R
D2 L B' U D' R F'
L R' U B R2 D B'
L R' U B R2 D' B'
L R' U B R2 D2 B'
L R' U B R2 B' D
L R' U B R2 B' D'
L R' U B R2 B' D2
D' L B' U D' R F'
B L B' R' L U R2
L R' U B2 R B2 R
L R' U B2 R2 B2 D
L R' U B2 R2 B2 D'
L R' U B2 R2 B2 D2
D L B' U D' R F'
L R' U' L U2 R2 D
L R' U' L U2 R2 D'
L R' U' L U2 R2 D2
L R' U' L D2 L2 U2
D2 L B' D' U R F'
L R' U' L' U2 R2 D
L R' U' L' U2 R2 D'
L R' U' L' U2 R2 D2
L R' U' L' D2 L2 U2
D' L B' D' U R F'
L R' U' L2 U2 R2 D
L R' U' L2 U2 R2 D'
L R' U' L2 U2 R2 D2
L R' U' L2 D2 L2 U2
D L B' D' U R F'
L R' U' D2 L2 U2 D
L R' U' D2 L2 U2 D'
L R' U' D2 L2 U2 D2
L R' U' D2 L2 D U2
L R' U' D2 L2 D' U2
L R' U' D2 L2 D2 U2
L R' U' F U2 R2 B
L R' U' B' U2 R2 F'
D2 L B2 U2 L U' R
D' L B2 U2 L U' R
D L B2 U2 L U' R
R' L' U2 D' F2 U' B2
L' R' U2 D' F2 U' B2
L R' U2 D' F2 U' D
L R' U2 D' F2 U' D'
L R' U2 D' F2 U' D2
L R' U2 D' F2 D U'
L R' U2 D' F2 D' U'
L R' U2 D' F2 D2 U'
L2 R' U2 D' F2 R U'
L R' U2 F U' R2 D
L R' U2 F U' R2 D'
L R' U2 F U' R2 D2
L R' U2 F D' F2 U'
L R' U2 F' U' R2 D
L R' U2 F' U' R2 D'
L R' U2 F' U' R2 D2
L R' U2 F' D' F2 U'
L R' U2 F2 U' R2 D
L R' U2 F2 U' R2 D'
L R' U2 F2 U' R2 D2
L2 R' U2 F2 R U' R
L R' U2 F2 D' F2 U'
U' L' R D' F2 B2 L
U' L' R D' B2 L F2
U' L' R D' B2 F2 L
L R' D L B2 L' U
U L' R D' L F2 B2
U L' R D' L B2 F2
L2 R' D L B2 L2 U
L2 R' D L' U D' R2
U L' R D' F2 L B2
L2 R' D L' D' U R2
L2 R' D L' B2 U D
L2 R' D L' B2 U D'
L2 R' D L' B2 U D2
L2 R' D L' B2 D U
L2 R' D L' B2 D' U
L2 R' D L' B2 D2 U
L R' D L2 B2 L2 U
D2 L' R' U R2 D' B2
D' L' R' U R2 D' B2
L R' D R' B2 R U
L R' D R2 B2 R2 U
L R' D U R D' R2
L R' D U R' D' R2
L R' D U R2 D' R2
D L' R' U R2 D' B2
R' L' D B2 U D2 B2
R' L' D B2 U' F2 U2
R' L' D B2 D' L2 U
R' L' D B2 D2 U B2
L' R' D B2 U D2 B2
L' R' D B2 U' F2 U2
L' R' D B2 D' L2 U
L' R' D B2 D2 U B2
D2 L' R' B L2 U R2
L2 R' D B L' B U
L R' D B D B U
L R' D B D' B U
L R' D B D2 B U
D' L' R' B L2 U R2
D2 L' R' B' L2 U R2
L R' D B' D B' U
L R' D B' D' B' U
L R' D B' D2 B' U
D' L' R' B' L2 U R2
D2 L' R' B2 L2 U R2
L2 R' D B2 L' U D
L2 R' D B2 L' U D'
L2 R' D B2 L' U D2
L2 R' D B2 L' D U
L2 R' D B2 L' D' U
L2 R' D B2 L' D2 U
L2 R' D B2 D L' U
D' L' R' B2 L2 U R2
L2 R' D B2 D' L' U
L2 R' D B2 D2 L' U
D L' R' B L2 U R2
L2 R' D' L' U D R2
L2 R' D' L' U2 F2 U'
L2 R' D' L' D U R2
L2 R' D' L' D2 B2 U
D L' R' B' L2 U R2
D L' R' B2 L2 U R2
R' L' D' U B2 D R2
R2 L' D' R U R2 B2
R2 L' D' R U B2 R2
L' R' D' U B2 D R2
R' L' D' U2 F2 U' B2
L' R' D' U2 F2 U' B2
L R' D' U R D R2
L R' D' U R' D R2
L R' D' U R2 D R2
L R' D' U2 F2 U' D
L R' D' U2 F2 U' D'
L R' D' U2 F2 U' D2
L R' D' U2 F2 D U'
L R' D' U2 F2 D' U'
L R' D' U2 F2 D2 U'
L2 R' D' U2 F2 R U'
L R' D' B U D R2
L R' D' B U2 F2 U'
L R' D' B D U R2
L R' D' B D2 B2 U
L R' D' B' U D R2
L R' D' B' U2 F2 U'
R L' D' F2 B2 D' L2
L R' D' B' D U R2
L R' D' B' D2 B2 U
L R' D' B2 U D R2
L R' D' B2 U2 F2 U'
L R' D' B2 D U R2
L R' D' B2 D2 B2 U
D2 L' U R D' F2 B2
D2 L' U R D' B2 F2
L2 R' D2 L' U' L' U2
D' L' U R D' F2 B2
D' L' U R D' B2 F2
R L' D' B2 F2 D' L2
U' L' U L2 R' U R2
F2 L' U L2 R' F2 U
F2 L' U L2 F2 R' U
U' L' U R' L2 U R2
F2 L' U R' L2 F2 U
B2 L' U R D F2 B2
D L' U R D' F2 B2
B2 L' U R D B2 F2
D L' U R D' B2 F2
F2 L' U R' F2 L2 U
L R' D2 U R D2 R2
L R' D2 U R' D2 R2
B' L' U D' R F' B
L R' D2 U R2 D2 R2
B' L' U D' R B F'
L R' D2 U' L2 U2 D
L R' D2 U' L2 U2 D'
L R' D2 U' L2 U2 D2
L R' D2 U' L2 D U2
L R' D2 U' L2 D' U2
L R' D2 U' L2 D2 U2
F2 L' U F2 L2 R' U
F2 L' U F2 R' L2 U
L R' D2 B U D2 R2
L R' D2 B U' L2 U2
L R' D2 B D' B2 U
L R' D2 B D2 U R2
R' L' F L2 F' U R2
L R' D2 B' U D2 R2
L R' D2 B' U' L2 U2
L R' D2 B' D' B2 U
L R' D2 B' D2 U R2
L' R' F L2 F' U R2
L R' D2 B2 U D2 R2
L R' D2 B2 U' L2 U2
L R' D2 B2 D' B2 U
L R' D2 B2 D2 U R2
U2 L' U' R D' F2 B2
U2 L' U' R D' B2 F2
L R' F D F' B2 U
L R' F D B2 F' U
U2 L' U2 L2 R' U R2
B2 L' U2 L2 R' U' R2
U' L' U2 R D' F2 B2
U' L' U2 R D' B2 F2
U2 L' U2 R' L2 U R2
B2 L' U2 R' L2 U' R2
L R' F' D F B2 U
L R' F' D B2 F U
R' L' F2 L2 F2 U R2
L' R' F2 L2 F2 U R2
L R' F2 U R2 D' L2
R' L' B L2 U R2 D
R' L' B L2 U R2 D'
R' L' B L2 U R2 D2
R L' F2 D' L2 F2 B2
R L' F2 D' L2 B2 F2
R' L' B L2 D B2 U
R' L' B L2 B U R2
R' L' B L2 B' U R2
R L' F2 D' F2 L2 B2
R' L' B L2 B2 U R2
R L' F2 D' F2 B2 L2
L' R' B L2 U R2 D
L' R' B L2 U R2 D'
L' R' B L2 U R2 D2
R L' F2 D' B2 L2 F2
R L' F2 D' B2 F2 L2
L' R' B L2 D B2 U
L' R' B L2 B U R2
L' R' B L2 B' U R2
L' R' B L2 B2 U R2
L2 R' B L' U R2 D
L2 R' B L' U R2 D'
L2 R' B L' U R2 D2
L2 R' B L' D B2 U
D2 L' D' R' U R2 B2
D2 L' D' R' U B2 R2
L2 R' B L' B U R2
D' L' D' R' U R2 B2
R' L' B U R2 D' B2
L2 R' B L' B' U R2
D' L' D' R' U B2 R2
L2 R' B L' B2 U R2
L' R' B U R2 D' B2
R L' B L2 R2 U R2
B' L' D' U R F' B
B' L' D' U R B F'
D L' D' R' U R2 B2
D L' D' R' U B2 R2
L R' B U R D R
L R' B U R D' R
L R' B U R D2 R
L R' B U R' D R'
L R' B U R' D' R'
L R' B U R' D2 R'
L R' B U F' R2 F
L R' B U F2 R2 F2
L R' B U B R2 B'
R L' B R2 L2 U R2
L R' B U B2 R2 B2
L R' B U' L U2 R2
L R' B U' L' U2 R2
L R' B U' L2 U2 R2
L R' B U' D2 L2 U2
L R' B U2 D' F2 U'
L2 R' B D L' B2 U
L R' B U2 F U' R2
L R' B U2 F' U' R2
L R' B U2 F2 U' R2
L2 R' B D B2 L' U
L R' B D B2 U D
L R' B D B2 U D'
L R' B D B2 U D2
L R' B D B2 D U
L R' B D B2 D' U
L R' B D B2 D2 U
L R' B D' U2 F2 U'
L R' B D2 U' L2 U2
R' L' B' L2 U R2 D
R' L' B' L2 U R2 D'
R' L' B' L2 U R2 D2
R' L' B' L2 D B2 U
L' R' B' L2 U R2 D
L' R' B' L2 U R2 D'
L' R' B' L2 U R2 D2
R' L' B' L2 B U R2
R' L' B' L2 B' U R2
R' L' B' L2 B2 U R2
L' R' B' L2 D B2 U
L' R' B' L2 B U R2
L' R' B' L2 B' U R2
L' R' B' L2 B2 U R2
L2 R' B' L' U R2 D
L2 R' B' L' U R2 D'
L2 R' B' L' U R2 D2
L2 R' B' L' D B2 U
R' L' B' U R2 D' B2
L2 R' B' L' B U R2
L2 R' B' L' B' U R2
L2 R' B' L' B2 U R2
L' R' B' U R2 D' B2
R L' B' L2 R2 U R2
L R' B' U R D R
L R' B' U R D' R
L R' B' U R D2 R
L R' B' U R' D R'
L R' B' U R' D' R'
L R' B' U R' D2 R'
L R' B' U F' R2 F
L R' B' U F2 R2 F2
L R' B' U B R2 B'
L R' B' U B2 R2 B2
L R' B' U' L U2 R2
L R' B' U' L' U2 R2
L R' B' U' L2 U2 R2
R L' B' R2 L2 U R2
L R' B' U' D2 L2 U2
L R' B' U2 D' F2 U'
L R' B' U2 F U' R2
L R' B' U2 F' U' R2
L R' B' U2 F2 U' R2
L2 R' B' D L' B2 U
L2 R' B' D B2 L' U
L R' B' D B2 U D
L R' B' D B2 U D'
L R' B' D B2 U D2
L R' B' D B2 D U
L R' B' D B2 D' U
L R' B' D B2 D2 U
L R' B' D' U2 F2 U'
L R' B' D2 U' L2 U2
R' L' B2 L2 U R2 D
R' L' B2 L2 U R2 D'
R' L' B2 L2 U R2 D2
R' L' B2 L2 D B2 U
L' R' B2 L2 U R2 D
L' R' B2 L2 U R2 D'
L' R' B2 L2 U R2 D2
L' R' B2 L2 D B2 U
R' L' B2 L2 B U R2
R' L' B2 L2 B' U R2
R' L' B2 L2 B2 U R2
L' R' B2 L2 B U R2
L' R' B2 L2 B' U R2
L' R' B2 L2 B2 U R2
L2 R' B2 L' U R2 D
L2 R' B2 L' U R2 D'
L2 R' B2 L' U R2 D2
R' L' B2 U R2 D' B2
L2 R' B2 L' D B2 U
L' R' B2 U R2 D' B2
L2 R' B2 L' B U R2
L2 R' B2 L' B' U R2
L2 R' B2 L' B2 U R2
R L' B2 L2 R2 U R2
L R' B2 U R D R
L R' B2 U R D' R
L R' B2 U R D2 R
L R' B2 U R' D R'
L R' B2 U R' D' R'
L R' B2 U R' D2 R'
L R' B2 U F' R2 F
L R' B2 U F2 R2 F2
L R' B2 U B R2 B'
L R' B2 U B2 R2 B2
L R' B2 U' L U2 R2
L R' B2 U' L' U2 R2
L R' B2 U' L2 U2 R2
R L' B2 R2 L2 U R2
L R' B2 U' D2 L2 U2
L R' B2 U2 D' F2 U'
L R' B2 U2 F U' R2
L R' B2 U2 F' U' R2
L R' B2 U2 F2 U' R2
L2 R' B2 D L' B2 U
L2 R' B2 D B2 L' U
L R' B2 D B2 U D
L R' B2 D B2 U D'
L R' B2 D B2 U D2
L R' B2 D B2 D U
L R' B2 D B2 D' U
L R' B2 D B2 D2 U
L R' B2 D' U2 F2 U'
L R' B2 D2 U' L2 U2
L' R2 U R' D' F2 B2
L' R2 U R' D' B2 F2
R' L2 U R2 U' L' U
L R2 U R' U' R2 U
L R2 U R' D' F2 D
L R2 U R' D' F2 D'
L R2 U R' D' F2 D2
F L' F' L2 R' U R2
L R2 U R' F D' F2
L R2 U R' F' D' F2
L R2 U R' F2 D' F2
L R2 U D R' D' F2
F L' F' R' L2 U R2
L R2 U D' R' D' F2
L R2 U D2 R' D' F2
B' L' B L R' U R2
B' L' B R' L U R2
R' L2 U2 D' F2 R U'
R' L2 U2 F2 R U' R
R' L2 D L B2 L2 U
R' L2 D L' U D' R2
R' L2 D L' D' U R2
L R2 U2 F' U' R' F'
R' L2 D L' B2 U D
R' L2 D L' B2 U D'
R' L2 D L' B2 U D2
R' L2 D L' B2 D U
R' L2 D L' B2 D' U
R' L2 D L' B2 D2 U
L R2 U2 F2 L' U' R'
L2 R2 D L' R U R2
R2 L2 D L' R U R2
B L' B' L R' U R2
L2 R2 D R L' U R2
R2 L2 D R L' U R2
L R2 D R U R2 D
L R2 D R U R2 D'
L R2 D R U R2 D2
L R2 D R D B2 U
L R2 D R B U R2
L R2 D R B' U R2
L R2 D R B2 U R2
B L' B' R' L U R2
R' L2 D B L' B U
L R2 D U R' D' F2
R' L2 D B2 L' U D
R' L2 D B2 L' U D'
R' L2 D B2 L' U D2
R' L2 D B2 L' D U
R' L2 D B2 L' D' U
R' L2 D B2 L' D2 U
R' L2 D B2 D L' U
R' L2 D B2 D' L' U
R' L2 D B2 D2 L' U
R' L2 D' L' U D R2
R' L2 D' L' U2 F2 U'
R' L2 D' L' D U R2
R' L2 D' L' D2 B2 U
L' R2 D' R U R2 B2
L' R2 D' R U B2 R2
L2 R2 D' L' R U R2
R2 L2 D' L' R U R2
R' L2 D' U2 F2 R U'
L2 R2 D' R L' U R2
R2 L2 D' R L' U R2
L R2 D' R U R2 D
L R2 D' R U R2 D'
L R2 D' R U R2 D2
L R2 D' R D B2 U
L R2 D' R B U R2
L R2 D' R B' U R2
L R2 D' R B2 U R2
L R2 D' U R' D' F2
R' L2 D2 L' U' L' U2
L2 R2 D2 L' R U R2
R2 L2 D2 L' R U R2
L2 R2 D2 R L' U R2
R2 L2 D2 R L' U R2
L R2 D2 R U R2 D
L R2 D2 R U R2 D'
L R2 D2 R U R2 D2
L R2 D2 R D B2 U
L R2 D2 R B U R2
L R2 D2 R B' U R2
L R2 D2 R B2 U R2
L R2 D2 U R' D' F2
D2 L2 R' D L' B2 U
D' L2 R' D L' B2 U
D2 L2 R' D B2 L' U
D' L2 R' D B2 L' U
D L2 R' D L' B2 U
D2 L2 R' B L' U R2
D' L2 R' B L' U R2
D L2 R' D B2 L' U
D2 L2 R' B' L' U R2
D' L2 R' B' L' U R2
D2 L2 R' B2 L' U R2
D' L2 R' B2 L' U R2
D L2 R' B L' U R2
D L2 R' B' L' U R2
D L2 R' B2 L' U R2
U' L2 U L' R' U R2
U' L2 U R' L' U R2
B' L2 U D' R F' B
B' L2 U D' R B F'
R' L2 B L' U R2 D
R' L2 B L' U R2 D'
R' L2 B L' U R2 D2
R' L2 B L' D B2 U
R' L2 B L' B U R2
R' L2 B L' B' U R2
R' L2 B L' B2 U R2
R' L2 B D L' B2 U
R' L2 B D B2 L' U
R L2 B L' R2 U R2
L R2 B R B' U R'
B2 L2 U2 L' R' U' R2
U2 L2 U2 L' R' U R2
R L2 B R2 L' U R2
R' L2 B' L' U R2 D
R' L2 B' L' U R2 D'
R' L2 B' L' U R2 D2
R' L2 B' L' D B2 U
R' L2 B' L' B U R2
R' L2 B' L' B' U R2
R' L2 B' L' B2 U R2
B2 L2 U2 R' L' U' R2
U2 L2 U2 R' L' U R2
R' L2 B' D L' B2 U
R' L2 B' D B2 L' U
D2 L2 D L' R' U R2
D' L2 D L' R' U R2
R L2 B' L' R2 U R2
L R2 B' R B U R'
D2 L2 D R' L' U R2
D' L2 D R' L' U R2
R' L2 B2 L' U R2 D
R' L2 B2 L' U R2 D'
R' L2 B2 L' U R2 D2
D L2 D L' R' U R2
R' L2 B2 L' D B2 U
R L2 B' R2 L' U R2
R' L2 B2 L' B U R2
R' L2 B2 L' B' U R2
R' L2 B2 L' B2 U R2
D L2 D R' L' U R2
R' L2 B2 D L' B2 U
R' L2 B2 D B2 L' U
D2 L2 D' L' R' U R2
D' L2 D' L' R' U R2
L R2 B2 R U' L U2
R L2 B2 L' R2 U R2
L R2 B2 R B2 U R'
D2 L2 D' R' L' U R2
D' L2 D' R' L' U R2
R L2 B2 R2 L' U R2
B' L2 D' U R F' B
B' L2 D' U R B F'
D L2 D' L' R' U R2
D L2 D' R' L' U R2
R2 U L R U L' R2
R2 U L R U R2 L'
L U L R D' L' F2
D2 L2 D2 L' R' U R2
D' L2 D2 L' R' U R2
D2 L2 D2 R' L' U R2
D' L2 D2 R' L' U R2
D L2 D2 L' R' U R2
R' U L' R2 D' L B2
D L2 D2 R' L' U R2
L2 U L' R' U L R2
L2 U L' R' U R2 L
L U L' R D' L F2
L U L' R D' F2 L
L' U L2 R' U L2 R2
L' U L2 R' U R2 L2
R' U R U' L U R
L' U R U' L2 R2 U
L' U R U' R2 L2 U
R2 U R L U L' R2
L' U R D' F2 B2 D
L' U R D' F2 B2 D'
L' U R D' F2 B2 D2
R2 U R L U R2 L'
L' U R D' B2 F2 D
L' U R D' B2 F2 D'
L' U R D' B2 F2 D2
L U R L D' L' F2
L2 U R U' L' R2 U
L' U R F D' F2 B2
L' U R F D' B2 F2
L2 U R U' R2 L' U
L U R L' D' L F2
L U R L' D' F2 L
L' U R F' D' F2 B2
L' U R F' D' B2 F2
L' U R F2 D' F2 B2
L' U R F2 D' B2 F2
L U R U D2 L2 U'
L' U R B D' F2 B2
L' U R B D' B2 F2
L U R U' R2 U D
L U R U' R2 U D'
L U R U' R2 U D2
L U R U' R2 D U
L U R U' R2 D' U
L U R U' R2 D2 U
R' U R B2 R D B2
L' U R B' D' F2 B2
L' U R B' D' B2 F2
L U R U2 D B2 U2
L' U R B2 D' F2 B2
L' U R B2 D' B2 F2
L U R D U2 B2 U2
L U R D F D2 F2
L U R D F' D2 F2
L U R D F2 D2 F2
L U R D' L' F2 L
L U R D' L2 F2 L2
L U R D' R F2 R'
L U R D' R2 F2 R2
L U R D' F D F
L U R D' F D' F
L U R D' F D2 F
L U R D' F' D F'
L U R D' F' D' F'
L U R D' F' D2 F'
L' U R' L2 U L2 R2
L' U R' L2 U R2 L2
L U R D2 U L2 U'
L U R D2 F D F2
L U R D2 F' D F2
L U R D2 F2 D F2
R' U R' U' L U R'
L U R F U' R2 U
L U R F D' F2 D
L U R F D' F2 D'
L U R F D' F2 D2
L U R F' U' R2 U
L U R F' D' F2 D
L U R F' D' F2 D'
L U R F' D' F2 D2
L U R F2 U' R2 U
L U R F2 D' F2 D
L U R F2 D' F2 D'
L U R F2 D' F2 D2
L2 U R' L' U L R2
L2 U R' L' U R2 L
L U R B D' F2 B'
L U R B D' B' F2
L U R B' D' F2 B
L U R B' D' B F2
B' L2 B L R' U R2
R2 U R' U' L R2 U
R2 U R' U' R2 L U
B' L2 B R' L U R2
R' U R2 L' D' L B2
R' U R2 U' L U D
R' U R2 U' L U D'
R' U R2 U' L U D2
R' U R2 U' L D U
R' U R2 U' L D' U
R' U R2 U' L D2 U
R' U R2 U' D L U
R' U R2 U' D' L U
R' U R2 U' D2 L U
L U R' F R2 D' F2
L U R' F' R2 D' F2
R' U R2 D U' L U
L U R' F2 R2 D' F2
R' U R2 D' U' L U
R' U R2 D2 U' L U
L U R2 U' R U R2
R' U R2 B2 U R' U'
B L2 B' L R' U R2
L U R2 D R' D' F2
L U R2 D' R' D' F2
L U R2 D2 R' D' F2
B L2 B' R' L U R2
L U D R U' R2 U
L U D R D' F2 D
L U D R D' F2 D'
L U D R D' F2 D2
L U D R F D' F2
L U D R F' D' F2
L U D R F2 D' F2
L' U D' R B2 D' F2
L U D' R U' R2 U
L U D' R D' F2 D
L U D' R D' F2 D'
L U D' R D' F2 D2
L U D' R F D' F2
L U D' R F' D' F2
L U D' R F2 D' F2
D2 R L B R2 U R2
D' R L B R2 U R2
D2 R L B' R2 U R2
D' R L B' R2 U R2
D2 R L B2 R2 U R2
D' R L B2 R2 U R2
L U D2 R U' R2 U
L U D2 R D' F2 D
L U D2 R D' F2 D'
L U D2 R D' F2 D2
L U D2 R F D' F2
L U D2 R F' D' F2
L U D2 R F2 D' F2
D R L B R2 U R2
D R L B' R2 U R2
U' R L' D' F2 B2 L
U' R L' D' B2 L F2
U' R L' D' B2 F2 L
D R L B2 R2 U R2
U R L' D' L F2 B2
U R L' D' L B2 F2
U R L' D' F2 L B2
B2 R U L R2 U' L'
B2 R U R2 L U' L'
U2 R U' L R2 U L'
L U F2 R D' F2 R
U2 R U' R2 L U L'
R' U B R' D' R' B
U R U' L R2 U D
U R U' L R2 U D'
U R U' L R2 U D2
U R U' L R2 D U
U R U' L R2 D' U
U R U' L R2 D2 U
U R U' L U D' F2
U R U' L D' U F2
U R U' R2 L U D
U R U' R2 L U D'
U R U' R2 L U D2
U R U' R2 L D U
U R U' R2 L D' U
U R U' R2 L D2 U
U R U' R2 D L U
U R U' R2 D' L U
U R U' R2 D2 L U
U R U' D' L U F2
L' U B' D' R F' B2
L' U B' D' R B2 F'
L' U B' D' B2 R F'
R' U B2 R D R B2
R' U B2 R D B2 R
R' U B2 R2 U R U'
R' U B2 U R' U' R'
L U B' D' B R F'
R' U' L U2 R2 D B2
U R D' U' L U F2
L U' L U R' U R2
R U' L R2 U D2 L2
R U' L R2 U' R2 U2
R U' L R2 D' F2 U
R U' L R2 D2 U L2
L U' L U2 R D' F2
U R D' F2 U' L U
R' U' L' U L2 U R2
R' U' L' U2 R2 D' B2
F' R F L R2 U R'
L U' L' U R' U R2
F' R F R2 L U R'
L U' L' U2 R D' F2
R' U' L2 U L' U R2
U R F U' L R2 U
U R F U' R2 L U
L U' L2 U R' U R2
L U' L2 U2 R D' F2
L' U' R D' F2 B2 L
L' U' R D' B2 L F2
L' U' R D' B2 F2 L
F2 R F2 L R2 U R'
U R F' U' L R2 U
U R F' U' R2 L U
F2 R F2 R2 L U R'
B' R B L R' U R
B' R B R' L U R
U R F2 U' L R2 U
U R F2 U' R2 L U
R U' R2 L U D2 L2
R U' R2 L U' R2 U2
R U' R2 L D' F2 U
R U' R2 L D2 U L2
B R B' L R' U R
R U' R2 D' L F2 U
B R B' R' L U R
R U' R2 D' F2 L U
R U' R2 D2 L U L
D2 R' L U R D R
D2 R' L U R D' R
D2 R' L U R D2 R
D2 R' L U R' D R'
D2 R' L U R' D' R'
D2 R' L U R' D2 R'
D' R' L U R D R
D' R' L U R D' R
D' R' L U R D2 R
D2 R' L U F' R2 F
D' R' L U R' D R'
D' R' L U R' D' R'
D' R' L U R' D2 R'
D2 R' L U F2 R2 F2
D2 R' L U B R2 B'
D2 R' L U B2 R2 B2
D2 R' L U' L U2 R2
D2 R' L U' L' U2 R2
D' R' L U F' R2 F
D2 R' L U' L2 U2 R2
D' R' L U F2 R2 F2
D' R' L U B R2 B'
D' R' L U B2 R2 B2
D' R' L U' L U2 R2
D' R' L U' L' U2 R2
D2 R' L U' D2 L2 U2
D' R' L U' L2 U2 R2
D' R' L U' D2 L2 U2
D2 R' L U2 D' F2 U'
D2 R' L U2 F U' R2
D2 R' L U2 F' U' R2
D2 R' L U2 F2 U' R2
R' U' D2 L2 U L' U
D' R' L U2 D' F2 U'
D' R' L U2 F U' R2
U' R' L U' R U2 R
D' R' L U2 F' U' R2
D' R' L U2 F2 U' R2
D2 R' L D B2 U D
D2 R' L D B2 U D'
D2 R' L D B2 U D2
D2 R' L D B2 D U
D2 R' L D B2 D' U
D2 R' L D B2 D2 U
D' R' L D B2 U D
D' R' L D B2 U D'
D' R' L D B2 U D2
D' R' L D B2 D U
D' R' L D B2 D' U
D' R' L D B2 D2 U
D2 R' L D' U2 F2 U'
D' R' L D' U2 F2 U'
D2 R' L D2 U' L2 U2
B2 R' L U' R2 D2 L2
D' R' L D2 U' L2 U2
U2 R' L U R2 D2 L2
D R' L U R D R
D R' L U R D' R
D R' L U R D2 R
D R' L U R' D R'
D R' L U R' D' R'
D R' L U R' D2 R'
D R' L U F' R2 F
D R' L U F2 R2 F2
D R' L U B R2 B'
D R' L U B2 R2 B2
D R' L U' L U2 R2
D2 R' L B U R2 D
D2 R' L B U R2 D'
D2 R' L B U R2 D2
D R' L U' L' U2 R2
D R' L U' L2 U2 R2
D2 R' L B D B2 U
D' R' L B U R2 D
D' R' L B U R2 D'
D' R' L B U R2 D2
D R' L U' D2 L2 U2
D' R' L B D B2 U
U' R' L F2 U L' R2
U' R' L F2 U R2 L'
D2 R' L B' U R2 D
D2 R' L B' U R2 D'
D2 R' L B' U R2 D2
D2 R' L B' D B2 U
F2 R' L D' B2 U L2
D' R' L B' U R2 D
D' R' L B' U R2 D'
D' R' L B' U R2 D2
D R' L U2 D' F2 U'
D R' L U2 F U' R2
D R' L U2 F' U' R2
D' R' L B' D B2 U
D R' L U2 F2 U' R2
D2 R' L B2 U R2 D
D2 R' L B2 U R2 D'
D2 R' L B2 U R2 D2
D2 R' L B2 D B2 U
D' R' L B2 U R2 D
D' R' L B2 U R2 D'
D' R' L B2 U R2 D2
D' R' L B2 D B2 U
D R' L D B2 U D
D R' L D B2 U D'
D R' L D B2 U D2
D2 R' L' U R2 D' B2
D R' L D B2 D U
D R' L D B2 D' U
D R' L D B2 D2 U
D' R' L' U R2 D' B2
D R' L D' U2 F2 U'
D R' L D2 U' L2 U2
F2 R' L F2 U D2 R2
F2 R' L F2 U' L2 U2
U R' L U L' R2 D
U R' L U L' R2 D'
U R' L U L' R2 D2
F2 R' L F2 D' B2 U
U R' L U R2 L' D
U R' L U R2 L' D'
U R' L U R2 L' D2
F2 R' L F2 D2 U R2
U R' L U R2 D L'
U R' L U R2 D' L'
U R' L U R2 D2 L'
D R' L B U R2 D
D R' L B U R2 D'
D R' L B U R2 D2
D R' L B D B2 U
U R' L D B2 U L'
R' U' F U L U R2
D R' L B' U R2 D
D R' L B' U R2 D'
D R' L B' U R2 D2
D R' L B' D B2 U
D R' L B2 U R2 D
D R' L B2 U R2 D'
D R' L B2 U R2 D2
D R' L B2 D B2 U
D R' L' U R2 D' B2
D2 R' L' B L2 U R2
D' R' L' B L2 U R2
D2 R' L' B' L2 U R2
D' R' L' B' L2 U R2
D2 R' L' B2 L2 U R2
D' R' L' B2 L2 U R2
U R' L B U L' R2
U R' L B U R2 L'
U R' L B' U L' R2
U R' L B' U R2 L'
U R' L B2 U L' R2
U R' L B2 U R2 L'
D2 R' L2 D L' B2 U
D' R' L2 D L' B2 U
D2 R' L2 D B2 L' U
D' R' L2 D B2 L' U
D R' L' B L2 U R2
D R' L' B' L2 U R2
D R' L' B2 L2 U R2
R' U' F' U L U R2
D2 R' L2 B L' U R2
D' R' L2 B L' U R2
D2 R' L2 B' L' U R2
D' R' L2 B' L' U R2
D2 R' L2 B2 L' U R2
D' R' L2 B2 L' U R2
D R' L2 D L' B2 U
D R' L2 D B2 L' U
D2 R' U R2 U' L U
D' R' U R2 U' L U
D R' L2 B L' U R2
D R' L2 B' L' U R2
D R' L2 B2 L' U R2
R' U' F2 U L U R2
D R' U R2 U' L U
D2 R' D L U D' R2
D' R' D L U D' R2
D2 R' D L D' U R2
D' R' D L D' U R2
D2 R' D L B2 U D
D2 R' D L B2 U D'
D2 R' D L B2 U D2
D2 R' D L B2 D U
D2 R' D L B2 D' U
D2 R' D L B2 D2 U
D' R' D L B2 U D
D' R' D L B2 U D'
D' R' D L B2 U D2
D' R' D L B2 D U
D' R' D L B2 D' U
D' R' D L B2 D2 U
D2 R' D L' B2 L2 U
D' R' D L' B2 L2 U
D2 R' D L2 B2 L' U
