B2 R U L2 F' U2
B2 R U F' L2 U2
B2 R U' D2 R2 B
B2 R D2 U' R2 B
B2 R' U L2 U2 B
B2 R' U' D2 B R2
B2 R' U' B D2 R2
B2 R' D F2 U' B
B2 R' D2 U' B R2
R' D F2 U' L2 B
R' D F2 U' B L2
R D F2 U' L2 B'
B2 U' R D2 R2 B
B2 U' R' D2 B R2
B2 U' R' B D2 R2
B D F2 B R' U'
B D B R' F2 U'
B D B F2 R' U'
D F2 B R' U' L2
D B R' F2 U' L2
D B F2 R' U' L2
L B2 L' U' R' B
R' B2 U L2 F U2
R' B2 U' D2 R2 B'
R' B2 U' D2 B' R2
R' B2 U' B' D2 R2
R' B2 D F2 U' B'
R B2 U L2 F' U2
R' B2 D2 U' R2 B'
R' B2 D2 U' B' R2
R B2 U F' L2 U2
R B2 U' D2 R2 B
R B2 D2 U' R2 B
R' B2 D R2 F2 U' B'
R' B2 D U' B' D R2
R B2 U D2 F' U2 R2
R B2 U F L2 F2 U2
R B2 U F' L2 U2 D
R B2 U F' L2 U2 D'
R B2 U F' L2 U2 D2
R B2 U F' L2 D U2
R B2 U F' L2 D' U2
R B2 U F' L2 D2 U2
R B2 U F' U2 D2 R2
R B2 U F' D2 U2 R2
R B2 U F2 L2 U2 B'
R' B2 D F2 R U' B'
R' B2 D F2 R' U' B'
R' B2 D F2 R2 U' B'
R' B2 D F2 U' D B'
R' B2 D F2 U' D' B'
R' B2 D F2 U' D2 B'
R' B2 D F2 U' B' D
R' B2 D F2 U' B' D'
R' B2 D F2 U' B' D2
R' B2 D F2 D U' B'
R' B2 D F2 D' U' B'
R' B2 D F2 D2 U' B'
F' B2 U' R D2 R2 B
F' B2 U' R' D2 B R2
F' B2 U' R' B D2 R2
B2 F2 U' R D2 R2 B
R B2 U' R2 D2 B R2
R B2 U' R2 B D2 R2
B2 F2 U' R' D2 B R2
B2 F2 U' R' B D2 R2
F2 B2 U' R D2 R2 B
R B2 U' D2 R2 D B
R B2 U' D2 R2 D' B
R B2 U' D2 R2 D2 B
R B2 U' D2 R2 B D
R B2 U' D2 R2 B D'
R B2 U' D2 R2 B D2
R B2 U' D2 B R2 B
R B2 U' D2 B' R2 B
R B2 U' D2 B2 R2 B
R' B2 D' U2 B2 U B
F2 B2 U' R' D2 B R2
F2 B2 U' R' B D2 R2
R B2 U' B D2 R2 B
R2 B2 D R F2 U' B
R B2 U' B' D2 R2 B
R B2 U' B2 D2 R2 B
R' B2 D2 R U' R B'
R' B2 D2 R U' B' R
R' B2 D2 R' U' R' B'
R2 B2 D F2 R U' B
R' B2 D2 U' R B' R
R' B2 D2 U' R2 D B'
R' B2 D2 U' R2 D' B'
R' B2 D2 U' R2 D2 B'
R' B2 D2 U' R2 B' D
R' B2 D2 U' R2 B' D'
R' B2 D2 U' R2 B' D2
R' B2 D2 U' B R2 B2
R' B2 D2 U' B' R2 D
R' B2 D2 U' B' R2 D'
R' B2 D2 U' B' R2 D2
R' B2 D2 F U' R2 B'
R' B2 D2 F U' B' R2
R' B2 D2 F' U' R2 B'
R' B2 D2 F' U' B' R2
R' B2 D2 F2 U' R2 B'
R' B2 D2 F2 U' B' R2
F B2 U' R D2 R2 B
F B2 U' R' D2 B R2
F B2 U' R' B D2 R2
R B2 D R2 F2 U' B
R' B2 F U L2 F U2
R' B2 F U' D2 R2 B'
R' B2 F U' D2 B' R2
R' B2 F U' B' D2 R2
R' B2 F D F2 U' B'
R B2 D F2 U F U2
R' B2 F D2 U' R2 B'
R' B2 F D2 U' B' R2
R2 B2 D2 R U' B R
R' B2 F' U L2 F U2
R' B2 F' U' D2 R2 B'
R' B2 F' U' D2 B' R2
R' B2 F' U' B' D2 R2
R' B2 F' D F2 U' B'
R' B2 F' D2 U' R2 B'
R' B2 F' D2 U' B' R2
B F2 D F2 B R' U'
B F2 D B R' F2 U'
B F2 D B F2 R' U'
R' B2 F2 U L2 F U2
R' B2 F2 U' D2 R2 B'
R' B2 F2 U' D2 B' R2
R' B2 F2 U' B' D2 R2
R B2 D2 R' U' R' B
R' B2 F2 D F2 U' B'
R' B2 F2 D2 U' R2 B'
R B2 D2 U F' U2 R2
R' B2 F2 D2 U' B' R2
R B2 D2 U' R2 D B
R B2 D2 U' R2 D' B
R B2 D2 U' R2 D2 B
R B2 D2 U' R2 B D
R B2 D2 U' R2 B D'
R B2 D2 U' R2 B D2
R B2 D2 U' B R2 B
R B2 D2 U' B' R2 B
R B2 D2 U' B2 R2 B
L B2 F U' R' F' B
L B2 F U' R' B F'
R B2 F U L2 F2 U2
R B2 F U F2 L2 U2
R B2 F U' D2 R2 B2
R B2 F U' D2 B2 R2
R B2 F D R2 F2 U'
R B2 F D F2 R2 U'
R B2 F D2 U' R2 B2
R B2 F D2 U' B2 R2
D B2 F2 U' L' B' L'
R B2 F2 U L2 U2 B'
R B2 F2 U F L2 U2
