B2 L U L' B
B2 L U B L'
B2 L' U L B
B2 L2 U L2 B
B2 L2 U B L2
D' R2 D' F2 B'
D' R2 D' B' F2
D' R2 B' D' F2
R2 D' R2 F2 B'
R2 D' R2 B' F2
R2 D' F2 R2 B'
R2 D' F2 B' R2
R2 D' B' R2 F2
R2 D' B' F2 R2
D' B' R2 D' F2
L2 B2 U L2 B'
B L2 B L' U L' B
B L2 B L' U B L'
B L2 B U L' B L'
B L2 B U L2 D B
B L2 B U L2 D' B
B L2 B U L2 D2 B
B L2 B U L2 B D
B L2 B U L2 B D'
B L2 B U L2 B D2
B L2 B U B L2 D
B L2 B U B L2 D'
B L2 B U B L2 D2
B L2 B U B' L2 B2
L2 U R2 L2 D' R2 B'
L2 U R2 L2 D' B' R2
B L2 B D F2 U B
B L2 B F U L2 B
B L2 B F U B L2
B L2 B F' U L2 B
B L2 B F' U B L2
B L2 B F2 U L2 B
B L2 B F2 U B L2
D' L2 B' U L2 R2 B'
D' L2 B' U L2 B' R2
D' L2 B' U R2 L2 B'
F' L2 B2 L U L B'
F2 L2 B2 L U L B'
F' L2 B2 U L2 D B'
F' L2 B2 U L2 D' B'
F' L2 B2 U L2 D2 B'
F' L2 B2 U L2 B' D
F' L2 B2 U L2 B' D'
F' L2 B2 U L2 B' D2
D' L2 B2 U L2 R2 B'
D' L2 B2 U L2 B' R2
D' L2 B2 U R2 L2 B'
F' L2 B2 U B L2 B'
F' L2 B2 U B' L2 B'
F' L2 B2 U B2 L2 B'
F' L2 B2 U' F U2 L2
U' L2 B2 U' F B2 U2
F L2 B2 L U L B'
U' L2 B2 U' B2 F U2
L' U D' R2 D L B'
F2 L2 B2 U L2 D B'
F2 L2 B2 U L2 D' B'
F2 L2 B2 U L2 D2 B'
F2 L2 B2 U L2 B' D
F2 L2 B2 U L2 B' D'
F2 L2 B2 U L2 B' D2
F2 L2 B2 U B L2 B'
F2 L2 B2 U B' L2 B'
F2 L2 B2 U B2 L2 B'
F2 L2 B2 U' F U2 L2
F L2 B2 U L2 D B'
F L2 B2 U L2 D' B'
F L2 B2 U L2 D2 B'
F L2 B2 U L2 B' D
F L2 B2 U L2 B' D'
F L2 B2 U L2 B' D2
L2 U D' R2 D L2 B'
F L2 B2 U B L2 B'
F L2 B2 U B' L2 B'
F L2 B2 U B2 L2 B'
F L2 B2 U' F U2 L2
D' R U' R' U R2 B'
D' R U' R' U B' R2
B' R U' R B' R2 U
B' R U' R' D B' U
B' R U' R' D' B' U
B' R U' R' D2 B' U
F' R U' R' B2 U B
B' R U' R' B' U D
B' R U' R' B' U D'
B' R U' R' B' U D2
B' R U' R' B' D U
B' R U' R' B' D' U
B' R U' R' B' D2 U
B' R U' R2 B' R U
B' R U' D R' B' U
B' R U' D' R' B' U
B' R U' D2 R' B' U
F2 R U' R' B2 U B
B R U' R' B U B
F R U' R' B2 U B
L2 U B L2 B' D' R2
D' R D R D' F2 B'
D' R D R D' B' F2
D' R D R B' D' F2
U2 R U2 B2 U L B
B' R D U' R' B' U
D' R D B' D' R F'
D' R D' R D' F2 B'
D' R D' R D' B' F2
D' R D' R B' D' F2
B' R D' U' R' B' U
D' R D' B' D' R F'
L' U' L D' B' R2 F'
D' R D2 R D' F2 B'
D' R D2 R D' B' F2
D' R D2 R B' D' F2
B' R D2 U' R' B' U
D' R D2 B' D' R F'
B' R F U' R' B' U
U R D2 F2 U' F2 B'
U R D2 F2 U' B' F2
L2 U' L2 D' B' R2 F'
B' R F' U' R' B' U
R' U' R U D' R2 B'
R' U' R U D' B' R2
R' U' R D' U R2 B'
R' U' R D' U B' R2
R' U' R B2 L U B
R' U' R B2 L' U B
R' U' R B2 L2 U B
R' U' R B2 U D B
R' U' R B2 U D' B
R' U' R B2 U D2 B
R' U' R B2 U B D
R' U' R B2 U B D'
R' U' R B2 U B D2
R' U' R B2 D U B
R' U' R B2 D' U B
R' U' R B2 D2 U B
B' R F2 U' R' B' U
R U' R' U D' R2 B'
R U' R' U D' B' R2
R U' R' D' U R2 B'
R U' R' D' U B' R2
R2 U' R2 U D' R2 B'
R2 U' R2 U D' B' R2
R U' R' B2 L U B
R U' R' B2 L' U B
R U' R' B2 L2 U B
R U' R' B2 U D B
R U' R' B2 U D' B
R U' R' B2 U D2 B
R U' R' B2 U B D
R U' R' B2 U B D'
R U' R' B2 U B D2
R U' R' B2 D U B
R U' R' B2 D' U B
R U' R' B2 D2 U B
R2 U' R2 D' U R2 B'
R2 U' R2 D' U B' R2
D' R B' D' R D F'
D' R B' D' R D' F'
D' R B' D' R D2 F'
D' R B' D' R F' D
D' R B' D' R F' D'
D' R B' D' R F' D2
R2 U' R2 B2 L U B
R2 U' R2 B2 L' U B
R2 U' R2 B2 L2 U B
R2 U' R2 B2 U D B
R2 U' R2 B2 U D' B
R2 U' R2 B2 U D2 B
R2 U' R2 B2 U B D
R2 U' R2 B2 U B D'
R2 U' R2 B2 U B D2
R2 U' R2 B2 D U B
R2 U' R2 B2 D' U B
R2 U' R2 B2 D2 U B
R' U' D' R U R B'
R' U' D' R U B' R
U' R B2 U D2 F2 B
U' R B2 U D2 B F2
U' R B2 U' B2 U2 B'
U' R B2 D2 U F2 B
U' R B2 D2 U B F2
R U' D' R' U R' B'
L2 U' F U B2 U L2
L2 U' F U2 L2 D' R2
D' R' U' R U R2 B'
D' R' U' R U B' R2
B' R' U' R D B' U
B' R' U' R D' B' U
B' R' U' R D2 B' U
B' R' U' R B' U D
B' R' U' R B' U D'
B' R' U' R B' U D2
B' R' U' R B' D U
B' R' U' R B' D' U
B' R' U' R B' D2 U
F' R' U' R B2 U B
B' R' U' R' B' R2 U
B' R' U' D R B' U
B' R' U' D B' R U
B' R' U' D' R B' U
B' R' U' D' B' R U
B' R' U' D2 R B' U
F2 R' U' R B2 U B
B' R' U' D2 B' R U
B' R' U' B R B2 U
B' R' U' B' R U D
B' R' U' B' R U D'
B' R' U' B' R U D2
B' R' U' B' R D U
B' R' U' B' R D' U
B' R' U' B' R D2 U
B' R' U' B' D R U
B' R' U' B' D' R U
B' R' U' B' D2 R U
F R' U' R B2 U B
R' U' B' R B' U B
D' R' D R' D' F2 B'
D' R' D R' D' B' F2
D' R' D R' B' D' F2
R2 U' B' R2 B' U B
B' R' D U' R B' U
B' R' D U' B' R U
D' R' D' R' D' F2 B'
D' R' D' R' D' B' F2
D' R' D' R' B' D' F2
R2 U' B2 R2 U' F' U2
R2 U' B2 U D' F2 B
R2 U' B2 U D' B F2
B' R' D' U' R B' U
R2 U' B2 U B D' F2
B' R' D' U' B' R U
R2 U' B2 D' U F2 B
R2 U' B2 D' U B F2
R U' B2 U2 L U' B
D' R' D2 R' D' F2 B'
D' R' D2 R' D' B' F2
D' R' D2 R' B' D' F2
B' R' D2 U' R B' U
B' R' D2 U' B' R U
U2 R' D2 F2 U' B' L'
U R' D2 F2 U' F2 B'
U R' D2 F2 U' B' F2
D2 R' F2 L' U' L B'
R' U2 R B2 U L B
D2 R' B' U F2 L' U'
F' R' B' U' R B' U
F' R' B' U' B' R U
F2 R' B' U' R B' U
F2 R' B' U' B' R U
R2 U2 D L2 F B2 U2
R2 U2 D L2 B2 F U2
F R' B' U' R B' U
U' R' B2 U D2 F2 B
U' R' B2 U D2 B F2
F R' B' U' B' R U
U' R' B2 U' B2 U2 B'
U' R' B2 D2 U F2 B
U' R' B2 D2 U B F2
R2 U2 D B2 L2 U2 B
D' R2 L D' L' F2 B'
D' R2 L D' L' B' F2
B' R2 U D2 L2 F U'
B' R2 U' R B' R U
D' R2 U' R2 U D B'
D' R2 U' R2 U D' B'
D' R2 U' R2 U D2 B'
D' R2 U' R2 U B' D
D' R2 U' R2 U B' D'
D' R2 U' R2 U B' D2
D' R2 U' R2 D U B'
D' R2 U' R2 D' U B'
D' R2 U' R2 D2 U B'
B' R2 U' R2 D B' U
B' R2 U' R2 D' B' U
B' R2 U' R2 D2 B' U
B' R2 U' R2 B' U D
B' R2 U' R2 B' U D'
B' R2 U' R2 B' U D2
B' R2 U' R2 B' D U
B' R2 U' R2 B' D' U
B' R2 U' R2 B' D2 U
F' R2 U' R2 B2 U B
B' R2 U' D' B' U F2
F2 R2 U' R2 B2 U B
B' R2 U' B R2 B2 U
B' R2 U' B' R2 U D
B' R2 U' B' R2 U D'
B' R2 U' B' R2 U D2
B' R2 U' B' R2 D U
B' R2 U' B' R2 D' U
B' R2 U' B' R2 D2 U
B' R2 U' B' U D' F2
B' R2 U' B' D' U F2
B R2 U' R2 B U B
F R2 U' R2 B2 U B
D' R2 U2 D B2 U2 B
D2 R2 D R2 D2 F2 B'
D2 R2 D R2 D2 B' F2
D' R2 D U2 B2 U2 B
D' R2 D F D2 F2 B'
D' R2 D F D2 B' F2
D' R2 D F' D2 F2 B'
D' R2 D F' D2 B' F2
D' R2 D F2 D2 F2 B'
D' R2 D F2 D2 B' F2
D2 R2 D B R2 F' B2
D2 R2 D B R2 B2 F'
D' R2 D B' L2 F L2
D' R2 D B' U2 B' U2
D' R2 D' L' F2 L B'
D' R2 D' R F2 R' B'
D' R2 D' R' B' R F2
F' R2 D' R B' R F2
D' R2 D' R2 F2 R2 B'
D' R2 D' R2 F2 B' R2
D' R2 D' R2 B' R2 F2
D' R2 D' R2 B' F2 R2
F' R2 D' R' F2 R' B'
F' R2 D' R2 F2 D B'
F' R2 D' R2 F2 D' B'
F' R2 D' R2 F2 D2 B'
F' R2 D' R2 F2 B' D
F' R2 D' R2 F2 B' D'
F' R2 D' R2 F2 B' D2
F' R2 D' R2 B' F2 D
F' R2 D' R2 B' F2 D'
F' R2 D' R2 B' F2 D2
B' R2 D' U' B' U F2
D' R2 D' F D F B'
D' R2 D' F D B' F
D' R2 D' F D' F B'
D' R2 D' F D' B' F
D' R2 D' F D2 F B'
D' R2 D' F D2 B' F
D' R2 D' F B' D F
D' R2 D' F B' D' F
D' R2 D' F B' D2 F
F2 R2 D' R B' R F2
D' R2 D' F' D F' B'
D' R2 D' F' D B' F'
D' R2 D' F' D' F' B'
D' R2 D' F' D' B' F'
D' R2 D' F' D2 F' B'
D' R2 D' F' D2 B' F'
F2 R2 D' R' F2 R' B'
D' R2 D' F' B' D F'
D' R2 D' F' B' D' F'
D' R2 D' F' B' D2 F'
F' R2 D' F R2 F B'
F' R2 D' F R2 B' F
D' R2 D' F2 R' B' R
D' R2 D' F2 R2 B' R2
F' R2 D' F B' R2 F
D2 R2 D' F2 D2 R2 B'
D' R2 D' F2 D B' D
D' R2 D' F2 D B' D'
D' R2 D' F2 D B' D2
D2 R2 D' F2 D2 B' R2
D' R2 D' F2 D' B' D
D' R2 D' F2 D' B' D'
D' R2 D' F2 D' B' D2
D2 R2 D' F2 B' D2 R2
D' R2 D' F2 D2 B' D
D' R2 D' F2 D2 B' D'
D' R2 D' F2 D2 B' D2
F2 R2 D' R2 F2 D B'
F2 R2 D' R2 F2 D' B'
F2 R2 D' R2 F2 D2 B'
F2 R2 D' R2 F2 B' D
F2 R2 D' R2 F2 B' D'
F2 R2 D' R2 F2 B' D2
D' R2 D' F2 B2 D B
D' R2 D' F2 B2 D' B
D' R2 D' F2 B2 D2 B
F2 R2 D' R2 B' F2 D
F2 R2 D' R2 B' F2 D'
F2 R2 D' R2 B' F2 D2
B' R2 D' F2 U' B' U
F' R2 D' F2 R B' R
F' R2 D' F2 R2 D B'
F' R2 D' F2 R2 D' B'
F' R2 D' F2 R2 D2 B'
D' R2 D' B' L' F2 L
F' R2 D' F2 R2 B' D
F' R2 D' F2 R2 B' D'
F' R2 D' F2 R2 B' D2
D' R2 D' B' L2 F2 L2
D' R2 D' B' R F2 R'
D' R2 D' B' R2 F2 R2
F' R2 D' F2 B R2 B2
F' R2 D' F2 B' R2 D
F' R2 D' F2 B' R2 D'
F' R2 D' F2 B' R2 D2
D' R2 D' B' F D F
D' R2 D' B' F D' F
D' R2 D' B' F D2 F
D' R2 D' B' F' D F'
D2 R2 D' B' F2 D2 R2
D' R2 D' B' F' D' F'
D' R2 D' B' F' D2 F'
F' R2 D' B R2 F2 B2
F' R2 D' B R2 B2 F2
F' R2 D' B F2 R2 B2
D' R2 D' B2 F2 D B
D' R2 D' B2 F2 D' B
D' R2 D' B2 F2 D2 B
F' R2 D' B' R' F2 R'
F2 R2 D' F R2 F B'
F' R2 D' B' R2 F2 D
F' R2 D' B' R2 F2 D'
F' R2 D' B' R2 F2 D2
F2 R2 D' F R2 B' F
F2 R2 D' F B' R2 F
F' R2 D' B' F R2 F
F' R2 D' B' F2 R2 D
F' R2 D' B' F2 R2 D'
F' R2 D' B' F2 R2 D2
F2 R2 D' F2 R B' R
F2 R2 D' F2 R2 D B'
F2 R2 D' F2 R2 D' B'
F2 R2 D' F2 R2 D2 B'
F2 R2 D' F2 R2 B' D
F2 R2 D' F2 R2 B' D'
F2 R2 D' F2 R2 B' D2
F2 R2 D' F2 B R2 B2
F2 R2 D' F2 B' R2 D
F2 R2 D' F2 B' R2 D'
F2 R2 D' F2 B' R2 D2
F2 R2 D' B R2 F2 B2
F2 R2 D' B R2 B2 F2
F2 R2 D' B F2 R2 B2
F2 R2 D' B' R' F2 R'
F2 R2 D' B' R2 F2 D
F2 R2 D' B' R2 F2 D'
F2 R2 D' B' R2 F2 D2
F2 R2 D' B' F R2 F
F2 R2 D' B' F2 R2 D
F2 R2 D' B' F2 R2 D'
F2 R2 D' B' F2 R2 D2
F R2 D' R B' R F2
F R2 D' R' F2 R' B'
F R2 D' R2 F2 D B'
F R2 D' R2 F2 D' B'
F R2 D' R2 F2 D2 B'
F R2 D' R2 F2 B' D
F R2 D' R2 F2 B' D'
F R2 D' R2 F2 B' D2
F R2 D' R2 B' F2 D
F R2 D' R2 B' F2 D'
F R2 D' R2 B' F2 D2
B' R2 D2 U L2 F U'
D R2 D' F2 D' R2 B'
D R2 D' F2 D' B' R2
D' R2 D2 F D F2 B'
D' R2 D2 F D B' F2
D' R2 D2 F B' D F2
D' R2 D2 F' D F2 B'
D' R2 D2 F' D B' F2
F R2 D' F R2 F B'
F R2 D' F R2 B' F
D' R2 D2 F' B' D F2
F R2 D' F B' R2 F
D' R2 D2 F2 D F2 B'
D' R2 D2 F2 D B' F2
D' R2 D2 F2 B' D F2
F R2 D' F2 R B' R
F R2 D' F2 R2 D B'
F R2 D' F2 R2 D' B'
F R2 D' F2 R2 D2 B'
F R2 D' F2 R2 B' D
F R2 D' F2 R2 B' D'
F R2 D' F2 R2 B' D2
F R2 D' F2 B R2 B2
F R2 D' F2 B' R2 D
F R2 D' F2 B' R2 D'
F R2 D' F2 B' R2 D2
D' R2 D2 B' U L2 U'
D' R2 D2 B' D F2 D
D' R2 D2 B' D F2 D'
D' R2 D2 B' D F2 D2
F R2 D' B R2 F2 B2
F R2 D' B R2 B2 F2
D' R2 D2 B' F D F2
D' R2 D2 B' F' D F2
D' R2 D2 B' F2 D F2
F R2 D' B F2 R2 B2
D' R2 D2 B2 D F2 B
D' R2 D2 B2 D B F2
F R2 D' B' R' F2 R'
F R2 D' B' R2 F2 D
F R2 D' B' R2 F2 D'
F R2 D' B' R2 F2 D2
F R2 D' B' F R2 F
F R2 D' B' F2 R2 D
F R2 D' B' F2 R2 D'
F R2 D' B' F2 R2 D2
F' R2 D2 B' D R2 F2
F' R2 D2 B' D F2 R2
D R2 D2 R2 D F2 B'
D R2 D2 R2 D B' F2
D R2 D2 R2 B' D F2
U2 R2 D2 F2 U' B' L2
F2 R2 D2 B' D R2 F2
F2 R2 D2 B' D F2 R2
D' R2 F U' R2 U B'
B' R2 F U' R2 B' U
B' R2 F U' B' R2 U
D R2 D2 B' R2 D F2
D' R2 F D' F2 D B'
D' R2 F D' F2 D' B'
D' R2 F D' F2 D2 B'
D' R2 F D' F2 B' D
D' R2 F D' F2 B' D'
D' R2 F D' F2 B' D2
D' R2 F D' B' F2 D
D' R2 F D' B' F2 D'
D' R2 F D' B' F2 D2
D' R2 F D2 B' D F2
F' R2 F D' R2 F2 B'
F' R2 F D' R2 B' F2
F' R2 F D' F2 R2 B'
F' R2 F D' F2 B' R2
F' R2 F D' B' R2 F2
F' R2 F D' B' F2 R2
D' R2 F B' U' R2 U
D' R2 F B' D' F2 D
D' R2 F B' D' F2 D'
D' R2 F B' D' F2 D2
D' R2 F B2 D' F2 B
D' R2 F B2 D' B F2
U R2 D2 F2 U' F2 B'
U R2 D2 F2 U' B' F2
F R2 D2 B' D R2 F2
F R2 D2 B' D F2 R2
F2 R2 F D' R2 F2 B'
F2 R2 F D' R2 B' F2
F2 R2 F D' F2 R2 B'
F2 R2 F D' F2 B' R2
F2 R2 F D' B' R2 F2
F2 R2 F D' B' F2 R2
D' R2 F' U' R2 U B'
B' R2 F' U' R2 B' U
B' R2 F' U' B' R2 U
D' R2 F' D' F2 D B'
D' R2 F' D' F2 D' B'
D' R2 F' D' F2 D2 B'
D' R2 F' D' F2 B' D
D' R2 F' D' F2 B' D'
D' R2 F' D' F2 B' D2
D' R2 F' D' B' F2 D
D' R2 F' D' B' F2 D'
D' R2 F' D' B' F2 D2
D' R2 F' D2 B' D F2
F' R2 F' D' R2 F2 B'
F' R2 F' D' R2 B' F2
F R2 F D' R2 F2 B'
F R2 F D' R2 B' F2
F' R2 F' D' F2 R2 B'
F' R2 F' D' F2 B' R2
F' R2 F' D' B' R2 F2
F' R2 F' D' B' F2 R2
F R2 F D' F2 R2 B'
F R2 F D' F2 B' R2
R2 D L2 F B2 U2 L2
F R2 F D' B' R2 F2
F R2 F D' B' F2 R2
D' R2 F' B' U' R2 U
D' R2 F' B' D' F2 D
D' R2 F' B' D' F2 D'
D' R2 F' B' D' F2 D2
D' R2 F' B2 D' F2 B
D' R2 F' B2 D' B F2
F2 R2 F' D' R2 F2 B'
F2 R2 F' D' R2 B' F2
F2 R2 F' D' F2 R2 B'
F2 R2 F' D' F2 B' R2
F2 R2 F' D' B' R2 F2
F2 R2 F' D' B' F2 R2
R2 D L2 B2 U2 L2 B'
R2 D L2 B2 F U2 L2
D' R2 F2 U' R2 U B'
B' R2 F2 U' R2 B' U
B' R2 F2 U' B' R2 U
D' R2 F2 D' F2 D B'
D' R2 F2 D' F2 D' B'
D' R2 F2 D' F2 D2 B'
D' R2 F2 D' F2 B' D
D' R2 F2 D' F2 B' D'
D' R2 F2 D' F2 B' D2
D' R2 F2 D' B' F2 D
D' R2 F2 D' B' F2 D'
D' R2 F2 D' B' F2 D2
R2 D R D2 R2 F2 B'
R2 D R D2 R2 B' F2
D' R2 F2 D2 B' D F2
R2 D R D2 F2 R2 B'
R2 D R D2 F2 B' R2
F' R2 F2 D' R2 F2 B'
F' R2 F2 D' R2 B' F2
R2 D R D2 B' R2 F2
R2 D R D2 B' F2 R2
F' R2 F2 D' F2 R2 B'
F' R2 F2 D' F2 B' R2
F R2 F' D' R2 F2 B'
F R2 F' D' R2 B' F2
F' R2 F2 D' B' R2 F2
F' R2 F2 D' B' F2 R2
F R2 F' D' F2 R2 B'
F R2 F' D' F2 B' R2
F R2 F' D' B' R2 F2
F R2 F' D' B' F2 R2
D' R2 F2 B' U' R2 U
D' R2 F2 B' D' F2 D
D' R2 F2 B' D' F2 D'
D' R2 F2 B' D' F2 D2
D' R2 F2 B2 D' F2 B
D' R2 F2 B2 D' B F2
F2 R2 F2 D' R2 F2 B'
F2 R2 F2 D' R2 B' F2
F2 R2 F2 D' F2 R2 B'
F2 R2 F2 D' F2 B' R2
F2 R2 F2 D' B' R2 F2
F2 R2 F2 D' B' F2 R2
D' R2 B U' R2 U B2
D' R2 B D' F2 D B2
R2 D R' D2 R2 F2 B'
R2 D R' D2 R2 B' F2
R2 D R' D2 F2 R2 B'
B' R2 B D' R2 F2 B'
B' R2 B D' R2 B' F2
R2 D R' D2 F2 B' R2
R2 D R' D2 B' R2 F2
R2 D R' D2 B' F2 R2
B' R2 B D' F2 R2 B'
B' R2 B D' F2 B' R2
F R2 F2 D' R2 F2 B'
F R2 F2 D' R2 B' F2
B' R2 B D' B' R2 F2
B' R2 B D' B' F2 R2
F R2 F2 D' F2 R2 B'
F R2 F2 D' F2 B' R2
F R2 F2 D' B' R2 F2
F R2 F2 D' B' F2 R2
D' R2 B' L D' L' F2
D' R2 B' L' D' L F2
D' R2 B' L' D' F2 L
D' R2 B' U D2 L2 U'
D' R2 B' U' R2 U D
D' R2 B' U' R2 U D'
D' R2 B' U' R2 U D2
D' R2 B' U' R2 D U
D' R2 B' U' R2 D' U
D' R2 B' U' R2 D2 U
D' R2 B' U2 D B2 U2
F' R2 B' U' R2 B' U
F' R2 B' U' B' R2 U
D' R2 B' D U2 B2 U2
D' R2 B' D F D2 F2
D2 R2 B' D R2 D2 F2
D' R2 B' D F' D2 F2
D' R2 B' D F2 D2 F2
D' R2 B' D' L' F2 L
D' R2 B' D' L2 F2 L2
D' R2 B' D' R F2 R'
D' R2 B' D' R2 F2 R2
D' R2 B' D' F D F
D' R2 B' D' F D' F
D' R2 B' D' F D2 F
D' R2 B' D' F' D F'
D' R2 B' D' F' D' F'
D' R2 B' D' F' D2 F'
D2 R2 B' D' F2 D2 R2
D' R2 B' D2 U L2 U'
D' R2 B' D2 F D F2
D' R2 B' D2 F' D F2
D' R2 B' D2 F2 D F2
R2 D R2 D2 R2 F2 B'
R2 D R2 D2 R2 B' F2
R2 D R2 D2 F2 R2 B'
R2 D R2 D2 F2 B' R2
R2 D R2 D2 B' R2 F2
R2 D R2 D2 B' F2 R2
D' R2 B' F U' R2 U
D' R2 B' F D' F2 D
D' R2 B' F D' F2 D'
D' R2 B' F D' F2 D2
D' R2 B' F' U' R2 U
D' R2 B' F' D' F2 D
D' R2 B' F' D' F2 D'
D' R2 B' F' D' F2 D2
F2 R2 B' U' R2 B' U
D' R2 B' F2 U' R2 U
F2 R2 B' U' B' R2 U
D' R2 B' F2 D' F2 D
D' R2 B' F2 D' F2 D'
D' R2 B' F2 D' F2 D2
U' R2 B2 U D2 F2 B
U' R2 B2 U D2 B F2
U' R2 B2 U' B2 U2 B'
D R2 B' D' F2 D' R2
F R2 B' U' R2 B' U
D R2 B' D2 R2 D F2
D2 R2 B2 D B R2 F'
F R2 B' U' B' R2 U
D' R2 B2 D' F2 D B
D' R2 B2 D' F2 D' B
D' R2 B2 D' F2 D2 B
D' R2 B2 D' F2 B D
D' R2 B2 D' F2 B D'
D' R2 B2 D' F2 B D2
D' R2 B2 D' B F2 D
D' R2 B2 D' B F2 D'
D' R2 B2 D' B F2 D2
D' R2 B2 D2 B D F2
D' R2 B2 F D' F2 B
D' R2 B2 F D' B F2
U' R2 B2 D2 U F2 B
U' R2 B2 D2 U B F2
D' R2 B2 F' D' F2 B
D' R2 B2 F' D' B F2
D' R2 B2 F2 D' F2 B
D' R2 B2 F2 D' B F2
B2 R2 B2 D' R2 F2 B
B2 R2 B2 D' R2 B F2
B R2 B2 U' R2 B U
B' U L F' U' F R
R2 D U2 L2 F B2 U2
R2 D U2 L2 B2 F U2
B2 U L B U B' U'
B2 U L B2 D B' L2
R2 D U2 B2 L2 U2 B
B2 U L' B U B' U'
B2 U L' B2 D B' L2
B' U L2 D F U' F'
B' U L2 D' F U' F'
R2 D F D2 R2 F2 B'
R2 D F D2 R2 B' F2
R2 D F D2 F2 R2 B'
R2 D F D2 F2 B' R2
R2 D F D2 B' R2 F2
R2 D F D2 B' F2 R2
B' U L2 D2 F U' F'
U' D L2 F U F' U
B' U L2 F L U' F'
B' U L2 F L' U' F'
B' U L2 F L2 U' F'
B' U L2 F U' D F'
B' U L2 F U' D' F'
B' U L2 F U' D2 F'
B' U L2 F U' F' D
B' U L2 F U' F' D'
B' U L2 F U' F' D2
B' U L2 F D U' F'
B' U L2 F D' U' F'
B' U L2 F D2 U' F'
U2 D L2 U' L2 U' B'
U2 D L2 D F U2 F
U2 D L2 D' F B2 U2
U2 D L2 D' B2 F U2
U2 D L2 F U' L2 U'
B2 U L2 B U B' U'
U2 D L2 F U2 D F2
U2 D L2 F D U2 F2
U2 D L2 F D' B2 U2
B2 U L2 B2 D B' L2
R2 D F' D2 R2 F2 B'
R2 D F' D2 R2 B' F2
R2 D F' D2 F2 R2 B'
R2 D F' D2 F2 B' R2
R2 D F' D2 B' R2 F2
R2 D F' D2 B' F2 R2
D2 U R F2 U' F2 B'
D2 U R F2 U' B' F2
L2 D F2 U D2 R2 B
L2 D F2 U' L2 F' U2
L2 D F2 U' F' L2 U2
L2 D F2 D2 U R2 B
R2 D F2 D2 R2 F2 B'
R2 D F2 D2 R2 B' F2
R2 D F2 D2 F2 R2 B'
R2 D F2 D2 F2 B' R2
R2 D F2 D2 B' R2 F2
R2 D F2 D2 B' F2 R2
D2 U R' F2 U' F2 B'
D2 U R' F2 U' B' F2
D2 U R2 F2 U' F2 B'
D2 U R2 F2 U' B' F2
D' U R2 B' U B U'
D' U R2 B2 D L2 B
D' U R2 B2 D B L2
B' U D L2 F U' F'
R2 D B' U2 L2 U2 F
R2 D B' U2 B' L2 U2
D' U F U' F' R2 B'
D' U F U' F' B' R2
D' U F U' B' F' R2
B U R2 F' U' F B2
B U R2 F' U' B2 F
B2 U D B U B' U'
R2 D B2 L2 U2 L2 B
R2 D B2 L2 U2 B L2
B' U D' L2 F U' F'
B2 U D B2 D B' L2
D' U F' U' R2 F B'
D' U F' U' R2 B' F
D' U F' U' F R2 B'
D' U F' U' F B' R2
D' U F' U' B' R2 F
D' U F' U' B' F R2
B2 U D' B U B' U'
B' U D2 L2 F U' F'
B2 U D' B2 D B' L2
B U D' R2 F' U' F
D2 U F2 R U' F2 B'
D2 U F2 R U' B' F2
D2 U F2 R' U' F2 B'
D2 U F2 R' U' B' F2
F' U D2 F2 U' F2 B'
F' U D2 F2 U' B' F2
D2 U F2 R2 U' F2 B'
D2 U F2 R2 U' B' F2
D' U F2 U' R2 F2 B'
D' U F2 U' R2 B' F2
D' U F2 U' F2 R2 B'
D' U F2 U' F2 B' R2
D' U F2 U' B' R2 F2
D' U F2 U' B' F2 R2
D2 U F2 U' F2 D B'
D2 U F2 U' F2 D' B'
D2 U F2 U' F2 D2 B'
D2 U F2 U' F2 B' D
D2 U F2 U' F2 B' D'
D2 U F2 U' F2 B' D2
D2 U F2 U' B' F2 D
D2 U F2 U' B' F2 D'
D2 U F2 U' B' F2 D2
B2 U D2 B U B' U'
L D' L U L2 R2 B'
L D' L U L2 B' R2
F2 U D2 F2 U' F2 B'
F2 U D2 F2 U' B' F2
L D' L U R2 L2 B'
B' U F L2 F U' F2
B2 U D2 B2 D B' L2
R2 D' L' R2 F2 L B'
B' U F U2 B' U F'
R2 D' L' F2 L R2 B'
R2 D' L' F2 L B' R2
F U D2 F2 U' F2 B'
F U D2 F2 U' B' F2
R2 D' L' F2 R2 L B'
L D' L' R2 D' F2 B'
L D' L' R2 D' B' F2
L D' L' R2 B' D' F2
B' U F' U2 B' U F
D' U B' R2 U' F' U
L D' L' B' R2 D' F2
D' U B' U B U' R2
D2 U B' U F2 B U'
D2 U B' U B F2 U'
R2 D' L2 F2 L2 R2 B
R2 D' L2 F2 R2 L2 B
R2 D' L2 F2 R2 B L2
L D' L2 U L R2 B'
L D' L2 U L B' R2
L D' L2 U R2 L B'
B' U F2 L2 F U' F
B' U F2 U2 B' U F2
B' U F2 D' L2 F U'
R' D' R' D' R' F2 B'
R' D' R' D' R' B' F2
R' D' R' D' F2 R' B'
R2 D' R B R F2 B2
R2 D' R B R B2 F2
D2 U B2 D L2 B R2
R2 D' R B' R F2 D
R2 D' R B' R F2 D'
R2 D' R B' R F2 D2
R2 D' R B' R' F2 R2
D2 U B2 D B L2 R2
D2 U B2 D B R2 L2
R2 D' R B' R2 F2 R'
B2 U B L2 U' F U
R' D' R2 U' R' U B'
R D' R D' R F2 B'
R D' R D' R B' F2
R D' R D' B' R F2
