F2 L D' B2 L R
F2 L D' B2 R L
R' L' U' R2 U' F2
L' R' U' R2 U' F2
R' L' U2 F2 D B2
L' R' U2 F2 D B2
R U L' R2 U2 F2
R U R2 L' U2 F2
R U R2 U2 F2 R
B2 R U' F2 L R
B2 R U' F2 R L
R' U' R2 U' F2 R
R U' R F2 L' R
R U' R F2 R L'
R U' F2 D2 L2 R
R U' F2 D2 R L2
R' U2 F2 D R B2
R' U2 F2 D B2 R
R2 F2 L' R D B2
R2 F2 R L' D B2
R2 F2 R D L' B2
R2 F2 R D B2 L'
R' F2 D R B2 L
B2 F2 L R D' B2
F2 B2 L R D' B2
B2 F2 L D' R B2
B2 F2 L D' B2 R
F2 B2 L D' R B2
F2 B2 L D' B2 R
B2 F2 R L D' B2
F2 B2 R L D' B2
B2 F2 D L R D' B2
B2 F2 D L D' R B2
B2 F2 D L D' B2 R
F2 B2 D L R D' B2
F2 B2 D L D' R B2
F2 B2 D L D' B2 R
B2 F2 D R L D' B2
F2 B2 D R L D' B2
B2 F2 D' L R D' B2
B2 F2 D' L D' R B2
B2 F2 D' L D' B2 R
F2 B2 D' L R D' B2
F2 B2 D' L D' R B2
B2 F2 D' R L D' B2
F2 B2 D' L D' B2 R
U' B2 F2 L R D' B2
U' B2 F2 L D' R B2
U' B2 F2 L D' B2 R
F2 B2 D' R L D' B2
U' B2 F2 R L D' B2
B2 F2 D2 L R D' B2
B2 F2 D2 L D' R B2
B2 F2 D2 L D' B2 R
F2 B2 D2 L R D' B2
R' B2 F2 D R B2 L
F2 B2 D2 L D' R B2
F2 B2 D2 L D' B2 R
B2 F2 D2 R L D' B2
F2 B2 D2 R L D' B2
L2 B2 F2 L R' D' B2
L2 B2 F2 L D' R' B2
U2 B2 F2 L R D' B2
U2 B2 F2 L D' R B2
U2 B2 F2 L D' B2 R
U2 B2 F2 R L D' B2
L2 B2 F2 R' L D' B2
R2 B2 F2 L' R D' B2
R2 B2 F2 L' D' R B2
R2 B2 F2 L' D' B2 R
F B2 D' F L R B'
F B2 D' F L B' R
F B2 D' F R L B'
R2 B2 F2 R L' D' B2
L B2 F2 L D' B2 R'
U B2 F2 L R D' B2
U B2 F2 L D' R B2
U B2 F2 L D' B2 R
U B2 F2 R L D' B2
