D' L2 R2 F B' U
D' L2 R2 B' F U
D' L2 F R2 B' U
D' L2 F B' R2 U
D' L2 B' R2 F U
D' L2 B' F R2 U
D' R2 L2 F B' U
D' R2 L2 B' F U
D R2 F B' L2 U'
D R2 B' F L2 U'
D F R2 B' L2 U'
D2 F B' U' F B'
D2 F B' U' B' F
D F B' L2 R2 U'
D F B' R2 L2 U'
F D B' L2 U' B'
B' F L2 U' F B'
B' F L2 U' B' F
B' F U F B' U2
B' F U B' F U2
D B' R2 F L2 U'
F B' L2 U' F B'
F B' L2 U' B' F
D2 B' F U' F B'
D2 B' F U' B' F
D B' F L2 R2 U'
F B' U F B' U2
D B' F R2 L2 U'
F B' U B' F U2
F2 B2 U' F' B U'
B2 F2 U' F' B U'
F2 B2 U' B F' U'
B2 F2 U' B F' U'
D B' F2 L2 F' R2 U'
B F' D L2 R2 F' B
B F' D L2 R2 B F'
B F' D R2 L2 F' B
B F' D R2 L2 B F'
B F' D R2 F' L2 B
B F' D R2 F' B L2
B F' D R2 B L2 F'
B F' D R2 B F' L2
F B' D L2 U' F B'
F B' D L2 U' B' F
F B' D U F B' U2
F B' D U B' F U2
D' B2 L2 R2 F' B' U
D' B2 L2 R2 B' F' U
F B' D' L2 U' F B'
F B' D' L2 U' B' F
F B' D' U F B' U2
F B' D' U B' F U2
B2 F2 L U' F' B U'
B2 F2 L U' B F' U'
F2 B2 L U' F' B U'
F2 B2 L U' B F' U'
F B' D2 L2 U' F B'
F B' D2 L2 U' B' F
F B' D2 U F B' U2
F B' D2 U B' F U2
B2 F2 L' U' F' B U'
B2 F2 L' U' B F' U'
F2 B2 L' U' F' B U'
F2 B2 L' U' B F' U'
D' B2 R2 L2 F' B' U
D' B2 R2 L2 B' F' U
B2 F2 L2 U' F' B U'
B2 F2 L2 U' B F' U'
F2 B2 L2 U' F' B U'
F2 B2 L2 U' B F' U'
D2 B2 U F B U' F
D2 B2 U B F U' F
B2 F2 R2 U F' B U
B2 F2 R2 U B F' U
F2 B2 R2 U F' B U
F2 B2 R2 U B F' U
B2 F2 U' D F' B U'
B2 F2 U' D B F' U'
B2 F2 U' D' F' B U'
B2 F2 U' D' B F' U'
B2 F2 U' D2 F' B U'
B2 F2 U' D2 B F' U'
F2 B2 U' D F' B U'
F2 B2 U' D B F' U'
F2 B2 U' D' F' B U'
F2 B2 U' D' B F' U'
B2 F2 U' F' D B U'
B2 F2 U' F' D' B U'
B2 F2 U' F' D2 B U'
B2 F2 U' F' B U' D
B2 F2 U' F' B U' D'
B2 F2 U' F' B U' D2
B2 F2 U' F' B D U'
B2 F2 U' F' B D' U'
B2 F2 U' F' B D2 U'
F2 B2 U' D2 F' B U'
F2 B2 U' D2 B F' U'
B2 F2 U' B D F' U'
B2 F2 U' B D' F' U'
B2 F2 U' B D2 F' U'
B2 F2 U' B F' U' D
B2 F2 U' B F' U' D'
B2 F2 U' B F' U' D2
B2 F2 U' B F' D U'
B2 F2 U' B F' D' U'
B2 F2 U' B F' D2 U'
F2 B2 U' F' D B U'
F2 B2 U' F' D' B U'
F2 B2 U' F' D2 B U'
F2 B2 U' F' B U' D
F2 B2 U' F' B U' D'
F2 B2 U' F' B U' D2
F2 B2 U' F' B D U'
F2 B2 U' F' B D' U'
F2 B2 U' F' B D2 U'
F2 B2 U' B D F' U'
F2 B2 U' B D' F' U'
F2 B2 U' B D2 F' U'
F2 B2 U' B F' U' D
F2 B2 U' B F' U' D'
F2 B2 U' B F' U' D2
F2 B2 U' B F' D U'
F2 B2 U' B F' D' U'
F2 B2 U' B F' D2 U'
B2 F2 D U' F' B U'
B2 F2 D U' B F' U'
F2 B2 D U' F' B U'
F2 B2 D U' B F' U'
B2 F2 D' U' F' B U'
B2 F2 D' U' B F' U'
F2 B2 D' U' F' B U'
F2 B2 D' U' B F' U'
U' B2 F2 U' F' B U'
U' B2 F2 U' B F' U'
D B2 F L2 B R2 U'
D2 B2 F2 U F' B U'
D2 B2 F2 U B F' U'
R' B2 F2 U' F' B U'
R' B2 F2 U' B F' U'
B2 F2 D2 U' F' B U'
B2 F2 D2 U' B F' U'
F2 B2 D2 U' F' B U'
F2 B2 D2 U' B F' U'
L2 B2 F2 U F' B U
L2 B2 F2 U B F' U
U2 B2 F2 U' F' B U'
U2 B2 F2 U' B F' U'
R2 B2 F2 U' F' B U'
R2 B2 F2 U' B F' U'
U B2 F2 U' F' B U'
U B2 F2 U' B F' U'
R B2 F2 U' F' B U'
R B2 F2 U' B F' U'
