U L' R U
U R L' U
U L' R U D
U L' R U D'
U L' R U D2
U L' R D U
U L' R D' U
U L' R D2 U
U L' D R U
U L' D' R U
U L' D2 R U
U R L' U D
U R L' U D'
U R L' U D2
U R L' D U
U R L' D' U
U R L' D2 U
U R D L' U
U R D' L' U
U R D2 L' U
B' U L' R U
U D L' R U
B' U R L' U
D' U L' R U
D U L' R U
U D R L' U
B U L' R U
B2 U L' R U
D2 U L' R U
D U R L' U
D' U R L' U
B U R L' U
B2 U R L' U
D2 U R L' U
U D' L' R U
U D' R L' U
F2 U' L' R U'
F2 U' R L' U'
U D2 L' R U
U D2 R L' U
U D2 R L' U
D R L' B2 U R' L
U R L' F D F' U
U R L' F D' F' U
B R L' B2 U L R'
U R L' F D2 F' U
B R L' B2 U R' L
U R L' F' D F U
U R L' F' D' F U
U R L' F' D2 F U
U R L' F2 U D' L2
U R L' F2 D' U L2
U R L' B D B' U
U R L' B D' B' U
U R L' B D2 B' U
U R L' B' D B U
U R L' B' D' B U
U R L' B' D2 B U
U R L' B2 U D' R2
U R L' B2 D' U R2
U R L2 D L U D
U R L2 D L U D'
U R L2 D L U D2
U R L2 D L D U
U R L2 D L D' U
U R L2 D L D2 U
U R L2 D' L U D
U R L2 D' L U D'
U R L2 D' L U D2
U R L2 D' L D U
U R L2 D' L D' U
U R L2 D' L D2 U
U R L2 D2 L U D
U R L2 D2 L U D'
U R L2 D2 L U D2
U R L2 D2 L D U
U R L2 D2 L D' U
U R L2 D2 L D2 U
U R L2 F L F' U
U R L2 F2 L F2 U
U R U L D' L' B2
U R U L D' B2 L'
U R U B U' L' U
U R U B' U' L' U
U R U B2 U' L' U
U' R U2 L' U2 L U'
U R U' F2 U' R U'
U R U2 R U2 L' U
U R U2 R' U2 L' U
U R U2 R2 U2 L' U
U2 R D L' U L R'
U2 R D L' U R' L
U R U2 F2 R F2 U'
L' U B2 R U R2 B2
L' U B2 R U B2 R2
U R D L U D' B2
U R D L D' U B2
U R D L2 D L U
U R D L2 D' L U
U R D L2 D2 L U
R U B2 L D' R2 B2
R U B2 L D' B2 R2
U2 R D' L' U L R'
U2 R D' L' U R' L
U R D B' L' B U
U R D B2 L' B2 U
U R D' L U D' B2
U R D' L D' U B2
U R D' L2 D L U
U R D' L2 D' L U
U R D' L2 D2 L U
U2 R D2 L' U L R'
U2 R D2 L' U R' L
U R D' B' L' B U
U R D' B2 L' B2 U
U R D2 L U D' B2
U R D2 L D' U B2
U R D2 L2 D L U
U R D2 L2 D' L U
U R D2 L2 D2 L U
U R D2 B' L' B U
U R D2 B2 L' B2 U
U R F L F' L' U
U R F L' F' L' U
U R F L2 F' L' U
U R F D F' L' U
U R F D' F' L' U
U R F D2 F' L' U
U R F2 L F2 L' U
U R F2 L' F2 L' U
U R F2 L2 F2 L' U
U R B D B' L' U
U R B D' B' L' U
U R B D2 B' L' U
U R B' L B L2 U
U R B' L' D B U
U R B' L' D' B U
U R B' L' D2 B U
U R B' L' B U D
U R B' L' B U D'
U R B' L' B U D2
U R B' L' B D U
U R B' L' B D' U
U R B' L' B D2 U
U R B' D L' B U
U R B' D B L' U
U R B' D' L' B U
U R B' D' B L' U
U R B' D2 L' B U
U R B' D2 B L' U
U R B2 L B2 L2 U
U R B2 L' U D' R2
U R B2 L' D' U R2
U R B2 L' B2 U D
U R B2 L' B2 U D'
U R B2 L' B2 U D2
U R B2 L' B2 D U
U R B2 L' B2 D' U
U R B2 L' B2 D2 U
U' R' L U' D' F2 B2
U' R' L U' D' B2 F2
U' R' L U2 L2 R2 U
U' R' L U2 R2 L2 U
U' R' L D' U' F2 B2
U' R' L D' U' B2 F2
U' R' L D2 L2 R2 U'
U' R' L D2 R2 L2 U'
U R B2 D' L' U R2
U R' L U D' F2 B2
U R' L U D' B2 F2
U R' L D' U F2 B2
U R' L D' U B2 F2
U R' L' U D' F2 D
U R' L' U D' F2 D'
U R' L' U D' F2 D2
U R' L' U F D' F2
U R' L' U F' D' F2
U R' L' U F2 D' F2
U R' L' U' D B2 U2
U' R' L2 U2 L R2 U
U' R' L2 U2 R2 L U
U R' L' U2 D2 L2 U'
U R' L' D U' B2 U2
U R' L' D' R U F2
U R' L' D' R' U F2
U R' L' D' R2 U F2
U R' L' D' U F2 D
U R' L' D' U F2 D'
U R' L' D' U F2 D2
U R' L' D2 U2 L2 U'
U R' L' F' R2 F U
U R' L' F2 R2 F2 U
U R' L' B R2 B' U
U R' L' B2 R2 B2 U
U R' L2 D' L U F2
U2 R' U' L' R2 U R'
U2 R' U' R2 L' U R'
U' R' U2 L' R2 U D
U' R' U2 L' R2 U D'
U' R' U2 L' R2 U D2
U' R' U2 L' R2 D U
U' R' U2 L' R2 D' U
U' R' U2 L' R2 D2 U
U' R' U2 L' U D' F2
U' R' U2 L' D' U F2
U' R' U2 R2 L' U D
U' R' U2 R2 L' U D'
U' R' U2 R2 L' U D2
U' R' U2 R2 L' D U
U' R' U2 R2 L' D' U
U' R' U2 R2 L' D2 U
U' R' U2 R2 D L' U
U' R' U2 R2 D' L' U
U' R' U2 R2 D2 L' U
U' R' U2 D' L' U F2
U R' D L' U D2 F2
U R' D L' U' B2 U2
U R' D L' D' R2 U
U R' D L' D2 U F2
U' R' D' U2 L' U F2
R' U2 L D' F2 L' B2
R' U2 L D' F2 B2 L'
R' U2 L D' B2 F2 L'
U R' D' L' R U F2
U R' D' L' R' U F2
U R' D' L' R2 U F2
U R' D' L' U F2 D
U R' D' L' U F2 D'
U R' D' L' U F2 D2
U R' D' L' D R2 U
U R' D' R L' U F2
U' R' D2 L2 U2 L U
U R' D' R' L' U F2
U R' D' R2 L' U F2
U R' D2 L' U2 L' U'
U' R' F2 R F2 L' U'
U R' F' R2 F L' U
L U2 R' D' F2 R B2
L U2 R' D' F2 B2 R
L U2 R' D' B2 F2 R
U R' B R2 B' L' U
U R' B' L' B R2 U
U R' B2 L' R2 B2 U
U' R2 L U2 L2 R' U
U R' B2 L' B2 R2 U
U' R2 L U2 R' L2 U
U R' B2 R2 L' B2 U
U R' B2 R2 B2 L' U
U R2 L D' R' U B2
U' R2 L2 U2 L R' U
U' R2 L2 U2 R' L U
U R2 L' D R' U D
U R2 L' D R' U D'
U R2 L' D R' U D2
U R2 L' D R' D U
U R2 L' D R' D' U
U R2 L' D R' D2 U
U R2 L' D' R' U D
U R2 L' D' R' U D'
U R2 L' D' R' U D2
U R2 L' D' R' D U
U R2 L' D' R' D' U
U R2 L' D' R' D2 U
U R2 L' D2 R' U D
U R2 L' D2 R' U D'
U R2 L' D2 R' U D2
U R2 L' D2 R' D U
U R2 L' D2 R' D' U
U R2 L' D2 R' D2 U
U R2 L' F' R' F U
U R2 L' F2 R' F2 U
U R2 L2 D L R' U
U R2 L2 D R' L U
U R2 L2 D' L R' U
U R2 L2 D' R' L U
U R2 L2 D2 L R' U
U R2 L2 D2 R' L U
U2 R2 U' L' R' U R'
U2 R2 U' R' L' U R'
U' R2 U2 L' R' U D
U' R2 U2 L' R' U D'
U' R2 U2 L' R' U D2
U' R2 U2 L' R' D U
U' R2 U2 L' R' D' U
U' R2 U2 L' R' D2 U
U' R2 U2 L' D R' U
U' R2 U2 L' D' R' U
U' R2 U2 L' D2 R' U
U' R2 U2 R' L' U D
U' R2 U2 R' L' U D'
U' R2 U2 R' L' U D2
U' R2 U2 R' L' D U
U' R2 U2 R' L' D' U
U' R2 U2 R' L' D2 U
U' R2 U2 R' D L' U
U' R2 U2 R' D' L' U
U' R2 U2 R' D2 L' U
U' R2 U2 D L' R' U
U' R2 U2 D R' L' U
U' R2 U2 D' L' R' U
U' R2 U2 D' R' L' U
U' R2 U2 D2 L' R' U
U' R2 U2 D2 R' L' U
U' R2 D U2 L' R' U
U' R2 D U2 R' L' U
U R2 D L' R' U D
U R2 D L' R' U D'
U R2 D L' R' U D2
U R2 D L' R' D U
U R2 D L' R' D' U
U R2 D L' R' D2 U
U R2 D L' D R' U
U R2 D L' D' R' U
U R2 D L' D2 R' U
U R2 D R' L' U D
U R2 D R' L' U D'
U R2 D R' L' U D2
U R2 D R' L' D U
U R2 D R' L' D' U
U R2 D R' L' D2 U
U R2 D R' D L' U
U R2 D R' D' L' U
U R2 D R' D2 L' U
U' R2 D' U2 L' R' U
U' R2 D' U2 L' R' U
U' R2 D' U2 R' L' U
L' D L U L' R U
L' D L U R L' U
U R2 D' L' R' U D
U R2 D' L' R' U D'
U R2 D' L' R' U D2
U R2 D' L' R' D U
U R2 D' L' R' D' U
U R2 D' L' R' D2 U
U R2 D' L' D R' U
U R2 D' L' D' R' U
U R2 D' L' D2 R' U
U R2 D' R' L' U D
U R2 D' R' L' U D'
U R2 D' R' L' U D2
U R2 D' R' L' D U
U R2 D' R' L' D' U
U R2 D' R' L' D2 U
U R2 D' R' D L' U
U R2 D' R' D' L' U
U R2 D' R' D2 L' U
U' R2 D2 U2 L' R' U
U' R2 D2 U2 R' L' U
U R2 D2 L' R' U D
U R2 D2 L' R' U D'
U R2 D2 L' R' U D2
U R2 D2 L' R' D U
U R2 D2 L' R' D' U
U R2 D2 L' R' D2 U
U R2 D2 L' D R' U
U R2 D2 L' D' R' U
U R2 D2 L' D2 R' U
U R2 D2 R' L' U D
U R2 D2 R' L' U D'
U R2 D2 R' L' U D2
U R2 D2 R' L' D U
U R2 D2 R' L' D' U
U R2 D2 R' L' D2 U
U R2 D2 R' D L' U
U R2 D2 R' D' L' U
U R2 D2 R' D2 L' U
R D L' U' L R' U2
R D L' U' R' L U2
L D L' F2 U' L' U'
R D L' B2 U L R'
R D L' B2 U R' L
L' D R U' L R' U2
L' D R U' R' L U2
R' D R B2 U L' U
L' D R B2 U L R'
L' D R B2 U R' L
U R2 F' R' F L' U
R D R' U L' R U
R D R' U R L' U
U R2 B' L' B R' U
D' U L R U D' B2
D' U L R D' U B2
D2 U L R U D' B2
D2 U L R D' U B2
B' U L R U D' B2
B' U L R D' U B2
B2 U L R U D' B2
B2 U L R D' U B2
U' D L U2 L2 R U
U' D L U2 R L2 U
D' U L D' R U B2
D2 U L D' R U B2
B' U L D' R U B2
F2 U L U2 L2 R U'
F2 U L U2 R L2 U'
B2 U L D' R U B2
B U L R U D' B2
B U L R D' U B2
D U L R U D' B2
D U L R D' U B2
D' U L' R' U D' F2
D' U L' R' D' U F2
D2 U L' R' U D' F2
D2 U L' R' D' U F2
D' U L' R2 D R' U
D' U L' R2 D' R' U
D' U L' R2 D2 R' U
D2 U L' R2 D R' U
B' U L' R' U D' F2
D2 U L' R2 D' R' U
D2 U L' R2 D2 R' U
B' U L' R' D' U F2
B' U L' R2 D R' U
B' U L' R2 D' R' U
B' U L' R2 D2 R' U
U D L R U D' B2
U D L R D' U B2
B U L D' R U B2
D U L D' R U B2
D' U L' D R U D
D' U L' D R U D'
D' U L' D R U D2
D' U L' D R D U
D' U L' D R D' U
D' U L' D R D2 U
B2 U L' R' U D' F2
D2 U L' D R U D
D2 U L' D R U D'
D2 U L' D R U D2
D2 U L' D R D U
D2 U L' D R D' U
D2 U L' D R D2 U
B2 U L' R' D' U F2
D' U L' D' R U D
D' U L' D' R U D'
D' U L' D' R U D2
D' U L' D' R D U
D' U L' D' R D' U
D' U L' D' R D2 U
B2 U L' R2 D R' U
B2 U L' R2 D' R' U
B2 U L' R2 D2 R' U
D2 U L' D' R U D
D2 U L' D' R U D'
D2 U L' D' R U D2
D2 U L' D' R D U
D2 U L' D' R D' U
D2 U L' D' R D2 U
B' U L' D R U D
B' U L' D R U D'
B' U L' D R U D2
B' U L' D R D U
B' U L' D R D' U
B' U L' D R D2 U
D' U L' D2 R U D
D' U L' D2 R U D'
D' U L' D2 R U D2
D' U L' D2 R D U
D' U L' D2 R D' U
D' U L' D2 R D2 U
U2 D L' R U L R'
U2 D L' R U R' L
D2 U L' D2 R U D
D2 U L' D2 R U D'
D2 U L' D2 R U D2
D2 U L' D2 R D U
D2 U L' D2 R D' U
D2 U L' D2 R D2 U
B' U L' D' R U D
B' U L' D' R U D'
B' U L' D' R U D2
B' U L' D' R D U
B' U L' D' R D' U
B' U L' D' R D2 U
B' U L' D2 R U D
B' U L' D2 R U D'
B' U L' D2 R U D2
B' U L' D2 R D U
B' U L' D2 R D' U
B' U L' D2 R D2 U
B2 U L' D R U D
B2 U L' D R U D'
B2 U L' D R U D2
B2 U L' D R D U
B2 U L' D R D' U
B2 U L' D R D2 U
B2 U L' D' R U D
B2 U L' D' R U D'
B2 U L' D' R U D2
B2 U L' D' R D U
B2 U L' D' R D' U
B2 U L' D' R D2 U
D' U L' B R B' U
U D L D' R U B2
D2 U L' B R B' U
B2 U L' D2 R U D
B2 U L' D2 R U D'
B2 U L' D2 R U D2
B2 U L' D2 R D U
B2 U L' D2 R D' U
B2 U L' D2 R D2 U
B' U L' B R B' U
D' U L' B2 R B2 U
D2 U L' B2 R B2 U
B U L' R' U D' F2
D U L' R' U D' F2
B U L' R' D' U F2
D' U L2 R D L U
D U L' R' D' U F2
D' U L2 R D' L U
D' U L2 R D2 L U
D2 U L2 R D L U
D2 U L2 R D' L U
D2 U L2 R D2 L U
B' U L' B2 R B2 U
B U L' R2 D R' U
B U L' R2 D' R' U
D U L' R2 D R' U
B U L' R2 D2 R' U
D U L' R2 D' R' U
D U L' R2 D2 R' U
B' U L2 R D L U
B' U L2 R D' L U
B' U L2 R D2 L U
B2 U L' B R B' U
B2 U L' B2 R B2 U
B U L' D R U D
B U L' D R U D'
B U L' D R U D2
B U L' D R D U
B U L' D R D' U
B U L' D R D2 U
D U L' D R U D
D U L' D R U D'
D U L' D R U D2
D U L' D R D U
D U L' D R D' U
D U L' D R D2 U
U' D L2 U2 L R U
B2 U L2 R D L U
D' U L2 D L R U
B2 U L2 R D' L U
B2 U L2 R D2 L U
U' D L2 U2 R L U
D' U L2 D R L U
B U L' D' R U D
B U L' D' R U D'
B U L' D' R U D2
D2 U L2 D L R U
B U L' D' R D U
D U L' D' R U D
D U L' D' R U D'
D U L' D' R U D2
B U L' D' R D' U
B U L' D' R D2 U
D U L' D' R D U
D U L' D' R D' U
D U L' D' R D2 U
D2 U L2 D R L U
U D L' R' U D' F2
D' U L2 D' L R U
U D L' R' D' U F2
D' U L2 D' R L U
B U L' D2 R U D
B U L' D2 R U D'
B U L' D2 R U D2
B U L' D2 R D U
B U L' D2 R D' U
B U L' D2 R D2 U
D2 U L2 D' L R U
D U L' D2 R U D
D U L' D2 R U D'
D U L' D2 R U D2
D U L' D2 R D U
D U L' D2 R D' U
D U L' D2 R D2 U
B' U L2 D L R U
D2 U L2 D' R L U
B' U L2 D R L U
U D L' R2 D R' U
U D L' R2 D' R' U
D' U L2 D2 L R U
U D L' R2 D2 R' U
D' U L2 D2 R L U
D2 U L2 D2 L R U
B' U L2 D' L R U
D2 U L2 D2 R L U
B' U L2 D' R L U
B' U L2 D2 L R U
B' U L2 D2 R L U
B2 U L2 D L R U
F2 U L2 U2 L R U'
B2 U L2 D R L U
F2 U L2 U2 R L U'
B U L' B R B' U
D U L' B R B' U
U D L' D R U D
U D L' D R U D'
U D L' D R U D2
U D L' D R D U
U D L' D R D' U
U D L' D R D2 U
B2 U L2 D' L R U
B2 U L2 D' R L U
U D L' D' R U D
U D L' D' R U D'
U D L' D' R U D2
U D L' D' R D U
U D L' D' R D' U
U D L' D' R D2 U
B2 U L2 D2 L R U
B2 U L2 D2 R L U
B U L' B2 R B2 U
D U L' B2 R B2 U
U D L' D2 R U D
U D L' D2 R U D'
U D L' D2 R U D2
U D L' D2 R D U
U D L' D2 R D' U
U D L' D2 R D2 U
B U L2 R D L U
D U L2 R D L U
B U L2 R D' L U
D U L2 R D' L U
B U L2 R D2 L U
D U L2 R D2 L U
D' U R L U D' B2
D' U R L D' U B2
D2 U R L U D' B2
D2 U R L D' U B2
B' U R L U D' B2
D' U R L2 D L U
B' U R L D' U B2
D' U R L2 D' L U
D' U R L2 D2 L U
D2 U R L2 D L U
D2 U R L2 D' L U
D2 U R L2 D2 L U
U D L' B R B' U
B' U R L2 D L U
B' U R L2 D' L U
B' U R L2 D2 L U
D U L2 D L R U
B U L2 D L R U
U D L' B2 R B2 U
D U L2 D R L U
B U L2 D R L U
B2 U R L U D' B2
B2 U R L D' U B2
D' U R D L' U D
D' U R D L' U D'
D' U R D L' U D2
D' U R D L' D U
D' U R D L' D' U
D' U R D L' D2 U
D U L2 D' L R U
U D L2 R D L U
B U L2 D' L R U
U D L2 R D' L U
U D L2 R D2 L U
D U L2 D' R L U
B U L2 D' R L U
D2 U R D L' U D
D2 U R D L' U D'
D2 U R D L' U D2
D2 U R D L' D U
D2 U R D L' D' U
D2 U R D L' D2 U
D' U R D' L' U D
D' U R D' L' U D'
D' U R D' L' U D2
D' U R D' L' D U
D' U R D' L' D' U
D' U R D' L' D2 U
B U L2 D2 L R U
D U L2 D2 L R U
B U L2 D2 R L U
D U L2 D2 R L U
B2 U R L2 D L U
B2 U R L2 D' L U
B2 U R L2 D2 L U
B' U R D L' U D
B' U R D L' U D'
B' U R D L' U D2
B' U R D L' D U
B' U R D L' D' U
B' U R D L' D2 U
D2 U R D' L' U D
D2 U R D' L' U D'
D2 U R D' L' U D2
D2 U R D' L' D U
D2 U R D' L' D' U
D2 U R D' L' D2 U
D' U R D2 L' U D
D' U R D2 L' U D'
D' U R D2 L' U D2
D' U R D2 L' D U
D' U R D2 L' D' U
D' U R D2 L' D2 U
B' U R D' L' U D
B' U R D' L' U D'
B' U R D' L' U D2
B' U R D' L' D U
B' U R D' L' D' U
B' U R D' L' D2 U
D2 U R D2 L' U D
D2 U R D2 L' U D'
D2 U R D2 L' U D2
D2 U R D2 L' D U
D2 U R D2 L' D' U
D2 U R D2 L' D2 U
U2 D R L' U L R'
U2 D R L' U R' L
B' U R D2 L' U D
B' U R D2 L' U D'
B' U R D2 L' U D2
B' U R D2 L' D U
B' U R D2 L' D' U
B' U R D2 L' D2 U
B2 U R D L' U D
B2 U R D L' U D'
B2 U R D L' U D2
B2 U R D L' D U
B2 U R D L' D' U
B2 U R D L' D2 U
U D L2 D L R U
U D L2 D R L U
B2 U R D' L' U D
B2 U R D' L' U D'
B2 U R D' L' U D2
B2 U R D' L' D U
B2 U R D' L' D' U
B2 U R D' L' D2 U
U D L2 D' L R U
U D L2 D' R L U
B2 U R D2 L' U D
B2 U R D2 L' U D'
B2 U R D2 L' U D2
B2 U R D2 L' D U
B2 U R D2 L' D' U
B2 U R D2 L' D2 U
D' U R B' L' B U
U D L2 D2 L R U
U D L2 D2 R L U
D2 U R B' L' B U
D' U R B2 L' B2 U
B U R L U D' B2
D U R L U D' B2
B U R L D' U B2
D U R L D' U B2
B' U R B' L' B U
D2 U R B2 L' B2 U
B' U R B2 L' B2 U
D' U R' L' U D' F2
B U R L2 D L U
B U R L2 D' L U
B U R L2 D2 L U
D U R L2 D L U
D' U R' L' D' U F2
D U R L2 D' L U
D U R L2 D2 L U
D2 U R' L' U D' F2
D2 U R' L' D' U F2
B' U R' L' U D' F2
B' U R' L' D' U F2
B2 U R B' L' B U
B2 U R B2 L' B2 U
B U R D L' U D
B U R D L' U D'
B U R D L' U D2
B U R D L' D U
B U R D L' D' U
B U R D L' D2 U
D U R D L' U D
D U R D L' U D'
D U R D L' U D2
D U R D L' D U
D U R D L' D' U
D U R D L' D2 U
U' D R' U2 L' R2 U
U D R L U D' B2
B U R D' L' U D
B U R D' L' U D'
B U R D' L' U D2
B U R D' L' D U
B U R D' L' D' U
B U R D' L' D2 U
U' D R' U2 R2 L' U
U D R L D' U B2
D U R D' L' U D
D U R D' L' U D'
D U R D' L' U D2
D U R D' L' D U
D U R D' L' D' U
D U R D' L' D2 U
B2 U R' L' U D' F2
B2 U R' L' D' U F2
D' U R' D' L' U F2
B U R D2 L' U D
B U R D2 L' U D'
B U R D2 L' U D2
B U R D2 L' D U
B U R D2 L' D' U
B U R D2 L' D2 U
D U R D2 L' U D
D U R D2 L' U D'
D U R D2 L' U D2
D U R D2 L' D U
D U R D2 L' D' U
D U R D2 L' D2 U
D2 U R' D' L' U F2
U D R L2 D L U
U D R L2 D' L U
U D R L2 D2 L U
B' U R' D' L' U F2
F2 U R' U2 L' R2 U'
F2 U R' U2 R2 L' U'
U D R D L' U D
U D R D L' U D'
U D R D L' U D2
U D R D L' D U
U D R D L' D' U
U D R D L' D2 U
B2 U R' D' L' U F2
B U R B' L' B U
U D R D' L' U D
U D R D' L' U D'
U D R D' L' U D2
U D R D' L' D U
U D R D' L' D' U
U D R D' L' D2 U
D U R B' L' B U
B U R B2 L' B2 U
U D R D2 L' U D
U D R D2 L' U D'
U D R D2 L' U D2
U D R D2 L' D U
U D R D2 L' D' U
U D R D2 L' D2 U
D U R B2 L' B2 U
L D F2 U' L' U' R
B U R' L' U D' F2
D U R' L' U D' F2
B U R' L' D' U F2
D U R' L' D' U F2
D' U R2 L' D R' U
D' U R2 L' D' R' U
D' U R2 L' D2 R' U
D2 U R2 L' D R' U
D2 U R2 L' D' R' U
D2 U R2 L' D2 R' U
B' U R2 L' D R' U
B' U R2 L' D' R' U
B' U R2 L' D2 R' U
U D R B' L' B U
U D R B2 L' B2 U
U' D R2 U2 L' R' U
U' D R2 U2 R' L' U
D' U R2 D L' R' U
D' U R2 D R' L' U
B U R' D' L' U F2
D U R' D' L' U F2
B2 U R2 L' D R' U
B2 U R2 L' D' R' U
B2 U R2 L' D2 R' U
D2 U R2 D L' R' U
U D R' L' U D' F2
D' U R2 D' L' R' U
D2 U R2 D R' L' U
U D R' L' D' U F2
D' U R2 D' R' L' U
B' U R2 D L' R' U
D2 U R2 D' L' R' U
D' U R2 D2 L' R' U
B' U R2 D R' L' U
D2 U R2 D' R' L' U
D' U R2 D2 R' L' U
B' U R2 D' L' R' U
D2 U R2 D2 L' R' U
B' U R2 D' R' L' U
D2 U R2 D2 R' L' U
B' U R2 D2 L' R' U
B' U R2 D2 R' L' U
B2 U R2 D L' R' U
F2 U R2 U2 L' R' U'
B2 U R2 D R' L' U
F2 U R2 U2 R' L' U'
B2 U R2 D' L' R' U
B2 U R2 D' R' L' U
U D R' D' L' U F2
B2 U R2 D2 L' R' U
B2 U R2 D2 R' L' U
B U R2 L' D R' U
B U R2 L' D' R' U
D U R2 L' D R' U
B U R2 L' D2 R' U
D U R2 L' D' R' U
D U R2 L' D2 R' U
R' D B2 R U L' U
B' U D L' R U D
B' U D L' R U D'
B' U D L' R U D2
B' U D L' R D U
B' U D L' R D' U
B' U D L' R D2 U
B' U D L' D R U
B' U D L' D' R U
B' U D L' D2 R U
B' U D R L' U D
B' U D R L' U D'
B' U D R L' U D2
B' U D R L' D U
B' U D R L' D' U
B' U D R L' D2 U
B' U D R D L' U
B' U D R D' L' U
B' U D R D2 L' U
B U R2 D L' R' U
D U R2 D L' R' U
B U R2 D R' L' U
D U R2 D R' L' U
B2 U D L' R U D
B2 U D L' R U D'
B2 U D L' R U D2
B2 U D L' R D U
B2 U D L' R D' U
B2 U D L' R D2 U
B U R2 D' L' R' U
D U R2 D' L' R' U
B U R2 D' R' L' U
B2 U D L' D R U
B2 U D L' D' R U
D U R2 D' R' L' U
B2 U D L' D2 R U
U D R2 L' D R' U
U D R2 L' D' R' U
U D R2 L' D2 R' U
B U R2 D2 L' R' U
D U R2 D2 L' R' U
B U R2 D2 R' L' U
D U R2 D2 R' L' U
B2 U D R L' U D
B2 U D R L' U D'
B2 U D R L' U D2
B2 U D R L' D U
B2 U D R L' D' U
B2 U D R L' D2 U
B2 U D R D L' U
B2 U D R D' L' U
B2 U D R D2 L' U
U D R2 D L' R' U
U D R2 D R' L' U
U D R2 D' L' R' U
U D R2 D' R' L' U
U D R2 D2 L' R' U
U D R2 D2 R' L' U
F' U D' L U F B'
F' U D' L U B' F
B' U D' L' R U D
B' U D' L' R U D'
B' U D' L' R U D2
B' U D' L' R D U
B' U D' L' R D' U
B' U D' L' R D2 U
B' U D' L' D R U
B' U D' L' D' R U
B' U D' L' D2 R U
B U D L' R U D
B U D L' R U D'
B U D L' R U D2
B U D L' R D U
B U D L' R D' U
B U D L' R D2 U
B U D L' D R U
B U D L' D' R U
B U D L' D2 R U
B' U D' R L' U D
B' U D' R L' U D'
B' U D' R L' U D2
B' U D' R L' D U
B' U D' R L' D' U
B' U D' R L' D2 U
B' U D' R D L' U
B' U D' R D' L' U
B' U D' R D2 L' U
B U D R L' U D
B U D R L' U D'
B U D R L' U D2
B U D R L' D U
B U D R L' D' U
B U D R L' D2 U
B U D R D L' U
B U D R D' L' U
B U D R D2 L' U
B2 U D' L' R U D
B2 U D' L' R U D'
B2 U D' L' R U D2
B2 U D' L' R D U
B2 U D' L' R D' U
B2 U D' L' R D2 U
B2 U D' L' D R U
B2 U D' L' D' R U
B2 U D' L' D2 R U
L' D' L U L' R U
L' D' L U R L' U
B2 U D' R L' U D
B2 U D' R L' U D'
B2 U D' R L' U D2
B2 U D' R L' D U
B2 U D' R L' D' U
B2 U D' R L' D2 U
B2 U D' R D L' U
B2 U D' R D' L' U
B2 U D' R D2 L' U
L2 D' L R B2 U L
B' U D2 L' R U D
B' U D2 L' R U D'
B' U D2 L' R U D2
B' U D2 L' R D U
B' U D2 L' R D' U
B' U D2 L' R D2 U
B' U D2 L' D R U
B' U D2 L' D' R U
B' U D2 L' D2 R U
B U D' L' R U D
B U D' L' R U D'
B U D' L' R U D2
B U D' L' R D U
B U D' L' R D' U
B U D' L' R D2 U
B U D' L' D R U
B U D' L' D' R U
B U D' L' D2 R U
B' U D2 R L' U D
B' U D2 R L' U D'
B' U D2 R L' U D2
B' U D2 R L' D U
B' U D2 R L' D' U
B' U D2 R L' D2 U
B' U D2 R D L' U
B' U D2 R D' L' U
B' U D2 R D2 L' U
B U D' R L' U D
B U D' R L' U D'
B U D' R L' U D2
B U D' R L' D U
B U D' R L' D' U
B U D' R L' D2 U
B U D' R D L' U
B U D' R D' L' U
B U D' R D2 L' U
B2 U D2 L' R U D
B2 U D2 L' R U D'
B2 U D2 L' R U D2
B2 U D2 L' R D U
B2 U D2 L' R D' U
B2 U D2 L' R D2 U
U' D F2 L' R F2 U'
B2 U D2 L' D R U
B2 U D2 L' D' R U
B2 U D2 L' D2 R U
B2 U D2 R L' U D
B2 U D2 R L' U D'
B2 U D2 R L' U D2
B2 U D2 R L' D U
B2 U D2 R L' D' U
B2 U D2 R L' D2 U
U' D F2 R L' F2 U'
B2 U D2 R D L' U
B2 U D2 R D' L' U
B2 U D2 R D2 L' U
F U D' L' U F B'
F U D' L' U B' F
B U D2 L' R U D
B U D2 L' R U D'
B U D2 L' R U D2
B U D2 L' R D U
B U D2 L' R D' U
B U D2 L' R D2 U
B U D2 L' D R U
B U D2 L' D' R U
B U D2 L' D2 R U
B U D2 R L' U D
B U D2 R L' U D'
B U D2 R L' U D2
B U D2 R L' D U
B U D2 R L' D' U
B U D2 R L' D2 U
B U D2 R D L' U
B U D2 R D' L' U
B U D2 R D2 L' U
U2 D F2 U L' R U'
U2 D F2 U R L' U'
D' U B R B' L' U
D2 U B R B' L' U
L D' L' U R U B2
R D' L' U' L R' U2
R D' L' U' R' L U2
R' D' R U L' U F2
U2 D B U' L' R U
U2 D B U' R L' U
D' U B' L' B R U
D2 U B' L' B R U
D U B R B' L' U
L' D' R U' L R' U2
L' D' R U' R' L U2
R D' L' B2 U L R'
R D' L' B2 U R' L
U D B R B' L' U
L2 D' R L B2 U L
F2 U F2 L' R F2 U
D' U B2 L' R B2 U
L' D' R B2 U L R'
L' D' R B2 U R' L
U2 D B' U' L' R U
U2 D B' U' R L' U
D' U B2 L' B2 R U
D2 U B2 L' R B2 U
F2 U F2 R L' F2 U
D U B' L' B R U
D2 U B2 L' B2 R U
D' U B2 R L' B2 U
D' U B2 R B2 L' U
D2 U B2 R L' B2 U
