U' L U2 L' B R'
U' L U2 B L' R'
U' L U2 B R' L'
U' L' U2 L B R'
U' L2 U2 L2 B R'
U' L2 U2 B L2 R'
U' L2 U2 B R' L2
U' L2 B L2 R' F
U' L2 B L2 F R'
U' L2 B R' L2 F
U R B R' B L
R U2 R' U B R'
R2 U2 R2 U B R'
B' U2 B U' B R'
U F U2 F' B R'
U F U2 B F' R'
U F' U2 F B R'
U F' U2 B R' F
U F' U2 B F R'
U F2 U2 F2 B R'
U F2 U2 B R' F2
U F2 U2 B F2 R'
U F2 B R' F2 L'
U' B L2 R' F L2
U' B L2 F L2 R'
U' B L2 F R' L2
U' B R' L2 F L2
U' B R' U2 B' U2
U B R' U2 R U2
U B R' F2 L' F2
U B R2 D2 L2 R
U B R2 D2 R L2
U B F2 R' F2 L'
U' B' R' B2 R' F'
U' B' R2 F' B2 R'
U' B' R2 B2 F' R'
U B' R B2 L R'
U B' R B2 R' L
U' B2 D2 F2 B' R'
U' B2 D2 B' R' F2
U' B2 D2 B' F2 R'
U B D' R2 D2 R L2
U' B F' L2 R' F L2
U' B F' L2 F L2 R'
U' B F' L2 F R' L2
U' B F' R' L2 F L2
U' B F' R' U2 B' U2
U B D' F2 R' F2 L'
U B D2 R' U2 R U2
U B D2 R' F2 L' F2
U' B F2 L2 R' F L2
U' B F2 L2 F L2 R'
U' B F2 L2 F R' L2
U B D2 R2 D2 L2 R
U B D2 R2 D2 R L2
U' B F2 R' L2 F L2
U' B F2 R' U2 B' U2
U B D2 F2 R' F2 L'
U' B' L B U2 L' B
U' B' L B U2 B L'
U B F' R' F2 L' F'
U B F2 L R' F2 L'
U B F2 L' R' F2 L'
U B F2 L2 R' F2 L'
U B F2 R' L F2 L'
U B F2 R' L' F2 L'
U B F2 R' L2 F2 L'
U B F2 R' F2 L' D
U B F2 R' F2 L' D'
U B F2 R' F2 L' D2
U B F2 R' F2 D L'
U B F2 R' F2 D' L'
U B F2 R' F2 D2 L'
B' F U2 B U' B R'
U B' L U2 B2 D2 F2
U B' L D2 F2 U2 F2
U B' L F U2 F' B2
U B' L F U2 B2 F'
U B' L F' U2 F B2
U B' L F' U2 B2 F
U B' L F2 U2 F2 B2
U B' L F2 U2 B2 F2
U' B' R B2 R F' R2
U' B' R' F B2 R' F'
U' B' R' F' B2 R' F'
U' B' R' F2 B2 R' F'
U' B' R' B2 R' D F'
U' B' R' B2 R' D' F'
U' B' R' B2 R' D2 F'
U' B' R' B2 R' F' D
U' B' R' B2 R' F' D'
U' B' R' B2 R' F' D2
U' B' R' B2 D R' F'
U' B' R' B2 D' R' F'
U' B' R' B2 D2 R' F'
U' B' R' B2 F R' F'
U' B' R' B2 F' R' F'
U' B' R' B2 F2 R' F'
U' B' R2 F B2 R' F2
U' B' R2 F' R B2 R'
U' B' R2 F' R' B2 R'
U' B' R2 F' R2 B2 R'
U' B' R2 F' B2 R' D
U' B' R2 F' B2 R' D'
U' B' R2 F' B2 R' D2
U' B' R2 F' B2 D R'
U' B' R2 F' B2 D' R'
U' B' R2 F' B2 D2 R'
U' B' R2 F2 B2 R' F
U' B' R2 B2 D F' R'
U' B' R2 B2 D' F' R'
U' B' R2 B2 D2 F' R'
U' B' R2 B2 F R' F2
U' B' R2 B2 F' R' D
U' B' R2 B2 F' R' D'
U' B' R2 B2 F' R' D2
U' B' R2 B2 F' D R'
U' B' R2 B2 F' D' R'
U' B' R2 B2 F' D2 R'
U' B' R2 B2 F2 R' F
U B' R B2 L R' D
U B' R B2 L R' D'
U B' R B2 L R' D2
U B' R B2 L D R'
U B' R B2 L D' R'
U B' R B2 L D2 R'
U B' R B2 R' L D
U B' R B2 R' L D'
U B' R B2 R' L D2
U B' R B2 R' D L
U B' R B2 R' D' L
U B' R B2 R' D2 L
U B' R B2 D L R'
U B' R B2 D R' L
U B' R B2 D' L R'
U B' R B2 D' R' L
U B' R B2 D2 L R'
U B' R B2 D2 R' L
U2 B' U L U2 L' B2
U2 B' U L U2 B2 L'
U B' R' B2 R' D2 L2
U' B' U2 L B U2 B
U2 B' U B2 R' D2 F2
U2 B' U B2 D2 R' F2
U2 B' U B2 D2 F2 R'
U2 B' U' R B2 L R'
U2 B' U' R B2 R' L
U B' R2 B2 D2 L2 R'
U B' R2 B2 D2 R' L2
U' B' U2 B U2 B R'
L' B' U2 B U' B R'
L2 B' U2 B U' B R'
U B' U2 L U2 L' B2
U B' U2 L U2 B2 L'
L B' U2 B U' B R'
U B' U2 B2 R' D2 F2
U B' U2 B2 D2 R' F2
U B' U2 B2 D2 F2 R'
U' B' F R' B2 R' F'
U' B' F R2 F' B2 R'
U' B' F R2 B2 F' R'
U' B' F' R' B2 R' F'
U' B' F' R2 F' B2 R'
U' B' F' R2 B2 F' R'
U B' D2 L F2 U2 F2
U' B' F2 R' B2 R' F'
U' B' F2 R2 F' B2 R'
B' F' U2 B U' B R'
U' B' F2 R2 B2 F' R'
U B' D2 F2 L U2 F2
F' B' U2 B U' B R'
U B' F L U2 F' B2
U B' F L U2 B2 F'
F2 B' U2 B U' B R'
U B' F U2 F' B2 R'
U B' F U2 B2 F' R'
U B' F' U2 F B2 R'
U B' F' U2 B2 R' F
U B' F' U2 B2 F R'
F B' U2 B U' B R'
U B' F2 L U2 F2 B2
U B' F2 L U2 B2 F2
U B' F2 U2 F2 B2 R'
U B' F2 U2 B2 R' F2
U B' F2 U2 B2 F2 R'
U' B2 R D2 F2 B' R'
U' B2 R D2 B' R' F2
U' B2 R D2 B' F2 R'
U' B2 R' D2 F2 B' R'
U' B2 R' D2 B' R' F2
U' B2 R' D2 B' F2 R'
U' B2 R2 D2 F2 B' R'
U' B2 R2 D2 B' R' F2
U' B2 R2 D2 B' F2 R'
U B2 R B2 L B R'
U B2 R' B' R' D2 L2
U B2 R2 D2 B' L2 R'
U B2 R2 D2 B' R' L2
U B2 R2 B' D2 L2 R'
U B2 R2 B' D2 R' L2
U' B2 D B' R' D F2
U' B2 D B' D R' F2
U' B2 D B' D F2 R'
U' B2 D' B' D' R' F2
U' B2 D' B' D' F2 R'
U' B2 D2 R F2 B' R'
U' B2 D2 R B' R' F2
U' B2 D2 R B' F2 R'
U' B2 D2 R' F2 B' R'
U' B2 D2 R' B' R' F2
U' B2 D2 R' B' F2 R'
U' B2 D2 R2 F2 B' R'
U' B2 D2 R2 B' R' F2
U' B2 D2 R2 B' F2 R'
B' F2 U2 B U' B R'
U' B2 D2 F B' R' F
U' B2 D2 F2 R B' R'
U' B2 D2 F2 R' B' R'
U' B2 D2 F2 R2 B' R'
U' B2 D2 F2 D B' R'
U' B2 D2 F2 D' B' R'
U' B2 D2 F2 D2 B' R'
U' B2 D2 F2 B' R' D
U' B2 D2 F2 B' R' D'
U' B2 D2 F2 B' R' D2
U' B2 D2 F2 B' D R'
U' B2 D2 F2 B' D' R'
U' B2 D2 F2 B' D2 R'
U' B2 D2 B' R F2 R2
U' B2 D2 B' R' F2 D
U' B2 D2 B' R' F2 D'
U' B2 D2 B' R' F2 D2
U' B2 D2 B' F R' F
U' B2 D2 B' F2 R' D
U' B2 D2 B' F2 R' D'
U' B2 D2 B' F2 R' D2
U' B2 D2 B' F2 D R'
U' B2 D2 B' F2 D' R'
U' B2 D2 B' F2 D2 R'
U' B2 F D2 F2 B' R'
U' B2 F D2 B' R' F2
U' B2 F D2 B' F2 R'
U' B2 F' D2 F2 B' R'
U' B2 F' D2 B' R' F2
U' B2 F' D2 B' F2 R'
U' B2 F2 D2 F2 B' R'
U' B2 F2 D2 B' R' F2
U' B2 F2 D2 B' F2 R'
U B2 F' U2 F R B'
U B2 F' U2 F B' R
U B2 F' U2 B' F R
