R U R' B' U2
B' U' R U' R'
L2 R U R' U2 F
B' L U' R U' R'
L2 R B2 U' F L
B' L' U' R U' R'
R L2 U R' U2 F
U' L2 R U' R' F
U' L2 R U' F R'
B' L2 U' R U' R'
R L2 B2 U' F L
R U R B' R2 U2
R U R' D B' U2
R U R' D' B' U2
R U R' D2 B' U2
R U R' B' U2 D
R U R' B' U2 D'
R U R' B' U2 D2
R U R' B' D U2
R U R' B' D' U2
R U R' B' D2 U2
R U R2 B' R U2
R U D R' B' U2
R U D' R' B' U2
R U D2 R' B' U2
U' R L2 U' R' F
U' R L2 U' F R'
D' R U R' B' U2
D2 R U R' B' U2
B2 R U R' B U2
D R U R' B' U2
B R U R' B2 U2
B R U B2 U2 L
L2 U' R U' R' F
L2 U' R U' F R'
L U' R U' R' F'
R D U R' B' U2
R D' U R' B' U2
B' U' R U' R' D
B' U' R U' R' D'
B' U' R U' R' D2
B' U' R U' D R'
B' U' R U' D' R'
B' U' R U' D2 R'
B' U' R D U' R'
B' U' R D' U' R'
B' U' R D2 U' R'
B' U' R F U' R'
B' U' R F' U' R'
B' U' R F2 U' R'
B' U' D R U' R'
B' U' D' R U' R'
B' U' D2 R U' R'
R2 D2 R' U' L2 F
R D2 U R' B' U2
B' D U' R U' R'
B' D' U' R U' R'
B' D2 U' R U' R'
B' F U' F' R U'
D2 B' U' R U' R'
D' B' U' R U' R'
D B' U' R U' R'
F2 B' U' F2 R U'
F B' U' F' R U'
B' F2 U' F2 R U'
B' D' U' R F2 U' R'
U2 F2 L' U L' F L2
B' D' F U' F' R U'
B' D' F2 U' F2 R U'
B2 D' B U' R U' R'
F2 D' B' L2 U L U
B' D2 L U' R U' R'
L2 F2 U' F2 R U' F
B' D2 L' U' R U' R'
B' D2 L2 U' R U' R'
R' F2 D B2 L' R2 F'
R' F2 D B2 R2 L' F'
B2 D2 R U R' B U2
B D2 R U R' U2 F2
B D2 R B2 U' L F2
B D2 R B2 U' F2 L
D2 F2 B' U' F2 R U'
D' F2 B' U' F2 R U'
B' D2 U' R U' R' D
B' D2 U' R U' R' D'
B' D2 U' R U' R' D2
B' D2 U' R U' D R'
B' D2 U' R U' D' R'
B' D2 U' R U' D2 R'
B' D2 U' R D U' R'
B' D2 U' R D' U' R'
B' D2 U' R D2 U' R'
B' D2 U' R F U' R'
B' D2 U' R F' U' R'
B' D2 U' R F2 U' R'
D F2 B' U' F2 R U'
U F2 B' U L' F2 U
B D2 U' R U' R' F2
B D2 U' R U' F2 R'
B' D2 F U' F' R U'
D2 B R U R' B2 U2
D2 B R U B2 U2 L
D' B R U R' B2 U2
D' B R U B2 U2 L
B' D2 F2 U' F2 R U'
L2 B R U R' U2 F
D B R U R' B2 U2
D B R U B2 U2 L
L2 B R B2 U' F L
R' B R2 U R' B2 U2
R' B R2 U B2 U2 L
B2 D2 B U' R U' R'
F2 D2 B' U B' L' U
B' F L U' F' R U'
L2 B U' R U' R' F
L2 B U' R U' F R'
B' F L' U' F' R U'
L B U' R U' R' F'
B' F L2 U' F' R U'
R B D L2 B U' L
R B D B L2 U' L'
R B D2 B U' L F2
R B D2 B U' F2 L
D2 B' L U' R U' R'
D' B' L U' R U' R'
B' F U' F' R U' D
B' F U' F' R U' D'
B' F U' F' R U' D2
B' F U' F' R D U'
B' F U' F' R D' U'
B' F U' F' R D2 U'
B' F U' F' D R U'
B' F U' F' D' R U'
B' F U' F' D2 R U'
D2 B' L' U' R U' R'
D' B' L' U' R U' R'
D B' L U' R U' R'
D2 B' L2 U' R U' R'
D' B' L2 U' R U' R'
D B' L' U' R U' R'
R' B' R U' R U' R'
D B' L2 U' R U' R'
L2 B' R U R' U2 F
L2 B' R B2 U' F L
F2 B' L D F2 U2 R2
F2 B' L D' L2 U2 B2
D2 B' U' R U' R' D
D2 B' U' R U' R' D'
D2 B' U' R U' R' D2
D2 B' U' R U' D R'
D2 B' U' R U' D' R'
D2 B' U' R U' D2 R'
D2 B' U' R D U' R'
D2 B' U' R D' U' R'
D2 B' U' R D2 U' R'
D2 B' U' R F U' R'
D2 B' U' R F' U' R'
D2 B' U' R F2 U' R'
F B' L U' F' R U'
D' B' U' R U' R' D
D' B' U' R U' R' D'
D' B' U' R U' R' D2
D' B' U' R U' D R'
D' B' U' R U' D' R'
D' B' U' R U' D2 R'
D' B' U' R D U' R'
D' B' U' R D' U' R'
D' B' U' R D2 U' R'
D' B' U' R F U' R'
D' B' U' R F' U' R'
D' B' U' R F2 U' R'
D2 B' U' D R U' R'
D2 B' U' D' R U' R'
D2 B' U' D2 R U' R'
D' B' U' D R U' R'
D' B' U' D' R U' R'
D' B' U' D2 R U' R'
L2 B' U' R U' R' F
L2 B' U' R U' F R'
F B' L' U' F' R U'
D B' U' R U' R' D
D B' U' R U' R' D'
D B' U' R U' R' D2
D B' U' R U' D R'
D B' U' R U' D' R'
D B' U' R U' D2 R'
D B' U' R D U' R'
D B' U' R D' U' R'
D B' U' R D2 U' R'
D B' U' R F U' R'
D B' U' R F' U' R'
D B' U' R F2 U' R'
U B' U F2 L' U L
D B' U' D R U' R'
D B' U' D' R U' R'
D B' U' D2 R U' R'
F B' L2 U' F' R U'
D2 B' D U' R U' R'
L B' U' R U' R' F'
U B' U' R U R' U2
U B' U' R B2 U' L
D' B' D U' R U' R'
D2 B' D' U' R U' R'
D' B' D' U' R U' R'
B' F' U L' U B' R'
D B' D U' R U' R'
F' B' U L' U B' R'
D2 B' D2 U' R U' R'
D' B' D2 U' R U' R'
F2 B' U L' U D R2
F2 B' U L' U2 F2 U'
F2 B' U L' D U R2
F2 B' U L' D2 B2 U
F2 B' U D L' U R2
D B' D' U' R U' R'
B' F' U' R F U' B
F2 B' U D2 L' B2 U
F2 B' U D2 B2 L' U
D2 B' F U' F' R U'
B' F' U' F R U' B
F' B' U' R F U' B
D' B' F U' F' R U'
F2 B' U' R F2 R U'
F' B' U' F R U' B
F2 B' U' R' F2 R U'
F2 B' U' R2 F2 R U'
D B' D2 U' R U' R'
F2 B' U' F2 R U' D
F2 B' U' F2 R U' D'
F2 B' U' F2 R U' D2
F2 B' U' F2 R D U'
F2 B' U' F2 R D' U'
F2 B' U' F2 R D2 U'
F2 B' U' F2 D R U'
F2 B' U' F2 D' R U'
F2 B' U' F2 D2 R U'
D B' F U' F' R U'
D2 B' F2 U' F2 R U'
D' B' F2 U' F2 R U'
F B' U' F' R U' D
F B' U' F' R U' D'
F B' U' F' R U' D2
F B' U' F' R D U'
F B' U' F' R D' U'
F B' U' F' R D2 U'
F B' U' F' D R U'
F B' U' F' D' R U'
F B' U' F' D2 R U'
F2 B' D U L' U R2
D B' F2 U' F2 R U'
F2 B' D' L2 U L U
U B' F2 U L' F2 U
F2 B' D2 U L' B2 U
F2 B' D2 U B2 L' U
B' F2 L D F2 U2 R2
B' F2 L D' L2 U2 B2
D2 B2 R U R' B U2
D' B2 R U R' B U2
L2 B2 R U R' U2 F
R B2 L' U B U2 L2
R B2 L' B2 U' L2 F
D B2 R U R' B U2
L2 B2 R B2 U' F L
R B2 L2 U B U2 L'
R' B2 R2 B2 U' L F'
R' B2 R2 B2 U' F' L
L2 B2 U' R U' R' F
L2 B2 U' R U' F R'
B' F2 U L' U D R2
B' F2 U L' U2 F2 U'
B' F2 U L' D U R2
B' F2 U L' D2 B2 U
B' F2 U D L' U R2
B' F2 U D2 L' B2 U
B' F2 U D2 B2 L' U
R B2 U R' U2 L F
R B2 U R2 U2 L F'
R B2 U R2 U2 F' L
B' F2 U' R F2 R U'
L B2 U' R U' R' F'
B' F2 U' R' F2 R U'
B' F2 U' R2 F2 R U'
R B2 U B2 R' B' U2
R B2 U' L R2 F' R2
R B2 U' L U2 B U2
B' F2 U' F2 R U' D
B' F2 U' F2 R U' D'
B' F2 U' F2 R U' D2
B' F2 U' F2 R D U'
B' F2 U' F2 R D' U'
B' F2 U' F2 R D2 U'
B' F2 U' F2 D R U'
B' F2 U' F2 D' R U'
B' F2 U' F2 D2 R U'
R B2 U' R2 L F' R2
R B2 U' R2 F' L R2
R B2 U' R2 F' R2 L
R B2 U2 R2 U L F'
R B2 U2 R2 U F' L
B' F2 D U L' U R2
B' F2 D' L2 U L U
B' F2 D2 U L' B2 U
B' F2 D2 U B2 L' U
