B2 L F U' R
B2 F L U' R
F B2 L U' R
B2 L U2 B' U R'
B2 L D F U' R
B2 L D' F U' R
B2 L D2 F U' R
B2 L F U' R D
B2 L F U' R D'
B2 L F U' R D2
B2 L F U' D R
B2 L F U' D' R
B2 L F U' D2 R
B2 L F D U' R
B2 L F D' U' R
B2 L F D2 U' R
B2 L F' U L' U2
F L B2 L U' R
B2 L' F L2 U' R
F L' B2 L U' R
F' L2 B2 L U' R'
F L2 B2 L U' R
B2 U2 B' U R' F'
B2 D L F U' R
L' F B2 L U' R
L2 F B2 L U' R
L F B2 L U' R
B2 D F L U' R
B2 D' L F U' R
B2 D' F L U' R
B2 D2 L F U' R
B2 D2 F L U' R
B2 F L U' R D
B2 F L U' R D'
B2 F L U' R D2
B2 F L U' D R
B2 F L U' D' R
B2 F L U' D2 R
B2 F L D U' R
B2 F L D' U' R
B2 F L D2 U' R
B2 F D L U' R
B2 F D' L U' R
B2 F D2 L U' R
B2 F' L U L2 U2
B2 F' L U' D2 R2
B2 F' L D F2 U'
B2 F' L D2 U' R2
L' B2 L F U' R
L2 B2 L F U' R
L B2 L F U' R
F' B2 L U L2 U2
F' B2 L U' D2 R2
F' B2 L D F2 U'
F' B2 L D2 U' R2
B2 F2 L F' U' R
F2 B2 L F' U' R
F B2 L U' R D
F B2 L U' R D'
F B2 L U' R D2
F B2 L U' D R
F B2 L U' D' R
F B2 L U' D2 R
F B2 L D U' R
F B2 L D' U' R
F B2 L D2 U' R
L' B2 F L U' R
L2 B2 F L U' R
L B2 F L U' R
F B2 D L U' R
F B2 D' L U' R
F B2 D2 L U' R
L B2 F L D' U' R
L B2 F L D2 U' R
F' B2 D2 F2 L U' R
L2 B2 F2 L F' U' R
F B2 D' L U' R D
F B2 D' L U' R D'
F B2 D' L U' R D2
F B2 D' L U' D R
F B2 D' L U' D' R
F B2 D' L U' D2 R
F B2 D' L D U' R
F B2 D' L D' U' R
F B2 D' L D2 U' R
L B2 F D L U' R
L B2 F D' L U' R
L B2 F D2 L U' R
L B2 F' L U L2 U2
L B2 F' L U' D2 R2
L B2 F' L D F2 U'
L B2 F' L D2 U' R2
F B2 D2 L U' R D
F B2 D2 L U' R D'
F B2 D2 L U' R D2
F B2 D2 L U' D R
F B2 D2 L U' D' R
F B2 D2 L U' D2 R
F B2 D2 L D U' R
F B2 D2 L D' U' R
F B2 D2 L D2 U' R
B F2 D2 B L U' R'
L B2 F2 L F' U' R
