F' L U' D' L2
F' L U2 F2 U
F' L D' U' L2
F' L D2 B2 U'
F' D' L U' L
F' D2 L B2 U'
L2 B' L' F' U'
B2 U2 F D R' U R'
B2 U2 F D2 R' B2 U
L F L B' L' F2 U'
F2 U2 F' U2 L F2 U'
F2 U2 F' U2 F2 L U'
F2 U2 F' D2 B2 R' U
F' U2 F2 R U2 L U'
U2 F R U2 L F2 U'
F' U2 F2 R' U2 L U'
U2 F R U2 F2 L U'
F' U2 F2 R2 U2 L U'
U2 F R D2 B2 R' U
F' U2 F2 U2 L U' D
F' U2 F2 U2 L U' D'
F' U2 F2 U2 L U' D2
F' U2 F2 U2 L D U'
F' U2 F2 U2 L D' U'
F' U2 F2 U2 L D2 U'
F' U2 F2 U2 D L U'
F' U2 F2 U2 D' L U'
F' U2 F2 U2 D2 L U'
F' U2 F2 D U2 L U'
F' U2 F2 D' U2 L U'
F' U2 F2 D2 U2 L U'
F' U2 F2 B2 R' B2 U
U2 F R' U2 L F2 U'
U2 F R' U2 F2 L U'
F U2 F2 L U2 L' U
U2 F R' D2 B2 R' U
U2 F R2 U2 L F2 U'
U2 F R2 U2 F2 L U'
U2 F R2 D2 B2 R' U
U' F U F2 L U' L'
F' U2 B2 R' F2 B2 U
F' U2 B2 R' B2 F2 U
F' U2 B2 F2 R' B2 U
F' D L U R2 U2 D
F' D L U R2 U2 D'
F' D L U R2 U2 D2
F' D L U R2 D U2
F' D L U R2 D' U2
F' D L U R2 D2 U2
F' D L U' L D2 L2
F' D L U' L' D2 L2
F' D L U' L2 D2 L2
D' F U2 L F2 R U'
F' D L U' D2 L2 D
F' D L U' D2 L2 D'
F' D L U' D2 L2 D2
D2 F U2 L F2 R U'
F' D L U2 D' F2 U
F' D L D B2 U' D
F' D L D B2 U' D'
F' D L D B2 U' D2
F' D L D B2 D U'
F' D L D B2 D' U'
F' D L D B2 D2 U'
F' D L D' U2 F2 U
F' D L D2 U' L2 D
F' D L D2 U' L2 D'
F' D L D2 U' L2 D2
F' D L D2 B U' L2
F' D L D2 B' U' L2
F' D L D2 B2 U' L2
F' D L B U R2 U2
F' D L B U' D2 L2
F' D L B D B2 U'
F' D L B D2 U' L2
F' D L B' U R2 U2
F' D L B' U' D2 L2
F' D L B' D B2 U'
F' D L B' D2 U' L2
F' D L B2 U R2 U2
F' D L B2 U' D2 L2
F' D L B2 D B2 U'
F' D L B2 D2 U' L2
U2 F U2 L U' D R2
U2 F U2 L D U' R2
U2 F U2 L F2 U' D
U2 F U2 L F2 U' D'
U2 F U2 L F2 U' D2
U2 F U2 L F2 D U'
U2 F U2 L F2 D' U'
U2 F U2 L F2 D2 U'
U2 F U2 L' F2 L2 U'
R2 F U2 L R2 F' U'
U2 F U2 D L U' R2
F' D L' D B2 U' F2
U2 F U2 F' L F' U'
D F U2 L F2 R U'
R2 F U2 R2 L F' U'
F D L U' R2 D2 L2
U2 F U2 F2 L U' D
U2 F U2 F2 L U' D'
U2 F U2 F2 L U' D2
U2 F U2 F2 L D U'
U2 F U2 F2 L D' U'
U2 F U2 F2 L D2 U'
R2 F U2 R2 F' L U'
U2 F U2 F2 D L U'
U2 F U2 F2 D' L U'
U2 F U2 F2 D2 L U'
R F U2 L R' F U'
R F U2 L F R' U'
F' D L2 D L' B2 U'
F' D L2 D B2 L' U'
F' D L2 D2 L' U' L'
U2 F D U2 L U' R2
R F U2 R' L F U'
U2 F D B2 R' U R'
L F D F U' L' R2
L F D F U' R2 L'
U' F D2 B2 R' U B2
U2 F D2 R B2 R' U
U2 F D2 R' B2 R' U
U2 F D2 R2 B2 R' U
U2 F D2 B2 R' U D
U2 F D2 B2 R' U D'
U2 F D2 B2 R' U D2
U2 F D2 B2 R' D U
U2 F D2 B2 R' D' U
U2 F D2 B2 R' D2 U
U2 F D2 B2 D R' U
U2 F D2 B2 D' R' U
U2 F D2 B2 D2 R' U
F' D U R2 U' L U'
D' F' L U D R2 U2
D2 F' L U D R2 U2
U2 F B2 R' U D R2
U2 F B2 R' U2 F2 U'
U2 F B2 R' D U R2
U2 F B2 R' D2 B2 U
D' F' L U' L D' L2
D' F' L U' L' D' L2
D2 F' L U' L D' L2
D' F' L U' L2 D' L2
D2 F' L U' L' D' L2
D2 F' L U' L2 D' L2
D' F' L U' D' L2 D
D' F' L U' D' L2 D'
D' F' L U' D' L2 D2
D2 F' L U' D' L2 D
D2 F' L U' D' L2 D'
D2 F' L U' D' L2 D2
D' F' L U2 F2 U D
D' F' L U2 F2 U D'
D' F' L U2 F2 U D2
U' F' L D2 B2 U' B2
D' F' L U2 F2 D U
D' F' L U2 F2 D' U
D' F' L U2 F2 D2 U
D2 F' L U2 F2 U D
D2 F' L U2 F2 U D'
D2 F' L U2 F2 U D2
D2 F' L U2 F2 D U
D2 F' L U2 F2 D' U
D2 F' L U2 F2 D2 U
D' F' L D U R2 U2
D2 F' L D U R2 U2
D' F' L D' U' L2 D
D' F' L D' U' L2 D'
D' F' L D' U' L2 D2
D2 F' L D' U' L2 D
D2 F' L D' U' L2 D'
D2 F' L D' U' L2 D2
D' F' L D' B U' L2
D2 F' L D' B U' L2
D' F' L D' B' U' L2
D' F' L D' B2 U' L2
D2 F' L D' B' U' L2
D2 F' L D' B2 U' L2
U2 F B2 D R' U R'
D' F' L D2 B2 U' D
D' F' L D2 B2 U' D'
D' F' L D2 B2 U' D2
D' F' L D2 B2 D U'
D' F' L D2 B2 D' U'
D' F' L D2 B2 D2 U'
D2 F' L D2 B2 U' D
D2 F' L D2 B2 U' D'
D2 F' L D2 B2 U' D2
D2 F' L D2 B2 D U'
D2 F' L D2 B2 D' U'
D2 F' L D2 B2 D2 U'
U2 F B2 D2 R' B2 U
D' F' L B U' D' L2
D' F' L B U2 F2 U
D2 F' L B U' D' L2
D2 F' L B U2 F2 U
D' F' L B D' U' L2
D' F' L B D2 B2 U'
D2 F' L B D' U' L2
D2 F' L B D2 B2 U'
D' F' L B' U' D' L2
D' F' L B' U2 F2 U
D2 F' L B' U' D' L2
D' F' L B' D' U' L2
D2 F' L B' U2 F2 U
D' F' L B' D2 B2 U'
D2 F' L B' D' U' L2
D2 F' L B' D2 B2 U'
D' F' L B2 U' D' L2
D' F' L B2 U2 F2 U
D2 F' L B2 U' D' L2
D' F' L B2 D' U' L2
D2 F' L B2 U2 F2 U
D' F' L B2 D2 B2 U'
D2 F' L B2 D' U' L2
D2 F' L B2 D2 B2 U'
U2 F' L U2 L' F2 U
D F' L U D R2 U2
D F' L U' L D' L2
D F' L U' L' D' L2
D F' L U' L2 D' L2
D F' L U' D' L2 D
D F' L U' D' L2 D'
D F' L U' D' L2 D2
L' F' L' D B' L' U'
L' F' L' D' B' L' U'
D F' L U2 F2 U D
D F' L U2 F2 U D'
D F' L U2 F2 U D2
D F' L U2 F2 D U
D F' L U2 F2 D' U
D F' L U2 F2 D2 U
D F' L D U R2 U2
L' F' L' D2 B' L' U'
D F' L D' U' L2 D
D F' L D' U' L2 D'
D F' L D' U' L2 D2
D F' L D' B U' L2
D F' L D' B' U' L2
D F' L D' B2 U' L2
D F' L D2 B2 U' D
D F' L D2 B2 U' D'
D F' L D2 B2 U' D2
D F' L D2 B2 D U'
D F' L D2 B2 D' U'
D F' L D2 B2 D2 U'
L' F' L' B L' B2 U'
F2 D F L U' D' L2
F2 D F L U2 F2 U
F2 D F L D' U' L2
F2 D F L D2 B2 U'
L' F' L' B' L' U' D
L' F' L' B' L' U' D'
L' F' L' B' L' U' D2
L' F' L' B' L' D U'
L' F' L' B' L' D' U'
L' F' L' B' L' D2 U'
L' F' L' B' D L' U'
L' F' L' B' D' L' U'
L' F' L' B' D2 L' U'
L' F' L' B2 L' B U'
D F' L B U' D' L2
D F' L B U2 F2 U
D F' L B D' U' L2
D F' L B D2 B2 U'
D F' L B' U' D' L2
D F' L B' U2 F2 U
D F' L B' D' U' L2
D F' L B' D2 B2 U'
D F' L B2 U' D' L2
D F' L B2 U2 F2 U
D F' L B2 D' U' L2
D F' L B2 D2 B2 U'
D' F' L2 U2 F2 R U
D2 F' L2 U2 F2 R U
L F' L D B' L' U'
L F' L D' B' L' U'
D2 F' L2 D' L' U' L'
D' F' L2 D' L' U' L'
L F' L D2 B' L' U'
D' F' L2 D2 L' B2 U'
D2 F' L2 D2 L' B2 U'
D2 F' L2 D2 B2 L' U'
D' F' L2 D2 B2 L' U'
F2 D F D' L U' L
L' F' L2 D' B' U' L
L F' L B L' B2 U'
F2 D F D2 L B2 U'
L F' L B' L' U' D
L F' L B' L' U' D'
L F' L B' L' U' D2
L F' L B' L' D U'
L F' L B' L' D' U'
L F' L B' L' D2 U'
L F' L B' D L' U'
L F' L B' D' L' U'
L F' L B' D2 L' U'
L F' L B2 L' B U'
B2 D F' U2 R' F2 U
B2 D F' U2 F2 R' U
D F' L2 U2 F2 R U
B2 D F' D2 B2 L U'
D F' L2 D' L' U' L'
D F' L2 D2 L' B2 U'
D F' L2 D2 B2 L' U'
L F' R D2 R' B U'
F' D B2 D B2 L U'
L' F' U' D F' L' F'
L' F' U' F D F2 L'
L' F' U' F' D L' F2
F' D' L U R U2 L
F' D' L U R' U2 L
F' D' L U R2 U2 L
F' D' L U' L2 D L'
F' D' L U' L2 D' L'
F' D' L U' L2 D2 L'
F' D' L U' D L D
F' D' L U' D L D'
F' D' L U' D L D2
F' D' L U' D' L D
F' D' L U' D' L D'
F' D' L U' D' L D2
F' D' L U' D2 L D
F' D' L U' D2 L D'
F' D' L U' D2 L D2
F' D' L U' F L F'
F' D' L U' F2 L F2
F' D' L U2 F U L
F' D' L U2 F' U L
F' D' L U2 F2 U L
F' D' L D U' L D
F' D' L D U' L D'
F' D' L D U' L D2
F' D' L D' U' L D
F' D' L D' U' L D'
F' D' L D' U' L D2
F' D' L D2 U' L D
F' D' L D2 U' L D'
F' D' L D2 U' L D2
F' D' L B2 U R' U2
D2 F' U2 F2 U2 L U'
D' F' U2 F2 U2 L U'
L F' U' L U B' U'
D2 F' D L U R2 U2
D2 F' D L U' D2 L2
D2 F' D L D B2 U'
D' F' D L U R2 U2
F' D' L' U' D L' F2
D' F' D L U' D2 L2
D2 F' D L D2 U' L2
D' F' D L D B2 U'
D' F' D L D2 U' L2
L F' U' L' U' F U
F' D' L' D U' L' F2
L' F' D L' B' U' F2
L F' U' D F L' F'
F D' L U L U2 L'
L F' U' D' B' L B
F' D' L' B L2 U' L
F' D' L' B' L2 U' L
L F' U' F' D F L'
F' D' L' B2 L2 U' L
L' F' D U' F' L' F'
L F' U' B D' B' L
D2 F' D' L U' L D
D2 F' D' L U' L D'
D2 F' D' L U' L D2
D2 F' D' L U' D L
D2 F' D' L U' D' L
D2 F' D' L U' D2 L
D2 F' D' L D U' L
D2 F' D' L D' U' L
D2 F' D' L D2 U' L
D' F' D' L U' L D
D' F' D' L U' L D'
D' F' D' L U' L D2
D' F' D' L U' D L
D' F' D' L U' D' L
D' F' D' L U' D2 L
D' F' D' L D U' L
D' F' D' L D' U' L
D' F' D' L D2 U' L
L F' U2 L' F L U
F' D' L2 D L' U' L
D F' U2 F2 U2 L U'
F' D' L2 D' L' U' L
F' D' L2 D2 L' U' L
D F' D L U R2 U2
D F' D L U' D2 L2
L F' U2 D F U L'
D F' D L D B2 U'
D F' D L D2 U' L2
F' D' L2 B L' U' L
F' D' L2 B' L' U' L
F' D' L2 B2 L' U' L
U' F' D2 L B2 U' B2
D2 F' D2 L U' D L2
D2 F' D2 L D U' L2
D' F' D2 L U' D L2
D' F' D2 L D U' L2
D2 F' D2 L B2 U' D
D2 F' D2 L B2 U' D'
D2 F' D2 L B2 U' D2
D2 F' D2 L B2 D U'
D2 F' D2 L B2 D' U'
D2 F' D2 L B2 D2 U'
D' F' D2 L B2 U' D
D' F' D2 L B2 U' D'
D' F' D2 L B2 U' D2
D' F' D2 L B2 D U'
D' F' D2 L B2 D' U'
D' F' D2 L B2 D2 U'
D2 F' D2 L' B2 L2 U'
D' F' D2 L' B2 L2 U'
D2 F' D2 L2 B2 L' U'
D' F' D2 L2 B2 L' U'
D F' D' L U' L D
D F' D' L U' L D'
D F' D' L U' L D2
D F' D' L U' D L
D F' D' L U' D' L
D F' D' L U' D2 L
D F' D' L D U' L
D F' D' L D' U' L
D F' D' L D2 U' L
L F' D U' F L' F'
L F' D U2 F U L'
L2 F' D' B' L' U' F
U F' D' L U' L B'
D2 F' D2 B2 U2 R' U
D' F' D2 B2 U2 R' U
L' F' B L' B' L' U'
D F' D2 L U' D L2
D F' D2 L D U' L2
D F' D2 L B2 U' D
D F' D2 L B2 U' D'
D F' D2 L B2 U' D2
D F' D2 L B2 D U'
D F' D2 L B2 D' U'
D F' D2 L B2 D2 U'
L F' D' U' B' L B
D F' D2 L' B2 L2 U'
D F' D2 L2 B2 L' U'
L2 F' D2 B' L U' D
L2 F' D2 B' L U' D'
L2 F' D2 B' L U' D2
L2 F' D2 B' L D U'
L2 F' D2 B' L D' U'
L2 F' D2 B' L D2 U'
L2 F' D2 B' D L U'
L2 F' D2 B' D' L U'
L2 F' D2 B' D2 L U'
L F' D' B U R' U2
L F' D' B' U' L D
L F' D' B' U' L D'
L F' D' B' U' L D2
L F' D' B' U' D L
L F' D' B' U' D' L
L F' D' B' U' D2 L
L F' D' B' D U' L
L F' D' B' D' U' L
L F' D' B' D2 U' L
L' F' B' L' B' L' U'
L F' D2 R' B R U'
D F' D2 B2 U2 R' U
L' F' B2 L' B' L' U'
L F' B L B' L' U'
D2 F' B2 U2 R' F2 U
D2 F' B2 U2 F2 R' U
D' F' B2 U2 R' F2 U
D' F' B2 U2 F2 R' U
L2 F' B' D' L' U' F
D2 F' B2 D2 B2 L U'
D' F' B2 D2 B2 L U'
F' D' U' L' D L' F2
F' D' U' L2 U L' U'
L F' B D' B' U' L
L F' B' L B' L' U'
L F' B' D' B' U' L
D F' B2 U2 R' F2 U
D F' B2 U2 F2 R' U
L F' B2 L B' L' U'
R2 F2 L R2 F' B U'
R2 F2 L R2 B F' U'
D F' B2 D2 B2 L U'
F' D' F L F' U' L
L F' B2 D' B' U' L
F2 D' F L U' D' L2
F2 D' F L U2 F2 U
F2 D' F L D' U' L2
F2 D' F L D2 B2 U'
F2 D' F D' L U' L
F2 D' F D2 L B2 U'
L F2 L B' L' F U'
B2 D' F' U2 R' F2 U
B2 D' F' U2 F2 R' U
F' D' F2 L F2 U' L
B2 D' F' D2 B2 L U'
F' D' B' L U' L F
F' D' B' U' L F L
R2 F2 R2 L F' B U'
R2 F2 R2 L B F' U'
R2 F2 R2 F' L B U'
F' D' B2 U2 R' U L2
F' D' B2 D' B2 L U'
F' D2 L R' B2 R U'
F' D2 L R2 B2 R2 U'
F' D2 L U D' R2 U2
F' D2 L U' L D L2
F' D2 L U' L' D L2
F' D2 L U' L2 D L2
F' D2 L U' D L2 D
F' D2 L U' D L2 D'
F' D2 L U' D L2 D2
F' D2 L U2 D2 F2 U
F' D2 L D U' L2 D
F' D2 L D U' L2 D'
F' D2 L D U' L2 D2
F' D2 L D B U' L2
F' D2 L D B' U' L2
F' D2 L D B2 U' L2
F' D2 L D' U R2 U2
F' D2 L D2 U2 F2 U
F' D2 L B D B U'
F' D2 L B D' B U'
F' D2 L B D2 B U'
F' D2 L B' D B' U'
F' D2 L B' D' B' U'
F' D2 L B' D2 B' U'
F' D2 L' U' D L2 F2
F' D2 L' U' D F2 L2
F' D2 L' D U' L2 F2
F' D2 L' D U' F2 L2
F' D2 L' B L2 B U'
F' D2 L' B2 L2 U' D
F' D2 L' B2 L2 U' D'
F' D2 L' B2 L2 U' D2
F' D2 L' B2 L2 D U'
F' D2 L' B2 L2 D' U'
F' D2 L' B2 L2 D2 U'
F' D2 L' B2 U' D F2
F' D2 L' B2 D U' F2
F' D2 L2 D L' U' L'
F' D2 L2 B L' B U'
F' D2 L2 B2 L' U' D
F' D2 L2 B2 L' U' D'
F' D2 L2 B2 L' U' D2
F' D2 L2 B2 L' D U'
F' D2 L2 B2 L' D' U'
F' D2 L2 B2 L' D2 U'
F' D2 L2 B2 D L' U'
F' D2 L2 B2 D' L' U'
F' D2 L2 B2 D2 L' U'
L F2 D F U' L' D
L F2 D F U' L' D'
L F2 D F U' L' D2
L F2 D F U' D L'
L F2 D F U' D' L'
L F2 D F U' D2 L'
L F2 D F D U' L'
L F2 D F D' U' L'
L F2 D F D2 U' L'
L F2 D F B U' L'
L F2 D F B' U' L'
L F2 D F B2 U' L'
F' D2 R' L B2 R U'
L F2 D B F U' L'
L F2 D B' F U' L'
L F2 D B2 F U' L'
L F2 D' F B' U' L
F' D2 R2 L B2 R2 U'
L F2 D' B' F U' L
F D2 R B2 L R' U
F D2 R B2 R' L U
F' D2 U' L' D L2 F2
F' D2 U' L' D F2 L2
L F2 B D F U' L'
L F2 B' D F U' L'
L2 B L F' L2 B2 U'
L2 B L F' B2 L2 U'
L2 B L B2 L2 F' U'
F' D2 F L F' B2 U'
F' D2 F L B2 F' U'
L2 B L B2 F' L2 U'
L F2 B2 D F U' L'
L' B L' B' L' F' U'
F2 D2 F L U' D' L2
F2 D2 F L U2 F2 U
F2 D2 F L D' U' L2
F2 D2 F L D2 B2 U'
L2 B L' D F' U' L2
L2 B L' F' U' D L2
L2 B L' F' D U' L2
L2 B L' F' B2 U' D
L2 B L' F' B2 U' D'
L2 B L' F' B2 U' D2
L2 B L' F' B2 D U'
L2 B L' F' B2 D' U'
L2 B L' F' B2 D2 U'
D2 B L2 F' B' L U'
D' B L2 F' B' L U'
F2 D2 F D' L U' L
L2 B L' B2 D F' U'
L2 B L' B2 D' F' U'
L2 B L' B2 D2 F' U'
L2 B L' B2 F' U' D
L2 B L' B2 F' U' D'
L2 B L' B2 F' U' D2
L2 B L' B2 F' D U'
L2 B L' B2 F' D' U'
L2 B L' B2 F' D2 U'
D2 B L2 B' L F' U'
F2 D2 F D2 L B2 U'
D2 B L2 B' F' L U'
D' B L2 B' L F' U'
L B L B' L' F' U'
D' B L2 B' F' L U'
L2 B L2 F' L B2 U'
B2 D2 F' U2 R' F2 U
B2 D2 F' U2 F2 R' U
B2 D2 F' D2 B2 L U'
F' D2 F2 L F2 B2 U'
F' D2 F2 L B2 F2 U'
D B L2 F' B' L U'
D B L2 B' L F' U'
D B L2 B' F' L U'
B D2 F' U2 R F2 U
U2 B R2 F B R' U
U2 B R2 B R' F U
U2 B R2 B F R' U
F' D2 B2 L U2 R' U
F' D2 B2 L' U2 R' U
F' D2 B2 L2 U2 R' U
F' D2 B2 U2 R' U D
F' D2 B2 U2 R' U D'
F' D2 B2 U2 R' U D2
F' D2 B2 U2 R' D U
F' D2 B2 U2 R' D' U
F' D2 B2 U2 R' D2 U
F' D2 B2 U2 D R' U
F' D2 B2 U2 D' R' U
F' D2 B2 U2 D2 R' U
F' D2 B2 D U2 R' U
F' D2 B2 D' U2 R' U
F' D2 B2 D2 U2 R' U
F D2 B2 R' U2 R U'
L' B D F' U' F' L'
L B D F' U R U2
B2 F R' U2 R F2 U'
L B D' F' B' U' L
L B D' B' F' U' L
L' B F' L' B' L' U'
L B F' L B' L' U'
L B F' D' B' U' L
L2 B' L D F' U' F'
L2 B' L F L2 F2 U'
L2 B' L F' L2 U' D
L2 B' L F' L2 U' D'
L2 B' L F' L2 U' D2
L2 B' L F' L2 D U'
L2 B' L F' L2 D' U'
L2 B' L F' L2 D2 U'
L2 B' L F' U' D F2
L2 B' L F' D U' F2
L B F2 D F U' L'
L' B' L' B' L' F' U'
L2 B' L' D F' U' D
L2 B' L' D F' U' D'
L2 B' L' D F' U' D2
L2 B' L' D F' D U'
L2 B' L' D F' D' U'
L2 B' L' D F' D2 U'
L2 B' L' D' F' U' D
L2 B' L' D' F' U' D'
L2 B' L' D' F' U' D2
L2 B' L' D' F' D U'
L2 B' L' D' F' D' U'
L2 B' L' D' F' D2 U'
L2 B' L' D2 F' U' D
L2 B' L' D2 F' U' D'
L2 B' L' D2 F' U' D2
L2 B' L' D2 F' D U'
L2 B' L' D2 F' D' U'
L2 B' L' D2 F' D2 U'
L2 B' L' F U' D R2
L2 B' L' F D U' R2
L2 B' L' F2 D F U'
L2 B' L' F2 D' F U'
L2 B' L' F2 D2 F U'
L B' L B' L' F' U'
L2 B' L2 D L F' U'
L2 B' L2 D F' L U'
L2 B' L2 D' L F' U'
L2 B' L2 D' F' L U'
L2 B' L2 D2 L F' U'
L2 B' L2 D2 F' L U'
L2 B' L2 F L F2 U'
L2 B' L2 F' L U' D
L2 B' L2 F' L U' D'
L2 B' L2 F' L U' D2
L2 B' L2 F' L D U'
L2 B' L2 F' L D' U'
L2 B' L2 F' L D2 U'
L2 B' L2 F' D L U'
L2 B' L2 F' D' L U'
L2 B' L2 F' D2 L U'
B2 F' L U2 R' F2 U
B2 F' L U2 F2 R' U
B2 F' L D2 B2 L U'
B2 F' L' U2 R' F2 U
B2 F' L' U2 F2 R' U
B2 F' L' D2 B2 L U'
B2 F' L2 U2 R' F2 U
B2 F' L2 U2 F2 R' U
B2 F' L2 D2 B2 L U'
L2 B' D L F' L2 U'
L' B' D F' U' F' L'
L2 B' D L' D F' U'
L2 B' D L' D' F' U'
L2 B' D L' D2 F' U'
L2 B' D L' F' U' D
L2 B' D L' F' U' D'
L2 B' D L' F' U' D2
L2 B' D L' F' D U'
L2 B' D L' F' D' U'
L2 B' D L' F' D2 U'
L2 B' D L2 F' L U'
L2 B' D' L F' L2 U'
L2 B' D' L' D F' U'
L2 B' D' L' D' F' U'
L2 B' D' L' D2 F' U'
L2 B' D' L' F' U' D
L2 B' D' L' F' U' D'
L2 B' D' L' F' U' D2
L2 B' D' L' F' D U'
L2 B' D' L' F' D' U'
L2 B' D' L' F' D2 U'
L2 B' D' L2 F' L U'
B' F' U' L D' F L2
L2 B' D2 L F' L2 U'
L B' D F' U R U2
L2 B' D2 L' D F' U'
L2 B' D2 L' D' F' U'
L2 B' D2 L' D2 F' U'
B' F' U' L' D' L2 F
L2 B' D2 L' F' U' D
L2 B' D2 L' F' U' D'
L2 B' D2 L' F' U' D2
L2 B' D2 L' F' D U'
L2 B' D2 L' F' D' U'
L2 B' D2 L' F' D2 U'
L2 B' D2 L2 F' L U'
B' F' U' D' L F L
F' B' U' L D' F L2
F' B' U' L' D' L2 F
F' B' U' D' L F L
L B' D' F' B' U' L
L' B' F' L' B' L' U'
L B' D' B' F' U' L
B' F' U2 F R F U
B2 F' U2 R F2 R2 U
B2 F' U2 R' U D' L2
B2 F' U2 R' D' U L2
B2 F' U2 R' F2 U D
B2 F' U2 R' F2 U D'
B2 F' U2 R' F2 U D2
B2 F' U2 R' F2 D U
B2 F' U2 R' F2 D' U
B2 F' U2 R' F2 D2 U
F' B' U2 F R F U
B2 F' U2 D' R' U L2
B2 F' U2 F R' F U
B2 F' U2 F2 R' U D
B2 F' U2 F2 R' U D'
B2 F' U2 F2 R' U D2
B2 F' U2 F2 R' D U
B2 F' U2 F2 R' D' U
B2 F' U2 F2 R' D2 U
B2 F' U2 F2 D R' U
B2 F' U2 F2 D' R' U
B2 F' U2 F2 D2 R' U
L2 B' F' D' L' U' F
B' F' D' L U' L F
L B' F' L B' L' U'
F' B' D' L U' L F
B' F' D' U' L F L
B' F' D' B L U' L
F' B' D' U' L F L
L B' F' D' B' U' L
L2 B2 L F' L2 B U'
B2 F' D' U2 R' U L2
L2 B2 L F' B L2 U'
F' B' D' B L U' L
L2 B2 L B L2 F' U'
L2 B2 L B F' L2 U'
B2 F' D' B2 L U' L
L' B2 L' B' L' F' U'
B2 F' D2 L B2 L U'
L B' F2 D F U' L'
B' F' D2 B L B U'
B2 F' D2 L' B2 L U'
B2 F' D2 L2 B2 L U'
L2 B2 L' D F' B U'
L2 B2 L' D B F' U'
L2 B2 L' D' F' B U'
L2 B2 L' D' B F' U'
L2 B2 L' D2 F' B U'
L2 B2 L' D2 B F' U'
L2 B2 L' F' D B U'
L2 B2 L' F' D' B U'
L2 B2 L' F' D2 B U'
L2 B2 L' F' B U' D
L2 B2 L' F' B U' D'
L2 B2 L' F' B U' D2
L2 B2 L' F' B D U'
L2 B2 L' F' B D' U'
L2 B2 L' F' B D2 U'
F' B' D2 B L B U'
L2 B2 L' B D F' U'
L2 B2 L' B D' F' U'
L2 B2 L' B D2 F' U'
L2 B2 L' B F' U' D
L2 B2 L' B F' U' D'
L2 B2 L' B F' U' D2
L2 B2 L' B F' D U'
L2 B2 L' B F' D' U'
L2 B2 L' B F' D2 U'
B2 F' D2 B2 L U' D
B2 F' D2 B2 L U' D'
B2 F' D2 B2 L U' D2
B2 F' D2 B2 L D U'
B2 F' D2 B2 L D' U'
B2 F' D2 B2 L D2 U'
B2 F' D2 B2 D L U'
B2 F' D2 B2 D' L U'
B2 F' D2 B2 D2 L U'
F' B2 L U2 R' F2 U
L B2 L B' L' F' U'
F' B2 L U2 F2 R' U
F' B2 L D2 B2 L U'
L2 B2 L2 F' L B U'
F' B2 L' U2 R' F2 U
F' B2 L' U2 F2 R' U
F' B2 L' D2 B2 L U'
F' B2 L2 U2 R' F2 U
F' B2 L2 U2 F2 R' U
F' B2 L2 D2 B2 L U'
U2 B2 R2 B R F U
F B2 R' U2 R F2 U'
L' B2 D F' U' F' L'
L2 B2 D L' F' B U'
L2 B2 D L' B F' U'
L2 B2 D B L' F' U'
L2 B2 D' L' F' B U'
L2 B2 D' L' B F' U'
F' B2 U2 R F2 R2 U
F' B2 U2 R' U D' L2
F' B2 U2 R' D' U L2
F' B2 U2 R' F2 U D
F' B2 U2 R' F2 U D'
F' B2 U2 R' F2 U D2
F' B2 U2 R' F2 D U
F' B2 U2 R' F2 D' U
F' B2 U2 R' F2 D2 U
F' B2 U2 D' R' U L2
F' B2 U2 F R' F U
F' B2 U2 F2 R' U D
F' B2 U2 F2 R' U D'
F' B2 U2 F2 R' U D2
F' B2 U2 F2 R' D U
F' B2 U2 F2 R' D' U
F' B2 U2 F2 R' D2 U
F' B2 U2 F2 D R' U
F' B2 U2 F2 D' R' U
F' B2 U2 F2 D2 R' U
L2 B2 D' B L' F' U'
L2 B2 D2 L' F' B U'
L2 B2 D2 L' B F' U'
L B2 D F' U R U2
L2 B2 D2 B L' F' U'
L B2 D' F' B' U' L
L' B2 F' L' B' L' U'
U2 B2 F R' U D R2
U2 B2 F R' U2 F2 U'
U2 B2 F R' D U R2
U2 B2 F R' D2 B2 U
L B2 D' B' F' U' L
D2 B2 F' U2 R' F2 U
D2 B2 F' U2 F2 R' U
F' B2 D' U2 R' U L2
D' B2 F' U2 R' F2 U
D' B2 F' U2 F2 R' U
D2 B2 F' D2 B2 L U'
U2 B2 F D R' U R'
U2 B2 F D2 R' B2 U
F' B2 D' B2 L U' L
D' B2 F' D2 B2 L U'
F' B2 D2 L B2 L U'
F' B2 D2 L' B2 L U'
F' B2 D2 L2 B2 L U'
F' B2 D2 B2 L U' D
F' B2 D2 B2 L U' D'
F' B2 D2 B2 L U' D2
F' B2 D2 B2 L D U'
F' B2 D2 B2 L D' U'
F' B2 D2 B2 L D2 U'
F' B2 D2 B2 D L U'
F' B2 D2 B2 D' L U'
F' B2 D2 B2 D2 L U'
D B2 F' U2 R' F2 U
D B2 F' U2 F2 R' U
L B2 F' L B' L' U'
D B2 F' D2 B2 L U'
L B2 F' D' B' U' L
L B2 F2 D F U' L'
