D' R U2 F' B
D' R U2 B F'
B' R U' L U' B
D' R U2 D F' B
D' R U2 D B F'
D' R U2 D' F' B
D' R U2 D' B F'
D' R U2 D2 F' B
D' R U2 D2 B F'
D' R U2 F' D B
D' R U2 F' D' B
D' R U2 F' D2 B
D' R U2 F' B D
D' R U2 F' B D'
D' R U2 F' B D2
D' R U2 B D F'
D' R U2 B D' F'
D' R U2 B D2 F'
D' R U2 B F' D
D' R U2 B F' D'
D' R U2 B F' D2
B R U2 D' F2 B
B R U2 D' B F2
D' R D U2 F' B
D' R D U2 B F'
B R U2 B D' F2
D' R D' U2 F' B
D' R D' U2 B F'
B R D B2 U2 B'
B R D' U2 F2 B
B R D' U2 B F2
D' R D2 U2 F' B
D' R D2 U2 B F'
D' R F U2 F2 B
D' R F U2 B F2
D' R F2 U2 F B
D' R F2 U2 B F
D' R B' U2 F' B2
D' R B' U2 B2 F'
D' R B2 U2 F' B'
D' R B2 U2 B' F'
D' R' F' R2 U2 F'
D' R' F' B R2 U2
D' R' B R2 U2 B
D' R' B F' R2 U2
R U2 B U' R' U
U2 D F2 L' F B'
U2 D F2 L' B' F
D U2 F2 L' F B'
D U2 F2 L' B' F
F2 U2 D L' F B'
F2 U2 D L' B' F
F2 D U2 L' F B'
F2 D U2 L' B' F
U2 F2 D L' F B'
U2 F2 D L' B' F
D F2 U2 L' F B'
D F2 U2 L' B' F
D' B R U2 F' B
D' B R U2 B F'
D' B' R U2 F' B
D' B' R U2 B F'
R B' U' L U' B2
D' B2 R U2 F' B
D' B2 R U2 B F'
D B F2 U2 L' F B'
D B F2 U2 L' B' F
U2 B' L' D F2 B' L'
U2 B' L' D B' F2 L'
U2 B' L' B' D F2 L'
D' B' R U2 D F' B
D' B' R U2 D B F'
D' B' R U2 D' F' B
D' B' R U2 D' B F'
D' B' R U2 D2 F' B
D' B' R U2 D2 B F'
D' B' R U2 F' D B
D' B' R U2 F' D' B
D' B' R U2 F' D2 B
D' B' R U2 F' B D
D' B' R U2 F' B D'
D' B' R U2 F' B D2
D' B' R U2 B D F'
D' B' R U2 B D' F'
D' B' R U2 B D2 F'
D' B' R U2 B F' D
D' B' R U2 B F' D'
D' B' R U2 B F' D2
D' B' R D U2 F' B
D' B' R D U2 B F'
D' B' R D' U2 F' B
D' B' R D' U2 B F'
D' B' R D2 U2 F' B
D' B' R D2 U2 B F'
U' B' R' L U R2 U2
U' B' R' L U' D2 L2
U' B' R' L D B2 U'
U' B' R' L D2 U' L2
D' B' R F U2 F2 B
D' B' R F U2 B F2
D' B' R F2 U2 F B
D' B' R F2 U2 B F
D' B' R B' U2 F' B2
D' B' R B' U2 B2 F'
D' B' R B2 U2 F' B'
D' B' R B2 U2 B' F'
U' B' R' D L B2 U'
U' B' R' D2 L U' L
D' B' R' F' R2 U2 F'
D' B' R' F' B R2 U2
D' B' R' B R2 U2 B
D' B' R' B F' R2 U2
R' B' R2 U' L U' B
D2 B' D R U2 F' B
D2 B' D R U2 B F'
R B' U' L R U' B2
R B' U' L R' U' B2
R B' U' L R2 U' B2
R B' U' L U' B2 D
R B' U' L U' B2 D'
R B' U' L U' B2 D2
R B' U' L D' R2 U'
R B' U' R L U' B2
R B' U' R' L U' B2
R B' U' R2 L U' B2
R B' U' D' L R2 U'
R B' U' D' R2 L U'
D B' U2 F2 L' F B'
D B' U2 F2 L' B' F
R B' U2 B2 U' R' U
D B' D2 R U2 F' B
D B' D2 R U2 B F'
R' B' F' R2 U' L U'
R B' D' U' L R2 U'
R B' D' U' R2 L U'
F2 B' U2 L' D F2 B'
F2 B' U2 L' D B' F2
F2 B' U2 L' B' D F2
R B' D2 F2 U' L U'
U2 B' F2 L' D F2 B'
U2 B' F2 L' D B' F2
U2 B' F2 L' B' D F2
R B' F U' L U' B2
D B' F2 U2 L' F B'
D B' F2 U2 L' B' F
R B' F' U' L U' B2
R B' F2 U' L U' B2
D' B2 R U2 D F' B
D' B2 R U2 D B F'
D' B2 R U2 D' F' B
D' B2 R U2 D' B F'
D' B2 R U2 D2 F' B
D' B2 R U2 D2 B F'
D' B2 R U2 F' D B
D' B2 R U2 F' D' B
D' B2 R U2 F' D2 B
D' B2 R U2 F' B D
D' B2 R U2 F' B D'
D' B2 R U2 F' B D2
D' B2 R U2 B D F'
D' B2 R U2 B D' F'
D' B2 R U2 B D2 F'
D' B2 R U2 B F' D
D' B2 R U2 B F' D'
D' B2 R U2 B F' D2
D' B2 R D U2 F' B
D' B2 R D U2 B F'
D' B2 R D' U2 F' B
D' B2 R D' U2 B F'
D' B2 R D2 U2 F' B
D' B2 R D2 U2 B F'
D' B2 R F U2 F2 B
D' B2 R F U2 B F2
D' B2 R F2 U2 F B
D' B2 R F2 U2 B F
D' B2 R B' U2 F' B2
D' B2 R B' U2 B2 F'
D' B2 R B2 U2 F' B'
D' B2 R B2 U2 B' F'
D' B2 R' F' R2 U2 F'
D' B2 R' F' B R2 U2
D' B2 R' B R2 U2 B
D' B2 R' B F' R2 U2
R B2 U R' U F' B'
R B2 U R' U B' F'
D2 B2 D R U2 F' B
D2 B2 D R U2 B F'
B F2 U R' U L' B'
B' F2 U2 L' D F2 B'
B' F2 U2 L' D B' F2
D B2 U2 F2 L' F B'
D B2 U2 F2 L' B' F
B' F2 U2 L' B' D F2
D B2 D2 R U2 F' B
D B2 D2 R U2 B F'
D B2 F2 U2 L' F B'
D B2 F2 U2 L' B' F
