F' U2 L' F
F' R U2 L' F
F' R' U2 L' F
F' R2 U2 L' F
F' U2 L' D F
F' U2 L' D' F
F' U2 L' D2 F
F' U2 L' F D
F' U2 L' F D'
F' U2 L' F D2
F' B U2 L' F
F' B U2 L' F
B' F' U2 L' F
F' B' U2 L' F
B2 F' U2 L' F
B F' U2 L' F
F' B2 U2 L' F
F' U2 R L' F D R'
F' U2 R L' F D' R'
F' U2 R L' F D2 R'
F' U2 R L' F' R' F2
F2 U2 L2 B' L F L'
F' U2 R' L' D R F
F' U2 R' L' D' R F
F' U2 R' L' D2 R F
F' U2 R' D2 L' R F'
F' U2 R' D2 R L' F'
F' U2 R2 L' F R2 D
F' U2 R2 L' F R2 D'
F' U2 R2 L' F R2 D2
F' U2 R2 L' F' R2 F2
L D2 B' L' F' U2 L'
L' F L R F2 U2 F2
L' F L F2 U2 L' F2
F' U2 D2 L' R F' R'
F' U2 D2 R L' F' R'
L' F L' D2 R2 B2 L
F' U2 F L' F' L' F2
F' U2 F' L' F L' D
F' U2 F' L' F L' D'
F' U2 F' L' F L' D2
F' U2 F' L' F D L'
F' U2 F' L' F D' L'
F' U2 F' L' F D2 L'
L' F R L F2 U2 F2
F U2 F L' F L' B'
D2 F R U2 D2 F' B2
D2 F R U2 D2 B2 F'
L2 F L2 F2 U2 L' F
D2 F R D2 U2 F' B2
D2 F R D2 U2 B2 F'
D2 F R F2 U2 D F
D2 F R F2 U2 D' F
D2 F R F2 U2 D2 F
D2 F R F2 U2 F D
D2 F R F2 U2 F D'
D2 F R F2 U2 F D2
D2 F R F2 D U2 F
D2 F R F2 D' U2 F
D2 F R F2 D2 U2 F
D2 F R F2 B U2 F
D2 F R F2 B' U2 F
D2 F R F2 B2 U2 F
F' U2 F2 L' F2 L' F'
D2 F R B F2 U2 F
L' F R F2 L U2 F2
D2 F R B' F2 U2 F
D2 F R B2 F2 U2 F
D2 F R' F2 R2 U2 F'
L' F R' D2 B2 L2 R'
L' F R' D2 B2 R' L2
D2 F R' F2 B R2 U2
D2 F R' B R2 F2 U2
D2 F R' B F2 R2 U2
D F R F2 U R U
F2 U2 B L' F L' B'
D2 F R2 F2 R' U2 F'
L' F R2 D2 B2 L R'
L' F R2 D2 B2 R' L
F' U2 B' L' D F B
F' U2 B' L' D B F
F' U2 B' L' D' F B
F' U2 B' L' D' B F
F' U2 B' L' D2 F B
F' U2 B' L' D2 B F
F' U2 B' L' F D B
F' U2 B' L' F D' B
F' U2 B' L' F D2 B
F' U2 B' L' F B D
F' U2 B' L' F B D'
F' U2 B' L' F B D2
F' U2 B' L' B D F
F' U2 B' L' B D' F
F' U2 B' L' B D2 F
F' U2 B' L' B F D
F' U2 B' L' B F D'
F' U2 B' L' B F D2
F2 U2 B' L' F L' B'
F' U2 B2 L' F B2 D
F' U2 B2 L' F B2 D'
F' U2 B2 L' F B2 D2
F' U2 B2 L' B2 D F
F' U2 B2 L' B2 D' F
F' U2 B2 L' B2 D2 F
F' U2 B2 L' B2 F D
F' U2 B2 L' B2 F D'
F' U2 B2 L' B2 F D2
F2 U2 B2 L' F L' B'
L' F U2 L R F2 U2
L' F U2 L F2 U2 L'
L' F U2 R L F2 U2
L' F U2 R F2 L U2
L' F U2 F2 L U2 L2
R2 F U2 F2 L' F B
R2 F U2 F2 L' B F
R2 F U2 F2 B L' F
R2 F U2 B F2 L' F
R F U2 F2 L' F B'
R F U2 F2 L' B' F
F' D R U2 D' L' F
F' D R D' U2 L' F
L' F D2 R2 B2 L R'
L' F D2 R2 B2 R' L
F' D R' U2 D' L' F
L' F D2 B2 R' D2 L2
L2 F D2 R2 B2 L F
F' D R' D' U2 L' F
D2 F B R F2 U2 F
U2 F B L' F L2 B'
F' D R2 U2 D' L' F
D2 F B' R F2 U2 F
F' D R2 D' U2 L' F
R F D2 R U2 F' B
R F D2 R U2 B F'
D2 F B2 R F2 U2 F
L' F B2 R' D2 L2 B2
L' F B2 R' D2 B2 L2
L' F' L R U2 L2 F2
L' F' L R U2 F2 L2
L' F' L R' U2 L2 F2
L' F' L R' U2 F2 L2
L' F' L R2 U2 L2 F2
L' F' L R2 U2 F2 L2
L' F' L U2 L F2 L
L' F' L U2 L2 F2 D
L' F' L U2 L2 F2 D'
L' F' L U2 L2 F2 D2
L' F' L U2 F' L2 F'
L' F' L U2 F2 L2 D
L' F' L U2 F2 L2 D'
L' F' L U2 F2 L2 D2
L' F' L D2 R2 B2 U2
L' F' L D2 B2 R2 U2
L' F' L B U2 L2 F2
L' F' L B U2 F2 L2
L' F' L B' U2 L2 F2
L' F' L B' U2 F2 L2
L' F' L B2 U2 L2 F2
L' F' L B2 U2 F2 L2
R' F' L' F B2 R' B
U2 F' L B' R' U2 R
R' F' L' B2 R' F B
R' F' L' B2 R' B F
R' F' L' B2 F R' B
L' F' L' F2 D2 R2 B2
L' F' L' F2 D2 B2 R2
L' F' L2 U2 F2 L R
L' F' L2 U2 F2 R L
L2 F' L' B' L' U2 L
R2 F' L' F B2 R' B'
B' D F' U R U L'
R2 F' L' B2 R' F B'
R2 F' L' B2 R' B' F
L2 F' L2 U2 L' F L2
R2 F' L' B2 F R' B'
L' F' R L U2 L2 F2
L' F' R L U2 F2 L2
D2 F' R U2 L F' L2
D2 F' R U2 L' D F'
D2 F' R U2 L' D' F'
D2 F' R U2 L' D2 F'
D2 F' R U2 L' F' D
D2 F' R U2 L' F' D'
D2 F' R U2 L' F' D2
D2 F' R U2 L2 F' L
D2 F' R U2 D L' F'
B2 D F' U R U L'
D2 F' R U2 D' L' F'
D' F' R U2 D L' F
D2 F' R U2 D2 L' F'
D2 F' R D U2 L' F'
D' F' R D U2 L' F
D2 F' R D' U2 L' F'
D2 F' R D2 U2 L' F'
D2 F' R B U2 L' F'
D2 F' R B' U2 L' F'
D2 F' R B2 U2 L' F'
L' F' R' L U2 L2 F2
L' F' R' L U2 F2 L2
R' F' R' U2 L' F B
R' F' R' U2 L' B F
B D F' U R U L'
R' F' R' U2 B L' F
D' F' R' U2 D L' F
D' F' R' D U2 L' F
D2 F' R' D B U2 L'
D2 F' R' D' B U2 L'
D2 F' R' D2 B U2 L'
D2 F' R' B R U2 L'
D2 F' R' B R' U2 L'
D2 F' R' B R2 U2 L'
D2 F' R' B U2 L' D
D2 F' R' B U2 L' D'
D2 F' R' B U2 L' D2
D2 F' R' B U2 D L'
D2 F' R' B U2 D' L'
D2 F' R' B U2 D2 L'
D2 F' R' B D U2 L'
D2 F' R' B D' U2 L'
D2 F' R' B D2 U2 L'
L' F' R2 L U2 L2 F2
L' F' R2 L U2 F2 L2
R' F' R2 U2 L' F B'
R' F' R2 U2 L' B' F
F' D B U2 D' L' F
D2 F' R2 U2 L F L2
D' F' R2 U2 D L' F
D' F' R2 D U2 L' F
R2 F' R' U2 L' F B'
R2 F' R' U2 L' B' F
F' D B D' U2 L' F
R F' R U2 L' F B
R F' R U2 L' B F
R F' R U2 B L' F
D F' R' U R2 U L'
D F' R' U2 L' D' F2
D F' R' U2 D' L' F2
D F' R' D B2 U2 L'
D F' R' D' U2 L' F2
D2 F' U R U L' F'
F' D B' U2 D' L' F
F' D B' D' U2 L' F
D F' R2 U R' U L'
F' D B2 U2 D' L' F
F' D B2 D' U2 L' F
D F' U R U L' D
D F' U R U L' D'
D F' U R U L' D2
D F' U R U D L'
D F' U R U D' L'
D F' U R U D2 L'
D F' U R D U L'
D F' U R D' U L'
D F' U R D2 U L'
D F' U D R U L'
D' F' U' B' L U' L2
D F' U D' R U L'
D F' U D2 R U L'
D2 F' U2 L' R F' R'
D2 F' U2 R L' F' R'
L' F' U2 L' F2 D2 R2
L' F' U2 L2 F2 L R
L' F' U2 L2 F2 R L
D' F' U2 D L' D F
D' F' U2 D L' D' F
D' F' U2 D L' D2 F
D' F' U2 D L' F D
D' F' U2 D L' F D'
D' F' U2 D L' F D2
D2 F' U2 D2 L' D F
D2 F' U2 D2 L' D' F
D2 F' U2 D2 L' D2 F
D2 F' U2 D2 L' F D
D2 F' U2 D2 L' F D'
D2 F' U2 D2 L' F D2
D' F' D R U2 L' F
R2 F' U2 L' D F B
R2 F' U2 L' D B F
R2 F' U2 L' D' F B
R2 F' U2 L' D' B F
R2 F' U2 L' D2 F B
R2 F' U2 L' D2 B F
R2 F' U2 L' F D B
R2 F' U2 L' F D' B
R2 F' U2 L' F D2 B
R2 F' U2 L' F B D
R2 F' U2 L' F B D'
R2 F' U2 L' F B D2
R2 F' U2 L' B D F
R2 F' U2 L' B D' F
R2 F' U2 L' B D2 F
R2 F' U2 L' B F D
R2 F' U2 L' B F D'
R2 F' U2 L' B F D2
D' F' D R' U2 L' F
D' F' D R2 U2 L' F
D F' U2 L' U' R U
D' F' D U2 L' D F
D' F' D U2 L' D' F
D' F' D U2 L' D2 F
D' F' D U2 L' F D
D' F' D U2 L' F D'
D' F' D U2 L' F D2
D' F' D B U2 L' F
D' F' D B' U2 L' F
R2 F' U2 B L' D F
R2 F' U2 B L' D' F
R2 F' U2 B L' D2 F
R2 F' U2 B L' F D
R2 F' U2 B L' F D'
R2 F' U2 B L' F D2
D' F' D B2 U2 L' F
R2 F' U2 B' L' F B2
R2 F' U2 B' L' B2 F
D' F' D' R U2 L' F'
R F' U2 L' D F B'
R F' U2 L' D B' F
R F' U2 L' D' F B'
R F' U2 L' D' B' F
R F' U2 L' D2 F B'
R F' U2 L' D2 B' F
R F' U2 L' F D B'
R F' U2 L' F D' B'
R F' U2 L' F D2 B'
R F' U2 L' F B' D
R F' U2 L' F B' D'
R F' U2 L' F B' D2
D' F' D' R' B U2 L'
R F' U2 L' B' D F
R F' U2 L' B' D' F
R F' U2 L' B' D2 F
R F' U2 L' B' F D
R F' U2 L' B' F D'
R F' U2 L' B' F D2
D F' D U R U L'
R F' U2 B L' F B'
R F' U2 B L' B' F
F' D' R U2 D L' F
R F' U2 B' L' F B'
R F' U2 B' L' B' F
F' D' R D U2 L' F
R F' U2 B2 L' F B'
R F' U2 B2 L' B' F
D2 F' D2 R U2 L' F
L' F' D2 L B2 U2 L2
D2 F' D2 R' U2 L' F
D2 F' D2 R2 U2 L' F
D2 F' D2 U2 L' D F
D2 F' D2 U2 L' D' F
D2 F' D2 U2 L' D2 F
D2 F' D2 U2 L' F D
D2 F' D2 U2 L' F D'
D2 F' D2 U2 L' F D2
D2 F' D2 B U2 L' F
D F' D' U R U L'
D2 F' D2 B' U2 L' F
D2 F' D2 B2 U2 L' F
F' D' R' U2 D L' F
L' F' D2 B2 U2 L' R'
L' F' D2 B2 U2 R' L'
F' D' R' D U2 L' F
D2 F' B R U2 L' F'
D2 F' B R' B U2 L'
D' F' B U R' U L'
D2 F' B U2 D2 L' F
D2 F' B D2 U2 L' F
D F' D2 U R U L'
D2 F' B' R U2 L' F'
F' D' R2 U2 D L' F
D2 F' B' R' B U2 L'
F' D' R2 D U2 L' F
D' F' B' U' L U' L2
D2 F' B' U2 D2 L' F
D' F' B' U2 L' D F2
D2 F' B' D2 U2 L' F
D F' B U R U L'
D2 F' B2 R U2 L' F'
L F' D2 B' L U2 L2
D2 F' B2 R' B U2 L'
R2 F' B' L' F B2 R'
R2 F' B' L' B2 R' F
R2 F' B' L' B2 F R'
D2 F' B2 U2 D2 L' F
L' F' B2 U2 L' R' F2
L' F' B2 U2 L' F2 R'
L' F' B2 U2 R' L' F2
D2 F' B2 D2 U2 L' F
R2 F' B' U2 L' F B2
R2 F' B' U2 L' B2 F
R2 F' B' U2 B2 L' F
D F' B' U R U L'
R F' B U2 L' F B'
R F' B U2 L' B' F
F' D' U' B' L U' L2
R2 F' B2 U2 B' L' F
D F' B2 U R U L'
R F' B' U2 L' F B'
R F' B' U2 L' B' F
R F' B2 U2 L' F B'
R F' B2 U2 L' B' F
B' D' F' U2 D L' F
B' D' F' D U2 L' F
B2 D' F' U2 D L' F
U2 F2 L2 B L F B2
U2 F2 L2 B L B2 F
D2 F2 R F U2 L' F2
B2 D' F' D U2 L' F
L F2 L2 R F B' L'
L F2 L2 R B' F L'
B D' F' U2 D L' F
B D' F' D U2 L' F
D2 F2 R' F B U2 L'
D2 F2 R' B F U2 L'
L F2 L2 B' R F L'
F' D' B U R' U L'
L F2 R L2 F B' L'
L F2 R L2 B' F L'
F' D' B' U' L U' L2
F' D' B' U2 L' D F2
R2 F2 U2 L' F L' B
R2 F2 U2 L' F B L'
R2 F2 U2 L' B F L'
R2 F2 U2 F L' F B
R2 F2 U2 F L' B F
R2 F2 U2 F B L' F
R2 F2 U2 B L' F L'
R2 F2 U2 B F L' F
R F2 U2 L' F B' L'
R F2 U2 L' B' F L'
R F2 U2 F L' F B'
R F2 U2 F L' B' F
F' D2 R U2 L F' L2
F' D2 R U2 L' D F'
F' D2 R U2 L' D' F'
F' D2 R U2 L' D2 F'
F' D2 R U2 L' F' D
F' D2 R U2 L' F' D'
F' D2 R U2 L' F' D2
F' D2 R U2 L2 F' L
F' D2 R U2 D L' F'
F' D2 R U2 D' L' F'
F' D2 R U2 D2 L' F'
F' D2 R D U2 L' F'
F' D2 R D' U2 L' F'
F' D2 R D2 U2 L' F'
F' D2 R B U2 L' F'
F' D2 R B' U2 L' F'
F' D2 R B2 U2 L' F'
F' D2 R' D B U2 L'
F' D2 R' D' B U2 L'
F' D2 R' D2 B U2 L'
F' D2 R' B R U2 L'
F' D2 R' B R' U2 L'
F' D2 R' B R2 U2 L'
F' D2 R' B U2 L' D
F' D2 R' B U2 L' D'
F' D2 R' B U2 L' D2
F' D2 R' B U2 D L'
F' D2 R' B U2 D' L'
F' D2 R' B U2 D2 L'
F' D2 R' B D U2 L'
F' D2 R' B D' U2 L'
F' D2 R' B D2 U2 L'
F2 D2 R' F B R' U2
F D2 R U2 F' B2 D
F D2 R U2 F' B2 D'
F D2 R U2 F' B2 D2
F D2 R U2 B2 D F'
F D2 R U2 B2 D' F'
F D2 R U2 B2 D2 F'
F D2 R U2 B2 F' D
F D2 R U2 B2 F' D'
F D2 R U2 B2 F' D2
B' D2 R2 U2 B L F
F2 D2 R' B R' F U2
F2 D2 R' B F R' U2
F D2 R D2 F2 U2 F
F D2 R F U2 F2 B2
F D2 R F U2 B2 F2
F' D2 R2 U2 L F L2
F D2 R F2 U2 F B2
F D2 R F2 U2 B2 F
F D2 R B U2 F' B
F D2 R B U2 B F'
F D2 R B' U2 F' B'
F D2 R B' U2 B' F'
B2 D2 R2 U2 B L F
F' D2 U R U L' F'
F D2 R' B R2 F' U2
B D2 R2 U2 B L F
U2 F2 B2 L2 B' L F
F D2 R2 U2 B2 L F
F' D2 U2 L' R F' R'
F' D2 U2 R L' F' R'
U2 B L U2 F' B' U2
U2 B L U2 B' F' U2
B' D2 F R F2 U2 F
B2 D2 F R F2 U2 F
U2 B L' F L2 D2 B2
F2 D2 F R' B R' U2
U2 B L' F2 L2 F' B'
U2 B L' F2 L2 B' F'
B' D2 F' R U2 L' F'
B' D2 F' R' B U2 L'
F2 D2 F B R' B U2
B' D2 F' U2 D2 L' F
B2 D2 F' R U2 L' F'
B D2 F R F2 U2 F
B' D2 F' D2 U2 L' F
B2 D2 F' R' B U2 L'
L2 B L2 F' U2 L' F
B2 D2 F' U2 D2 L' F
R' B R F' U2 L' F
B2 D2 F' D2 U2 L' F
L B L' F' B2 U2 L'
F' D2 F2 R F2 U2 F
L B L' B2 F' U2 L'
B D2 F' R U2 L' F'
B D2 F' R' B U2 L'
B D2 F' U2 D2 L' F
B D2 F' D2 U2 L' F
F' D2 B R U2 L' F'
F' D2 B R' B U2 L'
F' D2 B U2 D2 L' F
D2 B R2 U2 B L F
F2 D2 B R' F B U2
F2 D2 B R' B F U2
F' D2 B D2 U2 L' F
F2 D2 B F R' B U2
F' D2 B' R U2 L' F'
F' D2 B' R' B U2 L'
F' D2 B' U2 D2 L' F
U' B U F' U2 L' F
F' D2 B' D2 U2 L' F
F' D2 B2 R U2 L' F'
F' D2 B2 R' B U2 L'
R B R' F' U2 L' F
F' D2 B2 U2 D2 L' F
F' D2 B2 D2 U2 L' F
F D2 B' R U2 F' B'
F D2 B' R U2 B' F'
F' B L B' L' U2 L'
F' B R U2 L' D F
F' B R U2 L' D' F
F' B R U2 L' D2 F
F' B R U2 L' F D
F' B R U2 L' F D'
F' B R U2 L' F D2
F' B R B U2 L' F
F' B R B' U2 L' F
D2 B D2 F' U2 L' F
F2 B R F U2 L' F
F' B R B2 U2 L' F
F' B R' U2 L' D F
F' B R' U2 L' D' F
F' B R' U2 L' D2 F
F' B R' U2 L' F D
F' B R' U2 L' F D'
F' B R' U2 L' F D2
D B D' F' U2 L' F
D2 B F R F2 U2 F
F' B R' B U2 L' F
F' B R' B' U2 L' F
F2 B R' F U2 L' F
F' B R' B2 U2 L' F
U2 B F L' F L2 B'
D2 B F' R U2 L' F'
F' B R2 U2 L' D F
F' B R2 U2 L' D' F
F' B R2 U2 L' D2 F
F' B R2 U2 L' F D
F' B R2 U2 L' F D'
F' B R2 U2 L' F D2
D2 B F' R' B U2 L'
D' B F' U R' U L'
D2 B F' U2 D2 L' F
F' B R2 B U2 L' F
D2 B F' D2 U2 L' F
F' B R2 B' U2 L' F
F2 B R2 F U2 L' F
F' B R2 B2 U2 L' F
F' B U R U L' F
F' B U R' U L' F
F' B U R2 U L' F
D B F' U R U L'
F' B U' L U' L2 F
F' B U' B U' L' F
F' B U' B' U' L' F
F' B U' B2 U' L' F
F' B U2 L F L2 F
F' B U2 L F' L2 F
F' B U2 L F2 L2 F
F' B U2 L' R F R'
F' B U2 L' R2 F R2
F' B U2 L' D F D
F' B U2 L' D F D'
F' B U2 L' D F D2
F' B U2 L' D' F D
F' B U2 L' D' F D'
F' B U2 L' D' F D2
F' B U2 L' D2 F D
F' B U2 L' D2 F D'
F' B U2 L' D2 F D2
F' B U2 L' F2 D F'
F' B U2 L' F2 D' F'
F' B U2 L' F2 D2 F'
F' B U2 L2 D L F
F' B U2 L2 D' L F
F' B U2 L2 D2 L F
F' B U2 L2 F L F
F' B U2 L2 F' L F
F' B U2 L2 F2 L F
F' B U2 R L' F R'
R B F' U2 L' F B'
R B F' U2 L' B' F
F' B U2 R2 L' F R2
F2 B U2 L' F L' B'
F' B U2 F' L' F L'
F' B U2 B' L' F B
F' B U2 B' L' B F
F' B U2 B2 L' F B2
F' B U2 B2 L' B2 F
U2 B' L' F D2 B2 L
L B' L F' L2 U2 L
L B' L' R2 U2 B L
L2 B' L2 F' U2 L' F
L B' L' D F' U2 L'
R' B' R F' U2 L' F
L B' L' D' F' U2 L'
L B' L' D2 F' U2 L'
L B' L' F R F2 U2
L B' L' F' R U2 L'
L B' L' F' R' U2 L'
L B' L' F' R2 U2 L'
L B' L' F' U2 L' D
L B' L' F' U2 L' D'
L B' L' F' U2 L' D2
L B' L' F' U2 D L'
L B' L' F' U2 D' L'
L B' L' F' U2 D2 L'
L B' L' F' D U2 L'
L B' L' F' D' U2 L'
L B' L' F' D2 U2 L'
B' F D2 R U2 F' B2
B' F D2 R U2 B2 F'
F' B D2 R U2 L' F'
F' B D2 R' B U2 L'
B2 F D2 R U2 F' B2
B2 F D2 R U2 B2 F'
L B' L2 F' L U2 L2
D2 B' R2 U2 B L F
B F D2 R U2 F' B2
B F D2 R U2 B2 F'
B' F' L B' L' U2 L'
F' B' L B' L' U2 L'
F B D2 R U2 F' B2
F B D2 R U2 B2 F'
U' B' U F' U2 L' F
B2 F' L B' L' U2 L'
L B' R2 L' U2 B L
B F' L B' L' U2 L'
R B' R' F' U2 L' F
B' F' R U2 L' D F
B' F' R U2 L' D' F
B' F' R U2 L' D2 F
B' F' R U2 L' F D
B' F' R U2 L' F D'
B' F' R U2 L' F D2
F' B' R U2 L' D F
F' B' R U2 L' D' F
F' B' R U2 L' D2 F
F' B' R U2 L' F D
F' B' R U2 L' F D'
F' B' R U2 L' F D2
B' F' R B U2 L' F
B' F' R B' U2 L' F
B2 F' R U2 L' D F
B2 F' R U2 L' D' F
B2 F' R U2 L' D2 F
B2 F' R U2 L' F D
B2 F' R U2 L' F D'
B2 F' R U2 L' F D2
B' F' R B2 U2 L' F
F' B' R B U2 L' F
B' F' R' U2 L' D F
B' F' R' U2 L' D' F
B' F' R' U2 L' D2 F
B' F' R' U2 L' F D
B' F' R' U2 L' F D'
B' F' R' U2 L' F D2
F' B' R B' U2 L' F
F2 B' R F U2 L' F
F' B' R B2 U2 L' F
B2 F' R B U2 L' F
B2 F' R B' U2 L' F
B2 F' R B2 U2 L' F
F' B' R' U2 L' D F
F' B' R' U2 L' D' F
F' B' R' U2 L' D2 F
F' B' R' U2 L' F D
F' B' R' U2 L' F D'
F' B' R' U2 L' F D2
B' F' R' B U2 L' F
B' F' R' B' U2 L' F
B F' R U2 L' D F
B F' R U2 L' D' F
B F' R U2 L' D2 F
B F' R U2 L' F D
B F' R U2 L' F D'
B F' R U2 L' F D2
B2 F' R' U2 L' D F
B2 F' R' U2 L' D' F
B2 F' R' U2 L' D2 F
B2 F' R' U2 L' F D
B2 F' R' U2 L' F D'
B2 F' R' U2 L' F D2
B' F' R' B2 U2 L' F
F' B' R' B U2 L' F
B' F' R2 U2 L' D F
B' F' R2 U2 L' D' F
B' F' R2 U2 L' D2 F
B' F' R2 U2 L' F D
B' F' R2 U2 L' F D'
B' F' R2 U2 L' F D2
F' B' R' B' U2 L' F
F2 B' R' F U2 L' F
F' B' R' B2 U2 L' F
B F' R B U2 L' F
B2 F' R' B U2 L' F
B F' R B' U2 L' F
B2 F' R' B' U2 L' F
B F' R B2 U2 L' F
B2 F' R' B2 U2 L' F
F' B' R2 U2 L' D F
F' B' R2 U2 L' D' F
F' B' R2 U2 L' D2 F
F' B' R2 U2 L' F D
F' B' R2 U2 L' F D'
F' B' R2 U2 L' F D2
B' F' R2 B U2 L' F
B' F' R2 B' U2 L' F
B F' R' U2 L' D F
B F' R' U2 L' D' F
B F' R' U2 L' D2 F
B F' R' U2 L' F D
B F' R' U2 L' F D'
B F' R' U2 L' F D2
B2 F' R2 U2 L' D F
B2 F' R2 U2 L' D' F
B2 F' R2 U2 L' D2 F
B2 F' R2 U2 L' F D
B2 F' R2 U2 L' F D'
B2 F' R2 U2 L' F D2
B' F' R2 B2 U2 L' F
B' F' U R U L' F
F' B' R2 B U2 L' F
B' F' U R' U L' F
F' B' R2 B' U2 L' F
B' F' U R2 U L' F
F2 B' R2 F U2 L' F
F' B' R2 B2 U2 L' F
B F' R' B U2 L' F
B2 F' R2 B U2 L' F
L B' D L' F' U2 L'
B F' R' B' U2 L' F
B2 F' R2 B' U2 L' F
B F' R' B2 U2 L' F
B2 F' R2 B2 U2 L' F
F' B' U R U L' F
F' B' U R' U L' F
D2 B' D2 F' U2 L' F
F' B' U R2 U L' F
B2 F' U R U L' F
B2 F' U R' U L' F
B F' R2 U2 L' D F
B F' R2 U2 L' D' F
B F' R2 U2 L' D2 F
B F' R2 U2 L' F D
B F' R2 U2 L' F D'
B F' R2 U2 L' F D2
B2 F' U R2 U L' F
B' F' U' L U' L2 F
D2 B' F R F2 U2 F
D B' D' F' U2 L' F
F' B' U' L U' L2 F
B F' R2 B U2 L' F
L B' D' L' F' U2 L'
B F' R2 B' U2 L' F
B F' R2 B2 U2 L' F
B2 F' U' L U' L2 F
B' F' U' B U' L' F
B F' U R U L' F
B' F' U' B' U' L' F
B F' U R' U L' F
B' F' U' B2 U' L' F
B F' U R2 U L' F
B' F' U2 L F L2 F
B' F' U2 L F' L2 F
B' F' U2 L F2 L2 F
B' F' U2 L' R F R'
B' F' U2 L' R2 F R2
B' F' U2 L' D F D
B' F' U2 L' D F D'
B' F' U2 L' D F D2
B' F' U2 L' D' F D
B' F' U2 L' D' F D'
B' F' U2 L' D' F D2
B' F' U2 L' D2 F D
B' F' U2 L' D2 F D'
B' F' U2 L' D2 F D2
B' F' U2 L' F2 D F'
B' F' U2 L' F2 D' F'
B' F' U2 L' F2 D2 F'
D2 B' F' R U2 L' F'
B' F' U2 L2 D L F
B' F' U2 L2 D' L F
B' F' U2 L2 D2 L F
B' F' U2 L2 F L F
B' F' U2 L2 F' L F
B' F' U2 L2 F2 L F
B' F' U2 R L' F R'
D2 B' F' R' B U2 L'
F' B' U' B U' L' F
F' B' U' B' U' L' F
B' F' U2 R2 L' F R2
F' B' U' B2 U' L' F
B2 F' U' B U' L' F
F' B' U2 L F L2 F
D2 B' F' U2 D2 L' F
F' B' U2 L F' L2 F
F' B' U2 L F2 L2 F
L B' D2 L' F' U2 L'
F' B' U2 L' R F R'
F' B' U2 L' R2 F R2
F' B' U2 L' D F D
F' B' U2 L' D F D'
F' B' U2 L' D F D2
F' B' U2 L' D' F D
F' B' U2 L' D' F D'
F' B' U2 L' D' F D2
B2 F' U' B' U' L' F
F' B' U2 L' D2 F D
F' B' U2 L' D2 F D'
F' B' U2 L' D2 F D2
D' B' F' U' L U' L2
F' B' U2 L' F2 D F'
F' B' U2 L' F2 D' F'
F' B' U2 L' F2 D2 F'
F' B' U2 L2 D L F
F' B' U2 L2 D' L F
B2 F' U' B2 U' L' F
F' B' U2 L2 D2 L F
F' B' U2 L2 F L F
F' B' U2 L2 F' L F
F' B' U2 L2 F2 L F
D' B' F' U2 L' D F2
B' F' U2 F' L' F L'
F' B' U2 R L' F R'
B F' U' L U' L2 F
B2 F' U2 L F L2 F
D2 B' F' D2 U2 L' F
B2 F' U2 L F' L2 F
B2 F' U2 L F2 L2 F
B2 F' U2 L' R F R'
B2 F' U2 L' R2 F R2
B2 F' U2 L' D F D
B2 F' U2 L' D F D'
B2 F' U2 L' D F D2
B2 F' U2 L' D' F D
B2 F' U2 L' D' F D'
B2 F' U2 L' D' F D2
B2 F' U2 L' D2 F D
B2 F' U2 L' D2 F D'
B2 F' U2 L' D2 F D2
B2 F' U2 L' F2 D F'
B2 F' U2 L' F2 D' F'
B2 F' U2 L' F2 D2 F'
F' B' U2 R2 L' F R2
B2 F' U2 L2 D L F
B2 F' U2 L2 D' L F
B2 F' U2 L2 D2 L F
B2 F' U2 L2 F L F
B2 F' U2 L2 F' L F
B2 F' U2 L2 F2 L F
B' F' U2 B' L' F B
B' F' U2 B' L' B F
B2 F' U2 R L' F R'
F2 B' U2 L' F L' B'
B' F' U2 B2 L' F B2
B' F' U2 B2 L' B2 F
B2 F' U2 R2 L' F R2
F' B' U2 F' L' F L'
B2 F' U2 F' L' F L'
F' B' U2 B' L' F B
F' B' U2 B' L' B F
F' B' U2 B2 L' F B2
F' B' U2 B2 L' B2 F
B F' U' B U' L' F
R2 B' F' L' F B2 R'
B2 F' U2 B' L' F B
B2 F' U2 B' L' B F
R2 B' F' L' B2 R' F
R2 B' F' L' B2 F R'
B F' U' B' U' L' F
B2 F' U2 B2 L' F B2
B2 F' U2 B2 L' B2 F
B F' U' B2 U' L' F
B F' U2 L F L2 F
B F' U2 L F' L2 F
B F' U2 L F2 L2 F
B F' U2 L' R F R'
B F' U2 L' R2 F R2
B F' U2 L' D F D
B F' U2 L' D F D'
B F' U2 L' D F D2
B F' U2 L' D' F D
B F' U2 L' D' F D'
B F' U2 L' D' F D2
B F' U2 L' D2 F D
B F' U2 L' D2 F D'
B F' U2 L' D2 F D2
B F' U2 L' F2 D F'
B F' U2 L' F2 D' F'
B F' U2 L' F2 D2 F'
B F' U2 L2 D L F
B F' U2 L2 D' L F
B F' U2 L2 D2 L F
B F' U2 L2 F L F
B F' U2 L2 F' L F
B F' U2 L2 F2 L F
B F' U2 R L' F R'
R2 B' F' U2 L' F B2
R2 B' F' U2 L' B2 F
D B' F' U R U L'
B F' U2 R2 L' F R2
R2 B' F' U2 B2 L' F
B F' U2 F' L' F L'
B F' U2 B' L' F B
B F' U2 B' L' B F
B F' U2 B2 L' F B2
B F' U2 B2 L' B2 F
B' F' D2 R U2 L' F'
B' F' D2 R' B U2 L'
