F2 U2 D' R F'
F2 D' U2 R F'
F2 L U2 D' R F'
F2 L D' U2 R F'
D L' U' R2 U' F
F2 L' U2 D' R F'
D L' U2 D F B2
D L' U2 D B2 F
D L' U2 F D B2
D L' D U2 F B2
D L' D U2 B2 F
F2 L' D' U2 R F'
D L' D' F2 U2 F'
B' L' F2 U' L2 U'
B' L' F2 U2 D F2
B' L' F2 D U2 F2
B' L' F2 D' B2 U2
B L' F2 U R' U
F2 L2 U2 D' R F'
F2 L2 D' U2 R F'
F2 U B R' U R2
F2 U2 D' R D F'
F2 U2 D' R D' F'
F2 U2 D' R D2 F'
F2 U2 D' R F' D
F2 U2 D' R F' D'
F2 U2 D' R F' D2
F2 D L B' U2 R
F2 D L' U2 R F
F2 D' L U2 R F'
F2 D' L' U2 R F'
F2 D' L2 U2 R F'
F2 D' U2 R D F'
F2 D' U2 R D' F'
F2 D' U2 R D2 F'
F2 D' U2 R F' D
F2 D' U2 R F' D'
F2 D' U2 R F' D2
F2 D' U2 R F' D2
F D' F U2 R F'
F2 D' B U2 R F'
F2 D' B' U2 R F'
F2 D' B2 U2 R F'
L2 F2 D L B' U2
L' F2 B U R' U
L' F2 B' U' L U'
L' B F2 U R' U
F2 B U R' U R2
F2 B U2 R D' F2
L' B' F2 U' L U'
F2 B' U' L U' R
B' F2 U' L U' R
B F2 U R' U R2
B F2 U2 R D' F2
D B2 L' D U2 F B2
D B2 L' D U2 B2 F
D B2 L' D' F2 U2 F'
B' F2 L' U' L2 U' R
B' F2 L' U2 R D F2
B' F2 L' U2 D R F2
B' F2 L' D U2 R F2
B' F2 L' D' B2 U2 R
B F2 L U R' U R2
B F2 L U2 R D' F2
B' F2 L2 U' L' U' R
B F2 L' U R' U R2
B F2 L' U2 R D' F2
B F2 L2 U R' U R2
B F2 L2 U2 R D' F2
B' F2 U B2 R' U R2
B2 F2 U R' U F' R2
B' F2 U' L U' R D
B' F2 U' L U' R D'
B' F2 U' L U' R D2
B' F2 U' L U' D R
B' F2 U' L U' D' R
B' F2 U' L U' D2 R
B' F2 U' L D U' R
B' F2 U' L D' U' R
B' F2 U' L D2 U' R
F2 B2 U R' U F' R2
U B2 U' L' F2 B' U2
U B2 U' L' B' F2 U2
B' F2 U' D L U' R
B' F2 U' D' L U' R
B' F2 U' D2 L U' R
B2 F2 U' L U' R F
F2 B2 U' L U' R F
B F2 U R' U R2 D
B F2 U R' U R2 D'
B F2 U R' U R2 D2
B F2 U R' D B2 U
B F2 U R' B U R2
B F2 U R' B' U R2
B F2 U R' B2 U R2
B F2 U D R' U R2
B' F2 U2 R U L U'
B F2 U D' R' U R2
B F2 U D2 R' U R2
B' F2 D U' L U' R
B F2 U2 R U' R2 U
B F2 U2 R D' F2 D
B F2 U2 R D' F2 D'
B F2 U2 R D' F2 D2
B F2 U2 R F D' F2
B F2 U2 R F' D' F2
B F2 U2 R F2 D' F2
B F2 U2 D R D' F2
B F2 U2 D' R D' F2
B F2 U2 D2 R D' F2
B' F2 D' U' L U' R
B F2 D U R' U R2
B F2 D U2 R D' F2
B' F2 D2 U' L U' R
L' B2 F2 U R' U F'
L' B2 F2 U' L U' F
B F2 D' U R' U R2
B F2 D' U2 R D' F2
B F2 D2 U R' U R2
B F2 D2 U2 R D' F2
