D' L2 U L R2
D' L2 U R2 L
B2 U L' D2 B2
B2 U D2 L' B2
B2 U D2 B2 L'
B2 U' F2 R U2
B2 D' L2 U L
B2 D2 U L' B2
B2 D2 U B2 L'
D2 U B L' D B R2
D2 U B L' B D R2
L' D' L2 U L2 R2 D
L' D' L2 U L2 R2 D'
L' D' L2 U L2 R2 D2
L' D' L2 U R2 L2 D
L' D' L2 U R2 L2 D'
L' D' L2 U R2 L2 D2
D' U B R2 D' L' B2
D' U B R2 D' B2 L'
L' D' L2 D F2 B2 U
L' D' L2 D B2 F2 U
D2 U B D L' B R2
L' D' L2 F U L2 R2
L' D' L2 F U R2 L2
D2 U B D B L' R2
D2 U B D B R2 L'
L' D' L2 F' U L2 R2
L' D' L2 F' U R2 L2
L' D' L2 F2 U L2 R2
L' D' L2 F2 U R2 L2
L2 D' L2 U L' R2 D
L2 D' L2 U L' R2 D'
L2 D' L2 U L' R2 D2
L2 D' L2 U R2 L' D
L2 D' L2 U R2 L' D'
L2 D' L2 U R2 L' D2
L2 D' L2 U R2 D L'
L2 D' L2 U R2 D' L'
L2 D' L2 U R2 D2 L'
L' D' L2 B U L2 R2
L' D' L2 B U R2 L2
R' D' R L2 U L R
R' D' R L2 U R L
L' D' L2 B' U L2 R2
L' D' L2 B' U R2 L2
R2 D' L2 U L R2 F2
R2 D' L2 U L F2 R2
L' D' L2 B2 U L2 R2
R2 D' L2 U R2 L F2
L' D' L2 B2 U R2 L2
R2 D' L2 U R2 F2 L
R2 D' L2 U F2 L R2
R2 D' L2 U F2 R2 L
L2 D' L2 D B2 U L'
D' U B' R2 D' L' B2
D' U B' R2 D' B2 L'
L2 D' L2 B U L' R2
L2 D' L2 B U R2 L'
L2 D' L2 B' U L' R2
L2 D' L2 B' U R2 L'
L2 D' L2 B2 U L' R2
L2 D' L2 B2 U R2 L'
L D' L2 U R2 D L2
R D' L2 R' U L R'
R D' L2 R' U R' L
D2 U B' D R2 B' L'
D2 U B' D B' L' R2
D2 U B' D B' R2 L'
L D' L2 U2 B2 U' R2
L D' L2 D B2 U L2
B2 U F2 R U2 R' F2
B2 U F2 R U2 F2 R'
D2 U B2 L' R D R2
D2 U B2 L' R' D R2
D2 U B2 L' R2 D R2
D2 U B2 L' U F2 U'
D2 U B2 L' D R2 D
D2 U B2 L' D R2 D'
D2 U B2 L' D R2 D2
D2 U B2 L2 D L R2
D2 U B2 L2 D R2 L
D2 U B2 R L' D R2
D2 U B2 R D L' R2
D2 U B2 R D R2 L'
D2 U B2 R' L' D R2
D2 U B2 R' D L' R2
D2 U B2 R' D R2 L'
D' U B2 R2 D' L' B2
D' U B2 R2 D' B2 L'
D2 U B2 R2 L' D R2
D2 U B2 R2 D L' R2
D2 U B2 R2 D R2 L'
D2 U B2 D L' R2 D
D2 U B2 D L' R2 D'
D2 U B2 D L' R2 D2
D2 U B2 D R2 L' D
D2 U B2 D R2 L' D'
D2 U B2 D R2 L' D2
D2 U B2 D R2 D L'
D2 U B2 D R2 D' L'
D2 U B2 D R2 D2 L'
D2 U B2 D2 L' D' R2
F2 U F2 B2 U L' F2
B2 U B L' U2 F2 U2
B2 U B L' D2 B2 D
B2 U B L' D2 B2 D'
B2 U B L' D2 B2 D2
B2 U B L' B D2 B2
B2 U B L' B' D2 B2
B2 U B L' B2 D2 B2
B2 U B L2 D2 L B2
L' D' R2 U' L2 R2 U
L' D' R2 U' R2 L2 U
B2 U B U2 F2 R U2
B2 U B D L' D B2
L' D' R2 D' F2 B2 D
L' D' R2 D' F2 B2 D'
L' D' R2 D' F2 B2 D2
L' D' R2 D' B2 F2 D
L' D' R2 D' B2 F2 D'
L' D' R2 D' B2 F2 D2
B2 U B D2 L B2 L2
B2 U B D2 L' B2 D
B2 U B D2 L' B2 D'
B2 U B D2 L' B2 D2
B2 U B D2 B L' B
B2 U B D2 B2 L' D
B2 U B D2 B2 L' D'
B2 U B D2 B2 L' D2
B2 U B D2 B2 D L'
B2 U B D2 B2 D' L'
B2 U B D2 B2 D2 L'
L' D' R2 F D' F2 B2
L' D' R2 F D' B2 F2
R D' R' L2 U L R'
R D' R' L2 U R' L
L' D' R2 F' D' F2 B2
L' D' R2 F' D' B2 F2
L' D' R2 F2 D' F2 B2
L' D' R2 F2 D' B2 F2
L' D' R2 B D' F2 B2
L' D' R2 B D' B2 F2
B2 U B' L' U2 F2 U2
B2 U B' L' D2 B2 D
B2 U B' L' D2 B2 D'
B2 U B' L' D2 B2 D2
B2 U B' L' B D2 B2
B2 U B' L' B' D2 B2
B2 U B' L' B2 D2 B2
L' D' R2 B' D' F2 B2
L' D' R2 B' D' B2 F2
B2 U B' L2 D2 L B2
L' D' R2 B2 D' F2 B2
L' D' R2 B2 D' B2 F2
L2 D' R2 D' L F2 B2
L2 D' R2 D' L B2 F2
L2 D' R2 D' F2 L B2
B2 U B' U2 F2 R U2
B2 U B' D L' D B2
B2 U B' D2 L B2 L2
B2 U B' D2 L' B2 D
B2 U B' D2 L' B2 D'
B2 U B' D2 L' B2 D2
B2 U B' D2 B L' B
B2 U B' D2 B2 L' D
B2 U B' D2 B2 L' D'
B2 U B' D2 B2 L' D2
B2 U B' D2 B2 D L'
B2 U B' D2 B2 D' L'
B2 U B' D2 B2 D2 L'
B2 U B2 L' U2 F2 U2
B2 U B2 L' D2 B2 D
B2 U B2 L' D2 B2 D'
B2 U B2 L' D2 B2 D2
B2 U B2 L' B D2 B2
B2 U B2 L' B' D2 B2
B2 U B2 L' B2 D2 B2
B2 U B2 L2 D2 L B2
L2 D' U R2 D' L B2
B2 U B2 U2 F2 R U2
B2 U B2 D L' D B2
U D' L' R2 U' L' U
B2 U B2 D2 L B2 L2
B2 U B2 D2 L' B2 D
B2 U B2 D2 L' B2 D'
B2 U B2 D2 L' B2 D2
B2 U B2 D2 B L' B
B2 U B2 D2 B2 L' D
B2 U B2 D2 B2 L' D'
B2 U B2 D2 B2 L' D2
B2 U B2 D2 B2 D L'
B2 U B2 D2 B2 D' L'
B2 U B2 D2 B2 D2 L'
U D' L' U' L' U R2
F2 U B2 F2 U L' F2
D U' L2 U' R2 U' L
D U' L2 U2 L D B2
D U' L2 U2 D L B2
D U' L2 D U2 L B2
D U' L2 D' F2 U2 L
B2 U' L F2 U2 L2 R
B2 U' L F2 U2 R L2
L' D' F L2 U L2 R2
L' D' F L2 U R2 L2
L' D' F R2 D' F2 B2
L' D' F R2 D' B2 F2
L2 D' F L2 U L' R2
L2 D' F L2 U R2 L'
B2 U' L' F2 L U2 L'
L' D' F' L2 U L2 R2
L' D' F' L2 U R2 L2
U D' R D' L' R B2
U D' R D' L' B2 R
U D' R D' R L' B2
U D' R D' R B2 L'
U D' R D' B2 L' R
U D' R D' B2 R L'
L' D' F' R2 D' F2 B2
L' D' F' R2 D' B2 F2
L2 D' F' L2 U L' R2
L2 D' F' L2 U R2 L'
B2 U' L2 F2 L2 U2 L'
L' D' F2 L2 U L2 R2
L' D' F2 L2 U R2 L2
U D' R' D' L' R' B2
U D' R' D' R' L' B2
U D' R' D' R' B2 L'
L' D' F2 R2 D' F2 B2
L' D' F2 R2 D' B2 F2
B2 U' R U2 L' D2 B2
B2 U' R U2 D2 L' B2
B2 U' R U2 D2 B2 L'
F2 U' R U B2 L U
L2 D' F2 L2 U L' R2
L2 D' F2 L2 U R2 L'
B2 U' R D2 U2 L' B2
B2 U' R D2 U2 B2 L'
U D' R2 L' U' L' U
B2 U' R F2 R U2 D
B2 U' R F2 R U2 D'
B2 U' R F2 R U2 D2
B2 U' R F2 R D U2
B2 U' R F2 R D' U2
B2 U' R F2 R D2 U2
B2 U' R F2 D R U2
B2 U' R F2 D' R U2
B2 U' R F2 D2 R U2
U D' R2 U' L2 U L
R2 D' F2 R2 D' B2 L
L' D' B L2 U L2 R2
L' D' B L2 U R2 L2
U D' R2 D L' D2 B2
U D' R2 D' L B2 L2
U D' R2 D' L' B2 D
U D' R2 D' L' B2 D'
U D' R2 D' L' B2 D2
U D' R2 D' B L' B
U D' R2 D' B2 L' D
U D' R2 D' B2 L' D'
U D' R2 D' B2 L' D2
U D' R2 D' B2 D L'
U D' R2 D' B2 D' L'
U D' R2 D' B2 D2 L'
U D' R2 D2 L' D B2
L' D' B R2 D' F2 B2
L' D' B R2 D' B2 F2
B2 U' R' U2 L' D2 B2
B2 U' R' U2 D2 L' B2
B2 U' R' U2 D2 B2 L'
U D' R2 B D' L' B2
U D' R2 B D' B2 L'
U D' R2 B' D' L' B2
U D' R2 B' D' B2 L'
B2 U' R' D2 U2 L' B2
B2 U' R' D2 U2 B2 L'
U D' R2 B2 D' L' B2
U D' R2 B2 D' B2 L'
B2 U' R' F2 R U2 D
B2 U' R' F2 R U2 D'
B2 U' R' F2 R U2 D2
B2 U' R' F2 R D U2
B2 U' R' F2 R D' U2
B2 U' R' F2 R D2 U2
B2 U' R' F2 D R U2
B2 U' R' F2 D' R U2
B2 U' R' F2 D2 R U2
L' D' B' L2 U L2 R2
L' D' B' L2 U R2 L2
L' D' B' R2 D' F2 B2
L' D' B' R2 D' B2 F2
B2 U' R2 U2 L' D2 B2
B2 U' R2 U2 D2 L' B2
B2 U' R2 U2 D2 B2 L'
B2 U' R2 D2 U2 L' B2
B2 U' R2 D2 U2 B2 L'
B2 U' R2 F2 R U2 D
B2 U' R2 F2 R U2 D'
B2 U' R2 F2 R U2 D2
B2 U' R2 F2 R D U2
B2 U' R2 F2 R D' U2
B2 U' R2 F2 R D2 U2
B2 U' R2 F2 D R U2
B2 U' R2 F2 D' R U2
B2 U' R2 F2 D2 R U2
L' D' B2 L2 U L2 R2
L' D' B2 L2 U R2 L2
L' D' B2 R2 D' F2 B2
L' D' B2 R2 D' B2 F2
L D' B' L2 F U R2
B2 U' D2 R U2 L' B2
B2 U' D2 R U2 B2 L'
B2 U' D2 R' U2 L' B2
B2 U' D2 R' U2 B2 L'
B2 U' D2 R2 U2 L' B2
B2 U' D2 R2 U2 B2 L'
U D' B R2 D' L' B2
U D' B R2 D' B2 L'
B2 U' D2 F2 R U2 B2
B2 U' F R F R U2
B2 U' F R' F R U2
B2 U' F R2 F R U2
U D' B' R2 D' L' B2
U D' B' R2 D' B2 L'
B2 U' F D F R U2
B2 U' F D' F R U2
B2 U' F D2 F R U2
F' U' F' R U B2 U
F' U' F' R U2 D' R2
F' U' F' R D L2 U2
F' U' F' R D' U2 R2
F' U' F' D L2 R U2
F' U' F' D R L2 U2
F' U' F' D' R U2 R
U D' B2 R2 D' L' B2
U D' B2 R2 D' B2 L'
R2 D2 L2 F2 U' L B2
B' U' F2 R U B' U
B2 U' F2 R' U2 D2 L2
B2 U' F2 R' D2 U2 L2
B2 U' F2 R2 D R' U2
B2 U' F2 R2 D' R' U2
B2 U' F2 R2 D2 R' U2
B2 U' F2 U F2 U L'
B2 U' F2 U2 F2 L' F2
B2 U' F2 D R U2 D
B2 U' F2 D R U2 D'
B2 U' F2 D R U2 D2
B2 U' F2 D R D U2
B2 U' F2 D R D' U2
B2 U' F2 D R D2 U2
B2 U' F2 D' R U2 D
B2 U' F2 D' R U2 D'
B2 U' F2 D' R U2 D2
B2 U' F2 D' R D U2
B2 U' F2 D' R D' U2
B2 U' F2 D' R D2 U2
B2 U' F2 D2 R U2 D
B2 U' F2 D2 R U2 D'
B2 U' F2 D2 R U2 D2
B2 U' F2 D2 R D U2
B2 U' F2 D2 R D' U2
B2 U' F2 D2 R D2 U2
B2 U' F2 B R B' U2
B2 U' F2 B2 R B2 U2
U D2 L B2 L2 D R2
U D2 L' R B2 D R2
U D2 L' R' B2 D R2
U D2 L' R2 B2 D R2
U D2 L' U F2 U' B2
U D2 L' D R2 D' B2
B2 U' B F2 R B' U2
U D2 L' B D B R2
U D2 L' B' D R2 B'
U D2 L' B' D B' R2
U D2 L' B2 R D R2
U D2 L' B2 R' D R2
U D2 L' B2 R2 D R2
U D2 L' B2 U F2 U'
U D2 L' B2 D R2 D
U D2 L' B2 D R2 D'
U D2 L' B2 D R2 D2
L' D2 U F2 U' F2 B2
L' D2 U F2 U' B2 F2
L2 D2 U L B2 D R2
L' D2 U B2 D L2 R2
L' D2 U B2 D R2 L2
U D2 R L' B2 D R2
B2 U' B2 F2 R B2 U2
U D2 R B2 L' D R2
U D2 R B2 D L' R2
U D2 R B2 D R2 L'
U D2 R' L' B2 D R2
D U2 R2 U L2 U2 L
L2 D2 U2 F2 U' L B2
D U2 R2 U' D2 L' R2
D U2 R2 U' D2 R2 L'
U D2 R' B2 L' D R2
U D2 R' B2 D L' R2
U D2 R' B2 D R2 L'
U D2 R2 L' B2 D R2
D U2 R2 D2 U' L' R2
D U2 R2 D2 U' R2 L'
U D2 R2 B2 L' D R2
U D2 R2 B2 D L' R2
U D2 R2 B2 D R2 L'
D2 U2 F2 R2 U' B2 L
D2 U2 F2 U R U2 B2
B2 U2 R U F2 R U2
B2 U2 R U' L' D2 B2
B2 U2 R U' D2 L' B2
B2 U2 R U' D2 B2 L'
B2 U2 R D R2 U' L'
B2 U2 R D2 U' L' B2
B2 U2 R D2 U' B2 L'
U2 D2 F2 R2 U' B2 L
U2 D2 F2 U R U2 B2
B2 U2 R' U F2 R U2
B2 U2 R' U' L' D2 B2
B2 U2 R' U' D2 L' B2
B2 U2 R' U' D2 B2 L'
B2 U2 R' D R2 U' L'
B2 U2 R' D2 U' L' B2
B2 U2 R' D2 U' B2 L'
U D2 F2 U' F2 L' B2
U D2 F2 U' F2 B2 L'
U D2 F2 U' B2 F2 L'
B2 U2 R2 U F2 R U2
B2 U2 R2 U' L' D2 B2
B2 U2 R2 U' D2 L' B2
B2 U2 R2 U' D2 B2 L'
U D2 B L' D B R2
B2 U2 R2 D R2 U' L'
U D2 B L' B D R2
B2 U2 R2 D2 U' L' B2
B2 U2 R2 D2 U' B2 L'
U D2 B D L' B R2
U D2 B D B L' R2
U D2 B D B R2 L'
L' D2 B2 U F2 U' F2
B2 U2 D R2 U' L' D
B2 U2 D R2 U' L' D'
B2 U2 D R2 U' L' D2
B2 U2 D R2 U' D L'
B2 U2 D R2 U' D' L'
B2 U2 D R2 U' D2 L'
B2 U2 D R2 D U' L'
B2 U2 D R2 D' U' L'
B2 U2 D R2 D2 U' L'
B2 U2 D R2 B U' L'
B2 U2 D R2 B' U' L'
B2 U2 D R2 B2 U' L'
L' D2 B2 D R2 D' F2
B2 U2 D B R2 U' L'
B2 U2 D B' R2 U' L'
B2 U2 D B2 R2 U' L'
U D2 B' D R2 B' L'
U D2 B' D B' L' R2
U D2 B' D B' R2 L'
R2 D2 B2 D L' R2 F2
R2 D2 B2 D L' F2 R2
R2 D2 B2 D R2 L' F2
U D2 B2 L' R D R2
U D2 B2 L' R' D R2
U D2 B2 L' R2 D R2
U D2 B2 L' U F2 U'
U D2 B2 L' D R2 D
U D2 B2 L' D R2 D'
U D2 B2 L' D R2 D2
U D2 B2 L2 D L R2
U D2 B2 L2 D R2 L
U D2 B2 R L' D R2
U D2 B2 R D L' R2
U D2 B2 R D R2 L'
U D2 B2 R' L' D R2
U D2 B2 R' D L' R2
U D2 B2 R' D R2 L'
R D2 B2 L' D R2 F2
U D2 B2 R2 L' D R2
R D2 B2 L' D F2 R2
U D2 B2 R2 D L' R2
U D2 B2 R2 D R2 L'
B2 U2 D2 R U' L' B2
B2 U2 D2 R U' B2 L'
U D2 B2 D L' R2 D
U D2 B2 D L' R2 D'
U D2 B2 D L' R2 D2
B2 U2 D2 R' U' L' B2
B2 U2 D2 R' U' B2 L'
U D2 B2 D R2 L' D
U D2 B2 D R2 L' D'
U D2 B2 D R2 L' D2
U D2 B2 D R2 D L'
U D2 B2 D R2 D' L'
U D2 B2 D R2 D2 L'
B2 U2 D2 R2 U' L' B2
B2 U2 D2 R2 U' B2 L'
U D2 B2 D2 L' D' R2
B2 U2 D2 B U' L' B
B2 U2 D2 B U' B L'
B2 U2 D2 B' U' B' L'
D' F L2 F' U L' R2
D' F L2 F' U R2 L'
L' F L2 B2 U L2 B
L' F L2 B2 U B L2
L2 F L2 B2 U L' B
L2 F L2 B2 U B L'
B2 U2 B U F2 R U2
B2 U2 B U' L' D2 B2
B2 U2 B U' D2 L' B2
B2 U2 B U' D2 B2 L'
B2 U2 B D R2 U' L'
B2 U2 B D2 U' L' B2
B2 U2 B D2 U' B2 L'
L' F R2 D' F2 R2 B
B2 U2 B' U F2 R U2
B2 U2 B' U' L' D2 B2
B2 U2 B' U' D2 L' B2
B2 U2 B' U' D2 B2 L'
B2 U2 B' D R2 U' L'
B2 U2 B' D2 U' L' B2
B2 U2 B' D2 U' B2 L'
B2 U2 B2 U F2 R U2
B2 U2 B2 U' L' D2 B2
B2 U2 B2 U' D2 L' B2
B2 U2 B2 U' D2 B2 L'
B2 U2 B2 D R2 U' L'
B2 U2 B2 D2 U' L' B2
B2 U2 B2 D2 U' B2 L'
L F U L2 D' R2 B'
L F U L2 D' B' R2
B2 D L U L2 D B2
B2 D L U2 R2 U' L2
B2 D L D F2 U B2
B2 D L' D2 L2 U L2
U' F D F L2 R U2
U' F D F R L2 U2
F2 D L2 R U R' U
B2 D L2 U L D B2
B2 D L2 U D L B2
B2 D L2 U2 R2 U' L
B2 D L2 D U L B2
B2 D L2 D2 L2 U L'
U' F D' F R U2 R
F2 D R L2 U R' U
B2 D U L' U R2 U'
B2 D U L' D B2 D
B2 D U L' D B2 D'
B2 D U L' D B2 D2
B2 D U L' B D B2
B2 D U L' B' D B2
B2 D U L' B2 D B2
L' F B2 L2 U B' L2
B2 D U L2 D L B2
B2 D U B L' D B2
B2 D U B D L' B2
B2 D U B D B2 L'
B2 D U B' L' D B2
B2 D U B' D L' B2
B2 D U B' D B2 L'
B2 D U B2 L' D B2
B2 D U B2 D L' B2
B2 D U B2 D B2 L'
L2 F B2 U' R' F U2
L2 F B2 U' F R' U2
L F B2 L U L B'
B2 D U2 R2 U' L' D
B2 D U2 R2 U' L' D'
B2 D U2 R2 U' L' D2
B2 D U2 R2 U' D L'
B2 D U2 R2 U' D' L'
B2 D U2 R2 U' D2 L'
B2 D U2 R2 D U' L'
B2 D U2 R2 D' U' L'
B2 D U2 R2 D2 U' L'
B2 D U2 R2 B U' L'
B2 D U2 R2 B' U' L'
B2 D U2 R2 B2 U' L'
L F B2 U L2 D B'
L F B2 U L2 D' B'
L F B2 U L2 D2 B'
L F B2 U L2 B' D
L F B2 U L2 B' D'
L F B2 U L2 B' D2
L F B2 U B L2 B'
L F B2 U B' L2 B'
L F B2 U B2 L2 B'
L F B2 U' F U2 L2
B2 D U2 B R2 U' L'
B2 D U2 B' R2 U' L'
B2 D U2 B2 R2 U' L'
D' F' L2 F U L' R2
D' F' L2 F U R2 L'
L' F' R2 D' F2 B R2
L' F' R2 D' B R2 F2
L' F' R2 D' B F2 R2
B' D B' U L' D B2
B' D B' U D L' B2
B' D B' U D B2 L'
B' D B' U2 R2 U' L'
B' D B' D U L' B2
B' D B' D U B2 L'
B' D B' D2 L2 U L
B D B U L' D B2
B D B U D L' B2
B D B U D B2 L'
B D B U2 R2 U' L'
B D B D U L' B2
B D B D U B2 L'
B D B D2 L2 U L
L2 F' U L D' R2 B
L2 F' U D' L R2 B
L2 F' U D' R2 L B
L F' U L2 D' R2 B
B2 D' L D L F2 U
B2 D' L D F2 L U
B2 D' L F L U L
B2 D' L F' L U L
B2 D' L F2 L U L
B2 D' L' D L' U L
B2 D' L' D' L' U L
B2 D' L' D2 L' U L
B' D' L2 U2 F U' L
F' D' L2 U R2 B L
B2 D' L2 U L2 D L'
B2 D' L2 U L2 D' L'
B2 D' L2 U L2 D2 L'
B2 D' L2 U D L D
B2 D' L2 U D L D'
B2 D' L2 U D L D2
B2 D' L2 U D' L D
B2 D' L2 U D' L D'
B2 D' L2 U D' L D2
B2 D' L2 U D2 L D
B2 D' L2 U D2 L D'
B2 D' L2 U D2 L D2
B2 D' L2 U F L F'
B2 D' L2 U F2 L F2
B2 D' L2 U' R U2 L
B2 D' L2 U' R' U2 L
B2 D' L2 U' R2 U2 L
B2 D' L2 D U L D
B2 D' L2 D U L D'
B2 D' L2 D U L D2
B2 D' L2 D F U L
B2 D' L2 D F' U L
B2 D' L2 D F2 U L
B2 D' L2 D' U L D
B2 D' L2 D' U L D'
B2 D' L2 D' U L D2
B2 D' L2 D' F U L
B2 D' L2 D' F' U L
B2 D' L2 D' F2 U L
B2 D' L2 D2 U L D
B2 D' L2 D2 U L D'
B2 D' L2 D2 U L D2
B2 D' L2 D2 F U L
B2 D' L2 D2 F' U L
B2 D' L2 D2 F2 U L
B2 D' L2 F U L D
B2 D' L2 F U L D'
B2 D' L2 F U L D2
B2 D' L2 F U D L
B2 D' L2 F U D' L
B2 D' L2 F U D2 L
L' F' D' R2 D' F2 B
L' F' D' R2 D' B F2
B2 D' L2 F D U L
B2 D' L2 F D' U L
B2 D' L2 F D2 U L
L' F' D' R2 B D' F2
B2 D' L2 F' U L D
B2 D' L2 F' U L D'
B2 D' L2 F' U L D2
B2 D' L2 F' U D L
B2 D' L2 F' U D' L
B2 D' L2 F' U D2 L
B2 D' L2 F' D U L
B2 D' L2 F' D' U L
B2 D' L2 F' D2 U L
B D' L' B L' U L
B2 D' L2 F2 U L D
B2 D' L2 F2 U L D'
B2 D' L2 F2 U L D2
B2 D' L2 F2 U D L
B2 D' L2 F2 U D' L
B2 D' L2 F2 U D2 L
B2 D' L2 F2 D U L
B2 D' L2 F2 D' U L
B2 D' L2 F2 D2 U L
L2 F' D' U L R2 B
L2 F' D' U R2 L B
F2 D' R U R' U R2
F2 D' R U2 R D' F2
B2 D' U L' U' L' U
U' F2 L R U B2 U
U' F2 L R U2 D' R2
U' F2 L R D L2 U2
U' F2 L R D' U2 R2
U' F2 L D L2 R U2
U' F2 L D R L2 U2
B2 D' U B D' L' B2
B2 D' U B D' B2 L'
U' F2 L D' R U2 R
B2 D' U B' D' L' B2
B2 D' U B' D' B2 L'
B2 D' U B2 D' L' B2
B2 D' U B2 D' B2 L'
L2 F' B2 U' F' R' U2
U' F2 L' R U B2 U
U' F2 L' R U2 D' R2
U' F2 L' R D L2 U2
U' F2 L' R D' U2 R2
U' F2 L' D L2 R U2
U' F2 L' D R L2 U2
U' F2 L' D' R U2 R
L F' B2 U' F' U2 L2
U' F2 L2 R U B2 U
U' F2 L2 R U2 D' R2
U' F2 L2 R D L2 U2
U' F2 L2 R D' U2 R2
U' F2 L2 D L2 R U2
U' F2 L2 D R L2 U2
B2 D' F L2 F' U L'
U' F2 L2 D' R U2 R
D' F2 L2 U' R U2 R
U' F2 R L U B2 U
D' F2 L2 F2 U L' R2
D' F2 L2 F2 U R2 L'
U' F2 R L U2 D' R2
U' F2 R L D L2 U2
U' F2 R L D' U2 R2
U' F2 R L' U B2 U
U' F2 R L' U2 D' R2
U' F2 R L' D L2 U2
U' F2 R L' D' U2 R2
U' F2 R L2 U B2 U
U' F2 R L2 U2 D' R2
U' F2 R L2 D L2 U2
U' F2 R L2 D' U2 R2
U' F2 R U B2 U D
U' F2 R U B2 U D'
U' F2 R U B2 U D2
U' F2 R U B2 D U
U' F2 R U B2 D' U
U' F2 R U B2 D2 U
U' F2 R U' D2 F2 U'
U' F2 R U2 R D' R2
U' F2 R U2 R' D' R2
U' F2 R U2 R2 D' R2
U' F2 R U2 D' R2 D
U' F2 R U2 D' R2 D'
U' F2 R U2 D' R2 D2
U' F2 R D L2 U2 D
U' F2 R D L2 U2 D'
U' F2 R D L2 U2 D2
U' F2 R D L2 D U2
U' F2 R D L2 D' U2
U' F2 R D L2 D2 U2
B2 D' F' L2 F U L'
U' F2 R D' L U2 R2
U' F2 R D' L' U2 R2
U' F2 R D' L2 U2 R2
U' F2 R D' U2 R2 D
U' F2 R D' U2 R2 D'
U' F2 R D' U2 R2 D2
U' F2 R D2 U' F2 U'
B2 D' F2 L2 U' R U2
B2 D' F2 L2 F2 U L'
R2 F2 R U R B2 U
R2 F2 R U B2 R U
U' F2 R2 U B2 U L
U' F2 R2 D L2 R' U2
U' F2 R2 D R' L2 U2
U' F2 R2 D' R' U2 R'
U F2 R U B2 U F2
U F2 R U2 F2 D' R2
D' F2 R2 D' F2 B2 L
D' F2 R2 D' B2 L F2
D' F2 R2 D' B2 F2 L
R F2 R U R2 B2 U
R F2 R U B2 R2 U
B' D' B' L2 U L D
B' D' B' L2 U L D'
B' D' B' L2 U L D2
B' D' B' L2 U D L
B' D' B' L2 U D' L
B' D' B' L2 U D2 L
B' D' B' L2 D U L
B' D' B' L2 D' U L
B' D' B' L2 D2 U L
B' D' B' L2 F U L
B' D' B' L2 F' U L
B' D' B' L2 F2 U L
R F2 R U2 D' R2 F2
R F2 R U2 D' F2 R2
R F2 R D L2 B2 U2
R F2 R D B2 L2 U2
R F2 R D' U2 R2 F2
R F2 R D' U2 F2 R2
B' D' B' U D' L' B2
B' D' B' U D' B2 L'
B D' B L2 U L D
B D' B L2 U L D'
B D' B L2 U L D2
B D' B L2 U D L
B D' B L2 U D' L
B D' B L2 U D2 L
B D' B L2 D U L
B D' B L2 D' U L
B D' B L2 D2 U L
B D' B L2 F U L
B D' B L2 F' U L
B D' B L2 F2 U L
B' D' B' D' U L' B2
B' D' B' D' U B2 L'
B D' B U D' L' B2
B D' B U D' B2 L'
D' F2 U R2 D' B2 L
U' F2 U F2 B2 U L'
B D' B D' U L' B2
B D' B D' U B2 L'
U' F2 U B2 U' R U2
U' F2 U B2 F2 U L'
D2 F2 U' R U2 R' B2
U' F2 U' D2 F2 U' L'
R2 F2 U R2 B2 U L
D2 F2 U' B2 D2 F2 L'
B2 D2 L U L' B2 L'
B2 D2 L U L2 B2 D
B2 D2 L U L2 B2 D'
B2 D2 L U L2 B2 D2
B2 D2 L U B L2 B
B2 D2 L U B2 L2 D
B2 D2 L U B2 L2 D'
B2 D2 L U B2 L2 D2
L F2 U L2 D' R2 B2
L F2 U L2 D' B2 R2
B2 D2 L D L2 F2 U
B2 D2 L D F2 L2 U
B2 D2 L F U L2 B2
B2 D2 L F U B2 L2
B2 D2 L F' U L2 B2
B2 D2 L F' U B2 L2
B2 D2 L F2 U L2 B2
B2 D2 L F2 U B2 L2
U' F2 D L2 R U2 D
U' F2 D L2 R U2 D'
U' F2 D L2 R U2 D2
U' F2 D L2 R D U2
U' F2 D L2 R D' U2
U' F2 D L2 R D2 U2
U' F2 D L2 D R U2
U' F2 D L2 D' R U2
U' F2 D L2 D2 R U2
U' F2 D R L2 U2 D
U' F2 D R L2 U2 D'
U' F2 D R L2 U2 D2
U' F2 D R L2 D U2
U' F2 D R L2 D' U2
U' F2 D R L2 D2 U2
U' F2 D R U2 D2 R2
U' F2 D R D2 U2 R2
U F2 U B2 U F2 L'
B2 D2 L' U B2 D L2
B2 D2 L' D L2 U L2
B D2 L B U L2 B
U' F2 D' L R U2 R
B D2 L B U B L2
R2 F2 U2 D' F2 L' R2
R2 F2 U2 D' F2 R2 L'
U' F2 D' L' R U2 R
U' F2 D' L2 R U2 R
U' F2 D' R L U2 R
U' F2 D' R L' U2 R
U' F2 D' R L2 U2 R
U' F2 D' R U2 R D
U' F2 D' R U2 R D'
U' F2 D' R U2 R D2
U' F2 D' R U2 D R
U' F2 D' R U2 D' R
U' F2 D' R U2 D2 R
U' F2 D' R D U2 R
U' F2 D' R D' U2 R
U' F2 D' R D2 U2 R
B2 D2 L2 U L B2 D
B2 D2 L2 U L B2 D'
B2 D2 L2 U L B2 D2
B2 D2 L2 U L' B2 L2
B2 D2 L2 U L2 B2 L'
B2 D2 L2 D L2 U L'
R2 F2 D L2 R B2 U2
R2 F2 D L2 B2 R U2
R2 F2 D R L2 B2 U2
R2 F2 D R B2 L2 U2
B2 D2 L2 F U L B2
B2 D2 L2 F' U L B2
B2 D2 L2 F2 U L B2
