L2 U2 D' F L'
L2 D' U2 F L'
L2 R U F' U F2
L2 R U2 F D' L2
L2 R' U' B U' F
R L2 U F' U F2
R' L2 U' B U' F
R L2 U2 F D' L2
R L2 U2 F D' L2
B' L2 R U F' U
B' L2 R' U' B U'
B2 L2 D B R' U2
L2 U R F' U F2
B' R L2 U F' U
B' R' L2 U' B U'
L2 U2 D' F L' D
L2 U2 D' F L' D'
L2 U2 D' F L' D2
L2 U2 D' F D L'
L2 U2 D' F D' L'
L2 U2 D' F D2 L'
L2 D B R' U2 F
L2 D B' U2 F L
L D' L U2 F L'
L2 D' R U2 F L'
L2 D' R U2 F L'
L2 D' R' U2 F L'
L2 D' R2 U2 F L'
L2 D' U2 F L' D
L2 D' U2 F L' D'
L2 D' U2 F L' D2
L2 D' U2 F L' D2
L2 D' U2 F D L'
L2 D' U2 F D' L'
L2 D' U2 F D2 L'
L2 D' B U2 F L'
L2 D' B' U2 F L'
L2 D' B2 U2 F L'
L2 B U2 D' F L'
L2 B D' U2 F L'
R' B' L2 U' B2 U'
R' B' L2 U2 D L2
R' B' L2 D U2 L2
R' B' L2 D' R2 U2
R B' L2 U F' U
L2 B' U2 D' F L'
D B' U' F2 U' L
D B' U2 L D R2
D B' U2 D L R2
D B' U2 D R2 L
L2 B' D' U2 F L'
D B' D U2 L R2
D B' D U2 R2 L
D B' D' L2 U2 L'
L2 B2 U2 D' F L'
L2 B2 D' U2 F L'
L2 B' D' U2 F L' D'
L2 B' D' U2 F L' D2
L2 B' D' U2 F D L'
L2 B' D' U2 F D' L'
L2 B' D' U2 F D2 L'
R' B' D2 U2 R2 D' L2
D' B' D2 U B' U L
L2 B' D' B U2 F L'
D B' D' L2 R U2 L'
D B' D' L2 R' U2 L'
D B' D' L2 R2 U2 L'
D B' D' L2 U2 L' D
D B' D' L2 U2 L' D'
D B' D' L2 U2 L' D2
D B' D' L2 U2 D L'
D B' D' L2 U2 D' L'
D B' D' L2 U2 D2 L'
D B' D' L2 D U2 L'
D B' D' L2 D' U2 L'
D B' D' L2 D2 U2 L'
L2 B' D' B' U2 F L'
D B' D' R L2 U2 L'
L2 B' D' B2 U2 F L'
D B' D' R' L2 U2 L'
D B' D' R2 L2 U2 L'
D B' D2 U2 L D' R2
R B' D' U F' B2 U
R B' D' U B2 F' U
R B' D2 U F' U R2
L' B2 L' U2 D' F L'
L' B2 L' D' U2 F L'
R' B2 L2 B U F U
L2 B2 R U F' U F2
L2 B2 R U2 F D' L2
L2 B2 R' U' B U' F
R B2 L2 B U F' U
L2 B2 U R F' U F2
L2 B2 U2 D' F L' D
L2 B2 U2 D' F L' D'
L2 B2 U2 D' F L' D2
L2 B2 U2 D' F D L'
L2 B2 U2 D' F D' L'
L2 B2 U2 D' F D2 L'
D B2 U2 D R2 F' L'
L2 B2 D B R' U2 F
L2 B2 D B' U2 F L
L2 B2 D' R U2 F L'
L2 B2 D' R' U2 F L'
D B2 D U2 R2 F' L'
L2 B2 D' R2 U2 F L'
L2 B2 D' U2 F L' D
L2 B2 D' U2 F L' D'
L2 B2 D' U2 F L' D2
L2 B2 D' U2 F D L'
L2 B2 D' U2 F D' L'
L2 B2 D' U2 F D2 L'
D B2 D B U2 L R2
D B2 D B U2 R2 L
L2 B2 D' B U2 F L'
L2 B2 D' B' U2 F L'
L2 B2 D' B2 U2 F L'
D B2 D' L2 B U2 L
D B2 D' B L2 U2 L'
