F' U F' U' L'
U F2 U' F L'
F' L U F' U' L'
U L F2 U' F L'
F' L' U F' U' L'
U L' F2 U' F L'
F' L2 U F' U' L'
U L2 F2 U' F L'
L' U F2 U' F L'
L2 U F2 U' F L'
L U F2 U' F L'
F2 R B U' F B'
F2 R B U' B' F
F' U D F' U' L'
F' U D' F' U' L'
F' U D2 F' U' L'
F' U F' U' L' D
F' U F' U' L' D'
F' U F' U' L' D2
F' U F' U' D L'
F' U F' U' D' L'
F' U F' U' D2 L'
F' U F' D U' L'
F' U F' D' U' L'
F' U F' D2 U' L'
F' U F' B U' L'
F' U F' B' U' L'
F' U F' B2 U' L'
F' U B F' U' L'
F' U B' F' U' L'
F' U B2 F' U' L'
F' D U F' U' L'
L' F' U F' U' L'
L2 F' U F' U' L'
L F' U F' U' L'
F' D' U F' U' L'
D F2 R2 D' F L'
U F2 U' F L' D
U F2 U' F L' D'
U F2 U' F L' D2
U F2 U' F D L'
U F2 U' F D' L'
U F2 U' F D2 L'
F' D2 U F' U' L'
U F2 B U' F L'
U F2 B' U' F L'
U F2 B2 U' F L'
U B F2 U' F L'
F2 B' U' F B L
F2 B' U' B F L
U B' F2 U' F L'
D2 B2 U F' L' B2
D2 B2 U F' B2 L'
D2 B2 U B2 F' L'
B' F2 U' F B L
B' F2 U' B F L
B' F2 U' B F L
U B2 F2 U' F L'
D2 B2 U B2 D2 F' L'
D2 B2 U B2 F' L' D
D2 B2 U B2 F' L' D'
D2 B2 U B2 F' L' D2
D2 B2 U B2 F' D L'
D2 B2 U B2 F' D' L'
D2 B2 U B2 F' D2 L'
F2 B2 R B U' F B
F2 B2 R B U' B F
B F2 R B U' F B2
B F2 R B U' B2 F
D B2 U F' L' R2 B2
D B2 U F' L' B2 R2
D B2 U F' R2 L' B2
D B2 U F' R2 B2 L'
D B2 U F' B2 L' R2
D B2 U F' B2 R2 L'
D B2 U B2 F' L' R2
D B2 U B2 F' R2 L'
U2 B2 U' F2 U' F L'
D2 B2 D L2 U F' L'
B' F2 U' L' B L F
F' B2 U F' U' L' B2
F' B2 U F' U' B2 L'
B' F2 U' D F B L
B' F2 U' D B F L
B' F2 U' D' F B L
B' F2 U' D' B F L
B' F2 U' D2 F B L
B' F2 U' D2 B F L
B' F2 U' F L B L
B' F2 U' F L' B L
B' F2 U' F L2 B L
B' F2 U' F D B L
B' F2 U' F D' B L
B' F2 U' F D2 B L
B' F2 U' F B L D
B' F2 U' F B L D'
B' F2 U' F B L D2
B' F2 U' F B D L
B' F2 U' F B D' L
B' F2 U' F B D2 L
B' F2 U' F' B L F2
B' F2 U' F2 B L F'
B' F2 U' B D F L
B' F2 U' B D' F L
B' F2 U' B D2 F L
B' F2 U' B F L D
B' F2 U' B F L D'
B' F2 U' B F L D2
B' F2 U' B F D L
B' F2 U' B F D' L
B' F2 U' B F D2 L
B' F2 U' B F' L F2
B' F2 U' B F2 L F'
B2 F2 U' F B L B
F2 B2 U' F B L B
B2 F2 U' B F L B
B2 F2 U' B2 D2 F L'
F2 B2 U' B F L B
F2 B2 U' B2 D2 F L'
B F2 U' F B L B2
B' F2 D U' F B L
B' F2 D U' B F L
B F2 U' B F L B2
B' F2 D' U' F B L
B' F2 D' U' B F L
B' F2 D2 U' F B L
B' F2 D2 U' B F L
U B2 F2 U' F L' D
U B2 F2 U' F L' D'
U B2 F2 U' F L' D2
U B2 F2 U' F D L'
U B2 F2 U' F D' L'
U B2 F2 U' F D2 L'
