F2 L R U2 B U
F2 L R' F' R2 U'
F' L R' F' R U'
L R U2 L2 B U
R L U2 L2 B U
L R U2 B L2 U
R L U2 B L2 U
R' L D' F' U' B2
R' L D2 F' R2 U'
L R D2 R2 F' U'
R L D2 R2 F' U'
R' L F' U' D' B2
R' L F' U2 L2 U
R' L F' D' U' B2
R' L F' D2 R2 U'
L R' D' F' U' B2
L R' D2 F' R2 U'
U2 L' U2 L2 F U'
L R' F' U' D' B2
L R' F' U2 L2 U
L R' F' D' U' B2
L R' F' D2 R2 U'
U2 L' D B' U F2
U2 L' D2 R2 B' U
U2 L' D2 B' R2 U
U2 L' B' U D F2
U2 L' B' U2 L2 U'
U2 L' B' D U F2
U2 L' B' D2 R2 U
F2 R L U2 B U
F' R' L F' R U'
L U' D' B' R' B'
F2 R' L F' R2 U'
L U' B D' B2 R'
L U' B' R' D' B2
L U' B' D' R' B2
F' R' F' L R U'
F' R' F' R L U'
L U2 L' B' L' U
F2 R' F' L R2 U'
F2 R' F' R2 L U'
L D' R' F' U' B2
L D' U' B' R' B'
L D2 R' F' R' U'
F' D' L U' B' R'
R' F' D' L U' B'
R2 F2 L R F' U'
R' F2 R F L U'
R2 F2 R L F' U'
R2 F2 R F' L U'
U2 B' L' B' R' U
U2 B2 L' R' B' U
U2 B2 R' L' B' U
U2 B2 R' L' B' U
U2 D' B2 L' R' B' U
R D2 L D2 R2 F' U'
U2 D' B2 R' L' B' U
D' U2 L' U2 L2 F U'
D' U2 L' D B' U F2
D2 U2 L' U2 L2 F U'
D' U2 L' D2 R2 B' U
D' U2 L' D2 B' R2 U
D2 U2 L' D B' U F2
D2 U2 L' D2 R2 B' U
D2 U2 L' D2 B' R2 U
D' U2 L' B' U D F2
D' U2 L' B' U2 L2 U'
D' U2 L' B' D U F2
D' U2 L' B' D2 R2 U
D2 U2 L' B' U D F2
D2 U2 L' B' U2 L2 U'
D2 U2 L' B' D U F2
D2 U2 L' B' D2 R2 U
U2 D2 L' U2 L2 F U'
U2 D2 L' D B' U F2
U2 D2 L' D2 R2 B' U
U2 D2 L' D2 B' R2 U
D U2 L' U2 L2 F U'
U2 D2 L' B' U D F2
U2 D2 L' B' U2 L2 U'
U2 D2 L' B' D U F2
U2 D2 L' B' D2 R2 U
D U2 L' D B' U F2
D U2 L' D2 R2 B' U
D U2 L' D2 B' R2 U
D U2 L' B' U D F2
D U2 L' B' U2 L2 U'
D U2 L' B' D U F2
D U2 L' B' D2 R2 U
L D2 R' D F' R' U'
L D2 R' D' F' R' U'
L D2 R' D2 F' R' U'
L D2 R' F R' F2 U'
L D2 R' F' R' U' D
L D2 R' F' R' U' D'
L D2 R' F' R' U' D2
L D2 R' F' R' D U'
L D2 R' F' R' D' U'
L D2 R' F' R' D2 U'
L D2 R' F' D R' U'
L D2 R' F' D' R' U'
L D2 R' F' D2 R' U'
L D2 R' F2 R' F U'
L D2 R2 D' F' U' R
L D2 U' B D B2 R'
L D2 U' B' D R' B2
R' D2 F' D' L U' B'
L D2 F R' F' R' U'
R' D2 F2 R F L U'
L D2 F' R' F' R' U'
D' U2 B' L' B' R' U
L D2 F2 R' F' R' U'
D2 U2 B' L' B' R' U
U2 D2 B' L' B' R' U
D' U2 B2 L' R' B' U
D2 U2 B2 L' R' B' U
D' U2 B2 R' L' B' U
D2 U2 B2 R' L' B' U
D U2 B' L' B' R' U
U2 D2 B2 L' R' B' U
U2 D2 B2 R' L' B' U
D U2 B2 L' R' B' U
R' F L F R F U'
D U2 B2 R' L' B' U
R2 F L F R F' U'
R F L U2 B L U
L F R U2 L2 B U
L F R U2 B L2 U
L F R D2 R2 F' U'
L F R' D' F' U' B2
L F R' D2 F' R2 U'
L F R' F' U' D' B2
L F R' F' U2 L2 U
L F R' F' D' U' B2
L F R' F' D2 R2 U'
F' D L R' F' U' B
F2 D L R U2 B U
F' D L U' B' R' B
F2 D L R' F' R2 U'
L F U' D' B' R' B'
L F U' B D' B2 R'
L F U' B' R' D' B2
L F U' B' D' R' B2
L F U2 L' B' L' U
F2 D R L U2 B U
F' D R' L F' U' B
F2 D R' L F' R2 U'
L F D' R' F' U' B2
F' D R' F' L U' B
L F D' U' B' R' B'
F2 D R' F' L R2 U'
F2 D R' F' R2 L U'
L F D2 R' F' R' U'
D' F' L R' F' R U'
D2 F' L R' F' R U'
R' F' L D R' U' B
R' F' L F' R F U'
R2 F' L R F' R U'
D F' L R' F' R U'
R2 F' L F' R F' U'
R F' L R2 F' R U'
R' F' R D' L U' B'
D2 F' R' L F' R U'
D' F' R' L F' R U'
R2 F' R L F' R U'
R' F' R' D' L U' B'
D2 F' R' F' L R U'
D' F' R' F' L R U'
D2 F' R' F' R L U'
D' F' R' F' R L U'
R2 F' R F' L R U'
R2 F' R F' R L U'
L F' R U2 L2 B U
L F' R U2 B L2 U
R' F' R2 D' L U' B'
D F' R' L F' R U'
L F' R D2 R2 F' U'
D F' R' F' L R U'
D F' R' F' R L U'
L F' R' D' F' U' B2
L F' R' D2 F' R2 U'
L F' R' F' U' D' B2
L F' R' F' U2 L2 U
L F' R' F' D' U' B2
L F' R' F' D2 R2 U'
R F' R2 L F' R U'
R F' R2 F' L R U'
R F' R2 F' R L U'
F' D' L R' F' U' B'
F' D' L U' R B' R'
F' D' L U' R' B' R'
F' D' L U' R2 B' R'
F' D' L U' D B' R'
F' D' L U' D' B' R'
F' D' L U' D2 B' R'
F' D' L U' B' R' D
F' D' L U' B' R' D'
F' D' L U' B' R' D2
F' D' L U' B' D R'
F' D' L U' B' D' R'
F' D' L U' B' D2 R'
F2 D' L R U2 B U
F2 D' L R' F' R2 U'
F' D' L D U' B' R'
F' D' L D' U' B' R'
F' D' L D2 U' B' R'
F' D' L F U' B' R'
F' D' L F' U' B' R'
F' D' L F2 U' B' R'
R' F' D L R' U' B
R' F' D R' L U' B
L F' U' D' B' R' B'
L F' U' B D' B2 R'
L F' U' B' R' D' B2
L F' U' B' D' R' B2
R' F' D' L R U' B'
R' F' D' L R' U' B'
R' F' D' L R2 U' B'
R' F' D' L U' D B'
R' F' D' L U' D' B'
R' F' D' L U' D2 B'
R' F' D' L U' B' D
R' F' D' L U' B' D'
R' F' D' L U' B' D2
R' F' D' L D U' B'
R' F' D' L D' U' B'
R' F' D' L D2 U' B'
D2 F' D' L U' B' R'
D' F' D' L U' B' R'
L F' U2 L' B' L' U
R' F' D' R L U' B'
R' F' D' R' L U' B'
R' F' D' R2 L U' B'
F2 D' R L U2 B U
D F' D' L U' B' R'
F' D' R' L F' U' B'
F2 D' R' L F' R2 U'
L F' D' R' F' U' B2
F' D' R' F' L U' B'
L F' D' U' B' R' B'
F2 D' R' F' L R2 U'
F2 D' R' F' R2 L U'
L F' D2 R' F' R' U'
D2 F2 L R U2 B U
D' F2 L R U2 B U
D2 F2 L R' F' R2 U'
D' F2 L R' F' R2 U'
R' F2 L D2 R F' U'
R2 F2 L R D F' U'
R2 F2 L R D' F' U'
R2 F2 L R D2 F' U'
R2 F2 L R F' U' D
R2 F2 L R F' U' D'
R2 F2 L R F' U' D2
R2 F2 L R F' D U'
R2 F2 L R F' D' U'
R2 F2 L R F' D2 U'
D F2 L R U2 B U
D F2 L R' F' R2 U'
F' D' F L U' B' R'
R2 F2 L' R F' L2 U'
R F2 L R2 F' R' U'
F' D' F' L U' B' R'
D2 F2 R L U2 B U
D' F2 R L U2 B U
R' F2 R D F L U'
R' F2 R D' F L U'
R' F2 R D2 F L U'
R' F2 R F L U' D
R' F2 R F L U' D'
R' F2 R F L U' D2
R' F2 R F L D U'
R' F2 R F L D' U'
R' F2 R F L D2 U'
R' F2 R F D L U'
R' F2 R F D' L U'
R' F2 R F D2 L U'
R' F2 R F' L F2 U'
R' F2 R F2 L F' U'
F' D' F2 L U' B' R'
D2 F2 R' L F' R2 U'
D' F2 R' L F' R2 U'
R2 F2 R L D F' U'
R2 F2 R L D' F' U'
R2 F2 R L D2 F' U'
R2 F2 R L F' U' D
R2 F2 R L F' U' D'
R2 F2 R L F' U' D2
R2 F2 R L F' D U'
R2 F2 R L F' D' U'
R2 F2 R L F' D2 U'
R2 F2 R L' F' L2 U'
D F2 R L U2 B U
R' F2 R' F L R2 U'
R' F2 R' F R2 L U'
R2 F2 R D L F' U'
D2 F2 R' F' L R2 U'
R2 F2 R D F' L U'
D2 F2 R' F' R2 L U'
D' F2 R' F' L R2 U'
R2 F2 R D' L F' U'
D' F2 R' F' R2 L U'
R2 F2 R D' F' L U'
R2 F2 R D2 L F' U'
R2 F2 R D2 F' L U'
R2 F2 R F L F2 U'
R2 F2 R F' L U' D
R2 F2 R F' L U' D'
R2 F2 R F' L U' D2
R2 F2 R F' L D U'
R2 F2 R F' L D' U'
R2 F2 R F' L D2 U'
R2 F2 R F' D L U'
R2 F2 R F' D' L U'
R2 F2 R F' D2 L U'
L F2 R U2 L2 B U
L F2 R U2 B L2 U
D F2 R' L F' R2 U'
R' F2 R2 F L R' U'
R' F2 R2 F R' L U'
L F2 R D2 R2 F' U'
D F2 R' F' L R2 U'
D F2 R' F' R2 L U'
L F2 R' D' F' U' B2
L F2 R' D2 F' R2 U'
L F2 R' F' U' D' B2
L F2 R' F' U2 L2 U
L F2 R' F' D' U' B2
L F2 R' F' D2 R2 U'
R F2 R2 L F' R' U'
R F2 R2 F' L R' U'
R F2 R2 F' R' L U'
F2 D2 L R U2 B U
F2 D2 L R' F' R2 U'
R' F2 D R F L U'
L F2 U' D' B' R' B'
L F2 U' B D' B2 R'
L F2 U' B' R' D' B2
L F2 U' B' D' R' B2
R' F2 D' R F L U'
L F2 U2 L' B' L' U
F2 D2 R L U2 B U
R' F2 D2 R F L U'
F2 D2 R' L F' R2 U'
L F2 D' R' F' U' B2
L F2 D' U' B' R' B'
F2 D2 R' F' L R2 U'
F2 D2 R' F' R2 L U'
L F2 D2 R' F' R' U'
U2 B L' B R' B2 U
U2 B L' B' U2 L U'
U2 B D L' B' U F
L B D' B' U' B' R'
U' B' L' U L R' F'
U' B' L' U R' L F'
U' B' L' U R' F' L
U2 B' L' R B' R' U
U2 B' L' R' B' R' U
U2 B' L' R2 B' R' U
U2 B' L' D B' R' U
U2 B' L' D' B' R' U
U2 B' L' D2 B' R' U
U2 B' L' B' R' U D
U2 B' L' B' R' U D'
U2 B' L' B' R' U D2
U2 B' L' B' R' D U
U2 B' L' B' R' D' U
U2 B' L' B' R' D2 U
U2 B' L' B' D R' U
U2 B' L' B' D' R' U
U2 B' L' B' D2 R' U
U2 B' R L' B' R' U
U2 B' R' L' B' R' U
U2 B' R2 L' B' R' U
U2 B' D L' B' R' U
U2 B' D' L' B' R' U
U2 B' D2 L' B' R' U
L2 B2 L' R' F' B2 U'
U2 B2 L' R B' R2 U
L2 B2 L' R' B2 F' U'
U2 B2 L' R' D B' U
U2 B2 L' R' D' B' U
U2 B2 L' R' D2 B' U
U2 B2 L' R' B' U D
U2 B2 L' R' B' U D'
U2 B2 L' R' B' U D2
U2 B2 L' R' B' D U
U2 B2 L' R' B' D' U
U2 B2 L' R' B' D2 U
U2 B2 L' R2 B' R U
U2 B2 L' D R' B' U
U2 B2 L' D' R' B' U
U2 B2 L' D2 R' B' U
U2 B2 R L' B' R2 U
L2 B2 R' L' F' B2 U'
L2 B2 R' L' B2 F' U'
U2 B2 R' L' D B' U
U2 B2 R' L' D' B' U
U2 B2 R' L' D2 B' U
U2 B2 R' L' B' U D
U2 B2 R' L' B' U D'
U2 B2 R' L' B' U D2
U2 B2 R' L' B' D U
U2 B2 R' L' B' D' U
U2 B2 R' L' B' D2 U
U2 B2 R' D L' B' U
U2 B2 R' D' L' B' U
U2 B2 R' D2 L' B' U
U2 B2 R' B L' B' U
U2 B2 R' B' L' B' U
L2 B2 R' B2 L' F' U'
U2 B2 R' B2 L' B' U
U2 B2 R2 L' B' R U
U B2 U L' R' B' U
U B2 U R' L' B' U
U2 B2 D L' R' B' U
U2 B2 D R' L' B' U
U2 B2 D' L' R' B' U
U2 B2 D' R' L' B' U
U2 B2 D2 L' R' B' U
U2 B2 D2 R' L' B' U
