D L2 B R F
D L' B L' R F
D L' B R L' F
D L2 D B R F
D L2 D' B R F
D L2 D2 B R F
D L2 F D2 B R'
D L2 B R D F
D L2 B R D' F
D L2 B R D2 F
D L2 B R F D
D L2 B R F D'
D L2 B R F D2
D L2 B R' F R2
D L2 B R2 F R'
D L2 B D R F
D L2 B D' R F
D L2 B D2 R F
D L2 B' R F B2
D L2 B' R B2 F
D L2 B2 R F B'
D L2 B2 R B' F
B2 R2 U' F' R' B'
U' D L2 B R F
U2 D L2 B R F
U D L2 B R F
D U L2 B R F
L2 D B R F L2
B2 U B U2 R B2
B2 U B U2 B2 R
D U' L2 B R F
B2 U' R2 F' R' B'
B2 U' B' R D2 F2
B' U' B' U' R B'
B' U' B' U' B' R
B2 U' B' D2 R F2
D U2 L2 B R F
F' D L2 F B R
F' D L2 B F R
D F' L2 F B R
D F' L2 B F R
D B L2 R D2 F2
L2 B R D' F L'
D' B R D2 F2 L'
D B L2 D2 R F2
D B R L2 D2 F2
D' B D2 L2 R F2
D' B D2 R L2 F2
D' B D2 R F2 L2
D B D2 R F2 L'
D' B' R2 U2 R' B2
D B' U2 L2 R B2
D B' U2 L2 B2 R
D B' U2 R L2 B2
D B' U2 R B2 L2
D B' U2 B2 L2 R
D B' U2 B2 R L2
L2 B2 U' R F B'
L2 B2 U' R B' F
L2 B2 U' B' R F
D' F2 B D2 F2 L2 R
D' F2 B D2 F2 R L2
D' F2 B' L' R2 U2 B2
D' F2 B' R2 L' U2 B2
B2 D2 R2 U' F' R' B'
D F2 B' L' U2 L' B2
D F2 B' L' U2 B2 L'
D' B L R D2 F2 L'
B2 D2 U B U2 R B2
B2 D2 U B U2 B2 R
D F2 B' U2 L2 B2 R'
D' B L D2 L2 R F2
D' B L D2 R L2 F2
D' B L D2 R F2 L2
B2 D2 U' R2 F' R' B'
B2 D2 U' B' R D2 F2
B2 D2 U' B' D2 R F2
D' B L' R D2 F2 L'
B D2 U B U' R F2
L' B L' R D' F L'
D B L R D2 L F2
D B L R D2 F2 L
D' B L' D2 L2 R F2
D' B L' D2 R L2 F2
D' B L' D2 R F2 L2
D B L D2 L R F2
D B L D2 R L F2
D B L D2 R F2 L
D' B L2 R D2 F2 L'
L B L R D' F L'
D B L' R D2 L' F2
D' B L2 D2 L2 R F2
D' B L2 D2 R L2 F2
D' B L2 D2 R F2 L2
D B L' D2 L' R F2
D B L' D2 R L' F2
D' B R L D2 F2 L'
D' B R L' D2 F2 L'
D' B R L2 D2 F2 L'
L' B R L' D' F L'
D' B R U2 R B2 U2
D' B R U2 B2 R U2
D2 B R D' L2 D' F2
D B L2 R U2 B2 U2
D B L2 R D2 F2 D
D B L2 R D2 F2 D'
D B L2 R D2 F2 D2
D B L2 R F D2 F2
D B L2 R F' D2 F2
D B L2 R F2 D2 F2
D2 B R D2 F2 D L2
D' B R D2 L F2 L'
D' B R D2 L' F2 L'
D' B R D2 L2 F2 L'
D' B R D2 F2 L' D
D' B R D2 F2 L' D'
D' B R D2 F2 L' D2
D B L2 R2 D2 R' F2
D' B R D2 F2 D L'
D' B R D2 F2 D' L'
D' B R D2 F2 D2 L'
D B L2 R2 D2 F2 R'
D' B R F2 L' D2 F2
D' B R F2 D2 L' F2
D B L2 U2 B2 U2 R
D B L2 D R D F2
D B L2 D2 R F2 D
D B L2 D2 R F2 D'
D B L2 D2 R F2 D2
D B L2 D2 R' F2 R2
D B L2 D2 R2 F2 R'
D B L2 F2 D2 F2 R
L2 B R D' F L' D
L2 B R D' F L' D'
L2 B R D' F L' D2
L2 B R D' F D L'
L2 B R D' F D' L'
L2 B R D' F D2 L'
D B R L D2 L F2
D B R L D2 F2 L
D B R L' D2 L' F2
D B R L2 U2 B2 U2
D B R L2 D2 F2 D
D B R L2 D2 F2 D'
D B R L2 D2 F2 D2
D B R L2 F D2 F2
D B R L2 F' D2 F2
D B R L2 F2 D2 F2
D B R U2 B2 U2 L2
D B R D2 F2 D2 L2
L B R L D' F L'
D B R F L2 D2 F2
D B R F' L2 D2 F2
D B R F2 L2 D2 F2
D B R B' L2 F B
D B R B' L2 B F
L B R D' L F L'
D' B R2 D2 R' F2 L'
D' B R2 B2 L U2 B2
D' B R2 B2 U2 B2 R'
B D2 B U' R F2 B'
B D2 B U' R B' F2
L2 B R2 F R' D' L2
B D2 B U' B' R F2
L2 B R2 F D' L2 R'
L2 B R2 F D' R' L2
D B R2 L2 D2 R' F2
D B R2 L2 D2 F2 R'
L2 B U B U' R F
D' B U2 R2 B2 L U2
L B U B L U' R
D' B U2 B2 R2 U2 R'
D2 B D R D F2 L'
D' B D R D L2 F2
D' B D R D F2 L2
L2 B D R D' F L'
D2 B D' L2 D' R F2
D B U2 B2 U2 L2 R
D B U2 B2 U2 R L2
D' B D2 L R F2 L
L2 B D' R D' F L'
D' B D2 L2 R F2 D
D' B D2 L2 R F2 D'
D' B D2 L2 R F2 D2
D' B D2 L2 R' F2 R2
D' B D2 L2 R2 F2 R'
D2 B D2 R F2 D L2
D' B D2 R L F2 L
D' B D2 R L2 F2 D
D' B D2 R L2 F2 D'
D' B D2 R L2 F2 D2
D' B D2 R F' L2 F'
D' B D2 R F2 L2 D
D' B D2 R F2 L2 D'
D' B D2 R F2 L2 D2
D' B D2 R' L2 F2 R2
D' B D2 R' F2 L2 R2
D' B D2 R' F2 R2 L2
D' B D2 R2 L2 F2 R'
D' B D2 R2 F2 L2 R'
D' B D2 R2 F2 R' L2
L2 B D2 R D' F L'
D B D2 L R F2 L'
D B D2 L' R F2 L'
D B D2 L2 R F2 L'
D B D2 R L F2 L'
D B D2 R L' F2 L'
D B D2 R L2 F2 L'
D B D2 R F2 L' D
D B D2 R F2 L' D'
D B D2 R F2 L' D2
D B D2 R F2 D L'
D B D2 R F2 D' L'
D B D2 R F2 D2 L'
B2 F R2 U' F' R B'
B2 F R2 U' F' B' R
B2 F R2 U' B' F' R
D' B F2 D2 F2 L2 R
D' B F2 D2 F2 R L2
D' B' L R2 U2 R' B2
B2 F U' R2 F' R B'
B2 F U' R2 F' B' R
B2 F U' R2 B' F' R
D' B' L' R2 U2 R' B2
D B' L U2 L R B2
D B' L U2 L B2 R
D B' L U2 R L B2
D' B' L2 R2 U2 R' B2
D B' L' U2 L' R B2
D B' L' U2 L' B2 R
D B' L' U2 R L' B2
D B' L' U2 R B2 L'
D B' L' U2 B2 L' R
D B' L' U2 B2 R L'
D B' L2 R B2 D2 F2
D B' L2 U2 R B2 L
D' B' R B2 D2 F2 L'
D' B' R' U2 B2 L R2
D' B' R' U2 B2 R2 L
D B' L2 B2 R D2 F2
D B' L2 B2 D2 R F2
D B' R L2 B2 D2 F2
D' B' R2 L U2 R' B2
D' B' R2 L' U2 R' B2
D' B' R2 L2 U2 R' B2
D B' R B L2 F B
D B' R B L2 B F
D' B' R2 U2 R B2 R2
D' B' R2 U2 R' B2 D
D' B' R2 U2 R' B2 D'
D' B' R2 U2 R' B2 D2
D' B' R2 U2 R2 B2 R
D B' R B2 L2 D2 F2
D' B' R2 D2 F2 U2 R'
D' B' R2 F U2 R' B2
D' B' R2 F' U2 R' B2
D' B' R2 F2 U2 R' B2
D B' R' U2 L2 R2 B2
D B' R' U2 L2 B2 R2
D B' R' U2 R2 L2 B2
D B' R' U2 R2 B2 L2
D B' R' U2 B2 L2 R2
D B' R' U2 B2 R2 L2
D B' R2 U2 L2 R' B2
D B' R2 U2 R' L2 B2
D B' R2 U2 R' B2 L2
U' B' U' B' U' R B'
U' B' U' B' U' B' R
R' B' U' B' R' U' R'
D2 B' U2 R B2 D' L2
D' B' U2 R' B2 L R2
D' B' U2 R' B2 R2 L
U2 B' U' B' U' R B'
U2 B' U' B' U' B' R
D2 B' U2 B2 R D' L2
D2 B' U2 B2 D' L2 R
D2 B' U2 B2 D' R L2
D' B' U2 B2 D2 L2 R
D' B' U2 B2 D2 R L2
D B' U2 L' R B2 L'
D B' U2 L' B2 L' R
D B' U2 L' B2 R L'
D B' U2 L2 R B2 D
D B' U2 L2 R B2 D'
D B' U2 L2 R B2 D2
D B' U2 L2 R' B2 R2
D B' U2 L2 B' R B'
D B' U2 L2 B2 R D
D B' U2 L2 B2 R D'
D B' U2 L2 B2 R D2
D B' U2 L2 B2 D R
D B' U2 L2 B2 D' R
D B' U2 L2 B2 D2 R
D B' U2 R L' B2 L'
D B' U2 R L2 B2 D
D B' U2 R L2 B2 D'
D B' U2 R L2 B2 D2
D B' U2 R B L2 B
D B' U2 R B2 L2 D
D B' U2 R B2 L2 D'
D B' U2 R B2 L2 D2
D B' U2 R' L2 B2 R2
D B' U2 R' B2 L2 R2
D B' U2 R' B2 R2 L2
U B' U' B' U' R B'
U B' U' B' U' B' R
D B' U2 B L2 B R
D B' U2 B' R B' L2
D B' U2 B2 L2 R D
D B' U2 B2 L2 R D'
D B' U2 B2 L2 R D2
D B' U2 B2 L2 D R
D B' U2 B2 L2 D' R
D B' U2 B2 L2 D2 R
D B' U2 B2 R L2 D
D B' U2 B2 R L2 D'
D B' U2 B2 R L2 D2
D' B' D2 F2 L' U2 L'
B' F' U' B' U' B' R'
D B' D2 R2 F2 U2 R'
F' B' U' B' U' B' R'
D B' D2 F2 L' R2 U2
D B' D2 F2 R2 L' U2
D' B' F2 L' R2 U2 B2
D' B' F2 R2 L' U2 B2
D B' F2 L' U2 L' B2
D B' F2 L' U2 B2 L'
D B' F2 U2 L2 B2 R'
R' B2 R U' B R F'
U' B2 R2 U' F' R' B'
L2 B2 R' U' R2 F B'
L2 B2 R' U' R2 B' F
L2 B2 R' U' F R2 B'
L2 B2 R' U' F B' R2
L2 B2 R' U' B' R2 F
L2 B2 R' U' B' F R2
D' B2 R2 U2 F' R' B'
L2 B2 R2 U' R' F B'
L2 B2 R2 U' R' B' F
L2 B2 R2 U' F R' B'
U2 B2 R2 U' F' R' B'
U' B2 U B U2 R B2
U' B2 U B U2 B2 R
U' B2 U' R2 F' R' B'
D B2 R2 F' R' B' L2
U' B2 U' B' R D2 F2
R2 B2 U L F' B U2
R2 B2 U L B F' U2
U' B2 U' B' D2 R F2
U B2 R2 U' F' R' B'
U2 B2 U B U2 R B2
U2 B2 U B U2 B2 R
L' B2 U' D2 R F' B'
L' B2 U' D2 R B' F'
L' B2 U' D2 B' R F'
L2 B2 U' R D F B'
L2 B2 U' R D B' F
L2 B2 U' R D' F B'
L2 B2 U' R D' B' F
L2 B2 U' R D2 F B'
L2 B2 U' R D2 B' F
L2 B2 U' R F D B'
L2 B2 U' R F D' B'
L2 B2 U' R F D2 B'
L2 B2 U' R F B' D
L2 B2 U' R F B' D'
L2 B2 U' R F B' D2
L' B2 U' B' D2 R F'
R2 B2 U F' L B U2
L2 B2 U' R B' D F
L2 B2 U' R B' D' F
L2 B2 U' R B' D2 F
L2 B2 U' R B' F D
L2 B2 U' R B' F D'
L2 B2 U' R B' F D2
L2 B2 U' R' F R2 B'
L2 B2 U' R' F B' R2
L2 B2 U' R' B' R2 F
L2 B2 U' R' B' F R2
L2 B2 U' R2 F R' B'
L2 B2 U' D R F B'
L2 B2 U' D R B' F
U2 B2 U' R2 F' R' B'
L2 B2 U' D B' R F
L2 B2 U' D' R F B'
L2 B2 U' D' R B' F
L2 B2 U' D' B' R F
L2 B2 U' D2 R F B'
L2 B2 U' D2 R B' F
L2 B2 U' D2 B' R F
L2 B2 U' B R F B2
L2 B2 U' B R B2 F
L2 B2 U' B' R D F
L2 B2 U' B' R D' F
L2 B2 U' B' R D2 F
L2 B2 U' B' R F D
L2 B2 U' B' R F D'
L2 B2 U' B' R F D2
L2 B2 U' B' R' F R2
L2 B2 U' B' R2 F R'
L2 B2 U' B' D R F
L2 B2 U' B' D' R F
L2 B2 U' B' D2 R F
U2 B2 U' B' R D2 F2
U2 B2 U' B' D2 R F2
U B2 U B U2 R B2
U B2 U B U2 B2 R
U B2 U' R2 F' R' B'
B2 F2 U B L' U2 B2
F B2 R2 U' F' R B'
F B2 R2 U' F' B' R
F B2 R2 U' B' F' R
F2 B2 U B L' U2 B2
U B2 U' B' R D2 F2
U B2 U' B' D2 R F2
L2 B2 D U' R F B'
L2 B2 D U' R B' F
L2 B2 D U' B' R F
B2 F2 U' B' D2 F2 R
F2 B2 U' B' D2 F2 R
L2 B2 D' U' R F B'
L2 B2 D' U' R B' F
L2 B2 D' U' B' R F
L' B2 D2 U' R F' B'
L' B2 D2 U' R B' F'
L' B2 D2 U' B' R F'
F B2 U' R2 F' R B'
F B2 U' R2 F' B' R
F B2 U' R2 B' F' R
L2 B2 D2 U' R F B'
L2 B2 D2 U' R B' F
L2 B2 D2 U' B' R F
