F U' L D' F2
F U' D' L F2
F U' D' F2 L
F U2 R2 U L
D2 F L2 U' L'
D' F U' F L
F D' U' L F2
F D' U' F2 L
F D2 L2 U' L'
F D2 L2 U' L'
F U2 F' R2 U L D2
F U2 F' R2 U D L
F U2 F' R2 U D' L
F U2 F' R2 U D2 L
F U2 F' R2 D U L
F U2 F' R2 D' U L
F U2 F' R2 D2 U L
F U2 F' R2 F U L
F U2 F' R2 F' U L
F U2 F' R2 F2 U L
F U2 F' U L D' F2
F U2 F' U D' L F2
F U2 F' U D' F2 L
F U2 F' D' U L F2
F U2 F' D' U F2 L
F U2 F2 R2 U L D
F U2 F2 R2 U L D'
F U2 F2 R2 U L D2
F U2 F2 R2 U D L
F U2 F2 R2 U D' L
F U2 F2 R2 U D2 L
F U2 F2 R2 D U L
F U2 F2 R2 D' U L
F U2 F2 R2 D2 U L
F U2 F2 R2 F U L
F U2 F2 R2 F' U L
F U2 F2 R2 F2 U L
F U2 F2 U L D' F2
F U2 F2 U D' L F2
F U2 F2 U D' F2 L
F U2 F2 D' U L F2
F U2 F2 D' U F2 L
D' F U R U2 F L
D' F U R' U2 F L
R2 F R2 U' L D' F2
D' F U R2 U2 F L
R2 F R2 U' D' L F2
R2 F R2 U' D' F2 L
R2 F R2 U2 R2 U L
F2 U2 B' R2 B U L
R2 F R2 D' U' L F2
R2 F R2 D' U' F2 L
D2 F U D' B2 R' U2
F U2 B R2 B' U L
R2 F R2 D2 L2 U' L'
U2 F U L D' F2 R
D' F U B2 R' U2 F
D2 F U' L U L U'
U' F U' R2 U L R2
U' F U' R2 U R2 L
U2 F U D' L F2 R
D' F U' R F L R'
D' F U' R F R' L
D' F U' R2 F L R2
D' F U' R2 F R2 L
D' F U' D F L D
D' F U' D F L D'
D' F U' D F L D2
D' F U' D F D L
D' F U' D F D' L
D' F U' D F D2 L
D' F U' D F' L F2
D' F U' D F2 L F'
D2 F U' D L F2 D
D2 F U' D L F2 D'
D2 F U' D L F2 D2
D2 F U' D L' F2 L2
D' F U' D' F L D
D' F U' D' F L D'
D' F U' D' F L D2
D' F U' D' F D L
D' F U' D' F D' L
D' F U' D' F D2 L
D' F U' D' F' L F2
D' F U' D' F2 L F'
D2 F U' D F' L F'
D2 F U' D F2 L D
D2 F U' D F2 L D'
D2 F U' D F2 L D2
D2 F U' D F2 D L
D2 F U' D F2 D' L
D2 F U' D F2 D2 L
D2 F U' D' L D2 F2
D' F U' D2 F L D
D' F U' D2 F L D'
D' F U' D2 F L D2
D' F U' D2 F D L
D' F U' D2 F D' L
D' F U' D2 F D2 L
D' F U' D2 F' L F2
D' F U' D2 F2 L F'
D2 F U' D2 L D' F2
D' F U' F L2 D L'
D' F U' F L2 D' L'
D' F U' F L2 D2 L'
D F U R B2 R' U2
D' F U' F D L D
D' F U' F D L D'
D' F U' F D L D2
D' F U' F D' L D
D' F U' F D' L D'
D' F U' F D' L D2
D' F U' F D2 L D
D' F U' F D2 L D'
D' F U' F D2 L D2
D' F U' F' L F2 D
D' F U' F' L F2 D'
D' F U' F' L F2 D2
D' F U' F' L' F2 L2
D2 F U' F D L F2
D2 F U' F D F2 L
D F U R' B2 R' U2
D' F U' F2 L D F'
D' F U' F2 L D' F'
D' F U' F2 L D2 F'
D' F U' F2 L F' D
D' F U' F2 L F' D'
D' F U' F2 L F' D2
D' F U' F2 L' F' L2
D2 F U' F' D L F2
D2 F U' F' D F2 L
D F U R2 B2 R' U2
D' F U' F2 D L F'
D' F U' F2 D F' L
D' F U' F2 D' L F'
D' F U' F2 D' F' L
D' F U' F2 D2 L F'
D' F U' F2 D2 F' L
D2 F U' F2 D L F2
D2 F U' F2 D F2 L
D' F U2 R U F L
D' F U2 R' U F L
D F U B2 R' U2 D
D F U B2 R' U2 D'
D F U B2 R' U2 D2
D F U B2 R' D U2
D F U B2 R' D' U2
D F U B2 R' D2 U2
D F U B2 D R' U2
D F U B2 D' R' U2
D F U B2 D2 R' U2
D' F U2 R2 U F L
D F U' L U2 B2 U2
D F U' L D2 F2 D
D F U' L D2 F2 D'
D F U' L D2 F2 D2
D F U' L F D2 F2
D F U' L F' D2 F2
D F U' L F2 D2 F2
D F U' L2 D2 L' F2
D2 F U2 D2 R2 U L
D' F U2 F' U L F2
D' F U2 F' U F2 L
D' F U2 F2 U L F'
D' F U2 F2 U F' L
D F U' D' L D' F2
D F U' D2 L F2 D
D F U' D2 L F2 D'
D F U' D2 L F2 D2
D F U' D2 L' F2 L2
D F U' D2 F' L F'
D F U' D2 F2 L D
D F U' D2 F2 L D'
D F U' D2 F2 L D2
D F U' D2 F2 D L
D F U' D2 F2 D' L
D F U' D2 F2 D2 L
D F U' F L D2 F2
D F U' F D2 L F2
D F U' F D2 F2 L
D F U' F' L D2 F2
D F U' F' D2 L F2
D F U' F' D2 F2 L
D F U' F2 L D2 F2
D2 F D L' U' L2 F2
D2 F D L' U' F2 L2
D F U' F2 D2 L F2
D F U' F2 D2 F2 L
D2 F D L2 U' L' F2
D' F D U' F L D
D' F D U' F L D'
D' F D U' F L D2
D' F D U' F D L
D' F D U' F D' L
D' F D U' F D2 L
D' F D U' F' L F2
D' F D U' F2 L F'
D2 F D U' L F2 D
D2 F D U' L F2 D'
D2 F D U' L F2 D2
D2 F D U' L' F2 L2
D2 F D U' F' L F'
D2 F D U' F2 L D
D2 F D U' F2 L D'
D2 F D U' F2 L D2
D2 F D U' F2 D L
D2 F D U' F2 D' L
D2 F D U' F2 D2 L
F D L D L2 U' L2
D F U2 D' R2 U L
U' F D' L F2 D R2
U F U2 R2 U L B
F D L' U B2 U2 L2
F D L' U' L2 D2 F2
D' F D' U' F L D
D' F D' U' F L D'
D' F D' U' F L D2
D2 F D' U B2 R' U2
D' F D' U' F D L
D' F D' U' F D' L
D' F D' U' F D2 L
D' F D' U' F' L F2
D2 F D' U' L D2 F2
D' F D' U' F2 L F'
D F D L2 U' L' D
D F D L2 U' L' D'
D F D L2 U' L' D2
D F D L2 U' D L'
D F D L2 U' D' L'
D F D L2 U' D2 L'
D F D L2 D U' L'
D F D L2 D' U' L'
D F D L2 D2 U' L'
U' F D' F2 L D R2
D F D L2 B U' L'
D F D L2 B' U' L'
D F D L2 B2 U' L'
U' F D' F2 D L R2
U' F D' F2 D R2 L
F D L' B' U' L2 F
U2 F D' U L F2 R
F D L2 U B2 U2 L'
F D L2 U' L' D2 F2
F D L2 U' D2 L' F2
D' F D2 U' F L D
D' F D2 U' F L D'
D' F D2 U' F L D2
D' F D2 U' F D L
D' F D2 U' F D' L
D' F D2 U' F D2 L
D' F D2 U' F' L F2
D2 F D2 U' L D' F2
D' F D2 U' F2 L F'
D2 F D2 U2 R2 U L
F D L2 D L2 U' L
F D L2 D2 U' L' F2
D F D' U' L D' F2
D F D' U2 R2 U L
D2 F B L2 B' U' L
D F D2 L' U' L2 F2
D F D2 L' U' F2 L2
D F D2 L2 U' L' F2
D' F B U' D2 F L'
D' F B D2 U' F L'
D F D2 U' L F2 D
D F D2 U' L F2 D'
D F D2 U' L F2 D2
D F D2 U' L' F2 L2
D F D2 U' F' L F'
D F D2 U' F2 L D
D F D2 U' F2 L D'
D F D2 U' F2 L D2
D F D2 U' F2 D L
D F D2 U' F2 D' L
D F D2 U' F2 D2 L
D2 F B' L2 B U' L
D2 F B2 L2 U R' U2
D F B U B R' U2
D2 F B2 L2 B2 U' L
D' F B2 U R' U2 F
F' D U B2 R' U2 R'
F' D U' L R2 D2 F2
U' F' L D R2 D2 F2
U' F' L D' F2 D2 R2
F' D U' R2 L D2 F2
F' D U' R2 D2 L F2
F' D U' R2 D2 F2 L
D2 F' L F2 L U' L'
F D U R B2 R' U2
F D U R' B2 R' U2
F D U R2 B2 R' U2
F D U B2 R' U2 D
F D U B2 R' U2 D'
F D U B2 R' U2 D2
F D U B2 R' D U2
F D U B2 R' D' U2
F D U B2 R' D2 U2
F D U B2 D R' U2
F D U B2 D' R' U2
F D U B2 D2 R' U2
F D U' L U2 B2 U2
F D U' L D2 F2 D
F D U' L D2 F2 D'
F D U' L D2 F2 D2
F D U' L F D2 F2
F D U' L F' D2 F2
F D U' L F2 D2 F2
F D U' L2 D2 L' F2
D' F' L' F2 U' F L2
F D U' F L D2 F2
F D U' F D2 L F2
F D U' F D2 F2 L
F D U' F' L D2 F2
F D U' F' D2 L F2
F D U' F' D2 F2 L
F D U' F2 L D2 F2
F D U' F2 D2 L F2
F D U' F2 D2 F2 L
U' F' L2 D' L' F2 R
D2 F' L2 U' L' D R2
D2 F' L2 U' D L' R2
D2 F' L2 U' D R2 L'
B2 D F U R' B2 U2
B2 D F U B2 U2 L
D2 F' L2 D U' L' R2
D2 F' L2 D U' R2 L'
D2 F' L2 F2 U R U2
F2 D F' U B2 R' U2
F2 D F' U' L D2 F2
F2 D F' U' D2 L F2
F2 D F' U' D2 F2 L
F2 D F' D L2 U' L'
F2 D F' D2 U' L F2
F2 D F' D2 U' F2 L
U2 F' R2 U L D R2
U2 F' R2 U D L R2
U2 F' R2 U D R2 L
U2 F' R2 U2 F2 U' L
U2 F' R2 D U L R2
U2 F' R2 D U R2 L
F D B U B R' U2
D' F' U' L D F' R2
R2 F' U L D R2 B2
R2 F' U L D B2 R2
D2 F' U' D L R2 F2
D2 F' U' D L F2 R2
D' F' U' D L F' R2
D2 F' U' D R2 L F2
D2 F' U' D R2 F2 L
D2 F' U' D F2 L R2
D2 F' U' D F2 R2 L
D' F' U' D F' L R2
D' F' U' D F' R2 L
R2 F' U D L R2 B2
R2 F' U D L B2 R2
R2 F' U D R2 L B2
U' F' D L R2 D2 F2
F' D' L' U' F2 L2 R
F' D' L' U' F2 R L2
U' F' D R2 L D2 F2
U' F' D R2 D2 L F2
U' F' D R2 D2 F2 L
D2 F' D U' L R2 F2
D2 F' D U' L F2 R2
D2 F' D U' R2 L F2
D2 F' D U' R2 F2 L
D' F' D U' L F' R2
D2 F' D U' F2 L R2
D2 F' D U' F2 R2 L
D' F' D U' F' L R2
D' F' D U' F' R2 L
R2 F' U2 R2 F2 U' L
F D' L U' F2 D' L2
F2 D' L' F' U' L2 F'
F2 D' L' F' U' F' L2
F D' L D' L2 U' L2
U' F' D' L' F2 L2 R
U' F' D' L' F2 R L2
R2 F' U2 F2 R2 U' L
U' F' D' F2 D2 L R2
U' F' D' F2 D2 R2 L
D F' D L2 U' L' R2
D F' D L2 U' R2 L'
F D' L' U' L F2 L
R2 F' D U L R2 B2
R2 F' D U L B2 R2
F D' L' U' L2 F2 D
F D' L' U' L2 F2 D'
F D' L' U' L2 F2 D2
R2 F' D U R2 L B2
F D' L' U' F' L2 F'
F D' L' U' F2 L2 D
F D' L' U' F2 L2 D'
F D' L' U' F2 L2 D2
F D' L' D' L2 B2 U'
F D' L' D' B2 L2 U'
F D' L' B U' L2 F2
F D' L' B U' F2 L2
F D' L' B' U' L2 F2
F D' L' B' U' F2 L2
F D' L' B2 U' L2 F2
F D' L' B2 U' F2 L2
F D' L2 U' L F2 L2
F D' L2 U' L' F2 D
F D' L2 U' L' F2 D'
F D' L2 U' L' F2 D2
F D' L2 U' L2 F2 L
F D' L2 D' L2 U' L
F D' L2 B U' L' F2
F D' L2 B' U' L' F2
F D' L2 B2 U' L' F2
R2 F' D2 L2 B2 U L'
F' D' U L2 U2 L' F2
U' F2 L U' R2 B U
F' D' U' L' F2 L2 R
F' D' U' L' F2 R L2
D2 F2 L F' L U' L'
F' D' U' F2 D2 L R2
F' D' U' F2 D2 R2 L
F D' U R U2 L F2
F D' U R U2 F2 L
F D' U R' U2 L F2
F D' U R' U2 F2 L
F D' U R2 U2 L F2
F D' U R2 U2 F2 L
F D' U B2 R' U2 F2
D' F2 L' F' U' F L2
F D' U' L R F2 R'
F D' U' L R2 F2 R2
F D' U' L F D F
F D' U' L F D' F
F D' U' L F D2 F
F D' U' L F' D F'
F D' U' L F' D' F'
F D' U' L F' D2 F'
F D' U' L' F' L2 F'
F D' U' L' F2 L2 D
F D' U' L' F2 L2 D'
F D' U' L' F2 L2 D2
F D' U' R L F2 R'
F D' U' R F2 L R'
F D' U' R F2 R' L
F D' U' R2 L F2 R2
F D' U' R2 F2 L R2
F D' U' R2 F2 R2 L
F D' U' F D F L
F D' U' F D' F L
F D' U' F D2 F L
F D' U' F' L D F'
F D' U' F' L D' F'
F D' U' F' L D2 F'
F D' U' F' L F' D
F D' U' F' L F' D'
F D' U' F' L F' D2
F D' U' F' L' F' L2
F D' U' F' D L F'
F D' U' F' D F' L
F D' U' F' D' L F'
F D' U' F' D' F' L
F D' U' F' D2 L F'
F D' U' F' D2 F' L
F D' U' F2 L2 D L'
F D' U' F2 L2 D' L'
F D' U' F2 L2 D2 L'
F D' U' F2 D L D
F D' U' F2 D L D'
F D' U' F2 D L D2
F D' U' F2 D' L D
F D' U' F2 D' L D'
F D' U' F2 D' L D2
F D' U' F2 D2 L D
F D' U' F2 D2 L D'
F D' U' F2 D2 L D2
B' D' F B U' F L
B2 D' F U R' U2 F
D' F2 L2 F' U' F L'
F D' U2 R U L F2
F D' U2 R U F2 L
F D' U2 R' U L F2
F D' U2 R' U F2 L
F D' U2 R2 U L F2
F D' U2 R2 U F2 L
B2 D' F B2 U' F L
F D' U2 F U F L
F D' U2 F' U L F'
F D' U2 F' U F' L
F2 D' F' L' U' L2 F'
F2 D' F' L' U' F' L2
F2 D' F' L2 U' L' F'
B D' F U' D' F L'
F2 D' F' U' L D F'
F2 D' F' U' L D' F'
F2 D' F' U' L D2 F'
F2 D' F' U' L F' D
F2 D' F' U' L F' D'
F2 D' F' U' L F' D2
F2 D' F' U' L' F' L2
F2 D' F' U' D L F'
F2 D' F' U' D F' L
F2 D' F' U' D' L F'
F2 D' F' U' D' F' L
F2 D' F' U' D2 L F'
F2 D' F' U' D2 F' L
F2 D' F' U' F L F2
F2 D' F' U' F' L D
F2 D' F' U' F' L D'
F2 D' F' U' F' L D2
F2 D' F' U' F' D L
F2 D' F' U' F' D' L
F2 D' F' U' F' D2 L
B D' F D' U' F L'
F2 D' F' D U' L F'
F2 D' F' D U' F' L
F2 D' F' D' U' L F'
F2 D' F' D' U' F' L
F2 D' F' D2 U' L F'
F2 D' F' D2 U' F' L
R F2 L' F' R' U' L2
B' D' B F U' F L
U' F2 R2 B U B' L
B2 D' B2 F U' F L
F2 D2 L F' L U' L'
F D' B2 U R' U2 F2
D2 F2 D F' U' L F'
D2 F2 D F' U' F' L
D' F2 D F' U' F L
F D2 L D L U' L'
F D2 L D' L U' L'
F D2 L D2 L U' L'
R2 F2 U2 F' R2 U' L
F' D2 L2 U' L' D' R2
F' D2 L2 U' D' L' R2
F' D2 L2 U' D' R2 L'
F' D2 L2 U2 B2 U L'
F' D2 L2 D' U' L' R2
F' D2 L2 D' U' R2 L'
D' F2 D' F' U' F L
F D2 L' D' L' B2 U'
F D2 L' D' B2 L' U'
D F2 D F' L2 U' L'
F D2 L' B L' U' L'
F D2 L' B' L' U' L'
F D2 L' B2 L' U' L'
F D2 L2 U R U2 L'
F D2 L2 U R' U2 L'
F D2 L2 U R2 U2 L'
F D2 L2 U' L2 D L
F D2 L2 U' L2 D' L
F D2 L2 U' L2 D2 L
F D2 L2 U' D L' D
F D2 L2 U' D L' D'
F D2 L2 U' D L' D2
F D2 L2 U' D' L' D
F D2 L2 U' D' L' D'
F D2 L2 U' D' L' D2
F D2 L2 U' D2 L' D
F D2 L2 U' D2 L' D'
F D2 L2 U' D2 L' D2
F D2 L2 U' B' L' B
F D2 L2 U' B2 L' B2
D' F2 D2 F' U' F L
F D2 L2 D U' L' D
F D2 L2 D U' L' D'
F D2 L2 D U' L' D2
F D2 L2 D B U' L'
F D2 L2 D B' U' L'
F D2 L2 D B2 U' L'
F D2 L2 D' U' L' D
F D2 L2 D' U' L' D'
F D2 L2 D' U' L' D2
F D2 L2 D' B U' L'
F D2 L2 D' B' U' L'
F D2 L2 D' B2 U' L'
F D2 L2 D2 U' L' D
F D2 L2 D2 U' L' D'
F D2 L2 D2 U' L' D2
F D2 L2 D2 B U' L'
F D2 L2 D2 B' U' L'
F D2 L2 D2 B2 U' L'
F D2 L2 B U' L' D
F D2 L2 B U' L' D'
F D2 L2 B U' L' D2
F D2 L2 B U' D L'
F D2 L2 B U' D' L'
F D2 L2 B U' D2 L'
F D2 L2 B D U' L'
F D2 L2 B D' U' L'
F D2 L2 B D2 U' L'
F D2 L2 B' U' L' D
F D2 L2 B' U' L' D'
F D2 L2 B' U' L' D2
F D2 L2 B' U' D L'
F D2 L2 B' U' D' L'
F D2 L2 B' U' D2 L'
F D2 L2 B' D U' L'
F D2 L2 B' D' U' L'
F D2 L2 B' D2 U' L'
F D2 L2 B2 U' L' D
F D2 L2 B2 U' L' D'
F D2 L2 B2 U' L' D2
F D2 L2 B2 U' D L'
F D2 L2 B2 U' D' L'
F D2 L2 B2 U' D2 L'
F D2 L2 B2 D U' L'
F D2 L2 B2 D' U' L'
F D2 L2 B2 D2 U' L'
D F2 D2 F' U' L F'
D F2 D2 F' U' F' L
U2 F2 B' R2 B U L
B' D2 F L2 B U' L
F D2 U' L U L U'
B2 D2 F L2 U R' U2
B2 D2 F L2 B2 U' L
F D2 U' F D L F2
F D2 U' F D F2 L
B' D2 F B L2 U' L'
F D2 U' F' D L F2
F D2 U' F' D F2 L
F D2 U' F2 D L F2
F D2 U' F2 D F2 L
D2 B L2 U2 B' U L
B2 D2 F B2 L2 U' L'
B D2 F L2 U' L D
B D2 F L2 U' L D'
B D2 F L2 U' L D2
B D2 F L2 U' D L
B D2 F L2 U' D' L
B D2 F L2 U' D2 L
B D2 F L2 D U' L
B D2 F L2 D' U' L
B D2 F L2 D2 U' L
F2 D2 F' L2 U' L' D
F2 D2 F' L2 U' L' D'
F2 D2 F' L2 U' L' D2
F2 D2 F' L2 U' D L'
F2 D2 F' L2 U' D' L'
F2 D2 F' L2 U' D2 L'
F2 D2 F' L2 D U' L'
F2 D2 F' L2 D' U' L'
F2 D2 F' L2 D2 U' L'
F2 D2 F' L2 B U' L'
F2 D2 F' L2 B' U' L'
F2 D2 F' L2 B2 U' L'
B D2 F U' D L' F2
B D2 F D U' L' F2
F2 D2 F' U' D L F2
F2 D2 F' U' D F2 L
F2 D2 F' D U' L F2
F2 D2 F' D U' F2 L
B D2 F B L2 U' L
B D2 F B' L2 U' L
B D2 F B2 L2 U' L
B D2 F' L2 F2 U' L'
B D2 F2 L2 F' U' L'
B' D2 B F L2 U' L'
F D2 B L2 B' U' L
B D2 B F L2 U' L
F D2 B' L2 B U' L
B D2 B' F L2 U' L
B2 D2 B2 F L2 U' L'
L2 B U' L' D' R2 F2
L2 B U' L' D' F2 R2
L2 B U' D' L' R2 F2
L2 B U' D' L' F2 R2
L2 B U' D' R2 L' F2
F D2 B2 L2 U R' U2
F D2 B2 L2 B2 U' L
B D2 B2 F L2 U' L
L2 B U2 R2 B2 U L'
L2 B U2 B2 R2 U L'
L2 B D' U' L' R2 F2
L2 B D' U' L' F2 R2
L2 B D' U' R2 L' F2
L2 B D2 L2 F2 U' L
D2 B F L2 B' U' L
D' B F U' D2 F L'
D' B F D2 U' F L'
D B F U B R' U2
B2 F U R' U R' U
B2 F U D R' B2 U2
B2 F U D B2 U2 L
B2 F U D' R' U2 F2
B' F U2 R2 F' U L'
B' F U2 F' R2 U L'
B2 F U2 R2 U' R U2
B2 F U2 R2 F2 U L'
B2 F D U R' B2 U2
B2 F D U B2 U2 L
B' F D' B U' L F2
B' F D' B U' F2 L
B2 F D' U R' U2 F2
B' F D2 L2 B U' L
B2 F D' B2 U' L F2
B2 F D' B2 U' F2 L
B2 F D2 L2 U R' U2
B2 F D2 L2 B2 U' L
B' F D2 B L2 U' L'
B2 F D2 B2 L2 U' L'
L2 B' R2 U L' D B2
L2 B' R2 U D L' B2
L2 B' R2 U D B2 L'
L2 B' R2 U2 R2 U' L'
L2 B' R2 D U L' B2
L2 B' R2 D U B2 L'
L2 B' R2 D2 L2 U L
D2 B' F L2 B U' L
U2 B' F2 R2 B U L
F B' U2 R2 F' U L'
F B' U2 F' R2 U L'
F B' D' B U' L F2
F B' D' B U' F2 L
F B' D2 L2 B U' L
F B' D2 B L2 U' L'
D B2 R' U' R F U'
L2 B2 U2 B R2 U L'
F B2 U R' U R' U
F B2 U D R' B2 U2
F B2 U D B2 U2 L
F B2 U D' R' U2 F2
D2 B2 F L2 U R' U2
D2 B2 F L2 B2 U' L
D' B2 F U R' U2 F
F B2 U2 R2 U' R U2
F B2 U2 R2 F2 U L'
F B2 D U R' B2 U2
F B2 D U B2 U2 L
F B2 D' U R' U2 F2
F B2 D' B2 U' L F2
F B2 D' B2 U' F2 L
F B2 D2 L2 U R' U2
F B2 D2 L2 B2 U' L
F B2 D2 B2 L2 U' L'
