L2 R' F2 U' F'
R' L2 F2 U' F'
F2 L2 R' U' F
F2 R' L2 U' F
F2 R' U B' U2
R' F2 L2 U' F
R' F2 U B' U2
D' R' U B' L2 U2 D2
D' R' U B' L2 D U2
D' R' U B' L2 D' U2
D' R' U B' L2 D2 U2
D2 R' U B' U B' U
F2 R' U D' B' U2 D
F2 R' U D' B' U2 D'
F2 R' U D' B' U2 D2
F2 R' U D' B' D U2
F2 R' U D' B' D' U2
F2 R' U D' B' D2 U2
D' R' U B' U2 D2 R2
D' R' U B' D2 U2 R2
D' R' U B2 L2 B U2
F2 R' U D2 B' U2 D
F2 R' U D2 B' U2 D'
F2 R' U D2 B' U2 D2
F2 R' U D2 B' D U2
F2 R' U D2 B' D' U2
F2 R' U D2 B' D2 U2
F2 R' U B U2 D2 F2
F2 R' U B D2 U2 F2
F2 R' U B2 D B U2
F2 R' U B2 D' B U2
F2 R' U B2 D2 B U2
D R' U B2 L B U2
F2 R' U' L2 F L2 D
F2 R' U' L2 F L2 D'
F2 R' U' L2 F L2 D2
F2 R' U' L2 F' L2 F2
F2 R' U' L2 F2 L2 F'
D R' U' L2 R' F L2
D R' U' L2 F L2 R'
D R' U' L2 F R' L2
F2 R' U' D L2 F L2
F R' U B' U' F U'
F2 R' U' D' L2 F L2
D R' U' R' L2 F L2
D R' U' R' U2 B' U2
F2 R' U' D2 L2 F L2
F2 R' U' F L2 F L2
F2 R' U' F U2 B' U2
F2 R' U' F' L2 F L2
F2 R' U' F' U2 B' U2
F2 R' U' F2 L2 F L2
F2 R' U' F2 U2 B' U2
F2 R' U' B D2 F2 B'
F2 R' U' B D2 B' F2
F2 R' U2 R U' B' U2
F2 R' U2 R' U' B' U2
F2 R' U2 R2 U' B' U2
D2 R' U2 B2 R2 U F'
D2 R' U2 B2 U' B U2
D' R' D L2 F2 U' F'
D2 R' D U L2 U2 F
D2 R' D U B' L2 U2
F2 R' D L2 U' D F
F2 R' D L2 U' D' F
F2 R' D L2 U' D2 F
F2 R' D L2 U' F D
F2 R' D L2 U' F D'
F2 R' D L2 U' F D2
F2 R' D L2 D U' F
F2 R' D L2 D' U' F
F2 R' D L2 D2 U' F
F' R' D U B' L U2
D' R' D F2 L2 U' F
D' R' D F2 U B' U2
D R' D L2 U' R' F
D R' D L2 U' F R'
F2 R' D U B' U2 D
F2 R' D U B' U2 D'
F2 R' D U B' U2 D2
F2 R' D U B' D U2
F2 R' D U B' D' U2
F2 R' D U B' D2 U2
F2 R' D U' L2 F L2
D2 R' D' L2 U' R2 F
D2 R' D' L2 U' F R2
D2 R' D' U B' U2 R2
F R' D F L2 U' F
F2 R' D' L2 U' D F
F2 R' D' L2 U' D' F
F2 R' D' L2 U' D2 F
F2 R' D' L2 U' F D
F2 R' D' L2 U' F D'
F2 R' D' L2 U' F D2
F2 R' D' L2 D U' F
F R' D F U B' U2
F2 R' D' L2 D' U' F
F2 R' D' L2 D2 U' F
D R' D' L2 U' R' F
D R' D' L2 U' F R'
F2 R' D' U B' U2 D
F2 R' D' U B' U2 D'
F2 R' D' U B' U2 D2
F2 R' D' U B' D U2
F2 R' D' U B' D' U2
F2 R' D' U B' D2 U2
F2 R' D' U' L2 F L2
D' R' D2 L2 U' R2 F
D' R' D2 L2 U' F R2
R U' B2 D R2 F' B2
R U' B2 D R2 B2 F'
D2 R' D2 L2 F2 U' F'
F' R' D2 L2 U' F R
D' R' D2 U B' U2 R2
F R' D' F L2 U' F
F2 R' D2 L2 U' D F
F2 R' D2 L2 U' D' F
F2 R' D2 L2 U' D2 F
F2 R' D2 L2 U' F D
F2 R' D2 L2 U' F D'
F2 R' D2 L2 U' F D2
F R' D' F U B' U2
F2 R' D2 L2 D U' F
F2 R' D2 L2 D' U' F
F2 R' D2 L2 D2 U' F
D2 R' D2 F2 L2 U' F
D2 R' D2 F2 U B' U2
D R' D2 L2 U' R' F
D R' D2 L2 U' F R'
F2 R' D2 U B' U2 D
F2 R' D2 U B' U2 D'
F2 R' D2 U B' U2 D2
F2 R' D2 U B' D U2
F2 R' D2 U B' D' U2
F2 R' D2 U B' D2 U2
F2 R' D2 U' L2 F L2
D' R' F U L2 U2 F
D' R' F U B' L2 U2
F R' D2 F L2 U' F
F R' D2 F U B' U2
F2 R' F L2 F' U' F2
D R' F L2 U' R' F
D R' F L2 U' F R'
F R' F L2 U' D F
F R' F L2 U' D' F
F R' F L2 U' D2 F
F R' F L2 U' F D
F R' F L2 U' F D'
F R' F L2 U' F D2
F R' F L2 D U' F
F R' F L2 D' U' F
F R' F L2 D2 U' F
D' R' F' U L2 U2 F
F R' F U D B' U2
F R' F U D' B' U2
F R' F U D2 B' U2
F R' F U B' U2 D
F R' F U B' U2 D'
F R' F U B' U2 D2
F R' F U B' D U2
F R' F U B' D' U2
F R' F U B' D2 U2
D' R' F' U B' L2 U2
F R' F U' L2 F L2
F R' F D L2 U' F
F R' F D U B' U2
F R' F D' L2 U' F
F R' F D' U B' U2
F R' F D2 L2 U' F
F R' F D2 U B' U2
D R' F' L2 U' R' F
D R' F' L2 U' F R'
F R' F' L2 F2 U' F'
U' R' F2 L2 U' F L2
D' R' F2 U L2 U2 F
D' R' F2 U B' L2 U2
F2 R' F2 L2 F2 U' F'
D R' F2 L2 U' R' F
D R' F2 L2 U' F R'
U2 R' F2 U' D' L2 F
F R' F2 L2 F' U' F2
U2 R' F2 D' U' L2 F
U R' F2 L2 U' F L
B2 R' F2 B2 R' U' F'
U R' F2 U B' U2 L'
U R' F2 U' L2 F L
F2 R' B D B' L2 U'
F2 R' B D2 B' U' F2
R' U2 D B2 U R2 F'
B2 R' B2 R' F2 U' F
B2 R' B2 F2 R' U' F'
R' U2 D2 B2 R2 U F'
R' U2 D2 B2 U' B U2
R U2 D2 L2 B2 U F
F2 R2 L' D2 R U' F'
F2 R2 L2 D R U' F
F2 R2 L2 D' R U' F
F2 R2 L2 D2 R U' F
F2 R2 U B' U' R U'
R' U2 B D2 B2 U F2
R' U2 B' U2 F2 U' F2
F2 R2 D L2 R U' F
F2 R2 D R L2 U' F
F2 R2 D R U B' U2
R' U2 B2 U D R2 F'
R' U2 B2 D U R2 F'
F2 R2 D' L2 R U' F
F2 R2 D' R L2 U' F
F2 R2 D' R U B' U2
F2 R2 D2 L2 R U' F
F2 R2 D2 R L2 U' F
F2 R2 D2 R U B' U2
L D L R' U' R' F
L D L R' U' F R'
R' D L2 U' R' F R'
R' D L2 U' R2 D F
R' D L2 U' R2 D' F
R' D L2 U' R2 D2 F
R' D L2 U' R2 F D
R' D L2 U' R2 F D'
R' D L2 U' R2 F D2
R' D L2 U' F R2 D
R' D L2 U' F R2 D'
R' D L2 U' F R2 D2
R' D L2 U' F' R2 F2
R' D L2 D' F2 U' F'
R' D L2 F' U' R2 F2
R' D L2 F' U' F2 R2
R' D L2 F2 U' F' R2
R2 D L2 R U' R F
R D L2 U' R2 F B2
R D L2 U' R2 B2 F
R D L2 U' F R2 B2
R D L2 U' F B2 R2
R D L2 U' B2 R2 F
R D L2 U' B2 F R2
R2 D R L2 U' R F
R2 D R U B' U2 R
L' D R' F L' U' R'
B2 R2 F2 B2 R' U' F
L2 D R' U' R F R2
L' D R' F2 U' R' F'
L2 D R' U' R' D F
L2 D R' U' R' D' F
L2 D R' U' R' D2 F
L2 D R' U' R' F D
L2 D R' U' R' F D'
L2 D R' U' R' F D2
L2 D R' U' D R' F
L2 D R' U' D F R'
L2 D R' U' D' R' F
L2 D R' U' D' F R'
L2 D R' U' D2 R' F
L2 D R' U' D2 F R'
L2 D R' U' F R' D
L2 D R' U' F R' D'
L2 D R' U' F R' D2
L2 D R' U' F D R'
L2 D R' U' F D' R'
L2 D R' U' F D2 R'
L2 D R' U' F' R' F2
L2 D R' D U' R' F
L2 D R' D U' F R'
L2 D R' D' U' R' F
L2 D R' D' U' F R'
L2 D R' D2 U' R' F
L2 D R' D2 U' F R'
L D R' L U' R' F
L D R' L U' F R'
L2 D R' F' U' R' F2
L2 D R' F' U' F2 R'
L2 D R' F2 U' F' R'
R' D U L2 U2 R2 F
R' D U L2 U2 F R2
R' D U B' L U2 R2
R' D U B' L' U2 R2
R' D U B' L2 U2 R2
R' D U B' U2 R2 D
R' D U B' U2 R2 D'
R' D U B' U2 R2 D2
R' D U B' D2 L2 U2
R' D U B2 U2 R2 F'
R' D U' L2 R2 F L2
R' D U' L2 F L2 R2
R' D U' L2 F R2 L2
R' D U' R2 L2 F L2
R' D U' R2 U2 B' U2
R' D U' B2 R2 F' B2
R' D U' B2 R2 B2 F'
B2 R2 B2 F2 R' U' F
R D U B' U2 R2 B'
R D U B' U2 B' R2
R' D U2 B2 U R2 F'
R' D F L2 U' R2 F
R' D F L2 U' F R2
L' D F L' R' U' R'
R D U' F B2 R2 F'
R' D F U B' U2 R2
R D U' F' B2 R2 F'
R D U' F2 B2 R2 F'
L' D F R' L' U' R'
R D U' B2 R2 D F'
R D U' B2 R2 D' F'
R D U' B2 R2 D2 F'
R D U' B2 R2 F' D
R D U' B2 R2 F' D'
R D U' B2 R2 F' D2
R D U' B2 F R2 F'
R D U' B2 F' R2 F'
R D U' B2 F2 R2 F'
R' D F' L2 U' R2 F
R' D F' L2 U' F R2
D' U L2 U' R' U' F
R' D F' U B' U2 R2
L2 D F' R' U' R' F2
L2 D F' R' U' F2 R'
R' D F2 L2 U' R2 F
R' D F2 L2 U' F R2
R D F U' B2 R2 F'
R' D F2 U B' U2 R2
L' D F2 R' U' R' F'
R D F' U' B2 R2 F'
R D F2 U' B2 R2 F'
R D B2 R2 D L2 F'
R D B2 R2 D F' L2
R D B2 R2 F' D L2
R' D' L' U L' U2 F
D2 U B' U B' L U
R2 D' R U L2 U2 F
R2 D' R U B' L2 U2
U2 D B2 L U R2 F'
L2 D' R' U L2 B' U2
B' U B R' F2 L' U'
L2 D' R' U' D2 R2 F
L2 D' R' U' D2 F R2
L2 D' R' U' F D2 R2
L2 D' R' D F2 U' F'
L2 D' R' D2 U' R2 F
L2 D' R' D2 U' F R2
R' D' U L2 U2 D F
R' D' U L2 U2 D' F
R' D' U L2 U2 D2 F
R' D' U L2 U2 F D
R' D' U L2 U2 F D'
R' D' U L2 U2 F D2
R' D' U L2 D U2 F
R' D' U L2 D' U2 F
R' D' U L2 D2 U2 F
R' D' U L2 B U2 F
R' D' U L2 B' U2 F
R' D' U L2 B2 U2 F
R' D' U B L2 B2 U2
R' D' U B' L2 U2 D
R' D' U B' L2 U2 D'
R' D' U B' L2 U2 D2
R' D' U B' L2 D U2
R' D' U B' L2 D' U2
R' D' U B' L2 D2 U2
R' D' U B' U2 D2 R2
R' D' U B' D2 U2 R2
R' D' U B2 L2 B U2
R D' U L2 F2 U2 F'
R D' U F2 L2 U2 F
R D' U F2 B' L2 U2
R D' U B' L2 F2 U2
R D' U B' F2 L2 U2
U D' L2 U' R' U' F
R' D' F U L2 U2 F
R' D' F U B' L2 U2
R' D' F' U L2 U2 F
R' D' F' U B' L2 U2
R' D' F2 U L2 U2 F
R' D' F2 U B' L2 U2
R' D2 L2 U' D' R2 F
R' D2 L2 U' D' F R2
R' D2 L2 U' F D' R2
R' D2 L2 U2 B2 U F
R' D2 L2 D' U' R2 F
R' D2 L2 D' U' F R2
R' D2 L2 D2 F2 U' F'
B' U' F B R' F U'
D2 U2 L B2 L U F
U2 D2 L B2 L U F
L' D2 R' U' D' R2 F'
B' U' F2 B R' U' D
B' U' F2 B R' U' D'
B' U' F2 B R' U' D2
B' U' F2 B R' D U'
B' U' F2 B R' D' U'
B' U' F2 B R' D2 U'
B' U' F2 B D R' U'
B' U' F2 B D' R' U'
B' U' F2 B D2 R' U'
L' D2 R' D' U' R2 F'
B' U' B R F2 R2 U'
B' U' B R' U' D R2
B' U' B R' D U' R2
B' U' B R' F2 U' D
B' U' B R' F2 U' D'
B' U' B R' F2 U' D2
B' U' B R' F2 D U'
B' U' B R' F2 D' U'
B' U' B R' F2 D2 U'
L2 D2 R' U' D' R2 F
L2 D2 R' U' D' F R2
L2 D2 R' U' F D' R2
L2 D2 R' U2 B2 U F
L2 D2 R' D' U' R2 F
L2 D2 R' D' U' F R2
B' U' B D R' U' R'
L2 D2 R' D2 F2 U' F'
B' U' B F R' F U'
B' U' B F2 R' U' D
B' U' B F2 R' U' D'
B' U' B F2 R' U' D2
B' U' B F2 R' D U'
B' U' B F2 R' D' U'
B' U' B F2 R' D2 U'
B' U' B F2 D R' U'
B' U' B F2 D' R' U'
B' U' B F2 D2 R' U'
R' D2 U B' U B' U
F2 U2 L U2 R' U' F'
R' D2 U2 B2 R2 U F'
R' D2 U2 B2 U' B U2
R D2 U2 L2 B2 U F
F2 U2 L2 U2 R' U' F
F2 U2 R D2 L2 U F
F2 U2 R' U' B' U2 B
D2 U2 B2 L R2 U F'
D2 U2 B2 L U' B U2
D2 U2 B2 R2 L U F'
U2 D2 B2 L R2 U F'
U2 D2 B2 L U' B U2
U2 D2 B2 R2 L U F'
U D2 B' U B' L U
D U2 B2 L U R2 F'
L' F L' R' U' F R
R' F L2 U2 B' U F
D F L2 R' U' R' F
D F L2 R' U' F R'
D' F R' U L2 U2 F
D' F R' U B' L2 U2
L' F R' L' U' F R
B' U2 F2 B R' U' F2
L' F R' D F L' U'
L' F R' F L' U' F
B' U2 B R' F2 U' F2
L2 F R' D F U' F'
L2 F R' D' F U' F'
L2 F R' D2 F U' F'
L2 F R' F L U' F'
L2 F R' F L' U' F'
L2 F R' F L2 U' F'
L2 F R' F U' D F'
L2 F R' F U' D' F'
L2 F R' F U' D2 F'
L2 F R' F U' F' D
L2 F R' F U' F' D'
L2 F R' F U' F' D2
L2 F R' F D U' F'
L2 F R' F D' U' F'
L2 F R' F D2 U' F'
D F R' L2 U' R' F
D F R' L2 U' F R'
B' U2 B F2 R' U' F2
L F R' F L U' F
R' F U B' U' F U'
R F R2 F L2 U' F
R F R2 F U B' U2
B2 D L U L R2 F'
B2 D L U R2 L F'
B2 D L U R2 F' L
L' F D R' F L' U'
R' F D F L2 U' F
R' F D F U B' U2
L' F D F L' R' U'
L' F D F R' L' U'
F2 D L2 R' U' D F
F2 D L2 R' U' D' F
F2 D L2 R' U' D2 F
F2 D L2 R' U' F D
F2 D L2 R' U' F D'
F2 D L2 R' U' F D2
F2 D L2 R' D U' F
F2 D L2 R' D' U' F
L2 F D R' F U' F'
F2 D L2 R' D2 U' F
F2 D L2 D R' U' F
F' D L2 F' R' U' F2
F2 D L2 D' R' U' F
R' F D' F L2 U' F
F2 D L2 D2 R' U' F
R' F D' F U B' U2
L2 F D' R' F U' F'
R' F D2 F L2 U' F
R' F D2 F U B' U2
L2 F D2 R' F U' F'
F2 D R' L2 U' D F
F2 D R' L2 U' D' F
F2 D R' L2 U' D2 F
F2 D R' L2 U' F D
F2 D R' L2 U' F D'
F2 D R' L2 U' F D2
F2 D R' L2 D U' F
F2 D R' L2 D' U' F
F2 D R' L2 D2 U' F
F2 D R' U D B' U2
F2 D R' U D' B' U2
F2 D R' U D2 B' U2
F2 D R' U B' U2 D
F2 D R' U B' U2 D'
F2 D R' U B' U2 D2
F2 D R' U B' D U2
F2 D R' U B' D' U2
F2 D R' U B' D2 U2
F2 D R' U' L2 F L2
F2 D R' D L2 U' F
F2 D R' D U B' U2
F2 D R' D' L2 U' F
F2 D R' D' U B' U2
F2 D R' D2 L2 U' F
F2 D R' D2 U B' U2
F D R' F L2 U' F
F D R' F U B' U2
R' F' L F' L U' F
R' F' L' F' L' U' F
L' F' L' F' R' U' F2
R' F' L2 U' F D R2
R' F' L2 D F' U' F2
R' F' L2 D' F' U' F2
R' F' L2 D2 F' U' F2
R' F' L2 F' L U' F2
R' F' L2 F' L' U' F2
R' F' L2 F' L2 U' F2
R' F' L2 F' U' F2 D
R' F' L2 F' U' F2 D'
R' F' L2 F' U' F2 D2
R' F' L2 F' D' L2 U'
L F' L F' R' U' F2
F' D F' L2 R' U' F
F' D F' R' L2 U' F
F' D F' R' U B' U2
F D F L2 R' U' F
D F' L2 R' U' R' F
D F' L2 R' U' F R'
F D F R' L2 U' F
F D F R' U B' U2
D' F' R' U L2 U2 F
D' F' R' U B' L2 U2
R F' L2 F' R2 U' F2
D F' R' L2 U' R' F
D F' R' L2 U' F R'
R' F' U B' U' F' U'
B D B' L2 R' U' R'
B D B' R' L2 U' R'
R' F' D L2 F' U' F2
R' F' D F' L2 U' F
R' F' D F' U B' U2
R' F' D' L2 F' U' F2
F2 D' L2 R' U' D F
F2 D' L2 R' U' D' F
F2 D' L2 R' U' D2 F
F2 D' L2 R' U' F D
F2 D' L2 R' U' F D'
F2 D' L2 R' U' F D2
F2 D' L2 R' D U' F
F2 D' L2 R' D' U' F
F2 D' L2 R' D2 U' F
F' D' L2 F' R' U' F2
F2 D' L2 D R' U' F
F2 D' L2 D' R' U' F
R' F' D' F' L2 U' F
R' F' D' F' U B' U2
F2 D' L2 D2 R' U' F
L2 F' D' L2 F' R' U'
R' F' D2 L2 F' U' F2
L2 F' D' F' L2 R' U'
L2 F' D' F' R' L2 U'
R' F' D2 F' L2 U' F
R' F' D2 F' U B' U2
F2 D' R' L2 U' D F
F2 D' R' L2 U' D' F
F2 D' R' L2 U' D2 F
F2 D' R' L2 U' F D
F2 D' R' L2 U' F D'
F2 D' R' L2 U' F D2
F2 D' R' L2 D U' F
F2 D' R' L2 D' U' F
F2 D' R' L2 D2 U' F
F2 D' R' U D B' U2
F2 D' R' U D' B' U2
F2 D' R' U D2 B' U2
F2 D' R' U B' U2 D
F2 D' R' U B' U2 D'
F2 D' R' U B' U2 D2
F2 D' R' U B' D U2
F2 D' R' U B' D' U2
F2 D' R' U B' D2 U2
F2 D' R' U' L2 F L2
F2 D' R' D L2 U' F
F2 D' R' D U B' U2
F2 D' R' D' L2 U' F
F2 D' R' D' U B' U2
F2 D' R' D2 L2 U' F
F2 D' R' D2 U B' U2
F D' R' F L2 U' F
F D' R' F U B' U2
L' F2 L R' U B' U2
R' F2 L U2 R' U F'
R' F2 L D L U' F
R' F2 L D' L U' F
R' F2 L D2 L U' F
R' F2 L' U' L' F L
L' F2 L' R' U' D F
L' F2 L' R' U' D' F
L' F2 L' R' U' D2 F
L' F2 L' R' U' F D
L' F2 L' R' U' F D'
L' F2 L' R' U' F D2
L' F2 L' R' D U' F
L' F2 L' R' D' U' F
L' F2 L' R' D2 U' F
L' F2 L' D R' U' F
L' F2 L' D' R' U' F
L' F2 L' D2 R' U' F
U' F2 L2 R' U' F L2
L F2 L R' U' D F
L F2 L R' U' D' F
L F2 L R' U' D2 F
L F2 L R' U' F D
L F2 L R' U' F D'
L F2 L R' U' F D2
L F2 L R' D U' F
L F2 L R' D' U' F
L F2 L R' D2 U' F
R' F2 L2 U B U2 F
R' F2 L2 U B' U2 F
R' F2 L2 U B2 U2 F
R' F2 L2 U' R F R'
R' F2 L2 U' R2 F R2
R' F2 L2 U' D F D
R' F2 L2 U' D F D'
R' F2 L2 U' D F D2
R' F2 L2 U' D' F D
R' F2 L2 U' D' F D'
R' F2 L2 U' D' F D2
R' F2 L2 U' D2 F D
R' F2 L2 U' D2 F D'
R' F2 L2 U' D2 F D2
R' F2 L2 U' F2 D F'
R' F2 L2 U' F2 D' F'
R' F2 L2 U' F2 D2 F'
R' F2 L2 U2 R U F
R' F2 L2 U2 R' U F
R' F2 L2 U2 R2 U F
R' F2 L2 D U' F D
R' F2 L2 D U' F D'
R' F2 L2 D U' F D2
L F2 L D R' U' F
R' F2 L2 D' U' F D
R' F2 L2 D' U' F D'
R' F2 L2 D' U' F D2
L F2 L D' R' U' F
R' F2 L2 D2 U' F D
R' F2 L2 D2 U' F D'
R' F2 L2 D2 U' F D2
L F2 L D2 R' U' F
F' D' F' L2 R' U' F
F' D' F' R' L2 U' F
F' D' F' R' U B' U2
L F2 L' R' U B' U2
F D' F L2 R' U' F
D F2 L2 R' U' R' F
D F2 L2 R' U' F R'
F D' F R' L2 U' F
F D' F R' U B' U2
U' F2 R' L2 U' F L2
L' F2 R' L U B' U2
D' F2 R' U L2 U2 F
L' F2 R' L' U' D F
L' F2 R' L' U' D' F
L' F2 R' L' U' D2 F
L' F2 R' L' U' F D
L' F2 R' L' U' F D'
L' F2 R' L' U' F D2
L' F2 R' L' D U' F
D' F2 R' U B' L2 U2
L' F2 R' L' D' U' F
L' F2 R' L' D2 U' F
L' F2 R' U' L' F L
R F2 L2 R2 U' D F
R F2 L2 R2 U' D' F
R F2 L2 R2 U' D2 F
R F2 L2 R2 U' F D
R F2 L2 R2 U' F D'
R F2 L2 R2 U' F D2
R F2 L2 R2 D U' F
R F2 L2 R2 D' U' F
R F2 L2 R2 D2 U' F
R F2 L2 U' D F B2
R F2 L2 U' D B2 F
R F2 L2 U' F D B2
R F2 L2 D U' F B2
R F2 L2 D U' B2 F
L2 F2 R' U' R F' R'
U2 F2 R' U' D' L2 F
L2 F2 R' U2 R U F'
U2 F2 R' D' U' L2 F
L2 F2 R' D2 L' U' F
D F2 R' L2 U' R' F
D F2 R' L2 U' F R'
L' F2 R2 D2 R U' F'
L F2 R' L U' D F
L F2 R' L U' D' F
L F2 R' L U' D2 F
L F2 R' L U' F D
L F2 R' L U' F D'
L F2 R' L U' F D2
L F2 R' L D U' F
L F2 R' L D' U' F
L F2 R' L D2 U' F
L F2 R' L' U B' U2
U F2 R' U R B' U2
U F2 R' U B' R U2
R' F2 U R' B' R U2
R' F2 U R2 B' R2 U2
L F2 R' U2 R' U F'
R' F2 U D B' U2 D
R' F2 U D B' U2 D'
R' F2 U D B' U2 D2
R' F2 U D B' D U2
R' F2 U D B' D' U2
R' F2 U D B' D2 U2
L F2 R' D L U' F
R' F2 U D' B' U2 D
R' F2 U D' B' U2 D'
R' F2 U D' B' U2 D2
R' F2 U D' B' D U2
R' F2 U D' B' D' U2
R' F2 U D' B' D2 U2
L F2 R' D' L U' F
R' F2 U D2 B' U2 D
R' F2 U D2 B' U2 D'
R' F2 U D2 B' U2 D2
R' F2 U D2 B' D U2
R' F2 U D2 B' D' U2
R' F2 U D2 B' D2 U2
L F2 R' D2 L U' F
R' F2 U B U2 D2 F2
R' F2 U B D2 U2 F2
R' F2 U B2 D B U2
R' F2 U B2 D' B U2
R' F2 U B2 D2 B U2
R' F2 U' L2 F L2 D
R' F2 U' L2 F L2 D'
R' F2 U' L2 F L2 D2
R' F2 U' L2 F' L2 F2
R' F2 U' L2 F2 L2 F'
R' F2 U' D L2 F L2
R' F2 U' D' L2 F L2
R' F2 U' D2 L2 F L2
R F2 R2 L2 U' D F
R F2 R2 L2 U' D' F
R F2 R2 L2 U' D2 F
R F2 R2 L2 U' F D
R F2 R2 L2 U' F D'
R F2 R2 L2 U' F D2
R F2 R2 L2 D U' F
R F2 R2 L2 D' U' F
R F2 R2 L2 D2 U' F
R' F2 U' F L2 F L2
R' F2 U' F U2 B' U2
R F2 R2 U D B' U2
R F2 R2 U D' B' U2
R F2 R2 U D2 B' U2
R' F2 U' F' L2 F L2
R F2 R2 U B' U2 D
R F2 R2 U B' U2 D'
R F2 R2 U B' U2 D2
R F2 R2 U B' D U2
R F2 R2 U B' D' U2
R F2 R2 U B' D2 U2
R' F2 U' F' U2 B' U2
R F2 R2 U' L2 F L2
R' F2 U' F2 L2 F L2
R' F2 U' F2 U2 B' U2
R F2 R2 D L2 U' F
R' F2 U' B D2 F2 B'
R' F2 U' B D2 B' F2
R F2 R2 D U B' U2
R F2 R2 D' L2 U' F
R F2 R2 D' U B' U2
R F2 R2 D2 L2 U' F
R F2 R2 D2 U B' U2
R2 F2 U B' U L' U
R' F2 U2 R U' B' U2
R' F2 U2 R' U' B' U2
R' F2 U2 R2 U' B' U2
L2 F2 U' F' U R' U'
R F2 U D B' U2 B'
R F2 U D' F2 B' U2
R F2 U D' B' F2 U2
R' F2 D L2 U' D F
R' F2 D L2 U' D' F
R' F2 D L2 U' D2 F
R' F2 D L2 U' F D
R' F2 D L2 U' F D'
R' F2 D L2 U' F D2
R' F2 D L2 D U' F
R' F2 D L2 D' U' F
R' F2 D L2 D2 U' F
R F2 U B' U' R2 U'
R F2 U B' U2 D B2
R F2 U B' D U2 B2
R F2 U B' D' F2 U2
R' F2 D U B' U2 D
R' F2 D U B' U2 D'
R' F2 D U B' U2 D2
R' F2 D U B' D U2
R' F2 D U B' D' U2
R' F2 D U B' D2 U2
R' F2 D U' L2 F L2
R' F2 D' L2 U' D F
R' F2 D' L2 U' D' F
R' F2 D' L2 U' D2 F
R' F2 D' L2 U' F D
R' F2 D' L2 U' F D'
R' F2 D' L2 U' F D2
R' F2 D' L2 D U' F
R' F2 D' L2 D' U' F
R' F2 D' L2 D2 U' F
F2 D2 L2 R' U' D F
F2 D2 L2 R' U' D' F
F2 D2 L2 R' U' D2 F
F2 D2 L2 R' U' F D
F2 D2 L2 R' U' F D'
F2 D2 L2 R' U' F D2
F2 D2 L2 R' D U' F
F2 D2 L2 R' D' U' F
F2 D2 L2 R' D2 U' F
R' F2 D' U B' U2 D
R' F2 D' U B' U2 D'
R' F2 D' U B' U2 D2
R' F2 D' U B' D U2
R' F2 D' U B' D' U2
R' F2 D' U B' D2 U2
R' F2 D' U' L2 F L2
F' D2 L2 F' R' U' F2
F2 D2 L2 D R' U' F
F2 D2 L2 D' R' U' F
F2 D2 L2 D2 R' U' F
R F2 U2 D2 L2 U F
L F2 D L R' U' F
R' F2 D2 L2 U' D F
R' F2 D2 L2 U' D' F
R' F2 D2 L2 U' D2 F
R' F2 D2 L2 U' F D
R' F2 D2 L2 U' F D'
R' F2 D2 L2 U' F D2
R' F2 D2 L2 D U' F
R' F2 D2 L2 D' U' F
U2 F2 D' R' U' L2 F
R' F2 D2 L2 D2 U' F
L F2 D R' L U' F
R' F2 D2 U B' U2 D
R' F2 D2 U B' U2 D'
R' F2 D2 U B' U2 D2
R' F2 D2 U B' D U2
R' F2 D2 U B' D' U2
R' F2 D2 U B' D2 U2
R' F2 D2 U' L2 F L2
L' F2 D2 R' U B U2
R F2 D L2 U' F B2
R F2 D L2 U' B2 F
R F2 D U B' U2 B'
L F2 D' L R' U' F
F2 D2 R' L2 U' D F
F2 D2 R' L2 U' D' F
F2 D2 R' L2 U' D2 F
F2 D2 R' L2 U' F D
F2 D2 R' L2 U' F D'
F2 D2 R' L2 U' F D2
F2 D2 R' L2 D U' F
F2 D2 R' L2 D' U' F
F2 D2 R' L2 D2 U' F
F2 D2 R' U D B' U2
F2 D2 R' U D' B' U2
F2 D2 R' U D2 B' U2
F2 D2 R' U B' U2 D
F2 D2 R' U B' U2 D'
F2 D2 R' U B' U2 D2
L F2 D' R' L U' F
F2 D2 R' U B' D U2
F2 D2 R' U B' D' U2
F2 D2 R' U B' D2 U2
F2 D2 R' U' L2 F L2
F2 D2 R' D L2 U' F
F2 D2 R' D U B' U2
F2 D2 R' D' L2 U' F
F2 D2 R' D' U B' U2
R' F2 B D B' L2 U'
F2 D2 R' D2 L2 U' F
F2 D2 R' D2 U B' U2
R' F2 B D2 B' U' F2
R F2 D' U F2 B' U2
R F2 D' U B' F2 U2
L F2 D2 L R' U' F
L F2 D2 R' L U' F
F D2 R' F L2 U' F
R F2 D2 U2 L2 U F
F D2 R' F U B' U2
R F2 B2 R2 B2 U' F'
F' D2 F' L2 R' U' F
F' D2 F' R' L2 U' F
F' D2 F' R' U B' U2
F D2 F L2 R' U' F
F D2 F R' L2 U' F
F D2 F R' U B' U2
R' B D B' L2 U' R2
R' B F2 D B' L2 U'
R' B F2 D2 B' U' F2
B' F U' F B R' U'
B' F U' B R' F U'
B' F U' B F R' U'
D' B' L2 U' B R' U'
F2 B D B' L2 R' U'
F2 B D B' R' L2 U'
F2 B D2 B' R' U' F2
R' B' U' F2 B U' B'
R' B' U' B F2 U' B'
R2 B' U' B R F2 U'
