L2 B' L' R' U'
L2 B' R' L' U'
L2 R B' L' R' U'
L2 R B' R' L' U'
L2 R' B' L' R' U'
L2 R' B' R' L' U'
R' L2 B' L' R' U'
R' L2 B' R' L' U'
L2 R2 B' L' R' U'
L2 R2 B' R' L' U'
R2 L2 B' L' R' U'
R2 L2 B' R' L' U'
R L2 B' L' R' U'
R L2 B' R' L' U'
D' L2 B' L' R' U'
D2 L2 B' L' R' U'
D' L2 B' R' L' U'
D2 L2 B' R' L' U'
D L2 B' L' R' U'
D L2 B' R' L' U'
L U' D' L' B' L
B' R' U2 F R U
L U2 F' L' F U
L2 D B' L' R' U'
L2 D B' R' L' U'
L D' U' L' B' L
L2 D' B' L' R' U'
L2 D' B' R' L' U'
L D' B' R' U' L
L2 D2 B' L' R' U'
L2 D2 B' R' L' U'
L D2 B' R' B U'
U2 F U2 L R U'
U2 F U2 R L U'
L2 B' L' R' U' D
L2 B' L' R' U' D'
L2 B' L' R' U' D2
L2 B' L' R' U' D2
L2 B' L' R' D U'
L2 B' L' R' D' U'
L2 B' L' R' D2 U'
L2 B' L' D R' U'
L2 B' L' D' R' U'
L2 B' L' D2 R' U'
L2 B' R' L' U' D
L2 B' R' L' U' D'
L2 B' R' L' U' D2
L2 B' R' L' D U'
L2 B' R' L' D' U'
L2 B' R' L' D2 U'
L2 B' R' D L' U'
L2 B' R' D L' U'
L2 B' R' D' L' U'
L2 B' R' D2 L' U'
L2 B' D L' R' U'
L2 B' D R' L' U'
L2 B' D' L' R' U'
L2 B' D' R' L' U'
L2 B' D2 L' R' U'
L2 B' D2 R' L' U'
L B' D2 R' B U'
L2 B2 L' B R' U'
L B' R' D' B' U' L
R B' R' U2 F R U
L2 B' D L' R' U' D
L2 B' D L' R' U' D'
L2 B' D L' R' U' D2
L2 B' D L' R' D U'
L2 B' D L' R' D' U'
L2 B' D L' R' D2 U'
L2 B' D L' D R' U'
L2 B' D L' D' R' U'
L2 B' D L' D2 R' U'
L2 B' D R' L' U' D
L2 B' D R' L' U' D'
L2 B' D R' L' U' D2
L2 B' D R' L' D U'
L2 B' D R' L' D' U'
L2 B' D R' L' D2 U'
L2 B' D R' D L' U'
L2 B' D R' D' L' U'
L2 B' D R' D2 L' U'
L2 B' D' L' R' U' D
L2 B' D' L' R' U' D'
L2 B' D' L' R' U' D2
L2 B' D' L' R' D U'
L2 B' D' L' R' D' U'
L2 B' D' L' R' D2 U'
L2 B' D' L' D R' U'
L2 B' D' L' D' R' U'
L2 B' D' L' D2 R' U'
L2 B' D' R' L' U' D
L2 B' D' R' L' U' D'
L2 B' D' R' L' U' D2
L2 B' D' R' L' D U'
L2 B' D' R' L' D' U'
L2 B' D' R' L' D2 U'
L2 B' D' R' D L' U'
L2 B' D' R' D' L' U'
L2 B' D' R' D2 L' U'
L2 B' D2 L' R' U' D
L2 B' D2 L' R' U' D'
L2 B' D2 L' R' U' D2
L2 B' D2 L' R' D U'
L2 B' D2 L' R' D' U'
L2 B' D2 L' R' D2 U'
L2 B' D2 L' D R' U'
L2 B' D2 L' D' R' U'
L2 B' D2 L' D2 R' U'
L2 B' D2 R' L' U' D
L2 B' D2 R' L' U' D'
L2 B' D2 R' L' U' D2
L2 B' D2 R' L' D U'
L2 B' D2 R' L' D' U'
L2 B' D2 R' L' D2 U'
L2 B' D2 R' D L' U'
L2 B' D2 R' D' L' U'
L2 B' D2 R' D2 L' U'
L B' D' R' B' U' L
L B' D2 R' D B U'
L B' D2 R' D' B U'
L B' D2 R' D2 B U'
L B' D2 R' B U' D
L B' D2 R' B U' D'
L B' D2 R' B U' D2
L B' D2 R' B D U'
L B' D2 R' B D' U'
L B' D2 R' B D2 U'
L2 B' F' R' F L' U'
F B' U2 F' L' R' U'
F B' U2 F' R' L' U'
L2 B2 L B L2 R' U'
L2 B2 L B R' L2 U'
L2 B2 L' B R' U' D
L2 B2 L' B R' U' D'
L2 B2 L' B R' U' D2
L2 B2 L' B R' D U'
L2 B2 L' B R' D' U'
L2 B2 L' B R' D2 U'
L2 B2 L' B D R' U'
L2 B2 L' B D' R' U'
L2 B2 L' B D2 R' U'
