F2 U' F R B'
F2 U' F B' R
F2 U' B' F R
U' F R F2 B'
U' F R B' F2
U' F B' R F2
U' B' F R F2
F2 U' R2 F B' D' R
F2 U' R2 F B' D2 R
F U' R' F R F B'
F U' R' F R B' F
F U' R' F B' R F
F2 U' R2 B F R B2
F2 U' R2 B' R F R
F2 U' R2 B' R' F R
F2 U' R2 B' R2 F R
F2 U' R2 B' D F R
F2 U' R2 B' D' F R
F2 U' R2 B' D2 F R
F2 U' R2 B' F R D
F2 U' R2 B' F R D'
F2 U' R2 B' F R D2
F2 U' R2 B' F D R
F2 U' R2 B' F D' R
F2 U' R2 B' F D2 R
F U' R' B' F R F
D U' F' B' U2 L' U2
F2 U' D R F R B'
F2 U' D R F B' R
F2 U' D R B' F R
F2 U' D R' F R B'
F2 U' D R' F B' R
F2 U' D R' B' F R
F2 U' D R2 F R B'
F2 U' D R2 F B' R
F2 U' D R2 B' F R
F2 U' D F R D B'
F2 U' D F R D' B'
F2 U' D F R D2 B'
F2 U' D F R B' D
F2 U' D F R B' D'
F2 U' D F R B' D2
F2 U' D F R' B' R2
F2 U' D F D R B'
F2 U' D F D B' R
F2 U' D F D' R B'
F2 U' D F D' B' R
F2 U' D F D2 R B'
F2 U' D F D2 B' R
F2 U' D F B R B2
F2 U' D F B' R D
F2 U' D F B' R D'
F2 U' D F B' R D2
F2 U' D F B' D R
F2 U' D F B' D' R
F2 U' D F B' D2 R
F2 U' D B F R B2
U' D' B F R F2 B2
U' D' B F R B2 F2
D' U' B F R F2 B2
D' U' B F R B2 F2
F2 U' D B' R F R
F2 U' D B' R' F R
F U' R2 F R F B'
F U' R2 F R B' F
F2 U' D B' R2 F R
F2 U' D B' D F R
F2 U' D B' D' F R
F2 U' D B' D2 F R
F2 U' D B' F R D
F2 U' D B' F R D'
F2 U' D B' F R D2
F2 U' D B' F D R
F2 U' D B' F D' R
F2 U' D B' F D2 R
F U' R2 F B' R F
D2 U' B F R F2 B2
D2 U' B F R B2 F2
F U' R2 B' F R F
F2 U' D' R F R B'
F2 U' D' R F B' R
F2 U' D' R B' F R
U D' F2 U2 F R B'
U D' F2 U2 F B' R
U D' F2 U2 B' F R
U' D' B' R' F R F'
F2 U' D' R' F R B'
F2 U' D' R' F B' R
D' U' B' R' F R F'
F2 U' D' R' B' F R
F2 U' D' R2 F R B'
F2 U' D' R2 F B' R
F2 U' D' R2 B' F R
F2 U' D' F R D B'
F2 U' D' F R D' B'
F2 U' D' F R D2 B'
F2 U' D' F R B' D
F2 U' D' F R B' D'
F2 U' D' F R B' D2
F2 U' D' F R' B' R2
F2 U' D' F D R B'
F2 U' D' F D B' R
F2 U' D' F D' R B'
F2 U' D' F D' B' R
F2 U' D' F D2 R B'
F2 U' D' F D2 B' R
F2 U' D' F B R B2
F2 U' D' F B' R D
F2 U' D' F B' R D'
F2 U' D' F B' R D2
F2 U' D' F B' D R
F2 U' D' F B' D' R
F2 U' D' F B' D2 R
D2 U' B' R' F R F'
U' D' B' D F R F2
D' U' B' D F R F2
F2 U' D' B F R B2
F2 U' D' B' R F R
F2 U' D' B' R' F R
F2 U' D' B' R2 F R
U D' B L U2 F' B2
U D' B L U2 B2 F'
U' D' B' D' F R F2
D' U' B' D' F R F2
F2 U' D' B' D F R
F2 U' D' B' D' F R
F2 U' D' B' D2 F R
F2 U' D' B' F R D
F2 U' D' B' F R D'
F2 U' D' B' F R D2
F2 U' D' B' F D R
F2 U' D' B' F D' R
F2 U' D' B' F D2 R
U' D' B' D2 F R F2
D' U' B' D2 F R F2
U' D' B' F R F2 D
U' D' B' F R F2 D'
U' D' B' F R F2 D2
U' D' B' F R' F2 R2
D' U' B' F R F2 D
D' U' B' F R F2 D'
D' U' B' F R F2 D2
U' D' B' F R2 F2 R'
D' U' B' F R' F2 R2
D' U' B' F R2 F2 R'
D2 U' B' D F R F2
U' D' B' F' U2 L' U2
D' U' B' F' U2 L' U2
D2 U' B' D' F R F2
D2 U' B' D2 F R F2
D2 U' B' F R F2 D
D2 U' B' F R F2 D'
D2 U' B' F R F2 D2
D2 U' B' F R' F2 R2
D2 U' B' F R2 F2 R'
F2 U' D2 R F R B'
F2 U' D2 R F B' R
F2 U' D2 R B' F R
D2 U' B' F' U2 L' U2
F2 U' D2 R' F R B'
F2 U' D2 R' F B' R
F2 U' D2 R' B' F R
D U' B F R F2 B2
D U' B F R B2 F2
F2 U' D2 R2 F R B'
F2 U' D2 R2 F B' R
F2 U' D2 R2 B' F R
F2 U' D2 F R D B'
F2 U' D2 F R D' B'
F2 U' D2 F R D2 B'
F2 U' D2 F R B' D
F2 U' D2 F R B' D'
F2 U' D2 F R B' D2
F2 U' D2 F R' B' R2
F2 U' D2 F D R B'
F2 U' D2 F D B' R
F2 U' D2 F D' R B'
F2 U' D2 F D' B' R
F2 U' D2 F D2 R B'
F2 U' D2 F D2 B' R
F2 U' D2 F B R B2
F2 U' D2 F B' R D
F2 U' D2 F B' R D'
F2 U' D2 F B' R D2
F2 U' D2 F B' D R
F2 U' D2 F B' D' R
F2 U' D2 F B' D2 R
U D' B U2 F' B2 R'
U D' B U2 B2 F' R'
F2 U' D2 B F R B2
F2 U' D2 B' R F R
F2 U' D2 B' R' F R
F2 U' D2 B' R2 F R
F2 U' D2 B' D F R
F2 U' D2 B' D' F R
F2 U' D2 B' D2 F R
F2 U' D2 B' F R D
F2 U' D2 B' F R D'
F2 U' D2 B' F R D2
F2 U' D2 B' F D R
F2 U' D2 B' F D' R
F2 U' D2 B' F D2 R
D U' B' R' F R F'
F2 U' F R D B' D
F2 U' F R D B' D'
F2 U' F R D B' D2
F2 U' F R D' B' D
F2 U' F R D' B' D'
F2 U' F R D' B' D2
F2 U' F R D2 B' D
F2 U' F R D2 B' D'
F2 U' F R D2 B' D2
F2 U' F R B2 D B
F2 U' F R B2 D' B
F2 U' F R B2 D2 B
F2 U' F R' B R2 B2
F2 U' F R' B' R2 D
F2 U' F R' B' R2 D'
F2 U' F R' B' R2 D2
D U' B' D F R F2
F2 U' F R2 D R' B'
F2 U' F R2 D' R' B'
F2 U' F R2 D2 R' B'
D U' B' D' F R F2
D U' B' D2 F R F2
D U' B' F R F2 D
D U' B' F R F2 D'
D U' B' F R F2 D2
D U' B' F R' F2 R2
D U' B' F R2 F2 R'
D U' B' F' U2 L' U2
F2 U' F D R D B'
F2 U' F D R D' B'
F2 U' F D R D2 B'
F2 U' F D R B' D
F2 U' F D R B' D'
F2 U' F D R B' D2
F2 U' F D R' B' R2
F2 U' F D B R B2
F2 U' F D B' R D
F2 U' F D B' R D'
F2 U' F D B' R D2
F2 U' F D B' D R
F2 U' F D B' D' R
F2 U' F D B' D2 R
F2 U' F D' R D B'
F2 U' F D' R D' B'
F2 U' F D' R D2 B'
F2 U' F D' R B' D
F2 U' F D' R B' D'
F2 U' F D' R B' D2
F2 U' F D' R' B' R2
F2 U' F D' B R B2
F2 U' F D' B' R D
F2 U' F D' B' R D'
F2 U' F D' B' R D2
F2 U' F D' B' D R
F2 U' F D' B' D' R
F2 U' F D' B' D2 R
F2 U' F D2 R D B'
F2 U' F D2 R D' B'
F2 U' F D2 R D2 B'
F2 U' F D2 R B' D
F2 U' F D2 R B' D'
F2 U' F D2 R B' D2
F2 U' F D2 R' B' R2
F2 U' F D2 B R B2
F2 U' F D2 B' R D
F2 U' F D2 B' R D'
F2 U' F D2 B' R D2
F2 U' F D2 B' D R
F2 U' F D2 B' D' R
F2 U' F D2 B' D2 R
F2 U' F B R B2 D
F2 U' F B R B2 D'
F2 U' F B R B2 D2
F2 U' F B R' B2 R2
F2 U' F B' R2 D R'
F2 U' F B' R2 D' R'
F2 U' F B' R2 D2 R'
U D' B' F R' F2 L'
F2 U' F B' D R D
F2 U' F B' D R D'
F2 U' F B' D R D2
F2 U' F B' D' R D
F2 U' F B' D' R D'
F2 U' F B' D' R D2
F2 U' F B' D2 R D
F2 U' F B' D2 R D'
F2 U' F B' D2 R D2
F2 U' F B2 D B R
F2 U' F B2 D' B R
F2 U' F B2 D2 B R
F2 U' F' R F2 R B'
F2 U' F' R F2 B' R
F2 U' F' R B' F2 R
F2 U' F' R' F2 R B'
F2 U' F' R' F2 B' R
F2 U' F' R' B' F2 R
F U' F R D F B'
F U' F R D B' F
F U' F R D' F B'
F U' F R D' B' F
F U' F R D2 F B'
F U' F R D2 B' F
F U' F R F D B'
F U' F R F D' B'
F U' F R F D2 B'
F U' F R F B' D
F U' F R F B' D'
F U' F R F B' D2
F2 U' F' R2 F2 R B'
F2 U' F' R2 F2 B' R
F U' F R B' D F
F U' F R B' D' F
F U' F R B' D2 F
F U' F R B' F D
F U' F R B' F D'
F U' F R B' F D2
F2 U' F' R2 B' F2 R
F U' F R' F R2 B'
F U' F R' F B' R2
F U' F R' B' R2 F
F U' F R' B' F R2
F U' F R2 F R' B'
U D' B2 U2 F' B R'
U D' B2 U2 B F' R'
F U' F D R F B'
F U' F D R B' F
F U' F D B' R F
F U' F D' R F B'
F U' F D' R B' F
F U' F D' B' R F
F2 U' F' B' R F2 R
F U' F D2 R F B'
F U' F D2 R B' F
F2 U' F' B' R' F2 R
F2 U' F' B' R2 F2 R
F U' F D2 B' R F
F U' F B R F B2
F U' F B R B2 F
F U' F B' R D F
F U' F B' R D' F
F U' F B' R D2 F
F U' F B' R F D
F U' F B' R F D'
F U' F B' R F D2
F U' F B' R' F R2
F U' F B' R2 F R'
F U' F B' D R F
F U' F B' D' R F
F U' F B' D2 R F
F2 U' B R F R B2
F2 U' B R F B2 R
F2 U' B R B2 F R
F2 U' B R' F R B2
F2 U' B R' F B2 R
F2 U' B R' B2 F R
F2 U' B R2 F R B2
F2 U' B R2 F B2 R
F2 U' B R2 B2 F R
F2 U' B F R B2 D
F2 U' B F R B2 D'
F2 U' B F R B2 D2
F2 U' B F R' B2 R2
F U' F2 D2 B R' B2
F U' F2 B2 D2 B R'
F2 U' B' R D F R
F2 U' B' R D' F R
F2 U' B' R D2 F R
F2 U' B' R F R D
F2 U' B' R F R D'
F2 U' B' R F R D2
F2 U' B' R F D R
F2 U' B' R F D' R
F2 U' B' R F D2 R
F2 U' B' R' D F R
F2 U' B' R' D' F R
F2 U' B' R' D2 F R
F2 U' B' R' F R D
F2 U' B' R' F R D'
F2 U' B' R' F R D2
F2 U' B' R' F D R
F2 U' B' R' F D' R
F2 U' B' R' F D2 R
F2 U' B' R2 D F R
F2 U' B' R2 D' F R
F2 U' B' R2 D2 F R
F2 U' B' R2 F R D
F2 U' B' R2 F R D'
F2 U' B' R2 F R D2
F2 U' B' R2 F D R
F2 U' B' R2 F D' R
F2 U' B' R2 F D2 R
F2 U' B' D R F R
F2 U' B' D R' F R
F2 U' B' D R2 F R
F2 U' B' D F R D
F2 U' B' D F R D'
F2 U' B' D F R D2
F2 U' B' D F D R
F2 U' B' D F D' R
F2 U' B' D F D2 R
F2 U' B' D' R F R
F2 U' B' D' R' F R
F2 U' B' D' R2 F R
F2 U' B' D' F R D
F2 U' B' D' F R D'
F2 U' B' D' F R D2
F2 U' B' D' F D R
F2 U' B' D' F D' R
F2 U' B' D' F D2 R
F2 U' B' D2 R F R
F2 U' B' D2 R' F R
F2 U' B' D2 R2 F R
F2 U' B' D2 F R D
F2 U' B' D2 F R D'
F2 U' B' D2 F R D2
F2 U' B' D2 F D R
F2 U' B' D2 F D' R
F2 U' B' D2 F D2 R
F2 U' B' F R2 D R'
F2 U' B' F R2 D' R'
F2 U' B' F R2 D2 R'
F2 U' B' F D R D
F2 U' B' F D R D'
F2 U' B' F D R D2
F2 U' B' F D' R D
F2 U' B' F D' R D'
F2 U' B' F D' R D2
F2 U' B' F D2 R D
F2 U' B' F D2 R D'
F2 U' B' F D2 R D2
F2 U' B' F' R F2 R
F2 U' B' F' R' F2 R
F2 U' B' F' R2 F2 R
U' D2 R' F R F' B'
U' D2 R' F R B' F'
F U' B F R F B2
F U' B F R B2 F
U' D2 R' F B' R F'
U' D2 R' B' F R F'
F2 U' B2 R' F R B
F U' B' R F R F
F U' B' R' F R F
F U' B' R2 F R F
R2 D2 U B L U2 B2
R2 D2 U B U2 B2 R'
F2 U' B2 D F B R
F2 U' B2 D B F R
F2 U' B2 D' F B R
F2 U' B2 D' B F R
F2 U' B2 D2 F B R
F2 U' B2 D2 B F R
F2 U' B2 F D B R
F2 U' B2 F D' B R
F2 U' B2 F D2 B R
F U' B' F R D F
F U' B' F R D' F
F U' B' F R D2 F
F U' B' F R F D
F U' B' F R F D'
F U' B' F R F D2
F U' B' F R' F R2
F U' B' F R2 F R'
F U' B' F D R F
F U' B' F D' R F
F U' B' F D2 R F
U' D2 F R F2 D B'
U' D2 F R F2 D' B'
U' D2 F R F2 D2 B'
U' D2 F R F2 B' D
U' D2 F R F2 B' D'
U' D2 F R F2 B' D2
U' D2 F R B' F2 D
U' D2 F R B' F2 D'
U' D2 F R B' F2 D2
U' D2 F R' F2 R2 B'
U' D2 F R' F2 B' R2
U' D2 F R' B' R2 F2
U' D2 F R' B' F2 R2
U' D2 F R2 F2 R' B'
F U' B2 F2 D2 B R'
U' D2 F B R F2 B2
U' D2 F B R B2 F2
U' D2 F B' R F2 D
U' D2 F B' R F2 D'
U' D2 F B' R F2 D2
U' D2 F B' R' F2 R2
U' D2 F B' R2 F2 R'
U' D2 F' B' U2 L' U2
L D2 F L' U' F2 B'
L D2 F L' U' B' F2
U D2 F B' R' F2 L'
F2 U2 R B U F B2
F2 U2 R B U B2 F
U' D2 B F R F2 B2
U' D2 B F R B2 F2
U' D2 B' R' F R F'
U D2 F2 U2 F R B'
U D2 F2 U2 F B' R
U D2 F2 U2 B' F R
F U2 R B U F2 B2
F U2 R B U B2 F2
U' D2 B' D F R F2
U' D2 B' D' F R F2
U' D2 B' D2 F R F2
U D2 B L U2 F' B2
U D2 B L U2 B2 F'
U' D2 B' F R F2 D
U' D2 B' F R F2 D'
U' D2 B' F R F2 D2
U' D2 B' F R' F2 R2
U' D2 B' F R2 F2 R'
U' D2 B' F' U2 L' U2
U D2 B U2 F' B2 R'
U D2 B U2 B2 F' R'
U D2 B' F R' F2 L'
U' F L' R F2 L B'
U D2 B2 U2 F' B R'
U D2 B2 U2 B F' R'
L F L U F U2 F
L F L D' L2 U' B'
L F L' R U' F2 B'
L F L' R U' B' F2
L F L' R' U' F2 B'
L F L' R' U' B' F2
L F L' R2 U' F2 B'
L F L' R2 U' B' F2
U' F R L' F2 L B'
L F L' U' F2 D B'
L F L' U' F2 D' B'
L F L' U' F2 D2 B'
L F L' U' F2 B' D
L F L' U' F2 B' D'
L F L' U' F2 B' D2
L F L' U' B' F2 D
L F L' U' B' F2 D'
L F L' U' B' F2 D2
U' F R D B' D' F2
U' F R D' B' D F2
U' F R F D F B'
U' F R F D B' F
U' F R F D' F B'
U' F R F D' B' F
U' F R F D2 F B'
U' F R F D2 B' F
U' F R F B' D F
U' F R F B' D' F
U' F R F B' D2 F
U' F R F' D F' B'
U' F R F' D B' F'
U' F R F' D' F' B'
U' F R F' D' B' F'
U' F R F' D2 F' B'
U' F R F' D2 B' F'
U' F R F' B' D F'
U' F R F' B' D' F'
U' F R F' B' D2 F'
U' F R F2 R' B' R
U' F R F2 R2 B' R2
U' F R F2 D B' D
U' F R F2 D B' D'
U' F R F2 D B' D2
U' F R F2 D' B' D
U' F R F2 D' B' D'
U' F R F2 D' B' D2
U' F R F2 D2 B' D
U' F R F2 D2 B' D'
U' F R F2 D2 B' D2
U' F R F2 B2 D B
U' F R F2 B2 D' B
U' F R F2 B2 D2 B
U' F R B' L' F2 L
U' F R B' L2 F2 L2
U' F R B' R F2 R'
U' F R B' R2 F2 R2
U' F R B' F D F
U' F R B' F D' F
U' F R B' F D2 F
U' F R B' F' D F'
U' F R B' F' D' F'
U' F R B' F' D2 F'
U' F R B2 F2 D B
U' F R B2 F2 D' B
U' F R B2 F2 D2 B
U F L2 F U2 F R
U' F R' F R2 F B'
U' F R' F R2 B' F
U' F R' F B' R2 F
U' F R' F2 R B' R
U' F R' F2 R2 D B'
U' F R' F2 R2 D' B'
U' F R' F2 R2 D2 B'
U' F R' F2 R2 B' D
U' F R' F2 R2 B' D'
U' F R' F2 R2 B' D2
U' F R' F2 B R2 B2
U' F R' F2 B' R2 D
U' F R' F2 B' R2 D'
U' F R' F2 B' R2 D2
U' F R' B R2 F2 B2
U' F R' B R2 B2 F2
U' F R' B F2 R2 B2
U' F R' B' R' F2 R'
U' F R' B' R2 F2 D
U' F R' B' R2 F2 D'
U' F R' B' R2 F2 D2
U' F R' B' F R2 F
U' F R' B' F2 R2 D
U' F R' B' F2 R2 D'
U' F R' B' F2 R2 D2
L F R L' U' F2 B'
L F R L' U' B' F2
U' F R2 F R' F B'
U' F R2 F R' B' F
F2 U2 B U F R B2
F2 U2 B U F B2 R
F2 U2 B U B2 F R
U' F R2 F2 R B' R2
U' F R2 F2 R' D B'
U' F R2 F2 R' D' B'
U' F R2 F2 R' D2 B'
U' F R2 F2 R' B' D
U' F R2 F2 R' B' D'
U' F R2 F2 R' B' D2
U' F R2 F2 R2 B' R
U' F R2 F2 D R' B'
U' F R2 F2 D' R' B'
U' F R2 F2 D2 R' B'
L F R' L' U' F2 B'
L F R' L' U' B' F2
U F R' F2 B' L' R'
U F R' F2 B' R' L'
U F R' B' F2 L' R'
U F R' B' F2 R' L'
D' F U B' R' F2 L'
L F R2 L' U' F2 B'
L F R2 L' U' B' F2
D2 F U B' R' F2 L'
B U2 B' U' F' B' R'
B U2 B' U' B' F' R'
B2 U2 B2 U' F' B' R'
B2 U2 B2 U' B' F' R'
F2 U2 B2 U F B R
F2 U2 B2 U B F R
R' F U' F R F' B'
R' F U' F R B' F'
R' F U' F B' R F'
D' F U' F R F B'
D' F U' F R B' F
D' F U' F B' R F
D2 F U' F R F B'
D2 F U' F R B' F
D2 F U' F B' R F
R' F U' B' F R F'
R2 F U B L U2 B2
D' F U' B' F R F
R2 F U B U2 B2 R'
D2 F U' B' F R F
D F U B' R' F2 L'
D F U' F R F B'
D F U' F R B' F
D F U' F B' R F
D F U' B' F R F
U' F D B' D' R F2
U' F D' R D F2 B'
U' F D' R D B' F2
U' F D' R B' D F2
L F U2 R U F2 B
L F U2 R U B F2
B2 D L2 D F' B R
B2 D L2 D B F' R
B2 D L2 D' F' B R'
B2 D L2 D' B F' R'
U F U2 F R F B'
U F U2 F R B' F
U F U2 F B' R F
B2 D L2 F' D' B R'
U' F D' B' R D F2
B2 D L2 B D F' R
U F U2 B' F R F
U' F D' B' D R F2
U' F D2 R D2 F2 B'
U' F D2 R D2 B' F2
F2 D R U' F R B'
F2 D R U' F B' R
F2 D R U' B' F R
U' F B R F2 B2 D
U' F B R F2 B2 D'
U' F B R F2 B2 D2
U' F B R B2 F2 D
U' F B R B2 F2 D'
U' F B R B2 F2 D2
U' F B R' F2 R2 B2
U' F B R' F2 B2 R2
U' F B R' B2 R2 F2
U' F B R' B2 F2 R2
U' F B R2 F2 R' B2
F2 D R' U' F R B'
F2 D R' U' F B' R
F2 D R' U' B' F R
U' F B' L' R F2 L
U' F B' L2 R F2 L2
U' F B' R L' F2 L
U' F B' R L2 F2 L2
U' F B' R F D F
U' F B' R F D' F
U' F B' R F D2 F
U' F B' R F' D F'
U' F B' R F' D' F'
U' F B' R F' D2 F'
U' F B' R' F R2 F
U' F B' R' F2 R2 D
U' F B' R' F2 R2 D'
U' F B' R' F2 R2 D2
U' F B' R2 F R' F
U' F B' R2 F2 R' D
U' F B' R2 F2 R' D'
U' F B' R2 F2 R' D2
U' F B' R2 F2 D R'
U' F B' R2 F2 D' R'
U' F B' R2 F2 D2 R'
F2 D R2 U' F R B'
F2 D R2 U' F B' R
F2 D R2 U' B' F R
U' F B' D' R D F2
U' F B' D2 R D2 F2
U F D2 B2 U2 B R'
U F B L U2 F2 B2
U F B L U2 B2 F2
U F B U2 F2 B2 R'
U F B U2 B2 R' F2
U F B U2 B2 F2 R'
U F B' L R' F2 L'
U F B' L' R' F2 L'
U F B' L2 R' F2 L'
U' F' L D2 L' R2 B'
U' F' L D2 L' B' R2
U' F' L D2 R2 L' B'
U F B' R' L F2 L'
U F B' R' L' F2 L'
U F B' R' L2 F2 L'
U F B' R' F2 L' D
U F B' R' F2 L' D'
U F B' R' F2 L' D2
U F B' R' F2 D L'
U F B' R' F2 D' L'
U F B' R' F2 D2 L'
F2 D U' R F R B'
F2 D U' R F B' R
F2 D U' R B' F R
F2 D U' R' F R B'
F2 D U' R' F B' R
F2 D U' R' B' F R
F2 D U' R2 F R B'
F2 D U' R2 F B' R
F2 D U' R2 B' F R
F2 D U' F R D B'
F2 D U' F R D' B'
F2 D U' F R D2 B'
F2 D U' F R B' D
F2 D U' F R B' D'
F2 D U' F R B' D2
F2 D U' F R' B' R2
F2 D U' F D R B'
F2 D U' F D B' R
F2 D U' F D' R B'
F2 D U' F D' B' R
F2 D U' F D2 R B'
F2 D U' F D2 B' R
F2 D U' F B R B2
F2 D U' F B' R D
F2 D U' F B' R D'
F2 D U' F B' R D2
F2 D U' F B' D R
F2 D U' F B' D' R
F2 D U' F B' D2 R
F2 D U' B F R B2
F2 D U' B' R F R
F2 D U' B' R' F R
F2 D U' B' R2 F R
F2 D U' B' D F R
F2 D U' B' D' F R
F2 D U' B' D2 F R
F2 D U' B' F R D
F2 D U' B' F R D'
F2 D U' B' F R D2
F2 D U' B' F D R
F2 D U' B' F D' R
F2 D U' B' F D2 R
U F B2 U2 F2 B R'
U F B2 U2 B R' F2
U F B2 U2 B F2 R'
U' F' L2 B' L2 B' R'
U' F' L2 B2 L2 R' B'
U' F' L2 B2 R' L2 B'
B2 D F' L2 D' B R'
F' D F' U' F R B'
F' D F' U' F B' R
F' D F' U' B' F R
U' F' R F2 R F2 B'
U' F' R F2 R B' F2
U' F' R F2 B' R F2
U' F' R B' U2 L' U2
U' F' R B' F2 R F2
L F' L' F2 U' F2 B'
L F' L' F2 U' B' F2
U' F' R' F2 R F2 B'
U' F' R' F2 R B' F2
U' F' R' F2 B' R F2
U' F' R' B' U2 L' U2
U' F' R' B' F2 R F2
B2 D B L2 D F' R
U' F' R2 F2 R F2 B'
U' F' R2 F2 R B' F2
U' F' R2 F2 B' R F2
U' F' R2 B' U2 L' U2
U' F' R2 B' F2 R F2
U F' R B2 L B R'
U' F' U F2 U' R B'
U' F' U F2 U' B' R
U F' R' B' R' D2 L2
U F' R2 D2 B' L2 R'
U F' R2 D2 B' R' L2
R' F' U' F R F' B'
R' F' U' F R B' F'
R' F' U' F B' R F'
U F' R2 B' D2 L2 R'
U F' R2 B' D2 R' L2
R' F' U' B' F R F'
R2 F' U B L U2 B2
U' F' U2 L2 F L U2
R2 F' U B U2 B2 R'
U' F' U2 F U2 B' R'
U' F' U2 F2 U2 R B'
U' F' U2 F2 U2 B' R
U' F' D F2 R F2 B'
U' F' D F2 R B' F2
U' F' D F2 B' R F2
U' F' D B' U2 L' U2
U' F' D B' F2 R F2
U' F' D' F2 R F2 B'
U' F' D' F2 R B' F2
U' F' D' F2 B' R F2
U' F' D' B' U2 L' U2
U' F' D' B' F2 R F2
F2 D' R U' F R B'
F2 D' R U' F B' R
F2 D' R U' B' F R
U' F' D2 F2 R F2 B'
U' F' D2 F2 R B' F2
U' F' D2 F2 B' R F2
U' F' D2 B' U2 L' U2
U' F' D2 B' F2 R F2
U' F' B L2 B2 L2 R'
U' F' B L2 B2 R' L2
U' F' B U2 L' U2 B2
F2 D' R' U' F R B'
F2 D' R' U' F B' R
F2 D' R' U' B' F R
U' F' B' L D2 L' R2
U' F' B' L D2 R2 L'
U' F' B' R U2 L' U2
U' F' B' R F2 R F2
U' F' B' R' U2 L' U2
U' F' B' R' F2 R F2
U' F' B' R2 U2 L' U2
U' F' B' R2 F2 R F2
U' F' B' U F2 U' R
U' F' B' U2 L' U2 D
U' F' B' U2 L' U2 D'
U' F' B' U2 L' U2 D2
U' F' B' U2 L' D U2
U' F' B' U2 L' D' U2
U' F' B' U2 L' D2 U2
U' F' B' U2 D L' U2
U' F' B' U2 D' L' U2
U' F' B' U2 D2 L' U2
U' F' B' D U2 L' U2
U' F' B' D F2 R F2
U' F' B' D' U2 L' U2
U' F' B' D' F2 R F2
U' F' B' D2 U2 L' U2
F2 D' R2 U' F R B'
F2 D' R2 U' F B' R
U' F' B' D2 F2 R F2
F2 D' R2 U' B' F R
U' F' B2 U2 L' U2 B
U F' B R B2 L R'
U F' B R B2 R' L
U F' B' R' U2 R U2
U F' B' R' F2 L' F2
U F' B' R2 D2 L2 R
U F' B' R2 D2 R L2
F2 D' U' R F R B'
F2 D' U' R F B' R
F2 D' U' R B' F R
F2 D' U' R' F R B'
F2 D' U' R' F B' R
F2 D' U' R' B' F R
F2 D' U' R2 F R B'
F2 D' U' R2 F B' R
F2 D' U' R2 B' F R
F2 D' U' F R D B'
F2 D' U' F R D' B'
F2 D' U' F R D2 B'
F2 D' U' F R B' D
F2 D' U' F R B' D'
F2 D' U' F R B' D2
F2 D' U' F R' B' R2
F2 D' U' F D R B'
F2 D' U' F D B' R
F2 D' U' F D' R B'
F2 D' U' F D' B' R
F2 D' U' F D2 R B'
F2 D' U' F D2 B' R
F2 D' U' F B R B2
F2 D' U' F B' R D
F2 D' U' F B' R D'
F2 D' U' F B' R D2
F2 D' U' F B' D R
F2 D' U' F B' D' R
F2 D' U' F B' D2 R
F2 D' U' B F R B2
F2 D' U' B' R F R
F2 D' U' B' R' F R
F2 D' U' B' R2 F R
F2 D' U' B' D F R
F2 D' U' B' D' F R
F2 D' U' B' D2 F R
F2 D' U' B' F R D
F2 D' U' B' F R D'
F2 D' U' B' F R D2
F2 D' U' B' F D R
F2 D' U' B' F D' R
F2 D' U' B' F D2 R
F' D' F' U' F R B'
F' D' F' U' F B' R
D2 F2 R U' F R B'
D2 F2 R U' F B' R
F' D' F' U' B' F R
D' F2 R U' F R B'
D2 F2 R U' B' F R
D' F2 R U' F B' R
D' F2 R U' B' F R
U' F2 R F' R F2 B'
U' F2 R F' R B' F2
U' F2 R F' B' R F2
U' F2 R B' F' R F2
D2 F2 R' U' F R B'
D2 F2 R' U' F B' R
D' F2 R' U' F R B'
D2 F2 R' U' B' F R
D' F2 R' U' F B' R
D' F2 R' U' B' F R
U' F2 R' F' R F2 B'
U' F2 R' F' R B' F2
U' F2 R' F' B' R F2
U F2 L2 F B' U2 R'
U' F2 R' B' F' R F2
D F2 R U' F R B'
D F2 R U' F B' R
D F2 R U' B' F R
U F2 L2 B' F U2 R'
D2 F2 R2 U' F R B'
D2 F2 R2 U' F B' R
D2 F2 R2 U' B' F R
D' F2 R2 U' F R B'
D' F2 R2 U' F B' R
D' F2 R2 U' B' F R
U' F2 R2 F' R F2 B'
U' F2 R2 F' R B' F2
U' F2 R2 F' B' R F2
U' F2 R2 B' F' R F2
D F2 R' U' F R B'
D F2 R' U' F B' R
D F2 R' U' B' F R
D F2 R2 U' F R B'
D F2 R2 U' F B' R
D F2 R2 U' B' F R
D2 F2 U' R F R B'
D2 F2 U' R F B' R
D2 F2 U' R B' F R
D' F2 U' R F R B'
D' F2 U' R F B' R
D' F2 U' R B' F R
D2 F2 U' R' F R B'
D2 F2 U' R' F B' R
D2 F2 U' R' B' F R
D' F2 U' R' F R B'
D' F2 U' R' F B' R
D' F2 U' R' B' F R
D2 F2 U' R2 F R B'
D2 F2 U' R2 F B' R
D2 F2 U' R2 B' F R
D' F2 U' R2 F R B'
D' F2 U' R2 F B' R
D' F2 U' R2 B' F R
D2 F2 U' D F R B'
D2 F2 U' D F B' R
D2 F2 U' D B' F R
D' F2 U' D F R B'
D' F2 U' D F B' R
D' F2 U' D B' F R
D2 F2 U' D' F R B'
D2 F2 U' D' F B' R
D2 F2 U' D' B' F R
D' F2 U' D' F R B'
