D' L' F2 B2
D' L' B2 F2
D' B2 L' F2
D' L F2 L2 B2
D' L F2 B2 L2
D' L B2 L2 F2
D' L B2 F2 L2
D L' D2 F2 B2
D L' D2 B2 F2
L2 R2 U L R2
R2 L2 U L R2
L2 R2 U R2 L
R2 L2 U R2 L
D' L' F2 B2 D
D' L' F2 B2 D'
D' L' F2 B2 D2
U' L2 R2 U L
D' L' B2 F2 D
D' L' B2 F2 D'
D' L' B2 F2 D2
D' L2 F2 L B2
L' U' L' R2 U
L' U' R2 L' U
U' R2 L2 U L
B' D' L' F2 B2
B' D' L' B2 F2
B2 D' L' F2 B2
B2 D' L' B2 F2
B D' L' F2 B2
B D' L' B2 F2
F2 D' F2 L' B2
B' D' B2 L' F2
F2 D' F2 B2 L'
B2 D' B2 L' F2
B D' B2 L' F2
F2 D' B2 F2 L'
D' B L' F2 B
D' B L' B F2
D' B2 L F2 L2
D' B2 L' F2 D
D' B2 L' F2 D'
D' B2 L' F2 D2
D' B2 L2 F2 L
D L' D2 F2 L2 B2 L2
D L' D2 F2 R' B2 R
D L' D2 F2 R2 B2 R2
D' L' F L B2 L' F
D L' D2 F2 B D B
D L' D2 F2 B D' B
D L' D2 F2 B D2 B
D L' D2 F2 B' D B'
D L' D2 F2 B' D' B'
D L' D2 F2 B' D2 B'
D L' D2 B F2 D B
D L' D2 B F2 D' B
D L' D2 B F2 D2 B
D L' D2 B' F2 D B'
D L' D2 B' F2 D' B'
D L' D2 B' F2 D2 B'
D L' D2 B2 L' F2 L
D L' D2 B2 L2 F2 L2
D L' D2 B2 R F2 R'
D L' D2 B2 R2 F2 R2
D' L' F R F R' B2
D L' D2 B2 F D F
D L' D2 B2 F D' F
D L' D2 B2 F D2 F
R2 L' B2 L' U L R2
D L' D2 B2 F' D F'
R2 L' B2 L' U R2 L
D L' D2 B2 F' D' F'
D L' D2 B2 F' D2 F'
D' L' F R' B2 R F
D' L' F R2 F R2 B2
D' L' F R2 F B2 R2
D' L' F R2 B2 R2 F
D' L' F R2 B2 F R2
D L' F L2 B' L2 F
D' L' F D F D' B2
D' L' F D' F D B2
D' L' F B D F B
R' L2 U L R D' F2
D' L' F B D B F
D' L' F B D' F B
D' L' F B D' B F
D' L' F B D2 F B
D' L' F B D2 B F
D L' F U2 F B2 U2
D L' F U2 B2 F U2
D' L' F B' D F B'
D' L' F B' D B' F
D' L' F B' D' F B'
D' L' F B' D' B' F
D' L' F B' D2 F B'
D' L' F B' D2 B' F
D' L' F B2 R F R'
D' L' F B2 R2 F R2
D' L' F B2 D F D
D' L' F B2 D F D'
D' L' F B2 D F D2
D' L' F B2 D' F D
D' L' F B2 D' F D'
D' L' F B2 D' F D2
D' L' F B2 D2 F D
D' L' F B2 D2 F D'
D' L' F B2 D2 F D2
D' L' F' L B2 L' F'
R' L2 U R L D' F2
D' L' F' L' F' L B2
R' L2 U R D' L F2
R' L2 U R D' F2 L
D' L' F' L2 F' L2 B2
D' L' F' L2 F' B2 L2
D' L' F' L2 B2 L2 F'
R2 L2 U L R D R
R2 L2 U L R D' R
R2 L2 U L R D2 R
L2 R2 U L R D R
D' L' F' L2 B2 F' L2
L2 R2 U L R D' R
L2 R2 U L R D2 R
R2 L2 U L R' D R'
R2 L2 U L R' D' R'
R2 L2 U L R' D2 R'
L2 R2 U L R' D R'
L2 R2 U L R' D' R'
L2 R2 U L R' D2 R'
R2 L2 U L F' R2 F
L2 R2 U L F' R2 F
R2 L2 U L F2 R2 F2
L2 R2 U L F2 R2 F2
R2 L2 U L B R2 B'
L2 R2 U L B R2 B'
R2 L2 U L B2 R2 B2
L2 R2 U L B2 R2 B2
D' L' F' R' B2 R F'
L2 R2 U L2 R2 D L'
L2 R2 U L2 R2 D' L'
L2 R2 U L2 R2 D2 L'
R2 L2 U L2 R2 D L'
R2 L2 U L2 R2 D' L'
R2 L2 U L2 R2 D2 L'
R L2 U L R' D' F2
R2 L2 U R L D R
R2 L2 U R L D' R
R2 L2 U R L D2 R
L2 R2 U R L D R
L2 R2 U R L D' R
L2 R2 U R L D2 R
R2 L2 U R D L R
R2 L2 U R D R L
L2 R2 U R D L R
L2 R2 U R D R L
R2 L2 U R D' L R
R2 L2 U R D' R L
L2 R2 U R D' L R
L2 R2 U R D' R L
R2 L2 U R D2 L R
R2 L2 U R D2 R L
L2 R2 U R D2 L R
L2 R2 U R D2 R L
L2 R2 U R' L D R'
L2 R2 U R' L D' R'
L2 R2 U R' L D2 R'
R2 L2 U R' L D R'
R2 L2 U R' L D' R'
R2 L2 U R' L D2 R'
L2 R2 U R' D L R'
L2 R2 U R' D R' L
R2 L2 U R' D L R'
R2 L2 U R' D R' L
L2 R2 U R' D' L R'
L2 R2 U R' D' R' L
R2 L2 U R' D' L R'
R2 L2 U R' D' R' L
L2 R2 U R' D2 L R'
L2 R2 U R' D2 R' L
R2 L2 U R' D2 L R'
R2 L2 U R' D2 R' L
L2 R2 U R2 L2 D L'
L2 R2 U R2 L2 D' L'
L2 R2 U R2 L2 D2 L'
R2 L2 U R2 L2 D L'
R2 L2 U R2 L2 D' L'
R2 L2 U R2 L2 D2 L'
L2 R2 U R2 D L D
L2 R2 U R2 D L D'
L2 R2 U R2 D L D2
R2 L2 U R2 D L D
R2 L2 U R2 D L D'
R2 L2 U R2 D L D2
L2 R2 U R2 D' L D
L2 R2 U R2 D' L D'
L2 R2 U R2 D' L D2
R2 L2 U R2 D' L D
R2 L2 U R2 D' L D'
R2 L2 U R2 D' L D2
R2 L2 U R2 D2 L D
R2 L2 U R2 D2 L D'
R2 L2 U R2 D2 L D2
L2 R2 U R2 D2 L D
L2 R2 U R2 D2 L D'
L2 R2 U R2 D2 L D2
R2 L2 U R2 F L F'
L2 R2 U R2 F L F'
R2 L2 U R2 F2 L F2
L2 R2 U R2 F2 L F2
R2 L2 U D L D' R2
L2 R2 U D L D' R2
D' L' F' D F' D' B2
R L2 U R' L D' F2
R2 L2 U D' L D R2
L2 R2 U D' L D R2
R L2 U R' D' L F2
R L2 U R' D' F2 L
D L' F' R2 B R2 F'
D' L' F' D' F' D B2
L2 R2 U F L F' R2
R2 L2 U F L F' R2
D' L' F' B D F' B
D' L' F' B D B F'
D' L' F' B D' F' B
D' L' F' B D' B F'
D' L' F' B D2 F' B
D' L' F' B D2 B F'
L2 R2 U F' R2 F L
R2 L2 U F' R2 F L
D L' F' U2 F' B2 U2
D' L' F' B' D F' B'
D' L' F' B' D B' F'
D' L' F' B' D' F' B'
D' L' F' B' D' B' F'
L2 R2 U F2 L R2 F2
L2 R2 U F2 L F2 R2
D' L' F' B' D2 F' B'
D' L' F' B' D2 B' F'
D L' F' U2 B2 F' U2
D' L' F' B2 L' F' L
D' L' F' B2 L2 F' L2
L2 R2 U F2 R2 L F2
R2 L2 U F2 L R2 F2
L2 R2 U F2 R2 F2 L
R2 L2 U F2 L F2 R2
R2 L2 U F2 R2 L F2
D' L' F' B2 D F' D
D' L' F' B2 D F' D'
D' L' F' B2 D F' D2
R2 L2 U F2 R2 F2 L
D' L' F' B2 D' F' D
D' L' F' B2 D' F' D'
D' L' F' B2 D' F' D2
D' L' F' B2 D2 F' D
D' L' F' B2 D2 F' D'
D' L' F' B2 D2 F' D2
L2 R2 U B R2 B' L
D' L' F2 L B L' B
R2 L2 U B R2 B' L
D' L' F2 L B2 L' D
D' L' F2 L B2 L' D'
D' L' F2 L B2 L' D2
D' L' F2 L B2 D L'
D' L' F2 L B2 D' L'
D' L' F2 L B2 D2 L'
D' L' F2 L2 B L2 B
D' L' F2 L2 B2 L2 D
D' L' F2 L2 B2 L2 D'
D' L' F2 L2 B2 L2 D2
L2 R2 U' L' U2 L2 R2
L2 R2 U' L' U2 R2 L2
R2 L2 U' L' U2 L2 R2
R2 L2 U' L' U2 R2 L2
D' L' F2 R' B' R B'
D' L' F2 R' B2 R D
D' L' F2 R' B2 R D'
D' L' F2 R' B2 R D2
D' L' F2 R' B2 D R
D' L' F2 R' B2 D' R
D' L' F2 R' B2 D2 R
L2 R2 U' L2 U2 L' R2
L2 R2 U' L2 U2 R2 L'
R2 L2 U' L2 U2 L' R2
R2 L2 U' L2 U2 R2 L'
D' L' F2 R2 B' R2 B'
D' L' F2 R2 B2 R2 D
D' L' F2 R2 B2 R2 D'
D' L' F2 R2 B2 R2 D2
D' L' F2 U R U' B2
D' L' F2 U R' U' B2
D' L' F2 U R2 U' B2
D' L' F2 U D' R2 U'
L2 R2 U' R U2 L R
L2 R2 U' R U2 R L
R2 L2 U' R U2 L R
R2 L2 U' R U2 R L
D' L' F2 U' L U B2
D' L' F2 U' L' U B2
D' L' F2 U' L2 U B2
D' L' F2 U' D L2 U
L2 R2 U' R' U2 L R'
L2 R2 U' R' U2 R' L
R2 L2 U' R' U2 L R'
R2 L2 U' R' U2 R' L
D' L' F2 U2 D2 F2 U2
D' L' F2 U2 F U2 B2
D' L' F2 U2 F' U2 B2
D' L' F2 U2 F2 U2 B2
D' L' F2 D U' L2 U
D' L' F2 D B D' B2
D' L' F2 D B' D' B2
D' L' F2 D B2 D' B2
D' L' F2 D' U R2 U'
D' L' F2 D' B D B2
L2 R2 U' D2 L2 U2 L'
D' L' F2 D' B' D B2
D' L' F2 D' B2 D B2
R2 L2 U' D2 L2 U2 L'
D' L' F2 D2 U2 F2 U2
D' L' F2 D2 B D2 B2
D' L' F2 D2 B' D2 B2
D' L' F2 D2 B2 D2 B2
D' L' F2 B L B L'
D' L' F2 B L2 B L2
D' L' F2 B D B D
D' L' F2 B D B D'
D' L' F2 B D B D2
D' L' F2 B D' B D
D' L' F2 B D' B D'
D' L' F2 B D' B D2
D' L' F2 B D2 B D
D' L' F2 B D2 B D'
D' L' F2 B D2 B D2
D' L' F2 B' R' B' R
D' L' F2 B' R2 B' R2
D' L' F2 B' D B' D
D' L' F2 B' D B' D'
D' L' F2 B' D B' D2
D' L' F2 B' D' B' D
D' L' F2 B' D' B' D'
D' L' F2 B' D' B' D2
D' L' F2 B' D2 B' D
D' L' F2 B' D2 B' D'
D' L' F2 B' D2 B' D2
D' L' F2 B2 L D L'
D' L' F2 B2 L D' L'
D' L' F2 B2 L D2 L'
D' L' F2 B2 L' D L
D' L' F2 B2 L' D' L
D' L' F2 B2 L' D2 L
D L' F2 U2 B2 U2 B2
D' L' F2 B2 R D R'
D' L' F2 B2 R D' R'
D' L' F2 B2 R D2 R'
D' L' F2 B2 R' D R
D' L' F2 B2 R' D' R
D' L' F2 B2 R' D2 R
D' L' B L B L' F2
D' L' B L' F2 L B
D L' F2 D2 F2 D2 B2
D' L' B L2 F2 L2 B
D' L' B L2 F2 B L2
D' L' B L2 B L2 F2
D' L' B L2 B F2 L2
D' L' B R F2 R' B
D2 L' B U L' R2 U'
D2 L' B U R2 L' U'
B' L' B U' L' R2 U
B' L' B U' R2 L' U
D' L' B D B D' F2
B2 L' B U' L' R2 U
L2 R2 U2 D' F2 U' L
D L' B R2 F' R2 B
B2 L' B U' R2 L' U
R2 L2 U2 D' F2 U' L
D' L' B D' B D F2
L2 R2 U2 F U' L R2
L2 R2 U2 F U' R2 L
B L' B U' L' R2 U
B L' B U' R2 L' U
R2 L2 U2 F U' L R2
R2 L2 U2 F U' R2 L
D' L' B F D F B
D' L' B F D B F
D' L' B F D' F B
D' L' B F D' B F
D' L' B F D2 F B
D' L' B F D2 B F
L2 R2 U2 F' U' L R2
L2 R2 U2 F' U' R2 L
R2 L2 U2 F' U' L R2
R2 L2 U2 F' U' R2 L
D' L' B F' D F' B
D' L' B F' D B F'
D' L' B F' D' F' B
D' L' B F' D' B F'
D L' B U2 F2 B U2
D' L' B F' D2 F' B
D' L' B F' D2 B F'
D L' B U2 B F2 U2
D' L' B F2 L B L'
D' L' B F2 L2 B L2
L2 R2 U2 F2 U' L R2
L2 R2 U2 F2 U' R2 L
D' L' B F2 D B D
D' L' B F2 D B D'
D' L' B F2 D B D2
D' L' B F2 D' B D
D' L' B F2 D' B D'
D' L' B F2 D' B D2
R2 L2 U2 F2 U' L R2
R2 L2 U2 F2 U' R2 L
D' L' B F2 D2 B D
D' L' B F2 D2 B D'
D' L' B F2 D2 B D2
D' L' B' L' F2 L B'
R' L2 D R' U L R2
R' L2 D R' U R2 L
D' L' B' R F2 R' B'
D' L' B' R' B' R F2
L R2 D L F2 B2 U
L R2 D L B2 F2 U
D' L' B' R2 F2 R2 B'
D' L' B' R2 F2 B' R2
D' L' B' R2 B' R2 F2
D' L' B' R2 B' F2 R2
D2 L' B' U L' R2 U'
D2 L' B' U R2 L' U'
D L' B' L2 F L2 B'
B' L' B' U' L' R2 U
B' L' B' U' R2 L' U
L2 R2 D U L D' R2
R2 L2 D U L D' R2
D' L' B' D B' D' F2
R L2 D R U L R2
R L2 D R U R2 L
B2 L' B' U' L' R2 U
B2 L' B' U' R2 L' U
D' L' B' D' B' D F2
L' R2 D B2 L' U L
B L' B' U' L' R2 U
B L' B' U' R2 L' U
D' L' B' F D F B'
D' L' B' F D B' F
D' L' B' F D' F B'
D' L' B' F D' B' F
D' L' B' F D2 F B'
D' L' B' F D2 B' F
D' L' B' F' D F' B'
D' L' B' F' D B' F'
D' L' B' F' D' F' B'
D' L' B' F' D' B' F'
D' L' B' F' D2 F' B'
D' L' B' F' D2 B' F'
D' L' B' F2 R' B' R
D L' B' U2 F2 B' U2
D' L' B' F2 R2 B' R2
D L' B' U2 B' F2 U2
D' L' B' F2 D B' D
D' L' B' F2 D B' D'
D' L' B' F2 D B' D2
D' L' B' F2 D' B' D
D' L' B' F2 D' B' D'
D' L' B' F2 D' B' D2
D' L' B' F2 D2 B' D
D' L' B' F2 D2 B' D'
D' L' B' F2 D2 B' D2
L R2 D F2 L B2 U
D' L' B2 L' F' L F'
D' L' B2 L' F2 L D
D' L' B2 L' F2 L D'
D' L' B2 L' F2 L D2
D' L' B2 L' F2 D L
D' L' B2 L' F2 D' L
D' L' B2 L' F2 D2 L
R' L2 D' R' U L R2
R' L2 D' R' U R2 L
D' L' B2 L2 F' L2 F'
D' L' B2 L2 F2 L2 D
D' L' B2 L2 F2 L2 D'
D' L' B2 L2 F2 L2 D2
L2 R2 D B2 U' R' U2
R2 L2 D B2 U' R' U2
D' L' B2 R F R' F
D' L' B2 R F2 R' D
D' L' B2 R F2 R' D'
D' L' B2 R F2 R' D2
D' L' B2 R F2 D R'
D' L' B2 R F2 D' R'
D' L' B2 R F2 D2 R'
D' L' B2 R2 F R2 F
D' L' B2 R2 F2 R2 D
D' L' B2 R2 F2 R2 D'
D' L' B2 R2 F2 R2 D2
D2 L' B2 U L' R2 U'
D' L' B2 U L U' F2
D' L' B2 U L' U' F2
D' L' B2 U L2 U' F2
D2 L' B2 U R2 L' U'
D' L' B2 U D' L2 U'
D' L' B2 U' R U F2
D' L' B2 U' R' U F2
D' L' B2 U' R2 U F2
D' L' B2 U' D R2 U
B' L' B2 U' L' R2 U
B' L' B2 U' R2 L' U
D' L' B2 U2 D2 B2 U2
D' L' B2 U2 B U2 F2
D' L' B2 U2 B' U2 F2
D' L' B2 U2 B2 U2 F2
D' L' B2 D U' R2 U
L2 R2 D' U L D R2
D' L' B2 D F D' F2
D' L' B2 D F' D' F2
D' L' B2 D F2 D' F2
R2 L2 D' U L D R2
B2 L' B2 U' L' R2 U
D' L' B2 D' U L2 U'
R L2 D' R U L R2
R L2 D' R U R2 L
D' L' B2 D' F D F2
B2 L' B2 U' R2 L' U
D' L' B2 D' F' D F2
D' L' B2 D' F2 D F2
D' L' B2 D2 U2 B2 U2
D' L' B2 D2 F D2 F2
D' L' B2 D2 F' D2 F2
L2 R2 D' U2 F2 U' L
D' L' B2 D2 F2 D2 F2
D' L' B2 F R F R'
D' L' B2 F R2 F R2
R2 L2 D' U2 F2 U' L
B L' B2 U' L' R2 U
D' L' B2 F D F D
D' L' B2 F D F D'
D' L' B2 F D F D2
D' L' B2 F D' F D
D' L' B2 F D' F D'
D' L' B2 F D' F D2
D' L' B2 F D2 F D
D' L' B2 F D2 F D'
D' L' B2 F D2 F D2
B L' B2 U' R2 L' U
D' L' B2 F' L' F' L
D' L' B2 F' L2 F' L2
D' L' B2 F' D F' D
D' L' B2 F' D F' D'
D' L' B2 F' D F' D2
D' L' B2 F' D' F' D
D' L' B2 F' D' F' D'
D' L' B2 F' D' F' D2
D' L' B2 F' D2 F' D
D' L' B2 F' D2 F' D'
D' L' B2 F' D2 F' D2
D' L' B2 F2 L D L'
D' L' B2 F2 L D' L'
D' L' B2 F2 L D2 L'
D' L' B2 F2 L' D L
D' L' B2 F2 L' D' L
D' L' B2 F2 L' D2 L
D' L' B2 F2 R D R'
D' L' B2 F2 R D' R'
D' L' B2 F2 R D2 R'
D' L' B2 F2 R' D R
D' L' B2 F2 R' D' R
D' L' B2 F2 R' D2 R
D L' B2 U2 F2 U2 F2
R' L2 D2 R' U L R2
R' L2 D2 R' U R2 L
D L' B2 D2 B2 D2 F2
U' L2 R D R U L
U' L2 R D' R U L
U' L2 R D2 R U L
D' L2 R F2 L R' B2
D' L2 R F2 R' L B2
U' L2 R F' U L F
L2 R2 D2 U' L2 U2 L'
R L2 D2 R U L R2
R L2 D2 R U R2 L
R2 L2 D2 U' L2 U2 L'
U' L2 R' D R' U L
U' L2 R' D' R' U L
U' L2 R' D2 R' U L
L R2 F L U L R2
L R2 F L U R2 L
U' L2 R' F R' U L
U' L2 R' F' R' U L
U' L2 R' F2 R' U L
L2 R2 F U L R2 D
L2 R2 F U L R2 D'
L2 R2 F U L R2 D2
L2 R2 F U R2 L D
L2 R2 F U R2 L D'
L2 R2 F U R2 L D2
L2 R2 F U R2 D L
L2 R2 F U R2 D' L
L2 R2 F U R2 D2 L
B' L2 R2 U L R2 D
B' L2 R2 U L R2 D'
B' L2 R2 U L R2 D2
D2 L2 R2 U' L R2 D
D2 L2 R2 U' L R2 D'
D2 L2 R2 U' L R2 D2
B' L2 R2 U R2 L D
B' L2 R2 U R2 L D'
B' L2 R2 U R2 L D2
R2 L2 F U L R2 D
R2 L2 F U L R2 D'
R2 L2 F U L R2 D2
B' L2 R2 U R2 D L
B' L2 R2 U R2 D' L
B' L2 R2 U R2 D2 L
D2 L2 R2 U' R2 L D
D2 L2 R2 U' R2 L D'
D2 L2 R2 U' R2 L D2
D2 L2 R2 U' R2 D L
D2 L2 R2 U' R2 D' L
D2 L2 R2 U' R2 D2 L
R2 L2 F U R2 L D
R2 L2 F U R2 L D'
R2 L2 F U R2 L D2
R2 L2 F U R2 D L
R2 L2 F U R2 D' L
R2 L2 F U R2 D2 L
U' L2 R2 U L2 D L'
U' L2 R2 U L2 D' L'
U' L2 R2 U L2 D2 L'
U' L2 R2 U D L D
U' L2 R2 U D L D'
U' L2 R2 U D L D2
U' L2 R2 U D' L D
U' L2 R2 U D' L D'
U' L2 R2 U D' L D2
U' L2 R2 U D2 L D
U' L2 R2 U D2 L D'
U' L2 R2 U D2 L D2
U' L2 R2 U F L F'
U' L2 R2 U F2 L F2
U' L2 R2 U' R U2 L
U' L2 R2 U' R' U2 L
U' L2 R2 U' R2 U2 L
B2 L2 R2 U L R2 D
B2 L2 R2 U L R2 D'
B2 L2 R2 U L R2 D2
B2 L2 R2 U R2 L D
B2 L2 R2 U R2 L D'
B2 L2 R2 U R2 L D2
B2 L2 R2 U R2 D L
B2 L2 R2 U R2 D' L
B2 L2 R2 U R2 D2 L
F2 L2 R2 U' R' U2 R'
U2 L2 R2 U D2 L R2
U2 L2 R2 U D2 R2 L
D2 L2 R2 D' F2 U' L
U2 L2 R2 U' L2 U2 L'
U' L2 R2 D U L D
U' L2 R2 D U L D'
U' L2 R2 D U L D2
U' L2 R2 D F U L
U' L2 R2 D F' U L
U' L2 R2 D F2 U L
B L2 R2 U L R2 D
B L2 R2 U L R2 D'
B L2 R2 U L R2 D2
U' L2 R2 D' U L D
U' L2 R2 D' U L D'
U' L2 R2 D' U L D2
B L2 R2 U R2 L D
B L2 R2 U R2 L D'
B L2 R2 U R2 L D2
B L2 R2 U R2 D L
B L2 R2 U R2 D' L
B L2 R2 U R2 D2 L
U' L2 R2 D' F U L
U' L2 R2 D' F' U L
D2 L2 R2 F U' L R2
D2 L2 R2 F U' R2 L
U' L2 R2 D' F2 U L
F2 L2 R2 D B2 U L
B' L2 R2 F U L R2
B' L2 R2 F U R2 L
U' L2 R2 D2 U L D
U' L2 R2 D2 U L D'
U' L2 R2 D2 U L D2
F' L2 R2 F U L' R2
F' L2 R2 F U R2 L'
U' L2 R2 D2 F U L
U' L2 R2 D2 F' U L
D2 L2 R2 F' U' L R2
U' L2 R2 D2 F2 U L
D2 L2 R2 F' U' R2 L
B' L2 R2 F' U L R2
B' L2 R2 F' U R2 L
U' L2 R2 F U L D
U' L2 R2 F U L D'
U' L2 R2 F U L D2
U' L2 R2 F U D L
U' L2 R2 F U D' L
U' L2 R2 F U D2 L
D' L2 R2 F2 L R2 B2
D' L2 R2 F2 L B2 R2
U' L2 R2 F D U L
U' L2 R2 F D' U L
D2 L2 R2 F2 U' L R2
D2 L2 R2 F2 U' R2 L
U' L2 R2 F D2 U L
D' L2 R2 F2 R2 L B2
U' L2 R2 F' U L D
U' L2 R2 F' U L D'
U' L2 R2 F' U L D2
B' L2 R2 F2 U L R2
U' L2 R2 F' U D L
U' L2 R2 F' U D' L
U' L2 R2 F' U D2 L
B' L2 R2 F2 U R2 L
U' L2 R2 F' D U L
U' L2 R2 F' D' U L
U2 L2 R2 D2 U L R2
U' L2 R2 F' D2 U L
U2 L2 R2 D2 U R2 L
U' L2 R2 F2 U L D
U' L2 R2 F2 U L D'
U' L2 R2 F2 U L D2
U' L2 R2 F2 U D L
U' L2 R2 F2 U D' L
U' L2 R2 F2 U D2 L
B2 L2 R2 F U L R2
B2 L2 R2 F U R2 L
U' L2 R2 F2 D U L
U' L2 R2 F2 D' U L
U' L2 R2 F2 D2 U L
L R2 F' L U L R2
L R2 F' L U R2 L
B2 L2 R2 F' U L R2
B2 L2 R2 F' U R2 L
D' L2 R2 B2 R2 F2 L'
B2 L2 R2 F2 U L R2
B2 L2 R2 F2 U R2 L
B L2 R2 F U L R2
B L2 R2 F U R2 L
B L2 R2 F' U L R2
B L2 R2 F' U R2 L
U' L2 U L U' R2 U
U' L2 U L D' F2 D
U' L2 U L D' F2 D'
U' L2 U L D' F2 D2
F2 L2 R2 B2 U L R2
F2 L2 R2 B2 U R2 L
U' L2 U L F D' F2
B L2 R2 F2 U L R2
B L2 R2 F2 U R2 L
U' L2 U L F' D' F2
U' L2 U L F2 D' F2
L2 R2 F' U L R2 D
L2 R2 F' U L R2 D'
L2 R2 F' U L R2 D2
F L2 R2 F' U L' R2
F L2 R2 F' U R2 L'
L2 R2 F' U R2 L D
L2 R2 F' U R2 L D'
L2 R2 F' U R2 L D2
L2 R2 F' U R2 D L
L2 R2 F' U R2 D' L
L2 R2 F' U R2 D2 L
R2 L2 F' U L R2 D
R2 L2 F' U L R2 D'
R2 L2 F' U L R2 D2
R2 L2 F' U R2 L D
R2 L2 F' U R2 L D'
R2 L2 F' U R2 L D2
R2 L2 F' U R2 D L
R2 L2 F' U R2 D' L
R2 L2 F' U R2 D2 L
U' L2 U L2 D' L' F2
R L2 F' U L R' F
R L2 F' U L F R'
R L2 F' U R' L F
U' L2 U D L D2 F2
U' L2 U D' L F2 D
U' L2 U D' L F2 D'
U' L2 U D' L F2 D2
U' L2 U D' L' F2 L2
U' L2 U D' F' L F'
U' L2 U D' F2 L D
U' L2 U D' F2 L D'
U' L2 U D' F2 L D2
U' L2 U D' F2 D L
U' L2 U D' F2 D' L
U' L2 U D' F2 D2 L
U L2 U L D' F2 R
U' L2 U F L D' F2
U' L2 U F D' L F2
U' L2 U F D' F2 L
U' L2 U F' L D' F2
U' L2 U F' D' L F2
U' L2 U F' D' F2 L
U' L2 U F2 L D' F2
U' L2 U F2 D' L F2
U' L2 U F2 D' F2 L
L R2 F2 L U L R2
L R2 F2 L U R2 L
U L2 U D' L F2 R
L2 R2 F2 U L R2 D
L2 R2 F2 U L R2 D'
L2 R2 F2 U L R2 D2
L2 R2 F2 U R2 L D
L2 R2 F2 U R2 L D'
L2 R2 F2 U R2 L D2
L2 R2 F2 U R2 D L
L2 R2 F2 U R2 D' L
L2 R2 F2 U R2 D2 L
R2 L2 F2 U L R2 D
R2 L2 F2 U L R2 D'
R2 L2 F2 U L R2 D2
R2 L2 F2 U R2 L D
R2 L2 F2 U R2 L D'
R2 L2 F2 U R2 L D2
R2 L2 F2 U R2 D L
R2 L2 F2 U R2 D' L
R2 L2 F2 U R2 D2 L
L' R2 B L' U L R2
L' R2 B L' U R2 L
U' L2 U' D B2 R' U2
D' L2 U2 L F2 R B2
D' L2 U2 L F2 B2 R
D' L2 U2 L B2 F2 R
L' R2 B' L' U L R2
L' R2 B' L' U R2 L
U' L2 U2 D2 L2 U' L'
D L2 U2 F2 B2 R' U2
D L2 U2 B2 R' F2 U2
D L2 U2 B2 F2 R' U2
U' L2 D U L D2 F2
L' R2 B2 L' U L R2
L' R2 B2 L' U R2 L
U' L2 D U' B2 R' U2
U' L2 D' R U L F2
U' L2 D' R U F2 L
L2 R2 B2 U' R' U2 R'
U' L2 D' R' U L F2
R2 L2 B2 U' R' U2 R'
U' L2 D' R' U F2 L
U' L2 D' R2 U L F2
U' L2 D' R2 U F2 L
L2 R2 B2 D B2 U L
U' L2 D' U L F2 D
U' L2 D' U L F2 D'
U' L2 D' U L F2 D2
U' L2 D' U L' F2 L2
U' L2 D' U F' L F'
U' L2 D' U F2 L D
U' L2 D' U F2 L D'
U' L2 D' U F2 L D2
U' L2 D' U F2 D L
U' L2 D' U F2 D' L
U' L2 D' U F2 D2 L
R2 L2 B2 D B2 U L
U' L2 D' F U F L
L' U L U' D' F2 B2
L' U L U' D' B2 F2
L' U L U2 L2 R2 U
U' L2 D' F' U L F'
U' L2 D' F' U F' L
L' U L U2 R2 L2 U
L' U L D' U' F2 B2
L' U L D' U' B2 F2
L' U L D2 L2 R2 U'
L' U L D2 R2 L2 U'
D' L2 D2 L D2 F2 B2
D' L2 D2 L D2 B2 F2
L2 U L U' R2 U R2
U L2 D' U L F2 R
L2 U L D' F2 D R2
D L2 D2 L F2 B2 D
D L2 D2 L F2 B2 D'
D L2 D2 L F2 B2 D2
D L2 D2 L B2 F2 D
D L2 D2 L B2 F2 D'
D L2 D2 L B2 F2 D2
D L2 D2 L' F2 L2 B2
D L2 D2 L' F2 B2 L2
D L2 D2 L' B2 L2 F2
D L2 D2 L' B2 F2 L2
D L2 D2 L2 B2 L' F2
U' L2 D2 U2 L2 U' L'
R2 U L' R2 U' L' U
D L2 D2 F' L F' B2
D L2 D2 F' L B2 F'
D L2 D2 F2 L B2 D
D L2 D2 F2 L B2 D'
D L2 D2 F2 L B2 D2
D L2 D2 F2 L' B2 L2
D L2 D2 F2 L2 B2 L'
R2 U L' U' L' U R2
D2 L2 F R2 U' L R2
D2 L2 F R2 U' R2 L
B' L2 F R2 U L R2
B' L2 F R2 U R2 L
U' L2 F R2 U L D
U' L2 F R2 U L D'
U' L2 F R2 U L D2
U' L2 F R2 U D L
U' L2 F R2 U D' L
U' L2 F R2 U D2 L
F' L2 F R2 U L' R2
R' U L2 R' U L R2
F' L2 F R2 U R2 L'
R' U L2 R' U R2 L
U' L2 F R2 D U L
U' L2 F R2 D' U L
U' L2 F R2 D2 U L
U' L2 F R2 F U L
U' L2 F R2 F' U L
U' L2 F R2 F2 U L
U' L2 F U L D' F2
U' L2 F U D' L F2
U' L2 F U D' F2 L
B2 L2 F R2 U L R2
B2 L2 F R2 U R2 L
L' U L2 U2 L R2 U
L' U L2 U2 R2 L U
U' L2 F D' U L F2
U' L2 F D' U F2 L
B L2 F R2 U L R2
B L2 F R2 U R2 L
D' L2 F' L F' B2 D
