D2 L2 F2 B U' F'
D' L2 B U' R2 F
D' L2 B U' F R2
D2 L2 B F2 U' F'
B U B2 U B' U
B U B2 U B' U
L2 D' B U' R2 F
L2 D' B U' F R2
L2 D2 F2 B U' F'
L2 D2 B F2 U' F'
B U2 D' B R2 U
B U2 D2 B U F2
B U2 B R2 U F'
B U2 B U' B U2
B D L2 U2 B U
D2 F2 L2 B U' F
B D' U2 B R2 U
D2 F2 B U B2 U2
D2 F2 B U' D2 F2
D2 F2 B D L2 U'
D2 F2 B D2 U' F2
B D2 U2 B U F2
D' B U B2 U2 R2
D B U L2 B2 U2
D' B U' R2 D2 F2
D B U B2 L2 U2
L2 B U2 B U F
D B U' D2 R2 F2
D B U' D2 F2 R2
D2 B D L2 U' R2
D B D L2 F2 U'
D B D F2 L2 U'
D B D2 U' R2 F2
D B D2 U' F2 R2
D2 B F2 U B2 U2
D2 B F2 U' D2 F2
D2 B F2 D L2 U'
D2 B F2 D2 U' F2
D2 B F2 D2 U' F2 D'
D2 B F2 D2 U' F2 D2
F' B U B2 U B' U
D B F' U L2 B2 U2
D B F' U B2 L2 U2
D B F' U' D2 R2 F2
D B F' U' D2 F2 R2
D B F' D L2 F2 U'
D B F' D F2 L2 U'
F2 B U B2 U B' U
L2 B F2 U2 B U F'
D B F' D2 U' R2 F2
D B F' D2 U' F2 R2
D B F2 U L2 B2 U2
D B F2 U B2 L2 U2
D B F2 U' D2 R2 F2
D B F2 U' D2 F2 R2
D B F2 D L2 F2 U'
D B F2 D F2 L2 U'
B F U B2 U B' U
D B F2 D2 U' R2 F2
D B F2 D2 U' F2 R2
F' B U2 D' B R2 U
F' B U2 D2 B U F2
F B U B2 U B' U
F' B U2 B R2 U F'
F' B U2 B U' B U2
F2 B U2 D' B R2 U
F2 B U2 D2 B U F2
F2 B U2 B R2 U F'
F' B D L2 U2 B U
F2 B U2 B U' B U2
F2 B D L2 U2 B U
B F U2 D' B R2 U
B F U2 D2 B U F2
L B' L B2 U' F R
B F U2 B R2 U F'
B F U2 B U' B U2
F B U2 D' B R2 U
F B U2 D2 B U F2
B F D L2 U2 B U
F B U2 B R2 U F'
F B U2 B U' B U2
D B' L2 U' B2 U' B2
F' B D' U2 B R2 U
F B D L2 U2 B U
F2 B D' U2 B R2 U
U B' L2 U' F B2 U'
U B' L2 U' B2 F U'
F' B D2 U2 B U F2
B F D' U2 B R2 U
F2 B D2 U2 B U F2
F B D' U2 B R2 U
B F D2 U2 B U F2
F B D2 U2 B U F2
D2 B' U' F2 B2 U' B2
D2 B' U' B2 F2 U' B2
D' B' U' B2 U' R2 B2
D' B' U' B2 U' B2 R2
U B' U D B' U L2
U B' U D2 F2 B' U
U B' U D2 B' F2 U
U B' U B' U2 B' U'
U B' U' B2 U2 B U
U B' D U B' U L2
U B' D' R2 U B' U
B F' U B2 U B' U
U B' D2 U F2 B' U
U B' D2 U B' F2 U
D' B2 L U' R2 F' L'
B F' U2 D' B R2 U
B F' U2 D2 B U F2
B F' U2 B R2 U F'
B F' U2 B U' B U2
B F' D L2 U2 B U
B F' D' U2 B R2 U
R B2 L R2 U F' L'
B F' D2 U2 B U F2
U2 B2 R2 U2 B' U' F'
R B2 R2 L U F' L'
U2 B2 U' B U' B2 U'
U2 B2 U' B U2 D L2
U2 B2 U' B D U2 L2
U2 B2 U' B D' R2 U2
U2 B2 U2 B' U B2 U2
U2 B2 U2 B' U' D2 F2
U2 B2 U2 B' D L2 U'
U2 B2 U2 B' D2 U' F2
R2 B2 U2 R2 B U' F'
B F2 U B2 U B' U
B F2 U2 D' B R2 U
B F2 U2 D2 B U F2
B F2 U2 B R2 U F'
B F2 U2 B U' B U2
B F2 D L2 U2 B U
B F2 D' U2 B R2 U
R2 B2 F' U2 R2 U' F'
B F2 D2 U2 B U F2
